Massachusetts,매사추세츠주
"Carroll County, Illinois",캐럴군 (일리노이주)
"Collier County, Florida",콜리어군
Andrew Christian,앤드루 크리스천
Impeachment of Bill Clinton,빌 클린턴 대통령 탄핵 소추
Arizona statistical areas,애리조나주의 통계 지구
61st Directors Guild of America Awards,제61회 미국 감독 조합상
62nd Directors Guild of America Awards,제62회 미국 감독 조합상
64th Directors Guild of America Awards,제64회 미국 감독 조합상
"Decatur County, Alabama",디케이터군 (앨라배마주)
Django Software Foundation,장고 소프트웨어 재단
Dublin Coffman High School,더블린 코프먼 고등학교
Red %26 White Fleet,레드 %26 화이트 플리트
1792–93 United States Senate elections,1792년 미국 상원의원 선거
1794–95 United States House of Representatives elections,1794년 미국 하원의원 선거
1876–77 United States House of Representatives elections,1876년 미국 하원의원 선거
1890–91 United States Senate elections,1890년 미국 상원의원 선거
1896 United States House of Representatives elections,1896년 미국 하원의원 선거
1924 United States House of Representatives elections,1924년 미국 하원의원 선거
1940 United States House of Representatives elections,1940년 미국 하원의원 선거
1942 United States House of Representatives elections,1942년 미국 하원의원 선거
GameSalad (company),게임샐러드
Garratt v. Dailey,개럿 대 데일리 사건
Glendale Unified School District,글렌데일 통합 학구
GPS Portland Phoenix,포틀랜드 피닉스
1798–99 United States Senate elections,1798년 미국 상원의원 선거
1910 World Series,1910년 월드 시리즈
1980 Major League Baseball season,1980년 메이저 리그 베이스볼 시즌
"Cambria County, Pennsylvania",캠브리아군
"Fairfield County, Ohio",페어필드군 (오하이오주)
"Flint, Michigan",플린트 (미시간주)
"Franklin County, Missouri",프랭클린군 (미주리주)
"Platte County, Wyoming",플랫군 (와이오밍주)
"Choctaw County, Oklahoma",촉토군 (오클라호마주)
"Clay County, Nebraska",클레이군 (네브래스카주)
"Traverse County, Minnesota",트래버스군
"Twin Falls County, Idaho",트윈폴스군
"Carroll County, Kentucky",캐럴군 (켄터키주)
"Clinton County, Kentucky",클린턴군 (켄터키주)
"Fannin County, Georgia",패닌군 (조지아주)
"Fentress County, Tennessee",펜트레스군
Seven Days Battles,칠일 전투
Retro Studios,레트로 스튜디오스
"Royal Oak, Michigan",로열오크 (미시간주)
Workers World Party,노동자세계당
Caesars Palace,시저스 팰리스
Covington %26 Burling,커빙턴 앤 벌링
"Pearl City, Hawaii",펄 시티
"Quincy, Illinois",퀸시 (일리노이주)
"Columbus County, North Carolina",콜럼버스군
"Hendricks County, Indiana",헨드릭스군
"Clinton County, Indiana",클린턴군 (인디애나주)
"Perry County, Indiana",페리군 (인디애나주)
Texas Ranger Division,텍사스 레인저 디비전
"Haines Borough, Alaska",헤인즈군
"Tensas Parish, Louisiana",텐자스군
"Concord, Massachusetts",콩코드 (매사추세츠주)
"Pulaski County, Virginia",펄래스키군 (버지니아주)
Lockheed Martin X-44 MANTA,록히드 마틴 X-44
Carey Business School,케리 경영대학
Carolina Coliseum,캐롤라이나 콜리시엄
Cars (franchise),카 (시리즈)
Chelsea Market,첼시 마켓
Children's Defense Fund,어린이 보호기금
City Stadium (Richmond),시티 스타디움
Cleary Gottlieb Steen %26 Hamilton,클리어리 가틀립
Clipper Magazine Stadium,클리퍼 매거진 스타디움
Coby Electronics Corporation,코비 일렉트로닉스 코퍼레이션
Connecticut statistical areas,코네티컷주의 통계 지구
Conservatory Water,컨서버토리 워터
Conway Recording Studios,콘웨이 레코딩 스튜디오
"Franklin County, Virginia",프랭클린군 (버지니아주)
"Perry County, Tennessee",페리군 (테네시주)
"Trousdale County, Tennessee",트라우스데일군
Austin Aztex,오스틴 아즈텍스
Backblaze,백블레이즈
Baltimore Coliseum,볼티모어 콜리시엄
"Beech Grove, Arkansas",비치그로브 (아칸소주)
"Beech Grove, Virginia",비치그로브 (버지니아주)
Borchert Field,보처트 필드
Ecclesia College,에클레시아 칼리지
Eisenhower Park,아이젠하워 공원
P. F. Chang's,피에프창
Super Summer Sizzler Spectacular,슈퍼 서머 시즐러
Glory By Honor,글로리 바이 아너
Goose Island (Chicago),구스아일랜드 (시카고)
Greenberg Traurig,그린버그 트라우리그
Greenville Presbyterian Theological Seminary,그린빌 장로교 신학교
Greenwich Country Day School,그리니치 컨트리 데이 스쿨
Gremlin Industries,그렘린 인더스트리스
Guam national futsal team,괌 풋살 국가대표팀
Hara Arena,하라 아레나
Joe's Shanghai,조스 상하이
Cascadia subduction zone,캐스케이디아 섭입대
Link-Belt Cranes,링크벨트 건설기계
"Proofpoint, Inc.",프루프포인트 (기업)
2013 Chicago Cubs season,2013년 시카고 컵스 시즌
99 Cents Only Stores,99센트 온리 스토어
AAA When Worlds Collide,AAA 웬 월즈 컬라이드
Advanced SEAL Delivery System,최신형 실 수송 시스템
Alabama statistical areas,앨라배마주의 통계 지구
Albany Medical Center,올버니 의료센터
Aldrich–Vreeland Act,올드리치 브릴랜드 법
American Association of School Administrators,미국 교원 협회
American Memorial Park,아메리칸 기념 공원
Cybersecurity and Infrastructure Security Agency,사이버보안 및 인프라 보안국
Delaware General Corporation Law,델라웨어 회사법
Dinosaur Ridge,다이너소어 능선
Erie doctrine,이리 원칙
Eugene V. Debs Home,유진 데브스 생가
2011 U.S. Open Cup final,2011 US 오픈 컵 결승
"Fauquier County, Virginia",포키어군
"Terrell County, Georgia",테럴군 (조지아주)
Federal Rules of Civil Procedure,연방민사소송규칙
Florida Winter Baseball League,플로리다 윈터 베이스볼 리그
Food for the Hungry,기아대책
Indy Eleven,인디 일레븐
"Claiborne Parish, Louisiana",클레이본군 (루이지애나주)
"Taylor County, Wisconsin",테일러군 (위스콘신주)
Michigan statistical areas,미시간주의 통계 지구
Copa América Centenario,코파 아메리카 센테나리오
"Ottawa, Illinois",오타와 (일리노이주)
"Highland Park, Illinois",하일랜드파크 (일리노이주)
Lobos de Arecibo,로보스 데 아레시보
Victory over Japan Day,대일 전승 기념일
"Corning, New York",코닝 (뉴욕주)
Bland–Allison Act,블랜드-앨리슨 법
"Dallas, Oregon",댈러스 (오리건주)
New York Botanical Garden,뉴욕 식물원
Village Roadshow Pictures,빌리지 로드쇼 픽처스
Executive Residence,백악관 중앙관저
Herbert Hoover High School (Glendale),허버트 후버 고등학교 (글렌데일)
Hi Carpenter Memorial Bridge,하이카펜터메모리얼브리지
Hilltop Park,힐탑 파크
Johnstown Flood National Memorial,존스타운 홍수 국립기념지
Jordache,죠다쉬
KGBN,미주복음방송
Memorial Stadium (Seattle),메모리얼 스타디움 (시애틀)
Fertitta Center,페르티타 센터
Hotel Café,호텔 카페
National Institute on Aging,국립노화연구소
2013 United States Grand Prix,2013년 미국 그랑프리
Kansas statistical areas,캔자스주의 통계 지구
Kentucky statistical areas,켄터키주의 통계 지구
Kitsap Pumas,키챕 퓨마스
"Klamath County, California",클래머스군 (캘리포니아주)
Korean Bell of Friendship,우정의 종
La Jolla Country Day School,라 절러 컨트리 데이 스쿨
Assemblies of God,하나님의 성회
"Preston County, West Virginia",프레스턴군
"Putnam County, Tennessee",퍼트넘군 (테네시주)
Shrek 4-D,슈렉 4-D
Soldier Field,솔저 필드
Theater in the United States,미국 연극
West South Central states,미국 서남중부
"Camilla, Georgia",커밀라 (조지아주)
Blackboard Inc.,블랙보드 (기업)
Buffalo Memorial Auditorium,버펄로 메모리얼 오디토리움
Marble Hill–225th Street station,마블힐-225번가역
Pinkberry,핑크베리
Tampa Bay Bandits,탬파베이 밴디츠
Waikīkī Aquarium,와이키키 수족관
Gibbons v. Ogden,기번스 대 옥덴 사건
Internet Brands,인터넷 브랜드
Jewish Publication Society,유대인 출판 협회
Koreagate,코리아게이트
"Payne County, Oklahoma",페인군
"Pottawatomie County, Oklahoma",포타와토미군 (오클라호마주)
"Passaic County, New Jersey",퍼세이익군
"Phillips County, Montana",필립스군 (몬태나주)
"Fergus County, Montana",퍼거스군
"Tift County, Georgia",티프트군
"Treasure County, Montana",트레저군
"Coeur d'Alene, Idaho",코달레인
"Quitman County, Georgia",키트먼군 (조지아주)
People's Choice Awards,피플스 초이스상
"Portage County, Wisconsin",포티지군 (위스콘신주)
Hinkle Fieldhouse,힝클 필드 하우스
"Solar eclipse of July 1, 2057",2057년 7월 1일 일식
New York State Museum,뉴욕 주립 박물관
Pacific Science Center,퍼시픽 사이언스 센터
1860–61 United States House of Representatives elections,1860년 미국 하원의원 선거
1888 United States House of Representatives elections,1888년 미국 하원의원 선거
1912 United States House of Representatives elections,1912년 미국 하원의원 선거
1920 United States House of Representatives elections,1920년 미국 하원의원 선거
1926 United States House of Representatives elections,1926년 미국 하원의원 선거
1950 United States House of Representatives elections,1950년 미국 하원의원 선거
1970 United States House of Representatives elections,1970년 미국 하원의원 선거
187th Infantry Regiment (United States),제187보병연대 (미국)
1921 Major League Baseball season,1921년 메이저 리그 베이스볼 시즌
1st Colorado Infantry Regiment,제1콜로라도 의용병연대
General Atomics Aeronautical Systems,제너럴 아토믹스 에어로노티컬 시스템
32nd Medical Brigade,제32의무여단
38th Air Defense Artillery Brigade (United States),제38방공포병여단
48th Chemical Brigade (United States),제48화학여단
516th Signal Brigade,제516통신여단
95th Civil Affairs Brigade,제95민사여단
Itchy Jones Stadium,이치 존스 스타디움
Cambria County War Memorial Arena,캠브리아 카운티 워 메모리얼 아레나
1st Theater Sustainment Command,제1전구지원사령부
"Harford County, Maryland",하퍼드군
"Perry County, Pennsylvania",페리군 (펜실베이니아주)
Hutchison School,허치슨 스쿨
Marsh v. Chambers,마시 대 체임버스 사건
Mary Baker Eddy Library,메리 베이커 에디 도서관
Maximum Games,맥시멈 게임즈
EagleBank Arena,이글뱅크 아레나
Population Council,미국인구협회
Liberty Caucus,리버티 코커스
LifeScan,라이프스캔
Indiana University,인디애나 대학교
Titan Stadium (Cal State Fullerton),타이탄 스타디움
Lloyd Street Grounds,로이드 스트리트 그라운즈
National Center for Medical Intelligence,국가의료정보센터
Green Mountain Peace and Justice Party,자유연합당
Modesto Junior College,머데스토 주니어 칼리지
Old Vicksburg Bridge,올드빅스버그브리지
Oliver Peoples,올리버 피플스
Picower Institute for Learning and Memory,피코우어 학습 및 기억 연구소
Portland Beavers,포틀랜드 비버스
Shuttle by United,유나이티드 셔틀
1967 National Society of Film Critics Awards,1967년 전미 비평가 협회상
1973 National Society of Film Critics Awards,1973년 전미 비평가 협회상
1980 National Society of Film Critics Awards,1980년 전미 비평가 협회상
Naval Forces Japan (United States),주일 미국 해군
NCH Corporation,NCH 코퍼레이션
Golden 1 Center,골든 1 센터
New York Black Yankees,뉴욕 블랙 양키스
New York/New Jersey Hitmen,뉴욕/뉴저지 히트맨
Protandim,프로탄딤
ROH Supercard of Honor,ROH 슈퍼카드 오브 아너
Seattle Country Day School,시애틀 컨트리 데이 스쿨
Short swing,단기매매
New York Stem Cell Foundation,뉴욕줄기세포재단
Northern Virginia Community College,노던 버지니아 커뮤니티 칼리지
Northwestern University Pritzker School of Law,노스웨스턴 대학교 법학대학원
Orange County Convention Center,오렌지카운티 컨벤션 센터
Oriole Park,오리올 파크
Roanoke Valley Rampage,로어노크 밸리 램페이지
Rochester Thunder,로체스터 선더
Reading United AC,레딩 유나이티드 AC
RESFest,레스페스트
Roy Wilkins Auditorium,로이 윌킨스 오디토리움
Ruby Tuesday (restaurant),루비 튜스데이
Ruffhouse Records,러프하우스 레코드
SEPTA Regional Rail,SEPTA 리저널 레일
"Shanghai City, Illinois",상하이시티
Showtime Networks,쇼타임 네트웍스
Rise Against Hunger,기아야 멈춰라
Southwest Ohio Regional Transit Authority,남서부 오하이오 교통국
"St. Thomas More High School (Champaign, Illinois)",세인트 토머스 모어 고등학교
State Bar of California,캘리포니아 변호사협회
Stead Park,스테드 파크
"Woodside, Queens","우드사이드, 퀸스"
Kraft Group,크래프트 그룹
Tempe Diablo Stadium,템피 디아블로 스타디움
Tenth Presbyterian Church,십장로교회
Texas statistical areas,텍사스주의 통계 지구
2016 United States Senate elections,2016년 미국 상원의원 선거
United States v. Students Challenging Regulatory Agency Procedures,미국 대 SCRAP 사건
University of Virginia School of Law,버지니아 대학교 법학대학원
Van Nuys station (Los Angeles Metro),밴나이즈역 (로스앤젤레스 메트로)
Stüssy,스투시
Surprise Stadium,서프라이즈 스타디움
Tobacco Road Basketball League,타바코 로드 바스켓볼 리그
WATN-TV,WPTY-TV
WLVI,WLVI
WLWT,WLWT-TV
WWRU,Am1660
The Master's Seminary,마스터스 신학교
Military Intelligence Readiness Command,군사정보대응사령부
United States Army Forces in the Middle East,미국 중동 육군
United States Olympic Training Center,미국 올림픽 트레이닝 센터
United States Space Command,미국 우주사령부
Stanford Law School,스탠퍼드 법학대학원
Warner Bros. Pictures,워너 브라더스 픽처스
Welch's,웰치 (기업)
"West High School (Torrance, California)",캘리포니아 토런스 웨스트 고등학교
Western Theological Seminary,웨스턴 신학교 (1866년)
Union Iron Works,유니언 아이언 웍스
Union Presbyterian Seminary,유니온 장로교 신학교
United States Army Corrections Command,육군교정사령부
United States Army Cyber Command,육군사이버사령부
United States Forces Azores,주아소르스 미군
Wisconsin Field House,위스콘신 필드 하우스
Wisconsin statistical areas,위스콘신주의 통계 지구
Yambo Records,얌보 레코드
1793 Philadelphia yellow fever epidemic,1793년 필라델피아 황열 유행
25th Writers Guild of America Awards,제25회 미국 작가 조합상
51st Writers Guild of America Awards,제51회 미국 작가 조합상
53rd Writers Guild of America Awards,제53회 미국 작가 조합상
54th Writers Guild of America Awards,제54회 미국 작가 조합상
62nd Writers Guild of America Awards,제62회 미국 작가 조합상
6th Writers Guild of America Awards,제6회 미국 작가 조합상
Expedia Group,익스피디아 그룹
Big King,빅 킹
Medicine Lake Volcano,메디신레이크 화산
"Majors Place, Nevada",메이저플레이스
KSAZ-TV,KSAZ-TV
Hornet Stadium (Sacramento),호넷 스타디움
WEYI-TV,WEYI-TV
National Welfare Rights Organization,전국복지권기구
Helena Bridge,헬레나브리지
Mariposa station (Los Angeles Metro),마리포사역
Los Angeles Fire Department Museum and Memorial,로스앤젤레스 소방 기념 박물관
United States v. Comstock,미국 대 콤스톡 사건
Italian-American Civil Rights League,이탈리아계 미국인 민권동맹
Warner Bros. Animation,워너 브라더스 애니메이션
2013 International Champions Cup,2013 인터내셔널 챔피언스컵
Clinkle,클링클
Bullet Club,뷸렛 클럽
Feast or Fired,피스트 오 파이어드
New York Cosmos Stadium,뉴욕 코스모스 스타디움
NXT Arrival,NXT 어라이벌
The Intercept,디 인터셉트
James Brown Arena,제임스 브라운 아레나
Long Island Arena,롱아일랜드 아레나
McKenzie Arena,맥켄지 아레나
Sims Legion Park,심스 리전 파크
2015 CONCACAF Gold Cup,2015년 CONCACAF 골드컵
Washington Navy Yard shooting,워싱턴 해군공창 총기 난사 사건
Legion Stadium (North Carolina),리전 스타디움
Dayton Outpatient Center Stadium,데이턴 아웃페이션트 센터 스타디움
Macon Mayhem,메이컨 메이헴
Boston Strong,보스턴 스트롱
Daimler Truck North America,다임러 트럭 북아메리카
Dayton Gems (2009–2012),데이턴 젬스
Heart Health Park,파파 머피스 파크
1968 National Society of Film Critics Awards,1968년 전미 비평가 협회상
1979 National Society of Film Critics Awards,1979년 전미 비평가 협회상
1984 National Society of Film Critics Awards,1984년 전미 비평가 협회상
Parallel 54°40′ north,북위 54도 40분
Lionsgate Films,라이언스게이트 필름스
National Space Council,국가우주위원회
USA Freedom Act,미국 자유법
2016 Republican Party presidential primaries,2016년 미국 대통령 선거 공화당 후보 경선
Private Internet Access,프라이빗 인터넷 액세스
Vertical Entertainment,버티컬 엔터테인먼트
Obergefell v. Hodges,오버거펠 대 호지스 사건
WhoSay,후세이
"Beech Grove, Knox County, Tennessee",비치그로브 (테네시주 녹스군)
Norfolk Admirals (ECHL),노퍽 애드미럴스 (ECHL)
SoFi Stadium,소파이 스타디움
Atlas Entertainment,애틀러스 엔터테인먼트
Fitch Park,피치 파크
Tidal (service),타이달
Minnesota United FC,미네소타 유나이티드 FC
Calvary Baptist Schools,캘버리 뱁티스트 스쿨
It Ain't Seinfeld,잇츠 에인트 사인필드
Microsoft Lumia 430,마이크로소프트 루미아 430
Solutions Journalism Network,솔루션 저널리즘 네트워크
Mars Cube One,마스 큐브 원
Windy City Bulls,윈디 시티 불스
2015 San Bernardino attack,2015년 샌버너디노 총기 난사 사건
Ramblewood Soccer Complex,램블우드 사커 콤플렉스
Nashville SC (2018–19),내슈빌 SC (2016년)
2015 Mid-Season Invitational,미드 시즌 인비테이셔널 2015
Greensboro Swarm,그린즈버러 스웜
HackerOne,해커원
Alt-right,대안우파
Protests against Donald Trump,도널드 트럼프 반대 시위
San Francisco Deltas,샌프란시스코 델타스
The Satanic Temple,사탄의 성전
Robert and Janet Vackar Stadium,H-E-B 파크
2016 Lockhart hot air balloon crash,2016년 록하트 열기구 추락 사고
Laval Rocket,라발 로키
Allegiant Stadium,얼리전트 스타디움
DTS (company),DTS (사운드 시스템)
DC Universe (streaming service),DC 유니버스 (스트리밍 서비스)
Jacksonville Icemen,잭슨빌 아이스멘
Virgin Orbit,버진 오빗
Casino Arizona Field,피닉스 라이징 FC 사커 콤플렉스
CircleCI,CircleCI
2018 Women's Baseball World Cup,2018년 여자 야구 월드컵
Empire Zinc strike,엠파이어 아연 파업
Governor of Colorado,콜로라도주의 주지사
Ontario Clippers,온타리오 클리퍼스
2018 in the United States,2018년 미국
Capital City Go-Go,캐피털 시티 Go-Go
USL League One,USL 리그 1
Hurricane Harvey,허리케인 하비
Hurricane Irma,허리케인 어마
2017 National Society of Film Critics Awards,2017년 전미 비평가 협회상
Impact Wrestling Redemption,임팩트 레슬링 리뎀션
36th Directors Guild of America Awards,제36회 미국 감독 조합상
2020 United States presidential election in Maine,2020년 미국 대통령 선거 메인주
2020 United States presidential election in Missouri,2020년 미국 대통령 선거 미주리주
2020 United States presidential election in Virginia,2020년 미국 대통령 선거 버지니아주
"Bourbon County, Georgia",버번군 (조지아주)
Kratos XQ-58 Valkyrie,크레이토스 XQ-58 발키리
Los Angeles Wildcats (XFL),로스앤젤레스 와일드캐츠
Hurricane Maria,허리케인 마리아
List of former Global Force Wrestling personnel,GFW 동창생
2017 Las Vegas shooting,2017년 라스베이거스 스트립 총기 난사 사건
Guam at the 2020 Summer Olympics,2020년 하계 올림픽 괌 선수단
QAnon,QAnon
WWE Evolution,WWE 에볼루션
10th Directors Guild of America Awards,제10회 미국 감독 조합상
11th Directors Guild of America Awards,제11회 미국 감독 조합상
22nd Directors Guild of America Awards,제22회 미국 감독 조합상
26th Directors Guild of America Awards,제26회 미국 감독 조합상
5th Directors Guild of America Awards,제5회 미국 감독 조합상
6th Directors Guild of America Awards,제6회 미국 감독 조합상
2018 World Series,2018년 월드 시리즈
2020 United States presidential election in Maryland,2020년 미국 대통령 선거 메릴랜드주
2020 United States presidential election in South Carolina,2020년 미국 대통령 선거 사우스캐롤라이나주
2020 United States presidential election in the District of Columbia,2020년 미국 대통령 선거 워싱턴 D.C.
2020 World Single Distances Speed Skating Championships,2020년 세계 종목별 스피드스케이팅 선수권 대회
Warner Bros. Pictures Animation,워너 애니메이션 그룹
2018 Major League Baseball season,2018년 메이저 리그 베이스볼 시즌
Santa Fe High School shooting,산타페 고등학교 총기 난사 사건
Overwatch World Cup,오버워치 월드컵
Atlanta Legends,애틀랜타 레전즈
Los Angeles Ballers,로스앤젤레스 볼러스
2018 California wildfires,2018년 캘리포니아 산불
Illinois Zephyr and Carl Sandburg,일리노이 제퍼 앤드 칼 샌드버그
Extinction Rebellion,멸종에의 반란
Chase Stadium,DRV PNK 스타디움
40th Golden Raspberry Awards,제40회 골든 래즈베리상
COVID-19 pandemic in Guam,괌의 코로나19 범유행
Fox 2000 Pictures,폭스 2000 픽처스
10th Writers Guild of America Awards,제10회 미국 작가 조합상
31st Writers Guild of America Awards,제31회 미국 작가 조합상
37th Writers Guild of America Awards,제37회 미국 작가 조합상
45th Writers Guild of America Awards,제45회 미국 작가 조합상
48th Writers Guild of America Awards,제48회 미국 작가 조합상
2019 Dayton shooting,2019년 데이턴 총기 난사 사건
The Korea Society,코리아 소사이어티
94th Academy Awards,제94회 아카데미상
2020 World Series,2020년 월드 시리즈
Inauguration of Joe Biden,조 바이든 대통령 취임식
COVID-19 vaccination in the United States,미국의 코로나19 예방접종
UFC on ESPN: Font vs. Aldo,UFC on ESPN: 폰트 대 알도
2022 Major League Baseball season,2022년 메이저 리그 베이스볼 시즌
Ohio River,오하이오강
San Francisco International Airport,샌프란시스코 국제공항
Scottish Gaelic,스코틀랜드 게일어
Museum of Bad Art,배드 아트 미술관
Election Day (United States),선거일 (미국)
343 Industries,343 인더스트리
"Davis County, Utah",데이비스군 (유타주)
"Dimmit County, Texas",디미트군
Federal Bureau of Investigation,연방수사국
.gov,.gov
"Goliad County, Texas",골리어드군
The Game Awards 2022,더 게임 어워즈 2022
The Walt Disney Company,월트 디즈니 컴퍼니
Pan Am,팬아메리칸 월드 항공
Chrysler Building,크라이슬러 빌딩
The Pentagon,펜타곤
"Real County, Texas",리얼군
"San Augustine County, Texas",샌오거스틴군
"Springfield, Illinois",스프링필드 (일리노이주)
"Buffalo, New York",버펄로 (뉴욕주)
"Racine, Wisconsin",러신 (위스콘신주)
"Grafton County, New Hampshire",그래프턴군
McDonald's,맥도날드
Skype,스카이프
"Boca Raton, Florida",보카러톤
Cheyenne language,샤이엔어
"Rio Rancho, New Mexico",리오랜초
Lark (cigarette),라크 (담배)
White House,백악관
"Desha County, Arkansas",데샤군
"Greenlee County, Arizona",그린리군
Neue Galerie New York,노이에 갤러리
"Lake County, Michigan",레이크군 (미시간주)
"Lonoke County, Arkansas",로노크군
"Bisbee, Arizona",비즈비 (애리조나주)
"Lake Havasu City, Arizona",레이크해버수시티
Los Angeles Metro Busway,로스앤젤레스 메트로 버스웨이
Macy's Thanksgiving Day Parade,메이시스 추수감사절 퍼레이드
"Bethel, Alaska",베설 (알래스카주)
"South Tucson, Arizona",사우스투손
"Christian County, Kentucky",크리스천군 (켄터키주)
"Coles County, Illinois",콜스군
"Kittitas County, Washington",키티타스군
Independence Day (United States),독립기념일 (미국)
"Saginaw County, Michigan",새기노군
Pearl Harbor,진주만
Arizona,애리조나주
"Kent County, Delaware",켄트군 (델라웨어주)
"Mesa County, Colorado",메사군
"Comal County, Texas",코멀군
"Cooke County, Texas",쿡군 (텍사스주)
"Childress County, Texas",차일드리스군
Columbus Circle,콜럼버스 서클
San Francisco,샌프란시스코
"Camden County, Georgia",캠던군 (조지아주)
"Travis County, Texas",트래비스군
"Chilton County, Alabama",칠턴군
"Cumberland County, Illinois",컴벌랜드군 (일리노이주)
California,캘리포니아주
YouTube,유튜브
"Lake County, California",레이크군 (캘리포니아주)
"Morris County, Texas",모리스군 (텍사스주)
Anti-Defamation League,반명예훼손연맹
Rio Grande,리오그란데강
Lake Superior,슈피리어호
"Loup County, Nebraska",루프군
"Joshua Tree, California",조슈아트리 (캘리포니아주)
"Kendall County, Illinois",켄들군 (일리노이주)
"Pope County, Illinois",포프군 (일리노이주)
Boston,보스턴
"Colquitt County, Georgia",콜킷군
"Crow Wing County, Minnesota",크로윙군
"Carlton County, Minnesota",칼턴군
"Clinton County, New York",클린턴군 (뉴욕주)
"Terry County, Texas",테리군
"Clarke County, Mississippi",클라크군 (미시시피주)
"Cripple Creek, Colorado",크리플크리크 (콜로라도주)
Ohio,오하이오주
Mexican–American War,멕시코-미국 전쟁
"Rome, New York",롬 (뉴욕주)
Great Depression,대공황
"Columbia County, Florida",컬럼비아군 (플로리다주)
Intermediate-Range Nuclear Forces Treaty,중거리 핵전력 조약
Greek language,그리스어
Wisconsin,위스콘신주
"Calhoun County, Florida",캘훈군 (플로리다주)
"Charleston County, South Carolina",찰스턴군
"Cumberland County, Kentucky",컴벌랜드군 (켄터키주)
Mozilla,모질라
Space Shuttle Endeavour,인데버 우주왕복선
Oklahoma,오클라호마주
United States Air Force,미국 공군
Wikitravel,위키트래블
Ethnologue,에스놀로그
1984 Summer Olympics,1984년 하계 올림픽
"Arlington, Texas",알링턴 (텍사스주)
"Braintree, Massachusetts",브레인트리 (매사추세츠주)
Dallas,댈러스
SIL International,국제 SIL
Amtrak,암트랙
"Frio County, Texas",프리오군
ISO 3166-2:US,ISO 3166-2:US
"Piute County, Utah",피우트군
Presidential Medal of Freedom,대통령 자유 훈장
International Space Station,국제우주정거장
1814–15 United States Senate elections,1814년 미국 상원의원 선거
"Helena, Montana",헬레나 (몬태나주)
WWE Network,WWE 네트워크
"Jackson, Mississippi",잭슨 (미시시피주)
"Tyler County, Texas",타일러군 (텍사스주)
"Pierre, South Dakota",피어 (사우스다코타주)
"Cavalier County, North Dakota",캐벌리어군
Animal Planet,애니멀 플래닛
Wake Island,웨이크섬
Chamorro language,차모로어
Comanche language,코만치어
"Oliver County, North Dakota",올리버군
Yale University,예일 대학교
Kashubian language,카슈브어
"Springfield, Massachusetts",스프링필드 (매사추세츠주)
"Somerville, Massachusetts",서머빌 (매사추세츠주)
"Fargo, North Dakota",파고 (노스다코타주)
Smith College,스미스 칼리지
Wellesley College,웰즐리 칼리지
"Winston-Salem, North Carolina",윈스턴세일럼
Oklahoma City,오클라호마시티
Saipan,사이판섬
"Madison, Wisconsin",매디슨 (위스콘신주)
"Iron County, Wisconsin",아이언군 (위스콘신주)
"Surprise, Arizona",서프라이즈 (애리조나주)
Harvard University,하버드 대학교
Circassians,체르케스인
Bigfoot,빅풋
Walt Disney Records,월트 디즈니 레코드
"Washington County, Rhode Island",워싱턴군 (로드아일랜드주)
United Airlines Flight 173,유나이티드 항공 173편 추락 사고
"Chelsea, Alabama",첼시 (앨라배마주)
"Oceana County, Michigan",오세아나군
Hurricane Katrina,허리케인 카트리나
United States presidential election,미국 대통령 선거
"Phoenix, Arizona",피닉스 (애리조나주)
Interstate 4,주간고속도로 제4호선
Interstate 65,주간고속도로 제65호선
Jesus movement,예수 운동
"Ottawa County, Michigan",오타와군 (미시간주)
Midway Atoll,미드웨이 환초
"Rolette County, North Dakota",룰렛군
"Benton County, Arkansas",벤턴군 (아칸소주)
"Mohave County, Arizona",모하비군
Interstate 81,주간고속도로 제81호선
Interstate 84 (Oregon–Utah),주간고속도로 제84호선 (오리건주-유타주)
Interstate 85,주간고속도로 제85호선
Interstate 86 (Pennsylvania–New York),주간고속도로 제86호선 (펜실베이니아주-뉴욕주)
Interstate 88 (New York),주간고속도로 제88호선 (뉴욕주)
Interstate 90,주간고속도로 제90호선
"Saline County, Arkansas",설린군 (아칸소주)
"Stone County, Arkansas",스톤군 (아칸소주)
Interstate 91,주간고속도로 제91호선
Interstate 93,주간고속도로 제93호선
Interstate 94,주간고속도로 제94호선
Interstate 95,주간고속도로 제95호선
Fandom (website),팬덤 (웹사이트)
"LaMoure County, North Dakota",라무르군
"Ramsey County, North Dakota",램지군 (노스다코타주)
"Mason County, Michigan",메이슨군 (미시간주)
"Miller County, Arkansas",밀러군 (아칸소주)
"Cambridge, Massachusetts",케임브리지 (매사추세츠주)
"Houghton County, Michigan",호튼군
HarperCollins,하퍼콜린스
"Napa County, California",내파군
Massachusetts Institute of Technology,매사추세츠 공과대학교
Biosphere 2,바이오스피어 2
United States Senate,미국 상원
Cornell University,코넬 대학교
American Film Institute,미국 영화 연구소
Bible Belt,바이블 벨트
Twenty-second Amendment to the United States Constitution,미국 수정 헌법 제22조
Faneuil Hall,패늘 홀
"Quincy, Massachusetts",퀸시 (매사추세츠주)
"Delta County, Texas",델타군 (텍사스주)
"Gregg County, Texas",그레그군
Boston Latin School,보스턴 라틴 스쿨
New York University,뉴욕 대학교
"Newton, Massachusetts",뉴턴 (매사추세츠주)
"Steuben County, New York",슈토이벤군 (뉴욕주)
"Sullivan County, New York",설리번군 (뉴욕주)
BlackRock,블랙록 (기업)
United States Soccer Federation,미국 축구 연맹
"Lorain County, Ohio",로레인군
