Tours,투르
Aix-en-Provence,엑상프로방스
Nanterre,낭테르
Second Empire,프랑스 제2제국
Giverny,지베르니
Beaune,본 (프랑스)
Vénissieux,베니시외
Nyons,니옹 (프랑스)
Centre national d'études spatiales,프랑스 국립 우주 연구 센터
Métro de Paris,파리 메트로
Ligne 10 du métro de Paris,파리 메트로 10호선
Ligne 3 du métro de Paris,파리 메트로 3호선
Ligne 13 du métro de Paris,파리 메트로 13호선
Sarcelles,사르셀
1 500 mètres masculin aux Jeux olympiques de 1900 (athlétisme),1900년 하계 올림픽 육상 남자 1500m
60 mètres masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 60m
800 mètres masculin aux Jeux olympiques de 1900 (athlétisme),1900년 하계 올림픽 육상 남자 800m
Olympique de Marseille,올랭피크 드 마르세유
Saut en hauteur masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 높이뛰기
Grande Chartreuse,그랑드 샤르트뢰즈
Foix,푸아
15e arrondissement de Paris,파리 15구
Privas,프리바
Assemblée nationale (France),프랑스 하원
Grenoble Foot 38,그르노블 푸트 38
Château d'Ussé,위세성
Massif des Vosges,보주산맥
Agde,아그드
Saint-Cloud,생클루
Hyères,이에르 (바르주)
Forêt amazonienne,아마존 우림
Malakoff (Hauts-de-Seine),말라코프
20e arrondissement de Paris,파리 20구
Castelsarrasin,카스텔사라쟁
Briord,브리오르
Villefranche-de-Rouergue,빌프랑슈드루에르그
Marignane,마리냔
Montrouge,몽루주
Talence,탈랑스
Carpentras,카르팡트라
Galeries Lafayette Haussmann,갤러리 라파예트
Garges-lès-Gonesse,가르주레고네스
Lambersart,랑브르사르
Ambronay,앙브로네
Aulnay-sous-Bois,올네수부아
Aigues-Mortes,에그모르트
Ambléon,앙블레옹
Artemare,아르트마르
Nouvelle Vague,누벨 바그
Rhône-Poulenc,론풀랑크
Chinon,시농
Istres,이스트르
Draguignan,드라기냥
Avranches,아브랑슈
Fauconnerie,매사냥
Le Vigan (Gard),르비강 (가르주)
Bouligneux,불리뉴
Les Très Riches Heures du duc de Berry,베리공의 매우 호화로운 기도서
Bolozon,볼로종
Champ-de-Mars (Paris),마르스 광장 (파리)
Arbent,아르방
Arbigny,아르비니
Liste des communes de la Martinique,마르티니크의 코뮌 목록
Château de Chambord,샹보르성
Stade Vélodrome,스타드 벨로드롬
Miramas,미라마
Vallauris,발로리스
Bruay-la-Buissière,브뤼에라비시에르
Passerelle des Trois Pays,세 나라 다리
Le Chesnay,르셰네
Montfermeil,몽페르메유
Bezons,브종
Voiron,부아롱
Mandelieu-la-Napoule,망들리외라나풀
Université de Paris (1896-1970),신 파리 대학교
Côte d'Azur,코트다쥐르
Tarbes,타르브
Bataille de la Marne (1914),제1차 마른강 전투
Fréjus,프레쥐스
Villeneuve-la-Garenne,빌뇌브라가렌
Élancourt,엘랑쿠르
Liste des communes des Alpes-Maritimes,알프마리팀주의 코뮌 목록
Azay-le-Rideau,아제르리도
Chatou,샤투
Olivet (Loiret),올리베
Sannois,사누아
Championnats du monde d'athlétisme 2003,2003년 세계 육상 선수권 대회
Colonne de Juillet,7월 기념비
Festival de Cannes 1991,1991년 칸 영화제
École pratique des hautes études,고등연구실습원
Gonesse,고네스
Éditions Gallimard,갈리마르 출판사
Festival de Cannes 1983,1983년 칸 영화제
Festival de Cannes 1989,1989년 칸 영화제
Alémanique,알레만어
Bataille de la Somme,솜 전투
Boulogne-Billancourt,불로뉴비양쿠르
Préfecture de police (Paris),파리 경찰청
Montauban,몽토방
Aérodrome de Futuna Pointe Vele,푸앵트벨 공항
Place de la République (Paris),레퓌블리크 광장
Millau,미요 (아베롱주)
Deuil-la-Barre,되이라바르
Bataille de Nancy,낭시 전투
Académie des beaux-arts (France),예술 아카데미 (프랑스)
Tricolore (ballon),아디다스 트리콜로
Air Austral,에어 오스트랄
Institut Pasteur,파스퇴르 연구소
Air liquide (société),에어리퀴드
Traité de Versailles (1756),베르사유 조약 (1756년)
L'Abergement-Clémenciat,라베르즈망클레망시아
Disneyland Paris,디즈니랜드 파리
Languedoc,랑그도크
Brénod,브레노
Val-d'Isère,발디제르
Meaux,모 (프랑스)
L'Abergement-de-Varey,라베르즈망드바레
La Seyne-sur-Mer,라센쉬르메르
Mont Ventoux,방투산
Montbard,몽바르
France d'outre-mer,해외 프랑스
Pont-Saint-Esprit,퐁생테스프리
6e arrondissement de Paris,파리 6구
Caluire-et-Cuire,칼리르에키르
Savigny-le-Temple,사비니르탕플
Tour Montparnasse,몽파르나스 타워
Vertou,베르투
Granville,그랑빌
Archidiocèse d'Avignon,가톨릭 아비뇽 대교구
Romainville,로맹빌
Festival de Cannes 1965,1965년 칸 영화제
Traité de Paris (1815),파리 조약 (1815년)
Colomiers,콜로미에
Fontenay-aux-Roses,퐁트네오로즈
PSE - École d'économie de Paris,파리 경제 학교
Villeparisis,빌파리지
Sevran,세브랑
Académie des sciences morales et politiques,윤리·정치학 아카데미
École nationale supérieure de mécanique et d'aérotechnique,국립고등기계항공학교
Purisme (art),순수주의
École centrale Paris,에콜 상트랄 파리
Bagnols-sur-Cèze,바뇰쉬르세즈
Chenonceaux,슈농소
Conservatoire national supérieur de musique et de danse de Paris,파리국립고등음악무용원
Bataillon français de l'ONU,프랑스 대대
Clairefontaine-en-Yvelines,클레르퐁텐앙이블린
Quantic Dream,퀀틱 드림
16e parallèle nord,북위 16도
Centre international de recherche sur le cancer,국제 암 연구 기관
Schœlcher,쇨셰르
Mouvement démocrate (France),민주운동 (프랑스)
Élection présidentielle française de 2012,2012년 프랑스 대통령 선거
Liste des communes de la Guadeloupe,과들루프의 코뮌 목록
Drapeau de La Réunion,레위니옹의 기
Legrand (entreprise),르그랑 (기업)
Charolais (pays),샤롤레
Route européenne 44,유럽 고속도로 44호선
Stade lavallois Mayenne Football Club,스타드 라발루아
Chambord (Loir-et-Cher),샹보르 (루아르에셰르주)
Saint-Quentin-Fallavier,생캉탱팔라비에
Bataille d'Orange,아라우시오 전투
Dailymotion,데일리모션
Delahaye,들라이예
Canton de Ceyzériat,세제리아 캉통
Joinville-le-Pont,주앵빌르퐁
Poche de Falaise,팔레즈 포위전
Club sportif Sedan Ardennes,CS 스당 아르덴
Finale de la Coupe du monde de football 1998,1998년 FIFA 월드컵 결승전
Chamois niortais Football Club,샤무아 니오르 FC
Université Paris-Sorbonne,파리 소르본 대학교
Opéra Bastille,오페라 바스티유
Système éducatif en France,프랑스의 교육
Régie autonome des transports parisiens,파리 교통공단
Bondoufle,봉두플
Chauvigny,쇼비니
Atari SA,아타리 SA
Yvoire,이브와르
Mont d'Or (fromage),바슈랭 몽도르
Saint-Cyr-sur-Mer,생시르쉬르메르
Lycée Charlemagne,리세 샤를마뉴
Festival de Cannes 1977,1977년 칸 영화제
Internationaux de France de tennis 2012,2012년 프랑스 오픈
Festival de Cannes 1956,1956년 칸 영화제
Bataclan,바타클랑 (극장)
Saint-Domingue (colonie française),생도맹그
Vannes Olympique Club,반 OC
Canton de Gex,젝스 캉통
Autoroute A3 (France),오토루트 3호선
Jardin des Tuileries,튀일리 정원
Petit Palais,프티 팔레
Stade Geoffroy-Guichard,스타드 조프루아 기샤르
Théâtre national de l'Opéra-Comique,오페라 코미크 (파리)
Parti de gauche (France),좌파당 (프랑스)
Ceinture alpine,알프스-히말라야 조산대
Hermès International,에르메스
Le Monde diplomatique,르몽드 디플로마티크
Élections législatives françaises de 1919,1919년 프랑스 총선
Le Perreux-sur-Marne,르페뢰쉬르마른
Saint-Louis (Guadeloupe),생루이 (과들루프)
Seine-et-Oise,센에우아즈주
Escrime aux Jeux olympiques de 1900,1900년 하계 올림픽 펜싱
Petit-Bourg,프티부르
’Ia ora ’o Tahiti Nui,프랑스령 폴리네시아의 국가
Voile aux Jeux olympiques de 1900,1900년 하계 올림픽 요트
Cathédrale Notre-Dame-de-l'Annonciation de Nancy,낭시 대성당
Siège de Lyon,리옹 반란
France aux Jeux olympiques d'hiver de 1968,1968년 동계 올림픽 프랑스 선수단
France aux Jeux olympiques d'hiver de 1932,1932년 동계 올림픽 프랑스 선수단
Vignoble de Bourgogne,부르고뉴 포도주
Cercle athlétique bastiais,CA 바스티아
Route européenne 23,유럽 고속도로 23호선
Tikehau,티케하우
Trophée des champions (football),트로페 데 샹피옹
Bobsleigh aux Jeux olympiques de 1924,1924년 동계 올림픽 봅슬레이
Équipe du Pays basque de football,바스크 축구 국가대표팀
Maine (province),멘 (프로뱅스)
Paicî,파이칭어
Route européenne 713,유럽 고속도로 713호선
Béréziat,베레지아
Berry,베리 (프로뱅스)
Renault Trucks,르노트럭
Vigneux-sur-Seine,비뇌쉬르센
Conseil constitutionnel (France),헌법평의회 (프랑스)
Aéroport international de Nouméa-La Tontouta,누메아 라 톤투타 국제공항
Festival de Cannes 1953,1953년 칸 영화제
Festival de Cannes 1974,1974년 칸 영화제
Finale de la Ligue des champions de l'UEFA 1999-2000,2000 UEFA 챔피언스리그 결승전
Vivendi,비방디
Université de technologie de Troyes,트루아 공과대학교
Élections législatives françaises de 1792,1792년 프랑스 국민공회 선거
Festival de Cannes 1949,1949년 칸 영화제
Festival de Cannes 1958,1958년 칸 영화제
TGV PBKA,탈리스 PBKA
Un certain regard,주목할 만한 시선
Élections législatives françaises de 1898,1898년 프랑스 총선
Festival de Cannes 1992,1992년 칸 영화제
Festival de Cannes 1998,1998년 칸 영화제
Rive gauche (Paris),좌안 (파리)
Château Mouton Rothschild,샤토 무통 로쉴드
Champs-Élysées - Clemenceau (métro de Paris),샹젤리제-클레망소 역
Château Lafite Rothschild,샤토 라피트 로쉴드
Fusillade du Champ-de-Mars,샹 드 마르스의 학살
Notre-Dame de La Salette,라살레트의 성모
Chamalières-sur-Loire,샤말리에르쉬르루아르
Lucé (Eure-et-Loir),뤼세 (외르에루아르주)
Sorbiers (Loire),소르비에 (루아르주)
Mouvement écologiste indépendant,독립 생태운동
Voie Domitienne,도미티아 가도
Lyon-La Duchère,리옹 - 라 뒤셰르
Théâtre antique d'Arles,아를 고대극장
Championnat d'Europe de football des moins de 19 ans 2010,2010년 UEFA U-19 축구 선수권 대회
Club Med,클럽메드
French Connection,프렌치 커넥션
Offensive des Cent-Jours,100일 공세
Groupe D de la Coupe du monde de football 1998,1998년 FIFA 월드컵 D조
Hennessy,헤네시
Romanisation de l'EFEO,원동박고원 병음체계
Musée Picasso (Antibes),피카소 미술관 (앙티브)
Élections législatives françaises de 2012,2012년 프랑스 총선
Crazy Horse (cabaret),크레이지 호스 (카바레)
Institut d'études politiques d'Aix-en-Provence,엑상프로방스 정치 대학
4e parallèle nord,북위 4도
Place Saint-Michel (Paris),생 미셸 광장
École spéciale de mécanique et d'électricité,ESME 수드리아
Pathé,파테 (기업)
Château de Cheverny,슈베르니성
Château de Menars,메나르성
ISO 3166-2:PF,ISO 3166-2:PF
Le 18 Brumaire de Louis Bonaparte,루이 나폴레옹의 브뤼메르 18일
Universiade d'hiver de 1960,1960년 동계 유니버시아드
Airbus Helicopters H155,유로콥터 EC155
ASL Airlines France,ASL 항공 프랑스
EuropaCorp,유로파코프
Route européenne 19,유럽 고속도로 19호선
49e parallèle nord,북위 49도
Archidiocèse de Reims,가톨릭 랭스 대교구
Créole guyanais,기아나 크리올
Accords d'Évian,에비앙 협정
France 3,프랑스 3
France aux Jeux olympiques de 1908,1908년 하계 올림픽 프랑스 선수단
Tel Quel (revue),텔 켈
Union de transports aériens,UTA 항공
Ligue de football professionnel (France),프랑스 프로축구연맹
Groupe H de la Coupe du monde de football 1998,1998년 FIFA 월드컵 H조
Puka Puka,푸카푸카섬 (투아모투 제도)
Sodexo,소덱소
Globaltrade.net,GlobalTrade.net
Universiade d'hiver de 1968,1968년 동계 유니버시아드
Canton de Meximieux,멕시미외 캉통
Pont amont,퐁 아망
Canton d'Ambérieu-en-Bugey,앙베리외앙뷔제 캉통
Mataiva,마타이바 환초
Parc Georges-Brassens,조르주브라상 공원
Université Paris-VIII-Vincennes-Saint-Denis,파리 제8대학교
X/Open,X/Open
Élection présidentielle française de 1965,1965년 프랑스 대통령 선거
Élection présidentielle française de 1969,1969년 프랑스 대통령 선거
Mériel,메리엘
Premier ministre français,프랑스의 총리
Rhodia (papeterie),로디아 (문방구)
Solidays,솔리데이
Jacobinisme,자코뱅주의
Gare de Thonon-les-Bains,토농레뱅역
Élections législatives françaises de 1848,1848년 프랑스 총선
Élections législatives françaises de 1849,1849년 프랑스 총선
Flan pâtissier,커스터드 타르트
140e méridien ouest,서경 140도
51e parallèle nord,북위 51도
La Croisette,크루아제트가
Route européenne 502,유럽 고속도로 502호선
Studiocanal,스튀디오카날
Affaire du Tonkin,통킹 사건
Prix Suzanne-Bianchetti,수잔 비앙케티상
Président du Conseil des ministres (France),국무회의 의장 (프랑스)
Canton de Nantua,낭튀아 캉통
Stade Pierre-de-Coubertin (Cannes),스타드 피에르 드 쿠베르탱 (칸)
Élections législatives françaises de 1876,1876년 프랑스 총선
Élections législatives françaises de 1932,1932년 프랑스 총선
Élections législatives françaises de 1967,1967년 프랑스 총선
Tableau des médailles des Jeux paralympiques d'hiver de 1992,1992년 동계 패럴림픽 메달 집계
Concours Long-Thibaud-Crespin,롱티보 크레스팽 국제 콩쿠르
Croisset,크루아세
Frontières naturelles de la France,자연국경론
Histoire de l'équipe de France de football,프랑스 축구 국가대표팀의 역사
Air France Hop,에어 프랑스 HOP
Cathédrale Saint-Louis de Versailles,베르사유 대성당
Gare d'Annemasse,안마스역
Gourmandises (chanson d'Alizée),Gourmandises (노래)
Élections municipales françaises de 1971,1971년 프랑스 뮈니시팔 선거
Vol XL Airways Germany 888T,XL 에어웨이스 독일 888T편 추락 사고
Dotemu,닷에뮤
Logement social,공영 주택
Colonie de Madagascar et dépendances,프랑스령 마다가스카르
Élection présidentielle française de 2017,2017년 프랑스 대통령 선거
Banque de l'Indochine,인도차이나 은행
Élections en France,프랑스의 선거
Bal des Débutantes (Paris),발 데 데뷔탕트
Élections européennes de 2014 en France,2014년 프랑스 유럽 의회 선거
Canton de Bourg-en-Bresse-1,부르캉브레스 제1캉통
Nouvelle-Aquitaine,누벨아키텐
Liste des communes de la métropole de Lyon,리옹 광역시의 코뮌 목록
Finale du Championnat d'Europe de football 2016,UEFA 유로 2016 결승전
Groupe B du Championnat d'Europe de football 2016,UEFA 유로 2016 B조
Skateboard aux Jeux olympiques d'été de 2020,2020년 하계 올림픽 스케이트보드
Festival de Cannes 2019,2019년 칸 영화제
L'œuvre architecturale de Le Corbusier,르 코르뷔지에의 건축 작품
Trophée Kopa,트로페 코파
Pandémie de Covid-19,코로나19 범유행
Pandémie de Covid-19 à Saint-Pierre-et-Miquelon,생피에르 미클롱의 코로나19 범유행
Internationaux de France de tennis 2022,2022년 프랑스 오픈
Championnats du monde de patinage artistique 2022,2022년 세계 피겨스케이팅 선수권 대회
Jura (département),쥐라 (데파르트망)
France,프랑스
Alpes-de-Haute-Provence,알프드오트프로방스주
Ardèche (département),아르데슈
Charente (département),샤랑트
Corse-du-Sud,코르스뒤쉬드주
Fougères,푸제르
Libourne,리부른
LOSC Lille,릴 OSC
Radio France internationale,라디오 프랑스 앵테르나쇼날
Wissembourg,비상부르
Gard,가르주
Macaron,마카롱
La Sortie de l'usine Lumière à Lyon,공장 노동자들의 퇴근
Renault,르노
Allemand,독일어
Lyon,리옹
Basilique du Sacré-Cœur de Montmartre,사크레쾨르 대성당
Caen,캉
Bordeaux,보르도
Le Mans,르망 (프랑스)
Vosges (département),보주 (데파르트망)
Dordogne (département),도르도뉴 (데파르트망)
Ligne 1 du métro de Paris,파리 메트로 1호선
Société nationale des chemins de fer français,프랑스 국유 철도
Léman,레만호
Roanne,로안
Vannes,반 (프랑스)
Perpignan,페르피냥
Guerre de Vendée,방데 전쟁
Traité de Versailles,베르사유 조약
Poitiers,푸아티에
Cuisine française,프랑스 요리
Aloxe-Corton,알록스코르통
Contrat de vente en France,선의의 취득자
Fort Boyard (monument),보야르 요새
Saint-Nicolas-lès-Cîteaux,생니콜라레시토
Mur de l'Atlantique,대서양 방벽
Langue d'oïl,오일어
Mer Celtique,켈트해
Catalan,카탈루냐어
Bas-Rhin,바랭주
Val-de-Marne,발드마른주
Amiens,아미앵
Bataille de Denain,드냉 전투
Besançon,브장송
Marne (rivière),마른강
Hazebrouck,아즈브루크
Isère (département),이제르 (데파르트망)
Orne (département),오른 (데파르트망)
Pays de la Loire,페이드라루아르
Bataille de Crécy,크레시 전투
Eure (rivière),외르강
Saint-Denis (La Réunion),생드니 (레위니옹)
Pays basque,바스크
Annecy,안시 (프랑스)
École normale supérieure (Paris),고등사범학교
Football Club de Lorient,FC 로리앙
Première République (France),프랑스 제1공화국
Allianz Riviera,알리안츠 리비에라
Siège d'Alésia,알레시아 전투
Commandement des actions spéciales terre,육군특수부대사령부 (프랑스)
Coupe du monde de football 1938,1938년 FIFA 월드컵
Artois (province),아르투아
Dives (fleuve),디브강
Grand Liban,대레바논
Bataille de Poitiers (732),투르 푸아티에 전투
Crécy-en-Ponthieu,크레시앙퐁티외
400 mètres masculin aux Jeux olympiques de 1900 (athlétisme),1900년 하계 올림픽 육상 남자 400m
Draveil,드라베이
Raid de Dieppe,디에프 기습
Petites Antilles,소앤틸리스 제도
Occitanie (région culturelle),옥시타니아
Séfarades,스파라드 유대인
Bastia,바스티아
Cavaillon,카바용
Nogent-sur-Marne,노장쉬르마른
Lisieux,리지외
France aux Jeux olympiques de 1896,1896년 하계 올림픽 프랑스 선수단
Rassemblement national,국민연합 (프랑스)
Brénaz,브레나즈
Le Radeau de La Méduse,메두사호의 뗏목
Béarn,베아른
Championnat de France de football de deuxième division,리그 2
Orly,오를리
Pays celtiques,켈트 국가
Église Saint-Sulpice de Paris,생 쉴피스 교회
Asnières-sur-Saône,에니에르쉬르손
Billiat,비야 (프랑스)
Ris-Orangis,리조랑지스
Rodez Aveyron Football,로데스 AF
Élections législatives françaises de 1881,1881년 프랑스 총선
Moulin-Rouge,물랭 루주
Prix du jury du Festival de Cannes,칸 영화제 심사위원상
Toul,툴 (프랑스)
Aix-les-Bains,엑스레뱅
Alençon,알랑송
Aubagne,오바뉴
Orange (Vaucluse),오랑주 (프랑스)
Cabourg,카부르 (칼바도스주)
Empire colonial français,프랑스 식민제국
Grotte de Lascaux,라스코 동굴
Menton (Alpes-Maritimes),망통
Îles Tuamotu,투아모투 제도
Organisation territoriale de la France,프랑스의 행정 구역
Dieppe (Seine-Maritime),디에프 (센마리팀주)
Clamart,클라마르
Clichy-sous-Bois,클리시수부아
Aude (fleuve),오드강
Montmartre,몽마르트르
Île Amsterdam,암스테르담섬
Arcachon,아르카숑
Coupe de France de football,쿠프 드 프랑스
Estuaire de la Gironde,지롱드강
Camembert (Orne),카망베르
Sénat (France),프랑스 상원
Abbaye de Cluny,클뤼니 대수도원
Champigny-sur-Marne,샹피니쉬르마른
Roquefort (fromage),로크포르
Lons-le-Saunier,롱스르소니에
Mascareignes,마스카렌 제도
Bettant,베탕
Champagne-en-Valromey,샹파뉴앙발로메
Villefranche-sur-Mer,빌프랑슈쉬르메르
Muret (Haute-Garonne),뮈레
Restauration (histoire de France),부르봉 왕정복고
Belmont-Luthézieu,벨몽뤼테지외
Bohas-Meyriat-Rignat,보아메리아리냐
Baneins,바냉
Bataille de Dunkerque,됭케르크 전투
Armistice du 11 novembre 1918,콩피에뉴 휴전 협정 (1918년)
Joué-lès-Tours,주에레투르
Éliminatoires du Championnat d'Europe de football 1984,UEFA 유로 1984 예선
Loir (rivière),루아르강 (지류)
Loudéac,루데아
Liste des communes des Ardennes,아르덴주의 코뮌 목록
Stains,스탱
Ancien Régime,앙시앵 레짐
Ciboure,시부르 (프랑스)
Armagnacs,아르마냐크파
Bretons,브르타뉴인
Échirolles,에시롤
Chanay,샤네
Accor,아코르
Sens (Yonne),상스
Chanel,샤넬
Vire,비르 (칼바도스주)
Palais des Tuileries,튀일리궁
Route de l'ambre,호박의 길
Cinéma français,프랑스 영화
Flamands,플람스인
Élection présidentielle française de 2007,2007년 프랑스 대통령 선거
Condé-en-Brie,콩데앙브리
Caumont-l'Éventé,코몽
Aire-sur-la-Lys,에르쉬르라리스
Hachette Livre,아셰트
Combs-la-Ville,콩라빌
Saint-Paul (La Réunion),생폴 (레위니옹)
Avion (Pas-de-Calais),아비옹
Opération Nordwind,노르트빈트 작전
Six-Fours-les-Plages,시푸르레플라주
Parnasse (poésie),고답파
Route européenne 74,유럽 고속도로 74호선
Montélimar,몽텔리마르
Villenave-d'Ornon,빌나브도르농
Challex,샬렉스
Villiers-le-Bel,빌리에르벨
Cessy,세시 (코뮌)
Brion (Ain),브리옹 (앵주)
Vernon (Eure),베르농
Matmut Atlantique,누보 스타드 드 보르도
Parc de la Villette,라빌레트 공원
Bois de Vincennes,뱅센 숲
École supérieure d'électricité,수펠레크
Champagne (province),샹파뉴
Houilles,우일 (프랑스)
Saint-Herblain,생테르블랭
Chevillard (Ain),슈비야르
Sochaux,소쇼
Pièces en euro de la France,프랑스의 유로 주화
Thiais,티에
Paris Saint-Germain Football Club,파리 생제르맹 FC
Équipe de France masculine de basket-ball,프랑스 농구 국가대표팀
Constitution du 6 messidor an I,1793년 프랑스 헌법
Festival de Cannes 1957,1957년 칸 영화제
Équipe de France masculine de handball,프랑스 핸드볼 국가대표팀
Club de Paris,파리 클럽
Vol Turkish Airlines 981,터키항공 981편 추락 사고
Belle Époque,벨 에포크
Tournoi de tennis de Monte-Carlo,몬테카를로 마스터스
Lectoure,레크투르
Chaley,샬레 (앵주)
Chiers,시에강
Comté de Bourgogne,부르군트 자유백국
Château-Gaillard (Ain),샤토게야르
Aéroport de Paris-Beauvais,보베-티예 공항
Jardin des plantes de Paris,파리 식물원
Traité de Paris (1814),파리 조약 (1814년)
Site nucléaire de Marcoule,마르쿨
Elite Model Management,엘리트 모델 매니지먼트
Football Club de Mulhouse,FC 뮐루즈
Constitution du 5 fructidor an III,공화력 3년 헌법
Cathédrale Saint-André de Bordeaux,성 안드레 성당
Championnat de France de football 2008-2009,리그 1 2008-09
Musée Rodin,로댕 미술관 (파리)
Union sportive Créteil-Lusitanos,US 크레테유
Beaumont (Puy-de-Dôme),보몽 (퓌드돔주)
Bourguignon-morvandiau,부르고뉴어
Élections législatives françaises de 1816,1816년 프랑스 총선
Festival international du film fantastique de Gérardmer,제라르메 국제 판타스틱 영화제
Archipel des Comores,코모로 제도
Castelmaurou,카스텔모루
Château-Chinon (Campagne),샤토시농 (캉파뉴)
Tubuai,투부아이섬
Cartier (entreprise),까르띠에
Les Herbiers,레제르비에
France 4,프랑스 4
Diocèse d'Amiens,가톨릭 아미앵 교구
Crossair,크로스 에어
Ill (France),일강 (알자스)
Traité de Fontainebleau (1814),퐁텐블로 조약 (1814년)
Ceignes,세뉴
Challes-la-Montagne,샬라몽타뉴
Athlétisme aux Jeux olympiques de 1900,1900년 하계 올림픽 육상
Autoroute A1 (France métropolitaine),오토루트 1호선
Centre national des indépendants et paysans,소상공인과 농민의 국민중심
Chazey-sur-Ain,샤제쉬랭
Canal Saint-Martin,생마르탱 운하
Stade Gilbert-Brutus,스타드 질베르 브루투스
Institut du Bon-Pasteur,착한 목자회
Élections législatives françaises de 2007,2007년 프랑스 총선
Ligne A du RER d'Île-de-France,RER A선
Notre-Dame de Paris (comédie musicale),노트르담 드 파리 (뮤지컬)
Aéroport de Nice-Côte d'Azur,니스 코트다쥐르 공항
Bey (Ain),베 (앵주)
Bressolles (Ain),브레솔 (앵주)
Groupe INSA,INSA
Laragne-Montéglin,라라뉴몽텔랭
Liste des cours d'eau de France par longueur,프랑스의 강 목록
Transformations de Paris sous le Second Empire,파리 개조 사업
Libération de Paris,파리 해방
Pontault-Combault,퐁토콩보
Évacuation de Dunkerque,됭케르크 철수 작전
Université Montpellier-I,몽펠리에 제1대학교
Ibis (chaîne d'hôtels),이비스
Olympia (Paris),올랭피아 (파리)
Finale de la Coupe des confédérations 2003,2003년 FIFA 컨페더레이션스컵 결승전
Water-polo aux Jeux olympiques de 1900,1900년 하계 올림픽 수구
Groupe des Six (musique),프랑스 6인조
Siège de Toulon (1793),툴롱 포위전
Fusion des lignes 3 bis et 7 bis du métro de Paris,파리 메트로 3bis호선과 7bis호선의 합병
Bataille de Rocroi,로크루아 전투
Bugatti EB110,부가티 EB 110
Prix Louis-Delluc,루이 들뤼크상
Musée Picasso (Paris),피카소 미술관 (파리)
Équipe de France féminine de football,프랑스 여자 축구 국가대표팀
Gare de Paris-Nord,파리 북역
Caméra d'or,황금카메라상
Musée des Arts forains,놀이공원 박물관
Chasselas (cépage),샤슬라
Gaumont,고몽
Championnat de France de football de National 3,샹피오나 나시오날 3
Baccalauréat en France,바칼로레아
Comté d'Artois,아르투아 백국
Place de la Bastille,바스티유 광장
Musée d'Art moderne de Paris,파리 시립 근대미술관
Festival de Cannes 1964,1964년 칸 영화제
Festival de Cannes 1971,1971년 칸 영화제
Plébiscite sur la Constitution de l'an XII,1804년 프랑스 국민투표
Institut d'optique Graduate School,쉬프옵티크
Coupe d'Océanie de football 2000,2000년 OFC 네이션스컵
Orchestre de Paris,파리 관현악단
Château de Montsoreau,몽소로성
Les Deux Magots,레 되 마고
Fleury-les-Aubrais,플뢰리레오브레
Pontaubault,퐁토보
Saint-Étienne-le-Laus,생테티엔르로
La Voix lycéenne,전국고등학생연맹
Charlie Hebdo,샤를리 에브도
Festival de Cannes 1995,1995년 칸 영화제
Festival de Cannes 2002,2002년 칸 영화제
Château de Saumur,소뮈르성
Soufrière (Guadeloupe),수프리에르산 (과들루프)
Génération écologie,생태주의 시대
Apparitions mariales de Lourdes,루르드의 성모
Parc de Bercy,베르시 공원
Francophonie,프랑스어권
Ski de fond aux Jeux olympiques de 1992,1992년 동계 올림픽 크로스컨트리
Celine (marque),셀린느
Erromintxela,에로민첼라어
Thales,탈레스 그룹
Kouang-Tchéou-Wan,광저우만 조차지
Grand établissement,그랑테타블리스망
Piment d'Espelette,에스플레트고추
Université Aix-Marseille-III,폴 세잔 대학교
ParisTech,파리 공과대학교
Simple dames de tennis aux Jeux olympiques de 1900,1900년 하계 올림픽 테니스 여자 단식
Éducation aux médias,미디어 리터러시
Musée français de la carte à jouer,플레잉카드 박물관
Printemps (grands magasins),프랭탕
Château d'Angers,앙제성
Armée de terre (France),프랑스 육군
Japan Expo,재팬 엑스포
Université Pierre-et-Marie-Curie,파리 제6대학교
Époisses (fromage),에푸아스
Équipe de France masculine de volley-ball,프랑스 배구 국가대표팀
48e parallèle nord,북위 48도
Château de Troussay,트루세성
Mont Ormel,262고지 전투
Élections législatives françaises de 1871,1871년 프랑스 총선
Élections législatives françaises de 1914,1914년 프랑스 총선
Route européenne 712,유럽 고속도로 712호선
Farandole,파랑돌
Bataille du bois Belleau,벨로 숲 전투
Safran (entreprise),사프란 (기업)
Union des démocrates pour la République,공화국민주연합
Élections législatives françaises de 1831,1831년 프랑스 총선
Maréchal général des camps et armées du roi,프랑스 대원수
Cathédrale Saint-Pierre-et-Saint-Paul de Nantes,낭트 대성당
Parc Monceau,몽소 공원
Appellation d'origine contrôlée,아펠라시옹 도리진 콩트롤레
Beaujolais nouveau,보졸레 누보
Élections législatives françaises de 1928,1928년 프랑스 총선
Palais des ducs de Bourgogne,부르고뉴 대공 궁전
Comté de Rouen,루앙 백국
Université Paul-Valéry-Montpellier-III,폴 발레리 몽펠리에 제3대학교
Ratonneau,라토뉴
Élections législatives françaises de 1936,1936년 프랑스 총선
Forêt de Compiègne,콩피에뉴 숲
Don't Nod Entertainment,돈노드 엔터테인먼트
Olympique de Marseille - Paris Saint-Germain en football,르 클라시크
Paris Métropole Futsal,파리 메트로폴 풋살
Paul (entreprise),폴 (베이커리)
Raid sur Rochefort,로슈포르 습격
