Maryse Bastié,마리즈 바스티에
Désiré Dalloz,데지레 달로즈
Claude Polin,클로드 폴랭
Didier Roustan,디디에 루스탕
Claude Pierre-Brossolette,클로드 피에르브로솔레트
Cyrille Merville,시릴 메르빌
Claude Renoir,클로드 르누아르
Cécile Brunschvicg,세실 브룅스비크
Eddy Mitchell,에디 미첼
Cécile Coulon,세실 쿨롱
Earvin N'Gapeth,에르뱅 은가페트
Cécile Alzina,세실 알지나
Cécile Rebboah,세실 레보아
Edme Boursault,에드메 부르소
Edgar Stehli,에드가 스테리
Nathalie Lissenko,나탈리야 리센코
Morgane Ribout,모르간 리부
Djédjé Apali,데자리 아팔리
Cécile de Ménibus,세실 드 메니뷔스
Claude Sérillon,클로드 세리용
Cécilia Hornus,세실리아 오르뉘스
Liina Brunelle,리나 브루넬레
Céleste Bouglé,셀레스트 부글레
Edmond Boulle,에드몽 불
Edmond-René Labande,에드몽르네 라방드
Dominique Aulanier,도미니크 올라니에
Dominique Bedel,도미니크 베델
David Marsais,다비드 마르세
Dominique Arribagé,도미니크 아리바제
Cédric Soulette,세드리크 술레트
Edmond Alphandéry,에드몽 알팡데리
Céline Dodin,셀린 도댕
Claudine Blanchard-Laville,클로딘 블랑샤르라빌
Claudine Coster,클로딘 코스테르
Claude Érignac,클로드 에리냐크
Céline Lecompére,셀린 르콩페르
David Robo,다비드 로보
Edmond Desbonnet,에드몽 데보네
Dominique Cabrera,도미니크 카브레라
Dominique Bousquet,도미니크 부스케
René Simon,르네 시몽
Claudio Beauvue,클라우디오 보뷔
Claudy Siar,클로디 시아르
Deborah Grall,드보라 그랄
Dominique Chapatte,도미니크 샤파트
Dominique Douay,도미니크 두에
Dominique Delouche,도미니크 들루슈
Davy Chou,데이비 추
Dominique Frot,도미니크 프로
Edmond Pelouze,에드몽 펠루즈
Dominique Farrugia,도미니크 페루자
Davy Sicard,다비 시카르
Delphine Cascarino,델핀 카스카리노
Delphine Arnault,델핀 아르노
Delphine Depardieu,델핀 드파르디외
Clopin Trouillefou,클로팽 트루유푸
Delphine Collot,델핀 콜로
Dominique Janicaud,도미니크 자니코
Dominique Merlet,도미니크 메를레
Damien Thévenot,다미앵 테브노
Denis Baupin,드니 보팽
Denis Comtet,드니 콩테
Denis Badré,드니 바드레
Denis Brogniart,드니 브로니아르
Denis Dercourt,드니 데르쿠르
Dominique Loiseau,도미니크 루아조
Dominique Loreau,도미니크 로로
Edmée Delebecque,에드메 들르베크
Dominique Rizet,도미니크 리제
Edmond van Daële,에드몽 반 다엘
Daniel Bardet,다니엘 바르데
Daniel-Jean Colloredo,다니엘 진 콜레도
Dominique Pestre,도미니크 페스트르
Edwy Plenel,에두이 플레넬
Edwige Avice,에드비주 아비스
Faustine Bollaert,포스틴 볼라르트
Fauve Hautot,포브 오토
Quentin Bigot,캉탱 비고
Edwige Lemoine,에드위지 레모인
Ferdinand Béchard,페르디낭 베샤르
Denis Jouanne,드니 주안
Fayçal Fajr,파이살 파즈르
Fañch Broudic,팡슈 브루디그
Federica Matta,페데리카 마타
Ferdinand Chaigneau,페르디낭 셰뇨
Ferdinand-Camille Dreyfus,카미유 드레퓌스
Daniel Bilalian,다니엘 빌랄리앙
Dominique Valadié,도미니크 발라디에
Denis Masseglia,드니 마셀리아
Denis Mathieu,드니 마티외
Ferdinand Barbedienne,페르디낭 바르베디엔
Estelle Denis,에스텔 드니
Elizabeth Bourgine,엘리자베트 부르진
Espé,에스페
Dominique de Williencourt,도미니크 드 윌리앵쿠르
Denis Lacorne,드니 라코른
Dorothée Blanck,도로테 블랑크
Esther Garrel,에스테르 가렐
Élodie Frenck,엘로디 프랑크
Dosseh,도세
Denis Robin,드니 로뱅
Doria Tillier,도리아 틸리에
Dounia Coesens,두니아 코에상
Walid Regragui,왈리드 레그라기
Elvire Murail,엘비르 뮈렐
Dorothée Pousséo,도로테 푸세오
Doug Headline,두그 에들린
Eugène Bouchut,외젠 부쉬
Romain Poite,로맹 푸아트
Dove Attia,도브 아티아
Franck Prévot,프랑크 프레보
Stéphane Houdet,스테판 우데
Pierre de Chambrun,피에르 드샹브룅
Déborah Heissler,데보라 에슬레르
Emma Bernard,에마 베르나르
Emma Colberti,엠마 콜베르티
Dédé Saint Prix,데데 생프리
Emmanuel Arène,에마뉘엘 아렌
Dramane Coulibaly,드라만 쿨리발리
Eugène Cavaignac,외젠 카베냐크
Franck Sémonin,프랑크 세모냉
Franck Tacito,프랑크 타시토
Franck Touron,프랑크 투롱
Franck Tournaire,프랑크 투르네르
Eugène Ebodé,외젠 에보데
Jean-Michel Baylet,장미셸 벨레
Eugène Hugo,외젠 위고
Eugène Ichac,외젠 이샤크
Frank Secka,프랑크 세카
François Kosciusko-Morizet,프랑수아 코시위스코모리제
Emmanuel Macron,에마뉘엘 마크롱
Franck Maubert,프랑크 모베르
Emmanuel Meirieu,에마뉘엘 메리외
Emmanuel Pierrat,에마뉘엘 피에트
Emmanuel Jacomy,엠마뉴엘 제이콥
Vincent Scotto,뱅상 스코토
Ferry Pasté,페리 파스테
François Lehideux,프랑수아 르이되
Fernand Raynaud,페르낭 레노
François Le Roux,프랑수아 르루
Emmanuel Rival,에마뉘엘 리발
Emmanuel de Mitry,에마뉘엘 드미트리
Paul Féval fils,폴 페발
Fiammetta Venner,피아메타 베네르
François Lurçat,프랑수아 뤼르사
Jean Val Jean,장 발장
Jacques Charles René Achille Duchesne,자크 뒤센
Eugène Saccomano,외젠 사코마노
François-Frédéric Guy,프랑수아프레데리크 기
Flavie Flament,플라비 플라망
Eugène Silvain,외젠 실뱅
François-Joseph Regnier,프랑수아조제프 레니에
Euphémie Muraton,외페미 뮈라통
Emmanuelle Cosse,에마뉘엘 코스
Emmanuelle Mignon,에마뉘엘 미뇽
Emmanuelle Pireyre,에마뉘엘 피레르
François-Marie Banier,프랑수아마리 바니에
Enora Malagré,에노라 말라그레
Emmanuelle Urien,에마뉘엘 위리앵
François-Olivier Rousseau,프랑수아올리비에 루소
Emmy Lynn,에미 린
François Olivier,프랑수아 올리비에
Florence Picaut,플로랑스 피코
Florence Seyvos,플로랑스 세보스
François-Xavier Audouin,프랑수아그자비에 오두앵
Enzo Enzo,엔조 엔조
Lucien Simon,뤼시앵 시몽
Erik Arnoux,에리크 아르누
Erika Moulet,에리카 물레
François-Victor Hugo,프랑수아빅토르 위고
François-Xavier Baudot,프랑수아그자비에 보도
François-Xavier Chapon,프랑수아그자비에 샤퐁
Florence Parly,플로랑스 파를리
Ernest-Antoine Seillière,에르네스트앙투안 셀리에르
Florent Gautreau,플로랑 고트로
Ernest Baroche,에르네스트 바로슈
Florentin Pogba,플로렝탕 포그바
François Patriat,프랑수아 파트리아
François-Xavier Lalanne,프랑수아그자비에 랄란
François-Xavier Roth,프랑수아그자비에 로트
Florian Zeller,플로리앙 젤레르
Fabien Doubey,파비앵 두베
Florian Gazan,플로리앙 가장
François André,프랑수아 앙드레
François Prévôt-Leygonie,프랑소와 프레보-레고니
François Pupponi,프랑수아 푸포니
Fabien Gabel,파비앵 가벨
Fabien Jacquelin,파비앵 자클랭
Fabien Sudry,파비앵 쉬드리
Fabienne Amiach,파비엔 아미아크
François Rocquelin,프랑수아 로클랭
Fabien Canu,파비앵 카뉘
François Rozet,프랑수아 로제
Fabienne Égal,파비엔 에갈
Fabienne Carat,파비엔 카라
Émile Zuccarelli,에밀 쥐카렐리
Fred Scamaroni,프레드 스카마로니
Fred Testot,프레드 테스토
Ernest Gravier,에르네스트 그라비에
Fouad Chouki,푸아드 슈키
France Dhélia,프랑스 델리아
François Bluche,프랑수아 블뤼슈
François Rousseau,프랑수아 루소
Fredy Fautrel,프레디 포트렐
Fabrice Colleau,파브리스 콜로
Freddy Bourgeois,프레디 부르주아
Francette Vernillat,프랑세트 베르닐라
François Sauvadet,프랑수아 소바데
Fabrice Arfi,파브리스 아르피
François Bachelot,프랑수아 바슐로
François Souchon,프랑수아 수숑
Fabrice Gobert,파브리스 고베르
François Simiand,프랑수아 시미앙
François Sureau,프랑수아 쉬로
Stéphane Ziani,스테판 지아니
François Salvaing,프랑수아 살뱅
François Sarano,프랑수아 사라노
Fabrice Drouelle,파브리스 드루엘
Fabrice Druet,파브리스 드뤼에
France Zobda,프랑스 조브다
Francesca Antoniotti,프란체스카 안토니오티
Paul Guth,폴 귀트
François Marcela-Froideval,프랑수아 마르셀라브루아드발
Jacques Ploncard d'Assac,자크 플롱카르 다사크
Frigide Barjot,프리지드 바르조
Fabrice Josso,파브리스 조소
Francis Coffinet,프랜시스 코피 넷
François Caron,프랑수아 카롱
Fabrice Neaud,파브리스 네 우드
Maryse Éwanjé-Épée,마리즈 에완제에페
Frédéric Beauregard,프레데리크 보르가르
Joachim Bouvet,조아킴 부베
Francis Filbet,프랑시스 필베
Frédéric Auburtin,프레데리크 오뷔르탱
Frédéric Arpinon,프레데리크 아르피농
François Villeroy de Galhau,프랑수아 빌르루아 드갈로
Frédéric Charbaut,프레데리크 샤르보
František Peřina,프란티셰크 페르지나
Fan Hui,판후이
Francis Kramarz,프랑시스 크라마르즈
François d'Orcival,프랑수아 도르시발
François Chifflart,프랑수아 시플라르
François Ceyrac,프랑수아 세라크
Fanny Bastien,파니 바스티앵
Gabrielle Renaudot-Flammarion,가브리엘 르노도 플라마리옹
François Chérèque,프랑수아 셰레크
François d'Épenoux,프랑수아 데프노
Frédéric Chau,프레데리크 쇼
François Civil,프랑수아 시빌
Frédéric Chatillon,프레데리크 샤티용
François d'Aubert,프랑수아 도베르
Francis Lalanne,프랑시스 랄란
François Cornut-Gentille,프랑수아 코르뉘장틸
Frédéric Castaing,프레데리크 카스탱
François Corbier,프랑수아 코르비에
Gabriel Ferrier,가브리엘 페리에
Francis Heaulme,프랑시스 옴
Farida Belghoul,파리다 벨굴
Frédéric Calenge,프레데리크 칼랑주
Frédéric Delebecque,프레데리크 들르베크
François Créton,프랑수아즈 크레통
Francis Lemarque,프랑시스 르마르크
Farouk Bermouga,파루크 베르무가
François de Cossé-Brissac,프랑수아 드 코세브리사크
Gabriel Louis de Caulaincourt,가브리엘 루이 드 콜랭쿠르
Frédéric Fouret,프레데리크 푸레
Gabriel Gobin,가브리엘 고빈
François Dagognet,프랑수아 다고녜
François Delapierre,프랑수아 들라피에르
Frédéric Fuzet,프레데리크 퓌제
Francis Pigueron,프랑시스 피그롱
Françoise Cadol,프랑수아즈 카돌
François Durpaire,프랑수아 뒤르페르
Françoise Choay,프랑수아즈 쇼에
Gabriel Sabattier,가브리엘 사바티에
Gabriel Matzneff,가브리엘 마츠네프
Françoise Escobar,프랑수아즈 에스코바르
Franck Bonora,프랑크 보노라
François Ernest Fournier,프랑수아 에르네 푸르니에
François Espinasse,프랑수아 에스피나스
Frédéric Jardin,프레데릭 쟈댕
Frédéric Mendy,프레데리크 멘디
François Doubin,프랑수아 두뱅
Françoise Guillaumond,프랑수아즈 기요몽
Françoise Hostalier,프랑수아즈 오스탈리에
Françoise Giret,프랑수아즈 지레
François Fabius,프랑수아 파비위스
Franck Gourlat,프랑크 구를라
Françoise Lepage,프랑수아즈 르파주
Franck Monsigny,프랑크 몽시니
François Fédier,프랑수아 페디에
François Gabart,프랑수아 가바르
Franck Gastambide,프랑크 가스탐비드
Françoise Thébaud,프랑수아즈 테보
François Gir,프랑수아 지르
Georges Corraface,조르주 코라파스
François Goulard,프랑수아 굴라르
Gilbert Marguerite,질베르 마르그리트
Gabriële Buffet-Picabia,가브리엘 뷔페피카비아
Gaby Triquet,가비 트리케
Gabrielle Houbre,가브리엘 우브르
Gilbert Rouget,질베르 루제
Georges Douking,조르주 두킹
Frédéric Schiffter,프레데리크 시프테르
Jacques Abeille,자크 아베유
Gilles Adrien,질 아드리앵
Georges Deneubourg,조르주 드뇌부르
Gilles Artigues,질 아르티그
Gabrielle Louis-Carabin,가브리엘 루이카라뱅
Gilles Andruet,질 앙드뤼에
Gilberte Brossolette,질베르트 브로솔레트
Gilles Boileau,질 부알로
Gilles Boulouque,질 불루크
Georges Dufaux,조르주 듀퐁
Gilles Bourdouleix,질 부르둘렉스
Gilles-Antoine Langlois,질앙투안 랑글루아
Frédéric de Saint-Sernin,프레데리크 드 생세르냉
Gaston Bergery,가스통 베르주리
Guillaume de Sardes,기욤 드사르드
Libéral Bruand,리베랄 브뤼앙
Gilberte Géniat,질베르트 제니아
Frédérique Massat,프레데리크 마사
Frédérique Martin,프레드릭 마틴
Frédérique Tirmont,프레데릭 틸몽
Thierry Neuvic,티에리 뇌비크
Marc Alexandre,마르크 알렉상드르
Frédérique Bredin,프레데리크 브르댕
Félix Archimède Pouchet,펠릭스 아르시메드 푸셰
Guillaume de Montmorency,기욤 드 몽모랑시
Geneviève Fraisse,준비에브 프레스
Viviane Asseyi,비비안 아세이
Gaston Ferdière,가스통 페르디에르
Gilles Lapouge,질 라푸주
Gilles Godefroy,질 고드프루아
Gilles Paquet-Brenner,질 파케브레네르
Georges Jouvin,조르주 주뱅
Gilles Morisseau,질 모리소
Gilles Morvan,길모르반
Georges Janin,조르주 자냉
Gilles Nadeau,질 나다 우
Gilles Legardinier,질 르가르디니에
Gaston Glass,가스통 글래스
Gustave Duchesne de Bellecourt,뒤센느 드 벨쿠르
Gilles Marchand,질 마르샹
Gaston Roudès,가스통 루데스
Yves Brayer,이브 브라예르
Georges Lampin,조르주 랑팽
Gaël Cottat,가엘 코 타트
Gilles Verdez,질 베르데즈
Janine Micheau,자닌 미쇼
Gaël Aymon,가엘 에몽
Émile Henriot,에밀 앙리오트
Gustave Thibon,귀스타브 티봉
Gaëtan de Rosnay,가에탕 드로네
Gustave Perret,귀스타브 페레
Jean Gounot,장 구노
Madame Rouge,마담 루주
G. Bruno,G. 브뤼노
Henri Berr,앙리 베르
Guy Bedos,기 베도스
Séverine Vandenhende,세브린 반덴앵드
Georges Mendel,조르주 망델
Geneviève Abelin,준비에브 아블랭
Geneviève Aclocque,준비에브 아클로크
Gustave Émile Boissonade,귀스타브 에밀 보아소나드
Geneviève Béjart,준비에브 베자르
Geneviève Darrieussecq,준비에브 다리외세크
Geneviève Clancy,준비에브 클랑시
Geneviève Appell,준비에브 아펠
Geneviève Brisac,준비에브 브리사크
Geneviève Colot,준비에브 콜로
Geneviève Berger,준비에브 베르제
Geneviève Guitry,준비에브 기트리
Geneviève Gosselin,준비에브 고슬랭
Geneviève Doang,준비에브 도앙
Geneviève Dreyfus-Armand,준비에브 드레퓌스아르망
Geneviève Dormann,준비에브 도르만
Geneviève Fontanel,준비에브 퐁타넬
Gabriel Amard,가브리엘 아마르
Geneviève Bresc-Bautier,준비에브 브레스크보티에
Geneviève Brunet,준비에브 브뤼네
Geneviève Galey,준비에브 갈레
Geneviève Galéa,준비에브 갈레아
Geneviève Gavignaud-Fontaine,준비에브 가비뇨퐁텐
Georges Oudot,조르주 우도
Guy Canivet,기 카니베
Geneviève Thénier,준비에브 테니에
Geneviève Gosselin-Fleury,준비에브 고슬랭플뢰리
Geneviève Fauconnier,준비에브 포코니에
Geneviève Morel,준비에브 모렐
Geneviève Paris,준비에브 파리
Geneviève Laporte,준비에브 라포르트
Geneviève Immè,준비에브 이메
Geneviève Halévy,준비에브 알레비
Geneviève de Gramont,준비에브 드 그라몽
Georges Paulais,조르주 폴레
Geneviève Levy,준비에브 레비
Geoffrey Sauveaux,조프레 소보
Griedge Mbock,그리주 음보크 바티
Grégoire Vigneron,그레고리 비그욘
Grégoire Pennes,그레구아르 펜
Gérard Lhéritier,제라르 레리티에
Guy Dussaud,기 뒤소
Georges Renavent,조르주 르나방
Gérard Martinelli,제라르 마르티넬리
Georges Saillard,조르주 사야르
Grégoire Margotton,그레구아르 마르고통
Gérard Louvin,제라르 루뱅
Georges Séguy,조르주 세기
Gérard Murail,제라르 뮈렐
Guy Kédia,기 케디아
Gérard Rougier,제라르 루지에
Gérard Raulet,제라르 롤레
Georges Trouillot,조르주 트루요
Georges-Emmanuel Clancier,조르주에마뉘엘 클랑시에
Georges Sarre,조르주 사르
Guy Lafarge,기 라파르주
Gérard Surugue,제라르 쉬뤼그
Georges Abolin,조르주 아볼랭
Georges Adet,조르주 아데
Georges Abadie,조르주 아바디
Georges Vigarello,조르주 비가렐로
Guillaume Chevrollier,기욤 슈브롤리에
Georgina Dufoix,조르지나 뒤푸아
Georgette Lemaire,조르제트 르메르
Georgette Plana,조프제트 플라나
Guillaume Carcaud,기욤 카 카르 디
Georges Bilot,조르주 빌로
Guy Orsoni,기 오르소니
Guillaume Dustan,기욤 뒤스탕
Germaine Mounier,제르멘 무니에
Georges Bourgin,조르주 부르쟁
Hadrien Poujol,아드리앵 푸졸
Hadrien Laroche,아드리앵 라로슈
Guy Sorman,기 소르망
Georges Briquet,조르주 브리케
Guy Rosolato,기 로솔라토
Guy de Gastyne,기 드가스틴
Guillaume Garot,기욤 가로
Georges Chabot,조르주 샤보
Guillaume Leyte,기욤 레트
Geymond Vital,제몽 비탈
Germaine Sablon,제르멘 사블롱
Guy de Panafieu,기 드파나피외
Gwendal Rouillard,그웬달 루야르
Guillaume Sarkozy,기욤 사르코지
Gil Delannoi,질 들라누아
Guérin d'Estriché,게랭 데스트리셰
Isidore Renouard,이지도르 르누아르
Henri Masquelez,Henri Masquelez
Gérald Bastard,제랄드 바스타르
Hervé Tullet,에르베 튈레
Henri-Lucien Doucet,앙리 뤼시앵 두세
Henri-Franck Beaupérin,앙리프랑크 보페랭
Isnelle Amelin,이즐레 아멜린
Gérald Darmanin,제랄드 다르마냉
Henri Martre,앙리 마르트르
Gérald Martin,제랄드 마르탱
Ivan Levaï,이방 르바이
Guillaume de Chassy,기욤 드 샤시
Gilbert Cette,질베르 세트
Gérard Bernardet,제라르 베르나데
Géraldine Asselin,제랄딘 어쌔 인
Gérard Biard,제라르 비아르
Gérard Bacconnier,제라르 바코니에
Gérard Carreyrou,제라르 카레루
Izïa,이지아 이즐랭
Issa Cissokho,이사 시소코
Issa Doumbia,잇사 둠 비아
Gérard-François Dumont,제라르프랑수아 뒤몽
Géraldine Lapalus,제랄딘 라팔뤼
Géraldine Maillet,제랄딘 마이예
Hippolyte Fortoul,Hippolyte Fortoul
Laurence Ferrari,로랑스 페라리
Henri Nayrou,앙리 네루
Gérard Blanchard,제라르 블랑샤르
Henri Augé,앙리 오제
Gérard Cholley,제라르 숄레
Henri Padou,앙리 파두
Henri Noël,앙리 노엘
Homéric,오메리크
Gérard Chaliand,제라르 샬리앙
Gérard Cherpion,제라르 셰르피옹
Gérard Falconetti,제라르 팔코네티
Gérard Filippelli,제라르 필리펠리
Gérard Filoche,제라르 필로슈
Karim Adda,카림 아다
Jacky Nercessian,재키 네르세시앙
Henri Poupon,앙리 푸퐁
Jack Cantoni,자크 캉토니
Henri Pontoy,앙리 퐁투아
Gérard Landry,제라르 랑드리
Henri Brault,앙리 브로
Henri Biva,앙리 비바
Henri Botey,앙리 보테
Jacky Vidot,자키 비도
Henri Cabannes,앙리 카반
Henri Calef,앙리 칼레프
Isabelle Nanty,이자벨 낭티
Jacob Desvarieux,자코브 데바리외
Jacqueline Delubac,자클린 들뤼바크
Jacqueline Gourault,자클린 구로
Jean Delay,장 들레
Henri Coquand,앙리 코캉
Henri Royer,앙리 루아예
Henri Servien,앙리 세르비앵
Henri Sannier,앙리 사니에
Henri Coulet,앙리 쿨레
Jacques Fournier,자크 푸르니에
Henri Sterdyniak,앙리 스테르디니아크
Jacques Foyer,자크 푸아예
Jacques Grange,자크 그랑주
Jacqueline Moreau,자클린 모로
Henri Desfontaines,앙리 데퐁텐
Jacqueline Porel,자클린 포렐
Hubert Sagnières,위베르 사니에르
Jacqueline Vaudecrane,자클린 보드크란
Jacques Généreux,자크 제네뢰
Henri Ducard,앙리 두카르
Hugo Verlomme,위고 베를롬
Jacqueline de Montbel d'Entremont,자클린 드 몽벨 당트르몽
Henri Vilbert,앙리 빌베르
Jacques-Alain Benisti,자크알랭 베니스티
Henri Zislin,앙리 지슬랭
Hubert de Lapparent,위베르 드라파랑
Jacques Hélian,자크 엘리앙
Henri Zuber,장 앙리 쥐베르
Henri d'Aguesseau,앙리 다게소
Jacques Julliard,자크 쥘리아르
Huguette Bouchardeau,위게트 부샤르도
Huguette Faget,위게트 파제
Oliver Jackson-Cohen,올리버 잭슨코언
Henri de Gaulle,앙리 드골
Jacques Jourquin,자크 주르캥
Hyacinthe Santoni,이아생트 상토니
Hyacinthe Perrin,이아생트 페랭
Hyacinthe Richaud,이아생트 리쇼
Jacques Lassalle,자크 라살
Jacques Kosciusko-Morizet,자크 코시위스코모리제
Jacques Madaule,자크 마돌
Jacques Adélaïde-Merlande,자크 아델라이드메를랑드
Jacques-Élie Lamblardie,자크엘리 랑블라르디
Henri Houdouin,앙리 우두앵
Henri Houssaye,앙리 우세
Jacques-Étienne Montgolfier,자크에티엔 몽골피에
Jacques Almira,자크 알미라
Hélène Bizot,엘렌 비조
Jacques Louvigny,자크 루비니
Jacques Mazeau,자크 마조
Jacques Mathou,자크 마투
Henry Céard,앙리 세아르
Jacques Mitterrand,자크 미테랑
Jacques Monestier,자크 모네스티에
James Huth,제임스 후트
Jacques Bidet,자크 비데
Hélène Mercier-Arnault,엘렌 메르시에아르노
Jacques Monory,자크 모노리
Jacques Marette,자크 마레트
Jacques Mézard,자크 메자르
Henry Garat,앙리 가라
Jacques Biélinky,자크 비엘린스키
Henry Greffulhe,앙리 그레퓔
Henry Houssaye,앙리 우세
Jacques Bichot,자크 비쇼
Henry Maret,앙리 마레
Hélène Médigue,엘렌 메디그
Hélène Seuzaret,엘렌 쇠자레
Hélène Missoffe,엘렌 미소프
Janelly Fourtou,자넬리 푸르투
Jacques Bonnet,자크 보네
Hélène Tossy,엘렌 토시
Jamy Gourmaud,자미 구르모
Hélène Védrine,엘렌 베드린
Hélène Zidi,엘렌 지디
Janine Darcey,자닌 다르세
Janine Sutto,제닌 슈토
Jacques Busse,자크 뷔스
Hélène Vincent,엘렌 뱅상
Jacques Ozouf,자크 오주프
Jacques Chastan,자크 오노레 샤스탕
Jacques Pradel,자크 프라델
Jacques Bérard,자크 베라르
Hervé Batoménila,에르베 바토메닐라
Jacques Chérèque,자크 셰레크
Hervé Bromberger,에르베 브롬버거
Jacques Charpentreau,자크 샤르팡트로
Ingrid Thobois,잉그리드 토부아
Jean-Antoine Marbot,장 앙투안 마르보
Jean-André Yerlès,장앙드레 예를레스
Jacques Pélissier,자크 펠리시에
Inès de Bourgoing,이네스 드 부르고앵
Hervé Coutau-Bégarie,에르베 쿠토베가리
Hervé Arsène,에르베 아르센
Irène Jaumillot,이렌 조미요
Jacques Cresta,자크 크레스타
Irène Frachon,이렌 프라숑
Irène Tharin,이렌 타랭
Hervé Juvin,에르베 쥐뱅
Isabelle Czajka,이사벨 챠자카
Isabelle Bouysse,이자벨 부이스
Jacques Delarue,작크 드라류
Jean-Baptiste Benoît Eyriès,장바티스트 에리에스
Hervé Mathoux,에르베 마투
Isabelle Ithurburu,이자벨 이튀르뷔뤼
Jean-Baptiste Courtois,장바티스트 쿠르투아
Jean-Baptiste Chaigneau,장바티스트 셰뇨
Hervé Pellois,에르베 펠루아
Jean-Claude Beaulieu,장클로드 볼리외
Jean-Claude Aumont,장클로드 오몽
Jean-Claude Aurousseau,장클로드 오루소
Isabelle Patissier,이자벨 파티시에
Jean-Baptiste Cécille,장 밥티스트 세실
Isabelle Spade,이자벨 스파드
Jacques Séverac,자크 세브라크
Jean-Claude Bouttier,장클로드 부티에
Jacques Douai,자크 두에
Isabelle de Funès,이자벨 드퓌네스
Isabelle Petit-Jacques,이자벨 프티자크
Jacques Tenon,자크르네 테농
Jean-Claude Bartoll,장클로드 바르톨
Jean-Claude Boulard,장클로드 불라르
Isabelle Volpe,이자벨 볼프
Isabelle Vitari,이자벨 비타리
Isabelle Saporta,이자벨 사포르타
Isidore Dagnan,이지도레 다냥
Jean-Claude Donda,장 클로드 돈다
Jacques Yvon,자크 이봉
Jean-Baptiste Huzard,장바티스트 위자르
Jean-Jacques Pascal,장자크 파스칼
Jean-Claude Dassier,장클로드 다시에
Jacques Yoko,자크 요코
Jacques Yonnet,자크 요네
Jean-Joseph-François Tassaert,장조제프프랑수아 타사르트
Jean-Martin Folz,장마르탱 폴즈
Jean-Marie Vanlerenberghe,장마리 반레랑베르그
Jean-Michel Aphatie,장미셸 아파티
Jean-Jacques Vlody,장자크 블로디
Jean-Claude Garnier,장클로드 가르니에
Jean-Michel Clément,장미셸 클레망
Jean-Claude Galey,장클로드 갈레
Jean-Pierre Milovanoff,장피에르 밀로바노프
Jean-Claude Goyon,장클로드 구아용
Jean-Michel Blanquer,장미셸 블랑케르
Jean-Jacques de Peretti,장자크 드페레티
Jean-Pierre Naugrette,장피에르 노그레트
Jean-Joël Duhot,장조엘 뒤오
Jean-Pierre Mader,장피에르 마데르
Jean-Claude Lemagny,장클로드 르마니
Jean-Michel Dubernard,장미셸 뒤베르나르
Jean-Max Méjean,장막스 메장
Jean-Michel Leniaud,장미셸 르니오
Jean-Pierre Pernaut,장 피에르 페르노
Jean-Claude Michel,장클로드 미셸
Jean-Baptiste Shelmerdine,장 - 밥 티스트 쉘 머딘
Jean-Louis Chaigneau,장루이 셰뇨
Jean-Pierre Saint-Ours,장-피에르 생투르
Jean-Michel Simonella,장미셸 시모넬라
Jean-Pierre Sauvage,장피에르 소바주
Jean-Louis Chrétien,장루이 크레티앵
Jean-Michel Ribes,장 미셸 리브
Jean-Claude Passeron,장클로드 파스롱
Jean-Louis Ferrary,장루이 페라리
Jean-Louis Faure,장루이 포르
Jean-Claude Mailly,장클로드 마이
Jean-Michel Tinivelli,장 미셸 티니 붸리
Jean-Benoît Albertini,장브누아 알베르티니
Jean-Noël Guérini,장노엘 게리니
Jean-Baptiste de Panafieu,장바티스트 드파나피외
Jean-Noël Robert,장노엘 로베르
Jean-Bernard Hebey,장베르나르 에베
Jean-Pascal Zadi,장파스칼 자디
Jean-Pascal Yao,장파스칼 야오
Jean-Pascal Beaufret,장파스칼 보프레
Jean-Louis Harouel,장루이 아루엘
Jean-Charles Chagachbanian,장샤를 샤가슈바니앙
Jean-Paul Brighelli,장폴 브리겔리
Jean-Paul Bacquet,장폴 바케
Jean-Louis Loday,장루이 로데
Jean-René Fourtou,장르네 푸르투
Jean-René Marsac,장르네 마르사크
Jean-Paul Coche,장폴 코셰
Jean-Louis Léonard,장루이 레오나르
Jean-Charles Valladont,장샤를 발라동
Jean-Roger Milo,진 로저 밀로
Jean-Roger Caussimon,장로제 코시몽
Jean-Charles Taugourdeau,장샤를 토구르도
Jean-Christophe Chauzy,장크리스토프 쇼지
Jean-Paul Dufrègne,장폴 뒤프레뉴
Jean-Paul Duviols,장폴 뒤비올
Jean-Christophe Hembert,장크리스토프 앙베르
Jean-Paul Curnier,장폴 퀴르니에
Jean-Didier Urbain,장디디에 위르뱅
Jean-Paul Delors,장폴 들로르
Jean-Louis Samuel,장루이 사뮈엘
Jean-Christophe Fromantin,장크리스토프 프로망탱
Jean-Louis Scherrer,장 루이 셰레
Jean-Paul Faugère,장폴 포제르
Jean-Vincent Placé,장뱅상 플라세
Jean-Robert Armogathe,장로베르 아르모가트
Jean-Paul Fouchécourt,장폴 푸셰쿠르
Jean-Paul Lecanu,장폴 르카뉘
Jean-Louis Vaudoyer,장루이 보두아예
Jean-Paul Krassinsky,장폴 크라신스키
Jean-Louis Ezine,장루이 에진
Jean-Christophe Rouvière,장크리스토프 루비에르
Jean-Loup Trassard,장루 트라사르
Jean-François Bayart,장프랑수아 바야르
Jean-Paul Mari,Jean-Paul Mari
Jean-Paul Marty,장폴 마르티
Jean-Yves Le Gallou,장이브 르갈루
Jean-Luc Fournier,장뤼크 푸르니에
Jean-Luc Chambard,장뤼크 샹바르
Jean Chauvel,장 쇼벨
