España,スペイン
elecciones a las Cortes Valencianas de 1983,1983年バレンシア州議会選挙
Premio Catalán del Año,カタラン・オブ・ザ・イヤー
Menceyato de Adeje,アデージェのメンセヤート
Condado de Alba de Liste,アルバ・デ・リスト伯爵
Triana,トリアナ
Costa Cabirolera,コスタ・カビロレーラ峰
Cercle Artístic de Sant Lluc,聖リュック芸術サークル
El pino de las tres ramas,ピ・ダ・ラス・トレス・ブランケス
Teatro Calderón,カルデロン劇場
Tren de San Feliu de Guíxols a Gerona,サン・フェリウ・デ・ギソイス・ア・ジェロナ鉄道
Plana de Vic,ビック平原
Anexo:Presidentes del Parlamento de Cataluña,カタルーニャ自治州議会議長
Manga Barcelona,マンガ・バルセロナ
elecciones al Parlamento de Cataluña de 1995,1995年カタルーニャ自治州議会選挙
Filmoteca de Cataluña,フィルモティカ・デ・カタルーニャ
elecciones al Parlamento de Cataluña de 1992,1992年カタルーニャ自治州議会選挙
Comisión Nacional del Mercado de Valores (CNMV),スペイン証券取引委員会
elecciones a las Cortes Valencianas de 2003,2003年バレンシア州議会選挙
Lacasa S. A.,ラカサ
Museo de la Evolución Humana,人類進化博物館
Ciudad de la Luz,シウダ・デ・ラ・ルス
Club Balonmano Mar Alicante,CBマール・アリカンテ
Gaudí Centre,ガウディセンター
El Montcau,ムンカウ山
Barruera,サント・フェリウ・デ・バルエラ教会
K3,K3
Turó de l'Home,トゥロー・ダ・ロメ
Agrupación Ruiz-Mateos,ルイス＝マテオス・グループ
Escuela de Ingeniería de Telecomunicaciones y Aeroespacial de Castelldefels,カステイダフェルス工科学校
Entesa Catalana de Progrés,進歩カタルーニャ協定
Museo de Lérida Diocesano y Comarcal,リェイダ博物館
Raspay,ラスパイ
El Jarramplas,ハランプラ
Marquesado de Castelldosríus,カステルドスリウス侯爵
Estadio Lluís Sitjar,エスタディ・リュイス・シッジャー
Anexo:España en 2012,2012年のスペイン
Tazones,タソネス
elecciones al Parlamento de Cataluña de 1988,1988年カタルーニャ自治州議会選挙
Recoletos,リコレトス
Goya,ゴヤ
elecciones a la Asamblea de Madrid de 2011,2011年マドリード自治州議会選挙
Circuito de Almería,サーキット・デ・アルメリア
estación de Cuenca-Fernando Zóbel,クエンカ＝フェルナンド・ソベル 駅
elecciones al Parlamento de las Islas Baleares de 2011,2011年バレアレス諸島自治州議会選挙
Cultural y Deportiva Leonesa "B",ジュピター・レオネス
Río Esva,エスバ川
S.A.I. Catedral Metropolitana de la Encarnación,グラナダ大聖堂
Temporada 2013 de European F3 Open,ヨーロッパ・フォーミュラ3選手権
Anexo:España en 2013,2013年のスペイン
Campeonato Mundial de Vela Olímpica 2014,2014年セーリング世界選手権
combate de Cartagena (1798),1798年7月15日の海戦
Estación de Aeropuerto (Barcelona),エアポートT2駅
asesinato de Carrero Blanco,オグロ作戦
Teatro Apolo,テアトロ・アポロ
Lago Enol,エノル湖
AD Universidad de Oviedo,CDウニベルシダ・デ・オビエド
Binter Mediterráneo,ビンテル・メディテラネオ
Bloqueo de Barcelona (1808),バルセロナ封鎖
Torrezno,トレスノス
patrimonio histórico español,スペイン歴史遺産
Desfiladero de los Gaitanes,ガイタネス峡谷
Gótico catalán,カタルーニャ・ゴシック様式
fiestas de Santa Tecla,サンタテクラ祭
Portal de San Antonio,サント・アントーニの門
Cappont,カポント
Partit del Treball de Catalunya,スペイン労働党
Premio Prudenci Bertrana,プルデンシ・バルトラナ
Lago Ercina,エルシーナ湖
Cuarteto Casals,カザルス弦楽四重奏団
Cuenca,クエンカ
Cueto,クエト
Cueva de Achbinico,アチィビニコ洞窟
Candás,カンダス
Club de Baloncesto Bahía San Agustín,CBバイーア・サン・アグスティン
Virgen de la Bien Aparecida,ビエン・アパレシーダの聖母
Agrupación Deportiva Unión Adarve Barrio del Pilar,ADウニオン・アドラヴェ
Fillos de Breogán,フィーリョス・デ・ブレオガン
trashumancia,移牧
Real Monasterio de Santa Clara de Tordesillas,聖クララ王立修道院
La anunciación,ティッセン=ボルネミッサ美術館所蔵のグレコによる受胎告知
Som Energia,ソム・エネルヒア
Estación de León,レオン駅
Talgo AVRIL,アヴリル
Rodiles,ロディレス
Akaoni Studio,アカオニ・スタジオ
Akelarre,アケラレ
Sepulcro de Pozo Moro,ポソ・モーロ
Sublevación del Cuartel de San Gil,サン・ギル兵舎の反乱
enseñanza universitaria en España,スペインの大学
elecciones a las Cortes Valencianas de 2011,2011年バレンシア州議会選挙
iglesia Colegial Basílica de Santa María,コレヒアタ教会
Linares,リナレス
Biblioteca Virtual Miguel de Cervantes,ミゲル・デ・セルバンテス仮想図書館
Sierra Mágina,マヒナ山地
Grupo Vichy Catalan,ヴィッチーカタラン
Orquesta de la Comunidad Valenciana,バレンシア州立管弦楽団
Templo de Augusto,アウグストゥス神殿
Bodegas Faustino,ファウスティーノ (ワイナリー)
Bres,ブレス
Sierra de Alfabia,アルファビア山地
Arandilla,アランディーリャ川
Museo Arqueológico de Asturias,アストゥリアス考古学博物館
Palacio arzobispal de Alcalá de Henares,アルカラ・デ・エナレス大司教宮殿
Río de Oro,リオ・デ・オロ川
Club Deportivo Colonia Ofigevi,オフィヘビ
Club Cristo Atlético,CDパレンシア・クリスト・アトレティコ
CD Egüés,CDバリェ・デ・エグエス
Club Deportivo Coria,CDコリア
Centro de Deportes El Palo,CDエル・パロ
Club Deportivo Don Benito,CDドン・ベニート
Club Deportivo Estela de Cantabria,CDエステラ
Iglesia de Nuestra Señora de la Palma,パルマの聖母教会
Bilbao Exhibition Centre,ビルバオ・エキシビション・センター
Cádiz Club de Fútbol "B",カディスCF B
Accidente de Acerinox,アセリノックス事故
Achuguayo,アチュグアヨ
Acinipo,アシニポ
Arroz caldoso,カルドソ
AB Castelló,ABカステリョー
Ferrocarril de Langreo,ラングレオ鉄道
Festival Internacional de Santander,サンタンデール音楽祭
Festival de Cine Iberoamericano de Huelva,ウエルバ・イベロアメリカ映画祭
Filmoteca Española,フィルモテーカ・エスパニョーラ
Servicio Andaluz de Salud,アンダルシア保健サービス
elecciones al Parlamento de Andalucía de 2012,2012年アンダルシーア自治州議会選挙
Semana Negra de Gijón,セマナ・ネグラ
Estación de Aeroport T2,アエロポルトT2駅
Parque natural de El Hondo,エル・フォンド自然公園
potaje,ポタージュ
Condado de Montijo,モンティホ伯爵
FCF Atlético Jiennense,アトレティコ・ヒエネンセFCフェメニーノ
Fútbol Club Jove Español San Vicente,ホベ・エスパニョール
Estación de Betanzos-Infiesta,ベタンソス・インフェスタ駅
Festival de cine fantástico de Málaga,ファンシネ・マラガファンタスティック映画祭
Fantastic Factory,ファンタスティック・ファクトリー
Escándalo Faurisson,フォーリソン事件
Sopa mallorquina,ソパ・マヨルキーナ
Deportivo Alavés "B",Bチーム
Derbi de Andalucía Oriental,東アンダルシア・ダービー
Verdadera Destreza,デストレーサ
alférez,アルフェーレス
Albacete Balompié "B",アトレティコ・アルバセテ
Alcazaba de Antequera,アルカサバ・デ・アンテケーラ
Premio Cinematográfico José María Forqué,フォルケ賞
"Ministerio de Sanidad, Política Social e Igualdad",保健・社会政策・平等省
CB Amadeo Tortajada,CBアマデオ・トルタハーダ
Club Baloncesto Las Rozas,CBラス・ロサス
Club Deportivo Basket Zaragoza,CDBサラゴサ
Club Deportivo Aguilar,CDアギラール
BQ Educación,Bq
Museo de Arte Jaime Morera,ハイメ・モレラ美術館
Guipúzcoa Unida,ギプスコア連帯
Por la Europa de los Pueblos,諸民族のヨーロッパのため (1994年)
Unión Deportiva Vall de Uxó,UDヴァイ・ドゥショー
Club Deportivo Illescas,CDイレスカス
Club Deportivo Laguna S.A.D.,CDラグーナ
Guadiana,グアディアーナ
Restaurante Sant Pau,サンパウ
Palacio de Miraflores,ミラフローレス宮殿
Jaén Fútbol Sala,ハエン・パライーソ・インテリオル
Estructura de impacto de Azuara,アスアラ衝突構造
Partido Democrático y Social de Ceuta,セウタ民主社会党
energía eólica en España,スペインの風力発電
Arzak,アルサック
Asador Etxebarri,アサドール・エチェバリ
Arlanza (vino),アルランサ (DO)
Arribes,アリベス (DO)
EU Business School,EU ビジネススクール
Escuela de Organización Industrial,EOIビジネススクール
ESADE Business School,ESADEビジネススクール
Concurso Internacional de Piano Compositores de España,CIPCE
Córdoba Club de Fútbol "B",コルドバCF B
Madrid Fusión,マドリード・フュージョン
DARA (organización),DARA
Deportivo Asociación de Vecinos Santa Ana,DAVサンタ・アナ
Virgen de Europa,エウローパの聖母マリア
Anexo:Comparativa de periódicos de España,スペインの新聞一覧
Río Dobra,ドブラ川
Dominio de Pingus,ドミニオ・デ・ピングス
Alcázar Genil,アルカサル・ヘニル
Dos Hermanas Club de Fútbol,ドス・エルマナスCF
Almansa (vino),D.O.アルマンサ
Almería,アルメリーア選挙区
Alto Campoo,アルト・カンポオ
Club Esportiu Sant Gabriel (femenino),CEサン・ガブリエル
CF Figueruelas,CFフィゲルエラス
Unión Molinense C.F,インデペンディエンテ・デ・セウティFC
Club de Fútbol Peralada,CFペララーダ
Club de Fútbol Pozuelo de Alarcón,CFポスエロ・デ・アラルコン
Diccionario geográfico-estadístico-histórico de España y sus posesiones de Ultramar,スペインとその海外所有物の地理統計史辞典
Proceso de brujería de Zugarramurdi,バスクの魔女裁判
Premios Butaca,ブタカ賞
Escuela Diplomática,スペイン外交官学校
Animero,アニメロ
Anexo:Himnos de las Comunidades autónomas de España,スペインの自治州歌
Plataforma de Afectados por la Hipoteca,住宅ローン被害者の会
gastronomía de Aragón,アラゴン料理
El Arenal,アレナル
La Cara de Barcelona,エル・キャップ・デ・バルセロナ
Club Deportivo Aluvión,CDアルビオン
Clube Deportivo Arenteiro,CDアレンテイロ
Centro de Deportes Barco,CDバルコ
CD Betis San Isidro-Progreso,CDベティス・サン・イシドロ
CD BURGALÉS,CDブポルサ
El Alcázar,エル・アルカサル
Casita del Príncipe,カシータ・デル・プリンシペ
Área metropolitana de Sevilla,セビリア都市圏
Condado de Niebla,ニエブラ伯
Club Bàsquet Tarragona,C.B.タラゴナ
atentado de Burgos de 2009,2009年ブルゴス爆弾事件
Club Deportivo Santanyí,CDサンタニー
Campeonato Mundial de Waterpolo Femenino de 2013,2013年世界水泳選手権水球競技・女子
Campeonato Mundial de Waterpolo Masculino de 2013,2013年世界水泳選手権水球競技・男子
Atlético Granadilla,CDアトレティコ・グラナディーリャ
Club Atlético de Madrid Femenino,アトレティコ・マドリード・フェメニーノ
primera batalla de Acentejo,第一次アセンテージョの戦い
Premio Fonseca,フォンセカ賞
Parlamento de Canarias,カナリア諸島州議会
Gran Premio de España de 2013,2013年スペイングランプリ
Arzúa-Ulloa,アルスーア＝ウジョーア
plaza de las Cortes,コルテス広場
Club Deportivo Soledad,CDソレダ
Club Deportivo Tenerife "B",CDテネリフェB
Zaragoza Club de Fútbol Femenino,プラインサ・サラゴサ
CD Vera de Almería,CDベラ・デ・アルメリア
Casa de las Ciencias (La Coruña),カサ・デ・ラ・シエンシア
El Portil,エル・ポルティル・イ・ヌエボ・ポルティル
elecciones al Parlamento de Cantabria de 2011,2011年カンタブリア自治州議会選挙
elecciones a las Cortes Valencianas de 1999,1999年バレンシア州議会選挙
industria automotriz en España,スペインの自動車産業
elecciones a la Junta General del Principado de Asturias de 2011,2011年アストゥリアス自治州議会選挙
convento de Santo Domingo el Real,サント・ドミンゴ教会
Palacio de Villahermosa,ビジャエルモーサ宮殿
Museo Nacional de Artes Decorativas,国立装飾美術館
Embalse de Bornos,ボルノス貯水池
Añorga KKE,アニョルガKKE
Brigadas Especiales de Seguridad de la Comunidad Autónoma de Madrid,マドリード
Balonmano Remudas,BMレムーダス
El Colacho,エル・コラチョ
Línea 2 de Metrovalencia,2号線
Gran Premio de Madrid,マドリード大賞
Inmaculada Concepción,無原罪の御宿り (エル・グレコ、トレド)
Murcia Cobras,ムルシア・コブラス
Aviación Nacional,ナショナリスト軍空軍
Monte Abantos,アバントス山
titular de la corona de España,スペイン王
Estadio de Altabix,カンポ・デ・アトラビシュ
CASA HC-144 Ocean Sentry,HC-144 オーシャンセントリー
Complejo Deportivo Las Mestas,ラス・メスタス・スポーツ・コンプレックス
Duque de Suárez,スアレス公爵
Duratón,ドゥラトン
EF Concepción,EFコンセプシオン
Aeródromo de Catellón,カステリョン空港
Selección de fútbol de Castilla y León,サッカーカスティーリャ・レオン州代表
sitio de Algeciras (1369),アルヘシラス包囲戦
Formación La Huérguina,カリザス・デ・ラ・ウエルヒーナ層
Tratado de Madrid,マドリード条約
Tratado de Madrid,マドリード条約
Camoca,カモカ
Línea Valladolid-Ariza,バリャドリッド＝アリサ鉄道
Vuelta al País Vasco 1992,バスク一周1992
Parque natural de la Sierra de Mariola,マリオーラ山地
Residencia Real de La Mareta,ラ・マレタ御用邸
Museo Carmen Thyssen,カルメンティッセン博物館
Cochifrito,コチフリト
Museo del Greco,エル・グレコ美術館
Sierra de Guadalupee,ビリュエルカス山地
Algodor,アルゴドール川
Bloc d'Esquerra d'Alliberament Nacional,国民解放左派ブロック
Villaescusa de las Torres,ビジャエスクサ・デ・ラス・トレス
Plaza Alta,プラザ・アルタ
CVNE,北スペインワイン会社
Caracoles a la palentina,パレンティナのカタツムリ
gastronomía de Castilla y León,レオン料理
Castilla y León,カスティーリャ・イ・レオン
canarios,カナリア人
Punto caliente de Canarias,カナリア・ホットスポット
Cerro de Agrás,コフレンテス火山
Bravo F1,ブラボF1
Lengua escarlata,緋色の舌
Villafañe,ビジャファニェ
Línea de Alta Velocidad León-Asturias,レオン-アストゥリアス高速線
Academia Básica del Aire y del Espacio,空軍飛行学校
ría de Villaviciosa,リア・デ・ビリャビシオーサ
Escola Superior de Disseny,ESDiデザイン学校
Izquierda Unida Comunidad de Madrid,マドリード統一左翼
Adoración del nombre de Jesús,イエスの御名の礼拝
Reserva natural Laguna de Fuente de Piedra,フエンテ・デ・ピエドラ湖
Marquesado del Valle de Oaxaca,バジェ・デ・オアハカ侯爵
Alto de Guajara,グアハラ山
Iglesia de San Antonio de los Alemanes,サン・アントニオ・デ・ロス・ポルトゥゲーセス聖堂
Iglesia de San Bartolomé (Logroño),サン・バルトロメ教会
iglesia de San Ginés de Arlés,サン・ヒネース聖堂
selección de fútbol sub-16 de España,U-16サッカースペイン代表
Estación de Gijón,ヒホン駅
Provincias españolas en África,アフリカのスペインの県
Santuario de Misericordia,サントゥアリオ・デ・ミセリコルディア
castillo de Torrelobatón,トレロバトン城
Agrupación Nacionalista de Cantabria,カンタブリアナショナリストグループ
Fiestas de San Bernabé,サン・ベルナベ祭
Sierra del Lobosillo,ロボシージョ山地
Acracia,アクラシア（新聞）
Unión Deportiva Ibarra,UDイバーラ
Azuer,アスエール川
Centro (Badalona),セントレ
Centro Superior de Información de la Defensa,スペイン防衛情報局
Centro de Estudios Políticos y Constitucionales,政治・憲法研究センター
Cuevas de Cantabria,カンタブリア州の洞窟
Club Deportivo Pegaso,ガラクティコ・ペガソ
Queso Garrotxa,ガロチャチーズ
Arco de las Orejas,耳の門
Casa Museo de Colón (Valladolid),コロンブス邸博物館
elecciones generales de España de 1869,スペイン総選挙
Partido Comunista Catalán,カタルーニャ共産党
Unió de l'Esquerra Catalana,カタルーニャ左翼連合
línea 1 (Metro de Málaga),マラガ地下鉄1号線
Exposición Iberoamericana,1929年イベロアメリカ博覧会
Aguilar (Boltaña),アギラール
Villaescusa,ビジャエスクサ (カンポオ・デ・エンメディオ)
Premios Teatro de Rojas,ロハス演劇賞
Air Europa Express,エア・ヨーロッパエクスプレス
Aeródromo Militar de León,レオン軍用飛行場
Fusion for Energy,ITERおよび核融合エネルギー研究のための欧州共同事業体
Federación Gallega de Fútbol,ガリシアサッカー連盟
Glossa Music,グロッサ
Club Béisbol Barcelona,CBバルセロナ
Las Manchas,ラス・マンチャス
Estadio Municipal de Fútbol de L'Hospitalet,ルスピタレート市営フットボールスタジアム
Estadio Cerro del Espino,エスタディオ・セッロ・デル・エスピノ
Guadalmena,グアダラルメーナ川
río Guadarranque,グアダランケ川
Moralo Club Polideportivo,モラロCP
Jerez Club de Fútbol,ヘレスCF
Aeródromo de Requena,レケーナ飛行場
Vallecas Club de Fútbol,バリェカスCF
Regimiento Acorazado «Córdoba» n.º 10,第10機械化歩兵旅団
agencia estatal,政府機関 (スペイン)
Monasterio de San Pedro de Montes,サン・ペドロ・デ・モンテス修道院
Iglesia de Santa María de Palacio,サンタ・マリア・デ・パラシオ教会
Unión Demócrata Ceutí,セウタ民主連合
Estamento de Próceres,貴族院 (スペイン)
Capilla de Nuestra Señora de Europa,エウローパの聖母マリア礼拝堂
elecciones a Cortes Constituyentes de 1873,1873年5月の総選挙
elecciones al Parlamento de Cataluña,カタルーニャ州議会議員選挙
Anexo:Elenco de grandes de España,大公爵 (スペイン)
Grupo de los Ocho,スペイン8人組
CM-412,CM-412
Girona,ジローナ県
Nuestra Señora de Butarque,ビルヘン・デ・ブタルケ
río Aulencia,アウレンシア川
Unió Esportiva Olot,UEウロート
estación de Zona Franca,ソナ・フランカ駅
Real Sociedad de Fútbol,レアル・ソシエダ・フェメニーノ
Bocacara,ボカカラ
Alcolea,アルコレア
Alcázar Real de Guadalajara,アルカサル (グアダラハラ)
Fuerzas Armadas del bando sublevado,バンド・ナシオナル
Lanzamiento de cabra,ヤギ投げ
Estrella Club de Fútbol,エストレジャCF
"Ministerio de Educación, Cultura y Deporte de España",教育文化スポーツ省
Barraquito,バラキト
Alcázar de Salamanca,アルカサル (サラマンカ)
Alcázar,アルカサル (ウベダ)
Estadio Las Gaunas,エスタディオ・ラス・ガウナス
Estadio Municipal de Marbella,エスタディオ・デ・マルベーリャ
Gran Casino Sardinero,グラン・カジノ・サルディネーロ
calle de Serrano,セラノ通り
Esquerra Republicana Balear,バレアレス共和主義左翼
Puesto de adelantamiento y estacionamiento de trenes,車両留置および追越設備
Universidad de Cervera,サルベラ大学
Bosque mixto cantábrico,カンタブリア混合樹林
Chijoraji,チジョラジ
relaciones China-España,中華人民共和国とスペインの関係
Teatro Tívoli,チボリ劇場
chirigota,チリゴタ
Ouigo,Ouigo
toma de Málaga,マラガ包囲
Estación de Porriño,オ・ポリーニョ駅
alcalde en España,市町村長
asistencia sanitaria en España,スペインの医療
Libertas-Ciudadanos de España,リベルタス (政党)
Amaya,アマヤ
Casa Museo Verdaguer,バルダゲー邸博物館
Aceitada,アセイターダ
Unió Independent de Mallorca,マヨルカ独立連合
Monasterio de San Pedro de Arlanza,修道院
Ajo de Vallelado,バレラドのニンニク
Ala 12,第12航空団
Andalucía Occidental,アンダルシーア・オクシデンタル
Casa de Silva,シルバ家
Alianza de Izquierdas,左翼同盟
Posfranquismo,民主化後のスペイン社会
Premio Germán Bernácer,ベルナセル賞
Estación de Pasajes,パサイア駅
Telecinco Cinema,テレシンコ・シネマ
Facultad de Filosofía de la Universidad Ramon Llull,カタルーニャ哲学聖職者学校
Atresmedia Cine,アトレスメディア・シネ
Antena Aragón,アンテナ・アラゴン
premios Antena de Oro,アンテナ・デ・オロ
Vuelta al País Vasco 1979,バスク一周1979
Basílica de Nuestra Señora de la Vega,ヌエストラ・セニョーラ・デ・ラ・ベガ聖堂
Fuente de Santa María,サンタ・マリアの泉
El bautismo de Cristo,キリストの洗礼
Hospital Universitario Puerta de Hierro Majadahonda,マハダオンダ・プエルト・デ・イエーロ大学病院
Airbus A319 MPA,エアバス A319 MPA
Sevilla Fútbol Club,セビージャFCフェメニーノ
Apoteosis de Santo Tomás de Aquino,聖トマス・アクィナスの神格化
Estadio de Vallehermoso,エスタディオ・デ・バジェエルモソ
Oviedo Club Baloncesto,オビエドCB
alcalde mayor,アルカルデ・マヨール
Ribera Navarra Fútbol Sala,リベラ・ナバーラFS
Sierra de la Virgen,ビルヘン山地
río Narla,ナルラ川
Iglesia del Salvador,エル・サルバドル聖堂 (ウベダ)
Alcudia (Cocentaina),アルクディア (アリカンテ)
Huevos a la flamenca,フラメンカエッグ
Agrupació Astronòmica de Sabadell,サバデイ天文グループ
Museo de Bellas Artes de Castellón,カステリョン美術館
Valdavia,バルダビア川
Fútbol base del Real Madrid Club de Fútbol,ラ・ファブリカ
Biblioteca Valenciana Digital,バレンシア電子図書館
Biblioteca Virtual de Andalucía,アンダルシア仮想図書館
Bicicas,ビシカス
elecciones al Parlamento Vasco de 1998,1998年バスク自治州議会選挙
Mérida Asociación Deportiva,ADメリダ
Bercianismo,エル・ビエルソ地域主義
Berenjena de Almagro,なすび
Beñesmer,ベネスメン
Campeonato Mundial de Esquí Acrobático de 2017,2017年フリースタイルスキー&スノーボード世界選手権
Canchal de la Ceja,カンチャル・デ・ラ・セハ山
Candidatura Democrática Gallega,ガリシア民主候補
cannabis en España,スペインにおける大麻
Cementerio de Poblenou,ポブレノウ墓地
Condado de Osorno,オソルノ伯爵
Alto del Mirlo,ミルロ峰
Altos de Barahona,アルトス・デ・バラオーナ
Alubia de Saldaña,サルダーニャのインゲンマメ
Alvarado (Badajoz),アルバラード
Arco de la Estrella,星の門
Arco de los Gigantes,アクロ・デ・ロス・ヒガンテス
Bejes,べヘス
Aeródromo de Ampuriabrava,アンプリアブラーバ飛行場
Sierra de Meira,メイラ山地
potaje de vigilia,ポタヘ・デ・ビヒリア
Bollitori,ボッリトーリ
Bollo maimón,ボリョ・マイモン
Asociación de Gestión de Derechos Intelectuales,AGEDI
Pontón de la Oliva,ポントン・デ・ラ・オリヴァ
Vuelta al País Vasco 1976,バスク一周1976
Conjunción Republicano-Socialista,共和主義者＝社会主義者連合
"Asociación Española de Fantasía, Ciencia Ficción y Terror",スペイン・ファンタジー、サイエンス・フィクション、ホラー協会
Fiestas de La Blanca,ビルヘン・ブランカ祭
Villaescusa de Ebro,ビジャエスクサ・デ・エブロ
Casa Mira,カサ・ミラ
Bocos,ボコス
Marquesado de la Laguna de Camero Viejo,ラグナ・デ・ラ・カメロ・ヴィエホ侯爵
Casa consistorial de Toledo,トレド市庁舎
Acueducto (Plasencia),プラセンシア水道橋
Casa de Toledo,トレド家
Carnaval de Villarrobledo,ビリャロブレドの謝肉祭
Carne de Cervera y Montaña Palentina,セルベラとパレンティナ山の畜肉
Carne de Ávila,アビラの肉
Yebes 40m,イエベス40m電波望遠鏡
Dehesa del Saler,デエサ・デル・サレル
Asado castellano,カスティーリャ風アサード
Asadurilla,アサドゥリリャ
asedio de Jaén,ハエン包囲戦
Bioparc Fuengirola,フエンヒローラ動物園
Universidad de Baeza,バエサ大学
AC Hotels,ACホテルズ
Helitt,ヘリット・ライネア・アエレアス
Castillo de Matrera,マトレラ城
Arroz a la zamorana,アロス・ア・ラ・サモラナ
Arroz bomba,ボンバ米
Arroz meloso,メロッソ
Arte contemporáneo en España,スペインの現代美術
Arte romano en Hispania,スペインにおける古代ローマ美術
Casa Museo de Zenobia y Juan Ramón Jiménez,セノビアとフアン・ラモン・ヒメネスの家博物館
Casa Natal de Juan Ramón Jiménez,フアン・ラモン・ヒメネスの生家
Brancellao,ブランセリャオ
Brazo del Este del Guadalquivir,ブラソ・デル・エステ
Auditorio Alfredo Kraus,アルフレード・クラウス市立公会堂
Castillo de Villalba de los Alcores,ビジャルバ・デ・ロス・アルコーレス城
Castillo de Moguer,カスティーリョ
Castillo de Monfragüe,モンフラグエ城
Casa de los Abarca,サン＝アグスティン教会
Club Deportivo San Andrés,CDサン・アンドレス
Club Náutico de Jávea,シャビア航海クラブ
Hijo Predilecto de Andalucía,イホ・プレディレクト・デ・アンダルシーア
Casas Consistoriales Altas,上級市議会
cementerio de San Isidro,サン・イシドロ墓地
Café Suizo,カフェ・スイス
Ayuntamiento de La Coruña,ア・コルーニャ市議会
Ayuntamiento de Leganés,レガネス市議会
Casa de los Coroneles,カーサ・デ・ロス・コロネレス
Avenida Tres de Mayo (Santa Cruz de Tenerife),5月3日通り
Castillo Siete Villas,カスティーリョ
Colegiata de Santa María,サンタ・マリア教会 (タラベラ・デ・ラ・レイナ)
Colegiata de Santa María la Mayor,ボレア教会
Colegio-Convento de San Basilio,アルカラ大学礼拝堂
Castillo de San Felipe,サン・フェリペ城　（プエルト・デ・ラ・クルス）
Castillo de San Felipe,サン・フェリペ城　（サンタンデール）
Café de la Iberia,カフェ・デ・ラ・イベリア
Bahía San Julián,サン・フリアン湾
Casa de Córdoba,フェルナンデス・デ・コルドバ家
Casa del Infantado,インファンタード家
Casa del Labrador,カサ・デル・ラブラドール
Bajel,バヘル船
cementerio de San Justo,サン・フスト墓地
Compañía de los Ferrocarriles Andaluces,アンダルシア鉄道
Complejo endorreico de Chiclana,チクラーナ内流域複合体
Compromisu por Asturies,コンプロミス・ポル・アストゥリエス
Central undimotriz de Motrico,ムトゥリク波力発電所
Democràcia i Catalunya,民主主義とカタルーニャ
deporte en Cantabria,カンタブリア州におけるスポーツ
Cabezo de Gavilanes,ガビラネス丘
Consejo del Reino,王国評議会
Centro Nacional de Energías Renovables,国立再生可能エネルギーセンター
Centro Nacional de Información Geográfica,スペイン国立地理研究所
Cebolla de Palenzuela,パレンスエラの玉ねぎ
Cecina de León,チェチーナ・デ・レオン
Consejo de Hombres Buenos,ムルシア平原の賢人会
Convento de Santa Clara,カルモーナの修道院
Ceremonia de apertura de los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの開会式
Caldereta manchega,ラ・マンチャ風シチュー
"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",エネルギー環境技術センター (スペイン)
Centro de Investigación Médica Aplicada,応用医学研究センター
Collado de la Fuente del Chivo,フエンテ・デル・チボ
Central nuclear de Santillán,サンティジャン原子力発電所
Condado de Argillo,アルギジョ伯爵
Condado de Benavente,ベナベンテ伯
Condado de Galve,ガルべ伯爵
Condado de Gelves,ガルベス伯爵
Condado de Lizárraga,リサラガ伯爵
Condado de Medinaceli,メディナセリ伯爵
Centro Acuático de Málaga,セントロ・アクアティコ・デ・マラガ
Cerveza El Águila,アギラ
iglesia de Santa Bárbara,サンタ・バルバラ教会
Convento del Carmen (Onda),カルメン修道院 (オンダ)
Derbi castellano y leonés,デルビ・カステリャレオネス
desastre de la Vega de Granada,ベガ・デ・グラナダの戦い
Defensa de Cádiz contra los ingleses,カディスの防衛
Dehesa Boyal de Puertollano,プエルトリャノ草原
Convento de Las Marroquíes,サンティスマ・トリニダ・イ・プリシマ・コンセプシオン修道院
Convento de Nuestra Señora de las Victorias,ビクトリア修道院
Chorizo de Cantimpalos,カンティパロスのチョリソ
Chu-Lin,チューリン
Chuletas a la teja,チュレータス・ア・ラ・テハ
Chuletón de Ávila,アビラのリブロース
Ciclo de Cine Argencine,アルゼンチン映画サークル
ciencia y tecnología en España,スペインの科学と技術
El Gaitero,エル・ガイテーロ
Condado de Castañeda,カスタニェーダ侯爵
Banco Hispano Americano,スペインアメリカ銀行
Banco de Galicia,ガリシア銀行
elecciones a las Cortes de Castilla y León de 1987,1987年カスティーリャ・イ・レオン自治州議会選挙
elecciones al Parlamento de Cantabria de 1999,1999年カンタブリア自治州議会選挙
elecciones al Parlamento de Cantabria de 2003,2003年カンタブリア自治州議会選挙
elecciones al Parlamento de Cantabria de 2007,2007年カンタブリア自治州議会選挙
elecciones al Parlamento de La Rioja de 1987,1987年ラ・リオハ自治州議会選挙
Condado de San Esteban de Gormaz,サン・エステバン・デ・ゴルマス伯爵
Cerro Muriano,セロ・ムリアーノ
Referéndum para la aprobación del Estatuto de Núria,ヌリア自治憲章についての住民投票
Diputación Provincial de Badajoz,バダホス県議会
Circuito Ascari Resort,アスカリ・レース・リゾート
El Perchel,El Perchel
Centro de Astrobiología,スペイン宇宙生物学センター
Centro de Estudios Monetarios y Financieros,通貨金融研究センター
Cordero asado,子羊のロースト
Raza ovina manchega,マンチェガ
Cornejo,コルネホ
Copa Federación Centro,コパ・フェデラシオン・セントロ
Dos y pingada,ドス・イ・ピンガーダ
