Margareta Kozuch,マルガレーテ・コズーフ
Marian Kozłowski,マリアン・コズラウスキー
Ludwik Bronarski,ルドヴィク・ブロナルスキ
Helena Rakoczy,ヘレナ・ラコチ
Paweł Frenkel,パウエル・フレンキエル
Anna Jagaciak,アンナ・ジャガシアク
Anna Romantowska,アンナ・ロマントフスカ
Stanisław Gąsienica Daniel,スタニスワフ・ガシェニツァ
Anna Maria Klechniowska,アンナ・マリア・クレフニオフスカ
Kora,コラ
Paweł Adamowicz,パベウ・アダモビッチ
Antoni Kocjan,アントニ・コツィアン
Janusz I Starszy,ヤヌシュ1世スタルシ
Stanisław Kopański,スタニスワフ・コパンスキ
Zuzanna Efimienko,スザンナ・エフィミエンコ
Charles Sterling,シャルル・ステルラン
Antoni Albrecht Wilhelm Radziwiłł,アルブレフト・アントニ・ヴィルヘルム・ラジヴィウ
Dorota Zięciowska,ドロタ・ジェチョフスカ
Jan Ziobro,ヤン・ジョブロ
Michał Tokarzewski-Karaszewicz,ミハウ・カラシェヴィチ＝トカジェフスキ
Mateusz Damięcki,マテウス・ダミエッキ
Stefan Krukowski,ステファン・クルコフスキ
Władysław Podkowiński,ヴワディスワフ・ポドコヴィンスキー
Marcelina Zawadzka,マルツェリナ・ザヴァツカ
Dawid Moryc Apfelbaum,ダヴィド・アプフェルバウム
Marian Kukiel,マリアン・クキェル
Andrzej Woźniak,アンジェイ・ヴォジニャク
Czesław Zuber,チェスワフ・ズベル
Antoni Listowski,アントニ・リストフスキ
Augustyn Józef Czartoryski,アウグスティン・ユゼフ・チャルトリスキ
Edyta Witkowska,エディータ・ヴィトコフスカ
Jan Alfred Szczepański,ヤン・アルフレト・シュチェバンスキ
Doda Conrad,ドダ・コンラッド
Leon Sapieha,レオン・ルドヴィク・サピェハ
Maurycy Karasowski,モーリッツ・カラソフスキ
Stefan Kieniewicz,ステファン・キェニェーヴィチ
Bartolommeo Berrecci,バルトロメオ・ベレッチ
Michael Szwarc,マイケル・シュワルツ
Władysław Bortnowski,ヴワディスワフ・ボルトノフスキ
Józef Turczyński,ユゼフ・トゥルチンスキ
Stasys Eidrigevičius,スタシス・エイドリゲヴィチウス
Alfred Christlieb Kalischer,アルフレート・クリストリープ・カリシャー
Michał Kamieński,ミハウ・カミェニスキ
Barbara Buczek,バルバラ・ブチェク
Delfina Potocka,デルフィナ・ポトツカ
Jan Kamieniecki,ヤン・カミェニェツキ
Eleonora Dziękiewicz,エレオノーラ・ジェキェビッチ
Magdalena Kozłowska,マグダレナ・フラルチック＝コズウォフスカ
Andrzej Nadolski,アンジェイ・ナドルスキ
Henryk Pachulski,ヘンリク・パフルスキ
Artur Ruciński,アルトゥル・ルキンスキー
Elwira Seroczyńska,エルビラ・セロチンスカ
Ludwik Rajchman,ルドヴィク・ライヒマン
Bartłomiej Kasprzykowski,バルテック・カスプシコフスキ
Bartłomiej Świderski,バルトウォミエイ・シフィデルスキ
Wacław Kłoczkowski,ヴァツワフ・クウォチュコフスキ
Jarosław Kalinowski,ヤロスワフ・カリノフスキ
Witold Maliszewski,ヴィトルド・マリシェフスキ
Dominik Rainer Radziwiłł,ドミニク・レイネル・ラジヴィウ
Sebastian Karpiniuk,セバスティアン・カルピニュク
Barbara Hesse-Bukowska,バルバラ・ヘッセ＝ブコフスカ
Bartosz Domański,バルトシュ・ドマンスキー
Piotr Rytel,ピョートル・レイテル
Piotr Machalica,ピョートル・マハリツァ
Beata Szydło,ベアタ・シドゥウォ
Aleksander Jabłoński,アレクサンダー・ヤブロンスキー
Stanisław Flanek,スタニスワフ・フラネク
Baruch Lumet,バルーク・ルメット
Sebastian Janikowski,セバスチャン・ジャニコウスキー
Siemowit III,シェモヴィト3世 (マゾフシェ公)
Bryan Rabello,ブライアン・ラベージョ
Gabriela Wojtowicz,ガブリエラ・ボイトビッチ
Gene Gutowski,ジーン・グトウスキー
Bolesław Kon,ボレスワフ・コン
Bolesław Kontrym,ボレスワフ・コントリム
Henryk Łowmiański,ヘンルィク・ウォヴミャンスキ
Witold Doroszewski,ヴィトルト・ドロシェフスキ
Kinga Burza,キンガ・ブーザ
Błogosławiona Salomea,サロメア
Helena Pilejczyk,ヘレナ・ピレイチク
Marian Sawa,マリアン・サヴァ
Kazimierz Dąbrowski,カジミェシュ・ドンブロフスキ
Marian Kociniak,マリアンコシニアック
Wiktor Thommée,ヴィクトル・トンメー
Bronisław Abramowicz,ブロニスワフ・アブラモヴィチ
Anna Nehrebecka,アンナ・ネレベッカ
Roman Polko,ロマン・ポルコ
Roman Jackiw,ローマン・ジャッキウ
Stanisław Albrecht Radziwiłł,スタニスラス・ラジウィル
Izabela Kowalińska,イザベラ・コバリンスカ
Anna Rechnio,アンナ・レフニョ
Bartosz Białkowski,バルトシュ・ビャウコフスキ
Jan Gawroński,ヤン・ガヴロニスキ
Jan Kanty Pawluśkiewicz,ヤン・カンティ・パヴルシキェヴィチ
Jean Dybowski,ジャン・ディボフスキィ
Janusz Różycki,ヤヌシュ・ルジツキ
Janusz Kubicki,ヤヌス・クビツキ
Wiera Krzyżanowska,ヴェーラ・クリジャノフスカヤ
Ryszard Lenczewski,リシャルト・レンチェフスキ
Jakub Gierszał,ヤコブ・ギエルシャウ
Jakub Krzewina,ヤクブ・クジェヴィナ
Jan Ekier,ヤン・エキエル
Józef Franczak,ユゼフ・フランチャク
Igor Lewczuk,イゴール・レヴチュク
Jan Mirosław Peszke,ジャン・ペスケ
Czesław Petelski,チェスワフ・ペテルスキ
Włodzimierz Lewoniewski,ウラジーミル・レヴォネフスキー
Czesław Michniewicz,チェスワフ・ミヒニエヴィチ
Agnieszka austriacka,アグネス・フォン・バーベンベルク
Agnieszka Kotlarska,アグニスカ・コトラスカ
Henryk Woliński,ヘンリク・ヴォリンスキ
Edward Pietrzyk,エドヴァルト・ピエトシク
Grażyna Staniszewska,グラジナ・スタニシェフスカ
Jerzy Liebert,イェジ・リーベルト
Jerzy Waldemar Jarociński,ジョルジュ・ワルドマー
Abe Coleman,エイブ・コールマン
Czesław Mozil,チェスワフ・モジル
Joanna Wołosz,ヨアンナ・ボロシュ
Joanna Hoffman,ジョアンナ・ホフマン
Joanna Kulig,ヨアンナ・クーリグ
Bartłomiej Sienkiewicz,バルトウォミェイ・シェンキェヴィチュ
Jan Mazurkiewicz,ヤン・マズルキエウィッツ
Egon Franke,エゴン・フランケ
Agnieszka Bednarek-Kasza,アニエスカ・ベドナレク
Artur Skowronek,アルトゥル・スコヴロネク
Lech Mackiewicz,レッチ・マッキーウィックツ
Tadeusz Świątek,タデウシュ・シフィオンテク
Karol Hoffmann,カロル・ホフマン
Karol Piątek,カロル・ピョンテク
Karol Zalewski,カロル・ザレフスキ
Karolina Różycka,カロリナ・コセク
Mateusz Masternak,マテウシュ・マステルナク
Dawid Tomala,ダビト・トマラ
Stanisław Lorentz,スタニスワフ・ロレンツ
Katarzyna Skorupa,カタジナ・スコルパ
Katarzyna Zaroślińska,カタジナ・ザロスリンスカ
Rubén Wolkowyski,ルーベン・ウォルコウスキー
Mirosław Bałka,ミロスワフ・バウカ
Aleksandra Olgierdówna,アレクサンドラ・アルギルダイテ
Sebastian Karpiel-Bułecka,セバスチャン・カルピェル＝ブウェツカ
Krzysztof Mączyński,クシシュトフ・モンチニスキ
Władysław Korczyc,ヴワディスワフ・コルチツ
Stefan Korboński,ステファン・コルボンスキ
Feliks Koneczny,フェリクス・コネチュニ
Tadeusz Pełczyński,タデウシュ・ペルチンスキ
Zbigniew Bródka,ズビギニェフ・ブロドカ
Paul Merwart,ポール・メルワール
Stanisław Kazuro,スタニスワフ・カズロ
Romuald Muklewicz,ロムアリド・ムクレヴィチ
Krzysztof Surlit,クシシュトフ・スルリット
Dominika Chorosińska,ドミニカ・チョロシンスカ
Iwan Monighetti,イヴァン・モニゲッティ
Ligia Branice,リジア・ブラニツェ
Klaudia Kaczorowska,クラウディア・カチョロフスカ
Tony Halik,トニー・ホラク
Henryk Wisner,ヘンリク・ヴィスネル
Henryk Minkiewicz,ヘンリク・ミンキェヴィチ
Aleksander Lesser,アレクサンデル・レッセル
Stanisław Trepczyński,ステインスロウ・トレプチンスキー
Michał Goleniewski,ミハウ・ゴレニフスキー
Piotr Tomicki,ピョトル・トミツキ
Jacek Dehnel,ヤツェク・デネル
Roman Abraham,ロマン・アブラハム
Stefan Starzyński,ステファン・スタジンスキ
Czesław Czyński,チェスワフ・チンスキ
Alex Cisak,アレックス・シサック
Louis Faury,ルイ・フォーリィ
Maciej Franz,マチェイ・フランツ
Maciej Małkowski,マチェイ・マウコフスキ
Maja Tokarska,マヤ・トカルスカ
Tomasz Bagiński,トメック・バギンスキー
Franciszek Kleeberg,フランチシェック・クレーベルク
Aleksander Zawadzki,アレクサンデル・ザワズキー
Elżbieta Witek,エルジュビェタ・ヴィテク
Joanna Agacka-Indecka,ヨアンナ・アガツカ＝インデツカ
Maciej Skorża,マチェイ・スコルジャ
Stanisław Marcin Badeni,スタニスワフ・バデーニ
Krystyna Czajkowska,クリスティーナ・チャイコフスカ
Marek Halter,マレク・アレテール
Lech Owron,レック・オウロン
Józef Zając,ユゼフ・ザヨンツ
Edmund Roman Orlik,エドモンド・ローマン・オルリック
Paweł Zatorski,パベウ・ザトルスキ
Izabela Bełcik,イザベラ・ベルチク
Joanna Mirek,ヨアンナ・ミレツ
Tymon Zaborowski,タイモン・ザブロースキー
Dorota Kędzierzawska,ドロタ・ケンジェルザヴスカ
Paweł Kołodziej,パヴェウ・コウォジェイ
Walery Eljasz-Radzikowski,ヴァレリー・エリャシュ＝ラジコフスキ
Kazimierz Wierzyński,カジミェシュ・ウィルチンスキー
Katarzyna Kłys,キャサリン・クライス
Eugeniusz Okoń,エウゲニウシュ・オコン
Paweł Gil,パヴェウ・ギル
Ewa Petelska,エヴァ・ペテルスカ
Stanisław Jasiukiewicz,スタニスワフ・ジャシウキエヴィッチ
Mariusz Pujszo,マリウズ・ブジゾ
Feliks Stamm,フェリックス・スタム
Krzysztof Bosak,クシシュトフ・ボサク
Przemysław Domański,プシェミスワフ・ドマンスキー
Angelika Cichocka,アンゲリカ・チホツカ
Władysław Pachulski,ヴワディスワフ・パフルスキ
Adolf Dygasiński,アドルフ・ディガシンスキ
Andrzej Ciechanowiecki,アンジェイ・チェハノヴィエツキ
Michał Bergson,ミシェル・ベルクソン
Jakób Gniazdowski,ジャーク・ヒニズドフスキー
Michał Probierz,ミハウ・プロビエシュ
Natalia Bamber-Laskowska,ナタリア・バンベル
Wiktoria Gąsiewska,ヴィクトリア・ゴンシェフスカ
Tatja Seibt,タチア・ザイプト
Wincenty z Kielczy,キェルチャのヴィンツェンティ
Barbara Madejczyk,バルバラ・マディチュク
Natalia Madaj,ナタリア・マダイ
Mirosław Tłokiński,ミロスワフ・トロキンスキー
Edmund Zalinski,エドモンド・L・G・ザリンスキー
Leonard Pietraszak,レオナルト・ピェトラシャク
Franciszek Henryk Nowicki,フランチシェク・ノヴィツキ
Władysław Filipkowski,ヤンカ大佐
Hope Dworaczyk,ホープ・ドラーシク
George Modelski,ジョージ・モデルスキー
Miłosz Magin,ミウォシュ・マギン
Kasia Struss,カシア・ストラス
Pierre Mankowski,ピエール・マンコウスキ
Jan Klata,ヤン・クラタ
Henryk Niedźwiedzki,ヘンリック・ニエドヴィエッキ
Franciszek Stefaniuk,フランチシェク・ステファニュク
Franciszek Jarecki,フランチシェク・ヤレツキ
Tadeusz Bobrowski,タデウシュ・ボブロフスキ
Leszek Kosedowski,レセック・コセドウスキ
Robert Urbanek,ロベルト・ウルバネク
Katarzyna Rogowiec,カタジナ・ロゴヴィエツ
Grzegorz Eitel,グジェゴシ・エイテル
Giuseppe Carlo Pedretti,ジュゼッペ・ペドレッティ
Magdalena Śliwa,マグダレナ・シリバ
Grażyna Auguścik,グラジーナ・アウグスチク
Władysław Skłodowski,ブワディスカ・スクウォドフスキ
Władysław Leon Sapieha,ヴワディスワフ・レオン・サピェハ
Jan Pogány,ヤン・ポガニー
Milena Radecka,ミレナ・ラデツカ
Aleksandra Olsza,アレクサンドラ・オルシャ
Krzysztof Jabłoński,クシシュトフ・ヤブウォンスキ
Arthur Posnansky,アルトゥル・ポスナンスキー
Genowefa Wiśniowska,ゲノヴェファ・ヴィシニョフスカ
Jerzy Zieliński,イェジ・ジェリンスキ
Jan Mościcki,ヤン・モシチツキー
Joanna Wiszniewicz,ヨアンナ・ウィズニエヴィッツ
Krystyna Klimczak,クルィスティナ・クリムチャク
Alexandra Kamieniecki,アレクサンドラ・カミニッキー
Michał Gajownik,ミハウ・ガヨフニク
Maciej Cieplucha,マチェイ・チェプルハ
Jurek Bogajewicz,ユレク・ボガエヴィッチ
Michał Głogowski,ミハウ・グロガフスキー
Sergiusz Żymełka,セルギウス・ジメルカ
Katarzyna Skowrońska-Dolata,カタジナ・スコブロニスカ
Bolesław Pobożny,ボレスワフ・ポボジュヌィ
Wacław Berent,ヴァツワフ・ベレント
Radosław Chruściński,ラドスロウ・フルシチンスキー
Wincenty Teofil Popiel,ヴィンツェンティ・ポピエル
Regina Smendzianka,レギナ・スメンジャンカ
Iga Baumgart,イガ・バウムガルト＝ヴィタン
Grażyna Błęcka-Kolska,グラジナ・ブウェンツカ＝コルスカ
Agata Kryger,アガタ・クリゲル
Rudolf Gundlach,ルドルフ・グンドラフ
Berenika Okuniewska,ベレニカ・オクニェフスカ
Władysław Strzemiński,ヴワディスワフ・ストゥシェミンスキ
Jacek Tylicki,ジャック・ティリッキ
Tomasz Kupisz,トマシュ・クピシュ
Małgorzata Dydek,マウゴジャータ・ディデック
Konrad Jażdżewski,コンラッド・ヤヂヂェフ
Mieczysław Boruta-Spiechowicz,ミェチスワフ・ボルタ＝スピェホヴィッチ
Wincenty Kowalski,ヴィンツェンティ・コヴァルスキ
Wojciech Rajski,ヴォイチェフ・ライスキ
Jarosław Lato,ヤロスワフ・ラトー
Krzysztof Soszyński,クシシュトフ・ソシンスキー
Symcha Rotem,シムチャ・ロテム
Tadeusz Piotrowski,タデウシュ・ピョトロフスキ
Halina Aszkiełowicz,ハリナ・アシュキエロビッチ
Iwo Byczewski,イウォ・ビチェフスキ
Stefan Dąb-Biernacki,ステファン・ドンプ＝ビェルナツキ
Augustyn,オーガスティン
Łukasz Teodorczyk,ウカシュ・テオドルチク
Izabella St. James,イザベラ・セント・ジェームズ
Tadeusz Romer,タデウシュ・ロメル
Małgorzata Bąk,マウゴジャタ・ボンク
Edmund Knoll-Kownacki,エドムント・クノル＝コヴナツキ
Anna Dymna,アンナ・ディムナ
Władimir Agapiejew,ウラジーミル・アガペーエフ
Halina Machulska,ハリナ・マチュルスカ
Stefania Radziwiłł,ステファニア・ラジヴィウ
Icchak Cukierman,イツハク・ツケルマン
Hanna Polak,ハンナ・ポラック
Marta Walczykiewicz,マルタ・ワルチズキェビッチ
Henryk Cioch,ヘンリク・チョク
Bruno Abakanowicz,ブルノ・アバカノヴィチ
Włodzimierz Krzyżanowski,ヴォジミエシュ・クシジャノフスキ
Jadwiga Łopata,ヤドヴィガ・ロパタ
Paweł Jasienica,パヴェウ・ヤシェニツァ
Jerzy Żurawlew,イェジ・ジェラブレフ
Iga Wyrwał,イガ・ヴィルヴァウ
Adam Ulam,アダム・ウラム
Iwona Bielska,イヴォナ・ビェルスカ
Tadeusz Kruszelnicki,タデウス・クルシェルニツキ
Paweł Kochański,パウル・コハンスキ
Stanisław Lisowski,スタニスワフ・リソフスキ
Joanna Budner,ヨアンナ・ブドネル
Jakub Goldberg,ヤクブ・ゴールドベルク
Wacław Borowski,ヴァツワフ・ボロフスキ
Aleksander Imich,アレクサンダー・イミック
Menotti Garibaldi,メノッティ・ガリバルディ
Marian Tałaj,マリアン・タワイ
Jakub Tyc,ヤコブ・ティチ
Maria Wittek,マリア・ヴィッテク
Sebastian Kolasiński,セバスチアン・コラシンスキー
Stanisław Wisłocki,スタニスワフ・ヴィスウォツキ
Mariusz Patyra,マリウス・ペティラ
Sylwia Nowak,シルヴィア・ノヴァク
Jan Marcin Szancer,ヤン・マルチン・シャンセル
Jan Borysewicz,ヤン・ボリセヴィッチ
Aleksander Zniszczoł,アレクサンデル・ズニシチョル
Anna Ciepielewska,アンナ・シエピエレフスカ
Marta Otrębska,マルタ・オトレブスカ
Małgorzata Kidawa-Błońska,マウゴジャタ・キダヴァ＝ブウォニスカ
Maurycy Pius Rudzki,マウリツィ・ピウス・ルツキ
Jan Pieńkowski,ヤン・ピエンコフスキ
Jan Król,ヤン・クルル
Jan Młodożeniec,ヤン・ムロドゼニエツ
Zdzisław Spieralski,ズジスワフ・スピェラルスキ
Tadeusz Klimecki,タデウシュ・クリメツキ
Mateusz Kościukiewicz,マテウシュ・コシチュキェヴィチ
Kazimierz Czyżowski,カジミェシュ・チジョフスキ
Zbylut Grzywacz,ズブルト・グジュヴァチ
Max Marcin,マックス・マーシン
Janusz Dobrosz,ヤヌシュ・ドブロシュ
Tadeusz Strugała,タデウシュ・ストゥルガラ
Karol Stryja,カロル・ストリヤ
Karolina Styczyńska,カロリーナ・フォルタン
Jan Sładkowski,ヤン・スワトコフスキ
Hubert Drapella,フーベルト・ドラペラ
Michał Buchalik,ミハウ・ブハリク
Janusz Piechociński,ヤヌシュ・ピエンホチンスキ
Jerzy Trela,イェジー・トレラ
Michał Globisz,ミハウ・グロビシュ
Wanda Gertz,ワンダ・ガーツ
Jarosław Boberek,ヤロスワフ・ボベレク
Janusz Tazbir,ヤヌシュ・タズビル
Kazimierz Tumidajski,マルチン大佐
Michał Szpak,ミハウ・シュパーク
Jarosław Stawiarski,ヤロスワフ・スタヤルスキ
Jarosław Wierczuk,ヤレック・ヴィエルチューク
Mieczysław Bekker,ミエチズワウ・G・ベッカー
Mieczysław Klimaszewski,ミェチスワフ・クリマシェフスキ
Zygmunt Łempicki,ズィグムント・ウェンピツキ
Andrzej Fonfara,アンドルー・フォンファラ
Joanna Jedlewska,ヨアンナ・イェドレフスカ
Juliusz Hibner,ユリウス・ヒブラー
Łukasz Skorupski,ウカシュ・スコルプスキ
Jerzy Michalski,イェジ・ミハルスキ
Adam Wielomski,アダム・ヴィエロムスキ
Jerzy Hulewicz,イェジー・ヒュルウィッツ
Mirosław Zbrojewicz,ミロスワフ・ズブロイェヴィチ
Mirosław Żuławski,ミロスワフ・ジュワフスキ
Iga Cembrzyńska,イガ・ツェンブジンスカ
Florian Cynk,フロリアン・ツィンク
Antoni Czajkowski,アントニ・チャイコフスキ
Romuald Marczyński,ロムアルド・マルチィニスキ
Jan Stanienda,ヤン・スタニェンダ
Miłosz Horodyski,ミウォシュ・ホロドゥスキ
Antoni Kiliński,アントニ・キリニスキ
Jacek Odrowąż,聖ヒヤキントゥス
Wilhelm Orlik-Rückemann,ヴィルヘルム・オルリク＝リュッケマン
Nicholas Andrew Rey,ニコラス・アンドリュー・レイ
Natalia Maliszewska,ナタリア・マリジェフスカ
Jan Kruszewski,ヤン・クルシェフスキ
Janusz Pawłowski,ヤヌシュ・パヴウォフスキ
Joanna Leszczyńska,ヨアナ・レシュチンスカ
Wiesław Kotański,ヴィエスワフ・コタンスキ
Irena Kosmowska,イレーナ・コスモフスカ
Julian Krzyżanowski,ユリヤン・クシジャノフスキ
John Kent,ジョン・A・ケント
Omar Sangare,オマル・サンガレ
Onar,オナル
Marian Borzęcki,マリアン・ボルゼツキ
Patrycja Pożerska,パトリチャ・ポジャースカ
Zdzisław Eichler,ズジスワフ・アイフレル
Rudolf Strobl,ルドルフ・ストローブル
Andrzej Szalawski,アンジェイ・シャラフスキー
Paweł Małaszyński,パヴェウ・マワシンスキ
Antonina Adamowska-Szumowska,アントワネット・シュモフスカ
Czesław Siekierski,チェスワフ・シェキェルスキ
Józef Herman,ジョセフ・ハーマン
Julia Kamińska,ジュリア・カミンスカ
Julia Kolberger,ジュリア・コルバーガー
Paulina Krupińska,パウリナ・クルピンスカ
Patryk Dobek,パトリック・ドベック
Paweł Słowiok,パーヴェウ・スウォーヴィオク
Róża Etkin,ルジャ・エトキン
Natalia Janotha,ナタリア・ヤノータ
Paweł Olkowski,パヴェウ・オルコフスキ
Bronisława Dłuska,ブロニスワバ
Piotr Balcerzak,ピョトル・バルツェジャク
Alina Janowska,アリナ・ジャノフスカ
Abraham Neumann,アブラハム・ヌーマン
Józef Ozimiński,ユゼフ・オジミヌスキ
Helena Skłodowska-Szaley,ヘラ
Stanisław Herbst,スタニスワフ・ヘルプスト
Henryk Grunwald,ヘンリク・グルンヴァルド
Józef Mączka,ヨゼフ・モンチュカ
Adam Fastnacht,アダム・ファストナフト
Józef Hen,ユゼフ・ヘン
Piotr Smoleński,ピオトル・スモレンスキ
Adam Kersten,アダム・ケルステン
Małgorzata Izabela Czartoryska,マウゴジャータ・イザベラ・チャルトリスカ
Piotr Witasik,ピオトル・ヴィタシク
Piotr Zieliński,ピオトル・ジエリンスキ
Adam Studziński,アダム・ストゥジンスキ
Kamil Wilczek,ウィルチェク
Stanisław Skrzeszewski,スタニスラウス・スクシェシェフスキ
Kamil Kiereś,カミル・キエレシ
Ewa Pobłocka,エヴァ・ポブウォツカ
Radosław Murawski,ラドスワフ・ムラフスキ
Rafał Janicki,ラファウ・ヤニツキ
Rafał Augustyn,ラファウ・アウグスティン
Rafał Gikiewicz,ラファウ・ギキエヴィツ
Adam Zagajewski,アダム・ザガエフスキ
Karol Ziemski,カロル・ジエムスキ
Adam Woronowicz,アダム・ヴォロノヴィチ
Włodzimierz Sokorski,ヴウォジミェシュ・ソコルスキ
Albin Skroczyński,ワシュチュ大佐
Robert Fudali,ロブ・ダーケン
Rafał Ohme,ラファウ・オーメ
Karol Linetty,カロル・リネティ
Julian Krzewiński,ジュリアン・クシェヴィヌスキ
Karolina Jarzyńska,カロリナ・ヤジンスカ
Katarzyna Herman,カタジーナ・ヘルマン
Yoshiho Umeda,梅田芳穂
Rosław Szaybo,ロスワヴ・シャイボ
Adrian Błocki,アドリアン・ブロキ
Kazimierz Gierżod,カジミエシュ・ギェルジョード
Kazimierz Piwarski,カジミェシュ・ピワルスキ
Roman Zambrowski,ロマン・ザンブロフスキ
Stanisław Wiśniewski,スタニスワフ・ヴィシニェフスキ
Władysław Liniarski,ムシチスワフ大佐
Ryszard Gryglewski,リシャード・グリグルフスキー
Kazimierz Mijal,カジミェシュ・ミヤル
Ryszard Ochyra,ルィシャルト・オヒラ
Adrianna Godlewska,アドリアナ・ゴドレフスカ
Konstanty Laszczka,コンスタントゥ・ラシチカ
Krzysztof Głowacki,クシシュトフ・グウォヴァツキ
Róża Raczyńska,ルーザ・ポトツカ
Sabina Wojtala,サビーナ・ヴォイタラ
Krystyna Jakubowska,クリスティーナ・ヤクボフスカ
Agnieszka Dowbór-Muśnicka,アグネシュカ・ドヴブル＝ムシニツキ
Krzysztof Globisz,クシシュトフ・グロビシュ
Agata Młynarska,アガタ
Krzysztof Ratajski,クリストフ・ラタイスキー
Seweryn Michalski,セヴェリン・ミハルスキ
Agnieszka Fajlhauer,アニエスカ・ファジルハウアー
Agnieszka Glińska,アグニェシュカ・グリンスカ
Krzysztof Wiłkomirski,クシシュトフ・ヴィウコミルスキ
Krzysztof Wojdan,クリシュチフ・ウオイダン
Stanisław Przespolewski,スタニスワフ・プシェスポレフスキ
Stanisław Nowodworski,スタニスワフ・ノヴォドヴォルスキ
Stanisław Jędryka,スタニスワフ・イェンドリカ
Agnieszka Kawiorska,アグニェシュカ・カヴョルスカ
Agnieszka Korneluk,アグニェシュカ・コンコレフスカ
Agnieszka Kobus,アグニェシュカ・コブス
Stanisław Ostoja-Chrostowski,スタニスワフ・オストヤ＝フロストフスキ
Stanisław Michalkiewicz,スタニスワフ・ミハルキェヴィチ
Agnieszka Nogal,アニエスカ・マリア・ノガル
Leszek Moczulski,レシェク・モチュルスキ
Leszek Podhorodecki,レシェク・ポトホロデツキ
Agnieszka Sitek,アグニェシュカ・シテク
Leszek Lichota,レゼック・リコタ
Stanisława Zawadzka,スタニスラワ・ザヴァツカ
Agnieszka Żuławska-Umeda,アグニェシュカ・ジュワフスカ・梅田
Witold Bień,ヴィトルド・ビーン
Akira Fujimoto,藤本彰
Jan Samsonowicz,ヤン・サムソノヴィチ
Stefania Sempołowska,ステファニア・センポロウスカ
Stefan Zawadzki,シュテファン・ザワドスキ
Tytus Chałubiński,ティトゥス・ハウビンスキー
Lyda Roberti,リダ・ロベルティ
Ludwik Stasiak,ルドヴィク・スタシャク
Lucjan Kydryński,ルジャン・キドリンスキ
Szymon Marciniak,シモン・マルチニアク
Szymon Bobrowski,シモン・ボブロフスキ
Witold Trzeciakowski,ヴィトルト・チシェチャコフスキ
Tadeusz Rychter,タデウシュ・ルフテル
Aleksander Hertz,アレクサンダー・ヘルツ
Maciej Lepiato,マチェイ・レピャト
Maciej Gajos,マチェイ・ガヨス
Tadeusz Olsza,タデウシュ・オルシャ
Jerzy Waldorff,イェージー・ヴァルドルフ
Tadeusz Żmudziński,タデウシュ・ツムジンスキ
Aleksander Kita,アレクサンデル・キタ
Marcelina Czartoryska,マルツェリーナ・チャルトリスカ
Leon Wójcikowski,レオン・ヴォイジコフスキ
Marcin Held,マルチン・ヘルド
Marek Brodzki,マレク・ブロズキ
Marcin Rogacewicz,マルシン・ロガチェヴィチ
Wacław Gajewski,ヴァツワフ・ガイェヴスキー
Tomasz Beksiński,トマシュ・ベクシンスキ
Marek Kotlinowski,マレク・コトリノフスキ
Waldemar Witkowski,ヴァルデマル・ヴィトコヴスキー
Marcin Kubiak,マーティン・クビアク
Tomasz Kędziora,トマシュ・ケンジオラ
Urszula Urbaniak,ウルスラ・ウルバニアク
Wiktor Zborowski,ウィクター・ズボロースキー
Adam Adamczyk,アダム・アダムチク
Adam Andrzejewski,アダム・アンジェイェフスキ
Maria Kownacka,マリア・コブナッカ
Marek Kuczma,マレク・クチマ
Waldemar Maciszewski,ウラデマール・マチセウスキー
William Barker Cushing,ウィリアム・クッシング
Tomasz Makowski,トマシュ・マコフスキ
Witold Lesiewicz,ウィトルト・レシェウィッチ
Adam Bielecki,アダム・ビエレツキ
Adam Bodnar,アダム・ボドナル
Władysław Cyganiewicz,ウラデック・ズビスコ
Adam Bunsch,アダム・ブンシュ
Wojciech Kowalski,ヴォイチェフ・コヴァルスキ
Wojciech Wiszniewski,ヴォイチェフ・ヴィシュニェフスキ
Kazimierz Bąbiński,ルボン大佐
Władysław Czapliński,ヴワディスワフ・チャプリンスキ
Wojciech Zamecznik,ヴォイチェフ・ザメチニク
Aleksandra Konieczna,アレクサンドラ・コニェチュナ
Władysław Koba,ヴワディスワフ・コバ
Andrzej Krauze,アンジェイ・クラウゼ
Aleksandra Kwaśniewska,アレクサンドラ・クファシニェフスカ
Włodzimierz Stefański,ヴウォジミェシュ・ステファンスキ
Adam Józef Potocki,アダム・ユゼフ・ポトツキ
Andrzej Kosendiak,アンジェイ・コセンジャク
Adam Kierzkowski,アダム・キエルツコウスキ
Władysław Wejtko,ウラディスラウ・ウェイトコ
Xilent,Xilent
Bohdan Butenko,ボフダン・ブテンコ
Antoni Reiter,アントニー・レイテル
Bogusława Olechnowicz,ボグスワヴァ・オレフノビッチ
Dominika Leśniewicz,ドミニカ・レスニェビッチ
Alicja Sapryk,アリツィア・サプルィク
Arkadiusz Jakubik,アルカディウス・ヤクビク
Dorota Osińska,ドロタ・オシンスカ
Donatan,ドナタン
Bronisław Heyduk,ブロニスワフ・ヘイドゥク
Artur Nogal,アルトゥル・ノガル
Bożena Stachura,ボジェナ・スタフーラ
Andrzej Zamilski,アンドジェイ・ザミルスキ
Andrzej Cofalik,アンジェイ・コファリク
Andrzej Duda,アンジェイ・ドゥダ
Bronisława Wójcik-Keuprulian,ブロニスワヴァ・ケウプルリャン＝ヴイチク
