José Luis Panizo,ホセ・ルイス・パニーソ
Juan de Ovando y Aguirre,フアン・デ・オヴァンド
Eduardo Ortiz de Landázuri,エドゥアルド・オルティス・デ・ランダズリ
Nicolás Franco Bahamonde,ニコラス・フランコ
Chano Piñeiros,チャノ・ピニェイロ
Carmen de la Maza,カルメン・デ・ラ・マザ
Carmina Virgili,カルミナ・ビルジリ
Francisco Blanco,フランシスコ・ブランコ
Clara Segura,クララ・セグラ
Simó de Guardiola y Hortoneda,シモ・ロハス・デ・グアルディオラ・イ・オルトネダ
Chete Lera,チェテ・レーラ
Francesc Homs,フランセスク・オムス
Chus Alonso,チュス・アロンソ
Joxean Fernández "Matxín",ホセアントニオ・フェルナンデス
Francesc Domingo,フランセスク・ドミンゴ
Fidel García Berlanga,フィデル・ガルシーア・ベルランガ
José de Elola y Gutiérrez,ホセ・デ・エロラ・イ・グティエレス
Cañita Brava,カニタ・ブラバ
Pablo Pérez Rodríguez,パブロ・ペレス・ロドリゲス
José Ramón Soroiz,ホセ・ラモン・ソロイズ
Pau Milà i Fontanals,パウ・ミラ
César Ferrando,セサル・フェルナンド
Pablo Sanz Iniesta,パブロ・サンス
Pablo Villa,パブロ・ビジャ
Eduardo Naranjo,エドゥアルド・ナランホ
Patricia Ferreira,パトリシア・フェレイラ
Francisco Javier Irazoki,フランシスコ・ハビエル・イラソキ
Clementina Ródenas,クレメンチナ・ロデナス・ビイェナ
Cruz Martínez Esteruelas,クルス・マルティネス・エステルエーラス
Cuca Canals,キュカ・カルナス
Dani Rovira,ダニ・ロビラ
Juan Bautista Llorens Albiol,フアン・バウティスタ・リョレンス
Cristina Urgel,クリスティーナ・ウルヘル
Darío Villanueva,ダリオ・ビジャヌエバ
Juan Cotino,フアン・コティーノ
Daniel Raventós Panella,ダニエル・ラヴェントス
Francisco Javier Gutiérrez,フランシスコ・ハビエル・グティエレス
Patxi Bisquert,パトシ・ビスケット
Juan Carlos Eguillor,フアン・カルロス・エギリョル
Francisco Jódar,フランシスコ・ホダル
Josefa Salas Mateo,ホセファ・サーラス・マテオ
Francisco Roig Ballester,フランシスコ・ロイグ・バリェステル
Isidoro Zorzano,イシドロ・ソルサノ
Francisco Paesa,フランシスコ・パエサ
Francisco Pi y Arsuaga,フランシスコ・ピ・イ・アルスアガ
Modesto Brocos Gómez,モデスト・ブロコス
Óscar González-Quevedo Bruzón,オスカー・ゴンザレス・ケベード
Beatriz Colomina,ビアトリス・コロミーナ
Juan Luis Guirado,フアン・ルイス・ギラード
Diego Muñoz-Torrero,ディエゴ・ムニョス＝トレロ
Pedro Salazar de Mendoza,ペドロ・デ・サラサール・イ・メンドーサ
Juan Manuel Reol,フアン・マヌエル・レオル・テハーダ
Juan Ignacio de Iztueta,フアン・イグナシオ・デ・イズトゥエタ
Ramón de Errazu Rubio,ラモン・デ・エラス
Pere Llosas i Badia,ペドロ・リョサス・バディア
Diego de la Cruz,ディエゴ・デ・ラ・クルス
Dionisio Rodríguez Martín,ディオニシオ・ロドリゲス・マルティン
Félix Urabayen,フェリシュ・ウラバイェン
Gabriel Ferraté Pascual,ガブリエル・ファラテー・パスクアル
Pepe Brand,ぺぺ・ブランド
Cosme Vázquez,コスメ・バスケス
Dámaso Zabalza,ダマソ・サバルサ
Eduardo Escalante,エドゥアルド・エスカランテ
Genaro Celayeta,ヘナロ・セライエタ
Germán Coppini,ヘルマン・コッピーニ
Ignacio Quereda,イグナシオ・ケレーダ
Lluïsa Vidal,リュイサ・ヴィダル
Manuel Redondo,マヌエル・レドンド
Eduard Cortés,エドゥアルド・コルテス
José María Iribarren,ホセ・マリア・イリバレン
Pere Ventayol Suau,ペドロ・バンタジョール・スアウ
Juan Zaragüeta,フアン・サラグエタ
Juan de Arratia,フアン・デ・アラティア
Irene Paredes,イレーネ・パレデス
Gerardo Conde Roa,ヘラルド・コンデ・ロア
Gerardo Malla,ヘラルド・マリャ
Juan Torres López,ホアン・トーレス・ロペス
Mariano Díaz Mejía,マリアーノ・ディアス・メヒア
Gonzalo Payo Subiza,ゴンサロ・パジョ
Édgar Badía,エドガル・バディア
Mauro dos Santos,マウロ・ドス・サントス
Juan Soreda,フアン・ソレダ
Marta Rovira,マルタ・ルビーラ
Josep Segrelles,ホセ・セグレーリェス
Edurne Uriarte,エドゥルネ・ウリアルテ
Germán Hernández Amores,ヘルマン・エルナンデス・アモレス
José Luis Rodríguez,ホセ・ルイス・ロドリゲス
Gregorio Español,グレゴリオ・エスパニョル
Ana Carrasco,アナ・カラスコ
Gustavo Pittaluga González del Campillo,グスタボ・ピッタルーガ
Karmelo Landa,カルメロ・ランダ
Alex Granell,アレックス・グラネイ
Eduardo Cano,エドゥアルド・カノ・デ・ラ・ペーニャ
Helena Taberna,エレーナ・タベルナ
Inés París,イネス・パリス
Eladio Viñuela Díaz,エラディオ・ビニュエラ・ディアス
Jaime Morera y Galicia,ハイメ・モレラ
Mariano Pulido,マリアーノ・プリド
Laura de la Calle,ラウラ・デ・ラ・カジェ
Llorenç Ferrer Martí,ロレンソ・フェレール・マルティ
Isabel Bonig Trigueros,イサベル・ボニグ
Lluís Muncunill i Parellada,リュイス・ムンクニイ・イ・パレリャーダ
Lina Prokófieva,リーナ・プロコフィエヴァ
Narciso Pascual Colomer,ナルシコ・パスクアル・コロメル
Ramón Alabern y Moles,ラモン・アラバーン・イ・モレス
Francisco Roig Alfonso,フランシスコ・ロイグ・アルフォンソ
Ignacio Martín Solanas,イグナシオ・マルティン・ソラーナス
Ramon Reventós,ラモン　レべントス　ファラロンス
Jaime Pastor,ハイメ・パストール
Imanol Alguacil,イマノル・アルグアシル
Iosu Esnaola,ヨス・エスナオラ
Guillem Cifre de Colonya,ギリェム・シフレ・ダ・クローニャ
Ignacio Martín-Esperanza,マルティン・エスペランサ
Lluïsa Forrellad,ルイサ・フォレラー
Luis Callejo,ルイス・カジェホ
Jabier Muguruza,ハビエル・ムグルサ
Iñaki Esain,イニャキ・エサイン
Manuela Carrasco,マヌエラ・カラスコ
Ricardo Rodríguez,リカルド・ロドリゲス
Israel Rodríguez,イスラエル・ロドリゲス
Jesús Rodríguez Picó,ジェスズ・ロドリゲス
Francisco Rizzo,フランシスコ・リゾ
Louis Moritz,ルイス・モリッツ
Lolita Bosch,ロリータ・ボッシュ
Regino Hernández Martín,レヒノ・エルナンデス
Jaime Aguadé Miró,ジャウマ・アイグアデー・ミロー
Mohamed,モハメド
Eduard Prades,エドゥアル・プラデス
Raúl Dans,ラウル・ダンス
Iñaki Uranga,イニャキ・ウランガ
Luis Javier Rodríguez Moroy,ルイス・ハビエル・ロドリゲス・モロイ
M.ª Isabel Celaá Diéguez,イサベル・セラア
Jaime Carner Romeu,ハイメ・カルネル・ロメウ
Luis Posada,ルイス・ポサダ
Luis Zahera,ルイス・サエラ
Luis de Castresana,ルイス・デ・カストレサナ
Roberto Uranga,ロベルト・ウランガ
Rodrigo Contreras,ロドリーゴ・デ・コントレーラス
Javier Maté,ハビエル・マテ
Rosa Sabater,ロサ・サバテール
Luis Urquiri,ルイス・ウルキリ
Iñaki Malbadi,イニャキ・マルバディ
Luis Posada Mendoza,ルイス・ポサダ・メンドーサ
Luis Riera Posada,ルイス・リエラ・ポサーダ
Rubén Gimeno,ルベン・ヒメノ
Salvador Gabarró Serra,サルバドール・ガバロー・セーラ
Luis de Valdivia,ルイス・デ・バルディビア
Josep Pau Ballot i Torres,ジュゼップ・パウ・バリョット
Mariano Fernández de Folgueras,マリアノ・フェルナンデス・デ・フォルゲラス
Javier Tebas Medrano,ハビエル・テバス
Jennifer Colino,ジェニファー・コリーノ
Joseph Berga y Boix,ジュゼップ・ベルガ・イ・ボッシ
Josep Bros,ホセ・ブロス
Manuel Barrios Jiménez,マヌエル・バリオス・ヒメネス
Manolo Safont,マノロ・サフォント
Ignacio Lafita Castillo,ナチョ・ラフィータ
Jimmy Giménez-Arnau,ジミー・ヒメネス＝アルナウ
José Arpa Perea,ホセ・アルパ・ペレア
Juan Pich y Pon,ジョアン・ピック・イ・ポン
Javier Godó Muntañola,ハビエル・ゴドー・ムンタニョーラ
Salvador Galmés,サルバドール・ガルメス
Salvador García Ruiz,サルバドール・ガルシーア・ルイス
Santiago Marraco,サンティアゴ・マラッコ
José López Orozco,ホセ・ロペス・オロスコ
Jesús Fuentes Lázaro,ヘスス・フエンテス・ラサロ
Juan Bautista Grau Vallespinós,ジョアン・バプティスタ・グラウ・イ・バリェスピノス
José Luis Orbegozo Balzola,ホセ・ルイス・オルベゴソ
Manuel Iborra,マヌエル・イボーラ
José Miguel Conejo Torres,レイバ
Manuel Jabois Sueiro,マヌエル・ジャボア
Manuel González Martí,マヌエル・ゴンサーレス・マルティ
Sergi Méndez,セルジ・メンデス
Juan Antonio Jiménez Cobo,フアン・アントニオ・ヒメネス
Manuel Lozano Burgos,マヌエル・ロサノ
Manuel María Puga y Parga,マヌエル・マリア・プガ・イ・パルガ
Joan Llimona,ジョアン・リモナ
Joan Lluhí,ジュアン・リュイー
Sergio Peris-Mencheta,セルヒオ・ペリス＝メンチェータ
Josefina Castellví,ジュゼフィーナ・カステルビ
Manuel Molina Conejero,マヌエル・モリーナ・コーネヘロ
José María Salmerón,ホセ・マリア・サルメロン
Joan Coscubiela,ジュアン・クスクビエーラ・イ・クネーザ
Joan Crosas,ジョアン・クロサス
José María Angelat,ジョセップ・マリア・アンジェラット
Juan Giménez Martín,フアン・ギメネス・マルティン
Juan Venancio Araquistáin,フアン・ベナンシオ・アラキスタイン
Soledad Giménez,ソレダ・ヒメネス
Joan Ribó,ジョアン・リボー
Joaquín Pi y Arsuaga,ジョアキン・ピ・イ・アルスアガ
Julio Antonio Elícegui,フリオ・エリセギ
Joaquín Loriga,ホアキン・ロリーガ・タボアーダ
Juan María Urdangarin Berriochoa,フアン・マリア・ウルダンガリン・ベリオチョア
Joan Valent,ジョアン・ヴァレント
Susana Dans,スサナ・ダンズ
Maria Àngels Cardona i Florit,マリア・アンジャルス・カルドナ
Marcos Martín de la Fuente,マルコス・マルティン
Marcos Rodríguez Pantoja,マルコス・ロドリゲス・パントーハ
Manuel Vierna Belando,マヌエル・ビエルナ
Leopoldo Pomés Campello,レオポルド・ポメス
Silvia Intxaurrondo,シルビア・インチャウロンド
Francisco Jorquera,フランシスコ・ホルケーラ
Llum Barrera,リュム・バレーラ
Luis Planas,ルイス・プラナス
Sílvia Pérez Cruz,シルビア・ペレス・クルス
Terele Pávez,テレレ・パベス
Jokin Aperribay,ヨキン・アペリバイ
Jon Toral,ジョン・トラル
"Joaquín Álvarez de Toledo, XX duque de Medina Sidonia",ホアキン・アルバレス・デ・トレド
Manuel Mur Oti,マヌエル・ムル・オティ
Christian Venge Balboa,クリスティアン・ベンヘ バルボア
Juan Manuel de la Peña Bonifaz,フアン・マヌエル・デ・ラ・ペーニャ・ボニファス
José Lémery,ホセ・レメリー
Mariano Barbasán,マリアーノ・バルバサン
Tomás González Morago,トマス・ゴンサレス・モラゴ
Tomás Padró,トマース・パドロ
Luis María Ansón,ルイス・マリア・アンソン
Tomás Moragas,トマス・モラガス
Jordi García Candau,ジョルディ・ガルシーア・カンドウ
Marisol Membrillo,マリソル・メンブリーリョ
Mario Albar,マリオ・アルバル
José Terrón,ホセ・テロン
Manuela de Madre,マヌエラ・ダ・マドレ
Manuel Borja-Villel,マヌエル・ボルハ＝ビリェル
Mariano de Cavia,マリアーノ・デ・カヴィア
Marta Angelat,マータ・アンジェラット
Jordi Vila Soler,ジョルディ・ビラ
Joseba Azkarraga Rodero,ホセバ・アズカラガ
Vicente Ballester Martínez,ビセンテ・バリェステー・マルティネス
Juan Saavedra,フアン アントニオ・サーベドラ レイナルド
Jonathan Ñíguez,ホナタン・ニゲス
Txumari Alfaro,チュマリ・アルファロ
Uztapide,ウスタピデ
Enrique Ponte,エンリケ・ポンテ
Clemente Fernández,クレメンテ・フェルナンデス
Rafael García Serrano,ラファエル・ガルシア・セラーノ
José Martín Recuerda,ホセ・マーティン・レカーダ
Matías Maestro,マティアス・マエストロ
José Galofré y Coma,ホセ・ガロフレ・イ・コマ
Martín de la Ascensión,マルチノ・デ・ラ・アセンシオン
Josep Pla-Narbona,ジョセップ・プラナルボナ
Vicente Cutanda y Toraya,ビセンテ・クタンダ
Vicente Llorens Poy,ビセンテ・リョレンス・ポイ
María Asunción Català,マリア・アスンシオー・カタラー・イ・ポッチ
Miquel Llompart Hernández,ミケル・リュンパルト・エルナンデス
Josep Maria Montaner,ジュゼップ・マリア・モンタネリ・マルトレル
Josep Maria Tamburini,ジョゼップ・マリア・タンブリーニ
Victoria Díez Bustos de Molina,ビクトリア　ディエス　ブストス　デ　モリーナ
Esaú García Álvarez,エサウ・ガルシア・アルバレス
Domingo del Camino,ドミンゴ・デル・カミーノ
Xaime Quesada Porto,シャイメ・ケサダ
Xan das Bolas,ザン・ダス・ボーラ
Pedro Alonso,ペドロ・アロンソ
Monti Castiñeiras,モンティ・カスティニェラス
Xavier Corberó,ハビエル・コルベロ
María Teresa Ocaña,マリア・テレサ・オカーニャ
Pedro González Martínez,ペドロ・ゴンサレス・マルティネス
Mateo de Prado,マテオ・で・プラド
Xavier Barral i Altet,グザヴィエ・バラル・イ・アルテ
Miguel Acha,ミゲル・アチャ
Monchi,モンチ
Ximo Puig,シモ・プッチ
Enric Palomar,エンリク・パロマー
Ramón Ruiz Amado,ラモン・ルイス・アマード
Rafael Senet Pérez,ラファエル・セネト・ペレス
Rafael Soto Andrade,ラファエル・ソト
Ximo Rovira,シモ・ロビラ
Xavier Villaverde,ハビエル・ビリャベルデ
Pere Macias,ペラ・マシーアス
Carlos Laffon-Parias,カルロス・ラフォン＝パリアス
Francisco Bens,フランシスコ・ベンズ
Pepa Rus,ペパ・ルス
Pere Antoni Serra Bauzà,ペドロ・セラ
Álex Rovira,アレックス・ロビラ
Daniel Enrique Sanchez Reyes,ダニエル・サンチェス (野球)
Teresa Galí-Izard,テレサ・ガリ・イザルド
Dewis Navarro,デウィス・ナバーロ
Fernando José Gutiérrez Gutiérrez,フェルナンド・グティエレス
Mercè Arànega,メルセ・アラネガ
Meritxell Batet,メリチェル・バテット
Anna Maria Dalí,アナ・マリア・ダリ
Pedro Valentín Mora,ペレ・バレンティ・モラ
Manuel Tabare Olivera,マニュエル・オリベイラ
Marc Carrillo Vinuales,マルク・カリーロ
Miguel Peidro,ミゲル・ペイドロ
Pablo Machín,パブロ・マチン
Tomas Marin,トーマス・マリン
Joan Salvans,ジョアン・サルバンス
Amado Granell,アマド・グラネル
Xoán Piñeiro Nogueira,ショアン・ピニェイロ・ノゲイラ
Miguel Rojo,ミゲル・ロホ
XRukix,XRukix
Ramón Padró y Pijoan,ラモン・パドロ・イ・ピホアン
Pierre Oriola,ピエーレ・ウリオラ
José Llompart,ホセ・ヨンパルト
José Luis de Delás,ホセ・ルイス・デ・デラス
José Luis Romanillos Vega,ホセ・ルイス・ロマニロス
Jorge Balboa Miguel,ホルヘ・バルボア
Laura Fernández,ラウラ・フェルナンデス
Raúl Guerra Garrido,ラウル・ゲーラ・ガリード
Diego Pacheco López de Morla,結城了悟
Roberto Jiménez Alli,ロベルト・ヒメネス・アジ
Chieko Hara,原智恵子
Agustín González Acilu,アグスティン・ゴンサーレス・アシル
Xosé Sánchez Bugallo,ショセ・アントーニオ・サンチェス・ブガージョ
Sergio Portela,セルヒオ・ポルテラ
Rober Bodegas,ロバート・ボデガ
Enrique Paternina García-Cid,エンリケ・パテルニーナ
Santiago Abascal Conde,サンティアゴ・アバスカル
Severino Rivas Barja,セベリノ・リバス
La Húngara,ラ・ウンガラ
Alejandro Menéndez,アレハンドロ・メネンデス
Sílvia Bel,シルビア・ベル
Ángel Mariscal,アンヘル・マリスカル
Antonio Sanjurjo Badía,アントニオ・サンフルホ・バディア
Antoni Pérez Moya,アントニ＝ペレス・モヤ
Eduardo Madina,エドゥアルド・マディーナ
Eduardo Ortega y Gasset,エドゥアルド・オルテガ・イ・ガセット
Jun Shirota,城田純
Elena Irureta,エレナ・イルレタ
Xabier Silveira,シャビエル・シルベイラ
Edu Soto,エドゥ・ソト
Enric Majó,エンリク・マージョ
Ester Xargay,エステル・シャルガイ・メレーロ
Àngel Casas,アンヘル・カサス
Eugènia Serra,ウージェニア・セッラ
Francesc Colomer,フランセスク・コロメール
Florencio Delgado,フローレンシオ・デルガド・グリアラン
Xavier García Albiol,シャビエル・ガルシーア・アルビオル
Francesc Orella,フランセスク・オレーリャ
Jesusa Vega,ヘスサ・ベガ
Ermitaño Pelayo,隠者ペラーヨ
Óscar Cano Moreno,オスカル・カノ
José de la Sagra Fermín,ホセ・デ・ラ・サグラ
Joaquín Atanasio Pignatelli de Aragón y Moncayo,ホアキン・ピニャテリ・デ・アラゴン
Ferran Agulló i Vidal,ファラン・アグリョー
Juli Mira,ジュリ・ミラ
Joxemari Iturralde,ジョセマリ・イトゥラルデ
Francesc Homs Molist,フランセスク・オムス・モリスト
Julián Arcas Sánchez,フリアン・アルカス・サンチェス
Manuela Mena,マヌエラ・メナ
Koldo Izagirre,コルド・イサギレ
Vicente Gil,ビセンテ・ヒル
Joaquín Casas Carbó,ジュアキン・カザス・イ・カルボー
Camilo Fabra,カミル・ファブラ・イ・フォンタニリス
Domingo de Jesús María,ドミンゴ・デ・ヘスス・マリア
Lina Badimón Maestro,リナ・バディモン・マエストロ
Laura Vilagrà i Pons,ラウラ・ヴィラグラ・イ・ポンス
Joaquín Pi y Margall,ジョアキン・ピ・イ・マルガイ
Jon Castañares,ヨン・カスタニャーレス
Manuel Amechazurra,マヌエル・アメチャスーラ
Jordi Xuclà,ジョルディ・シュクラ
Consuelo,コンスエロ
Pedro Cordero Sánchez,ペドロ・コルデロ
Paul Fuster,パウル・フステル
Manuel Senante,マヌエル・セナンテ・マルティネス
Josep Espar,ジョゼップ・エスパー・イ・ティコ
Dolors Lamarca i Morell,ドロース・ラマルカ・イ・モレル
Isabel de Requesens y Enríquez de Velasco,イサベル・デ・レケセンス・イ・エンリケス・デ・ベラスコ
Dolors Montserrat Montserrat,ドロレス・モンセラ
Isona Passola i Vidal,イソナ・パソーラ
Jaume Carner i Suñol,ジャウマ・カルネル
Diana Gómez,ディアナ・ゴメス
Eduardo Alcobé y Arenas,エドゥアルド・アルコベ・アレナス
Jaume Collboni,ジャウマ・コルボニ
Rafael Sala,ラファエル・サラ・マルコ
Martí Genís i Aguilar,マルティ・ガニス・イ・アギラール
Jaume Massó i Torrents,ジャウマ・マッソー・イ・トレンツ
Matías Alonso Ruiz,マティアス・アロンソ・ルイス
Elías Torres,エリアス・トーレス
Elisa Lledó,エリサ・レド
Jesús María Duñabeitia,ヘスス・マリア・ドゥニャベイティア
José Nin y Tudó,ジュゼップ・ニン・イ・トゥドー
Jesús Sánchez Japón,ヘスス・サンチェス・ハポン
Carlos Barbero,カルロス・バルベロ
José Antonio Raón Gutiérrez,ホセ・ラオン
Modesto López Novoa,モデスト・ロペス
Manuel de Castro,マヌエル・デ・カストロ
Pedro Fernández,ペドロ・フェルナンデス
Pedro Inocencio Bejarano,ペドロ・イノセンシオ・ベハラーノ
Joaquín Ruiz Llorente,ホアキン・ルイス
José Manuel Pagán,ホセ・マヌエル・パガン
Josep Soler Dosaigües,ホセ・ソレル
Alaia Martin,アライア・マルティン
Nicolás Ledesma,ニコラス・レデスマ
José Francisco de Aizquíbel Epelde,ホセ・フランツィスコ・アイスキベル
Antero González de Audicana,アンテロ・ゴンサレス・デ・アウディカナ
Ane Pikaza Ereño,アネ・ピカザ
Eduardo Parrado,エテゥアルド・パラド
Sergio Vila-Sanjuán,セルヒオ・ビラ-サンファン
Anjel Alkain,エンジェル・アルケイン
Elena Colmeiro,エレナ・コルメイロ
Aritz Bagües,アリッツ・バグエス
José Ramón Argoitia,ホセ・ラモン・アルゴイティア
Enrique Campo Sobrino,エンリケ・カンポ・ソブリノ
Antton Olariaga,アントン・オラリアガ
Xabier Erkizia,シャビエル・エルキシア
Joseba Usabiaga,ホセバ・ウサビアガ
Tomas San Miguel,トマス・サン・ミゲル
Bárbara Oteiza,バルバラ・ゴンサレス
Antón Faílde Gago,アントン・ファイルデ・ガゴ
Fernanda del Nido,フェルナンダ・デル・ニド
Victoriano Iraola,ビクトリアーノ・イラオラ
Xalbador Garmendia,サルバドール・ガルメンディア
Fernando Cortés Bugía,フェルナンド・コルテス・ブヒア
Zorion Egileor,ソリオン・エギレオル
Xebe Diez,ジーベ・ディエス
Joxantonio Ormazabal,ホスアントニオ・オルマサバル
Juan Bautista Berasategi,フアン・バウティスタ・ベラサテギ
Vicente Capdevila Cardona,ビセンテ・カプデビラ
Dolores Redondo,ドローレス・レドンド
Diego Tristán,ディエゴ・トリスタン
Joxean Muñoz,ジョクサン・ムニョス
Francisco Esteban Aedo,フランシスコ・エステバン・アエド
Narf,ナーフ
Estitxu Fernandez,エスティトス・フェルナンデス
Karlos Linazasoro,カルロス・リナザソーロ
Enrique Eguren,エンリケ・エグレン
Gonzalo Brañas Fernández,ゴンサーロ・ブラニャス・フェルナンデス
Gonzalo Brañas Sánchez-Boado,ゴンサーロ・ブラニャス・サンチェス＝ボアド
Kiko de la Rica,キコ・デ・ラ・リカ
Àngels Poch,アンジェルス・ポック
Francisco Sol Ortiz,フラン・ソル
Celia Robledo,セリア・ロブレド
Fermín Herrán,フェルミン・エラン
Acisclo Manzano,アシスクロ・マンサノ
Luis Rey,ルイス・レイ
Felix Arkarazo,フェリックス・アルカラソ
Agustín Agra,アグスティン・アグラ
María Jose Olaziregi Alustiza,マリ・ホセ・オラジレギ
Manuel Montero García,マヌエル・モンテロ
Manuel Coia,マヌエル・コイア
Alfonso Vilar Lamelas,アルフォンソ・ビラル・ラメラス
Alfonso Zarauza,アルフォンソ・ザラウッサ
Alfonso Agra,アルフォンソ・アグラ
Jenaro de la Fuente Álvarez,ヘナロ・デ・ラ・フエンテ・アルバレス
Jesús Aguilar Rodríguez,ヘスス・アギラール・ロドリゲス
Gonzalo Herralde,ゴンザロ・ヘラルデ
Melchor Oyanguren de Santa Inés,メルチョル・オヤングレン・デ・サンタ・イネス
María Chivite Navascués,マリア・チビテ
Gregorio Ibarretxe,グレゴリオ・イバレチェ
Ana Belén Pontón Mondelo,アナ・ポントン
Miguel de Aozaraza,ミゲル・デ・アオサラサ
Jesús Rodríguez Murias,ヘスス・ロドリゲス
Manuel García de Buciños,マヌエル・ガルシア・デ・ブシニョス
Mikel Bizkarra,ミケル・ビスカッラ
Mikel Etxarri,ミケル・エチャリ
Manuel Reimóndez Portela,マヌエル・レイモンデス・ポルテラ
Jorge Coira,ホルヘ・コイラ
Manuel Rodríguez Alfonso,マノーロ
José Antonio Souto Paz,ホセ・アントーニオ・ソウト・パス
José Antonio Tejedor,ホセ・アントニオ・テヘドール
Inaxio Perurena,イナクシオ・ペルレナ
Miren Aranburu,ミレン・アランブル
Marc Martínez Aranda,マルク・マルティネス・アランダ
Itziar Aizpuru,イツィアル・アイスプル
Pablo Hervías,パブロ・エルビアス
Nagore Aranburu,ナゴレ・アランブル
Ixiar Rozas Elizalde,イシアル・ロザス・エリザルデ
Maxín Picallo,マシン・ピカジョ
Antúnez Pousa,アントゥネス・ポウサ
Anxos Sumai,アンショス・スマイ
Anxo Pintos,アンショ・ピントス
Pedro Udaondo Echevarría,ペドロ・ウダオンド
Arturo Baltar,アルトゥーロ・バルタル
Augusto Assía,アウグスト・アッシア
Patxi Santamaria,パチ・サンタマリア
Iñigo Aranbarri,イニゴ・アランバリ
Ramón Agirre,ラモン・アギーレ
Gabriel Xosé Eiroa Barral,ショセ・エイロア
Xosé Manuel Pazos,ショセ・マヌエル・パソス
Xoán Davila,ショアン・ダビラ
Pepo Suevos,ペポ・スエボス
Álvaro Lemos,アルバロ・レモス
César Lombera,セサル・ロンベラ
Ángel Martínez Ortega,アンヘル・マルティネス
Kevin Vázquez Comesaña,ケビン・バスケス
Leopoldo Rubido Ramonde,レオポルド・ルビド・ラモンド
Xuxo Vázquez,シュショ・バスケス
Chema Gagino,ケマ・ガギノ
Ramón Ángel Conde Bermúdez,ラモン・コンデ
Daniel Barrio,ダニ・バリオ
Adrián Barbón Rodríguez,アドリアン・バルボン
Diego Ameixeiras Novelle,ディエゴ・アメイクセイラス
Daniel Rodríguez Vázquez,ダニ・ロドリゲス
Rubén Blanco Veiga,ルベン・ブランコ
Sabela Arán,サベラ・アラン
Salvador del Río,サルバドール・デル・リオ
Teresa Añón,テレサ・アニョン
David Mascort Subiranas,デビッド・マスコート・スビラナス
Miriam González Durántez,ミリアム・ゴンザレス・デュランテス
Urbano Lugrís Vadillo,ウルバノ・ルグリス・バディジョ
Correa Corredoira,コレア・コレドイラ
Xerardo Estévez,シェラルド・エステベス・フェルナンデス
Xaquín Chaves,シャキン・チャベス
Xavier Vence,シャビエル・ベンセ
Xaime Quesada Blanco,シャイメ・ケサダ・ブランコ
Vicent Franch i Ferrer,ビセント・フランシ・イ・フェレール
Diego Llorente,ディエゴ・ジョレンテ
Camilo Nogueira,カミロ・ノゲイラ
Fernando Pacheco,フェルナンド・パチェコ
Lorenzo Manuel Gonzalez Prado,ロレンソ・マヌエル・ゴンザレス・プラド
Fernando Franco González,フェルナンド・フランコ・ゴンザレス
Xosé Cid Menor,ショセ・シッド・メノル
Jagoba Arrasate,ハゴバ・アラサテ
Muriel Casals,ムリエル・カサルス・イ・コウトゥリエル
Carlos Akapo,カルロス・アカポ
Jaume Casals,ジャウマ・カザルス
Carlos Pigem,カルロス・ピジェム
Eduardo Tena Torres,エドゥアルド・テナ・トーレス
Antonio Jesús Martín Gaitán,マルティン
Juan Pulido Gil,フアン・プリド・ヒル
Pablo Bellido Acevedo,パブロ・ベリード
Antonio Romero Jaroso,アントニオ・ロメロ・ハロソ
Carmen Pinto Orellana,カルメン・ピント・オレヤーナ
Lorenzo Brown,ロレンゾ・ブラウン
Inmaculada Delgado Nuñez,インマクラダ・デルガド・ヌニェス
Jesús Regodón Cercas,ヘスス・レゴドン・セルカス
Antonio Mesa Gutiérrez,アントニオ・メサ・グティエレス
María Antonia Puertas Moreno,マリア・アントニア・プエルタス・モレノ
Enrique Enríquez de Quiñones,エンリケ・エンリケス・デ・キニョーネス
David Baños Abril,ダビド・バニョス・アブリル
Piedad Rodriguez Castrejon,ピエダッド・ロドリゲス・カストレホン
Luis Sánchez Corchero,ルイス・サンチェス・コルチェロ
Carlos Carrizosa Torres,カルロス・カリソーサ・トーレス
Juan Martínez Munuera,フアン・マルティネス・ムヌエラ
Inés Arrimadas,イネス・アリマーダス・ガルシーア
Jorge Franco Alviz,ホルヘ・フランコ
Raquel Saenz Blanco,ラケル・サエンス・ブランコ
María Martín,マリア・マルティン
Pascual Enrile y Alcedo,パスクワル・エンリレ・イ・アルセド
José María Espejo-Saavedra Conesa,ホセ・マリーア・エスペホ＝サーベドラ
Pablo Iglesias,パブロ・イグレシアス (1978年生)
Manuel-Jesús Rodríguez Ortega,マヌエル＝ヘスス・ロドリゲス
Eugenio Otsoa Ugalde,エウヘニオ・オツォア・ウハルデ
Sergi Mingote,セルギ・ミンゴテ
Bernat Solé Barril,ベルナ・ソレ
Francisco Mestre Llovera,フランシスコ・メストレ・リョベラ
Manuel Peiro Cobacho,マヌエル・ペイロ・コバチョ
Basilia Pareja Ruiz,バシリア・パレハ・ルイス
Ángel Fernández García,アンヘル・フェルナンデス・ガルシア
Mariano Parra Requejo,マリアーノ・パラ・レケホ
Mariano Martínez Hoyos,マリアーノ・マルティネス・オヨス
Julio César Rodríguez López,フリオ・ロドリゲス
Bruno Hortelano,ブルーノ・ホルテラーノ
Eduard Campabadal,エドゥアルド・カンパバダル
Sarai Gascón,サライ・ガスコン
