党委书记,당 서기
金平路站,진핑루 역
乌达区,우다구
丰镇市,펑전시
察哈尔右翼前旗,차하얼 우익전기
百年國恥,백년국치
旅遊警示,여행경보
聖約翰座堂,성 요한 대성당
云岩区,윈옌구
开阳县,카이양현
皋兰县,가오란현
九龍公園,주룽 공원
昂坪,옹핑
金杯汽车,진베이
2088年4月21日日食,2088년 4월 21일 일식
2030年6月1日日食,2030년 6월 1일 일식
珠海万山海洋开发试验区,주하이 완산 해양 개발 시험구
珠海高新技术产业开发区,주하이 국가 첨단 기술 산업 개발구
香港歷史博物館,홍콩 역사박물관
香港甲組足球聯賽,홍콩 1부 리그
港南区,강난구
龙马潭区,룽마탄구
银海区,인하이구
武宣县,우쉬안현
蒙城县,멍청현
肃北蒙古族自治县,쑤베이 몽골족 자치현
莒南县,쥐난현
榆中县,위중현
双流区,솽류 현
南明区,난밍구
佐丹奴,지오다노
宜良县,이량현
元谋县,위안머우현
春秋航空,스프링 항공
太和县,타이허현
海洋系列卫星,해양 (인공위성)
香港四季酒店,포 시즌스 호텔 홍콩
中国环球电视网俄语频道,CGTN 러시아어
肃南裕固族自治县,쑤난 위구족 자치현
禄劝彝族苗族自治县,루취안 이족 먀오족 자치현
乌当区,우당구
龙华区,룽화구
柴灣,츠완
北桥站,베이차오역
合和中心,호프웰 센터
呼和浩特白塔国际机场,후허하오터 바이타 국제공항
歼-5,선양 J-5
南宁吴圩国际机场,난닝 우수 국제공항
中国中央电视台新闻频道,CCTV-13
北京师范大学,베이징 사범대학
寧波中心,닝보 센터
210国道,국도 제210호선
靖西市,징시시
永福县,융푸현
田东县,톈둥현
贵德县,구이더현
盘龙区,판룽구
富民县,푸민현
兴安盟,싱안맹
舟山島架空電纜,저우산섬 송전선로
碧螺春,벽라춘
八一足球俱樂部,바이 축구단
恭城瑶族自治县,궁청 야오족 자치현
贡井区,궁징구
梅江区,메이장구
兴宾区,싱빈구
香港JW萬豪酒店,JW 메리어트 호텔 홍콩
111國道,국도 제111호선
104国道,국도 제104호선
101国道,국도 제101호선
220国道,국도 제220호선
328国道,국도 제328호선
325国道,국도 제325호선
澳門人口,마카오의 인구
源深体育中心体育场,위안션 체육중심
颍州区,잉저우구
萧县,샤오현
谢家集区,셰자지구
林西县,린시현
准格尔旗,준거얼 기
苏尼特右旗,쑤니터 우기
乌拉特后旗,우라터 후기
荣县,룽현
茂港区,마오강구
金平区,진핑구
329国道,국도 제329호선
中华人民共和国户籍制度,후커우 제도
上海人民公社,상하이 코뮌
中央音乐学院,중앙음악학원
上海音乐学院,상하이 음악학원
中华人民共和国国务院总理,중화인민공화국 국무원총리
雅鲁藏布江,얄룽창포강
第29届奥林匹克运动会组织委员会,베이징 올림픽 조직위원회
贵阳龙洞堡国际机场,구이양 룽둥바오 국제공항
寧波櫟社國際機場,닝보 리서 국제공항
香港基督教,홍콩의 기독교
花都区体育中心,화두 경기장
GCL-Poly,GCL-Poly
厦门金龙旅行车有限公司,골든 드래곤 (기업)
揭东区,제둥 현
西区,시구
四子王旗,쓰쯔왕 기
迪士尼小镇,디즈니타운
中华人民共和国专利法,중화인민공화국 특허법
申威,Sunway
湘桥区,샹차오구
兴业县,싱예현
古蔺县,구린현
昆明地铁,쿤밍 트랜싯
武汉地铁,우한 지하철
拉巴池,라그바 호수
攻擊,사이버 공격
巴林右旗,바린 우기
土默特右旗,투모터 우기
克什克腾旗,커스커텅 기
灌阳县,관양현
萬佛寺,홍콩 만불사
2012年中国足球超级联赛,중국 슈퍼리그 2012
山頂纜車,피크 트램
中国空间站工程,톈궁 계획
小米集團,샤오미 테크
中国电影频道,차이나 무비 채널
中非关系,아프리카–중국 관계
2010年京藏高速公路严重交通堵塞,2010년 중국 110번 국도 교통 정체
西港城,서항성
上山下乡运动,하방운동
深圳世界大学生运动会体育中心,선전 유니버시아드 스포츠 센터
國際廣場,iSQUARE
華潤雪花啤酒,설화 맥주
AcFun,AcFun
容县,룽현
泸县,루현
象山区,샹산구
金城江区,진청장구
港口区,강커우구
科尔沁左翼中旗,커얼친 좌익중기
光棍节,광곤절
临桂区,린구이 현
旌阳区,징양구
揭西县,제시현
秀峰区,슈펑구
田阳区,톈양현
赤峰路站,치펑루역
延安西路站,옌안시루역
澳門漁人碼頭,마카오 피셔맨스워프
中华门,중화문
衡山路站,헝산루역
汉中路站,한중루역
延长路站,옌장루 역
汶水路站,웬수이루 역
通河新村站,퉁허신춘역
喜靈洲,헤이링자우섬
會展中心站,컨벤션 및 전시 센터 역
上汽通用五菱,SAIC-GM-우링
南昌站,남청역
凌云县,링윈현
罗城仫佬族自治县,뤄청 무라오족 자치현
盐边县,옌볜현
深圳北站,선전북 역
昆明拓東體育場,쿤밍 퉈둥 체육장
广佛地铁,광포 지하철
澤豐站,아플루언스 역
农业展览馆站,눙예잔란관 역
中国阿含·桐山杯,아함동산배 (중국)
恩平市,언핑시
河南蒙古族自治县,허난 몽골족 자치현
灵川县,링촨현
1號幹線,홍콩 1호 간선
浦北县,푸베이현
玉州区,위저우구
融安县,룽안현
金鐘,감중
中华全国世界语协会,중국 에스페란토 협회
銀圍站,인웨이 역
化德县,화더현
太仆寺旗,타이푸쓰 기
海南区,하이난구
乌拉特前旗,우라터 전기
陆海国际中心,륙해국제센터
中不邊界,부탄-중화인민공화국 국경
中国－哈萨克斯坦边界,중화인민공화국-카자흐스탄 국경
中国－吉尔吉斯斯坦边界,중화인민공화국-키르기스스탄 국경
玫瑰聖母堂,성 도밍고 성당
华清池,화청지
澳門地理,마카오의 지리
何厚鏵,이드문드 우
未央宫,미앙궁
中阿邊界,아프가니스탄-중화인민공화국 국경
中国－缅甸边界,미얀마-중화인민공화국 국경
中国塔吉克斯坦边界,중화인민공화국-타지키스탄 국경
中越邊界,베트남-중화인민공화국 국경
中國哈薩克族,중국 카자흐족
大泉塔塔尔族乡,다취안 타타르족 향
香港輕鐵,홍콩 경철
澳門科學館,마카오 과학관
谋智中国,모질라 차이나
观致汽车,쿠오로스
迪欣湖活動中心,인스피레이션 레이크
中华人民共和国行政区划代码,중화인민공화국의 행정 구역 코드 번호
金阊区,진창구
上海大学,상하이 대학
通州区,퉁저우구
顺丰航空,SF 항공
爱联站,아이롄 역
机场东站,공항둥 역
深圳地铁11号线,선전 지하철 11호선
国务院国有资产监督管理委员会,국무원국유자산감독관리위원회
奥体中心体育场,베이징 올림픽 스포츠 센터
中国－老挝边界,라오스-중화인민공화국 국경
中尼邊界,네팔-중화인민공화국 국경
中国南方航空3943号班机空难,중국남방항공 3943편
港闸区,강자구
勐腊县,멍라현
勐海县,멍하이현
苗语川黔滇次方言,몽어
机场南站,공항남 역
龙头山古墓群,룽터우산 고분군
安德里北街站,안데리베이제역
安定门站,안딩먼역
曲下镇,퀵시아
奧林匹克體育中心-運動場,마카오 올림픽스포츠센터운동장
明報,명보
济阳区,지양 현
吳縣,우셴
光明日报,광명일보
陕西省体育场,산시성 경기장
金龙联合汽车,킹롱
天津开发区导轨电车1号线,톈진 개발구 유도전차 1호선
防火長城,만리방화벽
大慈恩寺,대자은사
福建炒飯,후지엔차오판
北京爱情故事,베이징 러브 스토리
丸都城,위나암성
浪卡子镇,나가르제
沙基慘案,사지 사건
中央电视台电视文化中心火灾,CCTV 텔레비전 문화 센터 화재
春運,춘윈
苏州中心广场,쑤저우 중난 센터
上汽大通,맥서스
澳門發展隊,MFA 디벨로프먼트
邳州市,피저우시
三台县,싼타이현
平江区,핑장구
安徽九方足球俱乐部,안후이 지우팡 FC
安徽卫视,안후이 위성 텔레비전
临城县,린청현
鑽石山站,다이아몬드 힐역
鄂爾多斯沙漠,오르도스 사막
上水站,상쉐이 역
火炭站,후오탄 역
旺角東站,왕쟈오동 역
太子站,프린스 에드워드 역
中央广播电视总台总部大楼,CMG 본사 빌딩
中国国际贸易促进委员会,중국국제무역촉진위원회
中国国际数码互动娱乐展览会,차이나조이
恩阳区,언양구
达旺寺,타왕 사원
中国节能环保集团公司,중국 에너지 절약 투자 공사
全州县,취안저우현
鄂倫春自治旗,어룬춘 자치기
清西陵,청서릉
安托山站,안퉈산 역
安贞门站,안전먼 역
衡山路,헝산루
成都地铁,청두 지하철
佛山地铁,포산 지하철
大连地铁,다롄 지하철
当曲卡镇,당쿠카
恆大地產,헝다그룹
新疆菜,신장 요리
北京师范大学附属实验中学,베이징 사범대학 부속 실험 중학
中国医科大学,중궈 의과대학
国展站,궈잔 역
中韩自由贸易区,한중 자유 무역 협정
中国－西班牙关系,중화인민공화국-스페인 관계
中泰關係,중화인민공화국-태국 관계
亚马逊中国,아마존 차이나
中国国家青年足球队,중국 U-20 축구 국가대표팀
传祺,트럼치
长沙国际金融中心,창사 IFS 타워 T1
新华镇,신화
抗美援朝纪念馆,항미원조기념관
中國南方航空3456號班機空難,중국남방항공 3456편
中华老字号,중화노자호
北京地铁西郊线,베이징 지하철 시자오선
中国人民政治协商会议全国委员会主席,중국인민정치협상회의 전국위원회 주석
中國醃菜,파오차이
武功山,우궁산맥
紇升骨城,오녀산성
上海当代艺术馆,상하이 당대예술관
安顺站,안순 역
安市城,안시성
中国反日情绪,중국의 반일 정서
中國反韓情緒,중국의 반한감정
228国道,국도 제228호선
中国柯尔克孜族,중국 키르기스족
俄罗斯驻哈尔滨总领事馆,주하얼빈 러시아 총영사관
凤凰新村站,펑황신춘 역
南区足球会,남구 FC
南京图书馆,난징 도서관
八仙岭,밧신렝 산맥
紅燒肉,훙사오러우
北京协和医学院,베이징 셰허 의학원
芳村站,팡춘 역
北京地鐵房山線,베이징 지하철 팡산선
粉嶺公立學校,펀링 공립 학교
翻身站,판선 역
中日韩自由贸易协定,한중일 자유무역 협정
中华人民共和国与基里巴斯关系,중화인민공화국-키리바시 관계
成都地鐵2號線,청두 지하철 2호선
宁波大学,닝보대학교
2012年啟豐二號船員登上釣魚島事件,홍콩 활동가 센카쿠 열도 상륙 사건
飞翔公园站,페이샹 공원 역
中沙关系,사우디아라비아-중국 관계
安河桥北站,안허차오 북역
安华桥站,안화치아오 역
解放牌汽车,FAW 지에팡
国务院组成部门,국무원 구성 부처
国家预防腐败局,국가예방부패국
动物园站,동물원역
波兰驻华大使馆,주중국 폴란드 대사관
京通快速路,징퉁 쾌속로
全国围棋个人赛,전국위기개인전
全国足球甲级队A组联赛,중국 축구 갑급 A리그
福州船政局,복주선정국
中澳关系,오스트레일리아-중국 관계
香港小型巴士,마을버스
北京市郊铁路S2线,베이징 교외철도 S2선
八达岭站,바다링역
铁门关市,톄먼관시
阿扎镇,아르자
新世界第一巴士,신세계제일버스
全国人民代表大会常务委员会委员长,전국인민대표대회 상무위원회 위원장
中法关系,중국-프랑스 관계
中国电影集团,차이나 필름
中国自杀率,중화인민공화국의 자살
宝体站,바오안 체육관 역
宝岗大道站,바오강다다오 역
宝华站,바오화 역
包頭站,바오터우역
白石桥南站,바이스차오난 역
白石龙站,바이스룽 역
白石洲站,바이스저오 역
东北师范大学,동북 사범대학
俄羅斯駐華大使館,주중국 러시아 대사관
中国环球电视网,CGTN
晓港站,샤오강 역
科怡路站,커이루 역
巩华城站,궁화청 역
丰台南路站,펑타이난루 역
南法信站,난파신 역
永泰庄站,융타이좡역
良乡大学城站,량상다쉐청 역
良乡大学城西站,량상다쉐청시 역
育新站,위신역
俸伯站,펑보 역
稻田站,다오톈 역
丰台东大街站,펑타이 둥다제 역
篱笆房站,리바팡 역
六里桥东站,류리차오둥 역
丰台科技园站,펑타이 과기원 역
林萃桥站,린추이차오역
佛山沙堤機場,포산 사디 공항
坂田站,반티안 역
石门站,스먼 역
沙河高教园站,사허 고교원 역
良乡大学城北站,량상다쉐청베이 역
西小口站,시샤오커우역
广阳城站,광양청 역
六里桥站,류리차오 역
顺义站,순이 역
风云二号D星,풍운 2호D
愤青,펀칭
分钟寺站,펀중쓰 역
永暑礁,피어리크로스 암초
金融高新區站,금융 고신구 역
中国人民公安大学,중국 인민 공안 대학
白堆子站,바이두이쯔 역
百鸽笼站,바이거룽 역
2013年中国大奖赛,2013년 중화인민공화국 그랑프리
百龙天梯,바이룽 엘리베이터
地安門,지안문
科兴生物,시노백 바이오테크
阜成门站,푸청먼역
复旦大学附属中学国际部,상하이 푸단 국제 학교
磁器口站,츠치커우역
次渠南站,츠추난 역
次渠站,츠추 역
抵制日货,일본 불매 운동
中國足球聯賽系統,중국 축구 리그 시스템
智利华人,중국계 칠레인
土耳其華人,중국계 터키인
青松站,칭숭 역
岗顶站,강딩 역
1881,전 수경총부
白云文化广场站,바이윈 문화광장 역
白云公园站,바이윈 공원 역
白云大道北站,바이윈다다오베이 역
八里桥站,바리차오역
中華人民共和國國家人口和計劃生育委員會,중화인민공화국 국가인구가족계획위원회
蔡意橋站,차이이교 역
南昌大学,난창 대학
江西财经大学,강서재경대학
高碑店站,가오베이뎬역
高米店北站,가오미뎬베이 역
高米店南站,가오미뎬난 역
中国疾病预防控制中心,중국 질병예방통제센터
中国足球协会五人制足球甲级联赛,중국 풋살 리그
夏邛镇,바탕
东直门,둥지먼
拉西镇,바칭 현
马尔康镇,바르캄
豐年路站,펑니안 로 역
福田站,푸티안 역
西团山遗址,서단산
北宫门站,베이궁먼역
常州地铁,창저우 지하철
2013年中国足球超级联赛,중국 슈퍼리그 2013
青岛海利丰足球俱乐部,칭다오 하이리펑
萬宜水庫,하이 아일랜드 저수지
台湾地区环线高速公路,타이완 순환 고속공로
巴仑台镇,발룬타이진
风云二号F星,풍운 2호F
岗厦北站,강샤북 역
崗廈站,강샤 역
新濠天地,시티 오브 드림스
城巴,시티버스
C!ty'super,c!ty'super
北京工人自治联合会,북경공인자치연합회
动物园站,동물원역
京台高速铁路,징타이 고속철도
川口镇,추안쿠
格库铁路,거쿠 철로
中国大陆气候变化,중국의 기후 변화
北海北站,베이하이베이 역
炮台里,배터리 길
狄道之战,적도 전투
東興之戰,동흥 전투
济南战役,지난 전역
黎阳之战,여양 전투
南澳岛之战,난아오 전투
南澎列岛之战,난펑열도 전투
延津之战,연진 전투
廣廈天都城,톈두청
扬州泰州机场,양저우 타이저우 공항
北京地铁S1线,베이징 지하철 S1선
北京市第四中学,베이징 제4중고등학교
北京市第五中学,베이징 제5중고등학교
甘孜镇,가르제
新疆国际大巴扎,신장 국제 대바자르
大賽車博物館,그랑프리 박물관
广安门,광안문
北京人民广播电台,베이징인민방송
北京市郊铁路,베이징시 교외 철도
传媒大学站,촨메이 대학역
图佳铁路,투자 선
上海协和国际外籍人员子女学校,상하이 콩코디아 국제학교
鹰联航空,유나이티드 이글 항공
北京现代汽车,베이징 현대자동차
盛大网络,샨다
頌富站,숭푸 역
鍾屋村站,중우췐 역
桂城站,귀청 역
兩文三語,양문삼어
生物医药基地站,생물의학기지 역
中国人民解放军空降兵军,공강병군
草卡镇,카오카
路氹金光大道,코타이 스트립
原创动力,원창동력 문화전파유한공사
崔各庄站,추이거좡 역
翠竹站,취주 역
江海关,강해관
元朗足球會,위안랑 FC
大连绿地中心,다롄 그린랜드 센터
大连体育中心,다롄 스포츠 센터 스타디움
大剧院站,극장 역
妇儿中心站,부녀와 아동 센터 역
北京体育大学,베이징 체육대학
四川外国语大学,쓰촨외국어대학
东南大学,둥난대학
首都师范大学,수도사범대학
邢台大地震,싱타이 지진
聖約翰大學,상하이 세인트 존스 대학
北新桥站,베이신차오역
北苑路北站,베이위안루베이역
英國駐香港總領事館,주홍콩 영국 총영사관
美國駐香港總領事館,주 홍콩 미국 총영사관
措勤镇,코켄 타운
大葆台站,다바오타이 역
大连航空,다롄 항공
鼓楼大街站,구러우다제역
郭公庄站,궈궁좡 역
国贸站,궈마오 역
幅巾,복건
莫洛镇,볼로
延安大学,옌안 대학
油麻地,유마디
麻辣,마라
北京航天飞行控制中心,베이징 항공우주비행통제소
光熙門站,광시먼역
公益西桥站,궁이시차오역
公园前站,궁위안쳰 역
公主坟站,궁주펀역
华南师范大学,화남 사범대학
东夏,대진국
大芬站,다펑 역
德庆镇,데켄
携程集团,씨트립
比如镇,비루 타운
北京及瀋陽的明清皇家宮殿,베이징과 선양의 명과 청 시대 황궁
万达集团,완다 그룹
褡裢坡站,다롄포역
长图铁路,창투 선
广州东站,광저오동 역
广州火车站,광저우 역 (지하철)
香港巴士,홍콩의 버스 교통
訊號山,흑두산
世界大观,세계대관
沧浪亭,창랑정
2004年亚足联亚洲杯决赛,2004년 AFC 아시안컵 결승전
普兰镇,부랑 타운
布心站,부신 역
汉溪长隆站,한시창룽 역
欢乐干线,환락간선
果园站,궈위안 역
固戍站,구쉬 역
海底捞,하이디라오
海傍站,하이방 역
福建师范大学,푸젠 사범대학
丹竹頭站,단주터오 역
邯郸学院,한단 학원
坑尾村站,컹웨이췐 역
大新站,다신 역
北京地铁大兴线,베이징 지하철 다싱선
国子监,국자감
大沙地站,다사디 역
大沙東站,다사둥 역
大石站,다스 역
大屯路东站,다툰루둥역
大望路站,다왕루역
中国中央电视台戏曲频道,CCTV-11
中国中央电视台少儿频道,CCTV-14
中国中央电视台音乐频道,CCTV-15
长龙航空,룽에어
官洲站,관저오 역
管庄站,관좡역
古城站,구청역
后海灣,하우호이만
登良站,덩량 역
灯市口站,덩시커우 역
京東商城,징동닷컴
2007年亞洲電影大獎,제1회 아시안 필름 어워즈
佤語,와어
亞洲運動會中國代表團,아시안 게임 중국 선수단
托林镇,톨링
东涌站,둥충 역
寶路華足球隊,부로바 SA
高等法院,홍콩 고등법원
2007年世界夏季特殊奥林匹克运动会,2007년 하계 스페셜 올림픽
哈尔滨师范大学,하얼빈 사범대학
哈尔滨西站,하얼빈 서역
哈尔滨理工大学,하얼빈 이공대학
海港城,하버시티
往灣洲,웡완자우섬
DTMB,DTMB
东角头站,둥쟈오터오 역
海淀黄庄站,하이뎬황좡역
东山口站,둥산커오 역
东四十条站,둥쓰스탸오역
东四站,둥쓰역
上環,성완
财经大学站,재경 대학역
東圃站,둥푸 역
东山区 (广州市),둥산 구 (광저우 시)
河北广播电视台,허베이 텔레비전
河北工业大学,허베이 공업대학
河东朝鲜族乡,허둥 조선족 향
大鐘寺站,다중쓰역
阿拉山口市,아라산커우시
2014年男子冰壶世锦赛,2014년 세계 남자 컬링 선수권 대회
2019年世界盃籃球賽,2019년 FIBA 농구 월드컵
2008年亞洲電影大獎,제2회 아시안 필름 어워즈
杭州师范大学,항주사범대학
杭州奥体博览城,항저우 올림픽 스포츠 엑스포 센터
杭州南站,항저오남 역
新疆天山雪豹足球俱乐部,후베이 화카이얼
贵州足球俱乐部,구이저우 즈청
低涌站,디충 역
东风柳州汽车有限公司,둥펑 류저우 자동차
东风本田汽车有限公司,둥펑 혼다
曹操攻徐州之战,서주대학살
草埔站,차오푸 역
和平门站,허핑먼역
扶余语,부여어
舟山群岛,저우산 군도
黑龙江广播电视台,헤이룽장 텔레비전
中日友好医院,중일 우호 의원
香港死刑,홍콩의 사형제
澳門死刑制度,마카오의 사형제
东嘎街道,동가르
沈阳东关教会,심양동관교회
816地下核工厂,816 프로젝트
亚洲公路42号线,아시안 하이웨이 42호선
翟服,적의
衛藏方言,중앙 티베트어
长春大学,장춘대학
长春桥站,창춘차오 역
长椿街站,창춘제역
昌崗站,창강 역
長惠國際大橋,장혜국제대교
中朝鸭绿江界河公路大桥,신압록강대교
圖門國境大橋,도문국경대교
圖們江大橋,두만강대교
鎬京,하오징
2057年7月1日日食,2057년 7월 1일 일식
香港上海大酒店,홍콩-상하이호텔 그룹
紅嶺站,훙링 역
中南大学,중난 대학
豆瓣,더우반
上海明天广场JW万豪酒店,JW 메리어트 호텔 상하이 (투머로우 스퀘어)
菜市口站,차이스커우역
五菱汽車,울링모터스
倡棋杯,창기배
大陈岛,다천 군도
中国人民解放军第82集团军,제82집단군
中国人民解放军陆军第六十六军,제66집단군
第六届亚洲电影大奖,제6회 아시안 필름 어워즈
第七届亚洲电影大奖,제7회 아시안 필름 어워즈
尼木乡,니예모 타운
衡阳南岳机场,헝양남악공항
天朝,천조
屯馬綫,튄마선
台灣東正教,대만 정교회
永安集團大廈,윙 온 하우스
建安站,지안안 역
荷坳站,허아오 역
香港公營醫療,홍콩의 보건
海月站,하이웨 역
海珠广场站,하이주 광장 역
南京朝天宫,조천궁
北京地铁昌平线,베이징 지하철 창핑선
香港文化博物館,홍콩 문화박물관
天门山 (张家界),톈먼산
青岛足球俱乐部,칭다오 FC
北京大学东门站,베이징 대학 동문역
香港醫學博物館,홍콩의학박물관
夢想體育會,징펑 FC
西二旗站,시얼치역
常营站,창잉 역
长阳站,창양 역
朝安站,차오안 역
甘丹曲果镇,린주헌
十万大山,십만대산
中国人民解放军军事法院,중국인민해방군 군사법원
康马镇,카망가르 타운
何福堂站,허푸탕 역
海下,호이하
荷李活道,할리우드 로드
車陂站,처베이 역
车公庙站,처궁묘 역
车公庄站,처공좡 역
长龙站,창룽 역
长沙学院,창사 학원
长寿路站,창서오루 역
愛丁堡廣場,에든버러 광장
黄尾屿,구바섬
南小島,미나미코섬
涡扇-13,구이저우 WS-13
张家口市察北管理区,차베이 관리구
张家口经济开发区,장자커우시 첨단 기술 산업 개발구
张家口市塞北管理区,싸이베이 관리구
伪满建国忠灵庙旧址,건국충영묘
镇江经济技术开发区,전장 신구
2010年亞洲運動會壘球比賽,2010년 아시안 게임 소프트볼
那国,나
燕下都,하도
2010年亞洲運動會高爾夫球比賽,2010년 아시안 게임 골프
梅集铁路,메이지 선
上海美国外籍人员子女学校,상하이 미국학교
青岛国际啤酒节,칭다오 국제 맥주 축제
武林传奇,레전드 파이팅 챔피언십
丹东站,단둥역
香港超級聯賽,홍콩 프리미어리그
昂船洲,스톤커터스섬
中印边界问题,인도-중국 국경 분쟁
高新园站,하이테크 파크 역
大学城北站,대학성북 역
大学城南站,대학성남 역
海康威视,Hikvision
孔府,공부
琼结镇,키옹지에
帕那镇,파나
亞洲公路5號線,아시안 하이웨이 5호선
多玛乡,두오마
桑日镇,상라이
大長和,대장화
红树湾站,훙수완 역
深圳地铁5号线,선전 지하철 5호선
华新站,화신 역
七里庄站,치리좡 역
香港韓國國際學校,홍콩한국국제학교
喀什大学,카스 대학
康巴什区,캉바스구
長沙灣,청사완
胡慶餘堂,호경여당
花地湾站,화디완 역
中国空间技术研究院,중국우주기술연구원
广州塔站,광저우 타워 역
赤岗站,츠강 역
阿含桐山杯中日冠军对抗赛,중일 아함동산배
中国工程物理研究院,중국공정물리연구원
中国运载火箭技术研究院,중국운재화전기술연구원
喀喇沁部,하르친
啟德站,카이탁 역
啟德隧道,카이탁 터널
二道白河镇,얼다오바이허 진
九龍公園游泳池,주룽 공원 수영장
三合满族朝鲜族乡,싼허 만주족 조선족 향
北小島,기타코섬
赤尾嶼,다이쇼섬
2010年钓鱼岛问题相关示威活动,2010년 센카쿠 열도 항의 시위
中国天主教教区,중국의 로마 가톨릭 교구 목록
飛瀨,도비세
沖北岩,오키노키타 암
建生站,지안성 역
螺蛳粉,뤄쓰펀
交椅洲,가우이자우섬
奇華餅家,기화병가
麒麟站,치린 역
黄阁汽车城站,황거 자동차 타운 역
黄阁站,황거 역
黄海客车,황해버스
黄村火车站,황춘훠처 역
黃村站,황춘 역
新宫站,신궁 역
旧宫站,주궁 역
团结湖站,퇀제후 역
长寿路站,창서우루역
双井站,솽징 역
中国残疾人艺术团,중국장애인예술단
黄沙站,황사 역
黄土店站,황투뎬역
卡嘎镇 (昂仁县),카가르
蒙古牛肉,몽골리안 비프
吉林人民广播电台,지린인민방송
南海郡,남해군
南浦站,난푸역
上海交通大学医学院,상하이 자오퉁 대학 의학원
美麗華廣場,미라마 쇼핑센터
香港時間,홍콩 표준시
香港旅遊發展局,홍콩 관광진흥청
回龙观东大街站,후이룽관둥다제역
回龍觀站,후이룽관역
惠州奥林匹克体育场,후이저우 올림픽 스타디움
呼家楼站,후자러우역
2010年亞洲運動會划船比賽,2010년 아시안 게임 조정
豫菜,허난 요리
2010年大连新港溢油事故,다롄 항 기름 유출 사고
大凌河,다링허
小凌河,샤오링허
陈家祠站,천쟈츠 역
三山五嶽,삼산오악
七星景区,칠성공원
丁村遗址,딩춘 문화
鳴琴站,밍친 역
昆阳街道,곤양
中国铁路客车,중국 철도 객차
中国农业科学院,중국농업과학원
上海国际会议中心,상하이 국제회의센터
上海南站,상하이 남역 (1908년)
海兰江体育场,해란강체육장
北京地铁9号线,베이징 지하철 9호선
黄埔体育场,황푸 스포츠 센터
重庆轨道交通6号线,충칭 궤도교통 6호선
坑口站,컹커오 역
堅尼地城站,케네디타운역
科韻路站,커윈루 역
九龍公眾碼頭,가우룽 공중 부두
美利炮台,머리 포대
中华人民共和国国家卫生和计划生育委员会,중화인민공화국 국가위생가족계획위원회
翡翠明珠廣場,펄시티 맨션
三元桥,산위안 교
清源路站,칭위안루 역
圆明园站,위안밍위안역
魏公村站,웨이궁춘역
人民大學站,인민대학역
深圳地铁7号线,선전 지하철 7호선
塘朗站,탕랑 역
临海站,린하이 역
洪浪北站,훙랑북 역
兴东站,싱둥 역
万源街站,완위안제 역
苏州街站,쑤저우제 역
黃埔大道站,황푸다다오 역
扈倫,훌룬 구룬
知春里站,즈춘리 역
天宫院站,톈궁위안 역
肖村站,샤오춘 역
朱辛庄站,주신좡역
枣园站,자오위안 역
苏庄站,수좡 역
亦庄桥站,이좡차오 역
花城大道站,화청다다오 역
后沙峪站,허우사유 역
同济南路站,퉁지난루 역
香蜜站,샹미 역
大運站,유니버시아드 역
南聯站,난롄 역
塘坑站,탕컹 역
侨城北站,챠오청북 역
赤湾站,츠완 역
海兰江,하이란강
西苑站,시위안역
荣京东街站,룽징둥제 역
西土城站,시투청 역
中关村站,중관춘역
亦庄文化园站,이좡 문화원 역
西红门站,시훙먼 역
南邵站,난사오 역
太阳宫站,타이양궁 역
国家图书馆站,국가도서관역
亮马桥站,량마차오 역
海心沙站,하이신사 역
马泉营站,마촨잉 역
荣昌东街站,룽창둥제 역
花梨坎站,화리칸 역
沙河站,사허 역
沈丹铁路,선단 선
砵甸乍山,포팅어산
公共房屋,공영 주택
良景站,량징 역
拉日铁路,라르 철로
民工,농민공
南木林镇,나미링
大学城站,대학 타운 역
民治站,민즈 역
五和站,우허 역
深圳地铁9号线,선전 지하철 9호선
杨美站,양메이 역 (선전)
太安站,타이안 역
留仙洞站,례오시안둥 역
南京艺术学院,난징 예술대학
上海粗炒,상하이 볶음면
南通大学,난퉁 대학
田貝站,티안베이 역
西麗站,시리 역
上水徑站,상쉬징 역
木棉灣站,무몐완 역
吉祥站,지샹 역
長嶺陂站,창링피 역
下水径站,샤쉬징 역
蛇口港站,서커오항 역
莲花村站,롄화춘 역
中华人民共和国立法法,중화인민공화국 입법법
終審法院大樓,종심법원대루
甲申十同年圖,갑신십동년도
上饶站,상라오 역
新安站,신안 역
上塘站,상탕 역
后海站,허오하이 역
西乡站,시샹 역
北京地铁亦庄线,베이징 지하철 이좡선
永泰站,융타이 역
沙家浜,사가병
中國共產黨陝西省委員會,중국공산당 산시성위원회
上海海洋大學,상해해양대학교
香巴拉镇,샴발라
山景（北）站,산징북 역
山景（南）站,산징남 역
葡汁,포우잡
上海市第六人民医院,상하이 제6 인민병원
上海戏剧学院,상하이 희극학원
港鐵東鐵綫中期翻新列車,홍콩 지하철 메트로 캠멜 전동차
沈阳地铁1号线,선양 지하철 1호선
小红门站,샤오훙먼 역
酹粉,라이판
藍地站,란디 역
湖南农业大学,후난 농업대학
橫崗站,헝강 역
湖南卫视,후난위성텔레비전
海上世界站,씨월드 역
蓮花北站,롄화북 역
上梅林站,상메이린 역
六約站,례오위에 역
红山站,훙산 역
鯉魚門站,리위먼 역
利東站,레이둥역
湖貝站,후베이 역
后瑞站,허오뤼 역
通新岭站,퉁신링 역
民樂站,민러 역
桃园站,타오위엔 역
龙胜站,룽성 역
西南棋王赛,서남왕배
