ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
sílvia pérez cruz,シルビア・ペレス・クルス,shirubia・peresu・kurusu
jokin aperribay,ヨキン・アペリバイ,yokin・aperibai
manuel mur oti,マヌエル・ムル・オティ,manueru・muru・oti
juan manuel de la peña bonifaz,フアン・マヌエル・デ・ラ・ペーニャ・ボニファス,fuan・manueru・de・ra・pēnya・bonifasu
josé lémery,ホセ・レメリー,hose・remerī
tomás gonzález morago,トマス・ゴンサレス・モラゴ,tomasu・gonsaresu・morago
luis maría ansón,ルイス・マリア・アンソン,ruisu・maria・anson
jordi garcía candau,ジョルディ・ガルシーア・カンドウ,jorudi・garushīa・kandou
marisol membrillo,マリソル・メンブリーリョ,marisoru・menburīryo
mario albar,マリオ・アルバル,mario・arubaru
manuela de madre,マヌエラ・ダ・マドレ,manuera・da・madore
mariano de cavia,マリアーノ・デ・カヴィア,mariāno・de・kavia
marta angelat,マータ・アンジェラット,māta・anjeratto
vicente ballester martínez,ビセンテ・バリェステー・マルティネス,bisente・bariェsutē・marutinesu
txumari alfaro,チュマリ・アルファロ,chumari・arufaro
uztapide,ウスタピデ,usutapide
enrique ponte,エンリケ・ポンテ,enrike・ponte
clemente fernández,クレメンテ・フェルナンデス,kuremente・ferunandesu
rafael garcía serrano,ラファエル・ガルシア・セラーノ,rafaeru・garushia・serāno
josé martín recuerda,ホセ・マーティン・レカーダ,hose・mātin・rekāda
matías maestro,マティアス・マエストロ,matiasu・maesutoro
josé galofré y coma,ホセ・ガロフレ・イ・コマ,hose・garofure・i・koma
martín de la ascensión,マルチノ・デ・ラ・アセンシオン,maruchino・de・ra・asenshion
josep planarbona,ジョセップ・プラナルボナ,joseppu・puranarubona
vicente llorens poy,ビセンテ・リョレンス・ポイ,bisente・ryorensu・poi
miquel llompart hernández,ミケル・リュンパルト・エルナンデス,mikeru・ryunparuto・erunandesu
josep maria tamburini,ジョゼップ・マリア・タンブリーニ,jozeppu・maria・tanburīni
esaú garcía álvarez,エサウ・ガルシア・アルバレス,esau・garushia・arubaresu
domingo del camino,ドミンゴ・デル・カミーノ,domingo・deru・kamīno
xan das bolas,ザン・ダス・ボーラ,zan・dasu・bōra
pedro alonso,ペドロ・アロンソ,pedoro・aronso
monti castiñeiras,モンティ・カスティニェラス,monti・kasutiniェrasu
xavier corberó,ハビエル・コルベロ,habieru・korubero
maría teresa ocaña,マリア・テレサ・オカーニャ,maria・teresa・okānya
mateo de prado,マテオ・デ・プラド,mateo・de・purado
xavier barral i altet,グザヴィエ・バラル・イ・アルテ,guzavie・bararu・i・arute
miguel acha,ミゲル・アチャ,migeru・acha
ramón ruiz amado,ラモン・ルイス・アマード,ramon・ruisu・amādo
ximo rovira,シモ・ロビラ,shimo・robira
xavier villaverde,ハビエル・ビリャベルデ,habieru・biryaberude
pere macias,ペラ・マシーアス,pera・mashīasu
francisco bens,フランシスコ・ベンズ,furanshisuko・benzu
pepa rus,ペパ・ルス,pepa・rusu
álex rovira,アレックス・ロビラ,arekkusu・robira
dewis navarro,デウィス・ナバーロ,dewisu・nabāro
mercè arànega,メルセ・アラネガ,meruse・aranega
meritxell batet,メリチェル・バテット,mericheru・batetto
anna maria dalí,アナ・マリア・ダリ,ana・maria・dari
pedro valentín mora,ペレ・バレンティ・モラ,pere・barenti・mora
miguel peidro,ミゲル・ペイドロ,migeru・peidoro
tomas marin,トーマス・マリン,tōmasu・marin
joan salvans,ジョアン・サルバンス,joan・sarubansu
amado granell,アマド・グラネル,amado・guraneru
xoán piñeiro nogueira,ショアン・ピニェイロ・ノゲイラ,shoan・piniェiro・nogeira
miguel rojo,ミゲル・ロホ,migeru・roho
ramón padró y pijoan,ラモン・パドロ・イ・ピホアン,ramon・padoro・i・pihoan
pierre oriola,ピエーレ・ウリオラ,piēre・uriora
josé llompart,ホセ・ヨンパルト,hose・yonparuto
laura fernández,ラウラ・フェルナンデス,raura・ferunandesu
raúl guerra garrido,ラウル・ゲーラ・ガリード,rauru・gēra・garīdo
roberto jiménez alli,ロベルト・ヒメネス・アジ,roberuto・himenesu・aji
agustín gonzález acilu,アグスティン・ゴンサーレス・アシル,agusutin・gonsāresu・ashiru
sergio portela,セルヒオ・ポルテラ,seruhio・porutera
rober bodegas,ロバート・ボデガ,robāto・bodega
la húngara,ラ・ウンガラ,ra・ungara
sílvia bel,シルビア・ベル,shirubia・beru
ángel mariscal,アンヘル・マリスカル,anheru・marisukaru
antonio sanjurjo badía,アントニオ・サンフルホ・バディア,antonio・sanfuruho・badia
eduardo madina,エドゥアルド・マディーナ,eduarudo・madīna
eduardo ortega y gasset,エドゥアルド・オルテガ・イ・ガセット,eduarudo・orutega・i・gasetto
elena irureta,エレナ・イルレタ,erena・irureta
xabier silveira,シャビエル・シルベイラ,shabieru・shirubeira
edu soto,エドゥ・ソト,edu・soto
enric majó,エンリク・マージョ,enriku・mājo
àngel casas,アンヘル・カサス,anheru・kasasu
eugènia serra,ウージェニア・セッラ,ūjenia・serra
francesc colomer,フランセスク・コロメール,furansesuku・koromēru
xavier garcía albiol,シャビエル・ガルシーア・アルビオル,shabieru・garushīa・arubioru
francesc orella,フランセスク・オレーリャ,furansesuku・orērya
jesusa vega,ヘスサ・ベガ,hesusa・bega
juli mira,ジュリ・ミラ,juri・mira
joxemari iturralde,ジョセマリ・イトゥラルデ,josemari・iturarude
francesc homs molist,フランセスク・オムス・モリスト,furansesuku・omusu・morisuto
julián arcas sánchez,フリアン・アルカス・サンチェス,furian・arukasu・sanchesu
manuela mena,マヌエラ・メナ,manuera・mena
koldo izagirre,コルド・イサギレ,korudo・isagire
vicente gil,ビセンテ・ヒル,bisente・hiru
domingo de jesús maría,ドミンゴ・デ・ヘスス・マリア,domingo・de・hesusu・maria
lina badimón maestro,リナ・バディモン・マエストロ,rina・badimon・maesutoro
laura vilagrà i pons,ラウラ・ヴィラグラ・イ・ポンス,raura・viragura・i・ponsu
joaquín pi y margall,ジョアキン・ピ・イ・マルガイ,joakin・pi・i・marugai
jon castañares,ヨン・カスタニャーレス,yon・kasutanyāresu
manuel amechazurra,マヌエル・アメチャスーラ,manueru・amechasūra
jordi xuclà,ジョルディ・シュクラ,jorudi・shukura
consuelo,コンスエロ,konsuero
paul fuster,パウル・フステル,pauru・fusuteru
dolors lamarca i morell,ドロース・ラマルカ・イ・モレル,dorōsu・ramaruka・i・moreru
isabel de requesens y enríquez de velasco,イサベル・デ・レケセンス・イ・エンリケス・デ・ベラスコ,isaberu・de・rekesensu・i・enrikesu・de・berasuko
diana gómez,ディアナ・ゴメス,diana・gomesu
jaume collboni,ジャウマ・コルボニ,jauma・koruboni
martí genís i aguilar,マルティ・ガニス・イ・アギラール,maruti・ganisu・i・agirāru
jaume massó i torrents,ジャウマ・マッソー・イ・トレンツ,jauma・massō・i・torentsu
matías alonso ruiz,マティアス・アロンソ・ルイス,matiasu・aronso・ruisu
elías torres,エリアス・トーレス,eriasu・tōresu
elisa lledó,エリサ・レド,erisa・redo
josé nin y tudó,ジュゼップ・ニン・イ・トゥドー,juzeppu・nin・i・tudō
jesús sánchez japón,ヘスス・サンチェス・ハポン,hesusu・sanchesu・hapon
carlos barbero,カルロス・バルベロ,karurosu・barubero
manuel de castro,マヌエル・デ・カストロ,manueru・de・kasutoro
pedro fernández,ペドロ・フェルナンデス,pedoro・ferunandesu
pedro inocencio bejarano,ペドロ・イノセンシオ・ベハラーノ,pedoro・inosenshio・beharāno
josé manuel pagán,ホセ・マヌエル・パガン,hose・manueru・pagan
alaia martin,アライア・マルティン,araia・marutin
nicolás ledesma,ニコラス・レデスマ,nikorasu・redesuma
antero gonzález de audicana,アンテロ・ゴンサレス・デ・アウディカナ,antero・gonsaresu・de・audikana
eduardo parrado,エテゥアルド・パラド,eteゥarudo・parado
sergio vilasanjuán,セルヒオ・ビラサンファン,seruhio・birasanfan
anjel alkain,エンジェル・アルケイン,enjeru・arukein
elena colmeiro,エレナ・コルメイロ,erena・korumeiro
aritz bagües,アリッツ・バグエス,arittsu・baguesu
josé ramón argoitia,ホセ・ラモン・アルゴイティア,hose・ramon・arugoitia
enrique campo sobrino,エンリケ・カンポ・ソブリノ,enrike・kanpo・soburino
antton olariaga,アントン・オラリアガ,anton・orariaga
xabier erkizia,シャビエル・エルキシア,shabieru・erukishia
joseba usabiaga,ホセバ・ウサビアガ,hoseba・usabiaga
tomas san miguel,トマス・サン・ミゲル,tomasu・san・migeru
bárbara oteiza,バルバラ・ゴンサレス,barubara・gonsaresu
antón faílde gago,アントン・ファイルデ・ガゴ,anton・fairude・gago
fernanda del nido,フェルナンダ・デル・ニド,ferunanda・deru・nido
victoriano iraola,ビクトリアーノ・イラオラ,bikutoriāno・iraora
xalbador garmendia,サルバドール・ガルメンディア,sarubadōru・garumendia
fernando cortés bugía,フェルナンド・コルテス・ブヒア,ferunando・korutesu・buhia
zorion egileor,ソリオン・エギレオル,sorion・egireoru
xebe diez,ジーベ・ディエス,jībe・diesu
joxantonio ormazabal,ホスアントニオ・オルマサバル,hosuantonio・orumasabaru
juan bautista berasategi,フアン・バウティスタ・ベラサテギ,fuan・bautisuta・berasategi
joxean muñoz,ジョクサン・ムニョス,jokusan・munyosu
francisco esteban aedo,フランシスコ・エステバン・アエド,furanshisuko・esuteban・aedo
narf,ナーフ,nāfu
estitxu fernandez,エスティトス・フェルナンデス,esutitosu・ferunandesu
karlos linazasoro,カルロス・リナザソーロ,karurosu・rinazasōro
enrique eguren,エンリケ・エグレン,enrike・eguren
gonzalo brañas fernández,ゴンサーロ・ブラニャス・フェルナンデス,gonsāro・buranyasu・ferunandesu
kiko de la rica,キコ・デ・ラ・リカ,kiko・de・ra・rika
àngels poch,アンジェルス・ポック,anjerusu・pokku
fermín herrán,フェルミン・エラン,ferumin・eran
acisclo manzano,アシスクロ・マンサノ,ashisukuro・mansano
felix arkarazo,フェリックス・アルカラソ,ferikkusu・arukaraso
agustín agra,アグスティン・アグラ,agusutin・agura
manuel coia,マヌエル・コイア,manueru・koia
alfonso vilar lamelas,アルフォンソ・ビラル・ラメラス,arufonso・biraru・ramerasu
alfonso zarauza,アルフォンソ・ザラウッサ,arufonso・zaraussa
alfonso agra,アルフォンソ・アグラ,arufonso・agura
jenaro de la fuente álvarez,ヘナロ・デ・ラ・フエンテ・アルバレス,henaro・de・ra・fuente・arubaresu
jesús aguilar rodríguez,ヘスス・アギラール・ロドリゲス,hesusu・agirāru・rodorigesu
gonzalo herralde,ゴンザロ・ヘラルデ,gonzaro・herarude
melchor oyanguren de santa inés,メルチョル・オヤングレン・デ・サンタ・イネス,meruchoru・oyanguren・de・santa・inesu
gregorio ibarretxe,グレゴリオ・イバレチェ,guregorio・ibareche
miguel de aozaraza,ミゲル・デ・アオサラサ,migeru・de・aosarasa
manuel garcía de buciños,マヌエル・ガルシア・デ・ブシニョス,manueru・garushia・de・bushinyosu
mikel bizkarra,ミケル・ビスカッラ,mikeru・bisukarra
mikel etxarri,ミケル・エチャリ,mikeru・echari
manuel reimóndez portela,マヌエル・レイモンデス・ポルテラ,manueru・reimondesu・porutera
jorge coira,ホルヘ・コイラ,horuhe・koira
josé antonio souto paz,ホセ・アントーニオ・ソウト・パス,hose・antōnio・souto・pasu
josé antonio tejedor,ホセ・アントニオ・テヘドール,hose・antonio・tehedōru
inaxio perurena,イナクシオ・ペルレナ,inakushio・perurena
miren aranburu,ミレン・アランブル,miren・aranburu
itziar aizpuru,イツィアル・アイスプル,itsiaru・aisupuru
nagore aranburu,ナゴレ・アランブル,nagore・aranburu
ixiar rozas elizalde,イシアル・ロザス・エリザルデ,ishiaru・rozasu・erizarude
maxín picallo,マシン・ピカジョ,mashin・pikajo
antúnez pousa,アントゥネス・ポウサ,antunesu・pousa
anxos sumai,アンショス・スマイ,anshosu・sumai
anxo pintos,アンショ・ピントス,ansho・pintosu
arturo baltar,アルトゥーロ・バルタル,arutūro・barutaru
augusto assía,アウグスト・アッシア,augusuto・asshia
patxi santamaria,パチ・サンタマリア,pachi・santamaria
iñigo aranbarri,イニゴ・アランバリ,inigo・aranbari
ramón agirre,ラモン・アギーレ,ramon・agīre
xosé manuel pazos,ショセ・マヌエル・パソス,shose・manueru・pasosu
xoán davila,ショアン・ダビラ,shoan・dabira
pepo suevos,ペポ・スエボス,pepo・suebosu
césar lombera,セサル・ロンベラ,sesaru・ronbera
leopoldo rubido ramonde,レオポルド・ルビド・ラモンド,reoporudo・rubido・ramondo
xuxo vázquez,シュショ・バスケス,shusho・basukesu
chema gagino,ケマ・ガギノ,kema・gagino
daniel barrio,ダニ・バリオ,dani・bario
sabela arán,サベラ・アラン,sabera・aran
salvador del río,サルバドール・デル・リオ,sarubadōru・deru・rio
teresa añón,テレサ・アニョン,teresa・anyon
david mascort subiranas,デビッド・マスコート・スビラナス,debiddo・masukōto・subiranasu
miriam gonzález durántez,ミリアム・ゴンザレス・デュランテス,miriamu・gonzaresu・dyurantesu
urbano lugrís vadillo,ウルバノ・ルグリス・バディジョ,urubano・rugurisu・badijo
correa corredoira,コレア・コレドイラ,korea・koredoira
xaquín chaves,シャキン・チャベス,shakin・chabesu
xavier vence,シャビエル・ベンセ,shabieru・bense
xaime quesada blanco,シャイメ・ケサダ・ブランコ,shaime・kesada・buranko
vicent franch i ferrer,ビセント・フランシ・イ・フェレール,bisento・furanshi・i・ferēru
fernando pacheco,フェルナンド・パチェコ,ferunando・pacheko
lorenzo manuel gonzalez prado,ロレンソ・マヌエル・ゴンザレス・プラド,rorenso・manueru・gonzaresu・purado
fernando franco gonzález,フェルナンド・フランコ・ゴンザレス,ferunando・furanko・gonzaresu
xosé cid menor,ショセ・シッド・メノル,shose・shiddo・menoru
jaume casals,ジャウマ・カザルス,jauma・kazarusu
carlos pigem,カルロス・ピジェム,karurosu・pijemu
eduardo tena torres,エドゥアルド・テナ・トーレス,eduarudo・tena・tōresu
juan pulido gil,フアン・プリド・ヒル,fuan・purido・hiru
antonio romero jaroso,アントニオ・ロメロ・ハロソ,antonio・romero・haroso
carmen pinto orellana,カルメン・ピント・オレヤーナ,karumen・pinto・oreyāna
lorenzo brown,ロレンゾ・ブラウン,rorenzo・buraun
inmaculada delgado nuñez,インマクラダ・デルガド・ヌニェス,inmakurada・derugado・nuniェsu
jesús regodón cercas,ヘスス・レゴドン・セルカス,hesusu・regodon・serukasu
antonio mesa gutiérrez,アントニオ・メサ・グティエレス,antonio・mesa・gutieresu
maría antonia puertas moreno,マリア・アントニア・プエルタス・モレノ,maria・antonia・puerutasu・moreno
enrique enríquez de quiñones,エンリケ・エンリケス・デ・キニョーネス,enrike・enrikesu・de・kinyōnesu
david baños abril,ダビド・バニョス・アブリル,dabido・banyosu・aburiru
piedad rodriguez castrejon,ピエダッド・ロドリゲス・カストレホン,piedaddo・rodorigesu・kasutorehon
luis sánchez corchero,ルイス・サンチェス・コルチェロ,ruisu・sanchesu・koruchero
carlos carrizosa torres,カルロス・カリソーサ・トーレス,karurosu・karisōsa・tōresu
juan martínez munuera,フアン・マルティネス・ムヌエラ,fuan・marutinesu・munuera
raquel saenz blanco,ラケル・サエンス・ブランコ,rakeru・saensu・buranko
maría martín,マリア・マルティン,maria・marutin
pascual enrile y alcedo,パスクワル・エンリレ・イ・アルセド,pasukuwaru・enrire・i・arusedo
pablo iglesias,パブロ・イグレシアス,paburo・igureshiasu
eugenio otsoa ugalde,エウヘニオ・オツォア・ウハルデ,euhenio・otsoa・uharude
sergi mingote,セルギ・ミンゴテ,serugi・mingote
francisco mestre llovera,フランシスコ・メストレ・リョベラ,furanshisuko・mesutore・ryobera
manuel peiro cobacho,マヌエル・ペイロ・コバチョ,manueru・peiro・kobacho
basilia pareja ruiz,バシリア・パレハ・ルイス,bashiria・pareha・ruisu
ángel fernández garcía,アンヘル・フェルナンデス・ガルシア,anheru・ferunandesu・garushia
mariano parra requejo,マリアーノ・パラ・レケホ,mariāno・para・rekeho
mariano martínez hoyos,マリアーノ・マルティネス・オヨス,mariāno・marutinesu・oyosu
sarai gascón,サライ・ガスコン,sarai・gasukon
francisco pérez de los cobos,フランシスコ・ペレス・デ・ロス・コボス,furanshisuko・peresu・de・rosu・kobosu
francisco de paula fernández,フランシスコ・デ・ポーラ・フェルナンデス,furanshisuko・de・pōra・ferunandesu
manuel alviach,マヌエル・アルバ,manueru・aruba
víctor del árbol,ビクトル・デル・アルボル,bikutoru・deru・aruboru
jorge muriel jiménez,ホルヘ・ムリエル・ヒメネス,horuhe・murieru・himenesu
enrique gonzález casín,エンリケ・ゴンサレス・カシン,enrike・gonsaresu・kashin
joan campins,ジョアン・カンピンス,joan・kanpinsu
jessica rivero,ジェシカ・リベロ,jeshika・ribero
manuel jiménez barrios,マヌエル・ヒメネス・バリオス,manueru・himenesu・bariosu
sara moreno,サラ・モレノ,sara・moreno
josé arregui yparaguirre,ヨセフ・アレギ・イパラギレ,yosefu・aregi・iparagire
keita baldé diao,ケイタ・バルデ・ディアオ,keita・barude・diao
santiago irigoyen,サンティアゴ・イリゴージェン,santiago・irigōjen
ana maría carrón garcía,アナ・マリア・カロン・ガルシア,ana・maria・karon・garushia
alejandro sánchez palomero,アレハンドロ・サンチェス・パロメロ,arehandoro・sanchesu・paromero
hugo álvarez,ウーゴ・アルバレス,ūgo・arubaresu
josep maria cullell,ジョセップ・マリア・カレル,joseppu・maria・kareru
raúl albentosa,ラウール・アルベントーサ,raūru・arubentōsa
montserrat alcoverro,モントセラト・アルカベロ,montoserato・arukabero
fernando vérgez alzaga,フェルナンド・ベリゲス・アルサガ,ferunando・berigesu・arusaga
alfonso abelenda,アルフォンソ・アベレンダ,arufonso・aberenda
eduardo barinaga,エドゥアルド・バリナガ,eduarudo・barinaga
manuel romerales quintero,マヌエル・ロメラレス・キンテロ,manueru・romeraresu・kintero
jose emilio bertomeu rio,ホセ・エミリオ・ベルトメウ・リオ,hose・emirio・berutomeu・rio
pilar fernández de la mora,ピラール・フェルナンデス・デ・ラ・モーラ,pirāru・ferunandesu・de・ra・mōra
josé antonio martínez lapeña,ホセ・アントニオ・マルティネス・ラペーニャ,hose・antonio・marutinesu・rapēnya
josé maría gil tamayo,ホセ・マリア・ヒル・タマヨ,hose・maria・hiru・tamayo
pere aragonès,ペレ・アラゴネス,pere・aragonesu
raúl pardos peiró,ラウル・パルドス・ペイロ,rauru・parudosu・peiro
guillem vives,ギリェム・ビベス,giriェmu・bibesu
kenny prince redondo,ケニー・プリンス・レドンド,kenī・purinsu・redondo
josé tomás,ホセ・トマス,hose・tomasu
martí gasull i roig,マルティ・ガスル・イ・ローチ,maruti・gasuru・i・rōchi
lloll bertran,ロル・バートラン,roru・bātoran
ramón padró y pedret,ラモン・パドロ・イ・ペドレット,ramon・padoro・i・pedoretto
pep cruz,ペップ・クルーズ,peppu・kurūzu
hovik keuchkerian,ホヴィク・ケウチケリアン,hoviku・keuchikerian
antonio llardén,アントニオ・ラルデン,antonio・raruden
sergio del molino,セルヒオ・デル・モリノ,seruhio・deru・morino
josé heriberto garcía de quevedo,ホセ・エリベルト・ガルシア・デ・ケベード,hose・eriberuto・garushia・de・kebēdo
matt cook,マット・クック,matto・kukku
joan chamorro,ジョアン・チャモロ,joan・chamoro
laura conejero,ラウラ・コネヘーロ,raura・konehēro
juan de landa,ファン・デ・ランダ,fan・de・randa
miguel herráez,ミゲル・エッライズ,migeru・erraizu
raquel sánchez jiménez,ラケル・サンチェス・ヒメネス,rakeru・sanchesu・himenesu
sara sálamo,サラ・サラモ,sara・saramo
isabel pagán,イサベル・パガン,isaberu・pagan
bernat vilaplana,ベルナ・ビラプラーナ,beruna・birapurāna
víctor pablo pérez,ヴィクトル・パブロ・ペレス,vikutoru・paburo・peresu
maría sefidari,マリア・セフィダリ,maria・sefidari
alicia remirez,アリシア・レミレス,arishia・remiresu
charlotte vega,シャルロッテ・ベガ,sharurotte・bega
fernando barrachina,フェルナンド・バラチナ,ferunando・barachina
manuel ángel botubot,マヌエル・アンヘル・ボトゥボト,manueru・anheru・botuboto
astou ndour,アストウ・ヌドゥール,asutou・nudūru
juan spottorno y topete,フアン・スポトルノ・イ・トペテ,fuan・supotoruno・i・topete
loreto achaerandio,ロレート・アチャエランディオ,rorēto・achaerandio
laura morera,ラウラ・モレーナ,raura・morēna
adelfa calvo,アデルファ・カルボ,aderufa・karubo
alex puente tasias,アレックス・プエンテ・タシアス,arekkusu・puente・tashiasu
sebastián de segurola,セバスティアン・デ・セグロラ,sebasutian・de・segurora
josu juaristi,ジョス・ジュアリスティ,josu・juarisuti
lidia redondo,リディア・レドンド,ridia・redondo
katia griffiths,カティア・グリフィス,katia・gurifisu
xuso jones,フソ・ジョーンズ,fuso・jōnzu
manuel molina garcía,マヌエル・モリーナ・ガルシア,manueru・morīna・garushia
pedro díez del corral,ペドロ・ディエス・デル・コラル,pedoro・diesu・deru・koraru
jordi turull,ジョルディ・トゥルイ,jorudi・turui
josé cruz,ホセ・クルーズ,hose・kurūzu
carlos del amor,カルロス・デル・アモール,karurosu・deru・amōru
marta garcía,マルタ・ガルシア,maruta・garushia
santos hernández,サントス・エルナンデス,santosu・erunandesu
manuel toledano,マヌエル・トレダノ,manueru・toredano
iker begoña,イケル・ベゴーニャ,ikeru・begōnya
alvarito ruiz,アルバリト・ルイス,arubarito・ruisu
cristina de middel,クリスティーナ・デ・ミデル,kurisutīna・de・mideru
iñigo ros,イニゴ・ロス,inigo・rosu
silvia meseguer,シルビア・メセゲール,shirubia・mesegēru
maría del mar fernández,マリア・デル・マル・フェルナンデス,maria・deru・maru・ferunandesu
cristóbal de moscoso y montemayor,クリストバル・デ・モスコーソ・イ・モンテマイヨル,kurisutobaru・de・mosukōso・i・montemaiyoru
virginia torrecilla,バージニア・トレシラ,bājinia・toreshira
maría josé sánchez rubio,マリア・ホセ・サンチェス・ルビオ,maria・hose・sanchesu・rubio
veronica grigorieva,ベロニカ・グリゴリエワ,beronika・gurigoriewa
miguel san román,ミゲル・サン・ロマン,migeru・san・roman
mercedes peñas domingo,メルセデス・ペニャス・ドミンゴ,merusedesu・penyasu・domingo
olga pericet,オルガ・ペリセット,oruga・perisetto
jaume padró i cots,ジャウマ・パドロ・イ・コッツ,jauma・padoro・i・kottsu
tomàs padró i marot,トマース・パドロ・イ・マロー,tomāsu・padoro・i・marō
manuel garcia i grau,マヌエル・モリーナ・イ・グラウ,manueru・morīna・i・gurau
pascual maria estruch,パスクアル・マリア・エストルッチ,pasukuaru・maria・esutorutchi
francisco ballester,フランシスコ・バジェステル,furanshisuko・bajesuteru
eugenia de borbón y vargas,エウヘニア・デ・ボルボーン・イ・バルガス,euhenia・de・borubōn・i・barugasu
daniel garcía carrillo,ダニエル・ガルシア・カリージョ,danieru・garushia・karījo
nahikari garcia,ナヒカリ・ガルシア,nahikari・garushia
saladina jota,サラディナ・ホタ,saradina・hota
joan carrillo,ジョアン・カリージョ,joan・karījo
francisco varela martín,フランシスコ・バレーラ・マルティン,furanshisuko・barēra・marutin
iván lópez álvarez,イバン・ロペス・アルバレス,iban・ropesu・arubaresu
helia gonzález,ヘリア・ゴンザレス,heria・gonzaresu
salvador minguijón adrián,サルバドール・ミンギホン・アドリアン,sarubadōru・mingihon・adorian
beñat txoperena,ベニャト・チョペレナ,benyato・choperena
rufo sánchez,ルフィーノ・サンチェス,rufīno・sanchesu
yulen pereira,ジュレン・ペレイラ,juren・pereira
jorge navarro,ホルヘ・ナバーロ,horuhe・nabāro
rubén sobrinas,ルベン・ソブリーノ,ruben・soburīno
diego poyet,ディエゴ・ポジェ,diego・poje
narciso blanch e illa,ナルシス・ブランチ・イ・イラ,narushisu・buranchi・i・ira
fernando coma,フェルナンド・コーマ,ferunando・kōma
antonio alonso,アントニオ・アロンソ,antonio・aronso
monica gimeno,モニカ・ヒメノ,monika・himeno
antón martínez,アントン・マルティネス,anton・marutinesu
francisco nortes,フランシスコ・ノルテ,furanshisuko・norute
gregorio chil y naranjo,グレゴリオ・チル・イ・ナランホ,guregorio・chiru・i・naranho
gregorio muro,グレゴリオ・ムロ,guregorio・muro
miguel blesa,ミゲル・ブレサ,migeru・buresa
leonor rodríguez,レオノール・ロドリゲス,reonōru・rodorigesu
rubén cortada,ルベン・コルターダ,ruben・korutāda
laia costa,ライア・コスタ,raia・kosuta
juan manuel canós,フアン・マヌエル・カノス,fuan・manueru・kanosu
josé checa calvo,ホセ・チェカ・カルボ,hose・cheka・karubo
dionisio scarlatti y aldama,ディオニシオ・スカルラッティ・イ・アルダマ,dionishio・sukaruratti・i・arudama
claudio serrano,クラウディオ・セラーノ,kuraudio・serāno
federico de madrazo y ochoa,フェデリコ・デ・マドラーソ・イ・オチョア,federiko・de・madorāso・i・ochoa
antonio guirau,アントニオ・ギラウ,antonio・girau
fernando gonzález molina,フェルナンド・ゴンサレス・モリナ,ferunando・gonsaresu・morina
josé antonio pérez tapias,ホセ・アントニオ・ペレス・タピアス,hose・antonio・peresu・tapiasu
margarida minguillón i aran,マルガリーダ・ミンギロン・イ・アラン,marugarīda・mingiron・i・aran
pep puigdemont,ペップ・プッチダモン,peppu・putchidamon
saúl garcía,サウール・ガルシア,saūru・garushia
artemi gavezoucastro,アルテミ・ガヴェソ,arutemi・gavuェso
igor merino,イゴール・メリーノ,igōru・merīno
ignacio mercero,イグナシオ・メルセロ,igunashio・merusero
manuel herrera lópez,マヌエル・エレーラ・ロペス,manueru・erēra・ropesu
ibai salas,イバイ・サラス,ibai・sarasu
maria pau pigem,マリア・パウ・ピジェム,maria・pau・pijemu
isabel garcía tejerina,イサベル・ガルシア・テヘリナ,isaberu・garushia・teherina
mar targarona,マル・タルガローナ,maru・tarugarōna
sílvia muñoz d'imbert,シルビア・ムニョス・ディンベルト,shirubia・munyosu・dinberuto
pedro de alcántara de borbón,ペドロ・デ・アルカンタラ・デ・ボルボン,pedoro・de・arukantara・de・borubon
maría josé salvador,マリア・ホセ・サルバド,maria・hose・sarubado
alejandro sánchez gómez,アレハンドロ・サンチェス・ゴメス,arehandoro・sanchesu・gomesu
jesús palacios tapias,ヘスス・パラシオス・タピアス,hesusu・parashiosu・tapiasu
álvaro cebreiro,アルバロ・セブレイロ,arubaro・sebureiro
álex catalán,アレックス・カタラン,arekkusu・kataran
jordi lafebre,ジョルディ・ラフェーブル,jorudi・rafēburu
mar sodupe,マール・ソデュープ,māru・sodyūpu
marcial gómez parejo,マルシアル・ゴメス・パレホ,marushiaru・gomesu・pareho
balbino clemente,バルビノ・クレメンテ,barubino・kuremente
luis sanguino,ルイス・サンギーノ,ruisu・sangīno
miguel rodrigo,ミゲル・ロドリゴ,migeru・rodorigo
boré buika,ボレ・ブイカ,bore・buika
tomás carlos capuz,トマス・カルロス・カプス,tomasu・karurosu・kapusu
federico san emeterio,フェデ・サン・エメテリオ,fede・san・emeterio
mari carmen sánchez,マリ・カルメン・サンチェス,mari・karumen・sanchesu
mercedes gamero,メルセデセ・ガメロ,merusedese・gamero
bernardo rico,ベルナルド・リコ,berunarudo・riko
félix badillo,フェリックス・バディージョ,ferikkusu・badījo
iván calero,イバン・カレーロ,iban・karēro
rafael esquivel,ラファエル・エスキベル,rafaeru・esukiberu
sebastián yatra,セバスチャン・ヤトラ,sebasuchan・yatora
manuel lázaro burgos,マヌエル・ラザロ・ブルゴス,manueru・razaro・burugosu
desirée cordero ferrer,デジレ・コルデロ・フェレール,dejire・korudero・ferēru
jonathan lastra,ホナサン・ラストラ,honasan・rasutora
antonio hernando vera,アントニオ・エルナンド・ベラ,antonio・erunando・bera
casimir monier,カジミール・モニエ,kajimīru・monie
antonio remiro brotóns,アントニオ・レミーロ・ブロトンス,antonio・remīro・burotonsu
estefanía de los santos,エステファニア・デ・ロス・サントス,esutefania・de・rosu・santosu
