제임스 드레스녹,ジェームズ・ドレスノク,jēmuzu・doresunoku,jeimseu deureseunog
김책,キンサク,kinsaku,gimcaeg
강건,キョウケン,kyouken,ganggeon
박열,ボクレツ,bokuretsu,bagyeol
허헌,モトケン,motoken,heoheon
장웅,チョウツヨシ,choutsuyoshi,jangung
김철,キムアキラ,kimuakira,gimceol
최광,チェヒカリ,chehikari,coegwang
최현,チェケン,cheken,coehyeon
김억,キンオク,kinoku,gimeog
김옥,キンギョク,kingyoku,gimog
최휘,チェアキラ,cheakira,coehwi
백석,シライシ,shiraishi,baegseog
김웅,カネオ,kaneo,gimung
서휘,ジョアキラ,joakira,seohwi
김무정,タケチン,takechin,gimmujeong
홍창수,トクヤマアキラモリ,tokuyamaakiramori,hongcangsu
최원,チェトオ,chetoo,coeweon
안길,ヤスキチ,yasukichi,angil
장철,チョウトオル,choutooru,jangceol
임훈,ニンクン,ninkun,imhun
임화,ハヤシカズ,hayashikazu,imhwa
여정,リョセイ,ryosei,yeojeong
박훈,ボクイサオ,bokuisao,baghun
장혁,チョウカワ,choukawa,janghyeog
성명여자중학교,ヒジリアキラジョシチュウガッコウ,hijiriakirajoshichuugakkou,seongmyeongyeojajunghaggyo
성모여자고등학교,セイボジョシコウトウガッコウ,seibojoshikoutougakkou,seongmoyeojagodeunghaggyo
성산면,ヒジリヤマメン,hijiriyamamen,seongsanmyeon
성산중학교,シロヤマチュウガッコウ,shiroyamachuugakkou,seongsanjunghaggyo
성서중학교,ジョウサイチュウガッコウ,jousaichuugakkou,seongseojunghaggyo
성수공업고등학교,セイスイコウギョウコウトウガッコウ,seisuikougyoukoutougakkou,seongsugongeobgodeunghaggyo
벽골제,ヘキボネツツミ,hekibonetsutsumi,byeoggolje
벽산그룹,ヘキヤマグループ,hekiyamagurūpu,byeogsangeurub
별내동,ベツナイホラ,betsunaihora,byeolnaedong
보라매동,ポラメホラ,poramehora,boramaedong
보람동,ボラムホラ,boramuhora,boramdong
이천양정여자고등학교,トギガワヨウテイジョココウトウガッコウ,togigawayouteijokokoutougakkou,iceonyangjeongyeojagodeunghaggyo
이천종합버스터미널,トギガワソウゴウバスターミナル,togigawasougoubasutāminaru,iceonjonghabbeoseuteomineol
이평면,ナシツボメン,nashitsubomen,ipyeongmyeon
이호동,ナシミズウミホラ,nashimizuumihora,ihodong
이화령,リカミネ,rikamine,ihwaryeong
이대목동병원,ナシタイボクホラビョウイン,nashitaibokuhorabyouin,idaemogdongbyeongweon
이화장,リカソウ,rikasou,ihwajang
부북면,フホクメン,fuhokumen,bubugmyeon
부산관광공사,プサンカンコウコウシャ,pusankankoukousha,busangwangwanggongsa
부산기계공업고등학교,プサンキカイコウギョウコウトウガッコウ,pusankikaikougyoukoutougakkou,busangigyegongeobgodeunghaggyo
부산대학교병원,プサンダイガッコウビョウイン,pusandaigakkoubyouin,busandaehaggyobyeongweon
부산동고등학교,カマサントウコウトウガッコウ,kamasantoukoutougakkou,busandonggodeunghaggyo
부산동암학교,プサントウイワガッコウ,pusantouiwagakkou,busandongamhaggyo
한국조형예술고등학교,カンコクゾウケイゲイジュツコウトウガッコウ,kankokuzoukeigeijutsukoutougakkou,hangugjohyeongyesulgodeunghaggyo
두원면,マメハラメン,mameharamen,duweonmyeon
둔덕동,タムロトクホラ,tamurotokuhora,dundeogdong
드래곤플라이,ドラゴンフライ,doragonfurai,deuraegonpeulrai
드림티엔터테인먼트,ドリームエンターテインメント,dorīmuentāteinmento,deurimtienteoteinmeonteu
한국국제조리고등학교,カンコクコクサイチョウリコウトウガッコウ,kankokukokusaichourikoutougakkou,hanguggugjejorigodeunghaggyo
선인고등학교,ヨシヒトコウトウガッコウ,yoshihitokoutougakkou,seoningodeunghaggyo
선정고등학교,ゼンショウコウトウガッコウ,zenshoukoutougakkou,seonjeonggodeunghaggyo
설악면,ユキダケメン,yukidakemen,seolagmyeon
설월여자고등학교,ユキツキジョシコウトウガッコウ,yukitsukijoshikoutougakkou,seolweolyeojagodeunghaggyo
서서울생활과학고등학교,ニシソウルセイカツカガクコウトウガッコウ,nishisouruseikatsukagakukoutougakkou,seoseoulsaenghwalgwahaggodeunghaggyo
서수면,ミズホメン,mizuhomen,seosumyeon
서신면,ニシジンメン,nishijinmen,seosinmyeon
재난안전관리본부,サイナンアンゼンカンリホンブ,sainananzenkanrihonbu,jaenananjeongwanribonbu
안전성평가연구소,アンゼンセイヒョウカケンキュウジョ,anzenseihyoukakenkyuujo,anjeonseongpyeonggayeonguso
한국열린사이버대학교,カンコクオープンサイバーダイガッコウ,kankokuōpunsaibādaigakkou,hangugyeolrinsaibeodaehaggyo
영녕릉,エイヤスシリョウ,eiyasushiryou,yeongnyeongreung
영덕고등학교,レイトクコウトウガッコウ,reitokukoutougakkou,yeongdeoggodeunghaggyo
영도여자고등학교,カゲトウジョシコウトウガッコウ,kagetoujoshikoutougakkou,yeongdoyeojagodeunghaggyo
영동고등학교,エイヒガシコウトウガッコウ,eihigashikoutougakkou,yeongdonggodeunghaggyo
영동대로,エイトウダイロ,eitoudairo,yeongdongdaero
영동산업과학고등학교,エイドウサンギョウカガクコウトウガッコウ,eidousangyoukagakukoutougakkou,yeongdongsaneobgwahaggodeunghaggyo
영동중학교,エイヒガシチュウガッコウ,eihigashichuugakkou,yeongdongjunghaggyo
성남고등학교,ジョウナンコウトウガッコウ,jounankoutougakkou,seongnamgodeunghaggyo
성남면,シロナンメン,shironanmen,seongnammyeon
성남동,ジョウナンホラ,jounanhora,seongnamdong
성남소방서,ジョウナンショウボウショ,jounanshoubousho,seongnamsobangseo
성남여자고등학교,ジョウナンジョシコウトウガッコウ,jounanjoshikoutougakkou,seongnamyeojagodeunghaggyo
성덕고등학교,シゲノリコウトウガッコウ,shigenorikoutougakkou,seongdeoggodeunghaggyo
자금동,ジキンホラ,jikinhora,jageumdong
자양고등학교,ムラサキヨウコウトウガッコウ,murasakiyoukoutougakkou,jayanggodeunghaggyo
잠신고등학교,カイコシンコウトウガッコウ,kaikoshinkoutougakkou,jamsingodeunghaggyo
잠실여자고등학교,サンシツジョシコウトウガッコウ,sanshitsujoshikoutougakkou,jamsilyeojagodeunghaggyo
입암면,カサイワメン,kasaiwamen,ibammyeon
야탑고등학교,ノトウコウトウガッコウ,notoukoutougakkou,yatabgodeunghaggyo
인천여자고등학교,ニガワジョシコウトウガッコウ,nigawajoshikoutougakkou,inceonyeojagodeunghaggyo
인천여자상업고등학교,ニガワジョシショウギョウコウトウガッコウ,nigawajoshishougyoukoutougakkou,inceonyeojasangeobgodeunghaggyo
인천예술고등학교,ニガワゲイジュツコウトウガッコウ,nigawageijutsukoutougakkou,inceonyesulgodeunghaggyo
인천재능대학교,ニガワサイノウダイガッコウ,nigawasainoudaigakkou,inceonjaeneungdaehaggyo
인천정보산업고등학교,ニガワジョウホウサンギョウコウトウガッコウ,nigawajouhousangyoukoutougakkou,inceonjeongbosaneobgodeunghaggyo
인천중부소방서,ニガワチュウブショウボウショ,nigawachuubushoubousho,inceonjungbusobangseo
인천창영초등학교,ニガワアキラサカエショトウガッコウ,nigawaakirasakaeshotougakkou,inceoncangyeongcodeunghaggyo
인천체육고등학교,ニガワタイイクコウコウ,nigawataiikukoukou,inceonceyuggodeunghaggyo
인천해사고등학교,ニガワカイジコウトウガッコウ,nigawakaijikoutougakkou,inceonhaesagodeunghaggyo
인천해양경찰서,ニガワカイヨウケイビアンゼンショ,nigawakaiyoukeibianzensho,inceonhaeyanggyeongcalseo
인천혜광학교,ニガワメグミコウガッコウ,nigawamegumikougakkou,inceonhyegwanghaggyo
소명여자고등학교,ソメイジョシコウトウガッコウ,someijoshikoutougakkou,somyeongyeojagodeunghaggyo
소사고등학교,モトスナコウトウガッコウ,motosunakoutougakkou,sosagodeunghaggyo
소사로,モトスナロ,motosunaro,sosaro
소사중학교,モトスナチュウガッコウ,motosunachuugakkou,sosajunghaggyo
소상공인진흥원,ショウショウコウジンシジョウシンキョウコウダン,shoushoukoujinshijoushinkyoukoudan,sosanggonginjinheungweon
소성면,トコロゴエメン,tokorogoemen,soseongmyeon
소액사건심판법,ショウガクジケンシンパンホウ,shougakujikenshinpanhou,soaegsageonsimpanbeob
소양동,アキラヒホラ,akirahihora,soyangdong
소원면,トコロトオメン,tokorotoomen,soweonmyeon
소정면,コイメン,koimen,sojeongmyeon
도덕면,ドウトクメン,doutokumen,dodeogmyeon
도두동,ミチアタマホラ,michiatamahora,dodudong
도동서원,ドウトウショイン,doutoushoin,dodongseoweon
도산대로,シマヤマオオジ,shimayamaooji,dosandaero
도암면,ミチイワメン,michiiwamen,doammyeon
도원동,トウゲンホラ,tougenhora,doweondong
도평동,ミチツボホラ,michitsubohora,dopyeongdong
장군면,ショウグンメン,shougunmen,janggunmyeon
장기초등학교,ナガキショトウガッコウ,nagakishotougakkou,janggicodeunghaggyo
장남면,チョウナンメン,chounanmen,jangnammyeon
장명동,チョウメイホラ,choumeihora,jangmyeongdong
장목면,ナガキメン,nagakimen,jangmogmyeon
장산면,ナガヤマメン,nagayamamen,jangsanmyeon
덕원예술고등학교,トクゲンゲイジュツコウトウガッコウ,tokugengeijutsukoutougakkou,deogweonyesulgodeunghaggyo
덕원여자고등학교,トクゲンジョシコウトウガッコウ,tokugenjoshikoutougakkou,deogweonyeojagodeunghaggyo
덕풍동,トクユタカホラ,tokuyutakahora,deogpungdong
데레사여자고등학교,テレサジョシコウトウガッコウ,teresajoshikoutougakkou,deresayeojagodeunghaggyo
도개면,モモヒラキメン,momohirakimen,dogaemyeon
도농고등학교,ミチノウコウトウガッコウ,michinoukoutougakkou,dononggodeunghaggyo
도담동,トダムホラ,todamuhora,dodamdong
부산여자상업고등학교,プサンジョシショウギョウコウトウガッコウ,pusanjoshishougyoukoutougakkou,busanyeojasangeobgodeunghaggyo
부산외곽순환고속도로,プサンガイカクジュンカンコウソクドウロ,pusangaikakujunkankousokudouro,busanoegwagsunhwangosogdoro
부산정보관광고등학교,プサンジョウホウカンコウコウトウガッコウ,pusanjouhoukankoukoutougakkou,busanjeongbogwangwanggodeunghaggyo
부산중앙여자고등학교,プサンチュウオウジョシコウトウガッコウ,pusanchuuoujoshikoutougakkou,busanjungangyeojagodeunghaggyo
부산지방검찰청,プサンチホウケンサツチョウ,pusanchihoukensatsuchou,busanjibanggeomcalceong
부산지방국세청,プサンチホウコクゼイチョウ,pusanchihoukokuzeichou,busanjibanggugseceong
부산지방보훈청,プサンチホウホウクンチョウ,pusanchihouhoukunchou,busanjibangbohunceong
부산지방항공청,プサンチホウコウクウチョウ,pusanchihoukoukuuchou,busanjibanghanggongceong
부산체육고등학교,プサンタイイクコウトウガッコウ,pusantaiikukoutougakkou,busanceyuggodeunghaggyo
부산터널,プサントンネル,pusantonneru,busanteoneol
인천광역시교육청,ニガワコウイキシキョウイクチョウ,nigawakouikishikyouikuchou,inceongwangyeogsigyoyugceong
인천광역시청,ニガワコウイキシチョウ,nigawakouikishichou,inceongwangyeogsiceong
인천남동고등학교,ニガワミナミホラコウトウガッコウ,nigawaminamihorakoutougakkou,inceonnamdonggodeunghaggyo
인천대건고등학교,ニガワダイケンコウトウガッコウ,nigawadaikenkoutougakkou,inceondaegeongodeunghaggyo
인천미추홀소방서,ニガワナンブショウボウショ,nigawananbushoubousho,inceonmicuholsobangseo
인천대공원,ニガワダイコウエン,nigawadaikouen,inceondaegongweon
인천박문여자고등학교,ヒロブミジョシコウトウガッコウ,hirobumijoshikoutougakkou,inceonbagmunyeojagodeunghaggyo
인천박문초등학교,ニガワヒロブミショトウマナブコウ,nigawahirobumishotoumanabukou,inceonbagmuncodeunghaggyo
인천비즈니스고등학교,ニガワビジネスコウトウガッコウ,nigawabijinesukoutougakkou,inceonbijeuniseugodeunghaggyo
인천상정고등학교,ニガワカミイコウトウガッコウ,nigawakamiikoutougakkou,inceonsangjeonggodeunghaggyo
인천생활과학고등학교,ニガワセイカツカガクコウトウガッコウ,nigawaseikatsukagakukoutougakkou,inceonsaenghwalgwahaggodeunghaggyo
문곡고등학교,ニガワゼイムコウトウガッコウ,nigawazeimukoutougakkou,mungoggodeunghaggyo
대구남덕초등학교,タイキュウミナミトクショトウガッコウ,taikyuuminamitokushotougakkou,daegunamdeogcodeunghaggyo
대구남도초등학교,タイキュウナントショトウガッコウ,taikyuunantoshotougakkou,daegunamdocodeunghaggyo
대구남명초등학교,タイキュウナンメイショトウガッコウ,taikyuunanmeishotougakkou,daegunammyeongcodeunghaggyo
대구남산초등학교,タイキュウナンザンショトウガッコウ,taikyuunanzanshotougakkou,daegunamsancodeunghaggyo
부경고등학교,カマケイコウトウガッコウ,kamakeikoutougakkou,bugyeonggodeunghaggyo
부곡동,トミヤホラ,tomiyahora,bugogdong
군포중앙고등학교,トミヤチュウオウコウトウガッコウ,tomiyachuuoukoutougakkou,gunpojunganggodeunghaggyo
율촌면,クリムラメン,kurimuramen,yulconmyeon
율촌자유무역지역관리원,クリムラジユウボウエキチイキカンリイン,kurimurajiyuubouekichiikikanriin,yulconjayumuyeogjiyeoggwanriweon
은산면,オンヤマヅラ,onyamadzura,eunsanmyeon
은현면,コモケンメン,komokenmen,eunhyeonmyeon
은혜고등학교,オンケイジョシショウギョウコウコウ,onkeijoshishougyoukoukou,eunhyegodeunghaggyo
의당면,ギドウメン,gidoumen,yidangmyeon
여서동,ウララサイト,urarasaito,yeoseodong
여수여자고등학교,レイスイジョシコウトウガッコウ,reisuijoshikoutougakkou,yeosuyeojagodeunghaggyo
역곡동,エキタニホラ,ekitanihora,yeoggogdong
역사문제연구소,レキシモンダイケンキュウジョ,rekishimondaikenkyuujo,yeogsamunjeyeonguso
연곡면,レンダニメン,rendanimen,yeongogmyeon
세계김치연구소,セカイキムチケンキュウジョ,sekaikimuchikenkyuujo,segyegimciyeonguso
세광고등학교,ヨコウコウトウガッコウ,yokoukoutougakkou,segwanggodeunghaggyo
세도면,セドウメン,sedoumen,sedomyeon
세류동,ホソヤナギホラ,hosoyanagihora,seryudong
세마동,セバホラ,sebahora,semadong
세명컴퓨터고등학교,ヨアキラコンピューターコウトウガッコウ,yoakirakonpyūtākoutougakkou,semyeongkeompyuteogodeunghaggyo
서울항공비즈니스고등학교,ソウルコウクウビジネスコウトウガッコウ,sourukoukuubijinesukoutougakkou,seoulhanggongbijeuniseugodeunghaggyo
세종사이버대학교,ヨムネサイバーダイガッコウ,yomunesaibādaigakkou,sejongsaibeodaehaggyo
세종초등학교,ヨムネショトウマナブコウ,yomuneshotoumanabukou,sejongcodeunghaggyo
지봉로,シバミネロ,shibaminero,jibongro
지산동,シバヤマホラ,shibayamahora,jisandong
부론면,トミロンメン,tomironmen,buronmyeon
서진여자고등학교,セイシンジョシコウトウガッコウ,seishinjoshikoutougakkou,seojinyeojagodeunghaggyo
서초고등학교,ミズソウコウトウガッコウ,mizusoukoutougakkou,seocogodeunghaggyo
서해고등학교,ニシウミコウトウガッコウ,nishiumikoutougakkou,seohaegodeunghaggyo
서해어업관리단,ニシウミギョギョウカンリダン,nishiumigyogyoukanridan,seohaeeoeobgwanridan
서해해양조사사무소,ニシウミカイヨウチョウサジムショ,nishiumikaiyouchousajimusho,seohaehaeyangjosasamuso
서화면,ミズワメン,mizuwamen,seohwamyeon
부일장학회,カマビショウガクカイ,kamabishougakukai,builjanghaghoe
부천로,トミカワロ,tomikawaro,buceonro
부천도시공사,トミガワシシセツカンリコウダン,tomigawashishisetsukanrikoudan,buceondosigongsa
부천여자고등학교,トミカワジョシコウトウガッコウ,tomikawajoshikoutougakkou,buceonyeojagodeunghaggyo
부천중학교,トミカワチュウガッコウ,tomikawachuugakkou,buceonjunghaggyo
부평고등학교,トミヒラコウトウガッコウ,tomihirakoutougakkou,bupyeonggodeunghaggyo
부평동,トミヒラホラ,tomihirahora,bupyeongdong
부평역시외버스정류장,トミヒラエキシガイバステイリュウジョウ,tomihiraekishigaibasuteiryuujou,bupyeongyeogsioebeoseujeongryujang
부흥동,フッコウホラ,fukkouhora,buheungdong
북대구초등학교,キタタイキュウショトウガッコウ,kitataikyuushotougakkou,bugdaegucodeunghaggyo
북면,ホクメン,hokumen,bugmyeon
불은면,ブツオンメン,butsuonmen,buleunmyeon
브니엘예술고등학교,ブニエルゲイジュツコウトウガッコウ,bunierugeijutsukoutougakkou,beunielyesulgodeunghaggyo
비류대로,ニエリュウオオジ,nieryuuooji,biryudaero
비산동,ヒヤマホラ,hiyamahora,bisandong
석교동,イシバシホラ,ishibashihora,seoggyodong
영원면,エイモトメン,eimotomen,yeongweonmyeon
영일군,ムカイニチグン,mukainichigun,yeongilgun
한국철도고등학교,カンコクテツドウコウトウガッコウ,kankokutetsudoukoutougakkou,hangugceoldogodeunghaggyo
영주댐,サカエシュウダム,sakaeshuudamu,yeongjudaem
영주동,サカエシュウホラ,sakaeshuuhora,yeongjudong
동국대학교사범대학부속중학교,トウゴクダイガッコウシハンダイガクフゾクチュウガッコウ,tougokudaigakkoushihandaigakufuzokuchuugakkou,donggugdaehaggyosabeomdaehagbusogjunghaggyo
동남지방통계청,トウナンチホウトウケイチョウ,tounanchihoutoukeichou,dongnamjibangtonggyeceong
동내면,ヒガシナイメン,higashinaimen,dongnaemyeon
동대문교회,ヒガシダイモンキョウカイ,higashidaimonkyoukai,dongdaemungyohoe
동대신동,トウダイシンドウ,toudaishindou,dongdaesindong
동덕여자고등학교,ドウトクジョシコウトウガッコウ,doutokujoshikoutougakkou,dongdeogyeojagodeunghaggyo
영진약품,エイススムヤクヒン,eisusumuyakuhin,yeongjinyagpum
영춘면,エイハルメン,eiharumen,yeongcunmyeon
봉명동,オオトリナホラ,ootorinahora,bongmyeongdong
봉산면,オオトリヤマヅラ,ootoriyamadzura,bongsanmyeon
정신여자고등학교,サダシンニョココウトウガッコウ,sadashinnyokokoutougakkou,jeongsinyeojagodeunghaggyo
정신여자중학교,サダシンニョコナカガッコウ,sadashinnyokonakagakkou,jeongsinyeojajunghaggyo
정의여자고등학교,マサヨシジョシコウトウガッコウ,masayoshijoshikoutougakkou,jeongyiyeojagodeunghaggyo
정화여자고등학교,ジョウカジョシコウトウガッコウ,joukajoshikoutougakkou,jeonghwayeojagodeunghaggyo
정화여자상업고등학교,サダカズジョシショウギョウコウトウガッコウ,sadakazujoshishougyoukoutougakkou,jeonghwayeojasangeobgodeunghaggyo
보령화력발전소,ホヤスシカリョクハツデンショ,hoyasushikaryokuhatsudensho,boryeonghwaryeogbaljeonso
보리암,ボダイアン,bodaian,boriam
보문고등학교,ヒロシブンコウトウガッコウ,hiroshibunkoutougakkou,bomungodeunghaggyo
보문저수지,ヒロシモンチョスイチ,hiroshimonchosuichi,bomunjeosuji
보석사,ホウセキテラ,housekitera,boseogsa
보성고등학교,ヒロシナルコウトウガッコウ,hiroshinarukoutougakkou,boseonggodeunghaggyo
보안면,ホアンメン,hoanmen,boanmyeon
한빛누리고등학교,ヒロシエイジョシコウトウガッコウ,hiroshieijoshikoutougakkou,hanbicnurigodeunghaggyo
정라동,ミギワラホラ,migiwarahora,jeongradong
정부광주지방합동청사,セイフコウシュウチホウゴウドウチョウシャ,seifukoushuuchihougoudouchousha,jeongbugwangjujibanghabdongceongsa
정부과천청사,セイフハテカワチョウシャ,seifuhatekawachousha,jeongbugwaceonceongsa
정부대구지방합동청사,セイフタイキュウチホウゴウドウチョウシャ,seifutaikyuuchihougoudouchousha,jeongbudaegujibanghabdongceongsa
정부세종청사,セイフヨムネチョウシャ,seifuyomunechousha,jeongbusejongceongsa
정부제주지방합동청사,セイフサイシュウチホウゴウドウチョウシャ,seifusaishuuchihougoudouchousha,jeongbujejujibanghabdongceongsa
정부춘천지방합동청사,セイフハルカワチホウゴウドウチョウシャ,seifuharukawachihougoudouchousha,jeongbucunceonjibanghabdongceongsa
정석항공과학고등학교,セイセキコウクウカガクコウトウガッコウ,seisekikoukuukagakukoutougakkou,jeongseoghanggonggwahaggodeunghaggyo
복정고등학교,フクイコウトウガッコウ,fukuikoutougakkou,bogjeonggodeunghaggyo
복정동,フクイホラ,fukuihora,bogjeongdong
봉개동,タテマツフタホラ,tatematsufutahora,bonggaedong
봉래면,ホウライメン,houraimen,bongraemyeon
봉림동,オオトリリンホラ,ootoririnhora,bongrimdong
봉명고등학교,オオトリナコウトウガッコウ,ootorinakoutougakkou,bongmyeonggodeunghaggyo
시화방조제,ハジメハナボウチョウツツミ,hajimehanabouchoutsutsumi,sihwabangjoje
식사동,ショクテラボラ,shokuterabora,sigsadong
신구대학교,シンオカダイガッコウ,shinokadaigakkou,singudaehaggyo
신구중학교,シンカモメチュウガッコウ,shinkamomechuugakkou,singujunghaggyo
신기대로,シンモトオオジ,shinmotoooji,singidaero
신도리코,シンドリコ,shindoriko,sindoriko
신동아,シントウア,shintoua,sindonga
신둔면,シンタムロメン,shintamuromen,sindunmyeon
송광면,マツヒカリメン,matsuhikarimen,songgwangmyeon
송내대로,マツナイオオジ,matsunaiooji,songnaedaero
송내고등학교,マツナイコウトウガッコウ,matsunaikoutougakkou,songnaegodeunghaggyo
송도고등학교,マツトコウトウガッコウ,matsutokoutougakkou,songdogodeunghaggyo
송도동,マツシマホラ,matsushimahora,songdodong
송림고등학교,マツバヤシコウトウガッコウ,matsubayashikoutougakkou,songrimgodeunghaggyo
일광해수욕장,ニッコウカイスイヨクジョウ,nikkoukaisuiyokujou,ilgwanghaesuyogjang
일동제약,イルドンセイヤク,irudonseiyaku,ildongjeyag
일봉동,ニチホウホラ,nichihouhora,ilbongdong
북방면,ホッポウメン,hoppoumen,bugbangmyeon
북성동,ホクジョウホラ,hokujouhora,bugseongdong
북하면,キタカメン,kitakamen,bughamyeon
신림면,カンバヤシメン,kanbayashimen,sinrimmyeon
재궁동,ヒトシミヤホラ,hitoshimiyahora,jaegungdong
한국재료연구원,カンコクザイリョウケンキュウイン,kankokuzairyoukenkyuuin,hangugjaeryoyeonguweon
저도연륙교,イノシマレンリッキョウ,inoshimarenrikkyou,jeodoyeonryuggyo
저동고등학교,コウゾホラコウトウガッコウ,kouzohorakoutougakkou,jeodonggodeunghaggyo
전국경제인연합회,ゼンコクケイザイジンレンゴウカイ,zenkokukeizaijinrengoukai,jeonguggyeongjeinyeonhabhoe
전국노동조합협의회,ゼンコクロウドウクミアイキョウギカイ,zenkokuroudoukumiaikyougikai,jeongugnodongjohabhyeobyihoe
전국연합학력평가,ゼンコクレンゴウガクリョクヒョウカ,zenkokurengougakuryokuhyouka,jeongugyeonhabhagryeogpyeongga
전국춘향선발대회,ゼンコクハルカセンバツタイカイ,zenkokuharukasenbatsutaikai,jeongugcunhyangseonbaldaehoe
일산동,ヒヤマホラ,hiyamahora,ilsandong
일신동,ニッシンホラ,nisshinhora,ilsindong
오동동,ウマトウドウ,umatoudou,odongdong
오라동,ワレラホラ,warerahora,oradong
오산대학교,カラスヤマダイガッコウ,karasuyamadaigakkou,osandaehaggyo
부산항여객터미널,プサンコウエンガンリョカクターミナル,pusankouenganryokakutāminaru,busanhangyeogaegteomineol
부영그룹,トミエイグループ,tomieigurūpu,buyeonggeurub
부인중학교,トミジンチュウガッコウ,tomijinchuugakkou,buinjunghaggyo
의정부지방법원,ギセイフチホウホウイン,giseifuchihouhouin,yijeongbujibangbeobweon
의정부여자고등학교,ギセイフジョシコウトウガッコウ,giseifujoshikoutougakkou,yijeongbuyeojagodeunghaggyo
의정부지방검찰청,ギセイフチホウケンサツチョウ,giseifuchihoukensatsuchou,yijeongbujibanggeomcalceong
의창동,ヨシマサホラ,yoshimasahora,yicangdong
왕흥사,オウキョウテラシ,oukyouterashi,wangheungsa
외도동,ソトトホラ,sototohora,oedodong
외산면,トヤマメン,toyamamen,oesanmyeon
외서면,ソトニシメン,sotonishimen,oeseomyeon
욕지면,ヨクトモメン,yokutomomen,yogjimyeon
올림픽로,オリンピックロ,orinpikkuro,olrimpigro
와룡고등학교,ガリュウコウトウガッコウ,garyuukoutougakkou,waryonggodeunghaggyo
완도수산고등학교,フトイトウスイサンコウコウ,futoitousuisankoukou,wandosusangodeunghaggyo
완산고등학교,カンヤマコウトウガッコウ,kanyamakoutougakkou,wansangodeunghaggyo
수로왕릉,クビロオウリョウ,kubiroouryou,surowangreung
수리동,シュウリホラ,shuurihora,suridong
수리고등학교,シュウリコウトウガッコウ,shuurikoutougakkou,surigodeunghaggyo
수변로,ミズベロ,mizubero,subyeonro
수석호평도시고속화도로,ミズイシコウツボトシコウソクドウロ,mizuishikoutsubotoshikousokudouro,suseoghopyeongdosigosoghwadoro
수성고등학교,ミズキコウトウガッコウ,mizukikoutougakkou,suseonggodeunghaggyo
수송동,ヒデマツホラ,hidematsuhora,susongdong
수원고등학교,ミズハラコウトウガッコウ,mizuharakoutougakkou,suweongodeunghaggyo
경기도수원교육지원청,ケイキドウミズハラキョウイクシエンチョウ,keikidoumizuharakyouikushienchou,gyeonggidosuweongyoyugjiweonceong
영파여자고등학교,エイハジョシコウトウガッコウ,eihajoshikoutougakkou,yeongpayeojagodeunghaggyo
영통동,レイツウドウ,reitsuudou,yeongtongdong
영풍문고,ナガトヨブンコ,nagatoyobunko,yeongpungmungo
영화여자정보고등학교,エイカカンコウケイエイコウトウガッコウ,eikakankoukeieikoutougakkou,yeonghwayeojajeongbogodeunghaggyo
영흥고등학교,リョウゴコウトウガッコウ,ryougokoutougakkou,yeongheunggodeunghaggyo
영흥면,レイキョウメン,reikyoumen,yeongheungmyeon
예림디자인고등학교,ゲイリンデザインコウトウガッコウ,geirindezainkoutougakkou,yerimdijaingodeunghaggyo
승동교회,カチホラキョウカイ,kachihorakyoukai,seungdonggyohoe
시지고등학교,トキイタリコウトウガッコウ,tokiitarikoutougakkou,sijigodeunghaggyo
시천면,ヤガワメン,yagawamen,siceonmyeon
송해면,マツカイメン,matsukaimen,songhaemyeon
수내고등학교,スネコウトウガッコウ,sunekoutougakkou,sunaegodeunghaggyo
수도여자고등학교,シュトジョシコウトウガッコウ,shutojoshikoutougakkou,sudoyeojagodeunghaggyo
수도전기공업고등학교,シュトデンキコウギョウコウトウガッコウ,shutodenkikougyoukoutougakkou,sudojeongigongeobgodeunghaggyo
용두동,リュウアタマホラ,ryuuatamahora,yongdudong
용문고등학교,リュウモンコウトウガッコウ,ryuumonkoutougakkou,yongmungodeunghaggyo
용문면,リュウモンメン,ryuumonmen,yongmunmyeon
용문사,リュウモンテラ,ryuumontera,yongmunsa
옥천면,タマイズミメン,tamaizumimen,ogceonmyeon
지정면,チショウメン,chishoumen,jijeongmyeon
지평면,トギヘイメン,togiheimen,jipyeongmyeon
진관고등학교,ツヒロシコウトウガッコウ,tsuhiroshikoutougakkou,jingwangodeunghaggyo
진단학회,シンマユミガッカイ,shinmayumigakkai,jindanhaghoe
진도고등학교,チントウコウトウガッコウ,chintoukoutougakkou,jindogodeunghaggyo
시초면,トキクサメン,tokikusamen,sicomyeon
신용보증재단중앙회,シンヨウホショウザイダンチュウオウカイ,shinyouhoshouzaidanchuuoukai,sinyongbojeungjaedanjunganghoe
신용보증기금,シンヨウホショウキキン,shinyouhoshoukikin,sinyongbojeunggigeum
신의면,シンコロモメン,shinkoromomen,sinyimyeon
오죽헌,カラスタケノキ,karasutakenoki,ojugheon
비전고등학교,イシブミゼンコウトウガッコウ,ishibumizenkoutougakkou,bijeongodeunghaggyo
비전동,イシブミマエボラ,ishibumimaebora,bijeondong
빙그레,ピングレ,pingure,binggeure
사내면,フミナイメン,fuminaimen,sanaemyeon
사등면,イサゴトウメン,isagotoumen,sadeungmyeon
사량면,ヘビヤナメン,hebiyanamen,saryangmyeon
천안북중학교,テンヤスキタチュウガッコウ,tenyasukitachuugakkou,ceonanbugjunghaggyo
천안상업고등학교,テンヤスショウギョウコウトウガッコウ,tenyasushougyoukoutougakkou,ceonansangeobgodeunghaggyo
