hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
dourados,ドウラドス,douradosu
boomerang,ブーメラン,būmeran
ribeirão pires,リベイラオン・ピレス,ribeiraon・piresu
ponta porã,ポンタ・ポラン,ponta・poran
rio claro,リオ・クラロ,rio・kuraro
jardim,ジャルディン,jarudin
silva jardim,シウヴァ・ジャルジン,shiuva・jarujin
santo antônio da platina,サント・アントーニオ・ダ・プラチーナ,santo・antōnio・da・purachīna
santana do paraíso,サンタナ・ド・パライーゾ,santana・do・paraīzo
itaquaquecetuba,イタクワクエゼツーバ,itakuwakuezetsūba
santo amaro da imperatriz,サント・アマロ・ダ・インペラトリス,santo・amaro・da・inperatorisu
franco da rocha,フランコ・ダ・ロシャ,furanko・da・rosha
guarapuava,グアラプアバ,guarapuaba
pomerode,ポメロデ,pomerode
parintins,パリンティンス,parintinsu
cosmópolis,コスモポリス,kosumoporisu
araçoiaba da serra,アラソヤバ・ダ・セーハ,arasoyaba・da・sēha
miss brasil,ミス・ブラジル,misu・burajiru
arandu,アランドゥ,arandu
santa isabel do rio negro,サンタ・イザベウ・ド・リオ・ネーグロ,santa・izabeu・do・rio・nēguro
mostardas,モスタルダス,mosutarudasu
mauá,マウアー,mauā
sertão,セルトン,seruton
placar,プラカール,purakāru
serra do navio,セーハ・ド・ナヴィオ,sēha・do・navio
ribeirão grande,ヒベイラン・グランジ,hibeiran・guranji
amparo,アンパロ,anparo
eisenbahn,アイゼンバーン,aizenbān
visconde do rio branco,ヴィスコンデ・ド・リオ・ブランコ,visukonde・do・rio・buranko
oliveira,オリヴェイラ,orivuェira
mairiporã,マイリポラン,mairiporan
engesa,エンゲーザ,engēza
bozano,ボザノ,bozano
arena pernambuco,アレナ・ペルナンブーコ,arena・perunanbūko
iguatu,イグアトゥ,iguatu
morumbi,モルンビー,morunbī
tucuruí,トゥクルイ,tukurui
jussiape,ジュシアペ,jushiape
nova esperança,ノヴァ・エスペランサ,nova・esuperansa
gavião peixoto,ガヴィアン・ペイショート,gavian・peishōto
matis,マティスゾク,matisuzoku
adolfo,アドルフォ,adorufo
andradas,アンドラダス,andoradasu
formação adamantina,アダマンティナ・フォーメーション,adamantina・fōmēshon
manhuaçu,マニュアス,manyuasu
campeche,カンペチェ,kanpeche
paragominas,パラゴミナアス,paragominaasu
colinas,コリナス,korinasu
poá,ポアー,poā
estádio raulino de oliveira,エスタジオ・ラウリーノ・デ・オリヴェイラ,esutajio・raurīno・de・orivuェira
estádio durival britto e silva,エスタジオ・ドゥリヴァル・ブリット・エ・シウヴァ,esutajio・durivaru・buritto・e・shiuva
rodeio bonito,ホデイオ・ボニート,hodeio・bonīto
lourdes,ルルジズ,rurujizu
alfenas,アルフェナス,arufenasu
linhares,リニャレス,rinyaresu
peixoto de azevedo,ペイショート・デ・アゼヴェド,peishōto・de・azevuェdo
colatina,コラティナ,koratina
copa rio branco,コパ・リオ・ブランコ,kopa・rio・buranko
américo brasiliense,アメリコ・ブラジリエンセ,ameriko・burajiriense
caatinga,カーチンガ,kāchinga
estádio adelmar da costa carvalho,エスタジオ・アデウマール・ダ・コスタ・カルヴァーリョ,esutajio・adeumāru・da・kosuta・karuvāryo
estadio paulo constantino,エスタジオ・パウロ・コンスタンチーノ,esutajio・pauro・konsutanchīno
estádio orlando scarpelli,エスタディオ・オルランド・スカルペーリ,esutadio・orurando・sukarupēri
estádio palestra itália,エスタジオ・パレストラ・イタリア,esutajio・paresutora・itaria
mirangaba,ミランガーバ,mirangāba
sapucaia do sul,サプカイア・ド・スル,sapukaia・do・suru
rio verde,リオ・ベルデ,rio・berude
exaltasamba,エザルタサンバ,ezarutasanba
barreiras,バレイラス,bareirasu
jijoca de jericoacoara,ジジョーカ・デ・ジェリコアコアラ,jijōka・de・jerikoakoara
garça,ガルサ,garusa
riachão,リアション,riashon
cruzeiro do sul,クルゼイロ・ド・スル,kuruzeiro・do・suru
uberaba,ウベラーバ,uberāba
passo do sobrado,パッソ・ド・ソブラード,passo・do・soburādo
lábrea,ラブレア,raburea
armação dos búzios,アルマサン・ドス・ブージオス,arumasan・dosu・būjiosu
além paraíba,アレン・パライバ,aren・paraiba
sumaré,スマレ,sumare
jaguarão,ジャグアラン,jaguaran
estádio moisés lucarelli,エスタジオ・モイゼス・ルカレッリ,esutajio・moizesu・rukarerri
santa luzia,サンタ・ルジア,santa・rujia
são borja,サン・ボルジャ,san・boruja
iguatama,イグアタマ,iguatama
garibaldi,ガリバルジ,garibaruji
dom cavati,ドン・カヴァティ,don・kavati
vacaria,バカリア,bakaria
gramado,グラマド,guramado
estádio walmir campelo bezerra,エスタジオ・バウミル・カンペロ・ベゼーラ,esutajio・baumiru・kanpero・bezēra
vaqueiro,ヴァケイロ,vakeiro
ferroban,フェロバン,feroban
campos dos goytacazes,カンポス・ドス・ゴイタカゼス,kanposu・dosu・goitakazesu
itambé,イタンベ,itanbe
medeiros,メデイロス,medeirosu
ferronorte,フェロノルテ,feronorute
são gabriel da cachoeira,サン・ガブリエウ・ダ・カショエイラ,san・gaburieu・da・kashoeira
ilhabela,イリャベラ,iryabera
quilombo,キロンボ,kironbo
campas,アシャニンカ,ashaninka
paraíso,パライソ,paraiso
leme,レメ,reme
areado,アレアド,areado
laranjeiras,ラランジェイラス,raranjeirasu
felixlândia,フェリクスランジア,ferikusuranjia
guararema,グアラレマ,guararema
promissão,プロミッソン,puromisson
telêmaco borba,テレマコ・ボルバ,teremako・boruba
carmo do rio claro,カルモ・ド・リオ・クラオ,karumo・do・rio・kurao
estádio vasco da gama,エスタディオ・ヴァスコ・ダ・ガマ,esutadio・vasuko・da・gama
ajuricaba,アジュリカーバ,ajurikāba
carmo de minas,カルモ・デ・ミナス,karumo・de・minasu
sabará,サバラ,sabara
clube sociedade esportiva,クルーベ・ソシエダージ・エスポルチーヴァ,kurūbe・soshiedāji・esuporuchīva
teatro amazonas,テアトロ・アマゾナス,teatoro・amazonasu
folha de spaulo,フォーリャ・ジ・サンパウロ,fōrya・ji・sanpauro
jussara,ジュッサーラ,jussāra
ituiutaba,イトゥイウタバ,ituiutaba
gravataí,グラヴァタイー,guravataī
altamira,アルタミラ,arutamira
unibanco,ウニバンコ,unibanko
doresópolis,ドレソポリス,doresoporisu
pouso alegre,ポウゾ・アレグレ,pouzo・aregure
paulista,パウリスタ,paurisuta
nambiquaras,ナムビクワラゾク,namubikuwarazoku
passabém,パッサベーム,passabēmu
itaguaí,イタグアイ,itaguai
tenentismo,テネンテカクメイ,tenentekakumei
itacambira,イタカンビラ,itakanbira
hortolândia,オルトランジャ,orutoranja
alta floresta,アウタ・フロレスタ,auta・furoresuta
viamão,ヴィアモン,viamon
alvorada,アウヴォラーダ,auvuォrāda
serra negra,セッハ・ネグラ,sehha・negura
santa isabel,サンタ・イザベル,santa・izaberu
guanhães,グァニャンイス,guァnyanisu
arroio grande,アロイオ・グランデ,aroio・gurande
estádio flamarion vasconcelos,エスタジオ・フラメリオン・ヴァスコンセロス,esutajio・furamerion・vasukonserosu
nova erechim,ノヴァ・エレシン,nova・ereshin
jaíba,ジャイーバ,jaība
macaé,マカエ,makae
três corações,トレス・コラソンエス,toresu・korasonesu
nova friburgo,ノーヴァ・フリブルゴ,nōva・furiburugo
taguatinga,タグアチンガ,taguachinga
luziânia,ルジアニア,rujiania
são joão de meriti,サン・ジョアン・デ・メリチ,san・joan・de・merichi
americana,アメリカーナ,amerikāna
itapevi,イタペヴィ,itapevi
ribeirão das neves,リベイラン・ダス・ネーヴェス,ribeiran・dasu・nēvuェsu
campinho,カンピーニョ,kanpīnyo
jê,ゲゴゾク,gegozoku
nova venécia,ノヴァ・ベネチア,nova・benechia
paulo afonso,パウロ・アフンソ,pauro・afunso
hsbc arena,ジュネス・アリーナ,junesu・arīna
paty do alferes,パチ・ド・アウフェレス,pachi・do・auferesu
são domingos do capim,サン・ドミンゴス・ド・カピン,san・domingosu・do・kapin
mogi guaçu,モジー・グァスー,mojī・guァsū
guararapes,グアララペス,guararapesu
quilombo dos palmares,キロンボ・ドス・パルマーレス,kironbo・dosu・parumāresu
tarumirim,タルミリム,tarumirimu
maximiliano de almeida,マクシミリアーノ・ジ・アルメイダ,makushimiriāno・ji・arumeida
ultrapar,ウルトラパール,urutorapāru
guanás,チャネゾク,chanezoku
guaíba,グァイーバ,guァība
cachoeirinha,カショエイリーニャ,kashoeirīnya
assis,アシス,ashisu
são miguel do oeste,サン・ミゲウ・ド・オエステ,san・migeu・do・oesute
são josé dos pinhais,サン・ジョゼ・ドス・ピニャイス,san・joze・dosu・pinyaisu
américa latina logística,アメリカ・ラティーナ・ロジスティカ,amerika・ratīna・rojisutika
estádio eliel martins,エスタジオ・エリエウ・マルチンス,esutajio・erieu・maruchinsu
andaraí,アンダライー,andaraī
dionísio cerqueira,ジオニシオ・セルケイラ,jionishio・serukeira
esteio,エステイオ,esuteio
sete barras,セチ・バハス,sechi・bahasu
guaraci,グアラシ,guarashi
pontes gestal,ポンテス・ジェスタル,pontesu・jesutaru
itápolis,イタポリス,itaporisu
itaeté,イタエテー,itaetē
laguna,ラグナ,raguna
abaetetuba,アバエテトゥバ,abaetetuba
pontalina,ポンタリーナ,pontarīna
marabá,マラバ,maraba
imperatriz,インペラトリス,inperatorisu
botucatu,ボトゥカトゥ,botukatu
tupã,トゥッパ,tuppa
mombuca,モンブーカ,monbūka
itapecerica,イタペセリカ,itapeserika
araguari,アラグアリ,araguari
cajari,カジャリ,kajari
beto carrero world,ベット・カレーロ・ワールド,betto・karēro・wārudo
arroio trinta,アロイオ・トリンタ,aroio・torinta
cairu,カイル,kairu
uiramutã,ウイラムタ,uiramuta
muriaé,ムリアエ,muriae
apucarana,アプカラマ,apukarama
nova maringá,ノーヴァ・マリンガー,nōva・maringā
concórdia,コンコールジア,konkōrujia
rio pardo,リオ・パルド,rio・parudo
miranda,ミランダ,miranda
quaraí,クアライ,kuarai
barretos,バレトス,baretosu
adamantina,アダマンチーナ,adamanchīna
abelardo luz,アベラルド・ルス,aberarudo・rusu
rio real,リオ・レアル,rio・rearu
santo antônio do içá,サント・アントニオ・ド・イサ,santo・antonio・do・isa
juazeiro,ジュアゼイロ,juazeiro
biritiba mirim,ブリチバ・ミリム,burichiba・mirimu
pedro leopoldo,ペドロ・レオポルド,pedoro・reoporudo
são pedro do butiá,サン・ペードロ・ド・ブチアー,san・pēdoro・do・buchiā
são caetano do sul,サン・カエターノ・ド・スウ,san・kaetāno・do・suu
simões filho,シモンイス・フィーリョ,shimonisu・fīryo
passo fundo,パッソ・フンド,passo・fundo
grupo gay da bahia,グルポ・ゲイ・ダ・バヒア,gurupo・gei・da・bahia
vicente dutra,ヴィセンチ・ドゥトラ,visenchi・dutora
cabo de santo agostinho,カボ・デ・サント・アゴスチーニョ,kabo・de・santo・agosuchīnyo
teófilo otoni,テオフリオ・オトニ,teofurio・otoni
o globo,オ・グロボ,o・gurobo
arroio do meio,アロイオ・ド・メイオ,aroio・do・meio
lapa,ラパ,rapa
salesópolis,サレソーポリス,saresōporisu
mogeiro,モゲイロ,mogeiro
joaçaba,ジョアサバ,joasaba
lavras,ラヴラス,ravurasu
taquaritinga,タクアリティンガ,takuaritinga
eirunepé,エイルネペ,eirunepe
lages,ラジェス,rajesu
batida,バチーダ,bachīda
nova lima,ノヴァ・リマ,nova・rima
parnaíba,パルナイバ,parunaiba
ariquemes,アリケメス,arikemesu
rally dos sertões,ラリー・ドス・セルトーエス,rarī・dosu・serutōesu
presidente prudente,プレジデンチ・プルデンチ,purejidenchi・purudenchi
palhoça,パリョサ,paryosa
jateí,ジャテイ,jatei
caibi,カイビ,kaibi
urubici,ウルビシ,urubishi
itabirito,イタビリート,itabirīto
andradina,アンドラジーナ,andorajīna
iguape,イグァーピ,iguァーpi
santana de parnaíba,サンターナ・ジ・パルナイーバ,santāna・ji・parunaība
tarauacá,タラウアカ,tarauaka
pindamonhangaba,ピンダモニャンガバ,pindamonyangaba
nilópolis,ニローポリス,nirōporisu
arealva,アレアウヴァ,areauva
rubineia,ルビネイラ,rubineira
itatinga,イタチンガ,itachinga
são francisco do conde,サン・フランシスコ・ド・コンデ,san・furanshisuko・do・konde
garanhuns,ガラニュンス,garanyunsu
gravatá,グラヴァタ,guravata
farroupilha,ファホウピーリャ,fahoupīrya
rafard,ハファージ,hafāji
acopiara,アコピアラ,akopiara
valinhos,ヴァリーニョス,varīnyosu
ferraz de vasconcelos,フェラス・デ・ヴァスコンセロス,ferasu・de・vasukonserosu
xavantes,シャバンテゾク,shabantezoku
tibau do sul,チバウ・ド・スウ,chibau・do・suu
siderópolis,シデロポリス,shideroporisu
urânia,ウラニア,urania
nielsen company,ニールセン・ホールディングス,nīrusen・hōrudingusu
cordeiro,コルデイロ,korudeiro
carazinho,カラジニョ,karajinyo
itatiba,イタチーバ,itachība
itanhaém,イタニャエン,itanyaen
valparaíso de goiás,ヴァウパライーゾ・デ・ゴイアース,vauparaīzo・de・goiāsu
santa bárbara d'oeste,サンタ・バルバラ・ドエスチ,santa・barubara・doesuchi
varginha,ヴァルジーニャ,varujīnya
manacapuru,マナカプル,manakapuru
várzea paulista,ヴァールゼア・パウリスタ,vāruzea・paurisuta
bento gonçalves,ベント・ゴンサルベス,bento・gonsarubesu
barra bonita,バーハ・ボニータ,bāha・bonīta
vinhedo,ヴィニェード,viniェーdo
caraguatatuba,カラグァタトゥバ,karaguァtatuba
venâncio aires,ヴェナンシオ・アイレス,vuェnanshio・airesu
são josé do rio pardo,サン・ジョゼ・ド・リオ・パルド,san・joze・do・rio・parudo
samambaia,サマンバイア,samanbaia
arpoador,アルポアドール,arupoadōru
irará,イララー,irarā
orlândia,オルランジア,oruranjia
santa cruz do sul,サンタ・クルス・ド・スル,santa・kurusu・do・suru
santa vitória do palmar,サンタ・ヴィトリア・ド・パルマル,santa・vitoria・do・parumaru
são josé dos ausentes,サン・ホセ・ドス・オーセンテス,san・hose・dosu・ōsentesu
pedro canário,ペドロ・カナーリオ,pedoro・kanārio
estrela,エストレーラ,esutorēra
piratininga,ピラチニンガ,pirachininga
mesquita,メスキータ,mesukīta
tietê,ティエテ,tiete
patos de minas,パスト・デ・ミナス,pasuto・de・minasu
castanhal,カスタニャウ,kasutanyau
tacacá,タカカ,takaka
pedro de toledo,ペドロ・デ・トレド,pedoro・de・toredo
barra do garças,バラ・ド・ガルサス,bara・do・garusasu
conselheiro lafaiete,コンセリェイロ・ラファイエテ,konseriェiro・rafaiete
rondonópolis,ロンドノーポリス,rondonōporisu
eixo monumental,エイショ・モヌメンタル,eisho・monumentaru
echaporã,エシャポラ,eshapora
ibitinga,イビチンガ,ibichinga
bolsa família,ボウサ・ファミリア,bousa・famiria
lençóis paulista,レンソイス・パウリスタ,rensoisu・paurisuta
itariri,イタリリ,itariri
nhandeara,ニャンデアラ,nyandeara
mariana,マリアナ,mariana
estância velha,エスタンシア・ヴェーリャ,esutanshia・vuェーrya
avaré,アヴァレ,avare
arroio do sal,アロイオ・ド・サル,aroio・do・saru
roca sales,ローカ・サレス,rōka・saresu
itacaré,イタカレ,itakare
patrocínio paulista,パトロシーニオ・パウリスタ,patoroshīnio・paurisuta
santa maria da serra,サンタ・マリア・ダ・セーハ,santa・maria・da・sēha
confins,コンフィンス,konfinsu
taquarivaí,タクァリヴァイ,takuァrivai
almirante tamandaré,アウミランテ・タマンダレー,aumirante・tamandarē
cachoeira,カショエイラ,kashoeira
marechal deodoro,マレシャル・デオドロ,maresharu・deodoro
barra da tijuca,バハ・ダ・チジューカ,baha・da・chijūka
barra mansa,バーハ・マンサ,bāha・mansa
indiaporã,インジアポラ,injiapora
senador canedo,セナドル・カネド,senadoru・kanedo
francisco beltrão,フランシスコ・ベウトラン,furanshisuko・beutoran
passos,パソス,pasosu
morungaba,モルンガバ,morungaba
ramos,ラモス,ramosu
ourinhos,オウリニョス,ourinyosu
itajubá,イタジュバ,itajuba
guanambi,グァナンビ,guァnanbi
salto de pirapora,サルト・ジ・ピラポーラ,saruto・ji・pirapōra
araras,アララス,ararasu
santa rita do sapucaí,サンタ・リタ・ド・サプカイ,santa・rita・do・sapukai
tupi paulista,トゥピ・パウリスタ,tupi・paurisuta
sarapuí,サラプイ,sarapui
joão monlevade,ジョアン・モンレヴァージ,joan・monrevāji
vitória de santo antão,ビトリア・デ・サント・アンタン,bitoria・de・santo・antan
arapongas,アラポンガス,arapongasu
vale,ヴァーレ,vāre
tarumã,タルマン,taruman
cachoeira paulista,カショエイラ・パウリスタ,kashoeira・paurisuta
santo antônio de posse,サント・アントニオ・デ・ポッセ,santo・antonio・de・posse
itatiaia,イタチアイア,itachiaia
juazeiro do norte,ジュアゼイロ・ドゥ・ノルチェ,juazeiro・du・noruche
goianápolis,ゴイアナポリス,goianaporisu
belo oriente,ベロ・オリエンチ,bero・orienchi
são lourenço da serra,サン・ロレンソ・ダ・セッラ,san・rorenso・da・serra
bela vista de goiás,ベラ・ヴィスタ・ジ・ゴイアス,bera・visuta・ji・goiasu
cajamar,カジャマル,kajamaru
miracatu,ミラカトゥ,mirakatu
apiaí,アピアイ,apiai
parnamirim,パルナミリン,parunamirin
icamiabas,イカミアバス,ikamiabasu
caravelas,カラベラス,karaberasu
itararé,イタラレ,itarare
poços de caldas,ポソス・デ・カルダス,pososu・de・karudasu
trindade,トリンダーデ,torindāde
chapecó,シャペコ,shapeko
bertioga,ベルティオガ,berutioga
tepui,テプイ,tepui
santo ângelo,サント・アンジェロ,santo・anjero
cruzeiro real,クルゼイロ・レアル,kuruzeiro・rearu
frei paulo,フライ・パウル,furai・pauru
infraero,ブラジルクウコウインフラコウシャ,burajirukuukouinfurakousha
são sebastião,サン・セバスチャン,san・sebasuchan
pirapora do bom jesus,ピラポラ・ド・ボム・ジェスス,pirapora・do・bomu・jesusu
supercopa do brasil,スーペルコパ・ド・ブラジル,sūperukopa・do・burajiru
carajás,カラジャゾク,karajazoku
juquiá,ジュキア,jukia
juquitiba,ジュクイチバ,jukuichiba
poloni,ポローニ,porōni
tocantinópolis,トカンチノポリス,tokanchinoporisu
magé,マジェー,majē
sete lagoas,セテ・ラゴアス,sete・ragoasu
taboão da serra,タボアン・ダ・セッラ,taboan・da・serra
são josé do norte,サン・ジョゼ・ド・ノルティ,san・joze・do・noruti
brazópolis,ブラソポリス,burasoporisu
limeira,リメイラ,rimeira
itaboraí,イタボライー,itaboraī
serrania,セラニア,serania
pico da bandeira,ピコ・ダ・バンデイラ,piko・da・bandeira
severínia,セヴェリーニア,sevuェrīnia
extremoz,エクストレモス,ekusutoremosu
cáceres,カセレス,kaseresu
caçador,カサドール,kasadōru
maricá,マリカー,marikā
itajaí,イタジャイ,itajai
umuarama,ウムアラマ,umuarama
acaiaca,アカイアーカ,akaiāka
cataguases,カタグアゼス,kataguazesu
maracaí,マラカイ,marakai
conceição do jacuípe,コンセイソン・ド・ジャクイーペ,konseison・do・jakuīpe
novo gama,ノーヴォ・ガマ,nōvuォ・gama
iporanga,イポランガ,iporanga
arapeí,アラペイ,arapei
gaspar,ガスパール,gasupāru
vilhena,ビリェナ,biriェna
monte alto,モンテ・アウト,monte・auto
maragogipe,マラゴジッペ,maragojippe
goianésia,ゴイアネージア,goianējia
alfredo chaves,アウフレド・シャーヴェス,aufuredo・shāvuェsu
pedrinhas paulista,ペドリーニャス・パウリスタ,pedorīnyasu・paurisuta
camaragibe,カマラジベ,kamarajibe
mooca,モオカ,mooka
ubatuba,ウバツバ,ubatsuba
dom pedrito,ドン・ペドリト,don・pedorito
praia grande,プライア・グランデ,puraia・gurande
união da vitória,ウニアン・ダ・ビトリア,unian・da・bitoria
itaqui,イタクイ,itakui
alegrete,アレグレテ,aregurete
jaraguá do sul,ジャラグア・ド・スル,jaragua・do・suru
são joão do oeste,サン・ジョアン・ド・オエステ,san・joan・do・oesute
martins,マルチンス,maruchinsu
são francisco de assis,サン・フランシスコ・デ・アシス,san・furanshisuko・de・ashisu
cordeirópolis,コルデイロポリス,korudeiroporisu
manoel viana,マノエル・ビアナ,manoeru・biana
lagoa da prata,ラゴア・ダ・プラタ,ragoa・da・purata
caieiras,カイエイラス,kaieirasu
vargem grande paulista,ヴァルゲム・グランデ・パウリスタ,varugemu・gurande・paurisuta
sinagoga kahal zur israel,カハル・ズル・イスラエル・シナゴーグ,kaharu・zuru・isuraeru・shinagōgu
araruama,アラルアマ,araruama
cacoal,カコアウ,kakoau
arroio dos ratos,アロイオ・ドス・ラトス,aroio・dosu・ratosu
teresina de goiás,テレジナ・ジ・ゴイアス,terejina・ji・goiasu
afogados da ingazeira,アフォガドス・ダ・インガゼイラ,afogadosu・da・ingazeira
hidrolândia,イドロランジア,idororanjia
barra do piraí,バーハ・ド・ピライ,bāha・do・pirai
ponte nova,ポンテ・ノヴァ,ponte・nova
ceilândia,セイランディア,seirandia
mansidão,マンシドン,manshidon
agudos,アグドス,agudosu
marialva,パラナシュウ,paranashuu
montenegro,モンテネグロ,monteneguro
santiago,サンティアゴ,santiago
mapinguari,マピンガリ,mapingari
caxias,カシアス,kashiasu
tiradentes,チラデンテス,chiradentesu
antônio dias,アントーニオ・ジーアス,antōnio・jīasu
itacoatiara,イタコアチアラ,itakoachiara
pirassununga,ピラスヌンガ,pirasununga
teixeira,テイシェイラ,teisheira
crato,クラート,kurāto
capivari,カピヴァーリ,kapivāri
rolândia,ホーランジア,hōranjia
canindé,カニンデ,kaninde
estância,エスタンシア,esutanshia
são josé de ribamar,サン・ジョゼ・デ・リバマル,san・joze・de・ribamaru
valença,ヴァレンサ,varensa
xapuri,シャプリ,shapuri
ariranha,アリラーニャ,arirānya
são sebastião do caí,サン・セバスチアン・ド・カイー,san・sebasuchian・do・kaī
arujá,アルジャー,arujā
são tiago,サン・ティアゴ,san・tiago
pesqueira,ペスケイラ,pesukeira
teixeiras,テイシェイラス,teisheirasu
indaiatuba,インダイアツーバ,indaiatsūba
uruguaiana,ウルグアイアーナ,uruguaiāna
aracruz celulose,アラクルーズ・セルロース,arakurūzu・serurōsu
japeri,ジャペリ,japeri
vespasiano,ヴェスパシアーノ,vuェsupashiāno
araçatuba,アラサトゥバ,arasatuba
três rios,トレス・リオス,toresu・riosu
araguaína,アラグアイーナ,araguaīna
aparecida,アパレシダ,apareshida
novo progresso,ノーヴォ・プログレッソ,nōvuォ・puroguresso
timon,チモン,chimon
navegantes,ナヴェガンテス,navuェgantesu
humaitá,ウマイタ,umaita
aporá,アポラー,aporā
brotas de macaúbas,ブロタス・デ・マカウバス,burotasu・de・makaubasu
rio das ostras,リオ・ダス・オストラス,rio・dasu・osutorasu
paço do lumiar,パーソ・ド・ルミアル,pāso・do・rumiaru
irecê,イレセー,iresē
guadalupe,リオデジャネイロ,riodejaneiro
lençóis,レンソーイス,rensōisu
bom jesus,ボン・ジェズーズ,bon・jezūzu
ipiranga,イピランガ,ipiranga
caiapós,カイアポゾク,kaiapozoku
terenas,テレナゾク,terenazoku
maraã,マラアン,maraan
igarassu,イガラス,igarasu
santo antônio de jesus,サント・アントニオ・デ・ジェズス,santo・antonio・de・jezusu
botocudos,クレナックゾク,kurenakkuzoku
cametá,カメタ,kameta
toméaçu,トメアスー,tomeasū
conceição do araguaia,コンセイサン・ド・アラグアイア,konseisan・do・araguaia
campo largo,カンポ・ラルゴ,kanpo・rarugo
dracena,ドラセーナ,dorasēna
urupema,ウルペマ,urupema
bragança paulista,ブラガンサ・パウリスタ,buragansa・paurisuta
brahma,ブラフマー,burafumā
grupo votorantim,ヴォトランチン・グループ,vuォtoranchin・gurūpu
suzano papel e celulose,スザーノ・パペル・エ・セルロース,suzāno・paperu・e・serurōsu
jaguaruna,ジャグァルナ,jaguァruna
botafogo,ボタフォゴ,botafogo
são mateus,サン・マテウス,san・mateusu
aragoiânia,アラゴイアニア,aragoiania
bom jesus da lapa,ボン・ジェズス・ダ・ラパ,bon・jezusu・da・rapa
aripuanã,アリプアナン,aripuanan
correntina,コヘンチナ,kohenchina
assu,アスー,asū
goiana,ゴイアナ,goiana
benjamin constant,ベンジャミン・コンスタン,benjamin・konsutan
pinhais,ピニャイス,pinyaisu
barcarena,バルカレナ,barukarena
esplanada,エスプラナーダ,esupuranāda
afonso bezerra,アフォンソ・ベゼハ,afonso・bezeha
nobres,ノブレス,noburesu
arapoti,アラポチ,arapochi
jaguarari,ジャグアラリ,jaguarari
tenharins,テンハリム,tenharimu
veranópolis,ヴェラノポリス,vuェranoporisu
porto acre,ポルト・アクレ,poruto・akure
santa maria de itabira,サンタ・マリア・ジェ・イタビーラ,santa・maria・je・itabīra
carmo,カルモ,karumo
conceição do coité,コンセイソン・ド・コイテ,konseison・do・koite
confresa,コンフレサ,konfuresa
riachinho,リアチーニョ,riachīnyo
comando vermelho,コマンド・ヴェルメーリョ,komando・vuェrumēryo
parauapebas,パラウアペバス,parauapebasu
arenápolis,アレナポリス,arenaporisu
carmo do rio verde,カルモ・ド・リオ・ベルデ,karumo・do・rio・berude
itaparica,イタパリカ,itaparika
fagundes,ファグンデス,fagundesu
minaçu,ミナスー,minasū
porto calvo,ポルト・カウヴォ,poruto・kauvuォ
ibiquera,イビケラ,ibikera
pato branco,パト・ブランコ,pato・buranko
passo de camaragibe,パッソ・ジ・カマラジビ,passo・ji・kamarajibi
antônio gonçalves,アントーニオ・ゴンサウヴェス,antōnio・gonsauvuェsu
barreirinha,バヘイリーニャ,baheirīnya
complexo do alemão,コンプレクソ・ド・アレマン,konpurekuso・do・areman
zé doca,ゼ・ドカ,ze・doka
igaraçu do tietê,イガラス・ド・チエテ,igarasu・do・chiete
cambé,カンベー,kanbē
manoel vitorino,マノエル・ヴィトリーノ,manoeru・vitorīno
campo mourão,カンポ・モウラン,kanpo・mouran
são josé do belmonte,サン・ジョゼ・ド・ベウモンチ,san・joze・do・beumonchi
barbosa ferraz,バルボーザ・フェラス,barubōza・ferasu
são josé de piranhas,サン・ジョゼー・デ・ピラーニャス,san・jozē・de・pirānyasu
bezerros,ベゼロス,bezerosu
mâncio lima,マンシオ・リマ,manshio・rima
pintópolis,ピントポリス,pintoporisu
juara,ジュアラ,juara
naque,ナーケ,nāke
selvíria,セルヴィリア,seruviria
araucária,アラウカーリア,araukāria
nova era,ノヴァ・エラ,nova・era
paranavaí,パラナシュウ,paranashuu
neópolis,ネオポリス,neoporisu
prados,プラドス,puradosu
guaratuba,グアラトゥバ,guaratuba
jandaia do sul,ジャンダイア・ド・スル,jandaia・do・suru
oriximiná,オリシミナ,orishimina
sousa,ソウザ,souza
passa tempo,パッサ・テンポ,passa・tenpo
toledo,トレド,toredo
espera feliz,エスペラ・フェリース,esupera・ferīsu
matupá,マトゥパ,matupa
campanha,カンパーニャ,kanpānya
milagres,ミラグレス,miraguresu
primavera do leste,プリマヴェーラ・ド・レステ,purimavuェーra・do・resute
itacarambi,イタカランビ,itakaranbi
glória d'oeste,グローリア・ドエステ,gurōria・doesute
moreno,モレーノ,morēno
unaí,ウナイ,unai
sorriso,ソヒーゾ,sohīzo
serra verde express,セーハ・ヴェルジ・エクスプレス,sēha・vuェruji・ekusupuresu
gurupi,グルピ,gurupi
porto nacional,ポルト・ナシオナル,poruto・nashionaru
itabaiana,イタバイアーナ,itabaiāna
esperança do sul,エスペランサ・ド・スー,esuperansa・do・sū
fernandes tourinho,フェルナンジェス・トウリーニョ,ferunanjesu・tourīnyo
joanésia,ジョアネージア,joanējia
lagarto,ラガルト,ragaruto
lucas do rio verde,ルカス・ド・リオ・ヴェルデ,rukasu・do・rio・vuェrude
frutal,フルタル,furutaru
bacabal,バカバル,bakabaru
são félix do xingu,サン・フェリックス・ド・シング,san・ferikkusu・do・shingu
ibiraçu,イビラク,ibiraku
janaúba,ジャナウバ,janauba
tailândia,タイランジア,tairanjia
ferros,フェロス,ferosu
marau,マラウ,marau
