глюкоза,グリュコーザ,guryukōza
валентин коновалов,バレンティン・コノバロフ,barentin・konobarofu
александр раевский,アレクサンダー・ラエフスキー,arekusandā・raefusukī
игорь олейников,イーゴリ・オレイニコフ,īgori・oreinikofu
жаныл асанбекова,ジャニル・アサンベコワ,janiru・asanbekowa
михаил светов,ミハイル・スヴェトフ,mihairu・suvuェtofu
владимир сипягин,ウラジーミル・シピャーギン,urajīmiru・shipyāgin
геннадий жидко,ゲンナージー・ジトコ,gennājī・jitoko
ксения синицына,クセニア・シニツィナ,kusenia・shinitsina
аделина галявиева,アデリナ・ガリャビエワ,aderina・garyabiewa
александр ерёмин,アレクサンダー・エリョーミン,arekusandā・eryōmin
анастасия москалёва,アナスタシア・モスカレワ,anasutashia・mosukarewa
анастасия ракова,アナスタシア・ラコヴァ,anasutashia・rakova
александр цыбульский,アレクサンドル・ツィブルスキー,arekusandoru・tsiburusukī
егор клинаев,エゴール・クリナエフ,egōru・kurinaefu
константин килимник,コンスタンティン・キリムニック,konsutantin・kirimunikku
элджей,オールジ,ōruji
елена кошка,エレナ・コシュカ,erena・koshuka
александр мишкин,アレクサンドル・ミシュキン,arekusandoru・mishukin
маргарита позоян,マルガリータ・ポゾヤン,marugarīta・pozoyan
екатерина самсонов,エカテリーナ・サムソノフ,ekaterīna・samusonofu
василий орлов,ヴァシリー・オルロフ,vashirī・orurofu
казбек коков,カズベク・ココフ,kazubeku・kokofu
павел грудинин,パーヴェル・グルジーニン,pāvuェru・gurujīnin
вера щербина,ベラ・シェルビーナ,bera・sherubīna
андрей тарасенко,アンドレイ・タラセンコ,andorei・tarasenko
андрей травников,アンドレイ・トラフニコフ,andorei・torafunikofu
вероника саркисова,ベロニカ・サルキソワ,beronika・sarukisowa
андрей мозалёв,アンドレイ・モザリョフ,andorei・mozaryofu
анатолий чепига,アナトリー・チェピガ,anatorī・chepiga
александр лапин,アレクサンドル・ラパン,arekusandoru・rapan
александр горбатов,アレクサンデル・ゴルバトフ,arekusanderu・gorubatofu
александр комлев,アレクサンドル・コムレフ,arekusandoru・komurefu
михаил ходарёнок,ミハイル・ホダリョノク,mihairu・hodaryonoku
полина щербакова,ポリーナ・シェルバコワ,porīna・sherubakowa
александр сивцев,アレクサンドル・シフツェフ,arekusandoru・shifutsefu
мовсар евлоев,モフサル・エフロエフ,mofusaru・efuroefu
ульяна синецкая,ウリヤナ・シネツカヤ,uriyana・shinetsukaya
данила якушев,ダニラ・ヤクシェフ,danira・yakushefu
марк кондратюк,マルク・コンドラチュク,maruku・kondorachuku
леонид брусин,レオニード・ブルーシン,reonīdo・burūshin
ульяна иващенко,ウリアナ・イヴァシチェンコ,uriana・ivashichenko
грета ониогу,グレタ・オニエゴウ,gureta・oniegou
валентина чеботарёва,ヴァレンティナ・チェボタリョーワ,varentina・chebotaryōwa
пётр коврижных,ピーター・コヴリジニク,pītā・kovurijiniku
александра ревенко,アレクサンドラ・レベンコ,arekusandora・rebenko
дубкова анатольевна,イリーナ・デュブコワ,irīna・dyubukowa
азамат мурзаканов,アザマト・ムルザカノフ,azamato・muruzakanofu
сергей походаев,セルゲイ・ポカダエフ,serugei・pokadaefu
валентин садики,バレンティン・サディキ,barentin・sadiki
дмитрий ендальцев,ドミトリー・エンドタルセフ,domitorī・endotarusefu
игорь хрипунов,イゴール・フリプリノフ,igōru・furipurinofu
валерий колесов,ワレリー・コレソフ,warerī・koresofu
кристина пакарина,クリスティーナ・パカリーナ,kurisutīna・pakarīna
наталья галкина,ナタリア・プラギーナ,nataria・puragīna
дмитрий галкин,ディミトリー・ガルキン,dimitorī・garukin
оксана воеводина,オクサーナ・ヴォエヴォジナ,okusāna・vuォevuォjina
юлия навальная,ユリア・ナヴァリナヤ,yuria・navarinaya
эдуард сперцян,エドゥアルド・スペルツァン,eduarudo・superutsan
маркус дюпри,マーカス・デュプリー,mākasu・dyupurī
максим сурайкин,マクシム・スライキン,makushimu・suraikin
алёна буздуган,アリョーナ・ブズドゥガン,aryōna・buzudugan
иван баранчик,イバン・バランチェク,iban・barancheku
константин носков,コンスタンチン・ノスコフ,konsutanchin・nosukofu
артур найфонов,アルトゥル・ナイフォノフ,aruturu・naifonofu
кирилл боженов,キリル・ボジェノフ,kiriru・bojenofu
валерий лимаренко,ヴァレリー・リマレンコ,varerī・rimarenko
александра мальцевская,アレクサンドラ・マルツェフスカヤ,arekusandora・marutsefusukaya
николай павлович пономарёв,ニコライ・パヴロヴィッチ・ポノマリョフ,nikorai・pavurovitchi・ponomaryofu
алиса шер,アリーサ・シェア,arīsa・shea
александр загоринский,アレクサンドル・ザゴリンスキー,arekusandoru・zagorinsukī
валерия саламатина,ワレリア・サラマチナ,wareria・saramachina
владислав шапша,ヴラディスラフ・シャプシャ,vuradisurafu・shapusha
игорь артамонов,イゴール・アルタモノフ,igōru・arutamonofu
вадим шумков,バディム・シュムコフ,badimu・shumukofu
игорь дивеев,イゴール・ディヴェイェフ,igōru・divuェyefu
алексис рабен,アレクシス・ラーベン,arekushisu・rāben
николай билык,ニコライ・ビリク,nikorai・biriku
ирина алексеева,イリーナ・アレクシーワ,irīna・arekushīwa
алексей агеев,アレクセイ・エイジエフ,arekusei・eijiefu
елизавета шанаева,エリザベタ・シャナエワ,erizabeta・shanaewa
елизавета худайбердиева,エリザヴェータ・クダイベルディエワ,erizavuェーta・kudaiberudiewa
дарья клюкина,ダリア・クリキン,daria・kurikin
саид нурмагомедов,サイード・ヌルマゴメドフ,saīdo・nurumagomedofu
клим поплавский,クリム・ポプラフスキー,kurimu・popurafusukī
валерия дмитриева,ヴァレリヤ・ドミトリーバ,vareriya・domitorība
сергей романович,セルゲイ・ベリャコビッチ,serugei・beryakobitchi
антон борматов,アントン・ボルマトフ,anton・borumatofu
виктор хоркин,ヴィクトル・コルキン,vikutoru・korukin
андрей луценко,アンドレイ・ルチェンコ,andorei・ruchenko
арман царукян,アルマン・ツァルキヤン,aruman・tsarukiyan
андрей сычевой,アンドレイ・シチェヴォイ,andorei・shichevuォi
иван жданов,イヴァン・ジダーノフ,ivan・jidānofu
татьяна бакальчук,タチアナ・バカルチュク,tachiana・bakaruchuku
евгения беркович,イェブゲーニャ・ビェルコービッチ,yebugēnya・biェrukōbitchi
пётр ян,ピョートル・ヤン,pyōtoru・yan
абдурахманов абдуллаевич,ジヤウッディン・アブドゥラフマノフ,jiyauddin・abudurafumanofu
вячеслав шувалов,ヴャチェスラフ・シュヴァロフ,vuャchesurafu・shuvarofu
тумсо абдурахманов,トゥンソ・アブドゥラフマノフ,tunso・abudurafumanofu
алексей текслер,アレクセイ・テクスレル,arekusei・tekusureru
гамид агаларов,ガミド・アガラロフ,gamido・agararofu
елизавета пескова,エリザベータ・ペスコワ,erizabēta・pesukowa
юркисс,ユルキス,yurukisu
андрей чибис,アンドレイ・チビス,andorei・chibisu
олег хорохордин,オレグ・ホロホルディン,oregu・horohorudin
михаил топалов,ミハイル・トパロフ,mihairu・toparofu
александр иванович наумов,アレクサンドル・イワノヴィチ・ナウモフ,arekusandoru・iwanovichi・naumofu
малыхин сергеевич,アナトニー・マリキン,anatonī・marikin
катя адушкина,カティア・アドゥシュキナ,katia・adushukina
наталия старынкевич,ナタリ・スタリンケビッチ,natari・sutarinkebitchi
ирина чипиженко,イリーナ・チチチェンコ,irīna・chichichenko
цоков юрьевич,オレグ・ツォコフ,oregu・tsokofu
виктор началов,ヴィクトル・ナチャロフ,vikutoru・nacharofu
алибек качмазов,アリベック・カチマゾフ,aribekku・kachimazofu
клава кока,クラヴァ・コーカ,kurava・kōka
дарья усачева,ダリア・ウサチョワ,daria・usachowa
яков резанцев,ヤーコフ・レザンチェフ,yākofu・rezanchefu
андрей рейан,アンドリュー・レイヤン,andoryū・reiyan
сергей павлович,セルゲイ・パブロビッチ,serugei・paburobitchi
олег николаев,オレグ・ニコラエフ,oregu・nikoraefu
камила валиева,カミラ・ワリエワ,kamira・wariewa
екатерина куракова,エカテリーナ・クラコワ,ekaterīna・kurakowa
илья драгунов,イリヤ・ドラガノフ,iriya・doraganofu
анна пракатень,ハンナ・プラカチェニ,hanna・purakacheni
алексей оверчук,アレクセイ・オーバーチュク,arekusei・ōbāchuku
антон котяков,アントン・コチャコフ,anton・kochakofu
дмитрий григоренко,ドミトリー・グリゴレンコ,domitorī・gurigorenko
ольга любимова,オルガ・リュビモヴァ,oruga・ryubimova
илья маланин,イリヤ・マラニン,iriya・maranin
дмитрий махонин,ドミートリー・マホニン,domītorī・mahonin
дмитрий босов,ディミトリー・ボソフ,dimitorī・bosofu
николай зиновьев,ニコライ・ジノビエフ,nikorai・jinobiefu
владимир липатников,ウラディーミル・リパトニコフ,uradīmiru・ripatonikofu
борис дергачёв,ボリス・デルガチョフ,borisu・derugachofu
михаил виктор,ミハイル・ビクター,mihairu・bikutā
игорь цуканов,イーゴリ・ツカノフ,īgori・tsukanofu
николай николаевич солодников,ニコライ・ニコライェヴィッチ・ソロドフニコフ,nikorai・nikorayevitchi・sorodofunikofu
диана пожарская,ダイアナ・ポザルスカヤ,daiana・pozarusukaya
тимофей настюхин,ティモフィ・ナシューヒン,timofi・nashūhin
михаил тумасов,ミハイル・トゥマソフ,mihairu・tumasofu
владимир пашков,ウラジミール・パシュコフ,urajimīru・pashukofu
андрей федяев,アンドレイ・フェジャーエフ,andorei・fejāefu
иван голунов,イワン・ゴルノフ,iwan・gorunofu
пётр дубров,ピョートル・ドゥブロフ,pyōtoru・duburofu
сергей корсаков,セルゲイ・コルサコフ,serugei・korusakofu
хамзат чимаев,カムザット・チマエフ,kamuzatto・chimaefu
альберт батыргазиев,アルベルト・バティルガジエフ,aruberuto・batirugajiefu
фабио мастранджело,ファビオ・マストランジェロ,fabio・masutoranjero
елена григорьева,エレーナ・グリゴリエワ,erēna・gurigoriewa
сидоркова антоновна,イリーナ・シドルコワ,irīna・shidorukowa
борис кутневич,ボリス・クトネビッチ,borisu・kutonebitchi
таня тузова,ターニャ・トゥゾワ,tānya・tuzowa
денис долонский,デニス・ドロンスキー,denisu・doronsukī
лера абова,レラ・アボバ,rera・aboba
ксения середа,クセニヤ・セレーダ,kuseniya・serēda
ольга меганская,オルガ・メガンスカヤ,oruga・megansukaya
шарлот,シャーロット,shārotto
валентин петров,バレンティン・ペトロフ,barentin・petorofu
инна вальтер,インナ・ヴァルテル,inna・varuteru
олег чугунов,オレグ・チュグノフ,oregu・chugunofu
софья таюрская,ソーニャ・タユルスカヤ,sōnya・tayurusukaya
люся чеботина,ルシア・チェボティーナ,rushia・chebotīna
ринат фахретдинов,リナト・ファクレトディノフ,rinato・fakuretodinofu
михаил каймаков,ミハイル・カイマコフ,mihairu・kaimakofu
иван куляк,イワン・クリアク,iwan・kuriaku
майя хромых,マイア・フロミフ,maia・furomifu
игорь юрьевич бабушкин,イゴール・ユリエヴィッチ・バーブシュキン,igōru・yurievitchi・bābushukin
света билялова,スヴェタ・ビリヤロワ,suvuェta・biriyarowa
андрей юрьевич липов,アンドレイ・ユーリエヴィチ・リポフ,andorei・yūrievichi・ripofu
никита боголюбов,ニキータ・ボゴリュボフ,nikīta・bogoryubofu
миша бугаев,ミシャ・ブガエフ,misha・bugaefu
даня милохин,ダーニャ・ミロキン,dānya・mirokin
мадина таймазова,マディナ・タイマゾワ,madina・taimazowa
николай ляскин,ニコライ・ラスキン,nikorai・rasukin
габышев прокопьевич,アレクサンドル・ガビシェフ,arekusandoru・gabishefu
альберт разин,アリベルト・ラジン,ariberuto・rajin
павел устинов,パーヴェル・ユスティノフ,pāvuェru・yusutinofu
андрей ивченко,アンドレイ・イヴチェンコ,andorei・ivuchenko
елена осипова,エレーナ・オシポワ,erēna・oshipowa
валерия шабалина,ワレリア・シャバリナ,wareria・shabarina
михаил назарычев,ミハイル・ナザリチェフ,mihairu・nazarichefu
юлия артемьева,イリーナ・アルテミワ,irīna・arutemiwa
роман рубанов,ロマン・ルバノフ,roman・rubanofu
сергей евдокимов,セルゲイ・イェヴドキモフ,serugei・yevudokimofu
геннадий борисов,ゲナディ・ボリソフ,genadi・borisofu
тагир гаджиев,タギール・ガジエフ,tagīru・gajiefu
владимир пономарёв,ヴラジーミル・ポノマリョフ,vurajīmiru・ponomaryofu
демис карибидис,デミス・カリビディス,demisu・karibidisu
маргарита аброськина,マルガリータ・アブロスキナ,marugarīta・aburosukina
иван жарков,イヴァン・ジャルコフ,ivan・jarukofu
ирина дрейт,イリーナ・ドレイト,irīna・doreito
никита златоуст,ニキータ・ズラトウスト,nikīta・zuratousuto
инстасамка,インスタサムカ,insutasamuka
дора,ドラ,dora
борис федосов,ボリス・フェドソフ,borisu・fedosofu
вероника жилина,ベロニカ・ジリナ,beronika・jirina
анастасия гонтарь,アナスタシア・ゴンタル,anasutashia・gontaru
наталья митрофанова,ナタリア・ミトロファノワ,nataria・mitorofanowa
александр хошабаев,アレクサンドル・コシャバエフ,arekusandoru・koshabaefu
радик мухаметзянов,ラディク・ムハメツァノフ,radiku・muhametsanofu
михаил данилюк,ミハイル・ダニリュク,mihairu・daniryuku
мэри рок,メアリー・ロック,mearī・rokku
ирина славина,イリナ・スラヴィナ,irina・suravina
артём иванов,アルテム・イヴァノフ,arutemu・ivanofu
ольга зверева,オルガ・ズベレワ,oruga・zuberewa
роман квашнин,ロマン・クワシュニン,roman・kuwashunin
родион галюченко,ロデオン・ガリュチェンコ,rodeon・garyuchenko
станислав тикунов,スタニスラフ・ティクノフ,sutanisurafu・tikunofu
эдгар севикян,エドガル・セヴィキャン,edogaru・sevikyan
александр шаблий,アレクサンドル・シャブリー,arekusandoru・shaburī
алексей ким,アレクセイ・キム,arekusei・kimu
евгения шевелева,エヴゲニア・シェベレバ,evugenia・shebereba
джулия гранди,ユリア・グランディ,yuria・gurandi
ольга веникова,オルガ・ヴェニコヴァ,oruga・vuェnikova
дарья руденок,ダリヤ・ルデノク,dariya・rudenoku
григорий ратнер,グリゴーリー・ラートネルシ,gurigōrī・rātonerushi
сергей годин,セルゲイ・ゴーディン,serugei・gōdin
дарья жовнер,ダリヤ・ゾヴナー,dariya・zovunā
ольга драгунова,オルガ・ドラグノワ,oruga・doragunowa
артем маркарян,アルテム・マルカリアン,arutemu・marukarian
мухаммад мокаев,ムハンマド・モカエフ,muhanmado・mokaefu
дарья серенко,ダリア・セレンコ,daria・serenko
андрей курганов,アンドレイ・クルガノフ,andorei・kuruganofu
инна королёва,インナ・コロレバ,inna・kororeba
тагир уланбеков,タギル・ウランベコフ,tagiru・uranbekofu
владимир веревочкин,ウラジミール・ベレボチキン,urajimīru・berebochikin
анастасия тодореску,アナスタシア・トドレスク,anasutashia・todoresuku
ильназ галявиев,イルナズ・ガリャヴィエフ,irunazu・garyaviefu
данил щебланов,ダニイル・シュチェブラノフ,daniiru・shucheburanofu
регина биккинина,レジーナ・ビッキニーナ,rejīna・bikkinīna
александра зотова,アレクサンドラ・ゾトワ,arekusandora・zotowa
константин тюкавин,コンスタンティン・チュカヴィン,konsutantin・chukavin
анна дюкова,アンナ・デュコワ,anna・dyukowa
майкл германия,マイケル・ドイツ,maikeru・doitsu
дмитрий чеботарёв,ドミトリー・チェボタレフ,domitorī・chebotarefu
наталия ноздрина,ナタリヤ・ノズドリーナ,natariya・nozudorīna
татьяна бабенкова,タチアナ・バベンコワ,tachiana・babenkowa
ольга озоллапиня,オルガ・オゾラピニャ,oruga・ozorapinya
сергей горошко,セルゲイ・ゴロシコ,serugei・goroshiko
александр гаврилин,アレクサンドル・ガブリリン,arekusandoru・gaburirin
полина майклс,ポリーナ・ブラトキナ,porīna・buratokina
ольга чеботарь,オルガ・セボタリ,oruga・sebotari
игорь конюков,イゴール・コニュコフ,igōru・konyukofu
ксения галицкая,クセニヤ・ガリツカヤ,kuseniya・garitsukaya
арсен захарян,アルセン・ザハリャン,arusen・zaharyan
максим мухин,マクシム・ムヒン,makushimu・muhin
мария ахметзянова,マリア・アクメツィアノフ,maria・akumetsianofu
анастасия талызина,アナスタシア・タリジナ,anasutashia・tarijina
алена швиденкова,アリョナ・シュビデンコワ,aryona・shubidenkowa
евгения феофилактова,エフゲニア・フェオフィラクトワ,efugenia・feofirakutowa
алёна аурум,アレナ・フェドトワ,arena・fedotowa
максим браматкин,マクシム・ブラマトキン,makushimu・buramatokin
мария певчих,マリア・ペフチフ,maria・pefuchifu
диомид виноградов,ディオミド・ヴィノグラドフ,diomido・vinoguradofu
дмитрий лысенков,ドミトリー・リセンコフ,domitorī・risenkofu
дмитрий поднозов,ディミトリー・ポドノゾフ,dimitorī・podonozofu
дарья навальная,ダリア・ナヴァリナヤ,daria・navarinaya
абуладзе джумберович,ヤゴ・アブラゼ,yago・aburaze
алексей михайлов,アレクセイ・ミハイロフ,arekusei・mihairofu
хабиб,ザビブ,zabibu
григорий климентьев,グリゴリー・クリメンテフ,gurigorī・kurimentefu
светлана кривоногих,スヴェトラーナ・クリヴォノギク,suvuェtorāna・kurivuォnogiku
луиза розова,ルイーザ・ロゾヴァ,ruīza・rozova
леонид нерушенко,レオニード・ネルシェンコ,reonīdo・nerushenko
ольга баскаева,オルガ・バスカエワ,oruga・basukaewa
рамиль ямалеев,ラミル・ヤマレエフ,ramiru・yamareefu
алессандра джейн,アレッサンドラ・ジェーン,aressandora・jēn
георгий арапов,ゲオルギー・アラポフ,georugī・arapofu
анастасия жаркова,アナスタシア・ザルコバ,anasutashia・zarukoba
вячеслав гладков,ヴャチェスラフ・グラトコフ,vuャchesurafu・guratokofu
гогилашвили генрихович,オレクサンドル・ゴギラシヴィリ,orekusandoru・gogirashiviri
елена чебатуркина,エレーナ・チェバトゥルキナ,erēna・chebaturukina
владимир александрович глазунов,ウラジーミル・アレクサンドロヴィチ・グラズノフ,urajīmiru・arekusandorovichi・gurazunofu
любовь шепилова,リュボフ・シェピロワ,ryubofu・shepirowa
нина ракова,ニーナ・ラコワ,nīna・rakowa
иван фоминов,イワン・フォミノフ,iwan・fominofu
кира коваленко,キラ・コヴァレンコ,kira・kovarenko
михаил львович шеломов,ミハイル・ルヴォヴィッチ・シェロモフ,mihairu・ruvuォvitchi・sheromofu
маха горячёва,マハ・ゴリヤチェワ,maha・goriyachewa
эльдар калимулин,エルダー・カリムリン,erudā・karimurin
дмитрий куплинов,ドミトリー・クプリノフ,domitorī・kupurinofu
владимир осечкин,ウラジーミル・オセチキン,urajīmiru・osechikin
алексей борисович журавлёв,アレクセイ・ボリソヴィチ・ジュラヴリョフ,arekusei・borisovichi・juravuryofu
захар навальный,ザハル・ナヴァーリヌイ,zaharu・navārinui
любовь ивановна шеломова,リュボフ・イワノフナ・シェロモワ,ryubofu・iwanofuna・sheromowa
анатолий сирин,アナトリ・シリン,anatori・shirin
ян петровский,ヤン・ペトロフスキー,yan・petorofusukī
егор просвирнин,イェゴール・プロスヴィルニン,yegōru・purosuvirunin
борис бондарев,ボリス・ボンダレフ,borisu・bondarefu
канамат боташев,カナマト・ボタシェフ,kanamato・botashefu
анна асти,アンナ・アスティ,anna・asuti
татьяна рассказова,タチアナ・ラスカゾワ,tachiana・rasukazowa
александр кречмер,アレクサンドル・クレッチマー,arekusandoru・kuretchimā
дарья дугина,ダリヤ・ドゥーギナ,dariya・dūgina
софья акатьева,ソフィア・アカチエワ,sofia・akachiewa
антон шаврин,アントン・シャブリン,anton・shaburin
софья ардова,ソフィア・アルドヴァ,sofia・arudova
александр шаврин,アレクサンドル・シャブリン,arekusandoru・shaburin
валерий ковалёв,ヴァレリー・コヴァリョフ,varerī・kovaryofu
артём светлов,アルチョム・スヴェトロフ,aruchomu・suvuェtorofu
роман кутузов,ロマン・クトゥーゾフ,roman・kutūzofu
виталий хоценко,ヴィタリー・ホツェンコ,vitarī・hotsenko
дмитрий поляновский,ドミトリー・ポリアノフスキー,domitorī・porianofusukī
андрей пынзару,アンドレイ・ピンザル,andorei・pinzaru
андрей суховецкий,アンドレイ・スホヴェツキー,andorei・suhovuェtsukī
павел филатьев,パベル・フィラフィエフ,paberu・firafiefu
мария мелена,マリア・リャブシキナ,maria・ryabushikina
ольга колобова,オルガ・コロボワ,oruga・korobowa
александр мичков,アレクサンドル・ミチコフ,arekusandoru・michikofu
александр говор,アレクサンドル・ゴヴォル,arekusandoru・govuォru
субил арк,スビル・アーチ,subiru・āchi
тимо харди,ティモ・ハーディー,timo・hādī
игорь мангушев,イーゴリ・マングシェフ,īgori・mangushefu
елизавета янковская,イリザベタ・ヤンコフスカヤ,irizabeta・yankofusukaya
хасбулла магомедов,ハスブッラ・マゴメドフ,hasuburra・magomedofu
иван печорин,イヴァン・ペチョーリン,ivan・pechōrin
андрей палий,アンドレイ・パリイ,andorei・parii
алексей шаров,アレクセイ・シャロフ,arekusei・sharofu
иван синцов,イヴァン・シンツォフ,ivan・shintsofu
денис сивцев,デニス・シヴツェフ,denisu・shivutsefu
евгений ребич,エフゲニー・レビック,efugenī・rebikku
николай песков,ニコライ・ペスコフ,nikorai・pesukofu
сухарев владимирович,セルゲイ・スハレフ,serugei・suharefu
мордвичев николаевич,アンドレイ・モルドヴィチェフ,andorei・morudovichefu
олеся би,オレーシャ・バイ,orēsha・bai
виктория корлякова,ヴィクトリヤ・コルリャコワ,vikutoriya・koruryakowa
ирена кузнецов,イレーナ・クズネツォフ,irēna・kuzunetsofu
андрей колесников,アンドレイ・コレスニコフ,andorei・koresunikofu
галина данильченко,ガリーナ・ダニルチェンコ,garīna・daniruchenko
олег митяев,オレグ・ミチャイェフ,oregu・michayefu
марина овсянникова,マリーナ・オフシャンニコワ,marīna・ofushannikowa
линда лапиньш,リンダ・ラピンシュ,rinda・rapinshu
сергей ланбамин,セルゲイ・ランバミン,serugei・ranbamin
павел попов,パーヴェル・ポポフ,pāvuェru・popofu
владимир хромченков,ウラジミール・クロムチェンコフ,urajimīru・kuromuchenkofu
оксана баулина,オクサナ・バウリナ,okusana・baurina
анатолий бледный,アナトリイ・ブレドニー,anatorii・buredonī
александра бледная,アレクサンドラ・ブレドナヤ,arekusandora・buredonaya
денис никитин,デニス・ニキーチン,denisu・nikīchin
азатбек омурбеков,アザトベク・オムルベコフ,azatobeku・omurubekofu
полина лунегова,ポリナ・ルネゴワ,porina・runegowa
валерий марьянов,ヴァレリー・マリオノフ,varerī・marionofu
тимур орагвелидзе,ティムール・オラグヴェリゼ,timūru・oraguvuェrize
юлия довганишина,ユリヤ・ドヴガニシナ,yuriya・dovuganishina
глеб каракулов,グレブ・カラクロフ,gurebu・karakurofu
куприн валериевич,アントン・クプリン,anton・kupurin
дарья трепова,ダーリャ・トレポワ,dārya・torepowa
александра кузенкина,アレクサンドラ・クゼンキナ,arekusandora・kuzenkina
мария валешная,マリア・ヴァレシュナヤ,maria・vareshunaya
степан девонин,ステパン・デヴォニン,sutepan・devuォnin
влада веревко,ウラダ・ベレフコ,urada・berefuko
елена хазанова,エレナ・ハザノワ,erena・hazanowa
фёдор скворцов,ヒョードル・スクヴォルツォフ,hyōdoru・sukuvuォrutsofu
лера антипова,レラ・アンティポワ,rera・antipowa
евгений нужин,イェフゲニー・ヌジン,yefugenī・nujin
павел рассомахин,パベル・ラソマヒン,paberu・rasomahin
виолетта пригожина,ヴィオレッタ・プリゴジナ,vioretta・purigojina
полина пригожина,ポリーナ・プリゴジナ,porīna・purigojina
любовь пригожина,リューボフ・プリゴジナ,ryūbofu・purigojina
павел пригожин,パーヴェル・プリゴジン,pāvuェru・purigojin
вероника пригожина,ヴェロニカ・プリゴジナ,vuェronika・purigojina
елизавета пурис,エリザベータ・プリス,erizabēta・purisu
иван попов,イヴァン・ポポフ,ivan・popofu
молодой платон,モロドジ・プラトン,morodoji・puraton
богдан лисевский,ボグダン・リセフスキー,bogudan・risefusukī
александра велескевич,アレクサンドラ・ヴェレスケビッチ,arekusandora・vuェresukebitchi
константин шелягин,コンスタンチン・シェリャギン,konsutanchin・sheryagin
алексей базанов,アレクセイ・バザノフ,arekusei・bazanofu
александр аравушкин,アレクサンドル・アラヴシュキン,arekusandoru・aravushukin
сергей горячев,セルゲイ・ゴリャチェフ,serugei・goryachefu
фаиль алсынов,ファイル・アルシノフ,fairu・arushinofu
владимир лукьянчиков,ウラジミール・ルキャンチコフ,urajimīru・rukyanchikofu
николай мачульский,ニコライ・マチュルスキー,nikorai・machurusukī
барасби мулаев,バラスビ・ムラエフ,barasubi・muraefu
филимонов юрьевич,ゲオルギー・フィリモノフ,georugī・firimonofu
константин адаев,コンスタンチン・アダエフ,konsutanchin・adaefu
мигран агеян,ミグラン・アゲヤン,miguran・ageyan
анатолий навальный,アナトリー・ナヴァーリヌイ,anatorī・navārinui
людмила навальная,リュドミラ・ナヴァリナヤ,ryudomira・navarinaya
влад порфиров,ヴラド・ポルフィロフ,vurado・porufirofu
татьяна черкасова,タチアナ・チェルカソワ,tachiana・cherukasowa
виктор афзалов,ヴィクトル・アフザロフ,vikutoru・afuzarofu
валерий чекалов,ヴァレリー・チェカロフ,varerī・chekarofu
николай ноздрев,ニコライ・ノズドリェフ,nikorai・nozudoriェfu
игорь грабузов,イーゴリ・グラブゾフ,īgori・gurabuzofu
галина надеждина,ガリーナ・ナデジディナ,garīna・nadejidina
олег гаас,オレグ・ガース,oregu・gāsu
ауэс гонибов,アウエス・ゴニボフ,auesu・gonibofu
ахмед шад,アーメド・シャッド,āmedo・shaddo
андрей морозов,アンドレイ・モロゾフ,andorei・morozofu
михаил белякович,ミハイル・ベリャコービッチ,mihairu・beryakōbitchi
абу нурадин рустамов,アブ・ヌラディン・ルスタモフ,abu・nuradin・rusutamofu
полина меньших,ポリーナ・メンシク,porīna・menshiku
ринат абушаев,リナト・アブシャエフ,rinato・abushaefu
денис кукояка,デニス・クコヤカ,denisu・kukoyaka
екатерина дунцова,イェカチェリーナ・ドゥンツォワ,yekacherīna・duntsowa
асхаб тамаев,アスカブ・タマエフ,asukabu・tamaefu
волчанск,ヴォルチャンスク,vuォruchansuku
владимир,ウラジーミル,urajīmiru
аксай,アクサイ,akusai
алагир,アラギル,aragiru
алапаевск,アラパエフスク,arapaefusuku
алатырь,アラーティリ,arātiri
арамиль,アラミリ,aramiri
родиловка,ロディロフカ,rodirofuka
бабушкин,バブシキン,babushikin
аша,アシャ,asha
аткарск,アトカルスク,atokarusuku
лебяжье,レビャジエ,rebyajie
балаково,バラコヴォ,barakovuォ
надым,ナディム,nadimu
лесогорский,レソゴルスキー,resogorusukī
дубровка,ドゥブロフカ,duburofuka
балашов,バラショフ,barashofu
балей,バレイ,barei
белая калитва,ベラヤ・カリトワ,beraya・karitowa
белебей,ベレベイ,berebei
бердск,ベルツク,berutsuku
белово,ベロヴォ,berovuォ
белорецк,ベロレツク,beroretsuku
белоярский,ベロヤルスク,beroyarusuku
бирск,ビルスク,birusuku
богородск,ボゴロツク,bogorotsuku
боготол,ボゴトル,bogotoru
борзя,ボルジャ,boruja
георгиевск,ゲオルギエフスク,georugiefusuku
болотное,ボロトノエ,borotonoe
донецк,ドネツク,donetsuku
центральный стадион,セントラル・スタジアム,sentoraru・sutajiamu
семилуки,セミルキ,semiruki
калиновка,カルィーニウカ,karuィーniuka
судак,スダク,sudaku
урюпинск,ウリュピンスク,uryupinsuku
чернушка,チェルヌシュカ,cherunushuka
кириши,キリシ,kirishi
тувинцы,トゥバゾク,tubazoku
россошь,ロッソーシ,rossōshi
рассказово,ラスカゾヴォ,rasukazovuォ
ртищево,ルチシチェヴォ,ruchishichevuォ
ганина яма,ガニナ・ヤマ,ganina・yama
свирск,スヴィルスク,suvirusuku
саяногорск,サヤノゴルスク,sayanogorusuku
сатка,サトカ,satoka
рузаевка,ルザエヴカ,ruzaevuka
салаир,サライル,sarairu
сальск,サリスク,sarisuku
светлоград,スヴェトログラード,suvuェtorogurādo
сегежа,セガジャ,segaja
