andrzej wajda,アンジェイ・ワイダ,anjei・waida
swarzędz,スヴァルゼンツ,suvaruzentsu
pobiedziska,ポビエジスカ,pobiejisuka
kluczbork,クルジュボルク,kurujuboruku
autosan,オートサン,ōtosan
śródmieście,シルドミエシチェ,shirudomieshiche
bemowo,ベモウォ,bemowo
chodzież,ホジェシ,hojeshi
orlica,オルリツェ,oruritse
małopolska,ショウポーランド,shoupōrando
murowana goślina,ムロバナ・ゴシリナ,murobana・goshirina
mosina,モシカ,moshika
luboń,ルーボン,rūbon
konin,コニン,konin
wąchock,ヴォンホツク,vuォnhotsuku
kościan,コシチャン,koshichan
września,ヴゼスニャグン,vuzesunyagun
szamotuły,シャモツリ,shamotsuri
biedrusko,ヴァルテラーガーエンシュウジョウ,varuterāgāenshuujou
suchy las,スヒ・ラス,suhi・rasu
kórnik,クールニク,kūruniku
grodzisk wielkopolski,グロジスク・ヴィェルコポルスキ,gurojisuku・viェrukoporusuki
jarocin,ヤロチン,yarochin
operacja wschodniokarpacka,カルパティア・デュクラサクセン,karupatia・dyukurasakusen
pułtusk,プルツスク,purutsusuku
szczebrzeszyn,シュチェブジェシン,shuchebujeshin
środa wielkopolska,シュロダ・ヴィエルコポルスカ,shuroda・vierukoporusuka
golińsk,ゴリンスク,gorinsuku
biskupiec,ビスクピェツ,bisukupiェtsu
pogorzela,ポゴジェラ,pogojera
dębno,デンブノ,denbuno
kutno,クトノ,kutono
zielonka,ジェロンカ,jeronka
spisz,スピシュ,supishu
żuromin,ジュロミン,juromin
żmigród,ジュミグルト,jumiguruto
ziębice,ジェンビツェ,jenbitse
wielkopolska,グレーターポーランド,gurētāpōrando
żelechów,ジェレフフ,jerefufu
biała podlaska,ビャワ・ポドラスカ,byawa・podorasuka
żychlin,ジフリン,jifurin
górnik konin,グールニク・コニン,gūruniku・konin
kazimierz,カジミェシュ,kajimiェshu
pieszyce,ピエシツェ,pieshitse
murcki,ムルキ,muruki
radziwiłłowie,ラジヴィウカ,rajiviuka
gostyń,ゴスティン,gosutin
znicz pruszków,ズニチュ・プルシュクフ,zunichu・purushukufu
tuszyn,トゥシン,tushin
lwówek śląski,ルヴヴェック・シロンスキ,ruvuvuェkku・shironsuki
beskidy,ベスキディサンミャク,besukidisanmyaku
stoczek łukowski,ストシェク・ウコフスキ,sutosheku・ukofusuki
kamienna góra,カミェンナ・グラ,kamiェnna・gura
pyrzyce,ピージツェ,pījitse
air polonia,エア・ポロニア,ea・poronia
lewin brzeski,レヴィン・ブジェスキ,revin・bujesuki
myszyniec,ミシニエツ,mishinietsu
pińczów,ピンツフ,pintsufu
opatów,オパトゥフ,opatufu
nowa ruda,ノヴァ・ルダ,nova・ruda
warka,ヴァルカ,varuka
strzegom,シュツェゴム,shutsegomu
polkowice,ポルコヴィツェ,porukovitse
płońsk,プウォニスク,puwonisuku
złocieniec,ズウォチェニェツ,zuwocheniェtsu
złote tarasy,ズウォティ・タラスィ,zuwoti・tarasi
kargowa,カルゴヴァ,karugova
oxford tower,オクスフォード・タワー,okusufōdo・tawā
ząbkowice śląskie,ゾンプコヴィツェ・シロンスキエ,zonpukovitse・shironsukie
ząbki,ゾンブキ,zonbuki
złoty stok,ズウォティ・ストク,zuwoti・sutoku
złotów,ズウォトゥフ,zuwotufu
krzyżowa,クルジゾワ,kurujizowa
kłodzko,クウォツコ,kuwotsuko
międzychód,ミェンジフト,miェnjifuto
polsat,ポルサット,porusatto
jedwabne,イェドヴァブネ,yedovabune
euroregion silesia,シレジア・ユーロリージョン,shirejia・yūrorījon
krosnowice,レンゲルスドルフ,rengerusudorufu
pleszew,プレシェフ,pureshefu
powiat kędzierzyńskokozielski,ケンジェジン・コジレグン,kenjejin・kojiregun
będzin,ベンジン,benjin
staniszów,スタニシュフ,sutanishufu
ładzin,ワジン,wajin
stryków,ストリクフ,sutorikufu
banie,バニェ,baniェ
gęsiówka,ゲンシュフカカンゴク,genshufukakangoku
lubań,ルバニ,rubani
gołuchów,グウフフ,guufufu
jarszewko,ヤルシェフコ,yarushefuko
bogatynia,ボガティニャ,bogatinya
przygodzice,プジィゴジツェ,pujiィgojitse
amica wronki,アミカ・ウロンキ,amika・uronki
polsat warsaw open,オレンジ・ワルシャワ・オープン,orenji・warushawa・ōpun
łęki małe,ウェンキ・マウェ,wenki・mawe
mszczonów,ムシチョヌフ,mushichonufu
nowy dwór gdański,ノヴィ・ドヴォル・グダニスキ,novi・dovuォru・gudanisuki
chojnów,ホイヌフ,hoinufu
gromada,グロマダ,guromada
odry,オードリー,ōdorī
cieszeniewo,チェシェニエヴォ,cheshenievuォ
niedzica,ニェジツァ,niェjitsa
osie,オシェ,oshe
sulików,スリクフ,surikufu
śląsk cieszyński,チェシン・シレジア,cheshin・shirejia
żoliborz,ジョリボルシェ,joriborushe
pogezania,ポゲサニア,pogesania
radzymin,ラジミン,rajimin
powiat tomaszowski,トマシュフ・マゾヴィエツキグン,tomashufu・mazovietsukigun
darłowo,リューゲンヴァルデ,ryūgenvarude
roś,ロシコ,roshiko
karpacz,カルパチュ,karupachu
brańsk,ブリヤンスク,buriyansuku
frombork,フロンボルク,furonboruku
wodzisław śląski,ヴォジスワフ・スラースキ,vuォjisuwafu・surāsuki
rzeplin,ジェプリン,jepurin
euroregion pomerania,ユーロリージョン・ポメラニア,yūrorījon・pomerania
kiwity,キビティ,kibiti
fürstengrube,フュルステングルーベ,fyurusutengurūbe
mysłakowice,ミスワコヴィツェ,misuwakovitse
gubin,グーベン,gūben
uniejów,ウニェユフ,uniェyufu
lusówko,ルソーヴォ,rusōvuォ
lesko,レスコ,resuko
sękowa,センコヴァ,senkova
jastarnia,ヤスタルニア,yasutarunia
trzcińskozdrój,シェーンフリース,shēnfurīsu
resko,レスコ,resuko
bisztynek,ビスティーネック,bisutīnekku
dziwna,ジヴナワン,jivunawan
włoszczowa,ヴウォシュチョヴァ,vuwoshuchova
riese,リースケイカク,rīsukeikaku
łęknica,ウェンクニツァ,wenkunitsa
balice,バリツェ,baritse
biłgoraj,ビウゴライ,biugorai
jordanów,ヨルダヌフ,yorudanufu
euroregion nysa,ナイセ・ユーロリージョン,naise・yūrorījon
soldau,ゾルダウキョウセイシュウヨウショ,zorudaukyouseishuuyousho
sępólno krajeńskie,センプルノ・クライェンスキエ,senpuruno・kurayensukie
morąg,モロンク,moronku
serock,セロク,seroku
anwil włocławek,アンウェル・ウォロクラウィック,anweru・worokurawikku
oleśnica,オレシニッツァ,oreshinittsa
siedlce,シェドルツェ,shedorutse
cichociemni,チホチェムニ,chihochemuni
łask,ワスク,wasuku
nidzica,ニジツァ,nijitsa
kożuchów,コジュホフ,kojuhofu
trzciel,ティルシュティーゲル,tirushutīgeru
myślenice,ミシレニツェ,mishirenitse
mogilno,モギルノ,mogiruno
wrzeszcz,ブジェシュチ,bujeshuchi
limanowa,リマノヴァ,rimanova
aleksandrów kujawski,アレクサンドルフ・クヤフスキ,arekusandorufu・kuyafusuki
szczodre,ジビレノルト,jibirenoruto
wieruszów,ヴィェルシュフ,viェrushufu
łęczyca,レンツィカ,rentsika
wielka racza,ヴェリカー・ラチャ,vuェrikā・racha
trzebiatów,トレプトウ,toreputou
lipno,リプノ,ripuno
miechów,ミエフフ,miefufu
żnin,ジュニン,junin
śnieżka,スニェシュカサン,suniェshukasan
ryn,リン,rin
suchowola,スホヴォラ,suhovuォra
zaniemyśl,ザニエミシル,zaniemishiru
rypin,リピン,ripin
kwidzyn,クフィジン,kufijin
międzyzdroje,ミエンジズドロイェ,mienjizudoroye
kaszuby,カシュバイ,kashubai
policja,ポーランドケイサツ,pōrandokeisatsu
niwica,ニビツァ,nibitsa
ćmielów,チミェルフ,chimiェrufu
radymno,ラジムノ,rajimuno
ropczyce,ロプツィツェ,roputsitse
wysokie mazowieckie,ヴィソキェ・マゾヴィエツキェ,visokiェ・mazovietsukiェ
grajewo,グライェヴォ,gurayevuォ
łagów,ワグフ,wagufu
bolimów,ボリモウ,borimou
żary,ルブシュケン,rubushuken
zawiercie,ザヴィエルチェ,zavieruche
czersk,チェルスク,cherusuku
ozorków,オゾルクフ,ozorukufu
instytut adama mickiewicza,アダム・ミツキェヴィチ・インスティテュート,adamu・mitsukiェvichi・insutityūto
giecz,ギエチ,giechi
łańcut,ワンツト,wantsuto
łeba,ウェバ,weba
brody,ブロディ,burodi
łodwigowo,ウォドヴィゴヴォ,wodovigovuォ
michniów,ミフニュフ,mifunyufu
krzemieniec,クレメネック,kuremenekku
trawniki,トラヴニキ,toravuniki
łobżenica,ウォブジェニツァ,wobujenitsa
puck,プツィッヒ,putsihhi
łubnice,ウブニツェ,ubunitse
rail baltica,レール・バルティカ,rēru・barutika
workcamp,ワークキャンプ,wākukyanpu
koźle,コーゼル,kōzeru
wińsko,ビンスコ,binsuko
szczyrk,シチィルク,shichiィruku
pomezania,ポメサニア,pomesania
garwolin,ガルボリン,garuborin
beskid śląski,ベスキト・シロンスクサンミャク,besukito・shironsukusanmyaku
biernatka,ビエルナトカ,bierunatoka
kolno,コルノ,koruno
krasnystaw,クラスニスタフ,kurasunisutafu
prostki,プロストキ,purosutoki
kamień śląski,グロース・シュタイン,gurōsu・shutain
wojnowo,ヴォイノヴォ,vuォinovuォ
istebna,イステブナ,isutebuna
bolesławiec,ボレスワヴィエツ,boresuwavietsu
kozy,コジ,koji
nowa sól,ノヴァ・スル,nova・suru
pabianice,パビアニツェ,pabianitse
tomaszów mazowiecki,トマシュフ・マゾヴィエツキ,tomashufu・mazovietsuki
stettiner oderwerke,シュテッティナー・オーデルヴェルケ,shutettinā・ōderuvuェruke
sieniawa,シーニャワ,shīnyawa
iwkowa,イフコバ,ifukoba
myślibórz,ミュシュリーブーシュ,myushurībūshu
stęszew,ステンシェフ,sutenshefu
osieczna,オシェチュナ,oshechuna
oborniki,オボルニキ,oboruniki
słupca,スルプツァ,suruputsa
ogrodzieniec,オグロジェニェツ,ogurojeniェtsu
kozłowo,コズウォボ,kozuwobo
golczewo,ゴルツェヴォ,gorutsevuォ
łąka prudnicka,ウォンカ・プルドニツカ,wonka・purudonitsuka
łęczna,ウェンチュナ,wenchuna
płośnica,プウォシニツァ,puwoshinitsa
kartuzy,カルトゥジ,karutuji
choszczno,ホシュチュノ,hoshuchuno
rajcza,ライチャ,raicha
międzyrzecz,ミエンジジェチュ,mienjijechu
kępno,ケンプノ,kenpuno
biały dunajec,ビャウィ・ドゥナイェツ,byawi・dunayetsu
kamień pomorski,カミエン・ポモルスキ,kamien・pomorusuki
pieńsk,ピェンスク,piェnsuku
krasiejów,クラシェロー,kurasherō
pstrążna,プストロンジュナ,pusutoronjuna
człuchów,チュウフフ,chuufufu
wolbórz,ボルブシュ,borubushu
ostrzeszów,オスチェシュフ,osucheshufu
kielcza,キェルチャ,kiェrucha
sławno,スワヴノ,suwavuno
skarżyskokamienna,スカルジスコカミェンナ,sukarujisukokamiェnna
złotoryja,ズウォトリヤ,zuwotoriya
mazowsze,マソヴィア,masovia
białogard,ビャウォガルト,byawogaruto
świdnik,シフィドニク,shifidoniku
nowe,ノヴェ,novuェ
świecie,シュヴェツ,shuvuェtsu
środa śląska,シロダ・シロンスカ,shiroda・shironsuka
godkowo,ゴトコボ,gotokobo
goleszów,ゴレシュフ,goreshufu
szprotawa,シュポロタヴァ,shuporotava
świdnica,シフィドニツァ,shifidonitsa
świdwin,シフィドビン,shifidobin
święciechowa,シフィエンチェホバ,shifienchehoba
dorohusk,ドロフスク,dorofusuku
barciany,バルチャニ,baruchani
ślęża,シュレンジャサン,shurenjasan
śmigiel,シミギェル,shimigiェru
świebodzice,シュフィエボジツェ,shufiebojitse
świebodzin,シフィエボジン,shifiebojin
mińsk mazowiecki,ミンスク・マゾヴィエツキ,minsuku・mazovietsuki
jaćwież,スドヴィア,sudovia
kruszwica,クルシュビツァ,kurushubitsa
kliszów,クリシュフ,kurishufu
karpniki,カルプニキ,karupuniki
ziemia lubuska,ズィーミア・ルブシュカ,zīmia・rubushuka
świętoszów,シフィエントシュフ,shifientoshufu
chlewiska,フレヴィスカ,furevisuka
mielnik,ミエルニク,mieruniku
akademia zamojska,ザモシチ・アカデミー,zamoshichi・akademī
chojnice,ホイニチェ,hoiniche
asseco gdynia,アセコ・ジニア,aseko・jinia
gryfice,グリフィツェ,gurifitse
sucha beskidzka,スハ・ベスキツカ,suha・besukitsuka
mielec,ミェレツ,miェretsu
piaseczno,ピアセチュノ,piasechuno
ciechanów,チェハヌフ,chehanufu
otwock,オトヴォツク,otovuォtsuku
babimost,バビモスト,babimosuto
zbąszyń,ズボンシン,zubonshin
zbąszynek,ズボンシネク,zubonshineku
cartoon network,カートゥーン・ネットワーク,kātūn・nettowāku
barlinek,バルリネク,barurineku
lubaczów,ルバチュフ,rubachufu
barczewo,バルチェボ,baruchebo
baranów sandomierski,バラヌフ・サンドミェルスキ,baranufu・sandomiェrusuki
łubniany,ウブニャニ,ubunyani
trzebieszewo,チェビェシェヴォ,chebiェshevuォ
wołomin,ヴォウォミン,vuォwomin
sieradz,シェラツ,sheratsu
burmistrz,シュリョウ,shuryou
nowe miasto lubawskie,ノベ・ミアスト・ルバフスキエ,nobe・miasuto・rubafusukie
pisarzowice,シュライバースドルフ,shuraibāsudorufu
odolanów,オドラヌフ,odoranufu
zduny,ズドゥニ,zuduni
zduńska wola,ズドゥニスカ・ヴォラ,zudunisuka・vuォra
bogacica,ボガチツァ,bogachitsa
uniechów,ウニエフフ,uniefufu
mazury,マズルィ,mazuruィ
sokółka,ソクウカ,sokuuka
węgorzewo,ヴェンゴジェヴォ,vuェngojevuォ
szklarska poręba,シュクラルスカ・ポレンバ,shukurarusuka・porenba
bartoszyce,バーテンシュタイン,bātenshutain
podlasie,ポドラシェ,podorashe
sejny,セイヌィ,seinuィ
krosno,クロスノ,kurosuno
gryfino,グリフィノ,gurifino
włodawa,ヴウォダヴァ,vuwodava
knyszyn,クニシン,kunishin
buk,ブク,buku
lidzbark warmiński,リズバルク・ヴァルミンスキ,rizubaruku・varuminsuki
stalowa wola,スタロヴァ・ヴォラ,sutarova・vuォra
rudna,ルドナ,rudona
krasnosielc,クラスノシェルツ,kurasunosherutsu
horodło,ホロドウォ,horodowo
trzcianka,チチャンカ,chichanka
wałcz,バウチェ,bauche
oborniki śląskie,オボルニキ・シロンスキェ,oboruniki・shironsukiェ
kujawy,クヤヴィ,kuyavi
smocza jama,スモチャ・ヤマ,sumocha・yama
strzyżów,ストシジュフ,sutoshijufu
drezdenko,ドレズデンコ,dorezudenko
władysławowo,ヴワディスワヴォヴォ,vuwadisuwavuォvuォ
przasnysz,プシャスヌィシュ,pushasunuィshu
krynica morska,クリュィニツァ・モルスカ,kuryuィnitsa・morusuka
kościerzyna,コシュチェジナ,koshuchejina
gostynin,ゴスティニン,gosutinin
mława,ムワヴァ,muwava
atlas arena,アトラス・アリーナ,atorasu・arīna
bohoniki,ボホニキ,bohoniki
przeworsk,プジェヴォルスク,pujevuォrusuku
krapkowice,クラピッツ,kurapittsu
dęblin,デンブリン,denburin
mierzanowo,ミェジャノヴォ,miェjanovuォ
kruszyniany,クルシニャーニ,kurushinyāni
maków mazowiecki,マクフ・マゾビエツキ,makufu・mazobietsuki
reda,レダ,reda
kołbacz,コウバチ,koubachi
swobnica,スフォブニツァ,sufobunitsa
gronowo elbląskie,グロノボ・エルブロンスキエ,guronobo・eruburonsukie
ostrów mazowiecka,オストロフ・マゾヴィエツカ,osutorofu・mazovietsuka
potulice,ポトゥリチェ,poturiche
nisko,ニスコ,nisuko
krotoszyn,クロトシン,kurotoshin
borowy las,ボロウィ・ラス,borowi・rasu
smreczyński staw,スムレチニスキ・スタフコ,sumurechinisuki・sutafuko
newag,ネヴァグ,nevagu
piecki,ピエツキ,pietsuki
rychliki,リフリキ,rifuriki
piątek,ピョンテク,pyonteku
czaplinek,チャプリネク,chapurineku
grodków,グロトクフ,gurotokufu
jasło,ヤスウォ,yasuwo
szczecinek,シュチェチネク,shuchechineku
pieniężno,ピエニエンジノ,pienienjino
wiślica,ヴィスリツァ,visuritsa
chełmża,ヘウムジャ,heumuja
bielsk podlaski,ビエルスク・ポドラスキ,bierusuku・podorasuki
markusy,マルクシ,marukushi
koźmin wielkopolski,コジミン・ヴィエルコポルスキ,kojimin・vierukoporusuki
popielno,ポピェルノ,popiェruno
olkusz,オルクシュ,orukushu
konarzewo,クニープホフ,kunīpuhofu
jonkowo,ヨンコボ,yonkobo
wolsztyn,ヴォルシュティン,vuォrushutin
polandrock festival,プレジィスタネク・ウッドストック,purejiィsutaneku・uddosutokku
mokra,モルカ,moruka
centrum lim,ホテル・マリオット,hoteru・mariotto
sieczychy,シェチヒ,shechihi
białoczerwone iskry,ビアノチェルバーノ・イスクリ,bianocherubāno・isukuri
białochowo,ビャウォホヴォ,byawohovuォ
dębica,デンビツァ,denbitsa
drohiczyn,ドロヒチン,dorohichin
gołdap,ゴウダプ,goudapu
kwitajny,クフィタイニ,kufitaini
pisz,ピシュ,pishu
bielany,ビエラニー,bieranī
bielawa,ランゲンビーラウ,rangenbīrau
białołęka,ビャウォウェンカ,byawowenka
biały kamień,ビャウィ・カーミェン,byawi・kāmiェn
nieszawa,ニエスザワ,niesuzawa
lipowina,リポヴィナ,ripovina
kozłów biskupi,コズウフ・ビスクピ,kozuufu・bisukupi
ulanów,ウラヌフ,uranufu
wilamowice,ヴィラモヴィツェ,viramovitse
bierawa,ビエラヴァ,bierava
biskupia górka,ビスクピア・グルカ,bisukupia・guruka
gorlice,ゴルリツェ,goruritse
lubliniec,ルブリニェツ,ruburiniェtsu
olecko,オレツコ,oretsuko
muszynianka muszyna,ムシニアンカ・ムシナ,mushinianka・mushina
kramsk,クラムスク,kuramusuku
milejewo,ミレイェボ,mireyebo
rydułtowy,リドゥウトビ,riduutobi
pszczyna,プシュチナ,pushuchina
ciechocinek,チェホチネク,chehochineku
przysucha,プシスハ,pushisuha
józefów,ユゼフフ,yuzefufu
binarowa,ビナロヴァ,binarova
kamieniec ząbkowicki,カミェニエツ・ゾンプコヴィツキ,kamiェnietsu・zonpukovitsuki
bierutów,ビエルートゥフ,bierūtufu
brodnica,ブロドニツァ,burodonitsa
nowy dwór mazowiecki,ノヴィ・ドヴォル・マゾヴィエツキ,novi・dovuォru・mazovietsuki
kowary,コヴァルィ,kovaruィ
grybów,グリブフ,guribufu
kiełczygłów,キエウチグウフ,kieuchiguufu
redłowo,レドウォボ,redowobo
sulmierzyce,スルミエジツェ,surumiejitse
walewice,ヴァレヴィツェ,varevitse
tatry wysokie,ビソケ・タトリ,bisoke・tatori
klecina,クレチナ,kurechina
sołtys,シュルトハイス,shurutohaisu
baborówko,バボロフコ,baborofuko
głogówek,グウォグベク,guwogubeku
szczytno,シュチトノ,shuchitono
cedynia,ツェディニャ,tsedinya
chojna,ホイナ,hoina
głuszyca,ヴェステギアースドルフ,vuェsutegiāsudorufu
reszel,レシェル,resheru
poniatowa,ポニャトーヴァ,ponyatōva
olesno,オレスノ,oresuno
rudy,ルディ,rudi
sanniki,サンニキ,sanniki
siemkowice,シェムコビツェ,shemukobitse
jarosław,ヤロスワフ,yarosuwafu
namysłów,ナミスウフ,namisuufu
milicz,ミリチュ,mirichu
bojanowo,ボヤノヴォ,boyanovuォ
rogoźno,ロゴジノ,rogojino
górowo iławeckie,ゴローボ・イワウェツキ,gorōbo・iwawetsuki
susz,スシュ,sushu
głubczyce,グブツィツェ,gubutsitse
sulęcin,スレンチン,surenchin
ludomy,ルドミ,rudomi
polonia bydgoszcz,ポロニア・ブィドゴシュチュ,poronia・buィdogoshuchu
skoczów,スコチュフ,sukochufu
strzelin,シュチュシェリン,shuchusherin
dynów,ドィヌフ,doィnufu
lubawa,ルババ,rubaba
wieleń,ビェレニ,biェreni
polanów,ポラヌフ,poranufu
sieraków,シェラクフ,sherakufu
prabuty,リーゼンブルク,rīzenburuku
paczków,パチクフ,pachikufu
pokój,ポクイ,pokui
burkatów,ブルカトゥフ,burukatufu
końskie,コンスキエ,konsukie
kazimierz dolny,カジミェジュ・ドルニー,kajimiェju・dorunī
bolków,ボルクフ,borukufu
sośnicowice,ソシニツォビツェ,soshinitsobitse
trzebieszowice,クンツェンドルフ,kuntsendorufu
kalinowo,カリノボ,karinobo
koleje śląskie,コレジェ・シレジア,koreje・shirejia
szczuczyn,シチュチン,shichuchin
odra opole,オードラ・オポーレ,ōdora・opōre
trzebnica,チュシェブニツァ,chushebunitsa
pruszcz gdański,プルシュチ・グダンスキ,purushuchi・gudansuki
karlino,カルリノ,karurino
prochowice,プロホビツェ,purohobitse
maszewo,マシェヴォ,mashevuォ
motor lublin,モトル・ルブリン,motoru・ruburin
krzywy domek,クシヴィ・ドメク,kushivi・domeku
wyrzysk,ヴィジスク,vijisuku
wyszków,ビシュクフ,bishukufu
czerwieńsk,チェルビエンスク,cherubiensuku
nowogard,ノヴォガルト,novuォgaruto
miłki,ミウキ,miuki
czernica,チェルニツァ,cherunitsa
pobierowo,ポビエロヴォ,pobierovuォ
dzierżoniów,ジェルジョニュフ,jerujonyufu
ostrowiec świętokrzyski,オストロヴィエツ・スヴィエトクルシスキ,osutorovietsu・suvietokurushisuki
brzeszcze,ブジェシュチェ,bujeshuche
torpedownia,ヘクセングルント,hekusengurunto
orzysz,オジシュ,ojishu
płoskinia,プウォスキニア,puwosukinia
mirosławiec,ミロスワビエツ,mirosuwabietsu
kisielice,キシエリツェ,kishieritse
kozienice,コジェニツェ,kojenitse
pełczyce,ペウチツェ,peuchitse
niepołomice,ニェポウォミツェ,niェpowomitse
mieszkowice,ミェシュコヴィツェ,miェshukovitse
pasłęk,パスウェンク,pasuwenku
jaronty,ヤロンティ,yaronti
sorkwity,ソルクフィティ,sorukufiti
prusy,プロイセン,puroisen
jawor,ヤヴォル,yavuォru
pracze odrzańskie,プラチェ・オドジャニスキェ,purache・odojanisukiェ
długosiodło,ドルゴシドロ,dorugoshidoro
gniewkowo,グニェフコヴォ,guniェfukovuォ
kobylin,コビリン,kobirin
owiesno,オヴィエスノ,oviesuno
oberek,オベレク,obereku
tolkmicko,トルケミット,torukemitto
motoarena toruń,モトアリーナ・トルン,motoarīna・torun
perzów,ペジュフ,pejufu
sas,サス,sasu
noski,ノスキ,nosuki
otyń,クレニツァ,kurenitsa
oława,オワヴァ,owava
dziwnów,ジブヌフ,jibunufu
stary sącz,スタリ・ソンチュ,sutari・sonchu
koprzywnica,コプシヴニツァ,kopushivunitsa
grodzisk mazowiecki,グロジスク・マゾヴィエツキ,gurojisuku・mazovietsuki
kock,コツク,kotsuku
więcbork,ビエンツボルク,bientsuboruku
janów lubelski,ジャヌフ・ルベルスキ,janufu・ruberusuki
libiąż,リビョンシュ,ribyonshu
granica polskorosyjska,ポーランド・ロシアコッキョウ,pōrando・roshiakokkyou
turek,トゥレク,tureku
debrzno,デブジノ,debujino
bystrzyca kłodzka,ビストシツァ・クウォツカ,bisutoshitsa・kuwotsuka
skaryszew,スカリスチェフ,sukarisuchefu
województwo nowosądeckie,ノヴィ・ソンチケン,novi・sonchiken
lubomino,ルボミノ,rubomino
stama,スタマ,sutama
srebrna góra,スレブルナ・グラ,sureburuna・gura
autostrada,アウトストラーダ,autosutorāda
szydłowiec,シドゥオビエツ,shiduobietsu
izbicko,イズビッコ,izubikko
chorzele,ホジェレ,hojere
chmielnik,フミェルニク,fumiェruniku
ciechanowiec,チェハノビエツ,chehanobietsu
jurata,ユラタ,yurata
gorce,ゴルツェレンポウ,gorutserenpou
sztynort,シュティノルト,shutinoruto
brzeg dolny,ブジェク・ドルニ,bujeku・doruni
skwierzyna,スクフィエジナ,sukufiejina
sobótka,ソブトカ,sobutoka
małomice,マウォミツェ,mawomitse
radków,ラトクフ,ratokufu
kuźnica,クジニツァ,kujinitsa
sierpc,シェルプツ,sheruputsu
stadion oporowska,スタディオン・オポロフスカ,sutadion・oporofusuka
brok,ブロク,buroku
witkowo,ビトコボ,bitokobo
różan,ロザン,rozan
euroregion karpacki,カルパチア・ユーロリージョン,karupachia・yūrorījon
szamocin,シャモチン,shamochin
czarny staw pod rysami,チャルニ・スタフ・ポド・ルィサミコ,charuni・sutafu・podo・ruィsamiko
kotwica kołobrzeg,コトフィッツァ・コウォブジェク,kotofittsa・kowobujeku
stadion polonii warszawa,ポロニャ・ワルシャワ・スタジアム,poronya・warushawa・sutajiamu
modlin,モドリン,modorin
wołów,ヴォウフ,vuォufu
orlik opole,オルリク・オポーレ,oruriku・opōre
malinka,ヴィスワマリンカジャンプダイ,visuwamarinkajanpudai
alstom konstal,アルストム・コンスタル,arusutomu・konsutaru
sokołów podlaski,ソコウフ・ポドラスキ,sokoufu・podorasuki
działdowo,ジャウダヴァ,jaudava
haczów,ハチュフ,hachufu
dobrzyń nad wisłą,ドブジン・ナド・ヴィスウォン,dobujin・nado・visuwon
bychawa,ビハヴァ,bihava
kietrz,カトシェール,katoshēru
marki,マルキ,maruki
enter air,エンター・エア,entā・ea
pyrzowice,ピジョヴィツェ,pijovitse
stawiguda,スタビグダ,sutabiguda
nowogrodziec,ノヴォグロジェツ,novuォgurojetsu
polregio,チイキコウツウ,chiikikoutsuu
szczawnica,シュチャヴニツァ,shuchavunitsa
toszek,トセク,toseku
olsztynek,オルシュティネク,orushutineku
prószków,プルシュクフ,purushukufu
stawiszyn,スタビシン,sutabishin
euroregion beskidy,ベスキディ・ユーロリージョン,besukidi・yūrorījon
euroregion pro europa viadrina,プロ・エウロパ・ヴィアドリナ・ユーロリージョン,puro・europa・viadorina・yūrorījon
euroregion śląsk cieszyński,チェシン・シレジア・ユーロリージョン,cheshin・shirejia・yūrorījon
mokotów,モコトフ,mokotofu
euroregion glacensis,ユーロリージョン・グラセンシス,yūrorījon・gurasenshisu
jeziorany,イェジオラニ,yejiorani
trzemeszno,チェメシュノ,chemeshuno
ustroń,ウストロン,usutoron
muszyna,ムシナ,mushina
łuknajno,ウクナイノコ,ukunainoko
niemodlin,ニェモドリン,niェmodorin
wilczęta,ヴィルジェンタ,virujenta
rybno,ルィブノ,ruィbuno
praga,プラガ,puraga
postomino,ポストミノ,posutomino
koniecpol,コニェツポル,koniェtsuporu
dobczyce,ドプチツェ,dopuchitse
kazimierza wielka,カジミエジャ・ビエルカ,kajimieja・bieruka
służba bezpieczeństwa,スルジュバ・ベスピチェインスファ,surujuba・besupicheinsufa
otmuchów,オトムフフ,otomufufu
lidzbark,リズバルク,rizubaruku
czorsztyn,チョルシュティン,chorushutin
czerniejewo,チェルニェイェヴォ,cheruniェyevuォ
kwilcz,クフィルチ,kufiruchi
powidz,ポビツ,pobitsu
lubawka,リバウ,ribau
drzewica,ドジェヴィツァ,dojevitsa
strzelno,ストシェルノ,sutosheruno
przemków,プリムケナウ,purimukenau
małopolski wyścig górski,ツアー・オブ・マウォポルスカ,tsuā・obu・mawoporusuka
młynary,ムウィナリ,muwinari
powiat nowosądecki,ノヴィ・ソンチュグン,novi・sonchugun
lubiszyn,ルビシン,rubishin
lelkowo,レルコヴォ,rerukovuォ
wydminy,ビドミニ,bidomini
jerzmanowa,イェジュマノヴァ,yejumanova
krajna,クライナ,kuraina
janowice wielkie,ヤノヴィツェ・ヴィエルキェ,yanovitse・vierukiェ
działoszyn,ジャウォシン,jawoshin
warcino,バルチノ,baruchino
kazimierz biskupi,カジミエシュ・ビスクピ,kajimieshu・bisukupi
drobin,ドロビン,dorobin
jastrzębski węgiel,ヤストシェンスキ・カーボン,yasutoshensuki・kābon
jazz forum,ジャズ・フォーラム,jazu・fōramu
mielno,ミエルノ,mieruno
raków,ラクフ,rakufu
nowa huta,ノーヴァ・フータ,nōva・fūta
gopło,ゴプウォコ,gopuwoko
fabryczna,ファブリチナ,faburichina
krzyki,クシキ,kushiki
słońsk,スウォンスク,suwonsuku
