angela merkel,앙겔라 메르켈,anggelra mereukel
lucas maius,루카스 마이우스,rukaseu maiuseu
detlef musch,데틀레프 무슈,deteulrepeu musyu
frank plasberg,프랑크 플라스베르크,peurangkeu peulraseubereukeu
dirk lehmann,디르크 레만,direukeu reman
irene müller,이레네 뮐러,irene mwilreo
markus steinhöfer,마르쿠스 슈타인회퍼,mareukuseu syutainhoepeo
oliver kreuzer,올리버 크로이처,olribeo keuroiceo
zora holt,조라 홀트,jora holteu
wolfgang reinhardt,볼프강 라인하르트,bolpeugang rainhareuteu
leonhard pohl,레온하르트 폴,reonhareuteu pol
karl adam,카를 아담,kareul adam
carl eduard,카를 에두아르트,kareul eduareuteu
hansjoachim rotzsch,한스요아힘 로치,hanseuyoahim roci
benedikt dyrlich,베네딕트 디릭,benedigteu dirig
stefan reisch,슈테판 라이슈,syutepan raisyu
henning berg,헤닝 베르크,hening bereukeu
klaus just,클라우스 유스트,keulrauseu yuseuteu
friedrich schröder,프리드리히 슈뢰더,peurideurihi syuroedeo
marlies göhr,마를리스 괴르,mareulriseu goereu
günter sommer,귄터 조머,gwinteo jomeo
adam schmidt,아담 슈미트,adam syumiteu
nicole,니콜,nikol
elisabeth von württemberg,뷔르템베르크 공녀 엘리자베트,bwireutembereukeu gongnyeo elrijabeteu
karl honz,카를 혼츠,kareul honceu
johannes kaiser,요하네스 카이저,yohaneseu kaijeo
alexander könig,알렉산더 쾨니히,alregsandeo koenihi
harald grosskopf,하랄트 그로스코프,haralteu geuroseukopeu
rubina nath,루비나 구라오카,rubina guraoka
reinhard schwarzschilling,라인하르트 슈바르츠실링,rainhareuteu syubareuceusilring
holger willmer,홀거 빌머,holgeo bilmeo
agnes wurmb,아그네스 부름프,ageuneseu bureumpeu
wolfgang warnemünde,볼프강 바르네뮌데,bolpeugang bareunemwinde
stefan buck,슈테판 부크,syutepan bukeu
kornelia grummtender,코르넬리아 엔더,koreunelria endeo
ades zabel,아데스 자벨,adeseu jabel
thomas reiter,토마스 레이터,tomaseu reiteo
janina wirth,야니나 비르트,yanina bireuteu
tim lobinger,팀 로빙거,tim robinggeo
karin enke,카린 엥케,karin engke
christoph bach,크리스토프 바흐,keuriseutopeu baheu
hans heibach,한스 하이바흐,hanseu haibaheu
josef albers,요제프 알버스,yojepeu albeoseu
andreas görlitz,안드레아스 괴를리츠,andeureaseu goereulriceu
werner müller,베르너 뮐러,bereuneo mwilreo
sven teutenberg,스벤 토이텐베르크,seuben toitenbereukeu
georg ertl,게오르크 에르틀,georeukeu ereuteul
klaus wunder,클라우스 분더,keulrauseu bundeo
sandra farmand,잔드라 파르만트,jandeura pareumanteu
leopold rottmann,레오폴트 로트만,reopolteu roteuman
johann bach,요하네스 바흐,yohaneseu baheu
dieter frey,디터 프라이,diteo peurai
inayoko teutenberg,이나요코 토이텐베르크,inayoko toitenbereukeu
michael huth,미하엘 후트,mihael huteu
thomas zander,토마스 찬더,tomaseu candeo
samuel schwarz,자무엘 슈바르츠,jamuel syubareuceu
christian zirkelbach,크리스티안 치르켈바흐,keuriseutian cireukelbaheu
angelina grün,앙겔리나 그륀,anggelrina geurwin
christine wolf,크리스티네 볼프,keuriseutine bolpeu
heike friedrich,하이케 프리드리히,haike peurideurihi
daniel gordon,대니얼 고든,daenieol godeun
brigitte wujak,브리기테 부야크,beurigite buyakeu
michael wolgemut,미하엘 볼게무트,mihael bolgemuteu
julian reus,율리안 로이스,yulrian roiseu
nicolas jüllich,니콜라스 윌리히,nikolraseu wilrihi
robert lehmann,로베르트 레만,robereuteu reman
hannelore anke,하넬로레 앙케,hanelrore angke
patrick guillou,파트리크 길루,pateurikeu gilru
oliver fink,올리버 핑크,olribeo pingkeu
florian trinks,플로리안 트링크스,peulrorian teuringkeuseu
fritz bamberger,프리츠 밤베르거,peuriceu bambereugeo
hans zassenhaus,한스 차센하우스,hanseu casenhauseu
karsten just,카르스텐 유스트,kareuseuten yuseuteu
ramona neubert,라모나 노이베르트,ramona noibereuteu
anette rückes,아네테 뤼케스,anete rwikeseu
sabine günther,자비네 귄터,jabine gwinteo
ulrike tauber,울리케 타우버,ulrike taubeo
karl rüdiger,카를 뤼디거,kareul rwidigeo
christiane fürst,크리스티아네 퓌르스트,keuriseutiane pwireuseuteu
alfredo morales,알프레도 모랄레스,alpeuredo moralreseu
robert wiedersheim,로베르트 비더스하임,robereuteu bideoseuhaim
petra behle,페트라 벨레,peteura belre
sebastian hofmann,제바스티안 호프만,jebaseutian hopeuman
toralf konetzke,토랄프 코네츠케,toralpeu koneceuke
claudia rauschenbach,클라우디아 라우셴바흐,keulraudia rausyenbaheu
elvira possekel,엘비라 포세켈,elbira posekel
evelin kaufer,에벨린 카우퍼,ebelrin kaupeo
franz waxman,프란츠 박스만,peuranceu bagseuman
margrit olfert,마르그리트 올페르트,mareugeuriteu olpereuteu
viktor bopp,빅토어 보프,bigtoeo bopeu
henri marteau,앙리 마르토,angri mareuto
heike schultemattler,하이케 슐테마틀러,haike syultemateulreo
bärbel struppert,베르벨 슈트루페르트,bereubel syuteurupereuteu
jutta müller,유타 뮐러,yuta mwilreo
wilhelm solf,빌헬름 졸프,bilhelreum jolpeu
kirsten emmelmann,키르스텐 에멜만,kireuseuten emelman
theodor reuß,테오도어 로이스,teodoeo roiseu
brunhilde hendrix,브룬힐데 헨드릭스,beurunhilde hendeurigseu
marina kielmann,마리나 킬만,marina kilman
sarah günther,자라 귄터,jara gwinteo
gabriele hinzmann,가브리엘레 힌츠만,gabeurielre hinceuman
peggy schwarz,페기 슈왈츠,pegi syuwalceu
holger börner,홀거 뵈르너,holgeo boereuneo
birgit treiber,비르기트 트라이버,bireugiteu teuraibeo
kirsten heiberg,키르스텐 헤이베르그,kireuseuten heibereugeu
laura steinbach,라우라 슈타인바흐,raura syutainbaheu
walter wallmann,발터 발만,balteo balman
wilhelm hoegner,빌헬름 회그너,bilhelreum hoegeuneo
harald wohlfahrt,하랄트 볼파르트,haralteu bolpareuteu
hilde benjamin,힐데 베냐민,hilde benyamin
hansulrich klose,한스울리히 클로제,hanseuulrihi keulroje
jeanette biedermann,자네테 비더만,janete bideoman
vahid haschemian,바히드 하셰미안,bahideu hasyemian
moses alexander,모지스 알렉산더,mojiseu alregsandeo
michael mann,미하엘 만,mihael man
angela luther,앙겔라 루터,anggelra ruteo
matthias zimmermann,마티아스 치머만,matiaseu cimeoman
bruno petzold,브루노 페촐트,beuruno pecolteu
robert fleßers,로베르트 플레서스,robereuteu peulreseoseu
sven fischer,스벤 피셔,seuben pisyeo
ferdinand bonn,페르디난트 본,pereudinanteu bon
adolf weber,아돌프 베버,adolpeu bebeo
hansjürgen gundelach,한스위르겐 군델라흐,hanseuwireugen gundelraheu
thorsten burkhardt,토르스텐 부르크하르트,toreuseuten bureukeuhareuteu
hans biallas,한스 비알라스,hanseu bialraseu
franz rademacher,프란츠 라데마허,peuranceu rademaheo
anke behmer,앙케 베머,angke bemeo
conny bauer,코니 바워,koni baweo
wilhelm gottlieb hankel,빌헬름 고틀리프 항켈,bilhelreum goteulripeu hangkel
christa kinshofer,크리스타 킨스호퍼,keuriseuta kinseuhopeo
ursula happe,우르줄라 하페,ureujulra hape
gert metz,게르트 메츠,gereuteu meceu
steve shirley,스티브 셜리,seutibeu syeolri
alexandra bircken,알렉산드라 비르켄,alregsandeura bireuken
hansjoachim reske,한스요아힘 레스케,hanseuyoahim reseuke
panagiotis vlachodimos,파나요티스 블라호디모스,panayotiseu beulrahodimoseu
franz volhard,프란츠 볼하르트,peuranceu bolhareuteu
bruno massot,브뤼노 마소,beurwino maso
heinz becker,하인츠 베커,hainceu bekeo
richard zeckwer,리하르트 체크버,rihareuteu cekeubeo
sigrun siegl,지그룬 지글,jigeurun jigeul
yvonne snirbönisch,이본 뵈니슈,ibon boenisyu
ernst messerschmid,에른스트 메셔슈미트,ereunseuteu mesyeosyumiteu
ellen streidt,엘렌 슈트라이트,elren syuteuraiteu
katia mann,카티아 만,katia man
amalie seebald,아말리 제발트,amalri jebalteu
rolf dahlgrün,롤프 달그륀,rolpeu dalgeurwin
willi neuberger,빌리 노이베르거,bilri noibereugeo
aaron altaras,아론 아타라스,aron ataraseu
ulf merbold,울프 메볼드,ulpeu meboldeu
özgür karadeniz,흑해 무료,heughae muryo
achim wolff,아킴 울프,akim ulpeu
eberhard weber,에버하르트 베버,ebeohareuteu bebeo
stephan salger,슈테판 잘거,syutepan jalgeo
herbert burdenski,헤르베르트 부르덴스키,hereubereuteu bureudenseuki
louis ferdinand von preußen,루이 페르디난트 폰 프로이센,rui pereudinanteu pon peuroisen
simone osygus,지몬 오쥐구스,jimon ojwiguseu
günther treptow,귄터 트렙토프,gwinteo teurebtopeu
max gablonsky,막스 가블론스키,magseu gabeulronseuki
christian kalkbrenner,크리스티안 칼크브레너,keuriseutian kalkeubeureneo
rolf kühn,롤프 퀸,rolpeu kwin
hans hofmann,한스 호프만,hanseu hopeuman
siegfried matthus,지크프리트 마투스,jikeupeuriteu matuseu
hans baluschek,한스 발루셰크,hanseu balrusyekeu
władysław kozakiewicz,브와디스와프 코자키에비치,beuwadiseuwapeu kojakiebici
harald juhnke,하랄드 쥰케,haraldeu jyunke
adriana altaras,아드리아나 아타라스,adeuriana ataraseu
adam bodzek,아담 보제크,adam bojekeu
melanie skotnik,멜라니 멜포르,melrani melporeu
rudolf mauersberger,루돌프 마워스베르거,rudolpeu maweoseubereugeo
lukas loules,루카스 힐베르트,rukaseu hilbereuteu
karl höller,카를 횔러,kareul hoelreo
manfred schoof,만프레트 쇼프,manpeureteu syopeu
heinrich von ofterdingen,하인리히 폰 오프터딩겐,hainrihi pon opeuteodinggen
stephan beckenbauer,슈테판 베켄바워,syutepan bekenbaweo
albert mosse,알베르트 모세,albereuteu mose
wolfgang dauner,볼프강 다우너,bolpeugang dauneo
martin jellinghaus,마르틴 옐링하우스,mareutin yelringhauseu
lothar meggendorfer,로타어 메겐도르퍼,rotaeo megendoreupeo
alexander von schlippenbach,알렉산더 폰 슐리펜바흐,alregsandeo pon syulripenbaheu
patrick mölzl,파트리크 묄츨,pateurikeu moelceul
hugo kaun,후고 카운,hugo kaun
richard golz,리하르트 골츠,rihareuteu golceu
harald spörl,하랄트 슈푀를,haralteu syupoereul
frank neubarth,프랑크 노이바르트,peurangkeu noibareuteu
eduard künneke,에두아르트 퀴네케,eduareuteu kwineke
harald duschek,하랄트 두셰크,haralteu dusyekeu
tassilo thierbach,타실로 티르바흐,tasilro tireubaheu
hermann engelhard,헤르만 엥겔하르트,hereuman enggelhareuteu
scooter barry,스쿠터 배리,seukuteo baeri
bernd herrmann,베른트 헤르만,bereunteu hereuman
norbert dobeleit,노르베르트 도벨라이트,noreubereuteu dobelraiteu
karlheinz klotz,카를하인츠 클로츠,kareulhainceu keulroceu
agnes freund,아그네스 프로인트,ageuneseu peurointeu
agnes kraus,아그네스 크라우스,ageuneseu keurauseu
agnes plum,아그네스 플룸,ageuneseu peulrum
amelie plaaslink,아멜리 플라스링크,amelri peulraseuringkeu
ingo spelly,잉고 슈펠리,inggo syupelri
angela lück,앙겔라 뤼크,anggelra rwikeu
agnes schultheiß,아그네스 슐트하이스,ageuneseu syulteuhaiseu
michael schulz,미하엘 슐츠,mihael syulceu
agnes ponizil,아그네스 포니칠,ageuneseu ponicil
agnes sanderplump,아그네스 잔더플룸프,ageuneseu jandeopeulrumpeu
agnes schmidt,아그네스 슈미트,ageuneseu syumiteu
andreas meyerlauber,안드레아스 마이어라우버,andeureaseu maieoraubeo
beate peters,베아테 페터스,beate peteoseu
andreas mehl,안드레아스 멜,andeureaseu mel
clara westhoff,클라라 베스트호프,keulrara beseuteuhopeu
agnes asche,아그네스 아슈,ageuneseu asyu
evelyn klaudt,에벨린 그로스만,ebelrin geuroseuman
martin hess,마르틴 헤스,mareutin heseu
angela steinbach,앙겔라 슈타인바흐,anggelra syutainbaheu
hannah höch,하나 회히,hana hoehi
john tripp,존 트립,jon teurib
manfred bockenfeld,만프레트 보켄펠트,manpeureteu bokenpelteu
andreas pflüger,안드레아스 플뤼거,andeureaseu peulrwigeo
anne brendler,앤 브렌들러,aen beurendeulreo
andreas richter,안드레아스 리치터,andeureaseu riciteo
harald genzmer,하랄트 겐츠머,haralteu genceumeo
fritz spindler,프리츠 슈핀들러,peuriceu syupindeulreo
xatar,하타르,hatareu
angelika klüssendorf,앙겔리카 클뤼센도르프,anggelrika keulrwisendoreupeu
thomas wolter,토마스 볼터,tomaseu bolteo
alfons goppel,알폰스 고펠,alponseu gopel
angelika krügerleißner,앙겔리카 크뤼거라이스너,anggelrika keurwigeoraiseuneo
angelika richter,안젤리카 리히터,anjelrika rihiteo
andreas schockenhoff,안드레아스 쇼켄호프,andeureaseu syokenhopeu
annike krahn,아니케 크란,anike keuran
anne moll,앤 몰,aen mol
werner dollinger,베르너 돌링거,bereuneo dolringgeo
peggy waleska,페기 발레스카,pegi balreseuka
angelika schöttler,앙겔리카 쇠틀러,anggelrika soeteulreo
timo schultz,티모 슐츠,timo syulceu
jens carlowitz,옌스 카를로비츠,yenseu kareulrobiceu
helga masthoff,헬가 마스트호프,helga maseuteuhopeu
andreas stoch,안드레아스 슈토흐,andeureaseu syutoheu
gerhard strack,게르하르트 슈트라크,gereuhareuteu syuteurakeu
verena faißt,페레나 파이스트,perena paiseuteu
andreas voglsammer,안드레아스 포글자머,andeureaseu pogeuljameo
anneliese kaplan,아넬리제 카플란,anelrije kapeulran
nicky adler,니키 아들러,niki adeulreo
kuno klötzer,쿠노 클뢰처,kuno keulroeceo
christel frese,크리스텔 프레제,keuriseutel peureje
emilia müller,에밀리아 뮐러,emilria mwilreo
robert kromm,로베르트 크롬,robereuteu keurom
amin farhang,아민 파르항,amin pareuhang
andreas willers,안드레아스 빌러스,andeureaseu bilreoseu
barbara stamm,바르바라 슈탐,bareubara syutam
karlheinz kunde,카를하인츠 쿤데,kareulhainceu kunde
andreas wolf,안드레아스 볼프,andeureaseu bolpeu
heidemarie steiner,하이데마리 슈타이너,haidemari syutaineo
birgit lorenz,비르기트 로렌츠,bireugiteu rorenceu
annemarie böll,아네마리 뵐,anemari boel
andrea lüdke,안드레아 루드케,andeurea rudeuke
johann elias bach,요한 엘리아스 바흐,yohan elriaseu baheu
rainer brüderle,라이너 브뤼덜레,raineo beurwideolre
ernst benda,에른스트 벤다,ereunseuteu benda
mona steigauf,모나 슈타이가우프,mona syutaigaupeu
andrei tivontschik,안드레이 티본치크,andeurei tiboncikeu
wolfgang rübsam,볼프강 뤼프잠,bolpeugang rwipeujam
liudolf,리우돌프,riudolpeu
arvid kramer,아비드 크레이머,abideu keureimeo
thomas schönlebe,토마스 쇤레베,tomaseu soenrebe
stephan loboué,스테판 로부에,seutepan robue
uwe gospodarek,우베 고스포다레크,ube goseupodarekeu
anton raubal,안톤 라우발,anton raubal
anica röhlinger,아니카 로힝저,anika rohingjeo
andreas bialas,안드레아스 비알라스,andeureaseu bialraseu
andreas bieber,안드레아스 비버,andeureaseu bibeo
florian hartherz,플로리안 하르테르츠,peulrorian hareutereuceu
andreas borcherding,안드레아스 보체딩,andeureaseu boceding
richard nowakowski,리하르트 노바코프스키,rihareuteu nobakopeuseuki
annette schlünz,아네테 슐륀츠,anete syulrwinceu
romy kermer,로미 케르머,romi kereumeo
anian zollner,아니안 졸너,anian jolneo
andreas bovenschulte,안드레아스 보벤슐테,andeureaseu bobensyulte
marlene neubauerwoerner,마를레네 노이바워뵈르너,mareulrene noibaweoboereuneo
marius müllerwesternhagen,마리우스 뮐러베슈테른하겐,mariuseu mwilreobesyutereunhagen
cornelia sirch,코르넬리아 지르히,koreunelria jireuhi
annie markart,아니 마르카르트,ani mareukareuteu
catherine flemming,캐서린 플레밍,kaeseorin peulreming
sara noxx,자라 녹스,jara nogseu
annik wecker,안닉 베커,annig bekeo
waleri belenki,발레리 벨렌키,balreri belrenki
samed yeşil,사메드 예실,samedeu yesil
stefanie hertel,스테파니 허텔,seutepani heotel
anno koehler,안노 쾰러,anno koelreo
andreas deuschle,안드레아스 도이슐레,andeureaseu doisyulre
steffen wohlfarth,슈테펜 볼파르트,syutepen bolpareuteu
annika blendl,애니카 블렌들,aenika beulrendeul
annika bruhn,아니카 브룬,anika beurun
fritz schilgen,프리츠 실겐,peuriceu silgen
chris fleming,크리스 플레밍,keuriseu peulreming
hans neusidler,한스 노이지들러,hanseu noijideulreo
johann schobert,요한 쇼베르트,yohan syobereuteu
peter baumann,피터 바우만,piteo bauman
anja franke,안자 프랭크,anja peuraengkeu
reinhard klimmt,라인하르트 클림트,rainhareuteu keulrimteu
alfred gomolka,알프레트 고몰카,alpeureteu gomolka
diethelm ferner,디텔름 페르너,ditelreum pereuneo
holger glandorf,홀거 글란도르프,holgeo geulrandoreupeu
antonio wannek,안토니오 와넥,antonio waneg
anja reschke,아냐 레슈케,anya resyuke
andreas glück,안드레아스 글뤼크,andeureaseu geulrwikeu
ralf wadephul,랄프 웨이드풀,ralpeu weideupul
andreas gößling,안드레아스 괴슬링,andeureaseu goeseulring
kevin schindler,케빈 신들러,kebin sindeulreo
walter bathe,발터 바테,balteo bate
peter kowald,페터 코발트,peteo kobalteu
otto nerz,오토 네르츠,oto nereuceu
andré röhner,안드레 노너,andeure noneo
harald nickel,하랄트 니켈,haralteu nikel
conrad schnitzler,콘래드 슈니츨러,konraedeu syuniceulreo
thorsten schmitt,토르스텐 슈미트,toreuseuten syumiteu
andré stinka,안드레 슈팅카,andeure syutingka
malte metzelder,말테 메첼더,malte meceldeo
georg zacharias,게오르크 차하리아스,georeukeu cahariaseu
siegfried fehmer,지크프리트 페머,jikeupeuriteu pemeo
tobias fink,토비아스 핑크,tobiaseu pingkeu
otto neitzel,오토 나이첼,oto naicel
alexander walke,알렉산더 발케,alregsandeo balke
reinhard stumpf,라인하르트 슈툼프,rainhareuteu syutumpeu
maximilian beister,막시밀리안 바이스터,magsimilrian baiseuteo
paul günther,파울 귄터,paul gwinteo
manfred kokot,만프레트 코코트,manpeureteu kokoteu
patrick herrmann,파트리크 헤르만,pateurikeu hereuman
anthony petrifke,안소니 페트리프크,ansoni peteuripeukeu
walter brack,발터 브라크,balteo beurakeu
rosemarie gabriel,로제마리 가브리엘,rojemari gabeuriel
rudolf schlichter,루돌프 슐리히터,rudolpeu syulrihiteo
fritz winter,프리츠 빈터,peuriceu binteo
anke lutz,앙케 루츠,angke ruceu
harald norpoth,하랄트 노르포트,haralteu noreupoteu
carolin kebekus,카롤린 케베쿠스,karolrin kebekuseu
anke karstens,앙케 카르스텐스,angke kareuseutenseu
erich kühnhackl,에리히 퀸하클,erihi kwinhakeul
annkatrin berger,안카트린 베르거,ankateurin bereugeo
jörg albertz,외르크 알베르츠,oereukeu albereuceu
siegmund von hausegger,지크문트 폰 하우제거,jikeumunteu pon haujegeo
matthias weckmann,마티아스 베크만,matiaseu bekeuman
steve schroyder,스티브 슈로더,seutibeu syurodeo
annalena zuck,아나레나 추크,anarena cukeu
dietrich thurau,디트리히 투라우,diteurihi turau
dariusz michalczewski,다리우시 미할체프스키,dariusi mihalcepeuseuki
erich rademacher,에리히 라데마허,erihi rademaheo
ariane krampe,아리안 크램프,arian keuraempeu
anette kramme,아네테 크라메,anete keurame
herberts vasiļjevs,헤르베르츠 바실레우스,hereubereuceu basilreuseu
luis trenker,루이스 트렌커,ruiseu teurenkeo
sascha dikiciyan,소닉 헴,sonig hem
armin thalheim,아르민 탈하임,areumin talhaim
anette hübinger,아네테 휘빙거,anete hwibinggeo
kurt bendlin,쿠르트 벤들린,kureuteu bendeulrin
almut lehmann,알무트 레만,almuteu reman
armin willingmann,아르민 빌링만,areumin bilringman
bertold hummel,베르톨드 훔멜,bereutoldeu hummel
christopher grotheer,크리스토퍼 그로터,keuriseutopeo geuroteo
heinrich kaminski,하인리히 카민스키,hainrihi kaminseuki
rolf oesterreich,롤프 외스테라이히,rolpeu oeseuteraihi
klausdieter kurrat,클라우스디터 쿠라트,keulrauseuditeo kurateu
kurt tschenscher,쿠르트 첸셔,kureuteu censyeo
hans albers,한스 알버스,hanseu albeoseu
angela ascher,안젤라 애처,anjelra aeceo
emil rausch,에밀 라우슈,emil rausyu
hans filbinger,한스 필빙거,hanseu pilbinggeo
anna montanaro,애나 몬타나로,aena montanaro
george ștefănescu,제오르제 슈테퍼네스쿠,jeoreuje syutepeoneseuku
angela freimuth,앙겔라 프라이무트,anggelra peuraimuteu
tom geißler,톰 가이슬러,tom gaiseulreo
rené schneider,레네 슈나이더,rene syunaideo
arndt schweringsohnrey,아른트 슈베링손레이,areunteu syuberingsonrei
anna mönikes,아나 뫼니케스,ana moenikeseu
anna schuleit,아나 슐라이트,ana syulraiteu
arnfried lerche,아른프리트 레르헤,areunpeuriteu rereuhe
ernst julius otto,에른스트 율리우스 오토,ereunseuteu yulriuseu oto
edwin binney,에드윈 비니,edeuwin bini
ursula schleicher,우르줄라 슐라이허,ureujulra syulraiheo
benjamin kauffmann,베냐민 카우프만,benyamin kaupeuman
benjamin völz,베냐민 뵐츠,benyamin boelceu
arno schellenberg,아르노 셸렌베르크,areuno syelrenbereukeu
attila hildmann,아틸라 힐트만,atilra hilteuman
benno kusche,베노 쿠셰,beno kusye
axel siefer,악셀 지퍼,agsel jipeo
axel rauschenbach,악셀 라우셴바흐,agsel rausyenbaheu
marco reich,마르코 라이히,mareuko raihi
hermann weinbuch,헤르만 바인부흐,hereuman bainbuheu
arnold kowalewski,아르놀트 코발레프스키,areunolteu kobalrepeuseuki
august ewald,아우구스트 에발트,auguseuteu ebalteu
august christian niemann,아우구스트 크리스티안 니만,auguseuteu keuriseutian niman
john brooks,존 브룩스,jon beurugseu
remig stumpf,레미히 슈툼프,remihi syutumpeu
balduin schwarz,발두인 슈바르츠,balduin syubareuceu
arnold schütz,아르놀트 쉬츠,areunolteu swiceu
jonas hofmann,요나스 호프만,yonaseu hopeuman
ulrich tukur,울리히 투쿠르,ulrihi tukureu
marcus schmickler,마르쿠스 슈미클러,mareukuseu syumikeulreo
barbara dittus,바바라 디투스,babara dituseu
barbara hahlweg,바르바라 할베크,bareubara halbekeu
moritz hartmann,모리츠 하르트만,moriceu hareuteuman
slobodan komljenović,슬로보단 콤레노비치,seulrobodan komrenobici
barbara morawiecz,바바라 모라위츠,babara morawiceu
rolf wolfshohl,롤프 볼프스홀,rolpeu bolpeuseuhol
barbara schöne,바르바라 쇠네,bareubara soene
martin wagner,마르틴 바그너,mareutin bageuneo
barbara sichtermann,바르바라 지히터만,bareubara jihiteoman
barbara steffens,바르바라 슈테펜스,bareubara syutepenseu
christian cannabich,크리스티안 카나비히,keuriseutian kanabihi
bernhard klapprott,베른하르트 클라프로트,bereunhareuteu keulrapeuroteu
bastian steppin,바스티안 슈테핀,baseutian syutepin
bernhard otte,베른하르트 오테,bereunhareuteu ote
bernd jochen hilberath,베른트 요헨 힐베라트,bereunteu yohen hilberateu
marcus sorg,마르쿠스 조르크,mareukuseu joreukeu
beate schmolkehasselmann,베아테 하셀만,beate haselman
bela klentze,벨라 클렌츠제,belra keulrenceuje
gottfried heinrich bach,고트프리트 하인리히 바흐,goteupeuriteu hainrihi baheu
heiner brand,하이너 브란트,haineo beuranteu
paul lincke,파울 린케,paul rinke
aurelia stern,아우렐리아 슈테른,aurelria syutereun
otto gussmann,오토 구스만,oto guseuman
thomas oppenheimer,토마스 오펜하이머,tomaseu openhaimeo
karl sutter,카를 주터,kareul juteo
bernd sibler,베른트 지블러,bereunteu jibeulreo
willy berking,빌리 베르킹,bilri bereuking
björnhergen schimpf,비외른헤르겐 심프,bioereunhereugen simpeu
rabod von kröcher,라보트 폰 크뢰허,raboteu pon keuroeheo
bernd stelter,베른트 슈텔터,bereunteu syutelteo
tom kühnhackl,톰 퀸하클,tom kwinhakeul
björn schalla,비외른 샬라,bioereun syalra
stefan schnoor,슈테판 슈노르,syutepan syunoreu
gerhard weinberger,게르하르트 바인베르거,gereuhareuteu bainbereugeo
michael hoenig,마이클 호에뉴,maikeul hoenyu
günter zöller,귄터 쵤러,gwinteo coelreo
ursula hirschmann,우르줄라 히르슈만,ureujulra hireusyuman
burkard dregger,부르카르트 드레거,bureukareuteu deuregeo
william wauer,빌리암 바워,bilriam baweo
nicholas conard,니컬러스 콘래드,nikeolreoseu konraedeu
bettina manshausen,베티나 만스하우젠,betina manseuhaujen
burkhard glaetzner,부르크하르트 글레츠너,bureukeuhareuteu geulreceuneo
gyula trebitsch,줄라 트레비치,julra teurebici
burkhard mann,부르크하르트 만,bureukeuhareuteu man
david speiser,다비트 스파이저,dabiteu seupaijeo
hans judenkönig,한스 유덴쾨니히,hanseu yudenkoenihi
burkhard sude,부르크하르트 주데,bureukeuhareuteu jude
matthias schwarz,마티아스 슈바르츠,matiaseu syubareuceu
burkhard spinnen,부르크하르트 슈피넨,bureukeuhareuteu syupinen
burkhart cardauns,부르크하르트 카르다운스,bureukeuhareuteu kareudaunseu
tilman rammstedt,틸만 람슈테트,tilman ramsyuteteu
tom peuckert,톰 포이케르트,tom poikereuteu
bettina mittendorfer,베티나 미텐도르퍼,betina mitendoreupeo
bettina reitz,베티나 레잇츠,betina reisceu
butz ulrich buse,부츠 울리히 부스,buceu ulrihi buseu
daniel morgenroth,다니엘 모르겐로트,daniel moreugenroteu
bianca walter,비앙카 발터,biangka balteo
thomas würtenberger,토마스 뷔르텐베르거,tomaseu bwireutenbereugeo
thomas merkel,토마스 메르켈,tomaseu mereukel
biber gullatz,비버 걸라츠,bibeo geolraceu
billey demirtaş,빌리 드미르타스,bilri deumireutaseu
bruni löbel,브루니 로벨,beuruni robel
birgit aschmann,비르기트 아슈만,bireugiteu asyuman
klaus kracht,클라우스 크락트,keulrauseu keuragteu
bruno f apitz,브루노 에프 피츠,beuruno epeu piceu
boris pistorius,보리스 피스토리우스,boriseu piseutoriuseu
birgit schrowange,비르기트 슈로방게,bireugiteu syurobangge
rötger feldmann,레터 펠드만,reteo peldeuman
hans helfritz,한스 헬프리츠,hanseu helpeuriceu
günter kochan,귄터 코한,gwinteo kohan
carmen molinar,카르멘 몰리나,kareumen molrina
nicola leibingerkammüller,니콜라 라이빙거카뮐러,nikolra raibinggeokamwilreo
wolfgang niedecken,볼프강 니데켄,bolpeugang nideken
cappuccino,카푸치노,kapucino
bruno merk,브루노 메르크,beuruno mereukeu
raimund böll,라이문트 뵐,raimunteu boel
carolin emcke,캐롤린 엠케,kaerolrin emke
carolin schiewe,카롤린 시베,karolrin sibe
carsten fiebeler,카스텐 피에르엘,kaseuten piereuel
leonard wübbena,레오나드 우베베나,reonadeu ubebena
heinzulrich walther,하인츠울리히 발터,hainceuulrihi balteo
robert paul,로베르트 파울,robereuteu paul
rainer brüninghaus,라이너 브뤼닝하우스,raineo beurwininghauseu
brigitte maria bertele,브리짓 마리아 베르텔,beurijis maria bereutel
carsten linnemann,카르스텐 리네만,kareuseuten rineman
gerd dudek,게르트 두데크,gereuteu dudekeu
carsten schneider,카르스텐 슈나이더,kareuseuten syunaideo
carl cannabich,카를 카나비히,kareul kanabihi
brigitte walbrun,비르기테 발브룬,bireugite balbeurun
brigitte wokoeck,브리기테 보쾨크,beurigite bokoekeu
britta haßelmann,브리타 하셀만,beurita haselman
brigitte zeh,브리기테 체,beurigite ce
ernst friedrich diez,에른스트 프리드리히 디츠,ereunseuteu peurideurihi diceu
britta schmeling,브리타 슈밍,beurita syuming
carl drucker,카를 드루커,kareul deurukeo
klaus pohl,클라우스 폴,keulrauseu pol
markus karl,마르쿠스 카를,mareukuseu kareul
werner jahn,베르너 얀,bereuneo yan
cecilia kunz,세실리아 쿠츠,sesilria kuceu
gerald holton,제럴드 홀턴,jereoldeu holteon
carl friedrich gethmann,카를 프리드리히 게트만,kareul peurideurihi geteuman
