кирилл,基里尔,jī lǐ ěr
софья райзман,索非亚·雷兹曼,suǒ fēi yà · léi zī màn
алина бабак,阿丽娜·巴巴克,ā lì nà · bā bā kè
софья лебедева,索菲娅·莱贝德娃,suǒ fēi yà · lái bèi dé wá
софья шидловская,索菲亚·什德洛夫斯卡娅,suǒ fēi yà · shén dé luò fū sī kǎ yà
виктория агалакова,维克托里亚·格鲁吉赫,wéi kè tuō lǐ yà · gé lǔ jí hè
ефим петрунин,埃菲姆·彼得鲁宁,āi fēi mǔ · bǐ dé lǔ níng
борис дергачёв,鲍里斯·杰尔加切夫,bào lǐ sī · jié ěr jiā qiè fū
василиса степанова,瓦西里萨·斯捷潘诺娃,wǎ xī lǐ sà · sī jié pān nuò wá
ольга зуева,奥莉亚·祖耶娃,ào lì yà · zǔ yē wá
илья маланин,伊利亚·马兰宁,yī lì yà · mǎ lán níng
эльвира аиткулова,埃尔薇拉·艾特库洛娃,āi ěr wēi lā · ài tè kù luò wá
иван голунов,伊万·格鲁诺夫,yī wàn · gé lǔ nuò fū
николай леонидович васильев,尼古拉·列昂尼多维奇·瓦西里耶夫,ní gǔ lā · liè áng ní duō wéi qí · wǎ xī lǐ yē fū
елизавета пескова,伊丽莎白·佩斯科娃,yī lì shā bái · pèi sī kē wá
павел коцаренко,帕维尔·科察连科,pà wéi ěr · kē chá lián kē
листунова викторовна,维多利亚·丽丝图诺娃,wéi duō lì yà · lì sī tú nuò wá
дмитрий махонин,德米特里·马霍宁,dé mǐ tè lǐ · mǎ huò níng
татьяна дехтяр,塔蒂亚娜·迪克塔尔,tǎ dì yà nà · dí kè tǎ ěr
ирина чипиженко,伊琳娜·奇皮然科,yī lín nà · qí pí rán kē
фабио мастранджело,法比奥·马斯特兰杰罗,fǎ bǐ ào · mǎ sī tè lán jié luó
махмудали калиматов,马哈茂德阿里·卡利马托夫,mǎ hā mào dé ā lǐ · kǎ lì mǎ tuō fū
камила валиева,卡米拉·瓦莉娃,kǎ mǐ lā · wǎ lì wá
олег владимирович лебедев,奥列格·弗拉基米罗维奇·列别捷夫,ào liè gé · fú lā jī mǐ luó wéi qí · liè bié jié fū
екатерина владимировна березовская,叶卡捷琳娜·弗拉基米罗夫娜·别列佐夫斯克,yè kǎ jié lín nà · fú lā jī mǐ luó fū nà · bié liè zuǒ fū sī kè
андрей сычевой,安德烈·瑟切沃伊,ān dé liè · sè qiè wò yī
александрос цопозидис,亚历山德罗斯·特索波齐迪斯,yà lì shān dé luó sī · tè suǒ bō qí dí sī
николай ковбас,尼古拉·科瓦斯,ní gǔ lā · kē wǎ sī
евгений абызов,叶夫根尼·阿比佐夫,yè fū gēn ní · ā bǐ zuǒ fū
дмитрий грачёв,德米特里·格拉切夫,dé mǐ tè lǐ · gé lā qiè fū
мария табакова,玛丽亚·塔巴科娃,mǎ lì yà · tǎ bā kē wá
дава,达瓦,dá wǎ
иван жданов,伊凡·兹达诺夫,yī fán · zī dá nuò fū
андрей руденко,安德烈·鲁坚科,ān dé liè · lǔ jiān kē
терентьев александр васильевич,亚历山大·瓦西里耶维奇·捷连季耶夫,yà lì shān dà · wǎ xī lǐ yē wéi qí · jié lián jì yē fū
пётр дубров,彼得·杜布罗夫,bǐ dé · dù bù luó fū
сергей пономарёв,谢尔盖·波诺马列夫,xiè ěr gài · bō nuò mǎ liè fū
хамзат чимаев,哈姆扎特·奇马耶夫,hā mǔ zhā tè · qí mǎ yē fū
рахим азимов,拉希姆·阿齐莫夫,lā xī mǔ · ā qí mò fū
анастасия тихонова,阿纳斯塔西娅·吉洪诺娃,ā nà sī tǎ xī yà · jí hóng nuò wá
альберт батыргазиев,阿尔伯特·巴特尔加济耶夫,ā ěr bǎi tè · bā tè ěr jiā jì yē fū
удальцова олеговна,阿纳斯塔西娅·乌达利佐娃,ā nà sī tǎ xī yà · wū dá lì zuǒ wá
андрей федяев,安德里·费迪亚耶夫,ān dé lǐ · fèi dí yà yē fū
сергей корсаков,谢尔盖·科萨科夫,xiè ěr gài · kē sà kē fū
эллен эвуси,艾伦·埃乌西,ài lún · āi wū xī
дина дезмари,迪安娜·德玛莉,dí ān nà · dé mǎ lì
анастасия кирпичникова,阿纳斯塔西娅·基尔皮奇尼科娃,ā nà sī tǎ xī yà · jī ěr pí qí ní kē wá
сергей мардарь,谢尔盖·马尔达尔,xiè ěr gài · mǎ ěr dá ěr
алексей чупов,阿列克谢·楚波夫,ā liè kè xiè · chǔ bō fū
диана пожарская,戴安娜·波扎尔斯卡娅,dài ān nà · bō zhā ěr sī kǎ yà
владимир пашков,弗拉基米尔·帕什科夫,fú lā jī mǐ ěr · pà shén kē fū
анна скиданова,安娜·斯基达诺瓦,ān nà · sī jī dá nuò wǎ
инна вальтер,因娜·瓦尔特,yīn nà · wǎ ěr tè
шарлот,夏洛特,xià luò tè
бекхан агаев,别克汉·阿加耶夫,bié kè hàn · ā jiā yē fū
ирма махиня,伊尔玛·马希尼娅,yī ěr mǎ · mǎ xī ní yà
сидоркова антоновна,伊琳娜·西多尔科娃,yī lín nà · xī duō ěr kē wá
семён экштут,谢苗·埃克什图特,xiè miáo · āi kè shén tú tè
арт кулик,阿尔特·库利克,ā ěr tè · kù lì kè
эльдар лебедев,埃尔达·列别杰夫,āi ěr dá · liè bié jié fū
екатерина дар,叶卡捷琳娜·达尔,yè kǎ jié lín nà · dá ěr
диана енакаева,戴安娜·叶纳卡耶娃,dài ān nà · yè nà kǎ yē wá
ксения радченко,克谢尼娅·拉德琴科,kè xiè ní yà · lā dé qín kē
борис кутневич,鲍里斯·库特涅维奇,bào lǐ sī · kù tè niè wéi qí
игорь бабушкин,伊戈尔·巴布什金,yī gē ěr · bā bù shén jīn
тина ивлев,蒂娜·伊维夫,dì nà · yī wéi fū
лера абова,莱拉·阿波瓦,lái lā · ā bō wǎ
алексей маслодудов,阿列克谢·马斯洛杜多夫,ā liè kè xiè · mǎ sī luò dù duō fū
анна шепелева,安娜·谢佩莱娃,ān nà · xiè pèi lái wá
дубинин геннадьевич,尼各老·杜比宁,ní gè lǎo · dù bǐ níng
майя хромых,玛娅·赫罗米克,mǎ yà · hè luó mǐ kè
анастасия брюханова,阿纳斯塔西娅·布留汉诺娃,ā nà sī tǎ xī yà · bù liú hàn nuò wá
иван куляк,伊万·库利亚克,yī wàn · kù lì yà kè
света билялова,斯维塔·毕亚诺娃,sī wéi tǎ · bì yà nuò wá
дмитрий брауэр,德米特里·布劳尔,dé mǐ tè lǐ · bù láo ěr
геннадий борисов,根纳季·鲍里索夫,gēn nà jì · bào lǐ suǒ fū
ольга лапшина,奥尔加·莱普欣那,ào ěr jiā · lái pǔ xīn nà
ирина мартыненко,伊丽娜·马丁宁科,yī lì nà · mǎ dīng níng kē
антон батырев,安东·巴特列夫,ān dōng · bā tè liè fū
люся чеботина,卢西亚·切博蒂娜,lú xī yà · qiè bó dì nà
андрей ивченко,安德烈·伊夫琴科,ān dé liè · yī fū qín kē
мадина таймазова,玛季娜·泰马佐娃,mǎ jì nà · tài mǎ zuǒ wá
дарья беседина,达里娅·别谢金娜,dá lǐ yà · bié xiè jīn nà
леонид зюганов,列昂尼德·久加诺夫,liè áng ní dé · jiǔ jiā nuò fū
альберт разин,阿尔贝特·拉津,ā ěr bèi tè · lā jīn
елена осипова,艾莲娜·奥西波娃,ài lián nà · ào xī bō wá
лия сильвер,莉雅·西尔弗,lì yǎ · xī ěr fú
галина куликова,加林娜·库利科娃,jiā lín nà · kù lì kē wá
софья таюрская,索尼娅·塔尤尔斯卡娅,suǒ ní yà · tǎ yóu ěr sī kǎ yà
михаил виктор,米哈伊尔·维克多,mǐ hā yī ěr · wéi kè duō
николай зиновьев,尼古拉·齐诺维耶夫,ní gǔ lā · qí nuò wéi yē fū
даня милохин,丹娅·米洛欣,dān yà · mǐ luò xīn
иван жарков,伊凡·扎科夫,yī fán · zhā kē fū
владимир пономарёв,弗拉基米尔·波诺马廖夫,fú lā jī mǐ ěr · bō nuò mǎ liào fū
никита боголюбов,尼基塔·博戈柳博夫,ní jī tǎ · bó gē liǔ bó fū
миша бугаев,米莎·布加耶夫,mǐ shā · bù jiā yē fū
маргарита аброськина,玛格丽塔·阿布罗斯基纳,mǎ gé lì tǎ · ā bù luó sī jī nà
демис карибидис,德米斯·卡里比迪斯,dé mǐ sī · kǎ lǐ bǐ dí sī
дмитрий юрьевич григоренко,德米特里·尤里耶维奇·格里戈连科,dé mǐ tè lǐ · yóu lǐ yē wéi qí · gé lǐ gē lián kē
алексей оверчук,阿列克谢·奥弗查克,ā liè kè xiè · ào fú chá kè
антон котяков,安东·科佳科夫,ān dōng · kē jiā kē fū
олег мирошников,奥列格·米洛霍尼科夫,ào liè gé · mǐ luò huò ní kē fū
андрей курпатов,安德烈·库帕托夫,ān dé liè · kù pà tuō fū
максут шадаев,马克苏特·沙达耶夫,mǎ kè sū tè · shā dá yē fū
ольга любимова,奥莉加·柳比莫娃,ào lì jiā · liǔ bǐ mò wá
эго микитас,伊戈·米基塔斯,yī gē · mǐ jī tǎ sī
иван сафронов,伊凡·萨夫罗诺夫,yī fán · sà fū luó nuò fū
анастасия лютова,阿纳斯塔西娅·柳托娃,ā nà sī tǎ xī yà · liǔ tuō wá
виктория мешкова,维多利亚·梅什科娃,wéi duō lì yà · méi shén kē wá
дора,多拉,duō lā
мария львовабелова,玛丽亚·利沃娃贝洛娃,mǎ lì yà · lì wò wá bèi luò wá
борис юрьевич александров,鲍里斯·尤里耶维奇·亚历山德罗夫,bào lǐ sī · yóu lǐ yē wéi qí · yà lì shān dé luó fū
ирина славина,伊琳娜·斯拉维娜,yī lín nà · sī lā wéi nà
сергей годин,谢尔盖·戈金,xiè ěr gài · gē jīn
анастасия евграфова,阿纳斯塔西娅·埃夫拉乔娃,ā nà sī tǎ xī yà · āi fū lā qiáo wá
дарья жовнер,达娅·仲夫娜,dá yà · zhòng fū nà
ольга драгунова,奥尔加·德拉古诺娃,ào ěr jiā · dé lā gǔ nuò wá
алёна кучкова,阿里奥娜·库奇科娃,ā lǐ ào nà · kù qí kē wá
артем маркарян,阿蒂姆·马尔卡良,ā dì mǔ · mǎ ěr kǎ liáng
елизавета кононова,伊丽莎维塔·科诺诺娃,yī lì shā wéi tǎ · kē nuò nuò wá
полина приходько,波利娜·普里霍德科,bō lì nà · pǔ lǐ huò dé kē
александр хошабаев,亚历山大·霍沙巴耶夫,yà lì shān dà · huò shā bā yē fū
полина авг,波琳娜·奥格,bō lín nà · ào gé
андрей аникеев,安德烈·阿尼克耶夫,ān dé liè · ā ní kè yē fū
андрей курганов,安德烈·库尔加诺夫,ān dé liè · kù ěr jiā nuò fū
евгения шевелева,叶夫根尼娅·谢维列娃,yè fū gēn ní yà · xiè wéi liè wá
вероника степанова,韦罗妮卡·斯捷潘诺娃,wéi luó nī kǎ · sī jié pān nuò wá
валерия бурдужа,瓦莱丽娅·布尔杜扎,wǎ lái lì yà · bù ěr dù zhā
валентина костенко,瓦伦蒂娜·科斯坚科,wǎ lún dì nà · kē sī jiān kē
ольга зверева,奥尔加·兹维列娃,ào ěr jiā · zī wéi liè wá
роман квашнин,罗曼·克瓦什宁,luó màn · kè wǎ shén níng
родион галюченко,罗迪翁·加柳琴科,luó dí wēng · jiā liǔ qín kē
александр шаблий,亚历山大·沙比利,yà lì shān dà · shā bǐ lì
станислав тикунов,斯坦尼斯拉夫·提库诺夫,sī tǎn ní sī lā fū · tí kù nuò fū
дарья руденок,达莉亚·鲁德诺克,dá lì yà · lǔ dé nuò kè
руслан левиев,鲁斯兰·列维耶夫,lǔ sī lán · liè wéi yē fū
ольга веникова,奥尔加·维尼科娃,ào ěr jiā · wéi ní kē wá
александра зотова,特萨莎·佐托娃,tè sà shā · zuǒ tuō wá
анет сай,阿内特·赛,ā nèi tè · sài
алёна аурум,阿莱娜·费多托娃,ā lái nà · fèi duō tuō wá
олег юрьевич леонов,奥列格·尤里耶维奇·列昂诺夫,ào liè gé · yóu lǐ yē wéi qí · liè áng nuò fū
валентин демидов,瓦连京·杰米多夫,wǎ lián jīng · jié mǐ duō fū
полина гренц,波琳娜·格伦茨,bō lín nà · gé lún cí
арсений сюхин,阿森尼·苏亨,ā sēn ní · sū hēng
анна дюкова,安娜·久科娃,ān nà · jiǔ kē wá
юлия филиповская,尤利亚·菲利波夫斯卡娅,yóu lì yà · fēi lì bō fū sī kǎ yà
феликс петрович тарасенко,费利克斯·彼得罗维奇·塔拉先科,fèi lì kè sī · bǐ dé luó wéi qí · tǎ lā xiān kē
андрей гимбатов,安德烈·金巴托夫,ān dé liè · jīn bā tuō fū
николай алексеенко,尼古拉·阿列克谢延科,ní gǔ lā · ā liè kè xiè yán kē
сергей алтухов,谢尔盖·阿尔图霍夫,xiè ěr gài · ā ěr tú huò fū
пётр аммосов,彼得·阿莫索夫,bǐ dé · ā mò suǒ fū
евгений хазов,叶夫根尼·哈佐夫,yè fū gēn ní · hā zuǒ fū
данил щебланов,丹尼尔·谢布兰诺夫,dān ní ěr · xiè bù lán nuò fū
полина майклс,波琳娜·布拉特金娜,bō lín nà · bù lā tè jīn nà
леонид бабашов,列昂尼德·巴巴绍夫,liè áng ní dé · bā bā shào fū
семён пегов,谢苗·别哥夫,xiè miáo · bié gē fū
роман лябихов,罗曼·利亚比霍夫,luó màn · lì yà bǐ huò fū
тагир уланбеков,塔吉尔·乌兰别科夫,tǎ jí ěr · wū lán bié kē fū
александр гаврилин,亚历山大·加夫里林,yà lì shān dà · jiā fū lǐ lín
константин карасик,康斯坦丁·卡拉西克,kāng sī tǎn dīng · kǎ lā xī kè
алексей мясников,阿列克谢·米亚斯尼科夫,ā liè kè xiè · mǐ yà sī ní kē fū
екатерина мизулина,叶卡捷琳娜·米祖琳娜,yè kǎ jié lín nà · mǐ zǔ lín nà
владимир викторович павлов,弗拉基米尔·维克托罗维奇·帕夫洛夫,fú lā jī mǐ ěr · wéi kè tuō luó wéi qí · pà fū luò fū
олег иванинский,奥列格·伊万宁斯基,ào liè gé · yī wàn níng sī jī
андрей алёхин,安德烈·阿廖欣,ān dé liè · ā liào xīn
наталия ноздрина,娜塔莉亚·诺兹德里娜,nà tǎ lì yà · nuò zī dé lǐ nà
владимир веревочкин,弗拉基米尔·韦列维奇金,fú lā jī mǐ ěr · wéi liè wéi qí jīn
анастасия тодореску,阿纳斯塔西娅·托多雷斯库,ā nà sī tǎ xī yà · tuō duō léi sī kù
кастюкевич юрьевич,伊戈尔·卡斯秋克维奇,yī gē ěr · kǎ sī qiū kè wéi qí
эдуард илоян,爱德华·伊洛扬,ài dé huá · yī luò yáng
игорь конюков,伊戈尔·康纽霍夫,yī gē ěr · kāng niǔ huò fū
анастасия гасанова,阿纳斯塔西娅·加萨诺娃,ā nà sī tǎ xī yà · jiā sà nuò wá
слава комиссаренко,斯拉瓦·科米萨连科,sī lā wǎ · kē mǐ sà lián kē
ольга озоллапиня,奥尔加·奥佐拉皮尼亚,ào ěr jiā · ào zuǒ lā pí ní yà
олирия рой,奥利里亚·罗伊,ào lì lǐ yà · luó yī
диомид виноградов,迪奥米德·维诺格拉多夫,dí ào mǐ dé · wéi nuò gé lā duō fū
максим андреевич мухин,马克西姆·安德烈耶维奇·穆兴,mǎ kè xī mǔ · ān dé liè yē wéi qí · mù xīng
майкл германия,迈克尔·杰尔曼,mài kè ěr · jié ěr màn
анна конаныхина,安娜·科纳尼基娜,ān nà · kē nà ní jī nà
анастасия жаркова,阿纳斯塔西亚·扎尔科娃,ā nà sī tǎ xī yà · zhā ěr kē wá
регина биккинина,里贾纳·比基尼娜,lǐ jiǎ nà · bǐ jī ní nà
ольга чеботарь,奥尔加·塞博塔里,ào ěr jiā · sāi bó tǎ lǐ
лелуш,利路修,lì lù xiū
максим браматкин,马克西姆·布拉马特金,mǎ kè xī mǔ · bù lā mǎ tè jīn
денис родимин,丹尼斯·罗迪明,dān ní sī · luó dí míng
татьяна бабенкова,塔季亚娜·巴本科娃,tǎ jì yà nà · bā běn kē wá
игорь антропенко,伊戈尔·安特罗片科,yī gē ěr · ān tè luó piàn kē
арсен захарян,阿尔森·扎哈里扬,ā ěr sēn · zhā hā lǐ yáng
инна королёва,因娜·科罗列娃,yīn nà · kē luó liè wá
алиса тищенко,艾莉莎·蒂先科,ài lì shā · dì xiān kē
дмитрий позов,德米特里·波佐夫,dé mǐ tè lǐ · bō zuǒ fū
ирина дрейт,伊琳娜·德雷特,yī lín nà · dé léi tè
евгения феофилактова,叶夫根尼娅·费菲拉克托娃,yè fū gēn ní yà · fèi fēi lā kè tuō wá
леонид нерушенко,列昂尼德·涅鲁申科,liè áng ní dé · niè lǔ shēn kē
ольга баскаева,奥尔加·巴斯卡耶娃,ào ěr jiā · bā sī kǎ yē wá
светлана кривоногих,斯维特兰娜·克里沃诺吉赫,sī wéi tè lán nà · kè lǐ wò nuò jí hè
инна константиновна шевченко,茵娜·康斯坦丁诺夫娜·舍甫琴科,yīn nà · kāng sī tǎn dīng nuò fū nà · shè fǔ qín kē
вячеслав владимирович гладков,维亚切斯拉夫·弗拉基米罗维奇·格拉德科夫,wéi yà qiè sī lā fū · fú lā jī mǐ luó wéi qí · gé lā dé kē fū
максим гулин,马克西姆·古林,mǎ kè xī mǔ · gǔ lín
анастасия талызина,阿纳斯塔西娅·塔莉齐娜,ā nà sī tǎ xī yà · tǎ lì qí nà
алена швиденкова,阿廖娜·什维登科娃,ā liào nà · shén wéi dēng kē wá
ольга николаевна ануфриева,奥莉加·尼古拉耶芙娜·阿努夫里耶娃,ào lì jiā · ní gǔ lā yē fú nà · ā nǔ fū lǐ yē wá
евгений бессонов,叶夫根尼·别索诺夫,yè fū gēn ní · bié suǒ nuò fū
даша герман,达莎·日尔曼,dá shā · rì ěr màn
анжелика глазкова,安热莉卡·格拉兹科娃,ān rè lì kǎ · gé lā zī kē wá
георгий арапов,格奥尔基·阿拉波夫,gé ào ěr jī · ā lā bō fū
хабиб,哈比布,hā bǐ bù
мария ахметзянова,玛丽亚·阿赫梅兹亚诺夫,mǎ lì yà · ā hè méi zī yà nuò fū
роман маякин,罗曼·玛雅金,luó màn · mǎ yǎ jīn
михаил шприц,米沙·施普里茨,mǐ shā · shī pǔ lǐ cí
елена чебатуркина,埃琳娜·切巴图尔基娜,āi lín nà · qiè bā tú ěr jī nà
нина ракова,尼娜·拉科娃,ní nà · lā kē wá
мария певчих,玛丽亚·佩夫奇赫,mǎ lì yà · pèi fū qí hè
дмитрий поднозов,迪米特里·珀德诺佐夫,dí mǐ tè lǐ · pò dé nuò zuǒ fū
ирина миллеррузанова,伊琳娜·米勒鲁扎诺娃,yī lín nà · mǐ lè lǔ zhā nuò wá
диана шнайдер,季阿娜·施耐德,jì ā nà · shī nài dé
артём метелёв,阿尔乔姆·梅捷列夫,ā ěr qiáo mǔ · méi jié liè fū
ксана сергиенко,克萨娜·谢尔琴科,kè sà nà · xiè ěr qín kē
никита златоуст,尼基塔·兹拉托乌斯特,ní jī tǎ · zī lā tuō wū sī tè
каплан панеш,卡普兰·帕涅什,kǎ pǔ lán · pà niè shén
владимир кошелев,弗拉基米尔·科舍列夫,fú lā jī mǐ ěr · kē shè liè fū
иван савенков,萨文科维万·萨文科夫,sà wén kē wéi wàn · sà wén kē fū
иван фоминов,伊万·福米诺夫,yī wàn · fú mǐ nuò fū
любовь шепилова,柳博夫·谢皮洛娃,liǔ bó fū · xiè pí luò wá
евгения каверау,叶夫根尼娅·卡维劳,yè fū gēn ní yà · kǎ wéi láo
рамиль ямалеев,拉米尔·亚马列耶夫,lā mǐ ěr · yà mǎ liè yē fū
маха горячёва,玛哈·戈里亚切娃,mǎ hā · gē lǐ yà qiè wá
алессандра джейн,亚历山德拉·简,yà lì shān dé lā · jiǎn
алексей михайлов,阿列克谢·米哈伊洛夫,ā liè kè xiè · mǐ hā yī luò fū
алексей нечаев,阿列克谢·涅恰耶夫,ā liè kè xiè · niè qià yē fū
анатолий сирин,阿纳托利·西林,ā nà tuō lì · xī lín
владимир осечкин,弗拉基米尔·奥斯切金,fú lā jī mǐ ěr · ào sī qiè jīn
аделия петросян,阿德莉娅·彼得罗相,ā dé lì yà · bǐ dé luó xiāng
артём минулин,阿尔乔姆·米努林,ā ěr qiáo mǔ · mǐ nǔ lín
дмитрий куплинов,德米特里·库普利诺夫,dé mǐ tè lǐ · kù pǔ lì nuò fū
анна горячёва,安娜·戈里亚乔娃,ān nà · gē lǐ yà qiáo wá
кира коваленко,基拉·科瓦连科,jī lā · kē wǎ lián kē
эльдар калимулин,埃尔达·卡利穆林,āi ěr dá · kǎ lì mù lín
александр алешкин,亚历山大·阿廖什金,yà lì shān dà · ā liào shén jīn
кирилл белевич,基里尔·贝列维奇,jī lǐ ěr · bèi liè wéi qí
софья акатьева,索菲亚·阿卡蒂耶娃,suǒ fēi yà · ā kǎ dì yē wá
борис бондарев,鲍里斯·邦达列夫,bào lǐ sī · bāng dá liè fū
канамат боташев,卡纳马特·博塔舍夫,kǎ nà mǎ tè · bó tǎ shè fū
ярослав михайлов,雅罗斯拉夫·米哈伊洛夫,yǎ luó sī lā fū · mǐ hā yī luò fū
бадма башанкаев,巴德马·巴尚卡耶夫,bā dé mǎ · bā shàng kǎ yē fū
матвей зубалевич,马特维·祖巴列维奇,mǎ tè wéi · zǔ bā liè wéi qí
ян петровский,扬·彼得罗夫斯基,yáng · bǐ dé luó fū sī jī
максим белбородов,马克西姆·贝尔博罗多夫,mǎ kè xī mǔ · bèi ěr bó luó duō fū
виталий хоценко,维塔利·霍岑科,wéi tǎ lì · huò cén kē
станислав шаров,斯坦尼斯拉夫·沙罗夫,sī tǎn ní sī lā fū · shā luó fū
мария ткачева,玛莉亚·特卡切娃,mǎ lì yà · tè kǎ qiè wá
дарья дугина,达里娅·杜金娜,dá lǐ yà · dù jīn nà
александр зуев,亚历山大·祖甫,yà lì shān dà · zǔ fǔ
мария мелена,玛丽亚·里亚布什金娜,mǎ lì yà · lǐ yà bù shén jīn nà
захар навальный,扎哈尔·纳瓦利内,zhā hā ěr · nà wǎ lì nèi
анна асти,安娜·阿斯蒂,ān nà · ā sī dì
павел филатьев,帕维尔·菲拉季耶夫,pà wéi ěr · fēi lā jì yē fū
сергей телегин,谢尔盖·捷列金,xiè ěr gài · jié liè jīn
антон шаврин,安东·沙夫林,ān dōng · shā fū lín
софья ардова,索菲亚·阿尔多瓦,suǒ fēi yà · ā ěr duō wǎ
александр шаврин,亚历山大·沙夫林,yà lì shān dà · shā fū lín
таисия бекбулатова,泰西娅·贝克布拉托娃,tài xī yà · bèi kè bù lā tuō wá
наталья кудряшова,娜塔莉亚·库德里亚绍娃,nà tǎ lì yà · kù dé lǐ yà shào wá
юлия козик,尤利娅·科济克,yóu lì yà · kē jì kè
александр говор,亚历山大·戈沃尔,yà lì shān dà · gē wò ěr
владислав мыльников,弗拉迪斯拉夫·梅尼科夫,fú lā dí sī lā fū · méi ní kē fū
эрбол атабаев,埃尔博尔·阿塔巴耶夫,āi ěr bó ěr · ā tǎ bā yē fū
гузель гасанова,古泽尔·哈萨诺瓦,gǔ zé ěr · hā sà nuò wǎ
роман владимирович кутузов,罗曼·弗拉基米罗维奇·库图佐夫,luó màn · fú lā jī mǐ luó wéi qí · kù tú zuǒ fū
тимо харди,蒂莫·哈迪,dì mò · hā dí
григорий юдин,格里高利·尤丁,gé lǐ gāo lì · yóu dīng
александр игоревич коваленко,亚历山大·伊戈列维奇·科瓦连科,yà lì shān dà · yī gē liè wéi qí · kē wǎ lián kē
максимилиан андронников,马克西米利安·安德罗尼科夫,mǎ kè xī mǐ lì ān · ān dé luó ní kē fū
дмитрий поляновский,德米特里·波利亚诺夫斯基,dé mǐ tè lǐ · bō lì yà nuò fū sī jī
андрей пынзару,安德烈·平扎鲁,ān dé liè · píng zhā lǔ
андрей суховецкий,安德烈·苏霍维茨基,ān dé liè · sū huò wéi cí jī
галина данильченко,加琳娜·丹尼尔琴科,jiā lín nà · dān ní ěr qín kē
александр мичков,亚历山大·米奇科夫,yà lì shān dà · mǐ qí kē fū
елизавета янковская,伊利扎维塔·扬科夫斯卡娅,yī lì zhā wéi tǎ · yáng kē fū sī kǎ yà
марина овсянникова,玛丽娜·奥斯雅尼可娃,mǎ lì nà · ào sī yǎ ní kě wá
олег юрьевич митяев,奥列格·尤里耶维奇·米佳耶夫,ào liè gé · yóu lǐ yē wéi qí · mǐ jiā yē fū
алексей шаров,阿列克谢·沙洛夫,ā liè kè xiè · shā luò fū
виктория корлякова,维多利亚·科里亚亚科娃,wéi duō lì yà · kē lǐ yà yà kē wá
андрей колесников,安德烈·科列斯尼科夫,ān dé liè · kē liè sī ní kē fū
евгений ребич,叶夫根尼·雷比奇,yè fū gēn ní · léi bǐ qí
олег урушев,奥列格·乌鲁舍夫,ào liè gé · wū lǔ shè fū
радик мухаметзянов,拉迪克·穆罕默德贾诺夫,lā dí kè · mù hǎn mò dé jiǎ nuò fū
александр колокольцев,亚历山大·科洛科利采夫,yà lì shān dà · kē luò kē lì cǎi fū
валерий марьянов,瓦列里·马里奥诺夫,wǎ liè lǐ · mǎ lǐ ào nuò fū
николай песков,尼古拉·佩斯科夫,ní gǔ lā · pèi sī kē fū
сухарев владимирович,谢尔盖·苏哈列夫,xiè ěr gài · sū hā liè fū
мордвичев николаевич,安德烈·莫尔德维切夫,ān dé liè · mò ěr dé wéi qiè fū
олеся би,奥莱西亚·毕,ào lái xī yà · bì
антон риваль,安东·里瓦尔,ān dōng · lǐ wǎ ěr
линда лапиньш,琳达·拉平什,lín dá · lā píng shén
сергей ланбамин,谢尔盖·兰巴敏,xiè ěr gài · lán bā mǐn
михаил данилюк,米哈伊尔·丹柳克,mǐ hā yī ěr · dān liǔ kè
яна тыщенко,亚娜·特先科,yà nà · tè xiān kē
оксана баулина,奥克萨娜·鲍利纳,ào kè sà nà · bào lì nà
анатолий бледный,阿纳托利·布莱德尼,ā nà tuō lì · bù lái dé ní
александра бледная,亚历山德拉·布莱德纳亚,yà lì shān dé lā · bù lái dé nà yà
рассел бентли,罗素·本特利,luó sù · běn tè lì
андрей николаевич палий,安德烈·尼古拉耶维奇·帕利,ān dé liè · ní gǔ lā yē wéi qí · pà lì
андрей алексеенко,安德烈·阿列克谢延,ān dé liè · ā liè kè xiè yán
мария пономаренко,玛丽亚·波诺马连科,mǎ lì yà · bō nuò mǎ lián kē
александр кузюков,亚历山大·库久科夫,yà lì shān dà · kù jiǔ kē fū
иван синцов,伊万·辛佐夫,yī wàn · xīn zuǒ fū
денис сивцев,丹尼斯·西夫采夫,dān ní sī · xī fū cǎi fū
теона контридзе,特奥娜·康特里泽,tè ào nà · kāng tè lǐ zé
денис никитин,杰尼斯·尼基廷,jié ní sī · ní jī tíng
азатбек омурбеков,阿扎特别克·奥穆尔别科夫,ā zhā tè bié kè · ào mù ěr bié kē fū
катя молодцова,卡佳·莫洛措娃,kǎ jiā · mò luò cuò wá
иван леванков,伊万·列万科夫,yī wàn · liè wàn kē fū
полина лунегова,波丽娜·卢内戈娃,bō lì nà · lú nèi gē wá
александра скочиленко,亚历山德拉·斯科奇连科,yà lì shān dé lā · sī kē qí lián kē
евгений нужин,叶夫根尼·努任,yè fū gēn ní · nǔ rèn
тимур орагвелидзе,铁木尔·奥拉韦利泽,tiě mù ěr · ào lā wéi lì zé
юлия довганишина,尤莉娅·多夫加尼什娜,yóu lì yà · duō fū jiā ní shén nà
ксения каталымова,克塞尼亚·卡塔利莫娃,kè sāi ní yà · kǎ tǎ lì mò wá
влада веревко,弗拉达·韦列夫科,fú lā dá · wéi liè fū kē
степан девонин,斯捷潘·德沃宁,sī jié pān · dé wò níng
куприн валериевич,安东·库普林,ān dōng · kù pǔ lín
