マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
カミフラノマチ,上富良野町,shàng fù liáng yě tǐng,kamifuranomachi
タドツマチ,多度津町,duō dù jīn tǐng,tadotsumachi
オウウサンミャク,奥羽山脉,ào yǔ shān mài,ouusanmyaku
オオサキカミジママチ,大崎上岛町,dà qí shàng dǎo tǐng,oosakikamijimamachi
キタザカエマチ,北荣町,běi róng tǐng,kitazakaemachi
ヤハバマチ,矢巾町,shǐ jīn tǐng,yahabamachi
アサガワマチ,浅川町,qiǎn chuān tǐng,asagawamachi
ナカマチ,那贺町,nà hè tǐng,nakamachi
ナハリマチ,奈半利町,nài bàn lì tǐng,naharimachi
オチマチ,越知町,yuè zhī tǐng,ochimachi
サガワマチ,佐川町,zuǒ chuān tǐng,sagawamachi
カネガサキマチ,金崎町,jīn qí tǐng,kanegasakimachi
キュウイワサキテイテイエン,旧岩崎家宅邸庭园,jiù yán qí jiā zhái dǐ tíng yuán,kyuuiwasakiteiteien
ヨコハママチ,横滨町,héng bīn tǐng,yokohamamachi
アラシヤママチ,岚山町,lán shān tǐng,arashiyamamachi
ナカツガルグン,中津轻郡,zhōng jīn qīng jùn,nakatsugarugun
ナカタネマチ,中种子町,zhōng zhǒng zi tǐng,nakatanemachi
タチアライマチ,大刀洗町,dà dāo xǐ tǐng,tachiaraimachi
ナカガミグン,中头郡,zhōng tóu jùn,nakagamigun
フルトノマチ,古殿町,gǔ diàn tǐng,furutonomachi
キタウワグン,北宇和郡,běi yǔ hé jùn,kitauwagun
ゼンニホンプロレス,全日本职业摔角,quán rì běn zhí yè shuāi jiǎo,zennihonpuroresu
ショウナンモノレール,湘南单轨电车,xiāng nán dān guǐ diàn chē,shounanmonorēru
クサツマチ,草津町,cǎo jīn tǐng,kusatsumachi
トウキョウコクサイフォーラム,东京国际论坛,dōng jīng guó jì lùn tán,toukyoukokusaifōramu
コシミズマチ,小清水町,xiǎo qīng shuǐ tǐng,koshimizumachi
タイキマチ,大树町,dà shù tǐng,taikimachi
シカオイマチ,鹿追町,lù zhuī tǐng,shikaoimachi
ナイカクジョウホウチョウサシツ,内阁情报调查室,nèi gé qíng bào diào chá shì,naikakujouhouchousashitsu
フジミショボウ,富士见书房,fù shì jiàn shū fáng,fujimishobou
トウジ,东寺,dōng sì,touji
セントウ,钱汤,qián tāng,sentou
レインボーブリッジ,彩虹大桥,cǎi hóng dà qiáo,reinbōburijji
シャナグン,纱那郡,shā nà jùn,shanagun
ヨミウリランド,读卖乐园,dú mài lè yuán,yomiurirando
クナシリグン,国后郡,guó hòu jùn,kunashirigun
エトロフグン,择捉郡,zé zhuō jùn,etorofugun
ノヘジマチ,野边地町,yě biān dì tǐng,nohejimachi
イマベツマチ,今别町,jīn bié tǐng,imabetsumachi
カミカツマチ,上胜町,shàng shèng tǐng,kamikatsumachi
カイヨウマチ,海阳町,hǎi yáng tǐng,kaiyoumachi
オノマチ,小野町,xiǎo yě tǐng,onomachi
イセンマチ,伊仙町,yī xiān tǐng,isenmachi
ワドマリマチ,和泊町,hé bó tǐng,wadomarimachi
タソガレフロンティア,黄昏边境,huáng hūn biān jìng,tasogarefurontia
トコログン,常吕郡,cháng lǚ jùn,tokorogun
アバシリグン,网走郡,wǎng zǒu jùn,abashirigun
ハギインターチェンジ,萩交流道,qiū jiāo liú dào,hagiintāchenji
ムカワマチ,鹉川町,wǔ chuān tǐng,mukawamachi
シャリグン,斜里郡,xié lǐ jùn,sharigun
ニシウスキグン,西臼杵郡,xī jiù chǔ jùn,nishiusukigun
フジツグン,藤津郡,téng jīn jùn,fujitsugun
ヒガシウスキグン,东臼杵郡,dōng jiù chǔ jùn,higashiusukigun
クマグン,球磨郡,qiú mó jùn,kumagun
アマクサグン,天草郡,tiān cǎo jùn,amakusagun
タマナグン,玉名郡,yù míng jùn,tamanagun
ヒガシクニサキグン,东国东郡,dōng guó dōng jùn,higashikunisakigun
キタモロカタグン,北诸县郡,běi zhū xiàn jùn,kitamorokatagun
サツマグン,萨摩郡,sà mó jùn,satsumagun
クスグン,玖珠郡,jiǔ zhū jùn,kusugun
オウシュウカイドウ,奥州街道,ào zhōu jiē dào,oushuukaidou
ナゴヤシエイチカテツサクラドオリセン,樱通线,yīng tōng xiàn,nagoyashieichikatetsusakuradoorisen
ナゴヤシエイチカテツヒガシヤマセン,东山线,dōng shān xiàn,nagoyashieichikatetsuhigashiyamasen
カミイソグン,上矶郡,shàng jī jùn,kamiisogun
ユウフツグン,勇拂郡,yǒng fú jùn,yuufutsugun
リクベツマチ,陆别町,lù bié tǐng,rikubetsumachi
フルビラグン,古平郡,gǔ píng jùn,furubiragun
ヨイチグン,余市郡,yú shì jùn,yoichigun
セタナグン,濑棚郡,lài péng jùn,setanagun
ソウヤグン,宗谷郡,zōng gǔ jùn,souyagun
シママキグン,岛牧郡,dǎo mù jùn,shimamakigun
ホロイズミグン,幌泉郡,huǎng quán jùn,horoizumigun
ウリュウグン,雨龙郡,yǔ lóng jùn,uryuugun
ユウバリグン,夕张郡,xī zhāng jùn,yuubarigun
カバトグン,桦户郡,huà hù jùn,kabatogun
テシカガマチ,弟子屈町,dì zǐ qū tǐng,teshikagamachi
ニイカップグン,新冠郡,xīn guān jùn,niikappugun
ヒロオグン,广尾郡,guǎng wěi jùn,hiroogun
ウラカワグン,浦河郡,pǔ hé jùn,urakawagun
クシロマチ,钏路町,chuàn lù tǐng,kushiromachi
シラヌカマチ,白糠町,bái kāng tǐng,shiranukamachi
ヒヤマグン,桧山郡,guì shān jùn,hiyamagun
サルグン,沙流郡,shā liú jùn,sarugun
シラオイグン,白老郡,bái lǎo jùn,shiraoigun
ウスグン,有珠郡,yǒu zhū jùn,usugun
イワウチグン,岩内郡,yán nèi jùn,iwauchigun
オクシリグン,奥尻郡,ào kāo jùn,okushirigun
イシカリグン,石狩郡,shí shòu jùn,ishikarigun
ハマナカマチ,滨中町,bīn zhōng tǐng,hamanakamachi
ヨシトミマチ,吉富町,jí fù tǐng,yoshitomimachi
フクサトシマチ,福智町,fú zhì tǐng,fukusatoshimachi
ソエダマチ,添田町,tiān tián tǐng,soedamachi
モンガワマチ,门川町,mén chuān tǐng,mongawamachi
トギツマチ,时津町,shí jīn tǐng,togitsumachi
シンジュクノムラビルディング,新宿野村大厦,xīn sù yě cūn dà shà,shinjukunomurabirudingu
オダキュウハコネコウサクセン,钢索线,gāng suǒ xiàn,odakyuuhakonekousakusen
ニシタマグン,西多摩郡,xī duō mó jùn,nishitamagun
レブングン,礼文郡,lǐ wén jùn,rebungun
シンジュクセンタービル,新宿中心大厦,xīn sù zhōng xīn dà shà,shinjukusentābiru
マシケグン,增毛郡,zēng máo jùn,mashikegun
ツルギマチ,剑町,jiàn tǐng,tsurugimachi
ダイママチ,大间町,dà jiān tǐng,daimamachi
マツシゲマチ,松茂町,sōng mào tǐng,matsushigemachi
シュロウ,钟楼,zhōng lóu,shurou
ニッポンボウエキシンコウキコウ,日本贸易振兴机构,rì běn mào yì zhèn xīng jī gòu,nipponbouekishinkoukikou
ホッカイドウシンカンセン,北海道新干线,běi hǎi dào xīn gàn xiàn,hokkaidoushinkansen
サガントス,鸟栖砂岩,niǎo qī shā yán,sagantosu
マシキマチ,益城町,yì chéng tǐng,mashikimachi
クメジママチ,久米岛町,jiǔ mǐ dǎo tǐng,kumejimamachi
ウゴマチ,羽后町,yǔ hòu tǐng,ugomachi
サンギ,参议,cān yì,sangi
カタナカリ,刀狩令,dāo shòu lìng,katanakari
ニッポンニオケルバイバイシュン,日本性交易产业,rì běn xìng jiāo yì chǎn yè,nipponniokerubaibaishun
ナマハゲ,生剥鬼节,shēng bāo guǐ jié,namahage
シベツマチ,标津町,biāo jīn tǐng,shibetsumachi
アショロマチ,足寄町,zú jì tǐng,ashoromachi
ウラホロマチ,浦幌町,pǔ huǎng tǐng,urahoromachi
ノッケグン,野付郡,yě fù jùn,nokkegun
クシログン,钏路郡,chuàn lù jùn,kushirogun
カトウグン,河东郡,hé dōng jùn,katougun
トママエグン,苫前郡,shān qián jùn,tomamaegun
リシリグン,利尻郡,lì kāo jùn,rishirigun
メナシグン,目梨郡,mù lí jùn,menashigun
アツケシグン,厚岸郡,hòu àn jùn,atsukeshigun
テシオグン,天盐郡,tiān yán jùn,teshiogun
シベツグン,标津郡,biāo jīn jùn,shibetsugun
カワカミグン,川上郡,chuān shàng jùn,kawakamigun
ヒカワマル,冰川丸,bīng chuān wán,hikawamaru
タマリョウ,玉陵,yù líng,tamaryou
シンブンアカハタ,赤旗报,chì qí bào,shinbunakahata
ナラコウエン,奈良公园,nài liáng gōng yuán,narakouen
タノマチ,田野町,tián yě tǐng,tanomachi
シコタングン,色丹郡,sè dān jùn,shikotangun
シラヌカグン,白糠郡,bái kāng jùn,shiranukagun
アショログン,足寄郡,zú jì jùn,ashorogun
ルモイグン,留萌郡,liú méng jùn,rumoigun
エサシグン,枝幸郡,zhī xìng jùn,esashigun
モトブマチ,本部町,běn bù tǐng,motobumachi
ニシワガマチ,西和贺町,xī hé hè tǐng,nishiwagamachi
ハナワマチ,塙町,què tǐng,hanawamachi
イシイマチ,石井町,shí jǐng tǐng,ishiimachi
ジユウガオカ,自由之丘,zì yóu zhī qiū,jiyuugaoka
ダイワクヤ,大涌谷,dà yǒng gǔ,daiwakuya
カゴシマホンセン,鹿儿岛本线,lù ér dǎo běn xiàn,kagoshimahonsen
ナンカイデンキテツドウ,南海电气铁道,nán hǎi diàn qì tiě dào,nankaidenkitetsudou
ホッカイドウエアシステム,北海道空中系统,běi hǎi dào kōng zhōng xì tǒng,hokkaidoueashisutemu
ケイハンデンキテツドウ,京阪电气铁道,jīng bǎn diàn qì tiě dào,keihandenkitetsudou
オオマチマチ,大町町,dà tǐng tǐng,oomachimachi
イワテマチ,岩手町,yán shǒu tǐng,iwatemachi
フジサトマチ,藤里町,téng lǐ tǐng,fujisatomachi
オオツキマチ,大月町,dà yuè tǐng,ootsukimachi
トウカイドウホンセン,东海道本线,dōng hǎi dào běn xiàn,toukaidouhonsen
ヨヨギ,代代木,dài dài mù,yoyogi
ナリタエクスプレス,成田特快,chéng tián tè kuài,naritaekusupuresu
ヨコハマフリューゲルス,横滨飞翼,héng bīn fēi yì,yokohamafuryūgerusu
ヨコハマセン,横滨线,héng bīn xiàn,yokohamasen
テンポウ,天保,tiān bǎo,tenpou
ジュウヨウブンカザイ,重要文化财,zhòng yào wén huà cái,juuyoubunkazai
ナゴヤショウケントリヒキショ,名古屋证券交易所,míng gǔ wū zhèng quàn jiāo yì suǒ,nagoyashoukentorihikisho
カミミネマチ,上峰町,shàng fēng tǐng,kamiminemachi
ソラシドエア,空之子航空,kōng zhī zǐ háng kōng,sorashidoea
シチズントケイ,星辰表,xīng chén biǎo,shichizuntokei
オダキュウハコネテツドウセン,铁道线,tiě dào xiàn,odakyuuhakonetetsudousen
シオドメシティセンター,汐留城市中心,xī liú chéng shì zhōng xīn,shiodomeshitisentā
シベトグン,蘂取郡,ruǐ qǔ jùn,shibetogun
センセキセン,仙石线,xiān shí xiàn,sensekisen
ヒビヤ,日比谷,rì bǐ gǔ,hibiya
ニッポンマル,日本丸,rì běn wán,nipponmaru
イカタマチ,伊方町,yī fāng tǐng,ikatamachi
アイズミマチ,蓝住町,lán zhù tǐng,aizumimachi
ヒトシヨドガワマチ,仁淀川町,rén diàn chuān tǐng,hitoshiyodogawamachi
タカヤマホンセン,高山本线,gāo shān běn xiàn,takayamahonsen
ジョウエツセン,上越线,shàng yuè xiàn,jouetsusen
イヨグン,伊予郡,yī yǔ jùn,iyogun
クラテグン,鞍手郡,ān shǒu jùn,kurategun
キタグン,喜多郡,xǐ duō jùn,kitagun
ヒラウチマチ,平内町,píng nèi tǐng,hirauchimachi
カミウケナグン,上浮穴郡,shàng fú xué jùn,kamiukenagun
サガグン,佐贺郡,zuǒ hè jùn,sagagun
シンセカイ,新世界,xīn shì jiè,shinsekai
イトウセン,伊东线,yī dōng xiàn,itousen
シンジユウクラブ,新自由俱乐部,xīn zì yóu jù lè bù,shinjiyuukurabu
ハコネロープウェイ,箱根空中缆车,xiāng gēn kōng zhōng lǎn chē,hakonerōpuwei
ニッポンカモツコウクウ,日本货物航空,rì běn huò wù háng kōng,nipponkamotsukoukuu
カンサイデンリョク,关西电力,guān xī diàn lì,kansaidenryoku
ヒサヤママチ,久山町,jiǔ shān tǐng,hisayamamachi
トウキョウマラソン,东京马拉松,dōng jīng mǎ lā sōng,toukyoumarason
ソウブホンセン,总武本线,zǒng wǔ běn xiàn,soubuhonsen
チュウオウセンカイソク,中央线快速,zhōng yāng xiàn kuài sù,chuuousenkaisoku
テキジュク,适塾,shì shú,tekijuku
オケトマチ,置户町,zhì hù tǐng,oketomachi
サロママチ,佐吕间町,zuǒ lǚ jiān tǐng,saromamachi
シャリマチ,斜里町,xié lǐ tǐng,sharimachi
キヨサトマチ,清里町,qīng lǐ tǐng,kiyosatomachi
クンネップマチ,训子府町,xùn zǐ fǔ tǐng,kunneppumachi
コウブガッタイ,公武合体,gōng wǔ hé tǐ,koubugattai
トウキョウフ,东京府,dōng jīng fǔ,toukyoufu
サイコウサイバンショサイバンカンコクミンシンサ,最高裁判所裁判官国民审查,zuì gāo cái pàn suǒ cái pàn guān guó mín shěn chá,saikousaibanshosaibankankokuminshinsa
ジョウバンセン,常磐线,cháng pán xiàn,joubansen
ニッポンフットボールリーグ,日本足球联赛,rì běn zú qiú lián sài,nipponfuttobōrurīgu
ナカタドグン,仲多度郡,zhòng duō dù jùn,nakatadogun
ササグリマチ,筿栗町,xiǎo lì tǐng,sasagurimachi
カヅノグン,鹿角郡,lù jiǎo jùn,kadzunogun
カスヤマチ,粕屋町,pò wū tǐng,kasuyamachi
キンコウマチ,锦江町,jǐn jiāng tǐng,kinkoumachi
オカガキマチ,冈垣町,gāng yuán tǐng,okagakimachi
ヒカワグン,簸川郡,bò chuān jùn,hikawagun
ナンブセン,南武线,nán wǔ xiàn,nanbusen
ユスハラマチ,梼原町,táo yuán tǐng,yusuharamachi
カスヤグン,糟屋郡,zāo wū jùn,kasuyagun
ハエバルマチ,南风原町,nán fēng yuán tǐng,haebarumachi
カツラガワマチ,桂川町,guì chuān tǐng,katsuragawamachi
ナチノタキ,那智瀑布,nà zhì pù bù,nachinotaki
フクオカドーム,福冈巨蛋,fú gāng jù dàn,fukuokadōmu
キンキホウゲン,近畿方言,jìn jī fāng yán,kinkihougen
オダケマチ,小竹町,xiǎo zhú tǐng,odakemachi
キカイマチ,喜界町,xǐ jiè tǐng,kikaimachi
ヨロンマチ,与论町,yǔ lùn tǐng,yoronmachi
ヨシノヶサトイセキ,吉野里遗迹,jí yě lǐ yí jì,yoshinoヶsatoiseki
サンインホンセン,山阴本线,shān yīn běn xiàn,saninhonsen
ハママツコクサイピアノコンクール,滨松国际钢琴比赛,bīn sōng guó jì gāng qín bǐ sài,hamamatsukokusaipianokonkūru
イプシロンロケット,艾普斯龙运载火箭,ài pǔ sī lóng yùn zài huǒ jiàn,ipushironroketto
オウムマチ,雄武町,xióng wǔ tǐng,oumumachi
ヤスカズ,安和,ān hé,yasukazu
ニッポンユウセイコウシャ,日本邮政公社,rì běn yóu zhèng gōng shè,nipponyuuseikousha
ボタモチ,萩饼,qiū bǐng,botamochi
ブンロク,文禄,wén lù,bunroku
ワドウ,和铜,hé tóng,wadou
ヒガシニッポンダイシンサイ,东日本大震灾,dōng rì běn dà zhèn zāi,higashinippondaishinsai
セキショウセン,石胜线,shí shèng xiàn,sekishousen
シンエイドウガ,新锐动画,xīn ruì dòng huà,shineidouga
ヤマビコ,山彦号列车,shān yàn hào liè chē,yamabiko
トウキュウデンエントシセン,田园都市线,tián yuán dū shì xiàn,toukyuudenentoshisen
シンサイバシ,心斋桥,xīn zhāi qiáo,shinsaibashi
コウベシエイチカテツ,神户市营地下铁,shén hù shì yíng dì xià tiě,koubeshieichikatetsu
チンドンヤ,东西屋,dōng xī wū,chindonya
カンナオトナイカク,菅直人内阁,jiān zhí rén nèi gé,kannaotonaikaku
マイクロンメモリジャパン,尔必达存储器,ěr bì dá cún chǔ qì,maikuronmemorijapan
ダジョウカン,太政官,tài zhèng guān,dajoukan
メイレキ,明历,míng lì,meireki
アコオセン,赤穗线,chì suì xiàn,akoosen
トウブコイズミセン,小泉线,xiǎo quán xiàn,toubukoizumisen
オウシュウフジワラシ,奥州藤原氏,ào zhōu téng yuán shì,oushuufujiwarashi
カミユウベツマチ,上涌别町,shàng yǒng bié tǐng,kamiyuubetsumachi
カワサキジュウカンコウソクテツドウ,川崎纵贯高速铁道,chuān qí zòng guàn gāo sù tiě dào,kawasakijuukankousokutetsudou
ローム,罗姆株式会社,luó mǔ zhū shì huì shè,rōmu
ニホンエアシステム,日本佳速航空,rì běn jiā sù háng kōng,nihoneashisutemu
ジャパンタイムズ,日本时报,rì běn shí bào,japantaimuzu
ニッポンカモツテツドウ,日本货物铁道,rì běn huò wù tiě dào,nipponkamotsutetsudou
ニッポンコクセイフ,日本国政府,rì běn guó zhèng fǔ,nipponkokuseifu
ユリカモメトウキョウリンカイシンコウツウリンカイセン,东京临海新交通临海线,dōng jīng lín hǎi xīn jiāo tōng lín hǎi xiàn,yurikamometoukyourinkaishinkoutsuurinkaisen
コブクロ,可苦可乐,kě kǔ kě lè,kobukuro
ニシウワグン,西宇和郡,xī yǔ hé jùn,nishiuwagun
オガサワラコクリツコウエン,小笠原国立公园,xiǎo lì yuán guó lì gōng yuán,ogasawarakokuritsukouen
タイホウマチ,大丰町,dà fēng tǐng,taihoumachi
オチグン,越智郡,yuè zhì jùn,ochigun
コウセイロウドウショウ,厚生劳动省,hòu shēng láo dòng shěng,kouseiroudoushou
ウエケマチ,上毛町,shàng máo tǐng,uekemachi
タカハルマチ,高原町,gāo yuán tǐng,takaharumachi
キヤママチ,基山町,jī shān tǐng,kiyamamachi
ヒガシクシラマチ,东串良町,dōng chuàn liáng tǐng,higashikushiramachi
バンプレスト,万普,wàn pǔ,banpuresuto
ブンカチョウメディアゲイジュツサイ,文化厅媒体艺术祭,wén huà tīng méi tǐ yì shù jì,bunkachoumediageijutsusai
サイキョウセン,埼京线,qí jīng xiàn,saikyousen
トクマショテン,德间书店,dé jiān shū diàn,tokumashoten
ニッポンユウセイ,日本邮政,rì běn yóu zhèng,nipponyuusei
コクブンジ,国分寺,guó fēn sì,kokubunji
ヒロシマヘイワキネンコウエン,广岛和平纪念公园,guǎng dǎo hé píng jì niàn gōng yuán,hiroshimaheiwakinenkouen
フクサキマチ,福崎町,fú qí tǐng,fukusakimachi
コクドコウツウショウ,国土交通省,guó tǔ jiāo tōng shěng,kokudokoutsuushou
トウキョウメトロハンゾウモンセン,半藏门线,bàn cáng mén xiàn,toukyoumetorohanzoumonsen
シュトコウソクトシンカンジョウセン,首都高速都心环状线,shǒu dū gāo sù dōu xīn huán zhuàng xiàn,shutokousokutoshinkanjousen
マイニチシンブン,每日新闻,měi rì xīn wén,mainichishinbun
センザンセン,仙山线,xiān shān xiàn,senzansen
ニッポンアニメーション,日本动画,rì běn dòng huà,nipponanimēshon
クロフネ,黑船,hēi chuán,kurofune
ニホンエアコミューター,日本空中通勤,rì běn kōng zhōng tōng qín,nihoneakomyūtā
ゴールデンウィーク,黄金周,huáng jīn zhōu,gōrudenwīku
ニンゲンコクホウ,重要无形文化财保持者,zhòng yào wú xíng wén huà cái bǎo chí zhě,ningenkokuhou
ワダミサキセン,和田岬线,hé tián jiǎ xiàn,wadamisakisen
キンテツオオサカセン,大阪线,dà bǎn xiàn,kintetsuoosakasen
テルテルボウズ,晴天娃娃,qíng tiān wá wa,teruterubouzu
オメシシレッシャ,皇家列车,huáng jiā liè chē,omeshishiressha
ニッポウホンセン,日丰本线,rì fēng běn xiàn,nippouhonsen
ヒガシアジアキョウドウタイ,东亚共同体,dōng yà gòng tóng tǐ,higashiajiakyoudoutai
ハマカゼ,滨风号列车,bīn fēng hào liè chē,hamakaze
ハルナサン,榛名山,zhēn míng shān,harunasan
トウキュウトウヨコセン,东横线,dōng héng xiàn,toukyuutouyokosen
トウキュウイケガミセン,池上线,chí shàng xiàn,toukyuuikegamisen
メイテツナゴヤホンセン,名古屋本线,míng gǔ wū běn xiàn,meitetsunagoyahonsen
ヒダカシンコウキョク,日高振兴局,rì gāo zhèn xīng jú,hidakashinkoukyoku
ニッポンデンシ,日本电子,rì běn diàn zǐ,nippondenshi
シントミマチ,新富町,xīn fù tǐng,shintomimachi
ヒノカゲマチ,日之影町,rì zhī yǐng tǐng,hinokagemachi
タカナベマチ,高锅町,gāo guō tǐng,takanabemachi
ヒロガワマチ,广川町,guǎng chuān tǐng,hirogawamachi
エンギ,延喜,yán xǐ,engi
テンピョウカンタカラ,天平感宝,tiān píng gǎn bǎo,tenpyoukantakara
カミヒサシ,神龟,shén guī,kamihisashi
トエイチカテツシンジュクセン,新宿线,xīn sù xiàn,toeichikatetsushinjukusen
トウホクラクテンゴールデンイーグルス,东北乐天金鹫,dōng běi lè tiān jīn jiù,touhokurakutengōrudenīgurusu
マサキマチ,松前町,sōng qián tǐng,masakimachi
リシリレブンサロベツコクリツコウエン,利尻礼文佐吕别国立公园,lì kāo lǐ wén zuǒ lǚ bié guó lì gōng yuán,rishirirebunsarobetsukokuritsukouen
ニシバラマチ,西原町,xī yuán tǐng,nishibaramachi
ホウブンシャ,芳文社,fāng wén shè,houbunsha
ショウワシンザン,昭和新山,zhāo hé xīn shān,shouwashinzan
ホウシ,法师,fǎ shī,houshi
フジキュウハイランド,富士急乐园,fù shì jí lè yuán,fujikyuuhairando
ハガグン,芳贺郡,fāng hè jùn,hagagun
ヒロシヒトシ,弘仁,hóng rén,hiroshihitoshi
カンゴケイクモ,神护景云,shén hù jǐng yún,kangokeikumo
レイカメ,灵龟,líng guī,reikame
ジンコトブキ,仁寿,rén shòu,jinkotobuki
ヨウロウ,养老,yǎng lǎo,yourou
ヨシミサチ,嘉祥,jiā xiáng,yoshimisachi
テンチョウ,天长,tiān cháng,tenchou
テンピョウカンゴ,天平神护,tiān píng shén hù,tenpyoukango
テンピョウショウタカラ,天平胜宝,tiān píng shèng bǎo,tenpyoushoutakara
ノベレキ,延历,yán lì,nobereki
シメマチ,志免町,zhì miǎn tǐng,shimemachi
ミヤコマチ,京都町,jīng dōu tǐng,miyakomachi
ヨシノヶサトマチ,吉野里町,jí yě lǐ tǐng,yoshinoヶsatomachi
コウホクマチ,江北町,jiāng běi tǐng,kouhokumachi
ゲンカイマチ,玄海町,xuán hǎi tǐng,genkaimachi
カンダマチ,苅田町,yì tián tǐng,kandamachi
シマジリグン,岛尻郡,dǎo kāo jùn,shimajirigun
アイコム,艾可慕,ài kě mù,aikomu
シライシマチ,白石町,bái shí tǐng,shiraishimachi
タラマチ,太良町,tài liáng tǐng,taramachi
ナガオカキョウ,长冈京,cháng gāng jīng,nagaokakyou
ムサシノセン,武藏野线,wǔ cáng yě xiàn,musashinosen
イケダヤジケン,池田屋事件,chí tián wū shì jiàn,ikedayajiken
フジハコネイズコクリツコウエン,富士箱根伊豆国立公园,fù shì xiāng gēn yī dòu guó lì gōng yuán,fujihakoneizukokuritsukouen
ハンシンホンセン,阪神本线,bǎn shén běn xiàn,hanshinhonsen
ツバキモトチエイン,椿本链条,chūn běn liàn tiáo,tsubakimotochiein
アシガラシモグン,足柄下郡,zú bǐng xià jùn,ashigarashimogun
ヨシミホ,嘉保,jiā bǎo,yoshimiho
エイトオル,永享,yǒng xiǎng,eitooru
ノウリンスイサンショウ,农林水产省,nóng lín shuǐ chǎn shěng,nourinsuisanshou
オソレヤマ,恐山,kǒng shān,osoreyama
トウキョウトコウツウキョク,东京都交通局,dōng jīng dōu jiāo tōng jú,toukyoutokoutsuukyoku
ナリタリコン,成田离婚,chéng tián lí hūn,naritarikon
キムライヘエシャシンショウ,木村伊兵卫赏,mù cūn yī bīng wèi shǎng,kimuraiheeshashinshou
コンゴウザンテラ,金峰山寺,jīn fēng shān sì,kongouzantera
ショウニッポンシュギ,小日本主义,xiǎo rì běn zhǔ yì,shounipponshugi
ノベヒサ,延久,yán jiǔ,nobehisa
オガサワラシチョウ,小笠原支厅,xiǎo lì yuán zhī tīng,ogasawarashichou
ナガオサ,永长,yǒng cháng,nagaosa
モトナガ,元永,yuán yǒng,motonaga
テンヒトシ,天仁,tiān rén,tenhitoshi
サンヨウホンセン,山阳本线,shān yáng běn xiàn,sanyouhonsen
カトリックセキグチキョウカイ,东京圣玛利亚主教座堂,dōng jīng shèng mǎ lì yà zhǔ jiào zuò táng,katorikkusekiguchikyoukai
トオルロク,享禄,xiǎng lù,tooruroku
オオゾラマチ,大空町,dà kōng tǐng,oozoramachi
モンベツグン,纹别郡,wén bié jùn,monbetsugun
ジンムテンノウソクイキゲン,皇纪,huáng jì,jinmutennousokuikigen
アシカガガッコウ,足利学校,zú lì xué xiào,ashikagagakkou
エンヒヤタケミタケ,园比屋武御岳,yuán bǐ wū wǔ yù yuè,enhiyatakemitake
モンブカガクショウ,文部科学省,wén bù kē xué shěng,monbukagakushou
ハンキュウコウベホンセン,神户本线,shén hù běn xiàn,hankyuukoubehonsen
ウチュウカガクケンキュウジョ,宇宙科学研究所,yǔ zhòu kē xué yán jiū suǒ,uchuukagakukenkyuujo
サマニマチ,样似町,yàng sì tǐng,samanimachi
ヨコハママリンタワー,横滨海洋塔,héng bīn hǎi yáng tǎ,yokohamamarintawā
エキスポランド,万博乐园,wàn bó lè yuán,ekisuporando
トウゴウジンジャ,东乡神社,dōng xiāng shén shè,tougoujinja
ニッポンアカデミーショウカントクショウ,日本电影学院奖最佳导演奖,rì běn diàn yǐng xué yuàn jiǎng zuì jiā dǎo yǎn jiǎng,nipponakademīshoukantokushou
ミスニッポン,日本小姐,rì běn xiǎo jiě,misunippon
ナンカイドウ,南海道,nán hǎi dào,nankaidou
ユウラクチョウ,有乐町,yǒu lè tǐng,yuurakuchou
サンヨウドウ,山阳道,shān yáng dào,sanyoudou
テンノウジドウブツエン,天王寺动物园,tiān wáng sì dòng wù yuán,tennoujidoubutsuen
カドカワショテン,角川书店,jiǎo chuān shū diàn,kadokawashoten
タダミセン,只见线,zhǐ jiàn xiàn,tadamisen
オホーツクソウゴウシンコウキョク,鄂霍次克综合振兴局,è huò cì kè zōng hé zhèn xīng jú,ohōtsukusougoushinkoukyoku
ニホンデンシンデンワ,日本电信电话,rì běn diàn xìn diàn huà,nihondenshindenwa
チョウコヨミ,长历,cháng lì,choukoyomi
チョウロク,长禄,cháng lù,chouroku
ナガウケタマワ,永承,yǒng chéng,nagauketamawa
エイタダシ,永正,yǒng zhèng,eitadashi
チョウキュウ,长久,cháng jiǔ,choukyuu
ウケタマワホ,承保,chéng bǎo,uketamawaho
リュウキュウミンゾク,琉球族,liú qiú zú,ryuukyuuminzoku
ブンヤス,文安,wén ān,bunyasu
フミマサ,文正,wén zhèng,fumimasa
イトダマチ,糸田町,mì tián tǐng,itodamachi
タツゴウマチ,龙乡町,lóng xiāng tǐng,tatsugoumachi
ミフネマチ,御船町,yù chuán tǐng,mifunemachi
ミナミオオスミマチ,南大隅町,nán dà yú tǐng,minamioosumimachi
サガミセン,相模线,xiāng mó xiàn,sagamisen
ラウスマチ,罗臼町,luó jiù tǐng,rausumachi
シベチャマチ,标茶町,biāo chá tǐng,shibechamachi
ムシプロダクション,虫制作,chóng zhì zuò,mushipurodakushon
コウラクエン,后乐园,hòu lè yuán,kourakuen
シュトケンシントシテツドウツクバエクスプレス,筑波快线,zhù bō kuài xiàn,shutokenshintoshitetsudoutsukubaekusupuresu
クロベダム,黑部水坝,hēi bù shuǐ bà,kurobedamu
キタアキタグン,北秋田郡,běi qiū tián jùn,kitaakitagun
