김일,金日,jīn rì,gimil
강건,姜健,jiāng jiàn,ganggeon
김정,金仲,jīn zhòng,gimjeong
김철,金哲,jīn zhé,gimceol
남일,南日,nán rì,namil
백석,白石,bái shí,baegseog
허담,许锬,xǔ tán,heodam
김책,金策,jīn cè,gimcaeg
김무정,武亭,wǔ tíng,gimmujeong
서휘,徐辉,xú huī,seohwi
최휘,崔辉,cuī huī,coehwi
최광,崔光,cuī guāng,coegwang
박열,朴烈,pǔ liè,bagyeol
허헌,许宪,xǔ xiàn,heoheon
김옥,金玉,jīn yù,gimog
찰스 로버트 젱킨스,查尔斯·罗伯特·詹金斯,chá ěr sī · luó bǎi tè · zhān jīn sī,calseu robeoteu jengkinseu
최현,崔贤,cuī xián,coehyeon
안길,安吉,ān jí,angil
장철,张哲,zhāng zhé,jangceol
이찬,李灿,lǐ càn,ican
반디,潘迪,pān dí,bandi
임화,林和,lín hé,imhwa
배철,裴哲,péi zhé,baeceol
김웅,金雄,jīn xióng,gimung
마산면,马山面,mǎ shān miàn,masanmyeon
마서면,马西面,mǎ xī miàn,maseomyeon
마성면,麻城面,má chéng miàn,maseongmyeon
마암면,马岩面,mǎ yán miàn,maammyeon
의정부지방법원,议政府地方法院,yì zhèng fǔ dì fāng fǎ yuàn,yijeongbujibangbeobweon
의정부여자고등학교,议政府女子高等学校,yì zhèng fǔ nǚ zǐ gāo děng xué xiào,yijeongbuyeojagodeunghaggyo
의정부지방검찰청,议政府地方检察厅,yì zhèng fǔ dì fāng jiǎn chá tīng,yijeongbujibanggeomcalceong
의창동,义昌洞,yì chāng dòng,yicangdong
용현동,龙岘洞,lóng xiàn dòng,yonghyeondong
우만동,牛满洞,niú mǎn dòng,umandong
우암동,牛岩洞,niú yán dòng,uamdong
우신고등학교,宇信高等学校,yǔ xìn gāo děng xué xiào,usingodeunghaggyo
영일군,迎日郡,yíng rì jùn,yeongilgun
영천동,灵泉洞,líng quán dòng,yeongceondong
영파여자고등학교,英坡女子高等学校,yīng pō nǚ zǐ gāo děng xué xiào,yeongpayeojagodeunghaggyo
롯데홈쇼핑,乐天家庭购物,lè tiān jiā tíng gòu wù,rosdehomsyoping
마곡대교,麻谷大桥,má gǔ dà qiáo,magogdaegyo
신동아,新东亚,xīn dōng yà,sindonga
신둔면,新屯面,xīn tún miàn,sindunmyeon
신림고등학교,新林高等学校,xīn lín gāo děng xué xiào,sinrimgodeunghaggyo
신림면,神林面,shén lín miàn,sinrimmyeon
신목고등학교,新木高等学校,xīn mù gāo děng xué xiào,sinmoggodeunghaggyo
신봉고등학교,新凤高中,xīn fèng gāo zhōng,sinbonggodeunghaggyo
신산중학교,新山中学校,xīn shān zhōng xué xiào,sinsanjunghaggyo
용담동,龙潭洞,lóng tán dòng,yongdamdong
용담명암산성동,龙潭明岩山城洞,lóng tán míng yán shān chéng dòng,yongdammyeongamsanseongdong
용두동,龙头洞,lóng tóu dòng,yongdudong
용마폭포공원,龙马瀑布公园,lóng mǎ pù bù gōng yuán,yongmapogpogongweon
용문면,龙门面,lóng mén miàn,yongmunmyeon
용문고등학교,龙文高等学校,lóng wén gāo děng xué xiào,yongmungodeunghaggyo
만경읍,万顷邑,wàn qǐng yì,mangyeongeub
만복사,南原万福寺,nán yuán wàn fú sì,manbogsa
만수동,万寿洞,wàn shòu dòng,mansudong
망상동,望祥洞,wàng xiáng dòng,mangsangdong
망월사,望月寺,wàng yuè sì,mangweolsa
매교동,梅桥洞,méi qiáo dòng,maegyodong
매듭장,朝鲜结,cháo xiān jié,maedeubjang
북성동,北城洞,běi chéng dòng,bugseongdong
북천면,北川面,běi chuān miàn,bugceonmyeon
북하면,北下面,běi xià miàn,bughamyeon
북한지,北汉志,běi hàn zhì,bughanji
분당영덕여자고등학교,荣德女子高中,róng dé nǚ zǐ gāo zhōng,bundangyeongdeogyeojagodeunghaggyo
분당중앙고등학교,盆唐中央高等学校,pén táng zhōng yāng gāo děng xué xiào,bundangjunganggodeunghaggyo
분평동,纷坪洞,fēn píng dòng,bunpyeongdong
인후동,麟后洞,lín hòu dòng,inhudong
일광읍,日光邑,rì guāng yì,ilgwangeub
무성서원,武城书院,wǔ chéng shū yuàn,museongseoweon
무안면,武安面,wǔ ān miàn,muanmyeon
묵호동,墨湖洞,mò hú dòng,mughodong
사창동,司仓洞,sī cāng dòng,sacangdong
산곡동,山谷洞,shān gǔ dòng,sangogdong
숭보사,崇报祠,chóng bào cí,sungbosa
스포츠서울,体育首尔,tǐ yù shǒu ěr,seupoceuseoul
전남기술과학고등학교,全南技术科学高等学校,quán nán jì shù kē xué gāo děng xué xiào,jeonnamgisulgwahaggodeunghaggyo
전남대학교병원,全南大学附设医院,quán nán dà xué fù shè yī yuàn,jeonnamdaehaggyobyeongweon
전남선,全南线,quán nán xiàn,jeonnamseon
전동면,全东面,quán dōng miàn,jeondongmyeon
전라남도청,全罗南道厅,quán luó nán dào tīng,jeonranamdoceong
수어장대,守御将台,shǒu yù jiāng tái,sueojangdae
수영야류,水营野游,shuǐ yíng yě yóu,suyeongyaryu
수원공업고등학교,水原工业高等学校,shuǐ yuán gōng yè gāo děng xué xiào,suweongongeobgodeunghaggyo
수원지방법원,水原地方法院,shuǐ yuán dì fāng fǎ yuàn,suweonjibangbeobweon
수원지방검찰청,水原地方检察厅,shuǐ yuán dì fāng jiǎn chá tīng,suweonjibanggeomcalceong
인월면,引月面,yǐn yuè miàn,inweolmyeon
인창동,仁昌洞,rén chāng dòng,incangdong
인천경제자유구역청,仁川经济自由区域厅,rén chuān jīng jì zì yóu qū yù tīng,inceongyeongjejayuguyeogceong
인천고등학교,仁川高等学校,rén chuān gāo děng xué xiào,inceongodeunghaggyo
인천광역시부평도서관,仁川市教育厅富平图书馆,rén chuān shì jiào yù tīng fù píng tú shū guǎn,inceongwangyeogsibupyeongdoseogwan
인천광역시교육청,仁川教育厅,rén chuān jiào yù tīng,inceongwangyeogsigyoyugceong
인천광역시청,仁川广域市厅,rén chuān guǎng yù shì tīng,inceongwangyeogsiceong
연동면,燕东面,yàn dōng miàn,yeondongmyeon
연무읍,錬武邑,liàn wǔ yì,yeonmueub
연서면,燕西面,yàn xī miàn,yeonseomyeon
연성동,莲城洞,lián chéng dòng,yeonseongdong
연수고등학교,延寿高等学校,yán shòu gāo děng xué xiào,yeonsugodeunghaggyo
연제고등학교,莲堤高等学校,lián dī gāo děng xué xiào,yeonjegodeunghaggyo
연천읍,涟川邑,lián chuān yì,yeonceoneub
연평면,延坪面,yán píng miàn,yeonpyeongmyeon
선농단,首尔先农坛,shǒu ěr xiān nóng tán,seonnongdan
선단동,仙坛洞,xiān tán dòng,seondandong
선덕고등학교,宣德高中,xuān dé gāo zhōng,seondeoggodeunghaggyo
선린중학교,善隣中学国中部,shàn lín zhōng xué guó zhōng bù,seonrinjunghaggyo
선명여자고등학교,善明女子高等学校,shàn míng nǚ zǐ gāo děng xué xiào,seonmyeongyeojagodeunghaggyo
선부동,仙府洞,xiān fǔ dòng,seonbudong
선유도공원,仙游岛公园,xiān yóu dǎo gōng yuán,seonyudogongweon
선정고등학교,善正高等学校,shàn zhèng gāo děng xué xiào,seonjeonggodeunghaggyo
선진여행사,先进旅行社,xiān jìn lǚ xíng shè,seonjinyeohaengsa
선진운수,先进运输,xiān jìn yùn shū,seonjinunsu
선학동,仙鹤洞,xiān hè dòng,seonhagdong
여의도고등학교,汝矣岛高等学校,rǔ yǐ dǎo gāo děng xué xiào,yeoyidogodeunghaggyo
역곡동,驿谷洞,yì gǔ dòng,yeoggogdong
연곡면,连谷面,lián gǔ miàn,yeongogmyeon
연기면,燕岐面,yàn qí miàn,yeongimyeon
웅진동,熊津洞,xióng jīn dòng,ungjindong
웅천읍,熊川邑,xióng chuān yì,ungceoneub
정부과천청사,政府果川厅舍,zhèng fǔ guǒ chuān tīng shè,jeongbugwaceonceongsa
정부세종청사,政府世宗厅舍,zhèng fǔ shì zōng tīng shè,jeongbusejongceongsa
정석항공과학고등학교,静石航空科学高等学校,jìng shí háng kōng kē xué gāo děng xué xiào,jeongseoghanggonggwahaggodeunghaggyo
정신여자고등학교,贞信女子高等学校,zhēn xìn nǚ zǐ gāo děng xué xiào,jeongsinyeojagodeunghaggyo
정신여자중학교,贞信女子中学校,zhēn xìn nǚ zǐ zhōng xué xiào,jeongsinyeojajunghaggyo
비봉면,飞凤面,fēi fèng miàn,bibongmyeon
비산동,飞山洞,fēi shān dòng,bisandong
비전동,碑前洞,bēi qián dòng,bijeondong
빙그레,宾格瑞,bīn gé ruì,binggeure
빛고을고등학교,光村高等学校,guāng cūn gāo děng xué xiào,bicgoeulgodeunghaggyo
마두동,马头洞,mǎ tóu dòng,madudong
송도유원지,松岛游乐园,sōng dǎo yóu lè yuán,songdoyuweonji
송림고등학교,松林高中,sōng lín gāo zhōng,songrimgodeunghaggyo
송산동,松山洞,sōng shān dòng,songsandong
송악읍,松岳邑,sōng yuè yì,songageub
송운중학교,松韵中学校,sōng yùn zhōng xué xiào,songunjunghaggyo
송월동,松月洞,sōng yuè dòng,songweoldong
송정동,木岘洞,mù xiàn dòng,songjeongdong
동보초등학교,豆川初等学校,dòu chuān chū děng xué xiào,dongbocodeunghaggyo
동복면,同福面,tóng fú miàn,dongbogmyeon
왕곡면,旺谷面,wàng gǔ miàn,wanggogmyeon
임실필봉농악,任实笔峰农乐,rèn shí bǐ fēng nóng lè,imsilpilbongnongag
임자고등학교,荏子高等学校,rěn zǐ gāo děng xué xiào,imjagodeunghaggyo
임자면,荏子面,rěn zǐ miàn,imjamyeon
임피면,临陂面,lín bēi miàn,impimyeon
입장면,笠长面,lì cháng miàn,ibjangmyeon
자운서원,紫云书院,zǐ yún shū yuàn,jaunseoweon
자월면,紫月面,zǐ yuè miàn,jaweolmyeon
언양고등학교,彦阳高等学校,yàn yáng gāo děng xué xiào,eonyanggodeunghaggyo
얼리버드엔터테인먼트,早鸟娱乐,zǎo niǎo yú lè,eolribeodeuenteoteinmeonteu
엑스코,大邱会展中心,dà qiū huì zhǎn zhōng xīn,egseuko
여량면,余粮面,yú liáng miàn,yeoryangmyeon
원곡동,元谷洞,yuán gǔ dòng,weongogdong
원광정보예술고등학교,圆光情报艺术高等学校,yuán guāng qíng bào yì shù gāo děng xué xiào,weongwangjeongboyesulgodeunghaggyo
원동면,院洞面,yuàn dòng miàn,weondongmyeon
원미고등학교,远美高等学校,yuǎn měi gāo děng xué xiào,weonmigodeunghaggyo
원인재,源仁斋,yuán rén zhāi,weoninjae
원자력병원,韩国原子力医学院附设原子力医院,hán guó yuán zǐ lì yī xué yuàn fù shè yuán zǐ lì yī yuàn,weonjaryeogbyeongweon
원종고등학교,京畿道远宗高等学校,jīng jī dào yuǎn zōng gāo děng xué xiào,weonjonggodeunghaggyo
원종동,远宗洞,yuǎn zōng dòng,weonjongdong
원주공업고등학교,原州工业高等学校,yuán zhōu gōng yè gāo děng xué xiào,weonjugongeobgodeunghaggyo
왕산면,王山面,wáng shān miàn,wangsanmyeon
왕조동,旺照洞,wàng zhào dòng,wangjodong
요촌동,尧村洞,yáo cūn dòng,yocondong
욕지면,欲知面,yù zhī miàn,yogjimyeon
용궁면,龙宫面,lóng gōng miàn,yonggungmyeon
우정총국,韩国邮政总局,hán guó yóu zhèng zǒng jú,ujeongconggug
우천면,隅川面,yú chuān miàn,uceonmyeon
운봉읍,云峰邑,yún fēng yì,unbongeub
운서동,云西洞,yún xī dòng,unseodong
지정면,地正面,dì zhèng miàn,jijeongmyeon
지천면,枝川面,zhī chuān miàn,jiceonmyeon
지평면,砥平面,dǐ píng miàn,jipyeongmyeon
직산읍,稷山邑,jì shān yì,jigsaneub
진건읍,真干邑,zhēn gān yì,jingeoneub
진교면,辰桥面,chén qiáo miàn,jingyomyeon
미당문학상,未堂文学奖,wèi táng wén xué jiǎng,midangmunhagsang
미림여자고등학교,美林女子高等学校,měi lín nǚ zǐ gāo děng xué xiào,mirimyeojagodeunghaggyo
미성동,美星洞,měi xīng dòng,miseongdong
현대차증권,韩国现代证券,hán guó xiàn dài zhèng quàn,hyeondaecajeunggweon
상서면,上西面,shàng xī miàn,sangseomyeon
상중이동,上中梨洞,shàng zhōng lí dòng,sangjungidong
상하동,上下洞,shàng xià dòng,sanghadong
사릉,思陵,sī líng,sareung
사법시험,韩国律师资格考试,hán guó lǜ shī zī gé kǎo shì,sabeobsiheom
사법연수원,韩国司法研修院,hán guó sī fǎ yán xiū yuàn,sabeobyeonsuweon
사북읍,舍北邑,shè běi yì,sabugeub
사우동,沙隅洞,shā yú dòng,saudong
동명생활경영고등학교,东明女子情报产业高等学校,dōng míng nǚ zǐ qíng bào chǎn yè gāo děng xué xiào,dongmyeongsaenghwalgyeongyeonggodeunghaggyo
연동,连洞,lián dòng,yeondong
제주과학고등학교,济州科学高等学校,jì zhōu kē xué gāo děng xué xiào,jejugwahaggodeunghaggyo
제주은행,济州银行,jì zhōu yín háng,jejueunhaeng
제주특별자치도교육청,济州特别自治道教育厅,jì zhōu tè bié zì zhì dào jiào yù tīng,jejuteugbyeoljacidogyoyugceong
제주특별자치도청,济州特别自治道厅,jì zhōu tè bié zì zhì dào tīng,jejuteugbyeoljacidoceong
창원컨벤션센터,昌原会展中心,chāng yuán huì zhǎn zhōng xīn,cangweonkeonbensyeonsenteo
창현고등학교,昌现高等学校,chāng xiàn gāo děng xué xiào,canghyeongodeunghaggyo
상대원동,上大院洞,shàng dà yuàn dòng,sangdaeweondong
상동고등학교,上洞高等学校,shàng dòng gāo děng xué xiào,sangdonggodeunghaggyo
상동,上洞,shàng dòng,sangdong
상동면,上东面,shàng dōng miàn,sangdongmyeon
상문동,上门洞,shàng mén dòng,sangmundong
상북면,上北面,shàng běi miàn,sangbugmyeon
심천면,深川面,shēn chuān miàn,simceonmyeon
쌍림면,双林面,shuāng lín miàn,ssangrimmyeon
아라동,我罗洞,wǒ luó dòng,aradong
아름동,合抱洞,hé bào dòng,areumdong
오죽헌,乌竹轩,wū zhú xuān,ojugheon
오천면,鳌川面,áo chuān miàn,oceonmyeon
옥구읍,沃沟邑,wò gōu yì,oggueub
옥련동,玉莲洞,yù lián dòng,ogryeondong
옥산면,玉山面,yù shān miàn,ogsanmyeon
옹기장,瓮器匠,wèng qì jiàng,onggijang
와동,瓦洞,wǎ dòng,wadong
와룡면,卧龙面,wò lóng miàn,waryongmyeon
와부읍,瓦阜邑,wǎ fù yì,wabueub
완도읍,莞岛邑,wǎn dǎo yì,wandoeub
완산동,完山洞,wán shān dòng,wansandong
신평동,新平洞,xīn píng dòng,sinpyeongdong
신평면,新平面,xīn píng miàn,sinpyeongmyeon
신현동,新岘洞,xīn xiàn dòng,sinhyeondong
신흥동,新兴洞,xīn xīng dòng,sinheungdong
심곡본동,深谷本洞,shēn gǔ běn dòng,simgogbondong
중앙소방학교,中央消防学校,zhōng yāng xiāo fáng xué xiào,jungangsobanghaggyo
중원고등학교,中远高等学校,zhōng yuǎn gāo děng xué xiào,jungweongodeunghaggyo
증심사,证心寺,zhèng xīn sì,jeungsimsa
증포동,增浦洞,zēng pǔ dòng,jeungpodong
증평읍,曾坪邑,céng píng yì,jeungpyeongeub
살곶이다리,箭串桥,jiàn chuàn qiáo,salgojidari
삼례읍,参礼邑,cān lǐ yì,samryeeub
부인중학교,富仁中学校,fù rén zhōng xué xiào,buinjunghaggyo
부적면,夫赤面,fū chì miàn,bujeogmyeon
부평고등학교,富平高等学校,fù píng gāo děng xué xiào,bupyeonggodeunghaggyo
부평기적의도서관,富平奇迹图书馆,fù píng qí jì tú shū guǎn,bupyeonggijeogyidoseogwan
부평공원,富平公园,fù píng gōng yuán,bupyeonggongweon
위미중학교,为美中学校,wèi měi zhōng xué xiào,wimijunghaggyo
유곡면,柳谷面,liǔ gǔ miàn,yugogmyeon
유구읍,维鸠邑,wéi jiū yì,yugueub
유니버설아트센터,环球艺术中心,huán qiú yì shù zhōng xīn,yunibeoseolateusenteo
육군미사일전략사령부,大韩民国陆军飞弹司令部,dà hán mín guó lù jūn fēi dàn sī lìng bù,yuggunmisailjeonryagsaryeongbu
유봉여자고등학교,裕凤女子高等学校,yù fèng nǚ zǐ gāo děng xué xiào,yubongyeojagodeunghaggyo
이화여자고등학교,梨花女子高等学校,lí huā nǚ zǐ gāo děng xué xiào,ihwayeojagodeunghaggyo
이대목동병원,梨花女子大学附设木洞医院,lí huā nǚ zǐ dà xué fù shè mù dòng yī yuàn,idaemogdongbyeongweon
이화장,梨花庄,lí huā zhuāng,ihwajang
인계동,仁溪洞,rén xī dòng,ingyedong
육군인사사령부,大韩民国陆军人事司令部,dà hán mín guó lù jūn rén shì sī lìng bù,yugguninsasaryeongbu
인성여자고등학교,仁圣女子高等学校,rén shèng nǚ zǐ gāo děng xué xiào,inseongyeojagodeunghaggyo
주촌면,酒村面,jiǔ cūn miàn,juconmyeon
월곶면,月串面,yuè chuàn miàn,weolgojmyeon
월롱면,月笼面,yuè lóng miàn,weolrongmyeon
월산면,月山面,yuè shān miàn,weolsanmyeon
월평동,月坪洞,yuè píng dòng,weolpyeongdong
신서면,新西面,xīn xī miàn,sinseomyeon
신성고등학교,新星高等学校,xīn xīng gāo děng xué xiào,sinseonggodeunghaggyo
신세계동대구복합환승센터,新世界东大邱复合转乘中心,xīn shì jiè dōng dà qiū fù hé zhuǎn chéng zhōng xīn,sinsegyedongdaeguboghabhwanseungsenteo
신암동,新岩洞,xīn yán dòng,sinamdong
신양면,新阳面,xīn yáng miàn,sinyangmyeon
신영증권,信荣证券,xìn róng zhèng quàn,sinyeongjeunggweon
신용보증기금,信用保证基金,xìn yòng bǎo zhèng jī jīn,sinyongbojeunggigeum
신의면,新衣面,xīn yī miàn,sinyimyeon
불갑면,佛甲面,fó jiǎ miàn,bulgabmyeon
불곡고등학교,佛谷高等学校,fó gǔ gāo děng xué xiào,bulgoggodeunghaggyo
불암동,池内洞,chí nèi dòng,bulamdong
야로면,治炉面,zhì lú miàn,yaromyeon
약목면,若木面,ruò mù miàn,yagmogmyeon
양구읍,杨口邑,yáng kǒu yì,yanggueub
양림동,杨林洞,yáng lín dòng,yangrimdong
양명여자고등학교,养明女高,yǎng míng nǚ gāo,yangmyeongyeojagodeunghaggyo
진영읍,进永邑,jìn yǒng yì,jinyeongeub
진주검무,晋州剑舞,jìn zhōu jiàn wǔ,jinjugeommu
진주남강유등축제,晋州南江流灯祝祭,jìn zhōu nán jiāng liú dēng zhù jì,jinjunamgangyudeungcugje
영통동,灵通洞,líng tōng dòng,yeongtongdong
영풍문고,永豊书店,yǒng lǐ shū diàn,yeongpungmungo
서북도서방위사령부,西北岛屿防卫司令部,xī běi dǎo yǔ fáng wèi sī lìng bù,seobugdoseobangwisaryeongbu
서신면,西新面,xī xīn miàn,seosinmyeon
서신동,西新洞,xī xīn dòng,seosindong
학교면,鹤桥面,hè qiáo miàn,haggyomyeon
학동,鹤洞,hè dòng,hagdong
학성고등학교,鹤城高等学校,hè chéng gāo děng xué xiào,hagseonggodeunghaggyo
한경면,翰京面,hàn jīng miàn,hangyeongmyeon
비금면,飞禽面,fēi qín miàn,bigeummyeon
산동면,山东面,shān dōng miàn,sandongmyeon
산북면,山北面,shān běi miàn,sanbugmyeon
산성면,山城面,shān chéng miàn,sanseongmyeon
산양읍,山阳邑,shān yáng yì,sanyangeub
제천국제음악영화제,堤川国际音乐电影节,dī chuān guó jì yīn yuè diàn yǐng jié,jeceongugjeeumagyeonghwaje
조각장,雕刻匠,diāo kè jiàng,jogagjang
조계종,曹溪宗,cáo xī zōng,jogyejong
조리읍,条理邑,tiáo lǐ yì,jorieub
조선대학교병원,朝鲜大学附设医院,cháo xiān dà xué fù shè yī yuàn,joseondaehaggyobyeongweon
지구레코드,地球唱片,dì qiú chàng piàn,jigurekodeu
지금동,芝锦洞,zhī jǐn dòng,jigeumdong
영화여자정보고등학교,永化观光经营高等学校,yǒng huà guān guāng jīng yíng gāo děng xué xiào,yeonghwayeojajeongbogodeunghaggyo
영회원,永怀园,yǒng huái yuán,yeonghoeweon
예당저수지,礼唐贮水池,lǐ táng zhù shuǐ chí,yedangjeosuji
예래동,猊来洞,ní lái dòng,yeraedong
예릉,朝鲜睿陵,cháo xiān ruì líng,yereung
예산고등학교,礼山高等学校,lǐ shān gāo děng xué xiào,yesangodeunghaggyo
예산예화여자고등학교,礼山女子高等学校,lǐ shān nǚ zǐ gāo děng xué xiào,yesanyehwayeojagodeunghaggyo
원천동,远川洞,yuǎn chuān dòng,weonceondong
인천논현고등학교,仁川论岘高等学校,rén chuān lùn xiàn gāo děng xué xiào,inceonnonhyeongodeunghaggyo
인천대공원,仁川大公园,rén chuān dà gōng yuán,inceondaegongweon
문곡고등학교,仁川税务高等学校,rén chuān shuì wù gāo děng xué xiào,mungoggodeunghaggyo
인천안남중학교,仁川安南中学校,rén chuān ān nán zhōng xué xiào,inceonannamjunghaggyo
인천여자공업고등학교,仁川美容艺术高等学校,rén chuān měi róng yì shù gāo děng xué xiào,inceonyeojagongeobgodeunghaggyo
진동면,津东面,jīn dōng miàn,jindongmyeon
진량읍,珍良邑,zhēn liáng yì,jinryangeub
진산면,珍山面,zhēn shān miàn,jinsanmyeon
진서면,津西面,jīn xī miàn,jinseomyeon
진안동,陈雁洞,chén yàn dòng,jinandong
문막고등학교,文幕高等学校,wén mù gāo děng xué xiào,munmaggodeunghaggyo
문백면,文白面,wén bái miàn,munbaegmyeon
아산면,雅山面,yǎ shān miàn,asanmyeon
악기장,乐器匠,yuè qì jiàng,aggijang
악양면,岳阳面,yuè yáng miàn,agyangmyeon
안곡고등학교,安谷高等学校,ān gǔ gāo děng xué xiào,angoggodeunghaggyo
안남고등학교,安南高等学校,ān nán gāo děng xué xiào,annamgodeunghaggyo
새마을금고,韩国社区信用合作社联合社,hán guó shè qū xìn yòng hé zuò shè lián hé shè,saemaeulgeumgo
서귀포산업과학고등학교,西归浦产业科学高等学校,xī guī pǔ chǎn yè kē xué gāo děng xué xiào,seogwiposaneobgwahaggodeunghaggyo
시종면,始终面,shǐ zhōng miàn,sijongmyeon
시천면,矢川面,shǐ chuān miàn,siceonmyeon
시흥고등학교,始兴高等学校,shǐ xīng gāo děng xué xiào,siheunggodeunghaggyo
식사동,食寺洞,shí sì dòng,sigsadong
삼송동,纸杻洞,zhǐ niǔ dòng,samsongdong
신장고등학교,新长高等学校,xīn cháng gāo děng xué xiào,sinjanggodeunghaggyo
신장동,新场洞,xīn chǎng dòng,sinjangdong
신찬벽온방,新纂辟瘟方,xīn zuǎn pì wēn fāng,sincanbyeogonbang
신창면,新昌面,xīn chāng miàn,sincangmyeon
온양읍,温阳邑,wēn yáng yì,onyangeub
은행동,银杏洞,yín xìng dòng,eunhaengdong
은현면,隐县面,yǐn xiàn miàn,eunhyeonmyeon
수현사,水铉祠,shuǐ xuàn cí,suhyeonsa
숙지고등학교,熟知高中,shú zhī gāo zhōng,sugjigodeunghaggyo
순창객사,淳昌客舍,chún chāng kè shè,suncanggaegsa
한광고등학교,汉光高等学校,hàn guāng gāo děng xué xiào,hangwanggodeunghaggyo
면천면,沔川面,miǎn chuān miàn,myeonceonmyeon
명덕여자고등학교,明德女子高等学校,míng dé nǚ zǐ gāo děng xué xiào,myeongdeogyeojagodeunghaggyo
명륜동,明伦洞,míng lún dòng,myeongryundong
철원읍,铁原邑,tiě yuán yì,ceolweoneub
청계동,清溪洞,qīng xī dòng,ceonggyedong
청계서원,淸溪书院,qīng xī shū yuàn,ceonggyeseoweon
청도읍,清道邑,qīng dào yì,ceongdoeub
다시다,大喜大,dà xǐ dà,dasida
동인시화,东人诗话,dōng rén shī huà,donginsihwa
동인천고등학교,东仁川高等学校,dōng rén chuān gāo děng xué xiào,donginceongodeunghaggyo
동인천동,东仁川洞,dōng rén chuān dòng,donginceondong
양평고등학교,杨平高中,yáng píng gāo zhōng,yangpyeonggodeunghaggyo
서남동,瑞南洞,ruì nán dòng,seonamdong
서대전고등학교,西大田高中,xī dà tián gāo zhōng,seodaejeongodeunghaggyo
서도소리,西道索里,xī dào suǒ lǐ,seodosori
서울국제고등학교,首尔国际高等学校,shǒu ěr guó jì gāo děng xué xiào,seoulgugjegodeunghaggyo
서울국제뉴미디어페스티벌,首尔国际新媒体电影节,shǒu ěr guó jì xīn méi tǐ diàn yǐng jié,seoulgugjenyumidieopeseutibeol
서울남부지방검찰청,首尔南部地方检察厅,shǒu ěr nán bù dì fāng jiǎn chá tīng,seoulnambujibanggeomcalceong
서울남부지방법원,首尔南部地方法院,shǒu ěr nán bù dì fāng fǎ yuàn,seoulnambujibangbeobweon
양평읍,杨平邑,yáng píng yì,yangpyeongeub
흥업면,兴业面,xīng yè miàn,heungeobmyeon
흥해읍,兴海邑,xīng hǎi yì,heunghaeeub
희릉,朝鲜禧陵,cháo xiān xǐ líng,hyireung
주간동아,东亚周刊,dōng yà zhōu kān,jugandonga
주산면,珠山面,zhū shān miàn,jusanmyeon
주엽고등학교,注叶高等学校,zhù yè gāo děng xué xiào,juyeobgodeunghaggyo
안중읍,安仲邑,ān zhòng yì,anjungeub
암태면,岩泰面,yán tài miàn,amtaemyeon
압구정고등학교,狎鸥亭高等学校,xiá ōu tíng gāo děng xué xiào,abgujeonggodeunghaggyo
압해읍,押海邑,yā hǎi yì,abhaeeub
앙성면,仰城面,yǎng chéng miàn,angseongmyeon
한국광해광업공단,韩国矿物资源公社,hán guó kuàng wù zī yuán gōng shè,hanguggwanghaegwangeobgongdan
한국구화학교,韩国口话学校,hán guó kǒu huà xué xiào,hangugguhwahaggyo
한국노동연구원,韩国劳动硏究院,hán guó láo dòng yán jiū yuàn,hangugnodongyeonguweon
안동시장,安东市长,ān dōng shì zhǎng,andongsijang
안산강서고등학교,安山江西高等学校,ān shān jiāng xī gāo děng xué xiào,ansangangseogodeunghaggyo
안산고등학교,安山高等学校,ān shān gāo děng xué xiào,ansangodeunghaggyo
안산호원초등학교,安山虎院初等学校,ān shān hǔ yuàn chū děng xué xiào,ansanhoweoncodeunghaggyo
안양고등학교,安养高等学校,ān yǎng gāo děng xué xiào,anyanggodeunghaggyo
흥덕고등학교,兴德高等学校,xīng dé gāo děng xué xiào,heungdeoggodeunghaggyo
흥륜사지,兴轮寺,xīng lún sì,heungryunsaji
흥도동,元兴洞,yuán xīng dòng,heungdodong
철마면,铁马面,tiě mǎ miàn,ceolmamyeon
명신여학교,明新女学校,míng xīn nǚ xué xiào,myeongsinyeohaggyo
창녕읍,昌宁邑,chāng níng yì,cangnyeongeub
창덕여자고등학교,昌德女子高校,chāng dé nǚ zǐ gāo xiào,cangdeogyeojagodeunghaggyo
창릉동,昌陵洞,chāng líng dòng,cangreungdong
창선면,昌善面,chāng shàn miàn,cangseonmyeon
창원기계공업고등학교,昌原机械工业高等学校,chāng yuán jī xiè gōng yè gāo děng xué xiào,cangweongigyegongeobgodeunghaggyo
창원대암고등학교,昌原大岩高等学校,chāng yuán dà yán gāo děng xué xiào,cangweondaeamgodeunghaggyo
송하동,松下洞,sōng xià dòng,songhadong
송학면,松鹤面,sōng hè miàn,songhagmyeon
송해면,松海面,sōng hǎi miàn,songhaemyeon
이평면,梨坪面,lí píng miàn,ipyeongmyeon
전략물자관리원,战略物资管理院,zhàn lüè wù zī guǎn lǐ yuàn,jeonryagmuljagwanriweon
전민동,田民洞,tián mín dòng,jeonmindong
한양공업고등학교,汉阳工业高等学校,hàn yáng gōng yè gāo děng xué xiào,hanyanggongeobgodeunghaggyo
청도전자고등학교,清道电子高等学校,qīng dào diàn zǐ gāo děng xué xiào,ceongdojeonjagodeunghaggyo
청라동,靑罗洞,qīng luó dòng,ceongradong
청리면,青里面,qīng lǐ miàn,ceongrimyeon
