lech wałęsa,레흐 바웬사,reheu bawensa
killion munyama,킬리온 무냐마,kilrion munyama
marian sawa,마리안 사바,marian saba
dorota miśkiewicz,도로타 미시키에비치,dorota misikiebici
dawid podsiadło,다비트 포트시아드워,dabiteu poteusiadeuweo
elżbieta starostecka,엘주비에타 스타로스테츠카,eljubieta seutaroseuteceuka
edyta śliwińska,에디타 실리빈스카,edita silribinseuka
elżbieta szemplińskasobolewska,엘주비에타 솀플린스카,eljubieta syempeulrinseuka
ryszard lenczewski,리샤르트 렌체프스키,risyareuteu rencepeuseuki
agnieszka kotlarska,아그니에슈카 코틀라르스카,ageuniesyuka koteulrareuseuka
józef mélèzemodrzejewski,조제프 멜레즈모제예프스키,jojepeu melrejeumojeyepeuseuki
ewa petelska,에바 페텔스카,eba petelseuka
edmund fetting,에드문트 페틴크,edeumunteu petinkeu
tadeusz fijewski,타데우시 피예프스키,tadeusi piyepeuseuki
sebastian karpielbułecka,세바스티안 카르피엘부웨츠카,sebaseutian kareupielbuweceuka
adam włodek,아담 브워데크,adam beuweodekeu
kinga dunin,킨가 두닌,kinga dunin
krzysztof chamiec,크시슈토프 하미에츠,keusisyutopeu hamieceu
józef chałasiński,유제프 하와신스키,yujepeu hawasinseuki
wacław wąsowicz,바츠와프 봉소비치,baceuwapeu bongsobici
krzysztof surlit,크시슈토프 수를리트,keusisyutopeu sureulriteu
stanisław kamocki,스타니사프 카모츠키,seutanisapeu kamoceuki
karol brzozowski,카롤 브조조프스키,karol beujojopeuseuki
jacek dehnel,야체크 데흐넬,yacekeu deheunel
maciej scherfchen,마치에이 셰르프헨,maciei syereupeuhen
zofia mrozowska,조피아 므로조프스카,jopia meurojopeuseuka
katarzyna grochola,카타지나 그로홀라,katajina geuroholra
grzegorz tobiszowski,그제고시 토비쇼프스키,geujegosi tobisyopeuseuki
gustaw lutkiewicz,구스타프 루트키에비치,guseutapeu ruteukiebici
marek koniarek,마레크 코니아레크,marekeu koniarekeu
edyta jungowska,에디타 윤고프스카,edita yungopeuseuka
marian dziędziel,마리안 지엥지엘,marian jiengjiel
alina janowska,알리나 야노프스카,alrina yanopeuseuka
mateusz piskorski,마테우시 피스코르스키,mateusi piseukoreuseuki
elżbieta jasińska,엘주비에타 야신스카,eljubieta yasinseuka
michał bielczyk,미하우 비엘치크,mihau bielcikeu
andrzej bogucki,안제이 보구츠키,anjei boguceuki
sergiusz żymełka,세르기우시 지메우카,sereugiusi jimeuka
tadeusz pieronek,타데우시 피에로네크,tadeusi pieronekeu
igor śmiałowski,이고르 스미알로프스키,igoreu seumialropeuseuki
izo szajewicz,이소 샤예비치,iso syayebici
bronisław wrocławski,브로니스와프 브로츠와프스키,beuroniseuwapeu beuroceuwapeuseuki
iwo byczewski,이보 비체프스키,ibo bicepeuseuki
aleksandra olsza,알렉산드라 올샤,alregsandeura olsya
jacek komuda,야체크 코무다,yacekeu komuda
grzegorz gajewski,그제고시 가예프스키,geujegosi gayepeuseuki
jerzy wasowski,예지 바소프스키,yeji basopeuseuki
jacek piekara,야체크 피에카라,yacekeu piekara
tomasz stolpa,토마시 스톨파,tomasi seutolpa
joanna żółkowska,요안나 주코프스카,yoanna jukopeuseuka
wiesław gołas,비에스와프 고와스,bieseuwapeu gowaseu
gustaw herlinggrudziński,구스타프 헤를링그루진스키,guseutapeu hereulringgeurujinseuki
berenika okuniewska,베레니카 톰시아,berenika tomsia
sylwia nowak,실비아 노바크,silbia nobakeu
agnieszka kotulanka,아그니에슈카 코툴란카,ageuniesyuka kotulranka
rozalia mancewicz,로잘리아 만체비치,rojalria mancebici
julia wróblewska,율리아 브루블레프스카,yulria beurubeulrepeuseuka
sebastian kolasiński,세바스티안 콜라신스키,sebaseutian kolrasinseuki
agnieszka warchulska,아그니에슈카 바르훌스카,ageuniesyuka bareuhulseuka
julian kornhauser,율리안 코른하우세르,yulrian koreunhausereu
aldona młyńczak,알도나 므윈차크,aldona meuwincakeu
edward madejski,에드바르트 마데이스키,edeubareuteu madeiseuki
jan rybkowski,얀 립코프스키,yan ribkopeuseuki
ewa dałkowska,에바 달코프스카,eba dalkopeuseuka
jan marcin szancer,얀 마르친 샨체르,yan mareucin syancereu
jan tomasz zamoyski,얀 토마시 자모이스키,yan tomasi jamoiseuki
jan stanisławski,얀 스타니스와프스키,yan seutaniseuwapeuseuki
jan błoński,얀 브원스키,yan beuweonseuki
elżbieta hałas,엘주비에타 하와스,eljubieta hawaseu
alina pienkowska,알리나 피엔코프스카,alrina pienkopeuseuka
zygmunt miłoszewski,지그문트 미워셰프스키,jigeumunteu miweosyepeuseuki
irena dubiska,이레나 두비스카,irena dubiseuka
janusz jojko,야누시 요이코,yanusi yoiko
józef kotlarczyk,유제프 코틀라르치크,yujepeu koteulrareucikeu
paweł czartoryski,파베우 차르토리스키,pabeu careutoriseuki
wacław depo,바츠와프 데포,baceuwapeu depo
wojciech zagórski,보이치에흐 자구르스키,boicieheu jagureuseuki
violetta arlak,비올레타 아를라크,biolreta areulrakeu
paweł małaszyński,파베우 마와신스키,pabeu mawasinseuki
anna milewska,안나 밀레프스카,anna milrepeuseuka
andrzej friszke,안제이 프리슈케,anjei peurisyuke
elżbieta zającówna,엘주비에타 자용추브나,eljubieta jayongcubeuna
andrzej kopiczyński,안제이 코피친스키,anjei kopicinseuki
andrzej maszewski,안제이 마셰프스키,anjei masyepeuseuki
emil zegadłowicz,에밀 제가드워비치,emil jegadeuweobici
piotr bielczyk,피오트르 비엘치크,pioteureu bielcikeu
piotr dumała,피오트르 두마와,pioteureu dumawa
katarzyna ankudowicz,카타지나 안쿠도비치,katajina ankudobici
andrzej pieczyński,안제이 피에친스키,anjei piecinseuki
andrzej smolik,안제이 스몰리크,anjei seumolrikeu
piotr pręgowski,피오트르 프렝고프스키,pioteureu peurenggopeuseuki
alina kaszlinska,알리나 카실린스카야,alrina kasilrinseukaya
elżbieta kępińska,엘주비에타 켕핀스카,eljubieta kengpinseuka
katarzyna pakosińska,카타지나 파코신스카,katajina pakosinseuka
katarzyna strączy,카타지나 스트롱치,katajina seuteurongci
andrzej zimniak,안제이 짐니아크,anjei jimniakeu
krzysztof kiersznowski,크시슈토프 키에르슈노프스키,keusisyutopeu kiereusyunopeuseuki
andrzej wawrzyk,안제이 바브지크,anjei babeujikeu
franciszek szlachcic,프란치셰크 슐라흐치츠,peurancisyekeu syulraheuciceu
krystyna kobylańska,크리스티나 코빌라니스카,keuriseutina kobilraniseuka
rafał lasocki,라파우 라소츠키,rapau rasoceuki
krzysztof głowacki,크시슈토프 그워바츠키,keusisyutopeu geuweobaceuki
krzysztof brejza,크시슈토프 브레이자,keusisyutopeu beureija
krzysztof kazimierczak,크시슈토프 카지미에르차크,keusisyutopeu kajimiereucakeu
krzysztof piskuła,크시슈토프 피스쿠와,keusisyutopeu piseukuwa
krzysztof tchórzewski,크시슈토프 트후제프스키,keusisyutopeu teuhujepeuseuki
robert gawliński,로베르트 가블린스키,robereuteu gabeulrinseuki
robert brylewski,로베르트 브릴레프스키,robereuteu beurilrepeuseuki
stanisław tołwiński,스타니스와프 토우빈스키,seutaniseuwapeu toubinseuki
roman zambrowski,로만 잠브로프스키,roman jambeuropeuseuki
aleksander ihnatowicz,알렉산데르 이흐나토비치,alregsandereu iheunatobici
maciej maleńczuk,마치에이 말렌추크,maciei malrencukeu
stanisław michalkiewicz,스타니스와프 미할키에비치,seutaniseuwapeu mihalkiebici
aleksandra hamkało,알렉산드라 함카워,alregsandeura hamkaweo
stanisław staszewski,스타니스와프 스타셰프스키,seutaniseuwapeu seutasyepeuseuki
aleksandra ciejek,알렉산드라 치에예크,alregsandeura cieyekeu
magdalena samozwaniec,마그달레나 사모즈바니에츠,mageudalrena samojeubanieceu
magdalena różczka,마그달레나 루슈치카,mageudalrena rusyucika
magdalena zawadzka,마그달레나 자바츠카,mageudalrena jabaceuka
stanisław zaczyk,스타니스와프 자치크,seutaniseuwapeu jacikeu
aleksandra popławska,알렉산드라 포프와프스카,alregsandeura popeuwapeuseuka
sylwester maciejewski,실베스테르 마치에예프스키,silbeseutereu macieyepeuseuki
łucja prus,우차 프루스,uca peuruseu
marek surmacz,마레크 수르마치,marekeu sureumaci
tadeusz kossak,타데우시 코사크,tadeusi kosakeu
józef skolimowski,유제프 스콜리모프스키,yujepeu seukolrimopeuseuki
maria zuchowicz,마리아 주호비치,maria juhobici
maria niklińska,마리아 니클린스카,maria nikeulrinseuka
tamara arciuch,타마라 아르치우흐,tamara areuciuheu
mariusz mowlik,마리우시 모블리크,mariusi mobeulrikeu
małgorzata rejmer,마우고자타 레이메르,maugojata reimereu
elżbieta wieczorkowska,엘주비에타 비에초르코프스카,eljubieta biecoreukopeuseuka
witold czartoryski,비톨트 차르토리스키,bitolteu careutoriseuki
mieczysław maliński,미에치슬라프 말린스키,mieciseulrapeu malrinseuki
mieczysław biernacki,미에치스와프 비에르나츠키,mieciseuwapeu biereunaceuki
wojciech kasperski,보이치에흐 카스페르스키,boicieheu kaseupereuseuki
witold skulicz,비톨트 스쿨리치,bitolteu seukulrici
marcin mroczek,마르친 므로체크,mareucin meurocekeu
miriam kressin,미리엄 크레신,mirieom keuresin
anna ciepielewska,안나 치에피엘레프스카,anna ciepielrepeuseuka
mirosław goliński,미로스와프 골린스키,miroseuwapeu golrinseuki
monika mrozowska,모니카 므로조프스카,monika meurojopeuseuka
władysław kawula,브와디스와프 카불라,beuwadiseuwapeu kabulra
adam jakubowski,아담 야쿠보프스키,adam yakubopeuseuki
zbigniew stryj,즈비그니에프 스트리이,jeubigeuniepeu seuteurii
paulina krupińska,파울리나 크루핀스카,paulrina keurupinseuka
zbigniew kwiatkowski,즈비그니에프 크비아트코프스키,jeubigeuniepeu keubiateukopeuseuki
andrzej pęczak,안제이 펭차크,anjei pengcakeu
andrzej rybiński,안제이 리빈스키,anjei ribinseuki
zdzisław zamoyski,지스와프 자모이스키,jiseuwapeu jamoiseuki
zdzisława sośnicka,지스와바 소시니츠카,jiseuwaba sosiniceuka
zofia chądzyńska,조피아 홍진스카,jopia hongjinseuka
zygmunt staszczyk,지그문트 스타슈치크,jigeumunteu seutasyucikeu
andrzej szenajch,안제이 셰나이흐,anjei syenaiheu
adam szostkiewicz,아담 쇼스트키에비치,adam syoseuteukiebici
stanisław niwiński,스타니스와프 니빈스키,seutaniseuwapeu nibinseuki
andrzej kotkowski,안제이 코트코프스키,anjei koteukopeuseuki
andrzej wnuk,안제이 브누크,anjei beunukeu
adam woronowicz,아담 워로비츠,adam weorobiceu
artur międzyrzecki,아르투르 미엥지제츠키,areutureu miengjijeceuki
konstanty brandel,콘스탄티 브란델,konseutanti beurandel
artur płatek,아르투르 프와테크,areutureu peuwatekeu
bronisława dłuska,브로니스와바 드우스카,beuroniseuwaba deuuseuka
andrzej młynarczyk,안제이 므위나르치크,anjei meuwinareucikeu
aurelia jankowskapolańska,아우렐리아 폴란스카,aurelria polranseuka
agata passent,아가타 파센트,agata pasenteu
barbara bursztynowicz,바르바라 부르슈티노비치,bareubara bureusyutinobici
aniela pająkówna,아니엘라 파용쿠브나,anielra payongkubeuna
barbara kurdejszatan,바르바라 쿠르데이샤탄,bareubara kureudeisyatan
barbara kurzaj,바르바라 쿠자이,bareubara kujai
agnieszka judycka,아그니에슈카 유디츠카,ageuniesyuka yudiceuka
agnieszka kaczorowska,아그니에슈카 카초로프스카,ageuniesyuka kacoropeuseuka
edward sąsiada,에드바르트 송시아다,edeubareuteu songsiada
barbara pecślesicka,바르바라 페츠실레시츠카,bareubara peceusilresiceuka
anna gzyra,안나 그지라,anna geujira
agnieszka woźniakstarak,아그니에슈카 보지니아크스타라크,ageuniesyuka bojiniakeuseutarakeu
anna kazejak,안나 카제야크다비트,anna kajeyakeudabiteu
anna kalczyńska,안나 칼친스카,anna kalcinseuka
agnieszka więdłocha,아그니에슈카 비엥드워하,ageuniesyuka biengdeuweoha
bartosz żukowski,바르토시 주코프스키,bareutosi jukopeuseuki
bartosz sztybor,바르토시 슈티보르,bareutosi syutiboreu
bronisław tusk,브로니스와프 투스크,beuroniseuwapeu tuseukeu
grzegorz brzęczyszczykiewicz,그제고시 브젱치슈치키에비치,geujegosi beujengcisyucikiebici
bartłomiej kwiatkowski,바르트워미에이 크비아트코프스키,bareuteuweomiei keubiateukopeuseuki
anna powierza,안나 포비에자,anna pobieja
bartłomiej nowosielski,바르틀로미에이 노보시엘스키,bareuteulromiei nobosielseuki
elżbieta rafalska,엘주비에타 라팔스카,eljubieta rapalseuka
anna zalewska,안나 잘레프스카,anna jalrepeuseuka
elżbieta romanowska,엘주비에타 로마노프스카,eljubieta romanopeuseuka
elżbieta woźniak,엘주비에타 보지니아크,eljubieta bojiniakeu
błażej wyszkowski,브와제이 비슈코프스키,beuwajei bisyukopeuseuki
anna wendzikowska,안나 벤지코프스카,anna benjikopeuseuka
anna streżyńska,안나 스트레진스카,anna seuteurejinseuka
anna szarek,안나 샤레크,anna syarekeu
grzegorz kwiatkowski,그제고시 크비아트코프스키,geujegosi keubiateukopeuseuki
emilia komarnickaklynstra,에밀리아 코마르니츠카,emilria komareuniceuka
beata pawlikowska,베아타 파블리코프스카,beata pabeulrikopeuseuka
grzegorz królikiewicz,그제고시 크롤리키에비치,geujegosi keurolrikiebici
beata świecka,베아타 시비에츠카,beata sibieceuka
antoni królikowski,안토니 크룰리코프스키,antoni keurulrikopeuseuki
halina kwiatkowska,할리나 크비아트코프스카,halrina keubiateukopeuseuka
halina rowicka,할리나 로비츠카,halrina robiceuka
halina wyrodek,할리나 비로데크,halrina birodekeu
ewa kuryło,에바 쿠리워,eba kuriweo
bogusław baniak,보구스와프 바니아크,boguseuwapeu baniakeu
ewa pacuła,에바 파추와,eba pacuwa
ewa skibińska,에바 스키빈스카,eba seukibinseuka
dariusz paradowski,다리우시 파라도프스키,dariusi paradopeuseuki
feliks rączkowski,펠릭스 롱치코프스키,pelrigseu rongcikopeuseuki
artur dziurman,아르투르 지우르만,areutureu jiureuman
rafał skarbekmalczewski,라파우 스카르베크말체프스키,rapau seukareubekeumalcepeuseuki
ferdynand feldman,페르디난트 펠드만,pereudinanteu peldeuman
dominika wielowieyska,도미니카 비엘로비에이스카,dominika bielrobieiseuka
dorota arciszewskamielewczyk,도로타 아르치셰프스카미엘레프치크,dorota areucisyepeuseukamielrepeucikeu
robert kwiatkowski,로베르트 크비아트코프스키,robereuteu keubiateukopeuseuki
honorata witańska,호노라타 비탄스카,honorata bitanseuka
jan szyszko,얀 시슈코,yan sisyuko
radosław krzyżowski,라도스와프 크시조프스키,radoseuwapeu keusijopeuseuki
stanisław brudny,스타니스와프 브루드니,seutaniseuwapeu beurudeuni
rafał królikowski,라파우 크룰리코프스키,rapau keurulrikopeuseuki
tadeusz paradowicz,타데우시 파라도비치,tadeusi paradobici
ryszard andrzejak,리샤르트 안제야크,risyareuteu anjeyakeu
waldemar chrostowski,발데마르 흐로스토프스키,baldemareu heuroseutopeuseuki
stefan sutkowski,스테판 수트코프스키,seutepan suteukopeuseuki
stanisław kostrzewski,스타니스와프 코스트셰프스키,seutaniseuwapeu koseuteusyepeuseuki
stefan żeromski,스테판 제롬스키,seutepan jeromseuki
szczepan twardoch,슈체판 트바르도흐,syucepan teubareudoheu
sebastian fabijański,세바스티안 파비얀스키,sebaseutian pabiyanseuki
teresa wargocka,테레사 바르고츠카,teresa bareugoceuka
tomasz ciachorowski,토마시 치아호로프스키,tomasi ciahoropeuseuki
tomasz grodzki,토마시 그로츠키,tomasi geuroceuki
wiesław kwiatkowski,비에스와프 크비아트코프스키,bieseuwapeu keubiateukopeuseuki
tomasz kwiatkowski,토마시 크비아트코프스키,tomasi keubiateukopeuseuki
wojciech cugowski,보이치에흐 추고프스키,boicieheu cugopeuseuki
tomasz mandes,토마시 만데스,tomasi mandeseu
wiesław władyka,비에스와프 브와디카,bieseuwapeu beuwadika
tomasz organek,토마시 오르가네크,tomasi oreuganekeu
tomasz schuchardt,토마시 슈하르트,tomasi syuhareuteu
wojciech kwiatkowski,보이치에흐 크비아트코프스키,boicieheu keubiateukopeuseuki
wojciech mecwaldowski,보이치에흐 메츠발도프스키,boicieheu meceubaldopeuseuki
tadeusz chomicki,타데우쉬 호미츠키,tadeuswi homiceuki
tomasz wołek,토마시 보웨크,tomasi bowekeu
tomasz świątek,토마시 시비옹테크,tomasi sibiongtekeu
tymon tymański,티몬 티만스키,timon timanseuki
wojciech waglewski,보이치에흐 바글레프스키,boicieheu bageulrepeuseuki
wojciech stawowy,보이치에흐 스타보비,boicieheu seutabobi
stanisław szczuka,스타니스와프 슈추카,seutaniseuwapeu syucuka
wojciech wencel,보이치에흐 벤첼,boicieheu bencel
tadeusz kwiatkowski,타데우시 크비아트코프스키,tadeusi keubiateukopeuseuki
filip szcześniak,타코 헤밍웨이,tako hemingwei
zbigniew buczkowski,즈비그니에프 부치코프스키,jeubigeuniepeu bucikopeuseuki
andrzej zieliński,안제이 지엘린스키,anjei jielrinseuki
andrzej szczepkowski,안제이 슈쳅코프스키,anjei syucebkopeuseuki
halina łabonarska,할리나 와보나르스카,halrina wabonareuseuka
władysław kowalski,브와디스와프 코발스키,beuwadiseuwapeu kobalseuki
antoni chlondowski,안토니 흘론도프스키,antoni heulrondopeuseuki
ignacy karpowicz,이그나치 카르포비치,igeunaci kareupobici
arkadiusz wojnarowski,아르카디우시 보이나로프스키,areukadiusi boinaropeuseuki
zbigniew pakleza,즈비그니에프 파클레자,jeubigeuniepeu pakeulreja
bartłomiej frykowski,바르트워미에이 프리코프스키,bareuteuweomiei peurikopeuseuki
irena koprowska,이레나 코프로프스카,irena kopeuropeuseuka
władysław winawer,브와디스와프 비나베르,beuwadiseuwapeu binabereu
borys mańkowski,보리스 만코프스키,boriseu mankopeuseuki
łukasz starowicz,우카시 스타로비치,ukasi seutarobici
zbigniew wodecki,즈비그니에프 보데츠키,jeubigeuniepeu bodeceuki
łukasz warzecha,우카시 바제하,ukasi bajeha
łukasz wittmichałowski,우카시 비트미하워프스키,ukasi biteumihaweopeuseuki
jacek banaszkiewicz,야체크 바나슈키에비치,yacekeu banasyukiebici
jeremi przybora,예레미 프시보라,yeremi peusibora
maciej jodko,마치에이 요트코,maciei yoteuko
jacek krzaklewski,야체크 크샤클레프스키,yacekeu keusyakeulrepeuseuki
dariusz wiktorowicz,다리우시 빅토로비치,dariusi bigtorobici
jadwiga gadulanka,야드비가 가둘란카,yadeubiga gadulranka
dominika łakomska,도미니카 와콤스카,dominika wakomseuka
marcin koszałka,마르친 코샤우카,mareucin kosyauka
paweł łukaszewski,파베우 우카셰프스키,pabeu ukasyepeuseuki
mieczysław wolfke,미에치스와프 볼프케,mieciseuwapeu bolpeuke
elżbieta rabsztyn,엘주비에타 랍슈틴,eljubieta rabsyutin
jakub wesołowski,야쿠프 베소워프스키,yakupeu besoweopeuseuki
jan aleksandrowiczkrasko,얀 크라스코,yan keuraseuko
jakub żulczyk,야쿠프 줄치크,yakupeu julcikeu
jan tombiński,얀 톰빈스키,yan tombinseuki
jan grabiec,얀 그라비에츠,yan geurabieceu
andrzej blumenfeld,안제이 블루멘펠트,anjei beulrumenpelteu
gabriela pietrucha,가브리엘라 피에트루하,gabeurielra pieteuruha
janusz dunin,아누시 두닌,anusi dunin
jan krzysztof ardanowski,얀 크시슈토프 아르다노프스키,yan keusisyutopeu areudanopeuseuki
janusz józefowicz,야누시 유제포비치,yanusi yujepobici
jolanta fraszyńska,욜란타 프라신스카,yolranta peurasinseuka
andrzej kwiatkowski,안제이 크비아트코프스키,anjei keubiateukopeuseuki
jerzy jastrzębowski,예지 야스트솅보프스키,yeji yaseuteusyengbopeuseuki
józef łodyński,유제프 워딘스키,yujepeu weodinseuki
joanna szczerbic,요안나 슈체르비츠,yoanna syucereubiceu
jędrzej krakowski,옌제이 크라코프스키,yenjei keurakopeuseuki
julian dziedzina,율리안 지에지나,yulrian jiejina
kacper kuszewski,카츠페르 쿠셰프스키,kaceupereu kusyepeuseuki
julian kawalec,율리안 카발레츠,yulrian kabalreceu
julia rosnowska,율리아 로스노프스카,yulria roseunopeuseuka
jan piechociński,얀 피에호친스키,yan piehocinseuki
jan pospieszalski,얀 포스피에샬스키,yan poseupiesyalseuki
kamila boruta,카밀라 보루타,kamilra boruta
justyna pochanke,유스티나 포한케,yuseutina pohanke
jan pęczak,얀 펭차크,yan pengcakeu
janusz świtkowski,야누쉬 시비트코프스키,yanuswi sibiteukopeuseuki
karolina sawka,카롤리나 사프카,karolrina sapeuka
jarosław mikołajewski,야로스와프 미코와예프스키,yaroseuwapeu mikowayepeuseuki
katarzyna gniewkowska,카타지나 그니에프코프스카,katajina geuniepeukopeuseuka
katarzyna maciąg,카타지나 마치옹크,katajina maciongkeu
katarzyna feldman,카타지나 펠드만,katajina peldeuman
krzysztof kalczyński,크시슈토프 칼친스키,keusisyutopeu kalcinseuki
kazimierz kwiatkowski,카지미에시 크비아트코프스키,kajimiesi keubiateukopeuseuki
krzysztof konecki,크시슈토프 코네츠키,keusisyutopeu koneceuki
kazimierz olesiak,카지미에시 올레시아크,kajimiesi olresiakeu
krzysztof majka,크쉬슈토프 마이카,keuswisyutopeu maika
krzysztof ożóg,크시슈토프 오주크,keusisyutopeu ojukeu
joanna dudagwiazda,요안나 두다그비아즈다,yoanna dudageubiajeuda
joanna fabicka,요안나 파비츠카,yoanna pabiceuka
joanna koroniewska,요안나 코로니에프스카,yoanna koroniepeuseuka
joanna osyda,요안나 오시다,yoanna osida
klaudia halejcio,클라우디아 할레이치오,keulraudia halreicio
krzysztof wyszkowski,크시슈토프 비슈코프스키,keusisyutopeu bisyukopeuseuki
joanna orleańska,요안나 오를레안스카,yoanna oreulreanseuka
krzysztof zimnoch,크시슈토프 짐노흐,keusisyutopeu jimnoheu
krzysztof szczerski,크시슈토프 슈체르스키,keusisyutopeu syucereuseuki
klaudiusz baran,클라우디우시 바란,keulraudiusi baran
joanna schmidt,요아나 미후카,yoana mihuka
maciej sikała,마치에이 시카와,maciei sikawa
maciej zakościelny,마치에이 자코시치엘니,maciei jakosicielni
marek kalita,마레크 칼리타,marekeu kalrita
krystian wieczorek,크리스티안 비에초레크,keuriseutian biecorekeu
magda mołek,마그다 모웨크,mageuda mowekeu
leon andrzejewski,레온 안드레제예프스키,reon andeurejeyepeuseuki
marieta żukowska,마리에타 주코프스카,marieta jukopeuseuka
leon orłowski,레온 오르워프스키,reon oreuweopeuseuki
magda grąziowska,마그달레나 그롱지오프스카,mageudalrena geurongjiopeuseuka
marek kłoczko,마렉 클로츠코,mareg keulroceuko
marek piekarczyk,마레크 피에카르치크,marekeu piekareucikeu
marina łuczenkoszczęsna,마리나 우첸코,marina ucenko
krystyna pawłowicz,크리스티나 파브워비치,keuriseutina pabeuweobici
magdalena masny,마그달레나 마스니,mageudalrena maseuni
magdalena popławska,마그달레나 포프와프스카,mageudalrena popeuwapeuseuka
magdalena waligórska,마그달레나 발리구르스카,mageudalrena balrigureuseuka
magdalena szczerkowska,마그달레나 슈체르코프스카,mageudalrena syucereukopeuseuka
magdalena szczerbowska,마그달레나 슈체르보프스카,mageudalrena syucereubopeuseuka
maja frykowska,마야 프리코프스카,maya peurikopeuseuka
marek zagórski,마레크 자구르스키,marekeu jagureuseuki
marek skwarnicki,마레크 스크바르니츠키,marekeu seukeubareuniceuki
marta bitner,마르타 비트네르,mareuta biteunereu
krzysztof cugowski,크시슈토프 추고프스키,keusisyutopeu cugopeuseuki
maria czubaszek,마리아 추바셰크,maria cubasyekeu
marcel chyrzyński,마르첼 히진스키,mareucel hijinseuki
krzysztof gradowski,크시슈토프 그라도프스키,keusisyutopeu geuradopeuseuki
marta ścisłowicz,마르타 시치스워비치,mareuta siciseuweobici
marcin hycnar,마르친 히츠나르,mareucin hiceunareu
maria koterbska,마리아 코테르프스카,maria kotereupeuseuka
krzysztof jaroszyński,크시슈토프 야로신스키,keusisyutopeu yarosinseuki
marcin kierwiński,마르친 키에르빈스키,mareucin kiereubinseuki
marcin korcz,마르친 코르치,mareucin koreuci
lidia wasiak,리디아 바시아크,ridia basiakeu
michał świder,미하우 시비데르,mihau sibidereu
mieczysław gracz,미에치스와프 그라치,mieciseuwapeu geuraci
marcin kwaśny,마르친 크바시니,mareucin keubasini
marcin mastalerek,마르친 마스탈레레크,mareucin maseutalrerekeu
maria wiłkomirska,마리아 비우코미르스카,maria biukomireuseuka
mateusz pospieszalski,마테우시 포스피에샬스키,mateusi poseupiesyalseuki
marcin pospieszalski,마르친 포스피에샬스키,mareucin poseupiesyalseuki
marcin najman,마르친 나이만,mareucin naiman
mieczysław lurczyński,미에치스와프 루르친스키,mieciseuwapeu rureucinseuki
paweł królikowski,파베우 크룰리코프스키,pabeu keurulrikopeuseuki
paweł karpiński,파벨 카르핀스키,pabel kareupinseuki
mieczysław struk,미에치스와프 스트루크,mieciseuwapeu seuteurukeu
marian kwiatkowski,마리안 크비아트코프스키,marian keubiateukopeuseuki
małgorzata szejnert,마우고자타 셰이네르트,maugojata syeinereuteu
małgorzata rozenekmajdan,마우고자타 로제네크,maugojata rojenekeu
małgorzata pieńkowska,마우고자타 피엔코프스카,maugojata pienkopeuseuka
małgorzata tarasiewicz,마우고자타 타라시에비치,maugojata tarasiebici
paweł sapieha,파베우 사피에하,pabeu sapieha
paweł smoleński,파베우 스몰렌스키,pabeu seumolrenseuki
paweł wakarecy,파베우 바카레치,pabeu bakareci
michał dworczyk,미하우 드보르치크,mihau deuboreucikeu
michał czernecki,미하우 체르네츠키,mihau cereuneceuki
michał englert,마셀 엔그레르트,masel engeurereuteu
zygmunt januszewski,지그문트 야누셰프스키,jigeumunteu yanusyepeuseuki
michał kruk,미하엘 크룩,mihael keurug
piotr cugowski,피오트르 추고프스키,pioteureu cugopeuseuki
zbigniew hołdys,즈비그니에프 호우디스,jeubigeuniepeu houdiseu
piotr głowacki,피오트르 그워바츠키,pioteureu geuweobaceuki
piotr jaroszyński,피오트르 야로신스키,pioteureu yarosinseuki
monika sołubianka,모니카 소우비안카,monika soubianka
michał rolnicki,미하우 롤니츠키,mihau rolniceuki
monika dryl,모니카 드릴,monika deuril
wiesław szlachetka,비에스와프 슐라헤트카,bieseuwapeu syulraheteuka
katarzyna bratkowska,카타지나 브라트코프스카,katajina beurateukopeuseuka
michał rożek,미하우 로제크,mihau rojekeu
michał skolimowski,미하우 스콜리모프스키,mihau seukolrimopeuseuki
krzysztof czyżewski,크시슈토프 치제프스키,keusisyutopeu cijepeuseuki
paweł teclaf,파베우 테츨라프,pabeu teceulrapeu
piotr mochnaczewski,피오트르 모흐나체프스키,pioteureu moheunacepeuseuki
jerzy kapliński,예지 카플린스키,yeji kapeulrinseuki
piotr najsztub,피오트르 나이슈투프,pioteureu naisyutupeu
olga sarzyńska,올가 사진스카,olga sajinseuka
dawid kwiatkowski,다비트 크비아트코프스키,dabiteu keubiateukopeuseuki
paulina chruściel,파울리나 흐루시치엘,paulrina heurusiciel
patryk jaki,파트리크 야키,pateurikeu yaki
lydia benecke,리디아 베네케,ridia beneke
piotr swend,피오트르 스벤트,pioteureu seubenteu
aleksander milwiwbaron,알렉산데르 밀비프바론,alregsandereu milbipeubaron
piotr siejka,피오트르 시에이카,pioteureu sieika
piotr żurawski,피오트르 주라프스키,pioteureu jurapeuseuki
piotr żyżelewicz,피오트르 지젤레비치,pioteureu jijelrebici
miłka malzahn,미우카 말잔,miuka maljan
dariusz kwiatkowski,다리우시 크비아트코프스키,dariusi keubiateukopeuseuki
ewelina kamczyk,에벨리나 캄치크,ebelrina kamcikeu
mikołaj roznerski,미코와이 로즈네르스키,mikowai rojeunereuseuki
natalia janoszek,나탈리아 야노셰크,natalria yanosyekeu
olga szomańska,올가 쇼만스카,olga syomanseuka
