douglas adams,ダグラス・アダムズ,dagurasu・adamuzu
borehamwood,ボアハムウッド,boahamuuddo
potters bar,ポッタース・バー,pottāsu・bā
theobalds house,セオバルズ・ハウス,seobaruzu・hausu
sudbury,サドベリー,sadoberī
stonebridge,ストーンブリッジ,sutōnburijji
kenton,ケントン,kenton
queensbury,クイーンズベリー,kuīnzuberī
gipsy hill,ジプシー・ヒル,jipushī・hiru
redbourn,レッドボーン,reddobōn
verulamium,ヴェルーラミウム,vuェrūramiumu
tokyngton,トキントン,tokinton
wembley park,ウェンブリー・パーク,wenburī・pāku
preston,プレストン,puresuton
harlesden,ハレスデン,haresuden
bexley,ベクスリー,bekusurī
loughborough junction,ラフバラ・ジャンクション,rafubara・jankushon
alperton,アルパートン,arupāton
brondesbury park,ブロンデスベリー・パーク,burondesuberī・pāku
waterloo,ウォータールー,wōtārū
dollis hill,ドリス・ヒル,dorisu・hiru
herne hill,ハーン・ヒル,hān・hiru
clapham,クラップハム,kurappuhamu
hitchin,ヒッチン,hitchin
royston,ロイストン,roisuton
streatham,ストリートハム,sutorītohamu
bricket wood,ブリケット・ウッド,buriketto・uddo
uig,ウイグ,uigu
kennington,ケニントン,keninton
willesden,ウィレスデン,wiresuden
sidcup,シドカップ,shidokappu
agincourt house,アジンコート・ハウス,ajinkōto・hausu
garrick club,ギャリック・クラブ,gyarikku・kurabu
midland football alliance,ミッドランド・フットボール・アライアンス,middorando・futtobōru・araiansu
loughton,ラフトン,rafuton
tupton,タップトン,tapputon
sandown,サンダウン,sandaun
erith,エリス,erisu
crayford,クレイフォード,kureifōdo
west devon,ウェスト・デヴォン,wesuto・devuォn
kingsbury,キングズベリー,kinguzuberī
gog magog hills,ゴグ・マゴグ・ヒルズ,gogu・magogu・hiruzu
new cross,ニュー・クロス,nyū・kurosu
wells,ウェルズ,weruzu
abbey wood,アビー・ウッド,abī・uddo
belvedere,ベルヴェディア,beruvuェdia
kensal green,ケンサル・グリーン,kensaru・gurīn
manton,マントン,manton
welling,ウェリング,weringu
brent park,ブレント・パーク,burento・pāku
west norwood,ウェスト・ノーウッド,wesuto・nōuddo
tulse hill,タルス・ヒル,tarusu・hiru
rosneath,ロスネース,rosunēsu
bexleyheath,ベクスリーヒース,bekusurīhīsu
dulwich,ダリッジ,darijji
kincardineshire,キンカーディンシャー,kinkādinshā
yarg,ヤーグ,yāgu
credenhill,クレデンヒル,kuredenhiru
municipal borough,ミューニシパル・バラ,myūnishiparu・bara
johnston,ジョンストン,jonsuton
boxmoor,ボックスムーア,bokkusumūa
stockwell,ストックウェル,sutokkuweru
london river services,ロンドン・リバー・サービス,rondon・ribā・sābisu
cleveleys,ランカシャー,rankashā
hardwick,ハードウィック,hādowikku
moira,モイラ,moira
west hampstead,ウェスト・ハムステッド,wesuto・hamusuteddo
london congestion charge,ロンドン・コンジェスチョン・チャージ,rondon・konjesuchon・chāji
somers town,サマース・タウン,samāsu・taun
gospel oak,ゴスペル・オーク,gosuperu・ōku
swiss cottage,スイス・コテージ,suisu・kotēji
woodside park,ウッドサイド・パーク,uddosaido・pāku
aldenham,アルデナム,arudenamu
ibstock,アイブストック,aibusutokku
balderstone,ボルダーストーン,borudāsutōn
skipton,スキップトン,sukipputon
royal academy of dance,ロイヤル・アカデミー・オブ・ダンス,roiyaru・akademī・obu・dansu
mortehoe,モーテホー,mōtehō
north isles,ノース・アイルズ,nōsu・airuzu
monken hadley,モンケン・ハッドリー,monken・haddorī
london midland,ロンドン・ミッドランド,rondon・middorando
beauly,ビューリー,byūrī
heavenly recordings,ヘヴンリー・レコーズ,hevunrī・rekōzu
folkestone,フォークストーン,fōkusutōn
stretford,ストレトフォード,sutoretofōdo
halton,ハルトン,haruton
the hyde,ザ・ハイド,za・haido
haverstock,ヘイヴァーストック,heivāsutokku
barking,バーキング,bākingu
chipperfield,チッパーフィールド,chippāfīrudo
bovingdon,ボビンドン,bobindon
strangford,ストラングフォード,sutorangufōdo
lockerbie,ロッカビー,rokkabī
kimbolton,キンボルトン,kinboruton
brierfield,ブライアーフィールド,buraiāfīrudo
bath,バース,bāsu
kentish town,ケンティッシュ・タウン,kentisshu・taun
hendon,ヘンドン,hendon
cricklewood,クリックルウッド,kurikkuruuddo
dartmouth park,ダートマス・パーク,dātomasu・pāku
argoed,アーゴード,āgōdo
hutchinson,ハッチンソン,hatchinson
park lane,パーク・レーン,pāku・rēn
addingham,アディンガム,adingamu
sarratt,サラット,saratto
wheathampstead,ウィーサンプステッド,wīsanpusuteddo
briggs automotive company,ブリッグス・オートモーティブ・カンパニー,buriggusu・ōtomōtibu・kanpanī
ness,ネス,nesu
camberwell,キャンバーウェル,kyanbāweru
shell,シェル,sheru
whetstone,ウェットストーン,wettosutōn
colindale,コリンデイル,korindeiru
burnt oak,バーント・オーク,bānto・ōku
elstree,エルストリー,erusutorī
brondesbury,ブロンズベリー,buronzuberī
east barnet,イースト・バーネット,īsuto・bānetto
kilburn,キルバーン,kirubān
golders green,ゴルダーズ・グリーン,gorudāzu・gurīn
hill croome,ヒル・クルーム,hiru・kurūmu
studland,スタッドランド,sutaddorando
tideswell,タイズウェル,taizuweru
liverpool overhead railway,リヴァプール・オーバーヘッド・レールウェイ,rivapūru・ōbāheddo・rēruwei
stapenhill,ステーペンヒル,sutēpenhiru
glossop,グロソップ,gurosoppu
wareham,ウェアラム,wearamu
galitzine,ゴリツィンカ,goritsinka
norbury,ノーベリー,nōberī
st helens,セント・ヘレンズ,sento・herenzu
alexandra stadium,アレクサンドラ・スタジアム,arekusandora・sutajiamu
st fagans,セント・フェーガンス,sento・fēgansu
knockhill racing circuit,ノックヒル・レーシング・サーキット,nokkuhiru・rēshingu・sākitto
disley,ディズリー,dizurī
gleneagles,グレニーグルズ,gurenīguruzu
carlin motorsport,ローディン・カーリン,rōdin・kārin
hansard,ハンサード,hansādo
rossendale,ロッセンデール,rossendēru
mount stewart,マウント・ステュアート,maunto・sutyuāto
real world studios,リアル・ワールド・スタジオ,riaru・wārudo・sutajio
longford hall,ロングフォード・ホール,rongufōdo・hōru
sevington,セビントン,sebinton
bridlington,ブリドリントン,buridorinton
inveraray,インバレライ,inbarerai
waterstones,ウォーターストーンズ,wōtāsutōnzu
rodmell,ロッドメル,roddomeru
teignmouth,ティンマス,tinmasu
ambleside,アンブルサイド,anburusaido
millport,ミルポート,mirupōto
ludgate,ラドゲート,radogēto
glen etive,グレン・エティブ,guren・etibu
wiston,ウィストン,wisuton
colwyn bay,コルウィン・ベイ,koruwin・bei
selby,セルビー,serubī
cricklade,クリクレード,kurikurēdo
global underground,グローバル・アンダーグラウンド,gurōbaru・andāguraundo
footwork arrows,フットワーク・アロウズ,futtowāku・arouzu
stoke gifford,ストーク・ギフォード,sutōku・gifōdo
angel trains,エンゼル・トレインズ,enzeru・toreinzu
morland,モーランド,mōrando
belton with browston,ベルトン・ウィズ・ブロウストン,beruton・wizu・burousuton
perranporth,ペランポース,peranpōsu
ministry of sound,ミニストリー・オブ・サウンド,minisutorī・obu・saundo
mebyon kernow,メビョン・カーノウ,mebyon・kānou
lanarkshire,ラナークシャー,ranākushā
davy medal,デービー・メダル,dēbī・medaru
southport gates,サウスポート・ゲート,sausupōto・gēto
corpus christi college,コーパス・クリスティ・カレッジ,kōpasu・kurisuti・karejji
colton,コルトン,koruton
knaresborough,ナレスボロ,naresuboro
marlborough,マールバラ,mārubara
puzzlewood,パズルウッド,pazuruuddo
victoria park,ビクトリア・パーク,bikutoria・pāku
rock,ロック,rokku
brighton college,ブライトン・カレッジ,buraiton・karejji
hamworthy,ハムワーシー,hamuwāshī
chancery lane,チャンスリー・レーン,chansurī・rēn
filton,フィルトン,firuton
galactica,ギャラクティカ,gyarakutika
airworld,エアワールド,eawārudo
tavistock clinic,タビストック・クリニック,tabisutokku・kurinikku
lydney,リドニー,ridonī
aircraft transport and travel,エアクラフト・トランスポート・アンド・トラベル,eakurafuto・toransupōto・ando・toraberu
airdrie,エアドリ,eadori
air wales,エア・ウェールズ,ea・wēruzu
air europe,エア・ヨーロッパ,ea・yōroppa
hawick,ホイック,hoikku
kintore,キントア,kintoa
whaddon road,ホエドン・ロード,hoedon・rōdo
west kennet long barrow,ウェスト・ケネット・ロング・バロウ,wesuto・kenetto・rongu・barou
southsea,サウスシー,sausushī
tobermory,トバモリー,tobamorī
montrose,モントローズ,montorōzu
reading,レディング,redingu
willingham,ウィリンガム,wiringamu
helvellyn,ヘルヴェリンサン,heruvuェrinsan
penarth,ペンアルス,penarusu
whitechapel district,ホワイトチャペル・ディストリクト,howaitochaperu・disutorikuto
kempston,ケンプストン,kenpusuton
dorking,ドーキング,dōkingu
oadby,オードビー,ōdobī
spurn,スパーン,supān
dunlop tyres,ダンロップ・タイヤ,danroppu・taiya
jermyn street,ジャーミン・ストリート,jāmin・sutorīto
adventure island,アドベンチャー・アイランド,adobenchā・airando
killyleagh,キリーレイ,kirīrei
dunadd,ドゥネッド,duneddo
north molton,ノース・モルトン,nōsu・moruton
duns,ダンス,dansu
bangor,バンガー,bangā
aylsham,アイルシャム,airushamu
fakenham,フェイクナム,feikunamu
buteshire,ビュートシャー,byūtoshā
thetford,セットフォード,settofōdo
corbet,コーベット,kōbetto
wimblington,ウィンブリントン,winburinton
national portrait gallery,ナショナル・ポートレート・ギャラリー,nashonaru・pōtorēto・gyararī
brentwood,ブレントウッド,burentouddo
stanhope,スタンホープ,sutanhōpu
godolphin estate,ゴドルフィン・エステート,godorufin・esutēto
salt cay,ソルト・ケイ,soruto・kei
kirkliston,カークリストン,kākurisuton
sheringham,シェリンガム,sheringamu
dewsbury rams,デューズベリー・ラムズ,dyūzuberī・ramuzu
yeomen of the guard,ヨーマン・オブ・ザ・ガード,yōman・obu・za・gādo
brecknockshire,ブレックノックシャー,burekkunokkushā
farnborough,ファーンボロー,fānborō
castle donington,キャッスル・ドニントン,kyassuru・doninton
royal leamington spa,ロイヤル・レミントン・スパ,roiyaru・reminton・supa
frampton cotterell,フランプトン・コッターレル,furanputon・kottāreru
arabchristians,アラブジンキリストキョウト,arabujinkirisutokyouto
wyre forest,ワイヤ・フォレスト,waiya・foresuto
lindsey,リンジー,rinjī
marton,マートン,māton
wyre piddle,ワイア・ピドル,waia・pidoru
leeds road,リーズ・ロード,rīzu・rōdo
stockbridge,ストックブリッジ,sutokkuburijji
ramsey,ラムジー,ramujī
brockworth,ブロックワース,burokkuwāsu
suckling airways,サックリング・エアウェイズ,sakkuringu・eaweizu
ickworth,イックワース,ikkuwāsu
gillian lynne theatre,ニュー・ロンドン・シアター,nyū・rondon・shiatā
bowood house,ボーウッド・ハウス,bōuddo・hausu
inman line,インマン・ライン,inman・rain
steelyard,スチールヤード,suchīruyādo
slingsby aviation,スリングスビー・アビエーション,suringusubī・abiēshon
bala,バラ,bara
yeovil,ヨーヴィル,yōviru
scotforth,スコットフォース,sukottofōsu
wigtownshire,ウィトゥンシャー,witunshā
altrincham,オルトリナム,orutorinamu
boxgrove,ボックスグローブ,bokkusugurōbu
amber valley,アンバー・バレー,anbā・barē
tower millennium pier,タワー・ミレニアム・ピア,tawā・mireniamu・pia
pathfinder,パスファインダーブタイ,pasufaindābutai
altnaharra,アルトナハラ,arutonahara
alton,アルトン,aruton
westminster bridge,ウェストミンスター・ブリッジ,wesutominsutā・burijji
broughty ferry,ブロウティ・フェリー,burouti・ferī
sage publishing,サージュ・パブリケーションズ,sāju・paburikēshonzu
holland park,ホランド・パーク,horando・pāku
slieve donard,スリーヴ・ドナード,surīvu・donādo
corinium dobunnorum,コリニウム・ドブンノルム,koriniumu・dobunnorumu
godstow,ゴッドストウ,goddosutou
furness fells,ファーネス・フェルス,fānesu・ferusu
leominster,レオミンスター,reominsutā
cleveland,クリーヴランド,kurīvurando
plants for a future,プランツ・フォー・ア・フューチャー,purantsu・fō・a・fyūchā
westmorland,ウェストモーランド,wesutomōrando
huntingdonshire,ハンティンドンシャー,hantindonshā
companies house,カンパニーズ・ハウス,kanpanīzu・hausu
newlyn school,ニューリン・スクール,nyūrin・sukūru
clarendon house,クラレンドン・ハウス,kurarendon・hausu
anlaby with anlaby common,アンラビー・ウィズ・アンラビー・コーモン,anrabī・wizu・anrabī・kōmon
anjunabeats,アンジュナビーツ,anjunabītsu
atholl highlanders,アサル・ハイランダーズ,asaru・hairandāzu
bicester,ビスター,bisutā
tenby,テンビー,tenbī
air harrods,エア・ハロッズ,ea・harozzu
port bannatyne,ポート・バナタイン,pōto・banatain
north berwick law,ノース・バーウィック・ロー,nōsu・bāwikku・rō
west lindsey,ウェスト・リンジー,wesuto・rinjī
marlborough house,マールボロ・ハウス,māruboro・hausu
west end,ウエスト・エンド,uesuto・endo
filofax,ファイロファックス,fairofakkusu
surtees,サーティース,sātīsu
cheltenham college,チェルトナム・カレッジ,cherutonamu・karejji
bullingdon club,ブリンドン・クラブ,burindon・kurabu
wadebridge,ウェイドブリッジ,weidoburijji
biomed central,バイオメド・セントラル,baiomedo・sentoraru
amesbury,エイムズベリー,eimuzuberī
gun,ガン,gan
exbury gardens,エクスベリー・ガーデン,ekusuberī・gāden
weslake,ウェスレイク,wesureiku
west brompton,ウエスト・ブロンプトン,uesuto・buronputon
argonaut games,アルゴノート・ゲームス,arugonōto・gēmusu
kemble,ケンブル,kenburu
ringway,リングウェイ,ringuwei
huntington,ハンティントン,hantinton
glenelg,グレネルグ,gurenerugu
sms kronprinz,クローンプリンツ・ヴルヘルム,kurōnpurintsu・vuruherumu
amicus productions,アミカス・プロダクション,amikasu・purodakushon
durrington walls,ダーリントン・ウォールズ,dārinton・wōruzu
trematon,トレメイトン,toremeiton
brook,ブルック,burukku
haywood,ヘイウッド,heiuddo
bnfl,エイコクカクネンリョウカイシャ,eikokukakunenryoukaisha
haverhill,ヘイヴァーヒル,heivāhiru
inverbervie,インヴァーバーヴィー,invābāvī
arrows,アロウズ,arouzu
malmesbury,マルムズバリ,marumuzubari
orton,オートン,ōton
windsor,ウィンザー,winzā
ravenglass,レイヴングラス,reivungurasu
carrickarede rope bridge,キャリック・ア・リード,kyarikku・a・rīdo
royal victoria patriotic building,ロイヤル・ヴィクトリア・ペイトリアティク・ビルディング,roiyaru・vikutoria・peitoriatiku・birudingu
lafonia,ラフォニア,rafonia
lytchett matravers,リチェット・マトラヴァーズ,richetto・matoravāzu
blestium,ブルスティアム,burusutiamu
alamy,アラミー,aramī
oundle,アウンドル,aundoru
blue stockings society,ブルー・ストッキングス・ソサエティ,burū・sutokkingusu・sosaeti
epsom and ewell,エプソム・アンド・ユーエル,epusomu・ando・yūeru
sandwich,サンドウィッチ,sandowitchi
falmouth,ファルマス,farumasu
torksey,トークシー,tōkushī
lucas industries,ルーカス・インダストリーズ,rūkasu・indasutorīzu
anstruther,アンストラザー,ansutorazā
bourne wood,ボーン・ウッド,bōn・uddo
bombe,ボンブ,bonbu
fenland,フェンランド,fenrando
newton heath,ニュートン・ヒース,nyūton・hīsu
market drayton,マーケット・ドレイトン,māketto・doreiton
little malvern,リトル・マルヴァーン,ritoru・maruvān
abbey road,アビー・ロード,abī・rōdo
british comedy awards,ブリティッシュ・コメディ・アワード,buritisshu・komedi・awādo
ridlington,リドリングトン,ridoringuton
st george's,セント・ジョージ,sento・jōji
ampthill,アンプシル,anpushiru
donington,ドニントン,doninton
lydiard tregoze,リディアード・トレゴーズ,ridiādo・toregōzu
machair,マッハ,mahha
shepway,シェップウェイ,sheppuwei
sounds,サウンズ,saunzu
badminton horse trials,バドミントン・ホース・トライアル,badominton・hōsu・toraiaru
merionethshire,メリオネス,merionesu
carnforth,カーンフォース,kānfōsu
usk,アースク,āsuku
trowbridge,トローブリッジ,torōburijji
treforest,トレフォレスト,toreforesuto
narberth,ナーベース,nābēsu
lincoln,リンカン,rinkan
camblesforth,キャンブルズフォース,kyanburuzufōsu
ballyronan,バリーローナン,barīrōnan
gay times,ゲイ・タイムズ,gei・taimuzu
fenton,フェントン,fenton
sunsilk,サンシルク,sanshiruku
kensington high street,ケンジントン・ハイ・ストリート,kenjinton・hai・sutorīto
tresco heliport,トレスコ・ヘリポート,toresuko・heripōto
prees,プリーズ,purīzu
melody maker,メロディ・メイカー,merodi・meikā
cotswold,コッツウォルド,kottsuworudo
crowland,クロウランド,kurourando
translink,トランスリンク,toransurinku
rothbury,ロスベリー,rosuberī
london marathon,ロンドン・マラソン,rondon・marason
breckland,ブレックランド,burekkurando
surrey scorchers,サリー・スコーチャーズ,sarī・sukōchāzu
tonbridge and malling,トンブリッジ・アンド・モーリング,tonburijji・ando・mōringu
tarbet,ターベット,tābetto
new romney,ニュー・ロムニー,nyū・romunī
durham,ダラム,daramu
peterculter,ピーターカルター,pītākarutā
moelwynion,モエルウィニオン,moeruwinion
falfield,ファルフィールド,farufīrudo
british phosphate commission,ブリティッシュ・フォスフェイト・コミッション,buritisshu・fosufeito・komisshon
croft,クロフト,kurofuto
broseley,ブローズリー,burōzurī
chigwell,チグウェル,chiguweru
pricewaterhousecoopers,プライスウォーターハウスクーパース,puraisuwōtāhausukūpāsu
kimmeridge,キンメリッジ,kinmerijji
stokesley,ストークスレイ,sutōkusurei
sutton on trent,サットン・オン・トレント,satton・on・torento
downing college,ケンブリッジダイガクダウニング・カレッジ,kenburijjidaigakudauningu・karejji
hethersett,ヘザーセット,hezāsetto
chiltern hundreds,チルターン・ハンドレッズシツジ,chirutān・handorezzushitsuji
east hertfordshire,イースト・ハートフォードシャー,īsuto・hātofōdoshā
flore,フロア,furoa
coton in the elms,コトン・イン・ザ・エルムズ,koton・in・za・erumuzu
hernhill,ハーンヒル,hānhiru
wentworth,ウェントワース,wentowāsu
evesham,イヴシャム,ivushamu
mercian,マーシアホウゲン,māshiahougen
ayresome park,エアーサム・パーク,eāsamu・pāku
bawtry,ボウトリー,boutorī
ceres,シーリーズ,shīrīzu
shackerstone,シャッカーストーン,shakkāsutōn
liberty stadium,リバティ・スタジアム,ribati・sutajiamu
gaydon,ゲイドン,geidon
tockwith,トックウィズ,tokkuwizu
mundesley,ムンデスリー,mundesurī
ashfield,アッシュフィールド,asshufīrudo
earley,イアリー,iarī
greater manchester county council,グレーター・マンチェスター・カウンティ・カウンシル,gurētā・manchesutā・kaunti・kaunshiru
blaby,ブラビー,burabī
zechstein,クハイミツル,kuhaimitsuru
brighouse,ブリガース,burigāsu
bagshot park,バグショット・パーク,bagushotto・pāku
north east fife,ノース・イースト・ファイフ,nōsu・īsuto・faifu
chillingham cattle,チリンガム・ブル,chiringamu・buru
wolverton,ウォルヴァートン,woruvāton
saffron walden,サフロン・ウオルデン,safuron・uoruden
catalan bay,カタラン・ベイ,kataran・bei
the lizard,ザ・リザード,za・rizādo
marloes and st brides,マーローズ・アンド・セント・ブライデス,mārōzu・ando・sento・buraidesu
defford,デフォード,defōdo
mapledurwell,メープルダーウェル,mēpurudāweru
barnt green,バーント・グリーン,bānto・gurīn
tower green,タワー・グリーン,tawā・gurīn
victoria coach station,ヴィクトリア・コーチ・ステーション,vikutoria・kōchi・sutēshon
berkeley,バークレー,bākurē
crompton moor,クロンプトン・ムーア,kuronputon・mūa
newbattle abbey,ニューバトル・アビー,nyūbatoru・abī
broxtowe,ブロックストウ,burokkusutou
capita,キャピタスノーボードチーム,kyapitasunōbōdochīmu
maybole,メイボール,meibōru
cleethorpes,クリーソープス,kurīsōpusu
edwardstone,エドワードストーン,edowādosutōn
queenborough,クイーンボロー,kuīnborō
seahenge,シーヘンジ,shīhenji
sustrans,サストランス,sasutoransu
coalport,コールポート,kōrupōto
bryanston,ブライアンストン,buraiansuton
milton,ミルトン,miruton
strepsils,ストレプシルス,sutorepushirusu
prince of wales theatre,プリンス・オブ・ウールズ・シアター,purinsu・obu・ūruzu・shiatā
wapiti,ワピチ,wapichi
mitcheldean,ミッチェルディーン,mitcherudīn
standon,スタンドン,sutandon
st edmundsbury,セント・エドマンズベリー,sento・edomanzuberī
harthill,ハートヒル,hātohiru
shanklin,シャンクリン,shankurin
sonning,ソニング,soningu
helmsdale,ヘルムズデール,herumuzudēru
cowes,カウズ,kauzu
chenies,チェニーズ,chenīzu
claverley,クレイヴァーリー,kureivārī
altrincham and sale west,アルトリンチャム・アンド・セール・ウェスト,arutorinchamu・ando・sēru・wesuto
drayton,ドレイトン,doreiton
beaulieu,ボーリュ,bōryu
great bridgeford,グレート・ブリッジフォード,gurēto・burijjifōdo
exmoor,エクスムーア,ekusumūa
east coker,イースト・コーカー,īsuto・kōkā
little britain,リトル・ブリテン,ritoru・buriten
letterboxing,レターボクシング,retābokushingu
barratt developments,バラート・デベロップメンツ,barāto・deberoppumentsu
red star line,レッド・スター・ライン,reddo・sutā・rain
ferryhill,フェリーヒル,ferīhiru
gunwharf quays,ガンウォーフ・キー,ganwōfu・kī
north kesteven,ノース・ケスティーヴン,nōsu・kesutīvun
flixton,フリックストン,furikkusuton
malton,マルトン,maruton
bescot stadium,ベスコット・スタジアム,besukotto・sutajiamu
cadishead,キャディシェッド,kyadisheddo
harrietsham,ハリエットシャム,hariettoshamu
stroud,ストラウド,sutoraudo
seil,セイル,seiru
antrim,アントリム,antorimu
sawbridgeworth,ソーブリッジワース,sōburijjiwāsu
mexborough,メクスバラ,mekusubara
kew gardens,キュー・ガーデンズ,kyū・gādenzu
abergavenny,アバガヴェニー,abagavuェnī
costa coffee,コスタ・コーヒー,kosuta・kōhī
doveridge,ダヴリッジ,davurijji
dunwich,ダニッチ,danitchi
withyham,ウィジーハム,wijīhamu
majorgeneral,ショウショウ,shoushou
gainsborough,ゲインズバラ,geinzubara
st john's college,セント・ジョンズ・カレッジ,sento・jonzu・karejji
beal,ビール,bīru
shoeburyness,シューベリーネス,shūberīnesu
kenn,ケン,ken
wigmore,ウィグモア,wigumoa
london heliport,ロンドン・ヘリポート,rondon・heripōto
eccleston,エクルズトン,ekuruzuton
sandwell,サンドウェル,sandoweru
datchet,ダッチェット,datchetto
farington,ファーリントン,fārinton
gillingham,ジリンガム,jiringamu
colney heath,コルニー・ヒース,korunī・hīsu
egglescliffe,エッグルスクリフ,eggurusukurifu
worth matravers,ワース・マットレイヴァーズ,wāsu・mattoreivāzu
deene,ディーン,dīn
zennor,ゼナー,zenā
halesowen,ヘイルズオーエン,heiruzuōen
weston in gordano,ウェストン・イン・ゴーダーノ,wesuton・in・gōdāno
congleton,コングルトン,konguruton
marquee club,マーキー・クラブ,mākī・kurabu
roxburghshire,ロクスバーグシャー,rokusubāgushā
abc television limited,アソシエイテッド・ブリティッシュ・コーポレーション,asoshieiteddo・buritisshu・kōporēshon
royal wootton bassett,ロイヤル・ウーットン・バセット,roiyaru・ūtton・basetto
creative assembly,クリエイティブ・アッセンブリー,kurieitibu・assenburī
bushmills,ブッシュミルズ,busshumiruzu
royal tunbridge wells,ロイヤル・タンブリッジ・ウェルズ,roiyaru・tanburijji・weruzu
ledbury,レッドブリー,reddoburī
shenfield,シェンフィールド,shenfīrudo
underhill stadium,アンダーヒル・スタジアム,andāhiru・sutajiamu
tenterden,テンターデン,tentāden
newbottle,ニューボトル,nyūbotoru
mid devon,ミッド・デヴォン,middo・devuォn
claxton,クラクストン,kurakusuton
barden,バーデン,bāden
chipping sodbury,チッピング・ソドバリー,chippingu・sodobarī
wardle,ワードル,wādoru
steyning,ステイニング,suteiningu
dragon school,ドラゴン・スクール,doragon・sukūru
driffield,ドリフィールド,dorifīrudo
launceston,ローンセストン,rōnsesuton
faringdon,フェアリンドン,fearindon
musselburgh,マッセルバーグ,masserubāgu
eden,エデン,eden
boxley,ボックスリー,bokkusurī
kidsgrove,キッズグルーブ,kizzugurūbu
mossley,モスレイ,mosurei
dunblane,ダンブレン,danburen
cornwell,コーンウェル,kōnweru
renfrew,レンフルー,renfurū
skelmersdale,スケルマースデール,sukerumāsudēru
comet group,コメット・グループ,kometto・gurūpu
bacton,バクトン,bakuton
porthcawl,ポーチコール,pōchikōru
east langton,イースト・ラングトン,īsuto・ranguton
maldon,モールドン,mōrudon
internet movie database,インターネット・ムービー・データベース,intānetto・mūbī・dētabēsu
hathersage,ハザーサージ,hazāsāji
daily mail and general trust,デイリー・メール・アンド・ジェネラル・トラスト,deirī・mēru・ando・jeneraru・torasuto
lochranza,ロホランザ,rohoranza
lord mayor's show,ロード・メイヤーズ・ショー,rōdo・meiyāzu・shō
montgomeryshire,モンゴメリーシャー,mongomerīshā
anvil point,アンヴィル・ポイント,anviru・pointo
benderloch,ベンダーロック,bendārokku
aughton,オウトン,outon
claydon house,クレイドン・ハウス,kureidon・hausu
framlingham,フラムリンガム,furamuringamu
the new lawn,ニュー・ローン・スタジアム,nyū・rōn・sutajiamu
eisteddfod,アイステズボッド,aisutezuboddo
carmel,カーメル,kāmeru
stoke poges,ストーク・ポージス,sutōku・pōjisu
stonehouse,ストーンハウス,sutōnhausu
clevedon,クリヴドン,kurivudon
stourhead,スタウアヘッド,sutauaheddo
newtown,ニュータウン,nyūtaun
catford,キャットフォード,kyattofōdo
mixbury,ミックスベリー,mikkusuberī
rhosllanerchrugog,ロズラナーチュラゴッグ,rozuranāchuragoggu
st james park,セント・ジェームズ・パーク,sento・jēmuzu・pāku
hook,フック,fukku
beinn narnain,ベン・ナーネイン,ben・nānein
cauldron snout,コールドロン・スナウト,kōrudoron・sunauto
cullompton,カロンプトン,karonputon
crondall,クロンダール,kurondāru
berkswich,バークスウィック,bākusuwikku
haig avenue,ハイグ・アベニュー,haigu・abenyū
killaloo,キラルー,kirarū
newbuildings,ニュービルディングス,nyūbirudingusu
brackley,ブラックリーマチ,burakkurīmachi
ivinghoe,アイヴィンホー,aivinhō
eton,イートン,īton
alexander stephen and sons,アレクサンダー・スティーブン・アンド・サンズ,arekusandā・sutībun・ando・sanzu
barnes,バーンズ,bānzu
chyandour,チャンダー,chandā
bloodstock open air,ブラッドストック・オープン・エア,buraddosutokku・ōpun・ea
treorchy,トレオルヒ,toreoruhi
dereham,ディアラム,diaramu
barrowford,バロウフォード,baroufōdo
nene park,ネネ・パーク,nene・pāku
sincil bank,シンシル・バンク,shinshiru・banku
grangemouth,グレインジマウス,gureinjimausu
willenhall,ウィレンホール,wirenhōru
huntingdon life sciences,ハンティンドン・ライフ・サイエンス,hantindon・raifu・saiensu
ashe,アッシュ,asshu
hunstanton,ハンスタントン,hansutanton
company of cutlers in hallamshire,カンパニー・オブ・カトラーズ・イン・ハラムシャー,kanpanī・obu・katorāzu・in・haramushā
broadhall way,ラメックス・スタジアム,ramekkusu・sutajiamu
dorset street,ドーセット・ストリート,dōsetto・sutorīto
barmouth,バーマウス,bāmausu
bob lucas stadium,ボブ・ルーカス・スタジアム,bobu・rūkasu・sutajiamu
princes park,プリンセス・パーク,purinsesu・pāku
shielfield park,シールフィールド・パーク,shīrufīrudo・pāku
field mill,フィールド・ミル,fīrudo・miru
prenton park,プレントン・パーク,purenton・pāku
leicester city stadium,キング・パワー・スタジアム,kingu・pawā・sutajiamu
applebyinwestmorland,アプルバイシャー,apurubaishā
werrington,ウェリントン,werinton
sheffield sharks,シェフィールド・シャークス,shefīrudo・shākusu
devon rex,デボン・レックス,debon・rekkusu
creggan,クレガン,kuregan
plainmoor,プレインムーア,pureinmūa
rainow,レイノー,reinō
thames house,テムズ・ハウス,temuzu・hausu
kinross house,キンロス・ハウス,kinrosu・hausu
heckington,ヘッキントン,hekkinton
wings,ウイングス,uingusu
aquae sulis,アクアエ・スリス,akuae・surisu
malvern,マルヴァン,maruvan
foyle,フォイル,foiru
royal welch fusiliers,ロイヤル・ウェールズ・フュージリアレンタイ,roiyaru・wēruzu・fyūjiriarentai
science museum,サイエンス・ミュージアム,saiensu・myūjiamu
clovelly,クロヴェリー,kurovuェrī
sennen,シーネン,shīnen
relativity records,リラティヴィティ・レコード,rirativiti・rekōdo
