angela merkel,アンゲラ・メルケル,angera・merukeru
hans rameau,ハンス・ラモー,hansu・ramō
heinz winkler,ハインツ・ヴィンクラー,haintsu・vinkurā
johann wilhelm petersen,ヨハン・ヴィルヘルム・ペーターセン,yohan・viruherumu・pētāsen
armin jäger,アルミン・イェーガー,arumin・yēgā
dan van husen,ダン・ヴァン・ハッセン,dan・van・hassen
philipp friedrich gmelin,フィリップ・フリードリヒ・グメリン,firippu・furīdorihi・gumerin
ernst dickmanns,エルンスト・ディックマンズ,erunsuto・dikkumanzu
heinz schilling,ハインツ・シリンク,haintsu・shirinku
albrecht höhler,アルブレヒト・ヘーラー,aruburehito・hērā
paul schmitthenner,パウル・シュミッテナー,pauru・shumittenā
herbert rusche,ヘルベルト・ルシェ,heruberuto・rushe
hermann traube,ヘルマン・トラウベ,heruman・toraube
gregor ebner,グレゴール・エープナー,guregōru・ēpunā
paul lensch,パウル・レンシュ,pauru・renshu
siegfried rauch,ジークフリート・ラウフ,jīkufurīto・raufu
rudolf ahlswede,ルドルフ・アールスウェーデ,rudorufu・ārusuwēde
christian brentano,クリスティアン・ブレンターノ,kurisutian・burentāno
jan fedder,ヤン・フェダー,yan・fedā
jürgen lässig,ユルゲン・ラシック,yurugen・rashikku
kaspar neumann,カスパール・ノイマン,kasupāru・noiman
paul biensfeldt,パウル・ビーンスフェルト,pauru・bīnsuferuto
udo ulfkotte,ウド・ウルフコテ,udo・urufukote
nico frommer,ニコ・フロマー,niko・furomā
paul huldschinsky,ポール・フルトシンスキー,pōru・furutoshinsukī
gerhard wülker,ゲルハルト・ヴュルカー,geruharuto・vuュrukā
ramona straub,ラモナ・シュトラウプ,ramona・shutoraupu
albert praun,アルベルト・プラウン,aruberuto・puraun
loni nest,ロニ・ネスト,roni・nesuto
bruno wille,ブルーノ・ヴィレ,burūno・vire
markus löning,マルクス・ローニング,marukusu・rōningu
alexander dinghas,アレクサンダー・ディンクハス,arekusandā・dinkuhasu
peter gorski,ピーター・ゴースキー,pītā・gōsukī
hermann keller,ヘルマン・ケラー,heruman・kerā
ulrich adam,ウルリッヒ・アダム,ururihhi・adamu
peter roquette,カール・ロケット,kāru・roketto
heinz dürr,ハインツ・デュル,haintsu・dyuru
hermann fehling,ヘルマン・フェーリング,heruman・fēringu
kurt hager,クルト・ハーガー,kuruto・hāgā
ignaz kögler,イグナツィウス・ケーグラー,igunatsiusu・kēgurā
lukas heller,ルーカス・ヘラー,rūkasu・herā
konstantin grcic,コンスタンティン・グルチッチ,konsutantin・guruchitchi
eugen haagen,オイゲン・ハーゲン,oigen・hāgen
fritz teufel,フリッツ・トイフェル,furittsu・toiferu
maxjosef ibel,マックス・イーベル,makkusu・īberu
hermann schlichting,ヘルマン・シュリヒティング,heruman・shurihitingu
andreas jung,アンドレアス・ユング,andoreasu・yungu
ernst däumig,エルンスト・ドイミヒ,erunsuto・doimihi
kurt vespermann,クルト・ヴェスパーマン,kuruto・vuェsupāman
christel wegner,クリステル・ウェーグナー,kurisuteru・wēgunā
michael wendler,マイケル・ウェンドラー,maikeru・wendorā
siegmund günther,ジークムント・ギュンター,jīkumunto・gyuntā
alfred gottschalk,アルフレート・ゴットシャルク,arufurēto・gottosharuku
david hurst,デヴィッド・ハースト,deviddo・hāsuto
walram von jülich,ヴァルラム・フォン・ユーリヒ,varuramu・fon・yūrihi
wolf dietrich von beichlingen,ヴォルフ・ディートリヒ・フォン・バイヒリンゲン,vuォrufu・dītorihi・fon・baihiringen
walter granzow,ヴァルター・グランツォー,varutā・gurantsō
wilhelm dittmann,ウィルヘルム・ディットマン,wiruherumu・dittoman
paul schmidt,パウル・シュミット,pauru・shumitto
hans egon engell,ハンス・エゴン・エンゲル,hansu・egon・engeru
navid kermani,ナヴィド・ケルマニ,navido・kerumani
susanne porsche,スザンヌ・ポルシェ,suzannu・porushe
georg thomalla,ゲオルク・トマラ,georuku・tomara
heinrich göseken,ハインリヒ・ゲゼーケン,hainrihi・gezēken
walter bartram,ヴァルター・バルトラム,varutā・barutoramu
jens beutel,イェンス・ボイテル,yensu・boiteru
max ilgner,マックス・イルグナー,makkusu・irugunā
eduard paulus,エドゥアルト・パウルス,eduaruto・paurusu
karl erb,カール・エルプ,kāru・erupu
cyriacus spangenberg,ツィーリアクス・シュパンゲンベルク,tsīriakusu・shupangenberuku
heinrich homann,ハインリヒ・ホーマン,hainrihi・hōman
torch,トーチ,tōchi
franz hayler,フランツ・ハイラー,furantsu・hairā
martin krampen,マルティン・クランペン,marutin・kuranpen
ludwig günther von nassau,ローデウェイク・ヒュンテル・ファン・ナッサウ,rōdeweiku・hyunteru・fan・nassau
adolf von neuenahr,アドルフ・ファン・ニーウェナール,adorufu・fan・nīwenāru
tristano casanova,トリスターノ・カサノバ,torisutāno・kasanoba
mišel matičević,ミシェル・マティチェヴィッチ,misheru・matichevitchi
georg hans madelung,ゲオルク・ハンス・マデルンク,georuku・hansu・maderunku
johannes brever,ヨハネス・ブレーヴァー,yohanesu・burēvā
friedrich minoux,フリードリヒ・ミヌー,furīdorihi・minū
gustav sobottka,グスタフ・ソボットカ,gusutafu・sobottoka
carl zenner,カール・ツェナー,kāru・tsenā
hagen bogdanski,ハーゲン・ボグダンスキ,hāgen・bogudansuki
heinrich bulle,ハインリッヒ・ビュル,hainrihhi・byuru
william michaelis,ウィリアム・ミハエリス,wiriamu・mihaerisu
günther von kirchbach,ギュンター・フォン・キルヒバッハ,gyuntā・fon・kiruhibahha
ivanka brekalo,イヴァンカ・ブレカロ,ivanka・burekaro
herbert scheibe,ヘルベルト・シャイベ,heruberuto・shaibe
fritz schramma,フリッツ・シュランマ,furittsu・shuranma
rebecca immanuel,レベッカ・イマヌエル,rebekka・imanueru
paul dargel,パウル・ダルゲル,pauru・darugeru
josef wirsching,ジョゼフ・ウィルシング,jozefu・wirushingu
hansjörg geiger,ハンスイェルク・ガイガー,hansuyeruku・gaigā
friedrich wilhelm heinz,フリードリヒ・ヴィルヘルム・ハインツ,furīdorihi・viruherumu・haintsu
mathilde von rothschild,マティルデ・フォン・ロートシルト,matirude・fon・rōtoshiruto
eduard stucken,エドゥアルト・シュトゥッケン,eduaruto・shutukken
ruth hausmeister,ルース・ハウスマイスター,rūsu・hausumaisutā
oliver caruso,オリバー・カルソ,oribā・karuso
siegfried arno,シグ・アルノ,shigu・aruno
doris jannausch,ドリス・ジャナウシュ,dorisu・janaushu
johannes mattfeld,ヨハネス・マットフェルト,yohanesu・mattoferuto
hermann weber,ヘルマン・ウェーバー,heruman・wēbā
michael mauer,ミヒャエル・マウアー,mihyaeru・mauā
horst skerra,ホルスト・シュケーラ,horusuto・shukēra
ernst baasch,エルンスト・バーシュ,erunsuto・bāshu
alexander von monts,アレクサンダー・フォン・モンツ,arekusandā・fon・montsu
juliane plambeck,ユリアネ・プラムベック,yuriane・puramubekku
friedrich bronsart von schellendorf,フリッツ・ブロンザルト・フォン・シェレンドルフ,furittsu・buronzaruto・fon・sherendorufu
friedrich lange,フリードリヒ・ランゲ,furīdorihi・range
joachim zeller,ヨアヒム・ツェラー,yoahimu・tserā
hans severus ziegler,ハンス・ゼヴェールス・ツィーグラー,hansu・zevuェーrusu・tsīgurā
felix liebermann,フェリックス・リーバーマン,ferikkusu・rībāman
albert brackmann,アルベルト・ブラックマン,aruberuto・burakkuman
susette gontard,ズゼッテ・ゴンタルト,zuzette・gontaruto
paul bildt,パウル・ビルト,pauru・biruto
hans müller,ハンス・ミュラー,hansu・myurā
adalbert von hanstein,アーダルベルト・フォン・ファンシュタイン,ādaruberuto・fon・fanshutain
stephan kuttner,シュテファン・クトナー,shutefan・kutonā
wolfgang lauenstein,ウォルフガング・ラウエンシュタイン,worufugangu・rauenshutain
alena gerber,アレーナ・ゲルバー,arēna・gerubā
carl hecker,カール・ヘッカー,kāru・hekkā
isabella laböck,イザベラ・ラーベク,izabera・rābeku
holger afflerbach,ホルガー・アッフレルバッハ,horugā・affurerubahha
helmuth von maltzahn,ヘルムート・フォン・マルツァーン,herumūto・fon・marutsān
otto von gerlach,オットー・フォン・ゲルラッハ,ottō・fon・gerurahha
horst hächler,ホルスト・ヘヒラー,horusuto・hehirā
hans bunte,ハンス・ブンテ,hansu・bunte
conrad fink,コンラッド・フィンク,konraddo・finku
rupert neudeck,ルペルト・ノイデック,ruperuto・noidekku
anna rupprecht,アンナ・ルプレヒト,anna・rupurehito
peter bergmann,ペーター・ベルクマン,pētā・berukuman
adam elias von siebold,アーダム・エリーアス・フォン・ジーボルト,ādamu・erīasu・fon・jīboruto
martin semmelrogge,マルティン・ゼメルロッゲ,marutin・zemerurogge
heinz knoke,ハインツ・クノーケ,haintsu・kunōke
adam falkenstein,アダム・ファルケンシュタイン,adamu・farukenshutain
eckart höfling,エッカルト・ホフリング,ekkaruto・hofuringu
johann schweikhard von kronberg,ヨハン・シュヴァイクハルト・フォン・クロンベルク,yohan・shuvaikuharuto・fon・kuronberuku
winfried bischoff,ウィンフリッド・ビショッフ,winfuriddo・bishoffu
joseph jonas,ジョセフ・ジョナス,josefu・jonasu
wilfried klaus,ウィルフリード・クラウス,wirufurīdo・kurausu
andreas renschler,アンドレアス・レンシュラー,andoreasu・renshurā
anna essinger,アンナ・エスィンガー,anna・esingā
wilhelm altmann,ヴィルヘルム・アルトマン,viruherumu・arutoman
petra joy,ペトラ・ジョイ,petora・joi
willy hartner,ヴィリー・ヘルトナー,virī・herutonā
ottmar edenhofer,オットマー・エデンホーファー,ottomā・edenhōfā
trude hesterberg,トゥルーデ・ヘスターベルク,turūde・hesutāberuku
rolf wütherich,ロルフ・ヴューターリッヒ,rorufu・vuューtārihhi
carl lautenschläger,カール・ローテンシュリガー,kāru・rōtenshurigā
albert grzesinski,アルベルト・クシェジンスキ,aruberuto・kushejinsuki
kurt mälzer,クルト・メルツァー,kuruto・merutsā
franziska traub,フランツィスカ・トラウプ,furantsisuka・toraupu
helmut schlesinger,ヘルムート・シュレジンガー,herumūto・shurejingā
samuel fischer,サミュエル・フィッシャー,samyueru・fisshā
franz handlos,フランツ・ハンドロス,furantsu・handorosu
rolf gutbrod,ロルフ・グートブロート,rorufu・gūtoburōto
johanna wanka,ヨハンナ・ヴァンカ,yohanna・vanka
rolf geiger,ロルフ・ガイガー,rorufu・gaigā
petra reski,ペトラ・レスキ,petora・resuki
hermann thoms,ヘルマン・トームス,heruman・tōmusu
gregor dorfmeister,グレゴール・ドルフマイスター,guregōru・dorufumaisutā
fritz morzik,フリッツ・モーツィック,furittsu・mōtsikku
erika dannhoff,エリカ・ダンホフ,erika・danhofu
fred williams,フレッド・ウィリアムズ,fureddo・wiriamuzu
carolin golubytskyi,カロリン・ゴルビツスキ,karorin・gorubitsusuki
michael hinz,ミヒャエル・ヒンツ,mihyaeru・hintsu
dieter schidor,ディター・シドール,ditā・shidōru
alfred vierkandt,アルフレート・フィアカント,arufurēto・fiakanto
dorothea brandt,ドロテア・ブラント,dorotea・buranto
alesia graf,アレシア・グラフ,areshia・gurafu
rainer grenkowitz,ライナー・グレンコヴィッツ,rainā・gurenkovittsu
werner bräunig,ウェルナー・ブロイニク,werunā・buroiniku
otto fahr,オットー・ファール,ottō・fāru
nathalie thiede,ナタリー・ティーデ,natarī・tīde
helen hessel,ヘレン・ヘッセル,heren・hesseru
prinz pi,プリンツ・ピ,purintsu・pi
hans erich hollmann,ハンス・エーリッヒ・ホルマン,hansu・ērihhi・horuman
franz ludwig von erthal,フランツ・ルートヴィヒ・フォン・エルタール,furantsu・rūtovihi・fon・erutāru
katja poensgen,カティヤ・ポエンスゲン,katiya・poensugen
otto kreß von kressenstein,オットー・クレス・フォン・クレッセンシュタイン,ottō・kuresu・fon・kuressenshutain
anna fischer,アンナ・フィッシャー,anna・fisshā
walter niephaus,ヴァルター・ニーハウス,varutā・nīhausu
dieter stöckmann,ディーター・シュトックマン,dītā・shutokkuman
franz rös,フランツ・レース,furantsu・rēsu
heinrich deubel,ハインリヒ・デューベル,hainrihi・dyūberu
willi multhaup,ヴィリ・ムルタウプ,viri・murutaupu
holger bartsch,ホルガー・バルチュ,horugā・baruchu
kurt blecha,クルト・ブレハ,kuruto・bureha
hans meerwein,ハンス・メールワイン,hansu・mēruwain
otto reche,オットー・レーヒェ,ottō・rēhiェ
arno schickedanz,アルノ・シッケダンツ,aruno・shikkedantsu
jörg hube,イェルク・フーベ,yeruku・fūbe
ralph schwingel,ラルフ・シュヴィンゲル,rarufu・shuvingeru
eberhard rodt,エーベルハルト・ロット,ēberuharuto・rotto
volker herold,フォルカー・ヘロルド,forukā・herorudo
anton dunckern,アントン・ドゥンケルン,anton・dunkerun
otto hermann von vietinghoff,オットー・ヘルマン・フォン・フィーティングホフ,ottō・heruman・fon・fītinguhofu
jutta koether,ユタ・コータ,yuta・kōta
jakob heller,ヤコブ・ヘラー,yakobu・herā
balduin möllhausen,ボールドウィン・ミュールハウゼン,bōrudowin・myūruhauzen
alfred termkrtchyan,アルフレッド・ムクルキアン,arufureddo・mukurukian
renate von natzmer,レナータ・フォン・ナッツメル,renāta・fon・nattsumeru
ida siekmann,イーダ・ジークマン,īda・jīkuman
johann heinrich clasing,ヨハン・ヘルマン・クラージング,yohan・heruman・kurājingu
lilli schweiger,リリー・シュバイガー,rirī・shubaigā
ruth maria kubitschek,ルート・マリア・クビチェク,rūto・maria・kubicheku
kurt kreuger,カート・クルーガー,kāto・kurūgā
antje radcke,アンティエ・ラートケ,antie・rātoke
erwin schwab,エルヴィン・シュワブ,eruvin・shuwabu
wilhelm stäglich,ヴィルヘルム・シュテークリヒ,viruherumu・shutēkurihi
heinz schlaffer,ハインツ・シュラッファー,haintsu・shuraffā
eugen hönig,オイゲン・ヘーニヒ,oigen・hēnihi
josef jarolin,ヨーゼフ・ヤロリン,yōzefu・yarorin
michael rutschky,ミヒャエル・ルチキー,mihyaeru・ruchikī
hans maaß,ハンス・マース,hansu・māsu
fridolin karl leopold spenner,フリドリン・カール・レオポルト・シュペンナー,furidorin・kāru・reoporuto・shupennā
maria von wedemeyer,マリア・フォン・ヴェーデマイヤー,maria・fon・vuェーdemaiyā
johann georg anton geuther,ヨハン・ゲオルク・アントン・ゴイター,yohan・georuku・anton・goitā
hubert von meyerinck,ヒューベルト・フォン・マイヤーリンク,hyūberuto・fon・maiyārinku
angie westhoff,アンジー・ウェストホフ,anjī・wesutohofu
john decker,ジョン・デッカー,jon・dekkā
marie rönnebeck,マリー・レネベック,marī・renebekku
marie luise droop,マリー・ルイーズ・ドループ,marī・ruīzu・dorūpu
august schrader,オーガスト・シュレイダー,ōgasuto・shureidā
erich eyck,エーリッヒ・アイク,ērihhi・aiku
willi stächele,ヴィリー・スタチェル,virī・sutacheru
christine neubauer,クリスティーネ・ノイバウアー,kurisutīne・noibauā
eberhard kinzel,エーベルハルト・キンツェル,ēberuharuto・kintseru
thomas duis,トーマス・デュイス,tōmasu・dyuisu
karl eberth,カール・エーベルト,kāru・ēberuto
oskar kuhn,オスカー・クーン,osukā・kūn
moritz jahn,モリッツ・ヤーン,morittsu・yān
wilhelm hennis,ヴィルヘルム・ヘンニス,viruherumu・hennisu
georg rickhey,ゲオルグ・リカリー,georugu・rikarī
peter capell,ピーター・カペル,pītā・kaperu
petra lang,ペトラ・ラング,petora・rangu
ernst meyer,エルンスト・マイヤー,erunsuto・maiyā
andreas schmidt,アンドレアス・シュミット,andoreasu・shumitto
yvonne georgi,イヴォンヌ・ゲオルギー,ivuォnnu・georugī
walter haug,ヴァルター・ハウク,varutā・hauku
guida diehl,グイダ・ディール,guida・dīru
kurt waeger,クルト・ヴェーガー,kuruto・vuェーgā
wolfgang kaempfer,ダーヴィット・ケンプファー,dāvitto・kenpufā
giselher wirsing,ギーゼルヘル・ヴィルズィング,gīzeruheru・viruzingu
bruno wüstenberg,ブルーノ・ヴュステンベルグ,burūno・vuュsutenberugu
joachim eilers,ヨアヒム・アイラース,yoahimu・airāsu
helwin peter,ヘルヴィン・ペーター,heruvin・pētā
gertrud welcker,ゲルトルーデ・ヴェルカー,gerutorūde・vuェrukā
fritz küster,フリッツ・キュスター,furittsu・kyusutā
franz mauve,フランツ・モーフェ,furantsu・mōfe
mortimer von maltzahn,モルティマー・フォン・マルツァーン,morutimā・fon・marutsān
peer schmidt,ピア・シュミット,pia・shumitto
kurt lotz,クルト・ロッツ,kuruto・rottsu
petra gerster,ペトラ・ゲスター,petora・gesutā
helmut habermann,ヘルムート・ハーベルマン,herumūto・hāberuman
ernst höfner,エルンスト・ヘーフナー,erunsuto・hēfunā
wilhelm merton,ヴィルヘルム・メルトン,viruherumu・meruton
christian jost,クリスチャン・ヨスト,kurisuchan・yosuto
karl von watzdorf,カール・フォン・ヴァッツドルフ,kāru・fon・vattsudorufu
manfred purzer,マンフレッド・プルツァー,manfureddo・purutsā
wolfgang schäfer,ヴォルフガング・シェーファー,vuォrufugangu・shēfā
markus hess,マークス・ヘス,mākusu・hesu
eugen kaufmann,オイゲン・カウフマン,oigen・kaufuman
wolfgang niersbach,ヴォルフガング・ニーアスバッハ,vuォrufugangu・nīasubahha
heinz billing,ヘインズ・ビリング,heinzu・biringu
bernhard lösener,ベルンハルト・レーゼナー,berunharuto・rēzenā
ludwig schmidwildy,ルードヴィッヒ・シュミルトヴィルディ,rūdovihhi・shumirutovirudi
rainer kraft,ライナー・クラフト,rainā・kurafuto
heinrich popow,ハインリック・ポポー,hainrikku・popō
nicolaus gallus,ニコラウス・ガッルス,nikorausu・garrusu
patrycia ziółkowska,パトリツィア・ジウルコフスカ,patoritsia・jiurukofusuka
marco grimm,マルコ・グリム,maruko・gurimu
jochen meißner,ヨーヘン・マイスナー,yōhen・maisunā
dieter grimm,ディーター・グリム,dītā・gurimu
walter schock,ヴァルター・ショック,varutā・shokku
hans christern,ハンス・クリシュテルン,hansu・kurishuterun
grete reinwald,グレーテ・ラインヴァルト,gurēte・rainvaruto
joseph baumgartner,ヨーゼフ・バウムガートナー,yōzefu・baumugātonā
john spilman,ジョン・スピルマン,jon・supiruman
friedrich schrader,フリードリッヒ・シュレイダー,furīdorihhi・shureidā
ruth eweler,ルート・エヴェラー,rūto・evuェrā
klaus kotter,クラウス・コッター,kurausu・kottā
wolfgang beltracchi,ヴォルフガング・ベルトラッキ,vuォrufugangu・berutorakki
michael müller,ミヒャエル・ミュラー,mihyaeru・myurā
jacob haafner,ヤコプ・ハーフナー,yakopu・hāfunā
fritz fend,フリッツ・フェンド,furittsu・fendo
wilhelm kohl,ヴィルヘルム・コール,viruherumu・kōru
axel milberg,アクセル・ミルベルク,akuseru・miruberuku
ottmar schreiner,オットマール・シュレイナー,ottomāru・shureinā
ernst werner techow,エルンスト・ヴェルナー・テーヒョフ,erunsuto・vuェrunā・tēhyofu
heinrich bütefisch,ハインリヒ・ビューテフィシュ,hainrihi・byūtefishu
ulrich bez,ウルリッヒ・ベッツ,ururihhi・bettsu
wolf gremm,ウォルフ・グレム,worufu・guremu
innozenz stangl,イノツェンツ・シュタングル,inotsentsu・shutanguru
walter kreye,ウォルター・クレー,worutā・kurē
rolf steininger,ロルフ・シュタイニンガー,rorufu・shutainingā
jacob fidelis ackermann,ヤーコプ・フィデリス・アッカーマン,yākopu・fiderisu・akkāman
harm klueting,ハーム・クリューティング,hāmu・kuryūtingu
dieter arnold,ディーター・アーノルト,dītā・ānoruto
marie stritt,マリー・ストリット,marī・sutoritto
helmut schelsky,ヘルムート・シェルスキー,herumūto・sherusukī
marco weber,マルコ・ウェバー,maruko・webā
gustav lachmann,グスタフ・ラッハマン,gusutafu・rahhaman
gustav abb,グスタフ・アップ,gusutafu・appu
eva von der osten,エーファ・フォン・デア・オステン,ēfa・fon・dea・osuten
wolfgang brezinka,ヴォルフガング・ブレツィンカ,vuォrufugangu・buretsinka
johannes stumm,ヨハネス・シュトゥム,yohanesu・shutumu
werner neumann,ヴェルナー・ノイマン,vuェrunā・noiman
hans hansen,ハンス・ハンセン,hansu・hansen
reinhold wittig,ライホルト・ウィティヒ,raihoruto・witihi
michael alberti,ミヒャエル・アルベルティ,mihyaeru・aruberuti
erhard etzlaub,エアハルト・エッツラウプ,eaharuto・ettsuraupu
raed saleh,レイド・サレー,reido・sarē
helene grass,ヘレン・グラス,heren・gurasu
monika feth,モニカ・フェート,monika・fēto
stefan lippe,シュテファン・リッペ,shutefan・rippe
lena beyerling,レナ・ベイレル,rena・beireru
tilo prückner,ティロ・プリュックナー,tiro・puryukkunā
margrit sartorius,マルグリット・サルトリウス,maruguritto・sarutoriusu
hans quest,ハンス・クヴェスト,hansu・kuvuェsuto
philipp stölzl,フィリップ・シュテルツェル,firippu・shuterutseru
volker neumüller,フォルカー・ノイミュラー,forukā・noimyurā
christian zais,クリスティアン・ツァイス,kurisutian・tsaisu
judith richter,ジュディス・リヒテル,judisu・rihiteru
zoran drvenkar,ゾラン・ドヴェンカー,zoran・dovuェnkā
karsten speck,カルステン・スペック,karusuten・supekku
martin schäuble,マルティン・ショイブレ,marutin・shoibure
hannes stöhr,ヘネス・シュテール,henesu・shutēru
volker von collande,フォルカー・フォン・カランデ,forukā・fon・karande
heidrun schleef,ハイドラン・シュリーフ,haidoran・shurīfu
werner veigel,ヴェルナー・ファイグル,vuェrunā・faiguru
curt pflugbeil,クルト・プルークバイル,kuruto・purūkubairu
wolfgang wahl,ヴォルフガング・ヴァール,vuォrufugangu・vāru
franz hillinger,フランツ・ヒリンガー,furantsu・hiringā
asuman krause,アスマン・クラウス,asuman・kurausu
franz lemmermeyer,フランツ・レンマーメイヤー,furantsu・renmāmeiyā
august zu eulenburg,アウグスト・ツー・オイレンブルク,augusuto・tsū・oirenburuku
reinhard höhn,ラインハルト・ヘーン,rainharuto・hēn
johann gottfried büring,ヨハン・ゴットフリート・ビューリンク,yohan・gottofurīto・byūrinku
wieland speck,ウィーランド・スペック,wīrando・supekku
christian ditter,クリスティアン・ディッター,kurisutian・dittā
siegfried passarge,ジーグフリード・パッサルゲ,jīgufurīdo・passaruge
karl trimborn,カール・トリムボルン,kāru・torimuborun
herman weigel,ヘルマン・ヴァイゲル,heruman・vaigeru
helmut hauptmann,ヘルムート・ハウプトマン,herumūto・hauputoman
alexander geringas,アレックス・ゲリンガス,arekkusu・geringasu
hermann braun,ヘルマン・ブラウン,heruman・buraun
wilhelm weiß,ヴィルヘルム・ヴァイス,viruherumu・vaisu
hardy krüger junior,ハーディー・クリューガー・ジュニア,hādī・kuryūgā・junia
rudolf fleischmann,ルドルフ・フライシュマン,rudorufu・furaishuman
tanja liedtke,ターニャ・リートケ,tānya・rītoke
wichard von alvensleben,ヴィヒャルト・フォン・アルフェスレーベン,vihyaruto・fon・arufesurēben
erwin walter palm,アーウィン・ウォルター・パーム,āwin・worutā・pāmu
gerd ruge,ゲルト・ルーゲ,geruto・rūge
hans ertl,ハンス・エルトル,hansu・erutoru
ulrich fleischhauer,ウルリヒ・フライシュハウアー,ururihi・furaishuhauā
gerda bormann,ゲルダ・ボルマン,geruda・boruman
edgar jaffé,エドガー・ヤッフェ,edogā・yaffe
fritz umgelter,フリッツ・ウムゲルター,furittsu・umugerutā
paul diels,パウル・ディールス,pauru・dīrusu
gudrun gut,グートルン・グート,gūtorun・gūto
walter von hauff,ウォルター・フォン・ホフ,worutā・fon・hofu
wilhelm friedrich loeper,ヴィルヘルム・フリードリヒ・レーパー,viruherumu・furīdorihi・rēpā
manfred flügge,マンフレット・フリュッゲ,manfuretto・furyugge
karl wendling,カール・ウェンドリング,kāru・wendoringu
herbert albrecht,ヘルベルト・アルブレヒト,heruberuto・aruburehito
bernhard maier,ベルンハルト・マイヤー,berunharuto・maiyā
bernd tauber,ベルント・ダウバー,berunto・daubā
otto winkelmann,オットー・ヴィンケルマン,ottō・vinkeruman
walter hahm,ヴァルター・ハーム,varutā・hāmu
wolfgang franz,ヴォルフガング・フランツ,vuォrufugangu・furantsu
harald kreutzberg,ハラルド・クロイツベルク,hararudo・kuroitsuberuku
johannes eppler,ヨハンネス・エプラー,yohannesu・epurā
hilarius gilges,ヒラリウス・ギルゲス,hirariusu・girugesu
walter schultze,ヴァルター・シュルツェ,varutā・shurutse
wilhelm rudolf mann,ウィルヘルム・ルドルフ・マン,wiruherumu・rudorufu・man
hermann lindemann,ヘルマン・リンデマン,heruman・rindeman
jella lepman,イェラ・レップマン,yera・reppuman
friedwardt winterberg,フリードワード・ウィンターバーグ,furīdowādo・wintābāgu
wilhelmine von grävenitz,ヴィルヘルミーネ・フォン・グレーフェニッツ,viruherumīne・fon・gurēfenittsu
ijoma mangold,イジョマ・マンゴルト,ijoma・mangoruto
dieter stein,ディーター・シュタイン,dītā・shutain
wilhelm spiegelberg,ヴィルヘルム・シュピーゲルベルク,viruherumu・shupīgeruberuku
theodor seitz,テオドール・ザイツ,teodōru・zaitsu
werner düttmann,ヴェルナー・ドュットマン,vuェrunā・doュttoman
norbert könig,ノルベルト・ケーニヒ,noruberuto・kēnihi
waldemar podolski,ヴァルデマール・ポドルスキ,varudemāru・podorusuki
alexander andrae,アレクサンダー・アンドレ,arekusandā・andore
günter neumann,ギュンター・ノイマン,gyuntā・noiman
horst sylla,ホルスト・シラー,horusuto・shirā
dolf sternberger,ドルフ・シュテルンベルガー,dorufu・shuterunberugā
bertold spuler,ベルトルト・シュプーラー,berutoruto・shupūrā
joachim nettelbeck,ヨアヒム・ネッテルベック,yoahimu・netterubekku
frank glaubrecht,フランク・グラウブレヒト,furanku・gurauburehito
walther hinz,ヴァルター・ヒンツ,varutā・hintsu
karl august christian zu mecklenburg,カール・アウグスト・クリスチャン・ツー・メクレンブルク,kāru・augusuto・kurisuchan・tsū・mekurenburuku
otto wagener,オットー・ヴァーゲナー,ottō・vāgenā
horst hippler,ホルスト・ヒップラー,horusuto・hippurā
alex jolig,アレックス・ヨーリヒ,arekkusu・yōrihi
agnes bernelle,アグネス・バーネル,agunesu・bāneru
heinrich matthes,ハインリヒ・マテス,hainrihi・matesu
hans wehberg,ハンス・ウェーバーグ,hansu・wēbāgu
arthur nussbaum,アルトゥール・ヌスバウム,arutūru・nusubaumu
rolf bossi,ロルフ・ボッシ,rorufu・bosshi
fritz rau,フリッツ・ラウ,furittsu・rau
micaela schäfer,ミヒャエラ・シェーファー,mihyaera・shēfā
christian albrecht von dohna,クリスティアン・アルブレヒト・フォン・ドーナ,kurisutian・aruburehito・fon・dōna
dominik brunner,ドミニーク・ブレンナー,dominīku・burennā
tessa hofmann,テッサ・ホフマン,tessa・hofuman
hans leibelt,ハンス・ライベル,hansu・raiberu
gila von weitershausen,ギラ・フォン・ヴァイターハウンゼン,gira・fon・vaitāhaunzen
alfred loritz,アルフレート・ローリッツ,arufurēto・rōrittsu
hansjörg martin,ハンスイェルク・マルティーン,hansuyeruku・marutīn
bruno möhring,ブルーノ・メーリング,burūno・mēringu
alyn camara,アリン・カーマラ,arin・kāmara
gabriele wohmann,ガブリエレ・ヴォーンマン,gaburiere・vuォーnman
hans wilhelm blomberg,ハンス・ヴィルヘルム・ブロンベルク,hansu・viruherumu・buronberuku
friedrich von lindequist,フリードリヒ・フォン・リンデクイスト,furīdorihi・fon・rindekuisuto
wolf mittler,ヴォルフ・ミットラー,vuォrufu・mittorā
jonas ems,ヨーナス・エムス,yōnasu・emusu
christian wolff,クリスチャン・ヴォルフ,kurisuchan・vuォrufu
gerd tellenbach,ゲレト・テレンバッハ,gereto・terenbahha
louise schroeder,ルイーズ・シュレーダー,ruīzu・shurēdā
herrmann zschoche,ヘルマン・ツェチェチェ,heruman・tsecheche
kurt liese,クルト・リーゼ,kuruto・rīze
christian schneider,クリスチャン・シュナイダー,kurisuchan・shunaidā
theodor koch,テオドール・コック,teodōru・kokku
friedrich panzer,フリードリヒ・パンツァー,furīdorihi・pantsā
