françois hollande,フランソワ・オランド,furansowa・orando
serge laget,セルジュ・ラジェ,seruju・raje
édouard lartet,エドゥアール・ラルテ,eduāru・rarute
édouard blau,エドゥアール・ブロー,eduāru・burō
népomucène lemercier,ネポミュセーヌ・ルメルシエ,nepomyusēnu・rumerushie
uta taeger,ウタ・タジェール,uta・tajēru
léon bollée,レオン・ボレー,reon・borē
édouard drouyn de lhuys,エドゥアール・ドルアン・ド・リュイス,eduāru・doruan・do・ryuisu
édouard drumont,エドゥアール・ドリュモン,eduāru・doryumon
catherine bréchignac,カトリーヌ・ブレシニャック,katorīnu・bureshinyakku
claire élisabeth de vergennes,クレール・エリザベット・ド・ヴェルジェンヌ,kurēru・erizabetto・do・vuェrujennu
valtesse de la bigne,ヴァルテッセ・ド・ラ・ビニュ,varutesse・do・ra・binyu
édouard goursat,エドゥアール・グルサ,eduāru・gurusa
édouard boubat,エドゥアール・ブバ,eduāru・buba
grégory bourdy,グレゴリー・ブルディ,guregorī・burudi
claude makelélé,クロード・マケレレ,kurōdo・makerere
catherine allégret,カトリーヌ・アレグレ,katorīnu・aregure
tanya lopert,タニヤ・ロパート,taniya・ropāto
jean ranc,ジャン・ランク,jan・ranku
édouard louis dubufe,エドゥアール・ルイ・デュビュフ,eduāru・rui・dyubyufu
édouard dujardin,エドゥアール・デュジャルダン,eduāru・dyujarudan
édouard courtial,エドゥアール・クルティアル,eduāru・kurutiaru
jean daniélou,ジャン・ダニエルー,jan・danierū
édouard niermans,エドワール・ニエルマンス,edowāru・nierumansu
serge doubrovsky,セルジュ・ドゥブロフスキー,seruju・duburofusukī
alphonse karr,アルフォンス・カー,arufonsu・kā
vincent dindy,ヴァンサン・ダンディ,vansan・dandi
andré gorz,アンドレ・ゴルツ,andore・gorutsu
delphine de vigan,デルフィーヌ・ドゥ・ヴィガン,derufīnu・du・vigan
christiane minazzoli,クリスチアーヌ・ミナッツォリ,kurisuchiānu・minattsori
jacques deny,ジャック・デニ,jakku・deni
pierre jean édouard desor,ピエール・ジャン・エドゥアルト・デゾール,piēru・jan・eduaruto・dezōru
édouard de rothschild,エドゥアール・ド・ロチルド,eduāru・do・rochirudo
roger guérin,ロジャー・ゲラン,rojā・geran
élie frédéric forey,エリ・フレデリック・フォレ,eri・furederikku・fore
jules léotard,ジュール・レオタール,jūru・reotāru
édouard schuré,エドゥアール・シュレー,eduāru・shurē
dietmar feichtinger,ディトマール・ファイシティンガー,ditomāru・faishitingā
édouard vaillant,エドゥアール・ヴァイヤン,eduāru・vaiyan
édouard pignon,エドゥアール・ピニョン,eduāru・pinyon
andré claveau,アンドレ・クラボー,andore・kurabō
julius bauschinger,ユリウス・バウシンガー,yuriusu・baushingā
axel corti,アクセル・コーティ,akuseru・kōti
élodie navarre,エロディ・ナヴァール,erodi・navāru
élodie thomis,エロディー・トミ,erodī・tomi
kévin gameiro,ケヴィン・ガメイロ,kevin・gameiro
pierre moscovici,ピエール・モスコビッシ,piēru・mosukobisshi
dominique visse,ドミニク・ヴィス,dominiku・visu
élise bussaglia,エリーズ・ビュサグリア,erīzu・byusaguria
émile allais,エミール・アレー,emīru・arē
yann pivois,ヤン・ピヴォワ,yan・pivuォwa
joseph merklin,ヨーゼフ・メルクリン,yōzefu・merukurin
élie de rothschild,エリー・ド・ロスチャイルド,erī・do・rosuchairudo
émile bergerat,エミール・ベルジュラ,emīru・berujura
élisabeth roudinesco,エリザベート・ルディネスコ,erizabēto・rudinesuko
chadli bendjedid,シャドリ・ベンジェディード,shadori・benjedīdo
israël silvestre,イスラエル・シルヴェストル,isuraeru・shiruvuェsutoru
alexandre ribot,アレクサンドル・リボ,arekusandoru・ribo
émile arnaud,エミール・アルノー,emīru・arunō
hermine david,エルミーヌ・ダヴィド,erumīnu・davido
émile armand,エミール・アルマン,emīru・aruman
hervé bazin,エルヴェ・バザン,eruvuェ・bazan
honoré d'urfé,オノレ・デュルフェ,onore・dyurufe
michel sardou,ミシェル・サルドゥー,misheru・sarudū
françois de malherbe,フランソワ・ド・マレルブ,furansowa・do・marerubu
éléonore duplay,エレオノール・デュプレ,ereonōru・dyupure
fabien bartez,ファビアン・バルテズ,fabian・barutezu
hamer bouazza,アムール・ブアッザ,amūru・buazza
julie engelbrecht,ジュリー・エンゲルブレヒト,jurī・engeruburehito
john rocque,ジョン・ロック,jon・rokku
david sintzheim,ダーヴィド・ジンツハイム,dāvido・jintsuhaimu
alain manesson mallet,アラン・マネソン・マレー,aran・maneson・marē
jules barbey daurevilly,ジュール・バルベー・ドールヴィイ,jūru・barubē・dōruvii
krishna levy,クリシュナ・レヴィ,kurishuna・revi
david bortolussi,デビット・ボルトルッシ,debitto・borutorusshi
jacques martin,ジャック・マルタン,jakku・marutan
yvon delbos,イヴォン・デルボス,ivuォn・derubosu
léon daudet,レオン・ドーデ,reon・dōde
lucien musset,ルシアン・マセット,rushian・masetto
hugo zorn von bulach,フーゴ・ツォルン・フォン・ブーラッハ,fūgo・tsorun・fon・būrahha
pierre bertaux,ピエール・ベルトー,piēru・berutō
alexeï nikolaïevitch tolstoï,アレクセイ・ニコラエヴィッチ・トルストイ,arekusei・nikoraevitchi・torusutoi
antoine labeyrie,アントニー・ラベイリ,antonī・rabeiri
georges hüe,ジョルジュ・ユエ,joruju・yue
raymond forni,レーモン・フォルニ,rēmon・foruni
françois giroust,フランソワ・ジルー,furansowa・jirū
françois coignet,フランソワ・コワニェ,furansowa・kowaniェ
benno vigny,ベノ・ヴィグニー,beno・vigunī
michel ragon,ミシェル・ラゴン,misheru・ragon
raymond oliver,レイモン・オリヴェール,reimon・orivuェーru
nusch éluard,ヌーシュ・エリュアール,nūshu・eryuāru
rémy card,レミー・カード,remī・kādo
georges boulogne,ジョルジュ・ブローニュ,joruju・burōnyu
louis franchet d'espèrey,ルイ・フランシェ・デスペレー,rui・furanshe・desuperē
pierre pelot,ピエール・プロ,piēru・puro
frank braley,フランク・ブラレイ,furanku・burarei
robin mallapert,ロビン・マッラペルト,robin・marraperuto
roger borniche,ロジェ・ボルニッシュ,roje・borunisshu
alain colmerauer,アラン・カルメラウアー,aran・karumerauā
henri gouraud,アンリ・グーロー,anri・gūrō
ginette garcin,ジネット・ガルサン,jinetto・garusan
johnny friedlaender,ジョニー・フリードランデル,jonī・furīdoranderu
tony estanguet,トニー・エスタンゲ,tonī・esutange
henriette d'angeville,アンリエット・ダンジュヴィル,anrietto・danjuviru
joséphine berry,ジョセフィーヌ・ベリ,josefīnu・beri
philippe flajolet,フィリップ・フラジョレ,firippu・furajore
fabrice bellard,ファブリス・ベラール,faburisu・berāru
robert clary,ロバート・クラリー,robāto・kurarī
miranda raison,ミランダ・レイズン,miranda・reizun
annie saumont,アニー・ソーモン,anī・sōmon
daniel mayer,ダニエル・マイエ,danieru・maie
andré clot,アンドレ・クロー,andore・kurō
philippe kruchten,フィリップ・クルーシュテン,firippu・kurūshuten
pierre soulé,ピエール・スーレ,piēru・sūre
raymond hains,レイモン・アンス,reimon・ansu
jules lemaître,ジュール・ルメートル,jūru・rumētoru
rené guillot,ルネ・ギヨ,rune・giyo
frédéric godefroy,フレデリック・ゴドフロワ,furederikku・godofurowa
germaine richier,ジェルメーヌ・リシエ,jerumēnu・rishie
carolyn carlson,カロリン・カールソン,karorin・kāruson
dany carrel,ダニー・カレル,danī・kareru
madeleine colani,マドレーヌ・コラーニ,madorēnu・korāni
christiane rochefort,クリスチアーヌ・ロシュフォール,kurisuchiānu・roshufōru
jérôme lejeune,ジェローム・ルジューヌ,jerōmu・rujūnu
bernard peiffer,ベルナール・ペイフェ,berunāru・peife
carole andré,キャロル・アンドレ,kyaroru・andore
marion hänsel,マリオン・ヘンセル,marion・henseru
henri weil,アンリ・ヴェイユ,anri・vuェiyu
josephine chaplin,ジョゼフィーン・チャップリン,jozefīn・chappurin
adolphe napoléon didron,アドルフ・ナポレオン・ディドロン,adorufu・naporeon・didoron
mamadou bagayoko,ママドゥ・バガヨコ,mamadu・bagayoko
marilou berry,マリルー・ベリー,marirū・berī
sylvie germain,シルヴィー・ジェルマン,shiruvī・jeruman
guillaume farel,ギヨーム・ファレル,giyōmu・fareru
trần nữ yên khê,トラン・ヌー・イエン・ケー,toran・nū・ien・kē
gail sherriff,ゲイル・シェリフ,geiru・sherifu
adolphe léon willette,アドルフ・レオン・ウィレット,adorufu・reon・wiretto
adolphe guillaumat,アドルフ・ギヨーマ,adorufu・giyōma
adolphe hennebains,アドルフ・エヌバンス,adorufu・enubansu
suzanne duchamp,スザンヌ・デュシャン,suzannu・dyushan
claudine guérin de tencin,クロディーヌ・ゲラン・ド・タンサン,kurodīnu・geran・do・tansan
pierre fresnay,ピエール・フレネー,piēru・furenē
adolphe messimy,アドルフ・メッシミ,adorufu・messhimi
adolphe le flô,アドルフ・ル・フロー,adorufu・ru・furō
adolphe kégresse,アドルフ・ケグレス,adorufu・keguresu
arthur de la borderie,アルチュール・ド・ラ・ボードリー,aruchūru・do・ra・bōdorī
adolphe deloffre,アドルフ・デロッフル,adorufu・deroffuru
jacques isorni,ジャック・イゾルニ,jakku・izoruni
louis legendre,ルイ・ルジャンドル,rui・rujandoru
pierre villon,ピエール・ヴィヨン,piēru・viyon
annie belle,アニー・ベル,anī・beru
pierre guillaume gratien,ピエール・ギヨーム・グラティアン,piēru・giyōmu・guratian
véronique silver,ヴェロニク・シルヴェール,vuェroniku・shiruvuェーru
adolphe darchiac,アドルフ・ダルシアク,adorufu・darushiaku
gilles pisier,ジャイルス・ピジェ,jairusu・pije
jacky novi,ジャック・ノヴィ,jakku・novi
josé corti,ジョゼ・コルティ,joze・koruti
georges dufrénoy,ジョルジュ・デュフレノア,joruju・dyufurenoa
rudolf schwander,ルドルフ・シュヴァンダー,rudorufu・shuvandā
rudolf eickemeyer,ルドルフ・アイクマイヤー,rudorufu・aikumaiyā
marie anne mancini,マリア・アンナ・マンチーニ,maria・anna・manchīni
aloysius bertrand,アロイジウス・ベルトラン,aroijiusu・berutoran
gabriel bonnot de mably,ガブリエル・ボノ・ドゥ・マブリ,gaburieru・bono・du・maburi
jacques foccart,ジャック・フォッカール,jakku・fokkāru
marcel peyrouton,マルセル・ペイルートン,maruseru・peirūton
valérie kaprisky,ヴァレリー・カプリスキー,varerī・kapurisukī
anne alvaro,アンヌ・アルバロ,annu・arubaro
catalina denis,カタリーナ・ドゥニ,katarīna・duni
véronique genest,ヴェロニック・ジュネスト,vuェronikku・junesuto
helen hessel,ヘレン・ヘッセル,heren・hesseru
laurence bily,ローランス・ビリー,rōransu・birī
stéphane dion,ステファン・ディオン,sutefan・dion
ophélie winter,オフェリエ・ウィンテル,oferie・winteru
sophie arnould,ソフィー・アルノー,sofī・arunō
sara martins,サラ・マーティンズ,sara・mātinzu
catherine destivelle,カトリーヌ・デスティベル,katorīnu・desutiberu
danièle gaubert,ダニエル・ゴベール,danieru・gobēru
nicolas desmarest,ニコラ・デマレ,nikora・demare
henri breuil,アンリ・ブレイ,anri・burei
cristiana reali,クリスチアナ・ヘアリ,kurisuchiana・heari
jacqueline piatigorsky,ジャクリーヌ・ピアティゴルスキー,jakurīnu・piatigorusukī
blanche delacroix,ブランシュ・ドラクロワ,buranshu・dorakurowa
eugène schneider,ウジェーヌ・シュネデール,ujēnu・shunedēru
delphine de girardin,デルフィーヌ・ド・ジラルダン,derufīnu・do・jirarudan
michèle girardon,ミシェル・ジラルドン,misheru・jirarudon
brigitte aubert,ブリジット・オベール,burijitto・obēru
jean de bodt,ジャン・ド・ボー,jan・do・bō
jules dumont durville,ジュール・デュモン・デュルヴィル,jūru・dyumon・dyuruviru
paul winkler,ポール・ウィンクラー,pōru・winkurā
théodore reinach,テオドール・レイナック,teodōru・reinakku
marc simenon,マルク・シムノン,maruku・shimunon
juliette welfling,ジュリエット・ウェルフラン,jurietto・werufuran
patricia girard,パトリシア・ジラール,patorishia・jirāru
roger vailland,ロジェ・ヴァイヤン,roje・vaiyan
sabrina ouazani,サブリナ・ウアザニ,saburina・uazani
hoda lattaf,ホダ・ラッタフ,hoda・rattafu
céline deville,セリーヌ・デビル,serīnu・debiru
michel albert,ミッシェル・アルベール,missheru・arubēru
jean talon,ジャン・タロン,jan・taron
jean reynaud,ジャン・レイノー,jan・reinō
olivier adam,オリヴィエ・アダム,orivie・adamu
jérôme cousin,ジェローム・クザン,jerōmu・kuzan
théophile alajouanine,テオフィル・アラジョアニヌ,teofiru・arajoaninu
gauthier grumier,ゴティエ・グルミエ,gotie・gurumie
paul leroy,ポール・ルロイ,pōru・ruroi
jean frédéric frenet,ジャン・フレデリック・フルネ,jan・furederikku・furune
catherine trautmann,カトリーヌ・トロットマン,katorīnu・torottoman
gustave kahn,ギュスターヴ・カーン,gyusutāvu・kān
helmut habermann,ヘルムート・ハーベルマン,herumūto・hāberuman
pascal vahirua,パスカル・ヴァイリュア,pasukaru・vairyua
gisèle pascal,ジゼル・パスカル,jizeru・pasukaru
paul haeberlin,ポール・エーベルラン,pōru・ēberuran
tériade,テリアード,teriādo
léon bloy,レオン・ブロワ,reon・burowa
frederic de la roche,フレデリック・ド・ラ・ロシュ,furederikku・do・ra・roshu
pierre marie barthélemy ferino,ピエール・マリー・バルセルミー・フェリノ,piēru・marī・baruserumī・ferino
jules carpentier,ジュール・カルパンティエ,jūru・karupantie
marisol escobar,マリソル・エスコバル,marisoru・esukobaru
hoda barakat,ホダ・バラカ,hoda・baraka
félicien marceau,フェリシアン・マルソー,ferishian・marusō
fadela amara,ファデラ・アマラ,fadera・amara
claire de duras,クレール・ド・デュラス,kurēru・do・dyurasu
pierre decourcelle,ピエール・ドクルセル,piēru・dokuruseru
théophile de viau,テオフィル・ド・ヴィヨー,teofiru・do・viyō
claude joseph rouget de lisle,クロード・ジョゼフ・ルージェ・ド・リール,kurōdo・jozefu・rūje・do・rīru
charles de lorencez,シャルル・ド・ロレンス,sharuru・do・rorensu
polaire,ポレール,porēru
françois dubois,フランソワ・デュボワ,furansowa・dyubowa
marie pleyel,マリー・プレイエル,marī・pureieru
berthe bovy,ベルテ・ボオビィ,berute・boobiィ
philippe de commynes,フィリップ・ド・コミーヌ,firippu・do・komīnu
andré marty,アンドレ・マルティ,andore・maruti
antoine,アントワーヌ,antowānu
charles lavigerie,シャルル・ラヴィジェリ,sharuru・ravijeri
eugène schueller,ウジェーヌ・シュレール,ujēnu・shurēru
dany verissimo,ダニー・ヴェリッシモ,danī・vuェrisshimo
jacques hilling,ジャック・イリング,jakku・iringu
françois chopart,フランソワ・ショパー,furansowa・shopā
france rumilly,フランス・リュミイ,furansu・ryumii
constance mayer,コンスタンス・メイヤー,konsutansu・meiyā
maryvonne dupureur,マリボンヌ・デュビュリエ,maribonnu・dyubyurie
france anglade,フランス・アングラード,furansu・angurādo
ariane labed,アリアン・ラベド,arian・rabedo
jacqueline joubert,ジャクリーヌ・ジュベール,jakurīnu・jubēru
alain de boissieu,アラン・ド・ボワシュー,aran・do・bowashū
betty mars,ベティ・マルス,beti・marusu
hortense fiquet,オルタンス・フィケ,orutansu・fike
nicole rieu,ニコル・リユ,nikoru・riyu
martine franck,マルティーヌ・フランク,marutīnu・furanku
édouard estaunié,エドゥアール・エストニエ,eduāru・esutonie
medhi benatia,メディ・ベナティア,medi・benatia
esteban benzecry,エステバン・ベンセクリ,esuteban・bensekuri
michel mondésert,ミシェル・モンデセール,misheru・mondesēru
georges gilles de la tourette,ジョルジュ・ジル・ド・ラ・トゥレット,joruju・jiru・do・ra・turetto
charles alexandre de calonne,シャルル・アレクサンドル・ド・カロンヌ,sharuru・arekusandoru・do・karonnu
sébastien tellier,セバスチャン・テリエ,sebasuchan・terie
luc illusie,リュック・イリュージー,ryukku・iryūjī
antoine d'abbadie d'arrast,アントワーヌ・ダバディー・ダラー,antowānu・dabadī・darā
charles jonnart,シャルル・ジョナール,sharuru・jonāru
berthe weill,ベルテ・ウェイル,berute・weiru
desireless,デザイアレス,dezaiaresu
frédérique bel,フレデリック・ベル,furederikku・beru
guy laroche,ギ・ラロッシュ,gi・rarosshu
salomon olembe,サロモン・オレンベ,saromon・orenbe
louis nicolas,ルイス・ニコラス,ruisu・nikorasu
roger tallon,ロジェ・タロン,roje・taron
nathalie arthaud,ナタリー・アルトー,natarī・arutō
natalia gorbanevskaïa,ナタリヤ・ゴルバネフスカヤ,natariya・gorubanefusukaya
sophie cottin,ソフィー・コタン,sofī・kotan
olivia rosenthal,オリビア・ローゼンタール,oribia・rōzentāru
nathalie pâque,ナタリー・パック,natarī・pakku
maylis de kerangal,メイリス・ド・ケランガル,meirisu・do・kerangaru
zahra amir ebrahimi,ザーラ・アミル・エブラヒミ,zāra・amiru・eburahimi
damien perquis,ダミアン・ペルキ,damian・peruki
philippe du plaissis,フィリップ・ド・プレシス,firippu・do・pureshisu
évrard des barres,エバラール・デ・バレス,ebarāru・de・baresu
alexandre antigna,アレクサンドル・アンティーニャ,arekusandoru・antīnya
louis revol,ルイ・ルヴォル,rui・ruvuォru
cornelius herz,コルネリウス・エルツ,koruneriusu・erutsu
colette renard,コレット・ルナール,koretto・runāru
etteilla,エッティラ,ettira
andré marie,アンドレ・マリー,andore・marī
renée falconetti,ルネ・ファルコネッティ,rune・farukonetti
georges rigaud,ジョージ・リゴー,jōji・rigō
emmanuel de pastoret,エマニュエル・ド・パストレ,emanyueru・do・pasutore
françois louis de bourbonconti,フランソワ・ルイ・ド・ブルボン,furansowa・rui・do・burubon
fabienne keller,ファビエンヌ・ケレー,fabiennu・kerē
mariethérèse levasseur,テレーズ・ルヴァスール,terēzu・ruvasūru
rosemonde gérard,ロスモンド・ジェラール,rosumondo・jerāru
anna marly,アンナ・マーリー,anna・mārī
nadia farès,ナディア・ファレス,nadia・faresu
pierre dolbeault,ピエール・ドルボー,piēru・dorubō
mirra alfassa,ミラ・アルファッサ,mira・arufassa
andré meyer,アンドレ・メイヤー,andore・meiyā
norbert glanzberg,ノルベルト・グランズバーグ,noruberuto・guranzubāgu
pierre székely,ピエール・ツケリー,piēru・tsukerī
lisa azuelos,リサ・アズエロス,risa・azuerosu
dominique lavanant,ドミニク・ラヴァナン,dominiku・ravanan
claire bretécher,クレール・ブルテシェ,kurēru・buruteshe
etel adnan,イーテル・アドナン,īteru・adonan
elisa sednaoui,エリザ・セドナウィ,eriza・sedonawi
hind dehiba,ヒンドゥ・デヒバ,hindu・dehiba
sophie vouzelaud,ソフィー・ヴゼロー,sofī・vuzerō
raymond klibansky,レイモンド・クリバンスキー,reimondo・kuribansukī
joseph rovan,ジョゼフ・ロヴァン,jozefu・rovan
stéphane abrial,ステファヌ・アブリアル,sutefanu・aburiaru
régine,レジーヌ,rejīnu
félix houphouëtboigny,フェリックス・ウフェボワニ,ferikkusu・ufebowani
isabelle demongeot,イサベル・デモンジョー,isaberu・demonjō
raymond cauchetier,レイモン・コシュティエ,reimon・koshutie
roger trinquier,ロジェ・トリンキエ,roje・torinkie
andrée chedid,アンドレ・シェディッド,andore・shediddo
valérie bonneton,ヴァレリー・ボネトン,varerī・boneton
kathie lee gifford,キャシー・リー・ギフォード,kyashī・rī・gifōdo
lesley blanch,レスリー・ブランチ,resurī・buranchi
christa théret,クリスタ・テレ,kurisuta・tere
eugénie le sommer,ウジェニ・ル・ソンメ,ujeni・ru・sonme
jacques bergier,ジャック・ベルジェ,jakku・beruje
annie cordy,アニー・コルディ,anī・korudi
léonora miano,レオノラ・ミアノ,reonora・miano
jean longuet,ジャン・ロンゲ,jan・ronge
marie de champagne,マリー・ド・シャンパーニュ,marī・do・shanpānyu
eugène flachat,ウジェーヌ・フラシャ,ujēnu・furasha
pierre lelong,ピエール・ルロン,piēru・ruron
robert le vigan,ロベール・ル・ヴィガン,robēru・ru・vigan
charles diehl,シャルル・ディール,sharuru・dīru
jean boffety,ジャン・ボフティ,jan・bofuti
alain de benoist,アラン・ド・ブノワ,aran・do・bunowa
bernard derrida,ベルナール・デリダ,berunāru・derida
danièle thompson,ダニエル・トンプソン,danieru・tonpuson
andré bettencourt,アンドレ・ベタンクール,andore・betankūru
claude devic,クロード・ドゥヴィック,kurōdo・duvikku
françoise bettencourt meyers,フランソワーズ・ベタンクール・メイヤー,furansowāzu・betankūru・meiyā
alain daniélou,アラン・ダニエルー,aran・danierū
christiane legrand,クリスチャンヌ・ルグラン,kurisuchannu・ruguran
patrick timsit,パトリック・ティムシット,patorikku・timushitto
vincent jay,バンサン・ジェー,bansan・jē
andré bloch,アンドレ・ブロック,andore・burokku
henri garcin,アンリ・ガルサン,anri・garusan
romain hardy,ロマン・アルディ,roman・arudi
seda aznavour,セダ・アズナヴール,seda・azunavūru
yannick jadot,ヤンニック・ジャド,yannikku・jado
sarah biasini,サラ・ビアシーニ,sara・biashīni
théophile tilmant,テオフィル・ティルマン,teofiru・tiruman
anne marivin,アンヌ・マリヴァン,annu・marivan
lakhdar brahimi,ラクダール・ブラヒミ,rakudāru・burahimi
christian cévaër,クリスチャン・セバエル,kurisuchan・sebaeru
louis jules trochu,ルイ・ジュール・トロシュ,rui・jūru・toroshu
pierre colmez,ピエール・コルメス,piēru・korumesu
léa drucker,レア・ドリュッケール,rea・doryukkēru
andré bac,アンドレ・バック,andore・bakku
gaston de foix,ガストン・ド・フォワ,gasuton・do・fowa
line renaud,リーヌ・ルノー,rīnu・runō
roger planchon,ロジェ・プランション,roje・puranshon
alphonse de châteaubriant,アルフォンス・ド・シャトーブリアン,arufonsu・do・shatōburian
paul fournel,ポール・フルネル,pōru・furuneru
joanna bruzdowicz,ヨアンナ・ブルズドヴィチ,yoanna・buruzudovichi
lucien szpiro,リュシアン・スピロ,ryushian・supiro
gary zebrowski,ガリー・ゼブロウスキー,garī・zeburousukī
gustave flourens,ギュスターブ・フルーランス,gyusutābu・furūransu
louis cazamian,ルイ・カザミヤン,rui・kazamiyan
charles de flahaut,シャルル・ド・フラオー,sharuru・do・furaō
henri skiba,アンリ・スキバ,anri・sukiba
jeannemarie leprince de beaumont,マリー・ルプランス・ド・ボーモン,marī・rupuransu・do・bōmon
colette deréal,コレット・ドレアル,koretto・dorearu
jacqueline de hainaut,ジャクリーヌ・ド・エノー,jakurīnu・do・enō
andré chorda,アンドレ・ショルダ,andore・shoruda
nathacha appanah,ナターシャ・アパナ,natāsha・apana
bella rosenfeld,ベラ・シャガール,bera・shagāru
jérôme kerviel,ジェローム・ケルビエル,jerōmu・kerubieru
betsy drake,ベッツィー・ドレイク,bettsī・doreiku
edmond de rothschild,エドモンド・ベンジャミン・ロスチャイルド,edomondo・benjamin・rosuchairudo
gisèle celanlestrange,ジゼル・レトランジュ,jizeru・retoranju
louise marguerite de lorraine,ルイーズ・マルグリット・ド・ロレーヌ,ruīzu・maruguritto・do・rorēnu
madeleine robinson,マドレーヌ・ロバンソン,madorēnu・robanson
pascale audret,パスカル・オードレ,pasukaru・ōdore
alexandra fusai,アレクサンドラ・フセ,arekusandora・fuse
philippe aghion,フィリップ・アギオン,firippu・agion
claire voisin,クレール・ヴォイシン,kurēru・vuォishin
dany boon,ダニー・ブーン,danī・būn
michel hollard,ミシェル・オラール,misheru・orāru
andré castaigne,アンドレ・カーステニャ,andore・kāsutenya
andré castelot,アンドレ・カステロ,andore・kasutero
andré ceccarelli,アンドレ・チェッカレリ,andore・chekkareri
martial caillebotte,マルシャル・カイユボット,marusharu・kaiyubotto
mélaniehélène bonis,メラニー・ボニス,meranī・bonisu
édouard joseph dantan,エドワール・ジョゼフ・ダンタン,edowāru・jozefu・dantan
béatrice poulot,ベアトリス・プーロ,beatorisu・pūro
adrien douady,エイドリアン・ドゥアディ,eidorian・duadi
marcel bucard,マルセル・ビュカール,maruseru・byukāru
jacqueline audry,ジャクリーヌ・オードリー,jakurīnu・ōdorī
sylvia pinel,シルヴィア・ピネル,shiruvia・pineru
jean lurçat,ジャン・リュルサ,jan・ryurusa
albertus parisiensis,アルベルトゥス・パリジェンシス,aruberutusu・parijenshisu
rita cadillac,リタ・キャデラック,rita・kyaderakku
mélanie de bussière,メラニー・ド・プルタレス,meranī・do・purutaresu
andreï siniavski,アンドレイ・シニャフスキー,andorei・shinyafusukī
dominique vivant denon,ドミニク・ヴィヴァン・ドノン,dominiku・vivan・donon
josette day,ジョゼット・デイ,jozetto・dei
roland ries,ロラン・リス,roran・risu
léon groc,レオン・グロック,reon・gurokku
claude duval,クロード・デュヴァル,kurōdo・dyuvaru
nora berra,ノラ・ベラ,nora・bera
adrien duport,アドリアン・デュポール,adorian・dyupōru
aïssa maïga,アイサ・マイガ,aisa・maiga
perrette pradier,ペレット・プラディエ,peretto・puradie
robert pires,ロベール・ピレス,robēru・piresu
gaston monnerville,ガストン・モネルヴィル,gasuton・moneruviru
hans von halban,ハンス・フォン・ハルバン,hansu・fon・haruban
andré guinier,アンドレ・ギニエ,andore・ginie
modeste mbami,モデスト・エムバミ,modesuto・emubami
andré hunebelle,アンドレ・ユヌベル,andore・yunuberu
véronique tadjo,ヴェロニク・タジョ,vuェroniku・tajo
brien de bretagne,ブライアン・オブ・ブルターニュ,buraian・obu・burutānyu
denise fabre,デニス・ファーブル,denisu・fāburu
andré fleury,アンドレ・フルリー,andore・fururī
roger bissière,ロジェ・ビシエール,roje・bishiēru
josé anigo,ホセ・アニゴ,hose・anigo
françois stahly,フランソワ・スターリ,furansowa・sutāri
henry bérenger,アンリ・ベレンジェール,anri・berenjēru
walther straram,ワルテル・ストララム,waruteru・sutoraramu
paul arma,ポール・アルマ,pōru・aruma
imany,イマニー,imanī
marie de gournay,マリー・ド・グルネー,marī・do・gurunē
adrien philippe,アドリアン・フィリップ,adorian・firippu
andré deed,アンドレ・ディード,andore・dīdo
andré dunoyer de segonzac,アンドレ・デュノワイエ・ド・スゴンザック,andore・dyunowaie・do・sugonzakku
alix de bourgogne,アデライード・ド・ブルゴーニュ,aderaīdo・do・burugōnyu
jacqueline lamba,ジャクリーヌ・ランバ,jakurīnu・ranba
andré frénaud,アンドレ・フレノー,andore・furenō
adrien maurice de noailles,アドリアン・モーリス・ド・ノアイユ,adorian・mōrisu・do・noaiyu
garance clavel,ギャランス・クラヴェル,gyaransu・kuravuェru
paule constant,ポール・コンスタン,pōru・konsutan
véronique jannot,ヴェロニーク・ジャノ,vuェronīku・jano
viviane forrester,ヴィヴィアンヌ・フォレステル,viviannu・foresuteru
jacques duclos,ジャック・デュクロ,jakku・dyukuro
mireille delunsch,ミレイユ・ドランシュ,mireiyu・doranshu
andré gayot,アンドレ・ガイヨー,andore・gaiyō
florence steurer,フロランス・ステュレール,furoransu・sutyurēru
joseph achille le bel,ジョゼフ・アシル・ル・ベル,jozefu・ashiru・ru・beru
jacques louis randon,ジャック・ルイ・ランドン,jakku・rui・randon
robert filliou,ロベール・フィリュウ,robēru・firyuu
audrey mestre,オードリー・メストレ,ōdorī・mesutore
adolphe niel,アドルフ・ニエルゲンスイ,adorufu・nierugensui
marie marvingt,マリー・マルヴァン,marī・maruvan
chimène badi,シメーヌ・バディ,shimēnu・badi
césar baldaccini,セザール・バルダッチーニ,sezāru・barudatchīni
ossip bernstein,オシップ・ベルンシュテイン,oshippu・berunshutein
claudine chomat,クロディーヌ・ショマ,kurodīnu・shoma
andré félibien,アンドレ・フェリビアン,andore・feribian
jean clouet,ジャン・クルーエ,jan・kurūe
camélia jordana,カメリア・ジョルダナ,kameria・jorudana
marie rivière,マリー・リヴィエール,marī・riviēru
andré dufraisse,アンドレ・デュフレス,andore・dyufuresu
claude farell,クロード・ファレール,kurōdo・farēru
adrien petit,アドリアン・プティ,adorian・puti
adrien recurt,アドリアン・リクール,adorian・rikūru
andré frossard,アンドレ・フロサール,andore・furosāru
pierre riel de beurnonville,ピエール・リエル・ド・ブールノンヴィル,piēru・rieru・do・būrunonviru
henri teissier,アンリ・テシエ,anri・teshie
