inna,茵娜,yīn nà
acâș,阿克什乡,ā kè shén xiāng
ardusat,阿尔杜萨特乡,ā ěr dù sà tè xiāng
coaș,夸什乡,kuā shén xiāng
botești,博泰什蒂乡,bó tài shén dì xiāng
sâncrăieni,圣克勒耶尼乡,shèng kè lè yē ní xiāng
ghioroc,吉奥罗克乡,jí ào luó kè xiāng
bivolari,比沃拉里乡,bǐ wò lā lǐ xiāng
miroslovești,米罗斯洛韦什蒂乡,mǐ luó sī luò wéi shén dì xiāng
ceplenița,切普莱尼察乡,qiè pǔ lái ní chá xiāng
bălăbănești,伯勒伯内什蒂乡,bǎi lè bǎi nèi shén dì xiāng
fărcașa,弗尔卡沙乡,fú ěr kǎ shā xiāng
poplaca,波普拉卡乡,bō pǔ lā kǎ xiāng
coroieni,科罗耶尼乡,kē luó yē ní xiāng
ieud,耶乌德乡,yē wū dé xiāng
piscu,皮斯库乡,pí sī kù xiāng
plugari,普卢加里乡,pǔ lú jiā lǐ xiāng
todirești,托迪雷什蒂乡,tuō dí léi shén dì xiāng
nușfalău,努什法勒乌乡,nǔ shén fǎ lè wū xiāng
sândominic,圣多米尼克乡,shèng duō mǐ ní kè xiāng
heleșteni,海莱什泰尼乡,hǎi lái shén tài ní xiāng
butea,布泰亚乡,bù tài yà xiāng
ciurea,丘雷亚乡,qiū léi yà xiāng
măgherani,默盖拉尼乡,mò gài lā ní xiāng
ogra,奥格拉乡,ào gé lā xiāng
iclănzel,伊克伦泽尔乡,yī kè lún zé ěr xiāng
cucerdea,库切尔代亚乡,kù qiè ěr dài yà xiāng
toporu,托波鲁乡,tuō bō lǔ xiāng
schela,斯凯拉乡,sī kǎi lā xiāng
răsuceni,勒苏切尼乡,lè sū qiè ní xiāng
băiuț,伯尤茨乡,bǎi yóu cí xiāng
berzasca,贝尔扎斯卡乡,bèi ěr zhā sī kǎ xiāng
felnac,费尔纳克乡,fèi ěr nà kè xiāng
craidorolț,克赖多罗尔茨乡,kè lài duō luó ěr cí xiāng
ciortești,乔尔泰什蒂乡,qiáo ěr tài shén dì xiāng
bârnova,伯尔诺瓦乡,bǎi ěr nuò wǎ xiāng
răuseni,勒乌塞尼乡,lè wū sāi ní xiāng
lețcani,莱茨卡尼乡,lái cí kǎ ní xiāng
erbiceni,埃尔比切尼乡,āi ěr bǐ qiè ní xiāng
blăjel,布勒热尔乡,bù lè rè ěr xiāng
solovăstru,索洛沃斯特鲁乡,suǒ luò wò sī tè lǔ xiāng
suseni,苏塞尼乡,sū sāi ní xiāng
vărgata,沃尔加塔乡,wò ěr jiā tǎ xiāng
andrieșeni,安德列谢尼乡,ān dé liè xiè ní xiāng
ipatele,伊帕泰莱乡,yī pà tài lái xiāng
umbrărești,温布勒雷什蒂乡,wēn bù lè léi shén dì xiāng
gropnița,格罗普尼察乡,gé luó pǔ ní chá xiāng
hudești,胡代什蒂乡,hú dài shén dì xiāng
cristești,克里斯泰什蒂乡,kè lǐ sī tài shén dì xiāng
cozmești,科兹梅什蒂乡,kē zī méi shén dì xiāng
atid,阿提德,ā tí dé
cotmeana,科特梅亚纳乡,kē tè méi yà nà xiāng
lenauheim,莱瑙海姆乡,lái nǎo hǎi mǔ xiāng
ciumești,丘梅什蒂乡,qiū méi shén dì xiāng
bulbucata,布尔布卡塔乡,bù ěr bù kǎ tǎ xiāng
crușeț,克鲁谢茨乡,kè lǔ xiè cí xiāng
joița,若伊察乡,ruò yī chá xiāng
oinacu,奥伊纳库乡,ào yī nà kù xiāng
gostinari,戈斯蒂纳里乡,gē sī dì nà lǐ xiāng
coteana,科泰亚纳乡,kē tài yà nà xiāng
bârza,伯尔扎乡,bǎi ěr zhā xiāng
văculești,沃库莱什蒂乡,wò kù lái shén dì xiāng
costuleni,科斯图莱尼乡,kē sī tú lái ní xiāng
frumușica,弗鲁穆希卡乡,fú lǔ mù xī kǎ xiāng
grozești,格罗泽什蒂乡,gé luó zé shén dì xiāng
stăuceni,斯特乌切尼乡,sī tè wū qiè ní xiāng
mărtiniș,默尔蒂尼什乡,mò ěr dì ní shén xiāng
șincai,欣卡伊乡,xīn kǎ yī xiāng
schitu,斯基图乡,sī jī tú xiāng
voivodeni,沃伊沃代尼乡,wò yī wò dài ní xiāng
comarna,科马尔纳乡,kē mǎ ěr nà xiāng
hotarele,霍塔雷莱乡,huò tǎ léi lái xiāng
oboga,奥博加乡,ào bó jiā xiāng
izbiceni,伊兹比切尼乡,yī zī bǐ qiè ní xiāng
livezeni,利韦泽尼乡,lì wéi zé ní xiāng
vărșag,沃尔沙格乡,wò ěr shā gé xiāng
fărăgău,弗勒格乌乡,fú lè gé wū xiāng
sâniob,瑟尼奥布乡,sè ní ào bù xiāng
greaca,格雷亚卡乡,gé léi yà kǎ xiāng
gogoșari,戈戈沙里乡,gē gē shā lǐ xiāng
ghimpați,京帕齐乡,jīng pà qí xiāng
alunu,阿卢努乡,ā lú nǔ xiāng
bichiș,比基什乡,bǐ jī shén xiāng
feliceni,费利切尼乡,fèi lì qiè ní xiāng
leliceni,莱利切尼乡,lái lì qiè ní xiāng
mârșa,马尔沙乡,mǎ ěr shā xiāng
buturugeni,布图鲁杰尼乡,bù tú lǔ jié ní xiāng
ogrezeni,奥格雷泽尼乡,ào gé léi zé ní xiāng
grădinari,格勒迪纳里乡,gé lè dí nà lǐ xiāng
prefect,县长,xiàn zhǎng
găujani,格乌扎尼乡,gé wū zhā ní xiāng
gârcov,格尔科夫乡,gé ěr kē fū xiāng
cezieni,切济耶尼乡,qiè jì yē ní xiāng
singureni,辛古雷尼乡,xīn gǔ léi ní xiāng
bahnea,巴赫尼亚乡,bā hè ní yà xiāng
sănduleni,森杜莱尼乡,sēn dù lái ní xiāng
ciohorăni,乔霍勒尼乡,qiáo huò lè ní xiāng
herăști,海勒什蒂乡,hǎi lè shén dì xiāng
milcoiu,米尔科尤乡,mǐ ěr kē yóu xiāng
otelec,奥泰莱克乡,ào tài lái kè xiāng
dealu,迪亚卢乡,dí yà lú xiāng
adămuș,阿德穆什乡,ā dé mù shén xiāng
ditrău,迪特勒乌乡,dí tè lè wū xiāng
roșia,罗希亚乡,luó xī yà xiāng
joseni,若塞尼乡,ruò sāi ní xiāng
chețani,凯察尼乡,kǎi chá ní xiāng
bogata,博加塔乡,bó jiā tǎ xiāng
bălăușeri,伯勒乌谢里乡,bǎi lè wū xiè lǐ xiāng
hodoșa,霍多沙乡,huò duō shā xiāng
pănet,珀内特乡,pò nèi tè xiāng
zetea,泽泰亚乡,zé tài yà xiāng
merești,梅雷什蒂乡,méi léi shén dì xiāng
putineiu,普蒂内尤乡,pǔ dì nèi yóu xiāng
căpreni,克普雷尼乡,kè pǔ léi ní xiāng
găiseni,格伊塞尼乡,gé yī sāi ní xiāng
hodac,霍达克乡,huò dá kè xiāng
aluniș,阿卢尼什乡,ā lú ní shén xiāng
crăciunești,克勒丘内什蒂乡,kè lè qiū nèi shén dì xiāng
suplac,苏普拉克乡,sū pǔ lā kè xiāng
rășinari,勒希纳里乡,lè xī nà lǐ xiāng
ulieș,乌列什乡,wū liè shén xiāng
vețca,韦茨卡乡,wéi cí kǎ xiāng
șăulia,舍乌利亚乡,shè wū lì yà xiāng
gurghiu,古尔吉乌乡,gǔ ěr jí wū xiāng
bălănești,伯勒内什蒂乡,bǎi lè nèi shén dì xiāng
vărăști,沃勒什蒂乡,wò lè shén dì xiāng
berlești,贝尔莱什蒂乡,bèi ěr lái shén dì xiāng
prundeni,普伦代尼乡,pǔ lún dài ní xiāng
sânpaul,圣保罗乡,shèng bǎo luó xiāng
lovrin,洛夫林乡,luò fū lín xiāng
moșna,莫什纳乡,mò shén nà xiāng
merghindeal,梅尔京代亚尔乡,méi ěr jīng dài yà ěr xiāng
pogăceaua,波格恰瓦乡,bō gé qià wǎ xiāng
ojdula,奥伊杜拉乡,ào yī dù lā xiāng
periam,佩里亚姆乡,pèi lǐ yà mǔ xiāng
stânceni,斯滕切尼乡,sī téng qiè ní xiāng
petelea,佩泰莱亚乡,pèi tài lái yà xiāng
gănești,格内什蒂乡,gé nèi shén dì xiāng
romuli,罗穆利乡,luó mù lì xiāng
țibana,齐巴纳乡,qí bā nà xiāng
nocrich,诺克里克乡,nuò kè lǐ kè xiāng
dârlos,德尔洛斯乡,dé ěr luò sī xiāng
rușiimunți,鲁希蒙齐乡,lǔ xī méng qí xiāng
lăzarea,勒扎雷亚乡,lè zhā léi yà xiāng
vurpăr,武尔珀尔乡,wǔ ěr pò ěr xiāng
ilieni,伊利耶尼乡,yī lì yē ní xiāng
păuleniciuc,珀乌莱尼丘克乡,pò wū lái ní qiū kè xiāng
cuci,库奇乡,kù qí xiāng
cozma,科兹马乡,kē zī mǎ xiāng
dumitrița,杜米特里察乡,dù mǐ tè lǐ chá xiāng
brădeni,布勒代尼乡,bù lè dài ní xiāng
gălești,格莱什蒂乡,gé lái shén dì xiāng
ratbv,布拉索夫公共交通,bù lā suǒ fū gōng gòng jiāo tōng
storojineț,斯托罗伊内茨县,sī tuō luó yī nèi cí xiàn
băla,伯拉乡,bǎi lā xiāng
păuca,珀乌卡乡,pò wū kǎ xiāng
răstolița,勒斯托利察乡,lè sī tuō lì chá xiāng
târnava,特尔纳瓦乡,tè ěr nà wǎ xiāng
hoghilag,霍吉拉格乡,huò jí lā gé xiāng
bodoc,博多克乡,bó duō kè xiāng
dănești,德内什蒂乡,dé nèi shén dì xiāng
ibănești,伊伯内什蒂乡,yī bǎi nèi shén dì xiāng
subcetate,苏布切塔泰乡,sū bù qiè tǎ tài xiāng
racu,拉库,lā kù
brateiu,布拉泰尤乡,bù lā tài yóu xiāng
tușnad,图什纳德乡,tú shén nà dé xiāng
ațintiș,阿钦蒂什乡,ā qīn dì shén xiāng
ocland,奥克兰德乡,ào kè lán dé xiāng
praid,普拉伊德乡,pǔ lā yī dé xiāng
frumoasa,弗鲁莫阿萨乡,fú lǔ mò ā sà xiāng
hodod,霍多德乡,huò duō dé xiāng
blejoi,布莱若伊乡,bù lái ruò yī xiāng
boghiș,博吉什乡,bó jí shén xiāng
colți,科尔齐乡,kē ěr qí xiāng
dârmănești,德尔默内什蒂乡,dé ěr mò nèi shén dì xiāng
corbeni,科尔贝尼乡,kē ěr bèi ní xiāng
bogdand,博格丹德乡,bó gé dān dé xiāng
drăgoiești,德勒戈耶什蒂乡,dé lè gē yē shén dì xiāng
hășmaș,赫什马什乡,hè shén mǎ shén xiāng
smeeni,斯梅埃尼乡,sī méi āi ní xiāng
luncavița,隆卡维察乡,lóng kǎ wéi chá xiāng
morteni,莫尔泰尼乡,mò ěr tài ní xiāng
bruiu,布鲁尤乡,bù lǔ yóu xiāng
vădeni,沃代尼乡,wò dài ní xiāng
bucoșnița,布科什尼察乡,bù kē shén ní chá xiāng
țepu,采普乡,cǎi pǔ xiāng
bănișor,伯尼绍尔乡,bǎi ní shào ěr xiāng
buntești,本泰什蒂乡,běn tài shén dì xiāng
gălăuțaș,格勒乌察什乡,gé lè wū chá shén xiāng
buteni,布泰尼乡,bù tài ní xiāng
glina,格利纳乡,gé lì nà xiāng
cogealac,科贾拉克乡,kē jiǎ lā kè xiāng
coltău,科尔特乌乡,kē ěr tè wū xiāng
amzacea,安札切亚,ān zhá qiè yà
aliman,阿利曼乡,ā lì màn xiāng
gorban,戈尔班乡,gē ěr bān xiāng
grăniceri,格勒尼切里乡,gé lè ní qiè lǐ xiāng
band,班德乡,bān dé xiāng
cotnari,科特纳里,kē tè nà lǐ
costinești,科斯蒂内什蒂乡,kē sī dì nèi shén dì xiāng
dagâța,德格察乡,dé gé chá xiāng
moneasa,莫内亚萨乡,mò nèi yà sà xiāng
variaș,瓦里亚什乡,wǎ lǐ yà shén xiāng
ghilad,吉拉德乡,jí lā dé xiāng
mica,米卡乡,mǐ kǎ xiāng
darova,达罗瓦乡,dá luó wǎ xiāng
ghindari,欣达里,xīn dá lǐ
crâmpoia,克伦波亚乡,kè lún bō yà xiāng
băița,伯伊察乡,bǎi yī chá xiāng
bănești,伯内什蒂,bǎi nèi shén dì
bărbătești,伯尔伯泰什蒂乡,bǎi ěr bǎi tài shén dì xiāng
curtea,库尔泰亚乡,kù ěr tài yà xiāng
vânătorineamț,沃讷托里尼亚姆茨乡,wò nè tuō lǐ ní yà mǔ cí xiāng
bălțați,伯尔察齐乡,bǎi ěr chá qí xiāng
chișlaz,基什拉兹乡,jī shén lā zī xiāng
chirpăr,基尔珀尔乡,jī ěr pò ěr xiāng
chiochiș,基奥基什乡,jī ào jī shén xiāng
nufăru,努弗鲁乡,nǔ fú lǔ xiāng
lechința,莱钦察乡,lái qīn chá xiāng
vinga,温加乡,wēn jiā xiāng
laslea,拉斯莱亚乡,lā sī lái yà xiāng
leșu,莱舒乡,lái shū xiāng
odoreu,奥多雷乌乡,ào duō léi wū xiāng
dioști,迪奥什蒂乡,dí ào shén dì xiāng
spinuș,斯皮努什乡,sī pí nǔ shén xiāng
pietroasa,彼得罗阿萨乡,bǐ dé luó ā sà xiāng
eremitu,埃雷米图乡,āi léi mǐ tú xiāng
ernei,埃尔内乡,āi ěr nèi xiāng
oșorhei,奥绍尔海伊乡,ào shào ěr hǎi yī xiāng
jijila,日日拉乡,rì rì lā xiāng
jugastru,犹加斯楚,yóu jiā sī chǔ
tarcău,塔尔克乌乡,tǎ ěr kè wū xiāng
tămășeu,特默谢乌乡,tè mò xiè wū xiāng
tătărăști,特特勒什蒂乡,tè tè lè shén dì xiāng
macea,马恰乡,mǎ qià xiāng
prundu,普伦杜乡,pǔ lún dù xiāng
măicănești,默伊克内什蒂乡,mò yī kè nèi shén dì xiāng
măgești,默杰什蒂乡,mò jié shén dì xiāng
ceahlău,恰赫勒乌乡,qià hè lè wū xiāng
plauru,普劳鲁,pǔ láo lǔ
mădârjac,默德里亚克乡,mò dé lǐ yà kè xiāng
carașova,卡拉绍瓦乡,kǎ lā shào wǎ xiāng
călineștioaș,克利内什蒂瓦什乡,kè lì nèi shén dì wǎ shén xiāng
tulgheș,图尔盖什乡,tú ěr gài shén xiāng
tufeni,图费尼乡,tú fèi ní xiāng
cermei,切尔梅乡,qiè ěr méi xiāng
topalu,托帕卢乡,tuō pà lú xiāng
cioroiași,乔罗亚希乡,qiáo luó yà xī xiāng
tiream,蒂雷亚姆乡,dì léi yà mǔ xiāng
balaci,伯勒奇乡,bǎi lè qí xiāng
pișchia,皮什基亚乡,pí shén jī yà xiāng
albota,阿尔博塔乡,ā ěr bó tǎ xiāng
almașu,阿尔马舒乡,ā ěr mǎ shū xiāng
beștepe,贝什泰佩乡,bèi shén tài pèi xiāng
bilca,比尔卡乡,bǐ ěr kǎ xiāng
blejești,布莱热什蒂乡,bù lái rè shén dì xiāng
blândești,布伦代什蒂乡,bù lún dài shén dì xiāng
bujoreni,布若雷尼乡,bù ruò léi ní xiāng
bulzești,布尔泽什蒂乡,bù ěr zé shén dì xiāng
bumbeștipițic,本贝什蒂皮齐克乡,běn bèi shén dì pí qí kè xiāng
alimpești,阿林佩什蒂乡,ā lín pèi shén dì xiāng
adunațiicopăceni,阿杜纳齐科珀切尼乡,ā dù nà qí kē pò qiè ní xiāng
arcani,阿尔卡尼乡,ā ěr kǎ ní xiāng
arefu,阿雷富乡,ā léi fù xiāng
arsura,阿尔苏拉乡,ā ěr sū lā xiāng
avrămeni,阿夫勒梅尼乡,ā fū lè méi ní xiāng
bolboși,博尔博希乡,bó ěr bó xī xiāng
bolintindeal,博林廷迪亚尔乡,bó lín tíng dí yà ěr xiāng
boroaia,博罗阿亚乡,bó luó ā yà xiāng
borăscu,博勒斯库乡,bó lè sī kù xiāng
bosanci,博桑奇乡,bó sāng qí xiāng
botoroaga,博托罗阿加乡,bó tuō luó ā jiā xiāng
botoșana,博托沙纳乡,bó tuō shā nà xiāng
bonțida,邦齐达,bāng qí dá
bradu,布拉杜乡,bù lā dù xiāng
bobicești,博比切什蒂乡,bó bǐ qiè shén dì xiāng
bogdănița,博格德尼察乡,bó gé dé ní chá xiāng
boișoara,博伊什瓦拉乡,bó yī shén wǎ lā xiāng
barcea,巴尔恰乡,bā ěr qià xiāng
bala,巴拉乡,bā lā xiāng
beciu,贝丘乡,bèi qiū xiāng
șag,沙格乡,shā gé xiāng
șandra,尚德拉乡,shàng dé lā xiāng
șinteu,欣泰乌乡,xīn tài wū xiāng
brabova,布拉博瓦乡,bù lā bó wǎ xiāng
bratovoești,布拉托沃埃什蒂乡,bù lā tuō wò āi shén dì xiāng
uivar,维瓦尔乡,wéi wǎ ěr xiāng
șișești,希谢什蒂乡,xī xiè shén dì xiāng
bustuchin,布斯图钦乡,bù sī tú qīn xiāng
buzoești,布佐埃什蒂乡,bù zuǒ āi shén dì xiāng
bâlteni,伯尔泰尼乡,bǎi ěr tài ní xiāng
bălcăuți,伯尔克乌齐乡,bǎi ěr kè wū qí xiāng
bălești,伯莱什蒂乡,bǎi lái shén dì xiāng
băcești,伯切什蒂乡,bǎi qiè shén dì xiāng
băișoara,拜伊什瓦拉,bài yī shén wǎ lā
bălăceana,伯勒恰纳乡,bǎi lè qià nà xiāng
bălteni,伯尔泰尼乡,bǎi ěr tài ní xiāng
bălțești,伯尔采什蒂乡,bǎi ěr cǎi shén dì xiāng
carpen,卡尔彭乡,kǎ ěr péng xiāng
beuca,贝乌卡乡,bèi wū kǎ xiāng
corcova,科尔科瓦乡,kē ěr kē wǎ xiāng
corbi,科尔比乡,kē ěr bǐ xiāng
cordăreni,科尔德雷尼乡,kē ěr dé léi ní xiāng
corlățel,科尔勒采尔乡,kē ěr lè cǎi ěr xiāng
berchișești,贝尔希谢什蒂乡,bèi ěr xī xiè shén dì xiāng
berezeni,贝雷泽尼乡,bèi léi zé ní xiāng
berevoești,贝雷沃埃什蒂乡,bèi léi wò āi shén dì xiāng
berislăvești,贝里斯勒韦什蒂乡,bèi lǐ sī lè wéi shén dì xiāng
băbăița,伯伯伊察乡,bó bo yī chá xiāng
bârghiș,伯尔吉什乡,bǎi ěr jí shén xiāng
băbiciu,伯比丘乡,bǎi bǐ qiū xiāng
băcani,伯卡尼乡,bǎi kǎ ní xiāng
ciocani,乔卡尼乡,qiáo kǎ ní xiāng
ciofrângeni,乔夫伦杰尼乡,qiáo fū lún jié ní xiāng
ciuchici,丘基奇乡,qiū jī qí xiāng
brodina,布罗迪纳乡,bù luó dí nà xiāng
breznițamotru,布雷兹尼察莫特鲁乡,bù léi zī ní chá mò tè lǔ xiāng
breznițaocol,布雷兹尼察奥科尔乡,bù léi zī ní chá ào kē ěr xiāng
celaru,切拉鲁乡,qiè lā lǔ xiāng
cernișoara,切尔尼什瓦拉乡,qiè ěr ní shén wǎ lā xiāng
cervenia,切尔韦尼亚乡,qiè ěr wéi ní yà xiāng
cătunele,克图内莱乡,kè tú nèi lái xiāng
brânceni,布伦切尼乡,bù lún qiè ní xiāng
brâncoveni,布伦科韦尼乡,bù lún kē wéi ní xiāng
brădești,布勒代什蒂乡,bù lè dài shén dì xiāng
bucinișu,布西尼舒乡,bù xī ní shū xiāng
codăești,科德埃什蒂乡,kē dé āi shén dì xiāng
concești,孔切什蒂乡,kǒng qiè shén dì xiāng
conțești,孔采什蒂乡,kǒng cǎi shén dì xiāng
copăcele,科珀切莱乡,kē pò qiè lái xiāng
ferești,费雷什蒂乡,fèi léi shén dì xiāng
șoimi,绍伊米乡,shào yī mǐ xiāng
rodna,罗德纳乡,luó dé nà xiāng
călui,克卢伊乡,kè lú yī xiāng
cărbunari,克尔布纳里乡,kè ěr bù nà lǐ xiāng
coșești,科谢什蒂乡,kē xiè shén dì xiāng
coșteiu,科什泰尤乡,kē shén tài yóu xiāng
coțușca,科楚什卡乡,kē chǔ shén kǎ xiāng
crețești,克雷采什蒂乡,kè léi cǎi shén dì xiāng
crângeni,克伦杰尼乡,kè lún jié ní xiāng
crângu,克伦古乡,kè lún gǔ xiāng
cujmir,库日米尔乡,kù rì mǐ ěr xiāng
cungrea,昆格雷亚乡,kūn gé léi yà xiāng
căbești,克贝什蒂乡,kè bèi shén dì xiāng
copălău,科珀勒乌乡,kē pò lè wū xiāng
călmățuiu,克尔默楚尤乡,kè ěr mò chǔ yóu xiāng
dragoslavele,德拉戈斯拉韦莱乡,dé lā gē sī lā wéi lái xiāng
doclin,多克林乡,duō kè lín xiāng
domașnea,多马什内亚乡,duō mǎ shén nèi yà xiāng
didești,迪代什蒂乡,dí dài shén dì xiāng
desa,代萨乡,dài sà xiāng
deveselu,德韦塞卢,dé wéi sāi lú
dimăcheni,迪默凯尼乡,dí mò kǎi ní xiāng
dobrun,多布伦乡,duō bù lún xiāng
dobârceni,多伯尔切尼乡,duō bǎi ěr qiè ní xiāng
șuncuiuș,顺库尤什乡,shùn kù yóu shén xiāng
forăști,福勒什蒂乡,fú lè shén dì xiāng
epureni,埃普雷尼乡,āi pǔ léi ní xiāng
drăguțești,德勒古采什蒂乡,dé lè gǔ cǎi shén dì xiāng
ezeriș,埃泽里什乡,āi zé lǐ shén xiāng
foltești,福尔泰什蒂乡,fú ěr tài shén dì xiāng
forotic,福罗蒂克乡,fú luó dì kè xiāng
drăghiceni,德勒吉切尼乡,dé lè jí qiè ní xiāng
cârna,克尔纳乡,kè ěr nà xiāng
curtești,库尔泰什蒂乡,kù ěr tài shén dì xiāng
curtuișeni,库尔图伊谢尼乡,kù ěr tú yī xiè ní xiāng
cârcea,克尔恰乡,kè ěr qià xiāng
grojdibodu,格罗伊迪博杜乡,gé luó yī dí bó dù xiāng
archiș,阿尔基什乡,ā ěr jī shén xiāng
gratia,格拉蒂亚乡,gé lā dì yà xiāng
gostavățu,戈斯塔瓦楚乡,gē sī tǎ wǎ chǔ xiāng
grecești,格雷切什蒂乡,gé léi qiè shén dì xiāng
iablanița,亚布拉尼察乡,yà bù lā ní chá xiāng
drănic,德勒尼克乡,dé lè ní kè xiāng
dubova,杜博瓦乡,dù bó wǎ xiāng
dănciulești,登丘莱什蒂乡,dēng qiū lái shén dì xiāng
arcuș,阿尔库什乡,ā ěr kù shén xiāng
fruntișeni,弗伦蒂谢尼乡,fú lún dì xiè ní xiāng
chichiș,基基什乡,jī jī shén xiāng
coșeiu,科谢尤乡,kē xiè yóu xiāng
cristolț,克里斯托尔茨乡,kè lǐ sī tuō ěr cí xiāng
curățele,库勒采莱乡,kù lè cǎi lái xiāng
grădinile,格勒迪尼勒乡,gé lè dí ní lè xiāng
giurgița,久尔吉察乡,jiǔ ěr jí chá xiāng
halmășd,哈尔默什德乡,hā ěr mò shén dé xiāng
lupșa,卢普沙乡,lú pǔ shā xiāng
mirșid,米尔希德乡,mǐ ěr xī dé xiāng
gropeni,格罗佩尼乡,gé luó pèi ní xiāng
gruia,格鲁亚乡,gé lǔ yà xiāng
ghindeni,京代尼乡,jīng dài ní xiāng
gilău,吉勒乌,jí lè wū
giubega,久贝加乡,jiǔ bèi jiā xiāng
glăvile,格勒维莱乡,gé lè wéi lái xiāng
gogoșu,戈戈舒乡,gē gē shū xiāng
goiești,戈耶什蒂乡,gē yē shén dì xiāng
gorbănești,戈尔伯内什蒂乡,gē ěr bǎi nèi shén dì xiāng
goruia,戈鲁亚乡,gē lǔ yà xiāng
hlipiceni,赫利皮切尼乡,hè lì pí qiè ní xiāng
gălănești,格勒内什蒂乡,gé lè nèi shén dì xiāng
hinova,希诺瓦乡,xī nuò wǎ xiāng
sanislău,萨尼斯勒乌乡,sà ní sī lè wū xiāng
finiș,菲尼什乡,fēi ní shén xiāng
frâncești,弗伦切什蒂乡,fú lún qiè shén dì xiāng
furculești,富尔库莱什蒂乡,fù ěr kù lái shén dì xiāng
satulung,萨图隆格乡,sà tú lóng gé xiāng
hârsești,赫尔塞什蒂乡,hè ěr sāi shén dì xiāng
hârtiești,赫尔蒂耶什蒂乡,hè ěr dì yē shén dì xiāng
hârtop,赫尔托普乡,hè ěr tuō pǔ xiāng
hălmagiu,赫尔马久乡,hè ěr mǎ jiǔ xiāng
galicea,加利恰乡,jiā lì qià xiāng
secaș,塞卡什乡,sāi kǎ shén xiāng
fărcaș,弗尔卡什乡,fú ěr kǎ shén xiāng
făurești,弗乌雷什蒂乡,fú wū léi shén dì xiāng
moldovița,摩尔多维察乡,mó ěr duō wéi chá xiāng
mihălășeni,米赫勒谢尼乡,mǐ hè lè xiè ní xiāng
mitrofani,米特罗法尼乡,mǐ tè luó fǎ ní xiāng
moldovasulița,摩尔多瓦苏利察乡,mó ěr duō wǎ sū lì chá xiāng
hoceni,霍切尼乡,huò qiè ní xiāng
horodniceni,霍罗德尼切尼乡,huò luó dé ní qiè ní xiāng
hurezani,胡雷扎尼乡,hú léi zhā ní xiāng
ilovăț,伊洛沃茨乡,yī luò wò cí xiāng
islaz,伊斯拉兹乡,yī sī lā zī xiāng
ivănești,伊沃内什蒂乡,yī wò nèi shén dì xiāng
izvoru,伊兹沃鲁乡,yī zī wò lǔ xiāng
șamșud,沙姆舒德乡,shā mǔ shū dé xiāng
șimișna,谢米什纳乡,xiè mǐ shén nà xiāng
șiria,希里亚乡,xī lǐ yà xiāng
ghimpețeni,京佩采尼乡,jīng pèi cǎi ní xiāng
ghelința,盖林察乡,gài lín chá xiāng
izvoare,伊兹瓦雷乡,yī zī wǎ léi xiāng
lița,利察乡,lì chá xiāng
leordeni,莱奥尔代尼乡,lái ào ěr dài ní xiāng
licurici,利库里奇乡,lì kù lǐ qí xiāng
lipovăț,利波沃茨乡,lì bō wò cí xiāng
jupânești,茹珀内什蒂乡,rú pò nèi shén dì xiāng
leleasca,莱莱亚斯卡乡,lái lái yà sī kǎ xiāng
laza,拉扎乡,lā zhā xiāng
leorda,莱奥尔达乡,lái ào ěr dá xiāng
hănești,赫内什蒂乡,hè nèi shén dì xiāng
hănțești,亨采什蒂乡,hēng cǎi shén dì xiāng
iana,亚纳乡,yà nà xiāng
gușoeni,古绍埃尼乡,gǔ shào āi ní xiāng
gârceni,格尔切尼乡,gé ěr qiè ní xiāng
găgești,格杰什蒂乡,gé jié shén dì xiāng
ilovița,伊洛维察乡,yī luò wéi chá xiāng
pardoși,帕尔多希乡,pà ěr duō xī xiāng
românași,罗马纳希乡,luó mǎ nà xī xiāng
hulubești,胡卢贝什蒂乡,hú lú bèi shén dì xiāng
covurlui,考武鲁伊县,kǎo wǔ lǔ yī xiàn
lozna,洛兹纳乡,luò zī nà xiāng
moravița,摩拉维察乡,mó lā wéi chá xiāng
mozăceni,莫泽切尼乡,mò zé qiè ní xiāng
muereasca,穆埃雷亚斯卡乡,mù āi léi yà sī kǎ xiāng
ișalnița,伊沙尔尼察乡,yī shā ěr ní chá xiāng
jiana,日亚纳乡,rì yà nà xiāng
jorăști,若勒什蒂乡,ruò lè shén dì xiāng
sărmaș,瑟尔马什乡,sè ěr mǎ shén xiāng
șărmășag,舍尔默沙格乡,shè ěr mò shā gé xiāng
lupac,卢帕克乡,lú pà kè xiāng
lăcusteni,勒库斯泰尼乡,lè kù sī tài ní xiāng
marga,马尔加乡,mǎ ěr jiā xiāng
micești,米切什蒂乡,mǐ qiè shén dì xiāng
miclești,米克莱什蒂乡,mǐ kè lái shén dì xiāng
lăpușnicel,勒普什尼切尔乡,lè pǔ shén ní qiè ěr xiāng
manoleasa,马诺莱亚萨乡,mǎ nuò lái yà sà xiāng
malovăț,马洛沃茨乡,mǎ luò wò cí xiāng
marginea,马尔吉内亚乡,mǎ ěr jí nèi yà xiāng
mateești,马泰埃什蒂乡,mǎ tài āi shén dì xiāng
mavrodin,马夫罗丁乡,mǎ fū luó dīng xiāng
mehadica,梅哈迪卡乡,méi hā dí kǎ xiāng
măldărești,默尔德雷什蒂乡,mò ěr dé léi shén dì xiāng
mălușteni,默卢什泰尼乡,mò lú shén tài ní xiāng
olteni,奥尔泰尼乡,ào ěr tài ní xiāng
