孙,sūn
托克托电厂,tuō kè tuō diàn chǎng
尼勒克县,ní lè kè xiàn
中国俄罗斯族,zhōng guó é luó sī zú
巩留县,gǒng liú xiàn
东平县,dōng píng xiàn
郯城县,tán chéng xiàn
东明县,dōng míng xiàn
东阿县,dōng ē xiàn
平邑县,píng yì xiàn
南区街道,nán qū jiē dào
泰国广肇会馆,tài guó guǎng zhào huì guǎn
巴松措,bā sōng cuò
萧王庙街道,xiāo wáng miào jiē dào
郭巨街道,guō jù jiē dào
哈尔滨圣母帡幪教堂,hā ěr bīn shèng mǔ píng méng jiào táng
春丕河谷,chūn pī hé gǔ
洋泾浜圣若瑟堂,yáng jīng bāng shèng ruò sè táng
儋州话,dān zhōu huà
石库门,shí kù mén
新和县,xīn hé xiàn
香港快运航空,xiāng gǎng kuài yùn háng kōng
特克斯县,tè kè sī xiàn
湖州府城隍庙,hú zhōu fǔ chéng huáng miào
龙鼓洲,lóng gǔ zhōu
时代金融中心,shí dài jīn róng zhōng xīn
暗鼠行动,àn shǔ xíng dòng
白沙湾观音庙,bái shā wān guān yīn miào
南朗街道,nán lǎng jiē dào
沂水县,yí shuǐ xiàn
沂源县,yí yuán xiàn
清流县,qīng liú xiàn
大连天主教堂,dà lián tiān zhǔ jiào táng
居庸关云台,jū yōng guān yún tái
中国人民解放军南部战区海军,zhōng guó rén mín jiě fàng jūn nán bù zhàn qū hǎi jūn
长春轨道交通,cháng chūn guǐ dào jiāo tōng
杞县,qǐ xiàn
鱼台县,yú tái xiàn
通许县,tōng xǔ xiàn
兰考县,lán kǎo xiàn
招商轮船,zhāo shāng lún chuán
沙面露德圣母堂,shā miàn lù dé shèng mǔ táng
法律援助署,fǎ lǜ yuán zhù shǔ
中非关系,zhōng fēi guān xì
中国电影频道,zhōng guó diàn yǐng pín dào
西方寺,xī fāng sì
中华恐龙园,zhōng huá kǒng lóng yuán
中国原子能科学研究院,zhōng guó yuán zǐ néng kē xué yán jiū yuàn
选举事务处,xuǎn jǔ shì wù chù
长隆欢乐世界,cháng lóng huān lè shì jiè
英东游泳馆,yīng dōng yóu yǒng guǎn
岳麓书院,yuè lù shū yuàn
东升乡,dōng shēng xiāng
南水北调工程,nán shuǐ běi tiáo gōng chéng
南港岛线,nán gǎng dǎo xiàn
国家天文台兴隆观测基地,guó jiā tiān wén tái xīng lóng guān cè jī dì
武汉会战,wǔ hàn huì zhàn
仙居县,xiān jū xiàn
澳门历史,ào mén lì shǐ
岭南,lǐng nán
虎门条约,hǔ mén tiáo yuē
永通桥,yǒng tōng qiáo
沂蒙山,yí méng shān
银山塔林,yín shān tǎ lín
雅桑寺,yǎ sāng sì
扬州鉴真半程马拉松,yáng zhōu jiàn zhēn bàn chéng mǎ lā sōng
修武县,xiū wǔ xiàn
内黄县,nèi huáng xiàn
延津县,yán jīn xiàn
洛宁县,luò níng xiàn
中国中心主义,zhōng guó zhōng xīn zhǔ yì
越窑,yuè yáo
工夫茶,gōng fū chá
香港佛教,xiāng gǎng fó jiào
圆照寺,yuán zhào sì
尉迟寺遗址,wèi chí sì yí zhǐ
玉琢礁,yù zhuó jiāo
中华人民共和国卫生部,zhōng huá rén mín gòng hé guó wèi shēng bù
西直门天主堂,xī zhí mén tiān zhǔ táng
夏邑县,xià yì xiàn
嵩县,sōng xiàn
中国返回式卫星,zhōng guó fǎn huí shì wèi xīng
哈密盆地,hā mì pén dì
中国精神疾病分类方案与诊断标准,zhōng guó jīng shén jí bìng fēn lèi fāng àn yǔ zhěn duàn biāo zhǔn
南山海上观音圣像,nán shān hǎi shàng guān yīn shèng xiàng
卫生防护中心,wèi shēng fáng hù zhōng xīn
卫生署控烟酒办公室,wèi shēng shǔ kòng yān jiǔ bàn gōng shì
西藏自治区监狱,xī zàng zì zhì qū jiān yù
中华人民共和国国籍法,zhōng huá rén mín gòng hé guó guó jí fǎ
政府化验所,zhèng fǔ huà yàn suǒ
万佛寺,wàn fó sì
开化县,kāi huà xiàn
新安县,xīn ān xiàn
民权县,mín quán xiàn
汝阳县,rǔ yáng xiàn
宜阳县,yí yáng xiàn
伊川县,yī chuān xiàn
郏县,jiá xiàn
秦城监狱,qín chéng jiān yù
青岛国信海天雄鹰篮球俱乐部,qīng dǎo guó xìn hǎi tiān xióng yīng lán qiú jù lè bù
山东高速麒麟篮球俱乐部,shān dōng gāo sù qí lín lán qiú jù lè bù
中华人民共和国文化部,zhōng huá rén mín gòng hé guó wén huà bù
比亚迪,bǐ yà dí
江苏龙肯帝亚篮球俱乐部,jiāng sū lóng kěn dì yà lán qiú jù lè bù
浙江广厦雄狮篮球俱乐部,zhè jiāng guǎng shà xióng shī lán qiú jù lè bù
山西汾酒猛龙篮球俱乐部,shān xī fén jiǔ měng lóng lán qiú jù lè bù
东升街道,dōng shēng jiē dào
东盛街道,dōng shèng jiē dào
东胜乡,dōng shèng xiāng
新屯乡,xīn tún xiāng
新屯街道,xīn tún jiē dào
丁兰街道,dīng lán jiē dào
龙观乡,lóng guān xiāng
北京航空航天大学体育馆,běi jīng háng kōng háng tiān dà xué tǐ yù guǎn
碧螺春,bì luó chūn
封丘县,fēng qiū xiàn
商城县,shāng chéng xiàn
台前县,tái qián xiàn
东周刊,dōng zhōu kān
洪家楼教堂,hóng jiā lóu jiào táng
深圳新世纪烈豹篮球俱乐部,shēn zhèn xīn shì jì liè bào lán qiú jù lè bù
中国足球协会超级杯,zhōng guó zú qiú xié huì chāo jí bēi
北坳,běi ào
新县,xīn xiàn
罗山县,luó shān xiàn
承天寺塔,chéng tiān sì tǎ
故宫博物院,gù gōng bó wù yuàn
柏林寺塔,bó lín sì tǎ
东华池塔,dōng huá chí tǎ
岭下乡,lǐng xià xiāng
嵩岳寺塔,sōng yuè sì tǎ
大桥街道,dà qiáo jiē dào
平台街道,píng tái jiē dào
汇丰总行大厦,huì fēng zǒng háng dà shà
欧亚航空,ōu yà háng kōng
永宁县,yǒng níng xiàn
甘泉香港航空,gān quán xiāng gǎng háng kōng
滇红,diān hóng
澳门电讯,ào mén diàn xùn
中央音乐学院,zhōng yāng yīn yuè xué yuàn
中国居民供应票证,zhōng guó jū mín gōng yìng piào zhèng
海底隧道,hǎi dǐ suì dào
上海音乐学院,shàng hǎi yīn yuè xué yuàn
浚县,jùn xiàn
商水县,shāng shuǐ xiàn
潢川县,huáng chuān xiàn
力宝中心,lì bǎo zhōng xīn
无锡地铁,wú xī dì tiě
爱国者,ài guó zhě
青岛地铁,qīng dǎo dì tiě
中国藏学研究中心,zhōng guó cáng xué yán jiū zhōng xīn
燕京啤酒,yān jīng pí jiǔ
湄洲妈祖祖庙,méi zhōu mā zǔ zǔ miào
原阳县,yuán yáng xiàn
平舆县,píng yú xiàn
温县,wēn xiàn
西华县,xī huá xiàn
徐闻县,xú wén xiàn
遂溪县,suì xī xiàn
绥宁县,suí níng xiàn
东林书院,dōng lín shū yuàn
东洲街道,dōng zhōu jiē dào
中华人民共和国专利法,zhōng huá rén mín gòng hé guó zhuān lì fǎ
迪士尼好莱坞酒店,dí shì ní hǎo lái wù jiǔ diàn
大唐街道,dà táng jiē dào
松陵街道,sōng líng jiē dào
东莞台商大厦,dōng guǎn tái shāng dà shà
绿杨坊,lǜ yáng fāng
鸡鸣寺,jī míng sì
中山公园,zhōng shān gōng yuán
江阴长江大桥,jiāng yīn cháng jiāng dà qiáo
坪山街道,píng shān jiē dào
阿力麻里,ā lì má lǐ
北京首钢霹雳鸭篮球俱乐部,běi jīng shǒu gāng pī lì yā lán qiú jù lè bù
珠江钢琴,zhū jiāng gāng qín
万寿寺,wàn shòu sì
北京到巴黎,běi jīng dào bā lí
普度寺,pǔ dù sì
北京湖广会馆,běi jīng hú guǎng huì guǎn
北塘街道,běi táng jiē dào
上海长江隧桥,shàng hǎi cháng jiāng suì qiáo
永泰县,yǒng tài xiàn
鄢陵县,yān líng xiàn
获嘉县,huò jiā xiàn
光山县,guāng shān xiàn
范县,fàn xiàn
襄城县,xiāng chéng xiàn
凤凰寺,fèng huáng sì
武汉法语联盟,wǔ hàn fǎ yǔ lián méng
深圳博物馆,shēn zhèn bó wù guǎn
中国伊斯兰教,zhōng guó yī sī lán jiào
石舫,shí fǎng
巴牙惕,bā yá tì
迪欣湖活动中心,dí xīn hú huó dòng zhōng xīn
华润雪花啤酒,huá rùn xuě huā pí jiǔ
发课公司,fā kè gōng sī
澳门新福利公共汽车,ào mén xīn fú lì gōng gòng qì chē
花园街,huā yuán jiē
黄埔大桥,huáng pǔ dà qiáo
上山下乡运动,shàng shān xià xiāng yùn dòng
西藏自治区经济,xī zàng zì zhì qū jīng jì
中国的自然环境,zhōng guó de zì rán huán jìng
南召县,nán zhào xiàn
沈丘县,shěn qiū xiàn
内乡县,nèi xiāng xiàn
惠安县,huì ān xiàn
惠东县,huì dōng xiàn
湘潭县,xiāng tán xiàn
卢氏县,lú shì xiàn
东望洋炮台,dōng wàng yáng pào tái
复星国际,fù xīng guó jì
佛山祖庙,fó shān zǔ miào
路北街道,lù běi jiē dào
灵璧县,líng bì xiàn
武陟县,wǔ zhì xiàn
社旗县,shè qí xiàn
临颍县,lín yǐng xiàn
闽清县,mǐn qīng xiàn
南澳县,nán ào xiàn
广东宏远华南虎篮球俱乐部,guǎng dōng hóng yuǎn huá nán hǔ lán qiú jù lè bù
渑池县,miǎn chí xiàn
睢县,suī xiàn
澳门金沙,ào mén jīn shā
藻敏方言,zǎo mǐn fāng yán
澳门地理,ào mén dì lǐ
虎门大桥,hǔ mén dà qiáo
屋宇署,wū yǔ shǔ
红磡,hóng kàn
澳门人口,ào mén rén kǒu
中国的名称,zhōng guó de míng chēng
大水坑,dà shuǐ kēng
汇丰冠军赛,huì fēng guàn jūn sài
马鞍山,mǎ ān shān
沃尔沃中国公开赛,wò ěr wò zhōng guó gōng kāi sài
翁源县,wēng yuán xiàn
房县,fáng xiàn
公安县,gōng ān xiàn
鹿邑县,lù yì xiàn
息县,xī xiàn
威菲路军营,wēi fēi lù jūn yíng
入境事务大楼,rù jìng shì wù dà lóu
律政中心,lǜ zhèng zhōng xīn
税务大楼,shuì wù dà lóu
环球大厦,huán qiú dà shà
湾仔政府大楼,wān zǎi zhèng fǔ dà lóu
何厚铧,hé hòu huá
何文田,hé wén tián
海港政府大楼,hǎi gǎng zhèng fǔ dà lóu
北京广播电视台,běi jīng guǎng bō diàn shì tái
大连话,dà lián huà
泰宁县,tài níng xiàn
石台县,shí tái xiàn
平和县,píng hé xiàn
会昌县,huì chāng xiàn
青山禅院,qīng shān chán yuàn
青洲,qīng zhōu
潘杰林寺,pān jié lín sì
夜郎,yè láng
谋智网络,móu zhì wǎng luò
南京长江大桥,nán jīng cháng jiāng dà qiáo
昆明网球公开赛,kūn míng wǎng qiú gōng kāi sài
澳门科学馆,ào mén kē xué guǎn
香港轻铁,xiāng gǎng qīng tiě
泰和县,tài hé xiàn
光泽县,guāng zé xiàn
湾里管理局,wān lǐ guǎn lǐ jú
双塔街道,shuāng tǎ jiē dào
虹桥乡,hóng qiáo xiāng
泉山街道,quán shān jiē dào
中国花样滑冰锦标赛,zhōng guó huā yàng huá bīng jǐn biāo sài
坪洲,píng zhōu
博雅塔,bó yǎ tǎ
震旦国际大楼,zhèn dàn guó jì dà lóu
万载县,wàn zǎi xiàn
滕王阁,téng wáng gé
东夏,dōng xià
大桥乡,dà qiáo xiāng
中国式学位服,zhōng guó shì xué wèi fú
松山街道,sōng shān jiē dào
观音阁乡,guān yīn gé xiāng
乌鲁木齐快速公交,wū lǔ mù qí kuài sù gōng jiāo
潍柴动力,wéi chái dòng lì
环球动漫嬉戏谷,huán qiú dòng màn xī xì gǔ
广东绿道,guǎng dōng lǜ dào
古格王国遗址,gǔ gé wáng guó yí zhǐ
渭南渭河特大桥,wèi nán wèi hé tè dà qiáo
栖霞寺,qī xiá sì
大角咀洪圣殿,dà jiǎo zuǐ hóng shèng diàn
天安门自焚事件,tiān ān mén zì fén shì jiàn
香港摩天大楼列表,xiāng gǎng mó tiān dà lóu liè biǎo
光明日报,guāng míng rì bào
吴县,wú xiàn
太湖大桥,tài hú dà qiáo
幸会史迪仔,xìng huì shǐ dí zǎi
西宁东关清真寺,xī níng dōng guān qīng zhēn sì
上海法国外籍人员子女学校,shàng hǎi fǎ guó wài jí rén yuán zǐ nǚ xué xiào
新疆中基实业,xīn jiāng zhōng jī shí yè
盐业银行,yán yè yín háng
新安江,xīn ān jiāng
北京航空航天大学中法工程师学院,běi jīng háng kōng háng tiān dà xué zhōng fǎ gōng chéng shī xué yuàn
澳门葡文学校,ào mén pú wén xué xiào
中国人民解放军空降兵军,zhōng guó rén mín jiě fàng jūn kōng jiàng bīng jūn
东交民巷,dōng jiāo mín xiàng
中华人民共和国交通,zhōng huá rén mín gòng hé guó jiāo tōng
前郭尔罗斯蒙古族自治县,qián guō ěr luó sī měng gǔ zú zì zhì xiàn
瓮安骚乱,wèng ān sāo luàn
德瑞国际学校,dé ruì guó jì xué xiào
西水坡遗址,xī shuǐ pō yí zhǐ
中华门,zhōng huá mén
西藏自治区人民政府,xī zàng zì zhì qū rén mín zhèng fǔ
汉基国际学校,hàn jī guó jì xué xiào
中央电视台电视文化中心火灾,zhōng yāng diàn shì tái diàn shì wén huà zhōng xīn huǒ zāi
梅窝,méi wō
澳门教育,ào mén jiào yù
世纪金源购物中心,shì jì jīn yuán gòu wù zhōng xīn
中央军委联合参谋部情报局,zhōng yāng jūn wěi lián hé cān móu bù qíng bào jú
白洋淀,bái yáng diàn
鹤园角北帝庙,hè yuán jiǎo běi dì miào
中华人民共和国外交部部长,zhōng huá rén mín gòng hé guó wài jiāo bù bù zhǎng
石柱土家族自治县,shí zhù tǔ jiā zú zì zhì xiàn
彭水苗族土家族自治县,péng shuǐ miáo zú tǔ jiā zú zì zhì xiàn
苏巴什佛寺遗址,sū bā shén fó sì yí zhǐ
市政署大楼,shì zhèng shǔ dà lóu
艾马克,ài mǎ kè
凯旋门大厦,kǎi xuán mén dà shà
澳门论坛日报,ào mén lùn tán rì bào
乳扇,rǔ shàn
上海动物园,shàng hǎi dòng wù yuán
徂徕书院,cú lái shū yuàn
圣奥斯定堂,shèng ào sī dìng táng
圣若瑟修院及圣堂,shèng ruò sè xiū yuàn jí shèng táng
香港海岸公园,xiāng gǎng hǎi àn gōng yuán
桑耶寺,sāng yē sì
润扬长江公路大桥,rùn yáng cháng jiāng gōng lù dà qiáo
天玺,tiān xǐ
西山庙,xī shān miào
白沙洲街道,bái shā zhōu jiē dào
大石街道,dà shí jiē dào
高塘岭街道,gāo táng lǐng jiē dào
公共专业联盟,gōng gòng zhuān yè lián méng
哈尔滨地铁,hā ěr bīn dì tiě
阿拉套,ā lā tào
金阁寺,jīn gé sì
中华人民共和国宪法,zhōng huá rén mín gòng hé guó xiàn fǎ
波曲,bō qū
留营街道,liú yíng jiē dào
卢廉若公园,lú lián ruò gōng yuán
中华女子学院,zhōng huá nǚ zǐ xué yuàn
昌马地震,chāng mǎ dì zhèn
西直门,xī zhí mén
阜成门,fù chéng mén
复兴门,fù xīng mén
崇文门,chóng wén mén
中华人民共和国媒体,zhōng huá rén mín gòng hé guó méi tǐ
董家渡圣方济各沙勿略堂,dǒng jiā dù shèng fāng jì gè shā wù lüè táng
芝麻卷,zhī má juàn
医疗辅助队,yī liáo fǔ zhù duì
民众安全服务队,mín zhòng ān quán fú wù duì
望德圣母堂,wàng dé shèng mǔ táng
中国国家少年足球队,zhōng guó guó jiā shào nián zú qiú duì
磨西安纳堂,mó xī ān nà táng
茨中圣心堂,cí zhōng shèng xīn táng
白汉洛耶稣圣心堂,bái hàn luò yē sū shèng xīn táng
巩县石窟,gǒng xiàn shí kū
全超导托卡马克核聚变实验装置,quán chāo dǎo tuō kǎ mǎ kè hé jù biàn shí yàn zhuāng zhì
昆明航空,kūn míng háng kōng
西黄寺,xī huáng sì
寿州窑,shòu zhōu yáo
麻雀馆,má què guǎn
保良局历史博物馆,bǎo liáng jú lì shǐ bó wù guǎn
古文化街,gǔ wén huà jiē
坂田街道,bǎn tián jiē dào
北京特大桥,běi jīng tè dà qiáo
织金洞,zhī jīn dòng
绿驼铃,lǜ tuó líng
北京大学光华管理学院,běi jīng dà xué guāng huá guǎn lǐ xué yuàn
南京人化石地点,nán jīng rén huà shí dì diǎn
中国少年先锋队,zhōng guó shào nián xiān fēng duì
恭王府,gōng wáng fǔ
网络警察,wǎng luò jǐng chá
深圳欢乐谷,shēn zhèn huān lè gǔ
北京欢乐谷,běi jīng huān lè gǔ
兰桂坊,lán guì fāng
交通事务局,jiāo tōng shì wù jú
外磕脚,wài kē jiǎo
上密院,shàng mì yuàn
中国崛起,zhōng guó jué qǐ
张江有轨电车,zhāng jiāng yǒu guǐ diàn chē
慈灯寺,cí dēng sì
杰堆寺,jié duī sì
伊勒呼里山,yī lè hū lǐ shān
法海寺,fǎ hǎi sì
广州国际男子网球挑战赛,guǎng zhōu guó jì nán zǐ wǎng qiú tiǎo zhàn sài
凤凰卫视资讯台,fèng huáng wèi shì zī xùn tái
上海骄傲节,shàng hǎi jiāo ào jié
天水围,tiān shuǐ wéi
海思半导体,hǎi sī bàn dǎo tǐ
香港特别行政区政务司司长,xiāng gǎng tè bié xíng zhèng qū zhèng wù sī sī zhǎng
澳门特别行政区政府消防局,ào mén tè bié xíng zhèng qū zhèng fǔ xiāo fáng jú
澳门车辆号牌,ào mén chē liàng hào pái
天柱山摩崖石刻,tiān zhù shān mó yá shí kè
阴山岩画,yīn shān yán huà
飞英塔,fēi yīng tǎ
日布寺,rì bù sì
地藏寺经幢,dì cáng sì jīng chuáng
海马汽车,hǎi mǎ qì chē
飞来峰造像,fēi lái fēng zào xiàng
法源寺,fǎ yuán sì
皇泽寺摩崖造像,huáng zé sì mó yá zào xiàng
沙头角街道,shā tóu jiǎo jiē dào
湛山寺,zhàn shān sì
大关地震,dà guān dì zhèn
东方基金会会址,dōng fāng jī jīn huì huì zhǐ
邢台大地震,xíng tái dà dì zhèn
正乙祠,zhèng yǐ cí
仁伯爵综合医院,rén bǎi jué zōng hé yī yuàn
滕公栅栏,téng gōng zhà lan
陕北,shǎn běi
柳州地王国际财富中心,liǔ zhōu dì wáng guó jì cái fù zhōng xīn
苏州府城隍庙,sū zhōu fǔ chéng huáng miào
蚝涌车公庙,háo yǒng chē gōng miào
中华庙宇,zhōng huá miào yǔ
棣德利石,dì dé lì shí
北京理工大学体育馆,běi jīng lǐ gōng dà xué tǐ yù guǎn
大连国际贸易中心,dà lián guó jì mào yì zhōng xīn
晓庐,xiǎo lú
北京辽金城垣博物馆,běi jīng liáo jīn chéng yuán bó wù guǎn
桂江,guì jiāng
郁江,yù jiāng
香港仔海峡,xiāng gǎng zǎi hǎi xiá
北京国际网球挑战赛,běi jīng guó jì wǎng qiú tiǎo zhàn sài
矿市街街道,kuàng shì jiē jiē dào
北仑区体艺中心,běi lún qū tǐ yì zhōng xīn
熊猫银币,xióng māo yín bì
原天津意大利兵营,yuán tiān jīn yì dà lì bīng yíng
联盟路街道,lián méng lù jiē dào
石家庄电视塔,shí jiā zhuāng diàn shì tǎ
辽河平原,liáo hé píng yuán
龟山电视塔,guī shān diàn shì tǎ
色林错,sè lín cuò
西部矿业,xī bù kuàng yè
广州电视塔,guǎng zhōu diàn shì tǎ
龙骨坡遗址,lóng gǔ pō yí zhǐ
筲箕湾天后庙,shāo jī wān tiān hòu miào
黄柏峪村,huáng bǎi yù cūn
香港迪士尼乐园酒店,xiāng gǎng dí shì ní lè yuán jiǔ diàn
太平馆餐厅,tài píng guǎn cān tīng
中华人民共和国民用航空业,zhōng huá rén mín gòng hé guó mín yòng háng kōng yè
中国地理标志产品,zhōng guó dì lǐ biāo zhì chǎn pǐn
真君庙,zhēn jūn miào
紫阳洞佛堂,zǐ yáng dòng fó táng
中华人民共和国最高人民检察院,zhōng huá rén mín gòng hé guó zuì gāo rén mín jiǎn chá yuàn
合肥轨道交通,hé féi guǐ dào jiāo tōng
批斗,pī dòu
贵阳轨道交通,guì yáng guǐ dào jiāo tōng
港岛东中心,gǎng dǎo dōng zhōng xīn
排碧乡,pái bì xiāng
沂沭泗河水系,yí shù sì hé shuǐ xì
兴业银行,xīng yè yín háng
晋祠,jìn cí
永利澳门,yǒng lì ào mén
中华人民共和国机动车号牌,zhōng huá rén mín gòng hé guó jī dòng chē hào pái
开鲁县佛塔,kāi lǔ xiàn fó tǎ
山东财政学院,shān dōng cái zhèng xué yuàn
锦江乐园,jǐn jiāng lè yuán
中国煤炭工业,zhōng guó méi tàn gōng yè
林海动力机械,lín hǎi dòng lì jī xiè
宝翠园,bǎo cuì yuán
警警和察察,jǐng jǐng hé chá chá
信义玻璃,xìn yì bō lí
湖南桃花江核电厂,hú nán táo huā jiāng hé diàn chǎng
北京航天飞行控制中心,běi jīng háng tiān fēi xíng kòng zhì zhōng xīn
桑顶寺,sāng dǐng sì
清真女寺,qīng zhēn nǚ sì
乔格茹峰,qiáo gé rú fēng
东山关帝庙,dōng shān guān dì miào
月牙泉,yuè yá quán
长崎国旗事件,cháng qí guó qí shì jiàn
嘎拖寺,gǎ tuō sì
上汽大众,shàng qì dà zhòng
厦门话,xià mén huà
香港乙组联赛,xiāng gǎng yǐ zǔ lián sài
初祖庵,chū zǔ ān
金城银行,jīn chéng yín háng
港澳客轮码头,gǎng ào kè lún mǎ tóu
弘法寺,hóng fǎ sì
往湾洲,wǎng wān zhōu
世纪大道,shì jì dà dào
虎豹别墅,hǔ bào bié shù
地利根德阁,dì lì gēn dé gé
中科曙光,zhōng kē shǔ guāng
香港传媒,xiāng gǎng chuán méi
东风扬子江汽车,dōng fēng yáng zǐ jiāng qì chē
香港打吡大赛,xiāng gǎng dǎ bǐ dà sài
中国西南航空,zhōng guó xī nán háng kōng
电影频道,diàn yǐng pín dào
中国中央电视台电视剧频道,zhōng guó zhōng yāng diàn shì tái diàn shì jù pín dào
中国共产党中央委员会主席,zhōng guó gòng chǎn dǎng zhōng yāng wěi yuán huì zhǔ xí
君临天下,jūn lín tiān xià
中国中央电视台科教频道,zhōng guó zhōng yāng diàn shì tái kē jiào pín dào
南中,nán zhōng
合和中心,hé hé zhōng xīn
金山软件,jīn shān ruǎn jiàn
清裕陵,qīng yù líng
天津航空,tiān jīn háng kōng
鸭脷排,yā lì pái
赤洲,chì zhōu
中华人民共和国环境污染,zhōng huá rén mín gòng hé guó huán jìng wū rǎn
崇海大桥,chóng hǎi dà qiáo
富水,fù shuǐ
火石洲,huǒ shí zhōu
扯𢃇排,chě 𢃇 pái
汲水门大桥,jí shuǐ mén dà qiáo
中国香港圣殿,zhōng guó xiāng gǎng shèng diàn
香港湿地公园,xiāng gǎng shī dì gōng yuán
香港网球公开赛,xiāng gǎng wǎng qiú gōng kāi sài
北京工人体育馆,běi jīng gōng rén tǐ yù guǎn
中华人民共和国互联网,zhōng huá rén mín gòng hé guó hù lián wǎng
中国环球电视网西班牙语频道,zhōng guó huán qiú diàn shì wǎng xī bān yá yǔ pín dào
中国环球电视网法语频道,zhōng guó huán qiú diàn shì wǎng fǎ yǔ pín dào
旅顺监狱旧址,lǚ shùn jiān yù jiù zhǐ
中国中央电视台新闻频道,zhōng guó zhōng yāng diàn shì tái xīn wén pín dào
新界东,xīn jiè dōng
深圳深长城中心,shēn zhèn shēn cháng chéng zhōng xīn
巴尔虎,bā ěr hǔ
长索,cháng suǒ
亚洲联合财务中心,yà zhōu lián hé cái wù zhōng xīn
银洲,yín zhōu
香港警察总部,xiāng gǎng jǐng chá zǒng bù
御峰,yù fēng
都会駅,dōu huì yì
湖南自修大学旧址,hú nán zì xiū dà xué jiù zhǐ
广惠寺华塔,guǎng huì sì huá tǎ
洪泽湖大堤,hóng zé hú dà dī
虎跳峡,hǔ tiào xiá
小浪底水利枢纽,xiǎo làng dǐ shuǐ lì shū niǔ
罗寺,luó sì
吐虎鲁克·铁木尔汗麻扎,tǔ hǔ lǔ kè · tiě mù ěr hàn má zhā
铁店窑遗址,tiě diàn yáo yí zhǐ
玉龙雪山,yù lóng xuě shān
将军澳,jiāng jūn ào
中国中央电视台纪录频道,zhōng guó zhōng yāng diàn shì tái jì lù pín dào
凯帆轩,kǎi fān xuān
国家会议中心,guó jiā huì yì zhōng xīn
雅鲁藏布江,yǎ lǔ cáng bù jiāng
商界功能界别,shāng jiè gōng néng jiè bié
龙脊,lóng jǐ
香港高等法院,xiāng gǎng gāo děng fǎ yuàn
全国国际象棋锦标赛,quán guó guó jì xiàng qí jǐn biāo sài
香港丁组足球联赛,xiāng gǎng dīng zǔ zú qiú lián sài
夸父计划,kuā fù jì huà
山西广播电视台,shān xī guǎng bō diàn shì tái
清福陵,qīng fú líng
中国湖泊列表,zhōng guó hú bó liè biǎo
富盛窑址,fù shèng yáo zhǐ
蔡巴寺,cài bā sì
广西平话,guǎng xī píng huà
浙南石棚墓群,zhè nán shí péng mù qún
上海浦东发展银行,shàng hǎi pǔ dōng fā zhǎn yín háng
新丰江水库,xīn fēng jiāng shuǐ kù
玉泉观,yù quán guān
约翰威立,yuē hàn wēi lì
港铁公司,gǎng tiě gōng sī
真如寺石塔,zhēn rú sì shí tǎ
红灯山,hóng dēng shān
社会福利界功能界别,shè huì fú lì jiè gōng néng jiè bié
渔农界功能界别,yú nóng jiè gōng néng jiè bié
航运交通界功能界别,háng yùn jiāo tōng jiè gōng néng jiè bié
乡议局功能界别,xiāng yì jú gōng néng jiè bié
玛那山口,mǎ nà shān kǒu
保险界功能界别,bǎo xiǎn jiè gōng néng jiè bié
工业界功能界别,gōng yè jiè gōng néng jiè bié
医学界功能界别,yī xué jiè gōng néng jiè bié
教育界功能界别,jiào yù jiè gōng néng jiè bié
法律界功能界别,fǎ lǜ jiè gōng néng jiè bié
翡翠台,fěi cuì tái
金融界功能界别,jīn róng jiè gōng néng jiè bié
新疆天山雪豹足球俱乐部,xīn jiāng tiān shān xuě bào zú qiú jù lè bù
西安航空发动机公司,xī ān háng kōng fā dòng jī gōng sī
北京顺义国际学校,běi jīng shùn yì guó jì xué xiào
号头庄回族乡,hào tóu zhuāng huí zú xiāng
韩村乡,hán cūn xiāng
卡热疆峰,kǎ rè jiāng fēng
草场地,cǎo chǎng dì
贵州足球俱乐部,guì zhōu zú qiú jù lè bù
西安宝马彩票案,xī ān bǎo mǎ cǎi piào àn
澳门特别行政区行政长官,ào mén tè bié xíng zhèng qū xíng zhèng zhǎng guān
北京鼓楼和钟楼,běi jīng gǔ lóu hé zhōng lóu
香港特别行政区行政长官,xiāng gǎng tè bié xíng zhèng qū xíng zhèng zhǎng guān
西安鼓楼,xī ān gǔ lóu
吴王夫差矛,wú wáng fū chà máo
党委书记,dǎng wěi shū jì
网易云音乐艺术家编号,wǎng yì yún yīn yuè yì shù jiā biān hào
知网学者编号,zhī wǎng xué zhě biān hào
学校标识码,xué xiào biāo shí mǎ
中国国家图书馆外文书目系统号,zhōng guó guó jiā tú shū guǎn wài wén shū mù xì tǒng hào
中国图书分类码,zhōng guó tú shū fēn lèi mǎ
中国国家图书馆标识符,zhōng guó guó jiā tú shū guǎn biāo shí fú
香港影库电影编号,xiāng gǎng yǐng kù diàn yǐng biān hào
中国水库名称代码,zhōng guó shuǐ kù míng chēng dài mǎ
电玩巴士标识符,diàn wán bā shì biāo shí fú
电玩巴士游戏系列标识符,diàn wán bā shì yóu xì xì liè biāo shí fú
懂球帝球员编号,dǒng qiú dì qiú yuán biān hào
可移动文物编号,kě yí dòng wén wù biān hào
小红书主页,xiǎo hóng shū zhǔ yè
上海图书馆姓氏标识符,shàng hǎi tú shū guǎn xìng shì biāo shí fú
上海图书馆时代标识符,shàng hǎi tú shū guǎn shí dài biāo shí fú
香港影库个人编号,xiāng gǎng yǐng kù gè rén biān hào
