leandro damião,레안드루 다미앙,reandeuru damiang
camille cabral,카미유 카브랄,kamiyu kabeural
eumir deodato,이우미르 데오다투,iumireu deodatu
cristiane santos,크리스치아니 산투스,keuriseuciani santuseu
cássia eller,카시아 일레르,kasia ilrereu
larissa frança,라리사 프란사,rarisa peuransa
cláudio hummes,클라우지우 우메스,keulraujiu umeseu
margareth menezes,마르가레트 메네지스,mareugareteu menejiseu
édson luciano,에드송 히베이루,edeusong hibeiru
edmundo sussumu fujita,에지문도 수쑤무 후지타,ejimundo sussumu hujita
vik muniz,빅 뮤니즈,big myunijeu
bruno soares,브루누 소아리스,beurunu soariseu
emicida,이미시다,imisida
antônio augusto cançado trindade,안토니우 아우구스투 칸사두 트린다지,antoniu auguseutu kansadu teurindaji
eurico gaspar dutra,이우리쿠 가스파르 두트라,iuriku gaseupareu duteura
márcio wenceslau,마르시우 웬세즐라우,mareusiu wensejeulrau
marco antônio paes dos santos,마르쿠 안토니우 파이스 두스 산투스,mareuku antoniu paiseu duseu santuseu
bruno fratus,브루누 프라투스,beurunu peuratuseu
matheus nachtergaele,마테우스 나츠테르가엘,mateuseu naceutereugael
max cavalera,맥스 카발레라,maegseu kabalrera
francinilson santos meirelles,프랜시닐손 산토스 미렐레스,peuraensinilson santoseu mirelreseu
eduardo da silva nascimento neto,에두아르두 다 시우바 나시멘투 네투,eduareudu da siuba nasimentu netu
guilherme do prado,길레르미 도 프라도,gilrereumi do peurado
ronaldo guiaro,호나우두 기아루,honaudu giaru
carlos oliveira,카를로스 올리베이라,kareulroseu olribeira
leovegildo lins da gama júnior,레오베지우두 링스 다 가마 주니오르,reobejiudu ringseu da gama junioreu
edvaldo izídio neto,에드발두 지지디우 네투,edeubaldu jijidiu netu
wellington silva,웰링통 시우바,welringtong siuba
mário zagallo,마리우 자갈루,mariu jagalru
walter casagrande,월터 카사그랜드,weolteo kasageuraendeu
jorge luiz alves justino,조르지 루이스 아우베스 주스치누,joreuji ruiseu aubeseu juseucinu
guilherme clezar,길례르미 클레자르,gilryereumi keulrejareu
carlos germano,카를루스 제르마누,kareulruseu jereumanu
josé sette câmara filho,조제 세치 카마라 필류,joje seci kamara pilryu
artur da costa e silva,아르투르 다 코스타 이 시우바,areutureu da koseuta i siuba
henrique mecking,헨리크 메킹,henrikeu meking
jair eduardo brito da silva,자이르 에두아르두 브리투 다 시우바,jaireu eduareudu beuritu da siuba
maíra vieira,마이라 비에이라,maira bieira
rubens fernando moedim,후벤스 페르난두 무에딤,hubenseu pereunandu muedim
rafinha bastos,하피냐 바스투스,hapinya baseutuseu
joão alves de assis silva,주앙 아우베스 지 아시스 시우바,juang aubeseu ji asiseu siuba
josé linhares,조제 리냐리스,joje rinyariseu
leonel brizola,레오네우 브리졸라,reoneu beurijolra
marcelo costa de andrade,마르셀루 코스타 지 안드라지,mareuselru koseuta ji andeuraji
nereu ramos,네레우 하무스,nereu hamuseu
arnaldo cezar coelho,아르나우두 세자르 코엘류,areunaudu sejareu koelryu
marcos antônio nascimento santos,마르쿠스 안토니우 나시멘투 산투스,mareukuseu antoniu nasimentu santuseu
moacir barbosa nascimento,모아시르 바르보자 나시멘투,moasireu bareuboja nasimentu
ricardo semler,리카도 세믈러,rikado semeulreo
filipe luís kasmirski,필리페 루이스 카즈미르스키,pilripe ruiseu kajeumireuseuki
paulo autuori,파울루 아우투오리,paulru autuori
antônio carlos konder reis,안토니우 카를루스 콘데르 헤이스,antoniu kareulruseu kondereu heiseu
thiago lacerda,치아구 라세르다,ciagu rasereuda
sebastião salgado,세바스티오 살가도,sebaseutio salgado
nilton pereira mendes,니우통 페헤이라 멘디스,niutong peheira mendiseu
lenine,레니니,renini
artur ávila,아르투르 아빌라,areutureu abilra
hélton da silva arruda,에우통 다 시우바 아루다,eutong da siuba aruda
davi josé silva do nascimento,다비 조제 시우바 두 나시멘투,dabi joje siuba du nasimentu
vanderlei cordeiro de lima,반데를레이 코르데이루 지 리마,bandereulrei koreudeiru ji rima
marcelo huertas,마르셀리뉴 우에르타스,mareuselrinyu uereutaseu
zé mario,제 마리우,je mariu
ciro henrique alves ferreira e silva,시루 엔히키 아우베스 페헤이라 이 시우바,siru enhiki aubeseu peheira i siuba
jádson,자드송,jadeusong
pablo campos,파블루 캄푸스,pabeulru kampuseu
camila brait,카밀라 브라이트,kamilra beuraiteu
gonzalo sorondo,곤살로 소론도,gonsalro sorondo
alecsandro,알렉산드루,alregsandeuru
cristiano pereira de souza,크리스티아누 페헤이라 지 소자,keuriseutianu peheira ji soja
rodrigo moreno machado,로드리고 모레노 마차도,rodeurigo moreno macado
marcos palmeira,마르쿠스 파우메이라,mareukuseu paumeira
negueba,네게바,negeba
serginho chulapa,세르지뉴 슐라파,sereujinyu syulrapa
nívea maria,니베아 마리아,nibea maria
marcelino júnior lopes arruda,마르셀리노 주니오르 로페스 아후다,mareuselrino junioreu ropeseu ahuda
gabriel silva,가브리에우 시우바,gabeurieu siuba
rômulo pires,호물루 피리스,homulru piriseu
carolina albuquerque,카롤리나 아우부케르키,karolrina aubukereuki
osmar donizete cândido,오즈마르 도니제치 칸지두,ojeumareu donijeci kanjidu
gilberto braga,지우베르투 브라가,jiubereutu beuraga
rosinei adolfo,호지네이 아도우푸,hojinei adoupu
gonzaguinha,곤자기냐,gonjaginya
cássio vargas barbosa,카시우 바르가스 바르보사,kasiu bareugaseu bareubosa
rafael cavalcante,하파에우 카바우칸치,hapaeu kabaukanci
conceição geremias,콘세이상 제레미아스,konseisang jeremiaseu
magda tagliaferro,마그다 탈리아페후,mageuda talriapehu
ricardo alves pereira,히카르두 아우베스 페레이라,hikareudu aubeseu pereira
andré sá,안드레 사,andeure sa
geraldo azevedo,제라우두 아제베두,jeraudu ajebedu
lêdo ivo,레두 이부,redu ibu
milton cruz,미우통 크루스,miutong keuruseu
sthefany brito,스테파니 브리투,seutepani beuritu
alcione,아우시오니,ausioni
adriane galisteu,아드리안 갈리스테우,adeurian galriseuteu
lincoln,린코웅,rinkoung
abdias do nascimento,아브지아스 두 나시멘투,abeujiaseu du nasimentu
lucas zen,루카스 진,rukaseu jin
júnior baiano,주니오르 바이아누,junioreu baianu
blairo maggi,블라이루 마지,beulrairu maji
jean carlos dondé,제앙 카를루스 돈데,jeang kareulruseu donde
edenilson andrade dos santos,이데니우송 안드라지 두스 산투스,ideniusong andeuraji duseu santuseu
renan bardini bressan,헤낭 바르지니 브레상,henang bareujini beuresang
zé ramalho,제 하말류,je hamalryu
pedro júnior,페드루 주니오르,pedeuru junioreu
juan guilherme nunes jesus,주앙 길헤르미 누네스 제수스,juang gilhereumi nuneseu jesuseu
netinho,네치뉴,necinyu
cintia dicker,신티아 작은거래,sintia jageungeorae
miúcha,미우샤,miusya
baltazar maria de morais júnior,바우타사르 마리아 지 모라아스 주니오르,bautasareu maria ji moraaseu junioreu
roberto requião,호베르투 헤키앙,hobereutu hekiang
richarlyson,히샤를리송,hisyareulrisong
wanderlei silva,반데를레이 시우바,bandereulrei siuba
vítor belfort,비토르 베우포르,bitoreu beuporeu
fernando luiz rosa,페르난두 루이스 호자,pereunandu ruiseu hoja
marshall brickman,마셜 브리크먼,masyeol beurikeumeon
fábio césar montezine,파비우 세자르 몬테지니,pabiu sejareu montejini
gleisi hoffmann,글레이지 오프망,geulreiji opeumang
roberto abdenur,호베르투 아브데누르,hobereutu abeudenureu
cleber sonda,클레베르 손다,keulrebereu sonda
ricardo henrique da silva dos santos,히카르두 엔히키 다 시우바 두스 산투스,hikareudu enhiki da siuba duseu santuseu
isabel do brasil,브라질 황태녀 이자베우,beurajil hwangtaenyeo ijabeu
maria gadú,마리아 가두,maria gadu
aécio neves,아에시우 네베스,aesiu nebeseu
guinga,깅가,gingga
geraldo mattos,제라우두 마투스,jeraudu matuseu
david cortes da silva,다비 코르치스 다 시우바,dabi koreuciseu da siuba
gilson bernardo,질송 베르나르두,jilsong bereunareudu
junior negão,주니오르 네그랑,junioreu negeurang
maria gomes valentim,마리아 고메스 발렌칭,maria gomeseu balrencing
djavan,자방,jabang
zeca baleiro,제카 발레이루,jeka balreiru
beto richa,베투 히샤,betu hisya
carlos eduardo castro da silva,카를루스 에두아르두 카스트루 다 시우바,kareulruseu eduareudu kaseuteuru da siuba
nara leão,나라 레앙,nara reang
dudu cearense,두두 체아렌세,dudu cearense
ísis valverde,이지스 바우베르지,ijiseu baubereuji
caio canedo corrêa,카이우 카네두 코헤아,kaiu kanedu kohea
chiquinha gonzaga,시키냐 곤자가,sikinya gonjaga
argélico fuchs,아르제우 푸크스,areujeu pukeuseu
euclides da cunha,유클리드 다 쿠나,yukeulrideu da kuna
clemerson de araújo soares,클레메르송 지 아라우주 소아리스,keulremereusong ji arauju soariseu
oscar castroneves,오스카르 카스트루네베스,oseukareu kaseuteurunebeseu
gilberto oliveira souza junior,지우베르투 올리베이라 소우자 주니오르,jiubereutu olribeira souja junioreu
amora mautner,아모라 마우트네르,amora mauteunereu
eddy gordo,에디 골드,edi goldeu
blanka,블랑카,beulrangka
sérgio soares,세르지우 소아리스,sereujiu soariseu
cleo pires,클레우 피리스,keulreu piriseu
anderson luís de abreu oliveira,안데르송 루이스 지 아브레우 올리베이라,andereusong ruiseu ji abeureu olribeira
clodoaldo paulino de lima,클로도아우두 파울리뉴 지 리마,keulrodoaudu paulrinyu ji rima
danielle winits,다니엘리 위니츠,danielri winiceu
chico anysio,시쿠 아니지우,siku anijiu
joão soares da mota neto,주앙 소아리스 다 모타 네투,juang soariseu da mota netu
tiago jorge honório,티아구 조르지 오노리우,tiagu joreuji onoriu
elon lages lima,일롱 라지스 리마,ilrong rajiseu rima
leivinha,레이비냐,reibinya
tássio maia dos santos,타시우 마이아 두스 산투스,tasiu maia duseu santuseu
alexandro da silva batista,알레산드루 다 시우바 바티스타,alresandeuru da siuba batiseuta
joão hericles nascimento de lima,주앙 마리아 리마 두 나시멘투,juang maria rima du nasimentu
wando da costa silva,완두 다 코스타 시우바,wandu da koseuta siuba
ronieli gomes dos santos,호니엘리 고메스 두스 산투스,honielri gomeseu duseu santuseu
jacob palis,자코브 팔리스,jakobeu palriseu
olivio da rosa,올리비우 다 호자,olribiu da hoja
caíque silva rocha,카이키 시우바 호샤,kaiki siuba hosya
valdir espinosa,바우지르 이스피노자,baujireu iseupinoja
mika someya,소메야 미카,someya mika
anderson ricardo dos santos,안데르송 히카르두 두스 산투스,andereusong hikareudu duseu santuseu
gabriela duarte,가브리엘라 두아르치,gabeurielra duareuci
reynaldo gianecchini,헤이나우두 지아네시니,heinaudu jianesini
danilo fernando avelar,다닐루 페르난두 아벨라르,danilru pereunandu abelrareu
eduardo paes,에두아르도 파에스,eduareudo paeseu
fernando francisco reges,페르난두 프란시스쿠 헤제스,pereunandu peuransiseuku hejeseu
daniele suzuki,다니엘리 스즈키,danielri seujeuki
miguel nicolelis,미겔 니코렐리스,migel nikorelriseu
flávia coelho,플라비아 코엘류,peulrabia koelryu
totia meireles,토치아 메이렐리스,tocia meirelriseu
julia bacha,쥴리아 바챠,jyulria bacya
fernanda paes leme,페르난다 파이스 레미,pereunanda paiseu remi
luan garcia teixeira,루앙 가르시아 테이셰이라,ruang gareusia teisyeira
patrícia pillar,파트리시아 필라르,pateurisia pilrareu
levir culpi,레비르 쿠우피,rebireu kuupi
joaquim roriz,조아킹 호리스,joaking horiseu
josé carlos serrão,조제 카를루스 세항,joje kareulruseu sehang
elizabeth savalla,일리자베트 사발라,ilrijabeteu sabalra
lori sandri,로리 산드리,rori sandeuri
marco antônio de mattos filho,마르쿠 안토니우 데 마투스 필류,mareuku antoniu de matuseu pilryu
péricles chamusca,페리클리스 샤무스카,perikeulriseu syamuseuka
raymundo damasceno assis,하이문두 다마세누 아시스,haimundu damasenu asiseu
diogo santos rangel,지오구 산투스 한제우,jiogu santuseu hanjeu
alessandro lopes pereira,알레산드루 로페스 페헤이라,alresandeuru ropeseu peheira
zezé polessa,제제 폴레사,jeje polresa
dominguinhos,도밍기뉴스,domingginyuseu
joão vianna,주앙 비아나,juang biana
alex barboza de azevedo terra,알레스 바르보자 지 아제베두 테하,alreseu bareuboja ji ajebedu teha
lya luft,랴 루프트,rya rupeuteu
thaila ayala,타일라 아얄라,tailra ayalra
héctor babenco,헥터 바벤코,hegteo babenko
juliana moreira,줄리아나 모레이라,julriana moreira
laurentino gomes,라우렌치누 고메스,raurencinu gomeseu
wesley barbosa de morais,웨즐레이 바르보자 지 모라이스,wejeulrei bareuboja ji moraiseu
daúde,다우지,dauji
alexandré pölking,알렉산드레 푈킹,alregsandeure poelking
edu sales,에두 살레스,edu salreseu
mauro refosco,마우루 헤포스쿠,mauru heposeuku
eddy barrows,에디 배로스,edi baeroseu
malvino salvador,마우비누 사우바도르,maubinu saubadoreu
luiz philipe lima oliveira,루이스 펠리피 리마 올리베이라,ruiseu pelripi rima olribeira
valmir louruz,바우미르 로루스,baumireu roruseu
andré puccinelli,안드레 푸치넬리,andeure pucinelri
eraldo anício gomes,이라우두 아니시우 고메스,iraudu anisiu gomeseu
evandro silva do nascimento,에반드루 시우바 두 나시멘투,ebandeuru siuba du nasimentu
everton kempes dos santos gonçalves,이베르통 켐페스 두스 산투스 곤사우베스,ibereutong kempeseu duseu santuseu gonsaubeseu
rafael de andrade bittencourt pinheiro,하파에우 지 안드라지 비텡코흐 피녜이루,hapaeu ji andeuraji bitengkoheu pinyeiru
fabiano soares pessoa,파비아누 소아리스 페소아,pabianu soariseu pesoa
paulo sérgio luiz de souza,파울루 세르지우 루이스 지 소자,paulru sereujiu ruiseu ji soja
pepeu gomes,페페우 고메스,pepeu gomeseu
felipe barreto adão,펠리페 바헤토 아당,pelripe baheto adang
felipe de oliveira silva,펠리피 지 올리베이라 시우바,pelripi ji olribeira siuba
babi xavier,바비 샤비에르,babi syabiereu
rodrigo souza silva,호드리구 소우자 시우바,hodeurigu souja siuba
felipe lima,펠리피 리마,pelripi rima
josé fágner silva da luz,조제 파그네르 시우바 다 루스,joje pageunereu siuba da ruseu
bemvindo sequeira,벰빈두 세케이라,bembindu sekeira
josé sebastião pires neto,조제 세바스티앙 피레스 네투,joje sebaseutiang pireseu netu
thomás bedinelli,토마스 베디넬리,tomaseu bedinelri
sílvio luiz borba da silva,시우비우 루이스 보르바 다 시우바,siubiu ruiseu boreuba da siuba
eder luís de carvalho,에데르 루이스 지 카르발류,edereu ruiseu ji kareubalryu
bárbara micheline do monte barbosa,바르바라 미셸리니 두 몬치 바르보자,bareubara misyelrini du monci bareuboja
bill hudson,빌 허드슨,bil heodeuseun
monique alfradique,모니키 아우프라지키,moniki aupeurajiki
bruna linzmeyer,브루나 린즈메예르,beuruna rinjeumeyereu
fábio bahia,파비우 바이아,pabiu baia
everton ribeiro,에베르통 히베이루,ebereutong hibeiru
danielle foxxx,다니엘 폭스,daniel pogseu
leopoldo nachbin,레오포우두 나시빙,reopoudu nasibing
bruno gissoni,브루누 지소니,beurunu jisoni
fábio neves florentino,파비우 네베스 플로렌치누,pabiu nebeseu peulrorencinu
agnaldo cordeiro pereira,아그날도 코르데이로 페헤이라,ageunaldo koreudeiro peheira
katiuscia canoro,카치우시아 카노루,kaciusia kanoru
aloísio dos santos gonçalves,알로이시우 두스 산투스 곤사우베스,alroisiu duseu santuseu gonsaubeseu
josé carlos tofolo júnior,조제 카를루스 토폴루 주니오르,joje kareulruseu topolru junioreu
cauã reymond,카우앙 헤이몬드,kauang heimondeu
heberty fernandes de andrade,헤베르치 페르난지스 지 안드라지,hebereuci pereunanjiseu ji andeuraji
louis chirillo,루이스 치릴로,ruiseu cirilro
guta stresser,구타 스트레세르,guta seuteuresereu
nicette bruno,니세치 브루누,niseci beurunu
marco nanini,마르쿠 나니니,mareuku nanini
ary fontoura,아리 폰토라,ari pontora
lucas silva borges,루카스 시우바 보르헤스,rukaseu siuba boreuheseu
ramon lopez de freitas,하몬 로페스 지 프레이타스,hamon ropeseu ji peureitaseu
diego pelicles da silva,지에구 펠리클레스 다 시우바,jiegu pelrikeulreseu da siuba
célio ferreira dos santos,셀리우 페헤이라 두스 산투스,selriu peheira duseu santuseu
dani calabresa,다니 칼라브레자,dani kalrabeureja
ludmila dayer,루드밀라 다이,rudeumilra dai
herlison caion de sousa ferreira,에를리송 카이옹 지 소자 페헤이라,ereulrisong kaiong ji soja peheira
luis carlos dos santos martins,루이스 카를루스 두스 산투스 마르틴스,ruiseu kareulruseu duseu santuseu mareutinseu
natanael de souza santos junior,나타나에우 지 소자 산투스 주니오르,natanaeu ji soja santuseu junioreu
marcílio marques moreira,마르실리우 마르케스 모레이라,mareusilriu mareukeseu moreira
daniel lovinho,다니에우 로비뉴,danieu robinyu
marçal justen filho,마르사우 주스텡 필류,mareusau juseuteng pilryu
mart'nália,마르트날리아,mareuteunalria
matheus humberto maximiano,마테우스 움베르투 마시미아누,mateuseu umbereutu masimianu
eriberto leão,이리베르투 레앙,iribereutu reang
luís mário miranda da silva,루이스 마리우 미란다 다 실바,ruiseu mariu miranda da silba
diego da silva giaretta,디에구 다 시우바 지아레타,diegu da siuba jiareta
lúcio flávio da silva oliva,루시우 플라비우 다 시우바 올리바,rusiu peulrabiu da siuba olriba
marcelo adnet,마르셀루 아드네트,mareuselru adeuneteu
sérgio paulo nascimento filho,세르지우 파울루 나시멘투 필류,sereujiu paulru nasimentu pilryu
miguel krigsner,미겔 크리그스네르,migel keurigeuseunereu
marco aurélio moreira,마르쿠 아우렐리우 모레이라,mareuku aurelriu moreira
nando reis,난두 헤이스,nandu heiseu
thaís duarte guedes,타이스 두아르치 게지스,taiseu duareuci gejiseu
alfredo lamy filho,알프레도 라미 휘리오,alpeuredo rami hwirio
tonico pereira,토니쿠 페레이라,toniku pereira
augusto heleno ribeiro pereira,아우구스투 엘레누 히베이루 페레이라,auguseutu elrenu hibeiru pereira
vanderlei francisco,반델레이 프란시스쿠,bandelrei peuransiseuku
paulinho moska,파울리뉴 모스카,paulrinyu moseuka
pedro carmona da silva neto,페드루 카르모나 다 시우바 네투,pedeuru kareumona da siuba netu
paulo marcel pereira merabet,파울루 마르세우 페레이라 메라베트,paulru mareuseu pereira merabeteu
cássio reis,카시오 레이스,kasio reiseu
catia fonseca,카티아 폰세카,katia ponseka
penélope nova,페넬로피 노바,penelropi noba
william henrique,윌리앙 엔히키,wilriang enhiki
ada pellegrini grinover,아다 펠레그리니 그리노베르,ada pelregeurini geurinobereu
chay suede,샤이 수에지,syai sueji
caio gullane,카이우 굴라니,kaiu gulrani
dani ornellas,다니 오르넬라스,dani oreunelraseu
ricardo goulart,히카르두 골라르트,hikareudu golrareuteu
ricardo kotscho,히카르두 코추,hikareudu kocu
yū kamiya,카미야 유우,kamiya yuu
carlos bolsonaro,카를루스 보우소나루,kareulruseu bousonaru
ricardo boechat,히카르두 보에샤트,hikareudu boesyateu
marcelo ribeiro,마르셀로 리베이로,mareuselro ribeiro
rubens ricupero,후벵스 히쿠페루,hubengseu hikuperu
roger gaúcho,호제르 가우슈,hojereu gausyu
dias toffoli,지아스 토폴리,jiaseu topolri
rubenilson monteiro ferreira,후베니우송 몬테이루 페헤이라,hubeniusong monteiru peheira
diogo vilela,지오구 빌렐라,jiogu bilrelra
selmir dos santos bezerra,세우미르 두스 산투스 베제하,seumireu duseu santuseu bejeha
armando babaioff,아르만두 바바이오프,areumandu babaiopeu
luiz felipe fonteles,루이스 펠리피 폰텔리스,ruiseu pelripi pontelriseu
bárbara paz,바바라 파스,babara paseu
joelisson fernandes da silva,조엘리손 페르난데스 다 시우바,joelrison pereunandeseu da siuba
fluvia lacerda,플루비아 라세르다,peulrubia rasereuda
flávia garrafa,플라비아 가하파,peulrabia gahapa
flávio bolsonaro,플라비우 보우소나루,peulrabiu bousonaru
eryk rocha,이리크 호샤,irikeu hosya
henan faria da silveira,에낭 파리아 다 시우베이라,enang paria da siubeira
fábio porchat,파비우 포르샤트,pabiu poreusyateu
fábio luís santos de almeida,파비우 루이스 산투스 지 아우메이다,pabiu ruiseu santuseu ji aumeida
jeferson de,제페르송 지,jepereusong ji
gabriel wainer,가브리에우 와이네르,gabeurieu wainereu
josé loreto,호세 로레토,hose roreto
rildo de andrade felicissimo,히우두 지 안드라지 펠리시시무,hiudu ji andeuraji pelrisisimu
juliano cazarré,줄리아누 카자헤,julrianu kajahe
jussara freire,주사라 프레이리,jusara peureiri
luiza valdetaro,루이자 바우데타루,ruija baudetaru
luiza ambiel,루이자 암비에우,ruija ambieu
klara castanho,클라라 카스타뉴,keulrara kaseutanyu
marcelo saback,마르셀루 사바크,mareuselru sabakeu
marcius melhem,마르시우스 멜롕,mareusiuseu melryeng
leandro hassum,레안드루 아숭,reandeuru asung
leandro karnal,레안드루 카르나우,reandeuru kareunau
marcos pitombo,마르코스 피톤보,mareukoseu pitonbo
marcia tiburi,마르시아 치부리,mareusia ciburi
marcos veras,마르쿠스 베라스,mareukuseu beraseu
maria clara gueiros,마리아 클라라 게이루스,maria keulrara geiruseu
lins lima de britto,린스 리마 지 브리투,rinseu rima ji beuritu
juliana brizola,줄리아나 브리졸라,julriana beurijolra
neusinha brizola,네우지냐 브리졸라,neujinya beurijolra
ney latorraca,네이 라토하카,nei ratohaka
onyx lorenzoni,오니스 로렌조니,oniseu rorenjoni
miguel gustavo,미겔 구스타브,migel guseutabeu
robson souza dos santos,호브송 소자 두스 산투스,hobeusong soja duseu santuseu
vanessa barum,바네사 바룽,banesa barung
suely franco,수엘리 프랑쿠,suelri peurangku
suzana herculanohouzel,수자나 허큘라노하우젤,sujana heokyulranohaujel
sueli carneiro,수엘리 카르네이루,suelri kareuneiru
rogério márcico,호제리우 마르시쿠,hojeriu mareusiku
quitéria chagas,키테리아 샤가스,kiteria syagaseu
projota,프로조타,peurojota
nicanor de carvalho,니카노르 지 카르발류,nikanoreu ji kareubalryu
rebeca andrade,레베카 안드라데,rebeka andeurade
tetê espíndola,테테 이스핀돌라,tete iseupindolra
thalita carauta,탈리타 카라우타,talrita karauta
theodoro cochrane,테오도루 코시라니,teodoru kosirani
tiago cipreste pereira,치아구 시프레스치 페레이라,ciagu sipeureseuci pereira
paulo silvino,파울루 시우비누,paulru siubinu
thalles lima de conceição penha,탈리스 리마 지 콘세이상 페냐,talriseu rima ji konseisang penya
toninho moura,토니뉴 모라,toninyu mora
rincon sapiencia,힝콩 사피엔시아,hingkong sapiensia
ricky tavares,리키 타바레스,riki tabareseu
danilo soares,다닐루 소아리스,danilru soariseu
gabriela cé,가브리엘라 세,gabeurielra se
carlos alberto carvalho da silva júnior,카를루스 아우베르투 카르발류 다 시우바 주니오르,kareulruseu aubereutu kareubalryu da siuba junioreu
adriano pardal,아드리아누 파르다우,adeurianu pareudau
fernando karanga,페르난두 카랑가,pereunandu karangga
leandro pereira,레안드루 페레이라,reandeuru pereira
josiel alves de oliveira,조시에우 아우베스 지 올리베이라,josieu aubeseu ji olribeira
léo cittadini,레우 시타지니,reu sitajini
ana braga,아나 브라가,ana beuraga
bruno cardoso gonçalves santos,브루누 카르도수 곤사우베스 산투스,beurunu kareudosu gonsaubeseu santuseu
bruno fagundes,브루노 파군데스,beuruno pagundeseu
thiago elias do nascimento silva,티아구 일리아스 두 나시멘투 시우바,tiagu ilriaseu du nasimentu siuba
marlene josé bento,마를레니 조제 벤투,mareulreni joje bentu
giovanna lancellotti,조반나 란첼로티,jobanna rancelroti
beto fuscão,베투 푸스캉,betu puseukang
sérgio antônio soler de oliveira júnior,세르지우 안토니우 솔레르 지 올리베이라 주니오르,sereujiu antoniu solrereu ji olribeira junioreu
reiner ferreira,헤이네르 페헤이라,heinereu peheira
felipe gedoz,펠리피 제도스,pelripi jedoseu
marcio takara,마르시우 다카라,mareusiu dakara
nathan allan de souza,나당 알랑 지 소자,nadang alrang ji soja
luan silva,루안 실바,ruan silba
carlos eduardo alves albina,카를루스 에두아르두 아우베스 아우비나,kareulruseu eduareudu aubeseu aubina
clèmerson merlin clève,클레메르송 메를링 클레비,keulremereusong mereulring keulrebi
clóvis maméde,클로비스 마메지,keulrobiseu mameji
lucas lucco,루카스 루쿠,rukaseu ruku
caio manhente,카이우 마녠치,kaiu manyenci
gabriel barbosa,가브리엘 바르보사,gabeuriel bareubosa
caio lucas fernandes,카이우 루카스 페르난지스,kaiu rukaseu pereunanjiseu
maria casadevall,마리아 카자데바우,maria kajadebau
cristovam roberto ribeiro da silva,크리스토방 호베르투 히베이루 다 시우바,keuriseutobang hobereutu hibeiru da siuba
william barbio,윌리엄 바비오,wilrieom babio
larissa oliveira,라리사 올리베이라,rarisa olribeira
willyan da silva barbosa,윌리앙 다 시우바 바르보자,wilriang da siuba bareuboja
farley vieira rosa,파를리 비에이라 호자,pareulri bieira hoja
lucas lima,루카스 리마,rukaseu rima
fábio virginio de lima,파비우 비르지니우 데 리마,pabiu bireujiniu de rima
aldo baldin,아우두 바우징,audu baujing
stefano pinho,스테파누 피뉴,seutepanu pinyu
cauly oliveira souza,카울리 올리베이라 소우자,kaulri olribeira souja
luis lobianco,루이스 로비앙코,ruiseu robiangko
artur vieira,아르투르 비에이라,areutureu bieira
ricardo lopes,히카르두 로페스,hikareudu ropeseu
rainer cadete,하이네르 카데치,hainereu kadeci
rodolfo de almeida guimarães,호도우푸 지 아우메이다 기마랑이스,hodoupu ji aumeida gimarangiseu
milton mendes,미우통 멘지스,miutong menjiseu
nathaly kurata,나탈리 쿠라타,natalri kurata
yago moreira silva,야구 모레이라 시우바,yagu moreira siuba
wanderson carvalho de oliveira,완데르송 카르발류 지 올리베이라,wandereusong kareubalryu ji olribeira
ricardo galvão,히카르두 가우방,hikareudu gaubang
macris carneiro,마크리스 카르네이루,makeuriseu kareuneiru
danilo barbosa da silva,다닐루 바르보자 다 시우바,danilru bareuboja da siuba
lukian araújo de almeida,루키앙 아라우주 지 아우메이다,rukiang arauju ji aumeida
beatriz zaneratto joão,베아트리스 자네라투 주앙,beateuriseu janeratu juang
rafael ratão,하파에우 하탕,hapaeu hatang
sérgio guizé,세르지우 기제,sereujiu gije
allan rodrigues de souza,알랑 호드리게스 지 소자,alrang hodeurigeseu ji soja
thomas kuc,토마스 쿠크,tomaseu kukeu
fellipe bertoldo,펠리프 베르톨두,pelripeu bereutoldu
samira fernandes,사미라 페르난지스,samira pereunanjiseu
adaílton dos santos da silva,아다이우통 두스 산투스 다 시우바,adaiutong duseu santuseu da siuba
jonatas belusso,조나타스 벨루수,jonataseu belrusu
eduardo bolsonaro,에두아르두 보우소나루,eduareudu bousonaru
diana abla,지아나 아블라,jiana abeulra
carolina meligeni alves,카롤리나 멜리제니 아우베스,karolrina melrijeni aubeseu
joão olivir gabardo,주앙 올리비르 가바르두,juang olribireu gabareudu
marcelo goiano,마르셀루 고이아누,mareuselru goianu
allano,알라누,alranu
murilo henrique pereira rocha,무릴루 엔리키 페헤이라 호샤,murilru enriki peheira hosya
paula gaitán,파울라 가이탕,paulra gaitang
rita elmôr,히타 이우모르,hita iumoreu
enedina alves marques,이네지나 아우베스 마르케스,inejina aubeseu mareukeseu
edinho silva,이지뉴 시우바,ijinyu siuba
pedro henrique de santana almeida,페드루 엔히키 지 산타나 아우메이다,pedeuru enhiki ji santana aumeida
luiz henrique mandetta,루이스 엔히키 만데타,ruiseu enhiki mandeta
julia dalavia,줄리아 달라비아,julria dalrabia
whindersson nunes,윈데르송 누니스,windereusong nuniseu
romarinho,호마링요,homaringyo
ronielson da silva barbosa,호니에우송 다 시우바 바르보사,honieusong da siuba bareubosa
willian popp,윌리앙 포프,wilriang popeu
matheus lisboa,마테우스 리스보아,mateuseu riseuboa
helga nemeczyk,에우가 네메치크,euga nemecikeu
lucas mineiro,루카스 미네이루,rukaseu mineiru
joão pedro gebran neto,주앙 페드루 제브랑 네투,juang pedeuru jebeurang netu
