françois hollande,프랑수아 올랑드,peurangsua olrangdeu
clémentine poidatz,클레망틴 푸아다츠,keulremangtin puadaceu
jérôme lindon,제롬 랭동,jerom raengdong
edmond richard,에드몬드 리차드,edeumondeu ricadeu
vincent gragnic,뱅상 그라니크,baengsang geuranikeu
pierre bernard,피에르 베르나르,piereu bereunareu
philippe houvion,필리프 우비옹,pilripeu ubiong
paula jacques,폴 자크,pol jakeu
alain decaux,알랭 드코,alraeng deuko
charlotte kady,샬롯 카디,syalros kadi
jacques d'armagnac,자크 다르마냐크,jakeu dareumanyakeu
pierre moinot,피에르 무아노,piereu muano
jeanlouis fournier,장루이 푸르니에,jangrui pureunie
maurice hauriou,모리스 오리우,moriseu oriu
henri nallet,앙리 날레,angri nalre
eugénie blanchard,외제니 블랑샤르,oejeni beulrangsyareu
stéphane heulot,스테판 욀로,seutepan oelro
alban préaubert,알방 프레오베르,albang peureobereu
doc gynéco,닥 지네코,dag jineko
ludovicoscar frossard,뤼도비크오스카르 프로사르,rwidobikeuoseukareu peurosareu
frédéric blanc,프레데리크 블랑,peurederikeu beulrang
christian noyer,크리스티앙 누아예,keuriseutiang nuaye
roger courtois,로제 쿠르투아,roje kureutua
marc lambron,마르크 랑브롱,mareukeu rangbeurong
lucien cossou,뤼시앵 코수,rwisiaeng kosu
frédéric thoraval,프레데리크 토라발,peurederikeu torabal
guillaume bautru,기욤 보트뤼,giyom boteurwi
bernard émié,베르나르 에미에,bereunareu emie
frédéric fontang,프레데리크 퐁탕,peurederikeu pongtang
alain masudi,알랭 마수디,alraeng masudi
fabrice henry,파브리스 앙리,pabeuriseu angri
frédéric lenoir,프레데리크 르누아르,peurederikeu reunuareu
emmanuel breuillard,에마뉘엘 브뢰야르,emanwiel beuroeyareu
frédéric lodéon,프레데리크 로데옹,peurederikeu rodeong
narcisse girard,나르시스 지라르,nareusiseu jirareu
marcel bozzuffi,마르셀 보즐피,mareusel bojeulpi
hippolyte simon,이폴리트 시몽,ipolriteu simong
dominique chauvelier,도미니크 쇼블리에,dominikeu syobeulrie
stéphane pétilleau,스테판 페틸로,seutepan petilro
emmanuel roblès,에마뉘엘 로블레스,emanwiel robeulreseu
dominique baudis,도미니크 보디,dominikeu bodi
marcel ichac,마르셀 이샤크,mareusel isyakeu
sophie morel,소피 모렐,sopi morel
hippolyte lucas,이폴리트 뤼카,ipolriteu rwika
pascal nouma,파스칼 누마,paseukal numa
angelo rinaldi,앙젤로 리날디,angjelro rinaldi
michel tognini,미셸 토니니,misyel tonini
louis auriacombe,루이 오리아콩브,rui oriakongbeu
jean rolin,장 롤랭,jang rolraeng
félix cazot,펠릭스 카조,pelrigseu kajo
jean mamy,장 마미,jang mami
félix fourdrain,펠릭스 푸르드랭,pelrigseu pureudeuraeng
dominique jamet,도미니크 자메,dominikeu jame
emmanuel trélat,에마뉘엘 트렐라,emanwiel teurelra
olivier rolin,올리비에 롤랭,olribie rolraeng
claude ollier,클로드 올리에,keulrodeu olrie
nathaniel méchaly,나타니엘 메샬리,nataniel mesyalri
roland dorgelès,롤랑 도르줄레스,rolrang doreujulreseu
gérard laumon,제라르 로몽,jerareu romong
nicolas jalabert,니콜라 잘라베르,nikolra jalrabereu
hugo becker,위고 베케르,wigo bekereu
ériq ebouaney,에릭 전부아네이,erig jeonbuanei
françois nourissier,프랑수아 누리시에,peurangsua nurisie
gabriel richard,가브리엘 리샤르,gabeuriel risyareu
isaac de bankolé,이자크 드 방콜레,ijakeu deu bangkolre
gaston arman de caillavet,가스통 아르망 드 카야베,gaseutong areumang deu kayabe
lazare de baïf,라자르 드 바이프,rajareu deu baipeu
guillaume rippert,기욤 리페르,giyom ripereu
gérard defois,제라르 드푸아,jerareu deupua
hyacinthe jadin,이아생트 자댕,iasaengteu jadaeng
oleg cassini,올렉 카시니,olreg kasini
gaston chaissac,가스통 셰사크,gaseutong syesakeu
gaston dupouy,가스통 뒤푸이,gaseutong dwipui
jeanjacques lefranc de pompignan,퐁피냥 후작 장자크 르프랑,pongpinyang hujag jangjakeu reupeurang
hectorirénée sevin,엑토르 세뱅,egtoreu sebaeng
alexandre renard,알렉상드르 르나르,alregsangdeureu reunareu
louisjoseph maurin,루이조제프 모랭,ruijojepeu moraeng
alphonse de neuville,알퐁스 드 뇌빌,alpongseu deu noebil
léon zitrone,레옹 지트론,reong jiteuron
alain vidalies,알랭 비달리스,alraeng bidalriseu
hervé alicarte,에르베 알리카르트,ereube alrikareuteu
paul meyer,폴 메예르,pol meyereu
pierre guffroy,피에르 귀프루아,piereu gwipeurua
amandine hesse,아망딘 에스,amangdin eseu
jean françoisponcet,장 프랑수아퐁세,jang peurangsuapongse
stéphane pignol,스테판 피뇰,seutepan pinyol
pascal roland,파스칼 롤랑,paseukal rolrang
véronique trinquet,베로니크 트링케,beronikeu teuringke
paul tapponnier,폴 타포니에,pol taponie
laurent gaudé,로랑 고데,rorang gode
patrick leclercq,파트리크 르클레르크,pateurikeu reukeulrereukeu
lucien clergue,뤼시앵 클레르그,rwisiaeng keulrereugeu
claude durand,클로드 뒤랑,keulrodeu dwirang
pierre cressoy,피에르 크레수아,piereu keuresua
jean domat,장 도마,jang doma
tony aubin,토니 오뱅,toni obaeng
sylvain dufour,실뱅 뒤푸르,silbaeng dwipureu
alphonse boudard,알퐁스 부다르,alpongseu budareu
albert londres,알베르 롱드르,albereu rongdeureu
jean veillot,장 베요,jang beyo
odile rodin,오딜 로댕,odil rodaeng
farid boudjellal,파리드 부젤랄,parideu bujelral
roland omnès,롤랑 옴네,rolrang omne
georges albert,조르주 알베르,joreuju albereu
françois lenormant,프랑수아 르노르망,peurangsua reunoreumang
michel jouvet,미셸 주베,misyel jube
philippe druillet,필리프 드뤼예,pilripeu deurwiye
louis diémer,루이 디에메르,rui diemereu
giovanni bernaudeau,지오바니 베르노도,jiobani bereunodo
olympe maxime,올랭프 막심,olraengpeu magsim
nicolastoussaint charlet,니콜라투생 샤를레,nikolratusaeng syareulre
thierry dusautoir,티에리 뒤소투아르,tieri dwisotuareu
pierre sinibaldi,피에르 시니발디,piereu sinibaldi
georges chamarat,조르주 샤마라,joreuju syamara
jules brunet,쥘 브뤼네,jwil beurwine
françois noudelmann,프랑수아 누델만,peurangsua nudelman
georges bruhat,조르주 브뤼아,joreuju beurwia
philippe perrin,필리프 페랭,pilripeu peraeng
christian frémont,크리스티앙 프레몽,keuriseutiang peuremong
louis adam,루이 아당,rui adang
louis emmanuel jadin,루이 에마뉘엘 자댕,rui emanwiel jadaeng
gabrielle delacour,가브리엘 들라쿠르,gabeuriel deulrakureu
achille eugène finet,아실 외젠 피네,asil oejen pine
paulmarie coûteaux,폴마리 쿠토,polmari kuto
maurice regamey,모리스 레가메,moriseu regame
déborah révy,데보라 레비,debora rebi
georges de portoriche,조르주 드 포르토리슈,joreuju deu poreutorisyu
jean beaufret,장 보프레,jang bopeure
patrick chauvel,파트리크 쇼벨,pateurikeu syobel
ingmar lazar,앵마르 라자르,aengmareu rajareu
fernand canelle,페르낭 카넬,pereunang kanel
ferdinand barrot,페르디낭 바로,pereudinang baro
philippe gardent,필리프 가르당,pilripeu gareudang
paul nicolas,폴 니콜라,pol nikolra
paul sébillot,폴 세비요,pol sebiyo
mathieu boogaerts,마티외 보가르츠,matioe bogareuceu
pierre dreyfus,피에르 드레퓌스,piereu deurepwiseu
delphine wespiser,델핀 웨스피제,delpin weseupije
henri françois d'aguesseau,앙리 프랑수아 다게소,angri peurangsua dageso
françois missoffe,프랑수아 미소프,peurangsua misopeu
michel portal,미셸 포르탈,misyel poreutal
jérôme beau,제롬 보,jerom bo
marie decugis,마리 드퀴지스,mari deukwijiseu
jacques damourette,자크 다무레트,jakeu damureteu
alain carpentier,알랭 카르팡티에,alraeng kareupangtie
raymond bernard,레몽 베르나르,remong bereunareu
jeandavid ciot,장다비드 시오,jangdabideu sio
malaury martin,말로리 마르탱,malrori mareutaeng
hyacinthe klosé,이아생트 클로제,iasaengteu keulroje
traian vuia,트라이안 부이아,teuraian buia
boulet,불레,bulre
gilles schnepp,질 슈네프,jil syunepeu
ivan mosjoukine,이반 모즈주힌,iban mojeujuhin
jacques bizet,자크 비제,jakeu bije
jacques charrier,자크 샤리에,jakeu syarie
ludovic berthillot,뤼도비크 베르티요,rwidobikeu bereutiyo
jacques despierre,자크 데피에르,jakeu depiereu
ernest libérati,에르네스트 리베라티,ereuneseuteu riberati
françois golse,프랑수아 골즈,peurangsua goljeu
jacques faizant,자크 페장,jakeu pejang
jeannicolas corvisart,장니콜라 코르비사르,jangnikolra koreubisareu
françois labourie,프랑수아 라부리,peurangsua raburi
flavien hugonin,파비앵 위고냉,pabiaeng wigonaeng
james coignard,잠 쿠아냐르,jam kuanyareu
florent pagny,플로랑 파니,peulrorang pani
raoul peck,라울 페크,raul pekeu
philippe gondet,필리프 공데,pilripeu gongde
alain cavalier,알랭 카발리에,alraeng kabalrie
thomas levet,토마 르베,toma reube
georges garvarentz,조지 가바렌츠,joji gabarenceu
jean rigal,장 리갈,jang rigal
geoffrey soupe,조프레 수프,jopeure supeu
henri guybet,앙리 기베,angri gibe
jeanbaptiste besard,장바티스트 베사르,jangbatiseuteu besareu
michel raynaud,미셸 레노,misyel reno
janine charrat,자닌 샤라,janin syara
grégory miermont,그레고리 미르몽,geuregori mireumong
yannick boli,야니크 볼리,yanikeu bolri
joséphine serre,조세핀 세레,josepin sere
joël suhubiette,조엘 쉬위비에트,joel swiwibieteu
jules vuillemin,쥘 뷔유맹,jwil bwiyumaeng
nicolas fritsch,니콜라 프리치,nikolra peurici
guillaume delorme,기욤 들로름,giyom deulroreum
jeanchristophe cambadélis,장크리스토프 캉바델리스,jangkeuriseutopeu kangbadelriseu
jeancharles thomas,장샤를 토마,jangsyareul toma
louis gallois,루이 갈루아,rui galrua
henri berestycki,앙리 베레스티키,angri bereseutiki
nicolas cazalé,니콜라 카잘레,nikolra kajalre
alain corbin,알랭 코르뱅,alraeng koreubaeng
michaël levinas,미카엘 레비나스,mikael rebinaseu
jeanclaude dauphin,장클로드 도팽,jangkeulrodeu dopaeng
jules moinaux,쥘 무아노,jwil muano
gustave téry,귀스타브 테리,gwiseutabeu teri
jeanclaude gautrand,장클로드 고트랑,jangkeulrodeu goteurang
jeanclaude golvin,장클로드 골뱅,jangkeulrodeu golbaeng
jeanclaude henry,장클로드 앙리,jangkeulrodeu angri
juliette arnaud,쥘리에트 아르노,jwilrieteu areuno
julien guiomar,줄리앙 기오마르,julriang giomareu
jean nicolet,장 니콜렛,jang nikolres
cáterin bravo,카테린 브라보,katerin beurabo
stéphane tritz,스테판 트리츠,seutepan teuriceu
jeanjacques kantorow,장자크 캉토로프,jangjakeu kangtoropeu
guy herbulot,기 에르뷜로,gi ereubwilro
jeanfrançois robin,장프랑수아 로뱅,jangpeurangsua robaeng
jeanfrédéric edelmann,장프레데리크 에델만,jangpeurederikeu edelman
jeanjulien weber,장쥘리앵 베베르,jangjwilriaeng bebereu
jeanguy wallemme,장기 왈렘,janggi walrem
christophe castaner,크리스토프 카스타네르,keuriseutopeu kaseutanereu
françois charlesroux,프랑수아 샤를루,peurangsua syareulru
françoisxavier houlet,프랑수아그자비에 울레,peurangsuageujabie ulre
françoisxavier dumortier,프랑수아그자비에 뒤모르티에,peurangsuageujabie dwimoreutie
xavier niel,그자비에 니엘,geujabie niel
philippe varin,필리프 바랭,pilripeu baraeng
françois broussais,프랑수아 브루세,peurangsua beuruse
louis hachette,루이 아셰트,rui asyeteu
rené couzinet,르네 쿠지네,reune kujine
françoisxavier demaison,프랑수아그자비에 드메종,peurangsuageujabie deumejong
annegaëlle sidot,안가엘 시도,angael sido
rémy julienne,레미 쥘리엔,remi jwilrien
alain giletti,알랭 질레티,alraeng jilreti
françois fourniersarlovèze,프랑수아 푸르니에사를로베즈,peurangsua pureuniesareulrobejeu
jeanlouis tournadre,장루이 투르나드르,jangrui tureunadeureu
jeanmichel bony,장미셸 보니,jangmisyel boni
françois fernandez,프랑수아 페르난데즈,peurangsua pereunandejeu
françoishenri pinault,프랑수아앙리 피노,peurangsuaangri pino
françois périer,프랑수아 페리에,peurangsua perie
françois pinault,프랑수아 피노,peurangsua pino
jeanpaul chambas,장폴 샹바,jangpol syangba
jeanbaptiste jadin,장바티스트 자댕,jangbatiseuteu jadaeng
françois norguet,프랑수아 노르게,peurangsua noreuge
didier lavergne,디디에 라베르뉴,didie rabereunyu
henri laoust,앙리 라우스트,angri rauseuteu
michel jarraud,미셸 자로,misyel jaro
paulmarie guillaume,폴마리 기욤,polmari giyom
thierry mercier,티에리 메르시에,tieri mereusie
véronique bizot,베로니크 비조,beronikeu bijo
jeanmichel coron,장미셸 코롱,jangmisyel korong
jeanpierre fourcade,장피에르 푸르카드,jangpiereu pureukadeu
jeanrodolphe perronet,장로돌프 페로네,jangrodolpeu perone
léon ollélaprune,레옹 올레라프륀,reong olrerapeurwin
nicholas rogers,니컬러스 로저스,nikeolreoseu rojeoseu
paul vidal,폴 비달,pol bidal
jeanpierre ploué,장피에르 플루에,jangpiereu peulrue
françois jouffroy,프랑수아 주프루아,peurangsua jupeurua
jean bollack,장 볼라크,jang bolrakeu
louisalbert bourgaultducoudray,루이알베르 부르고뒤쿠드레,ruialbereu bureugodwikudeure
didier faivrepierret,디디에 페브르피에레,didie pebeureupiere
hervé boussard,에르베 부사르,ereube busareu
erik,에릭,erig
xavier darcos,그자비에 다르코스,geujabie dareukoseu
lucien bechmann,뤼시앵 베크만,rwisiaeng bekeuman
jean ducret,장 뒤크레,jang dwikeure
jean hubeau,장 위보,jang wibo
henri lévybruhl,앙리 레비브륄,angri rebibeurwil
jean lacassagne,장 라카사뉴,jang rakasanyu
nadège bobillierchaumont,나데주 보빌리에,nadeju bobilrie
lucien leduc,뤼시앵 르뒤크,rwisiaeng reudwikeu
léon koelinleenhoff,레옹 린호프,reong rinhopeu
jacques goimard,자크 구아마르,jakeu guamareu
henri padou,앙리 파두,angri padu
pierrehenri menthéour,피에르앙리 망테우르,piereuangri mangteureu
jean prouff,장 프루프,jang peurupeu
jean rivier,장 리비에,jang ribie
jacques toja,자크 토자,jakeu toja
henri de montaut,앙리 드 몽토,angri deu mongto
léonard limosin,레오나르 리무쟁,reonareu rimujaeng
paul aussaresses,폴 오사레스,pol osareseu
yoann lemoine,요안 르무안,yoan reumuan
yves boivineau,이브 부아비노,ibeu buabino
jean vautrin,장 보트랭,jang boteuraeng
jean tulard,장 튈라르,jang twilrareu
patrice héral,파트리스 에랄,pateuriseu eral
patrick bloche,패트릭 블로쉬,paeteurig beulroswi
albert capellani,알베르 카펠라니,albereu kapelrani
xercès louis,그제르세스 루이,geujereuseseu rui
léonfrançois comerre,레옹 코메르,reong komereu
marc yor,마르크 요르,mareukeu yoreu
paul topinard,폴 토피나르,pol topinareu
stéphane freiss,스테판 프리스,seutepan peuriseu
lamine sakho,라민 사코,ramin sako
mokobé,모코베,mokobe
paolo barzman,파올로 바즈먼,paolro bajeumeon
pascale rouet,파스칼 루에,paseukal rue
francis de croisset,프랑시스 드 크루아세,peurangsiseu deu keuruase
jeanfrançois savy,장프랑수아 사비,jangpeurangsua sabi
mariegeneviève navarre,마리준비에브 나바르,marijunbiebeu nabareu
mariemadeleine duruflé,마리마들렌 뒤뤼플레,marimadeulren dwirwipeulre
roger fellous,로저 펠러스,rojeo pelreoseu
roger dumas,로저 뒤마,rojeo dwima
marika rivera,마리카 리베라,marika ribera
roger temam,로제 테맘,roje temam
caroline lagerfelt,캐롤린 라거펠트,kaerolrin rageopelteu
nathalie henneberg,나탈리 엔베르그,natalri enbereugeu
laurent recouderc,로랑 르쿠르데르크,rorang reukureudereukeu
martin rappeneau,마르탱 라프노,mareutaeng rapeuno
daniel vaillant,다니엘 바양,daniel bayang
patrick berhault,파트리크 베로,pateurikeu bero
mercedes herrera,메르세데스 에레라,mereusedeseu erera
charles millon,샤를 미용,syareul miyong
lazare sainéan,라저르 셔이네아누,rajeoreu syeoineanu
nadezhda teffi,나데즈다 테피,nadejeuda tepi
rémi martin,레미 마르탱,remi mareutaeng
paul gayrard,폴 게라르,pol gerareu
maxime lalanne,막심 랄란,magsim ralran
didier martel,디디에 마르텔,didie mareutel
mauricejeanfernandalexis pourchet,모리스 푸르셰,moriseu pureusye
camille arambourg,카미유 아랑부르,kamiyu arangbureu
tony ramoin,토니 라무앵,toni ramuaeng
jacques cambry,자크 캉브리,jakeu kangbeuri
achille daroux,아실 다루,asil daru
priscilla gneto,프리실라 녜토,peurisilra nyeto
siramana dembélé,시라마나 뎀벨레,siramana dembelre
gustave courtois,귀스타브 쿠르투아,gwiseutabeu kureutua
rim'k,림크,rimkeu
paul sinibaldi,폴 시니발디,pol sinibaldi
jeanyves masson,장이브 마송,jangibeu masong
françois autain,프랑수아 오탱,peurangsua otaeng
sandra milowanoff,상드라 밀로바노프,sangdeura milrobanopeu
jacques bacot,자크 바코,jakeu bako
yvon madiot,이봉 마디오,ibong madio
joffrey lauvergne,조프레 로베르뉴,jopeure robereunyu
jeanpaul huchon,장폴 위숑,jangpol wisyong
raphaël confiant,라파엘 콩피앙,rapael kongpiang
wagneau eloi,와뇨 엘루아,wanyo elrua
benjamin mace,뱅자맹 마세,baengjamaeng mase
georges pouchet,조르주 푸셰,joreuju pusye
florent chaigneau,플로랑 셰뇨,peulrorang syenyo
pierre étaix,피에르 에택스,piereu etaegseu
isabelle olive,이자벨 올리브,ijabel olribeu
michel chevalier,미셸 슈발리에,misyel syubalrie
eugénie joubert,외제니아 주버트,oejenia jubeoteu
daniel arasse,다니엘 아라스,daniel araseu
michel polac,미셸 폴라크,misyel polrakeu
michel delon,미셸 들롱,misyel deulrong
michel duflo,미셸 뒤플로,misyel dwipeulro
alfred duvaucel,알프레드 뒤보셀,alpeuredeu dwibosel
volodymyr koubiïovitch,볼로디미르 쿠비요비치,bolrodimireu kubiyobici
alain jomy,알랭 조미,alraeng jomi
bernard bajolet,베르나르 바졸레,bereunareu bajolre
michèle bernier,미셸 버니에,misyel beonie
henri sérandour,앙리 세랑두르,angri serangdureu
charles de téligny,샤를 드 텔리니,syareul deu telrini
gérard blanc,제라르 블랑,jerareu beulrang
margaux laplace,마르고 라플라스,mareugo rapeulraseu
manuel legris,마뉘엘 르그리,manwiel reugeuri
raymond carré de malberg,레몽 카레 드 말베르,remong kare deu malbereu
zargo touré,자르고 투레,jareugo ture
julie herbault,쥘리 에르보,jwilri ereubo
louis gernet,루이 제르네,rui jereune
adèle hugo,아델 위고,adel wigo
anthony beltoise,앙토니 벨투아즈,angtoni beltuajeu
louisisidore duperrey,루이이지도르 뒤페레,ruiijidoreu dwipere
noël gallon,노엘 갈롱,noel galrong
mimi coutelier,미미 쿠틀리에,mimi kuteulrie
albert lavignac,알베르 라비냐크,albereu rabinyakeu
guillaumemarieromain sourrieu,기욤마리로맹 수리외,giyommariromaeng surioe
mijanou bardot,미자누 바르도,mijanu bareudo
thomas snégaroff,토마 스네가로프,toma seunegaropeu
blanche d'antigny,블랑슈 당티니,beulrangsyu dangtini
edmond dantès,에드몽 당테스,edeumong dangteseu
claude de rouvroy de saintsimon,생시몽 공작 클로드 드 루브루아,saengsimong gongjag keulrodeu deu rubeurua
louis pradel,루이 프라델,rui peuradel
béatrice altariba,베아트리스 알타리바,beateuriseu altariba
bruno madinier,브뤼노 마디니에,beurwino madinie
emmanuelle gaume,에마뉘엘 가메메,emanwiel gameme
lucien lazaridès,뤼시앵 라자리데스,rwisiaeng rajarideseu
gilles bouvard,질 부바르,jil bubareu
antoine volodine,앙투안 볼로딘,angtuan bolrodin
véronique brouquierreddé,베로니크 브루키에,beronikeu beurukie
pierre thibaud,피에르 티보,piereu tibo
philippe laudenbach,필립 로덴바흐,pilrib rodenbaheu
alainmichel blanc,알랭미셸 블랑,alraengmisyel beulrang
natasha parry,나타샤 패리,natasya paeri
philippe vuillemin,필리프 비유맹,pilripeu biyumaeng
rémi saillard,레미 사야르,remi sayareu
philippe moriergenoud,필리페 모리에르제노드,pilripe moriereujenodeu
sylvain tesson,실뱅 테송,silbaeng tesong
charles ier de lorraine,샤를 드 기즈 공작,syareul deu gijeu gongjag
jeanne pouquet,잔 푸케,jan puke
exodus,엑소더스,egsodeoseu
andré jacob,앙드레 자코브,angdeure jakobeu
alphonse de polignac,알퐁스 드 폴리냐크,alpongseu deu polrinyakeu
yves gaudemet,이브 고드메,ibeu godeume
nicolas de lyre,니콜라스 드 리라,nikolraseu deu rira
thierry claveyrolat,티에리 클라베롤라,tieri keulraberolra
pierrick bourgeat,피에리크 부르자,pierikeu bureuja
michel mathieu,미셸 마티외,misyel matioe
arnaud viviant,아르노 비비앙,areuno bibiang
pierre bouvier,피에르 부비에,piereu bubie
régis loisel,레지 루아젤,reji ruajel
jeanclaude gayssot,장클로드 게소,jangkeulrodeu geso
robert mitterrand,로베르 미테랑,robereu miterang
denis balbir,드니 발비르,deuni balbireu
pierre gascar,피에르 가스카르,piereu gaseukareu
igor troubetzkoy,이고리 트루베츠코이,igori teurubeceukoi
geneviève asse,준비에브 아스,junbiebeu aseu
jimmy algerino,지미 알제리노,jimi aljerino
siné,시네,sine
pierre jourda,피에르 주르다,piereu jureuda
pierre jacquinot,피에르 자키노,piereu jakino
sébastien piocelle,세바스티앵 피오셀,sebaseutiaeng piosel
henricardinjeanbaptiste d'aguesseau,앙리카르댕장바티스트 다게소,angrikareudaengjangbatiseuteu dageso
hyacinthe blondeau,이아생트 블롱도,iasaengteu beulrongdo
gwendoline hamon,귄들린 하몬,gwindeulrin hamon
michel meslin,미셸 메슬랭,misyel meseulraeng
pierre massimi,피에르 마시미,piereu masimi
pierre marion,피에르 마리옹,piereu mariong
pierre laigle,피에르 레글,piereu regeul
corinne luchaire,코린 뤼셰르,korin rwisyereu
kelly marot,켈리 마로,kelri maro
catherine virlouvet,카트린 비를루베,kateurin bireulrube
nicolas loufrani,니콜라 루프라니,nikolra rupeurani
pierre pincemaille,피에르 팽스마유,piereu paengseumayu
joseph léopold sigisbert hugo,조제프 레오폴 시지스베르 위고,jojepeu reopol sijiseubereu wigo
nicolas aithadi,니콜라 에타디,nikolra etadi
nicolas gosse,니콜라 고스,nikolra goseu
nicolas puydebois,니콜라 퓌드부아,nikolra pwideubua
stéphane delplace,스테판 델플라스,seutepan delpeulraseu
soriba kouyaté,소리바 쿠야테,soriba kuyate
geneviève joy,준비에브 주아,junbiebeu jua
frédéric lordon,프레데리크 로르동,peurederikeu roreudong
yann jouffre,얀 주프르,yan jupeureu
ibrahim tall,이브라힘 탈,ibeurahim tal
jules lachelier,쥘 라슐리에,jwil rasyulrie
nathalie marquay,나탈리 마르케,natalri mareuke
stéphane auvray,스테판 오브레,seutepan obeure
daniel clérice,다니엘 클레리스,daniel keulreriseu
patrick deville,파트리크 드빌,pateurikeu deubil
gérard de villefort,제라르 드 빌포르,jerareu deu bilporeu
mariehélène amiable,마리엘렌 아미아블,marielren amiabeul
dorothée letessier,도로테 르테시에,dorote reutesie
jean tourane,장 투란,jang turan
mélanie henique,멜라니 에니크,melrani enikeu
annie genevard,아니 준바르,ani junbareu
bernard lapasset,베르나르 라파세,bereunareu rapase
mickael hanany,미카엘 아나니,mikael anani
barbara piton,바르바라 피통,bareubara pitong
alain fauré,알랭 포레,alraeng pore
henri étiévant,앙리 에티에방,angri etiebang
noël delberghe,노엘 델베르게,noel delbereuge
franck borotra,프랑크 보로트라,peurangkeu boroteura
nicolas perrot d'ablancourt,니콜라 페로 다블랑쿠르,nikolra pero dabeulrangkureu
quentin lafargue,캉탱 라파르그,kangtaeng rapareugeu
blandine verlet,블랑딘 베를레,beulrangdin bereulre
jean luchaire,장 뤼셰르,jang rwisyereu
tracy bond,트레이시 본드,teureisi bondeu
mamadou samassa,마마두 사마사,mamadu samasa
jean brunhes,장 브륀,jang beurwin
raymond séguy,레몽 세기,remong segi
laurent madouas,로랑 마두아스,rorang maduaseu
raymond mason,레이먼드 메이슨,reimeondeu meiseun
félix labisse,펠릭스 라비스,pelrigseu rabiseu
alexandre falguière,알렉상드르 팔기에르,alregsangdeureu palgiereu
waldemar haffkine,발데마어 하프킨,baldemaeo hapeukin
hervé ryssen,에르베 리상,ereube risang
françois richard,프랑수아마리뱅자맹 리샤르,peurangsuamaribaengjamaeng risyareu
alberternest carrierbelleuse,알베르에르네스트 카리에벨뢰즈,albereuereuneseuteu kariebelroejeu
georges thiébaud,조르주 티에보,joreuju tiebo
rené major,르네 마조르,reune majoreu
alain carignon,알랭 카리뇽,alraeng karinyong
marc lièvremont,마르크 리에브르몽,mareukeu riebeureumong
yrétha silété,이레타 실레테,ireta silrete
mathieu molé,마티외 몰레,matioe molre
joseph bonnet,조제프 보네,jojepeu bone
rené pomeau,르네 포모,reune pomo
thierry mechler,티에리 메클레르,tieri mekeulrereu
serge golon,세르주 골롱,sereuju golrong
thierry jonquet,티에리 종케,tieri jongke
fabien galthié,파비앵 갈티에,pabiaeng galtie
alexandre bertrand,알렉상드르 베르트랑,alregsangdeureu bereuteurang
françois gernelle,프랑수아 제르넬,peurangsua jereunel
marcel sembat,마르셀 상바,mareusel sangba
frédéric cerdal,프레데리크 세르달,peurederikeu sereudal
olivier dussopt,올리비에 뒤솝트,olribie dwisobteu
liassine cadamurobentaïba,리아신 카다무로벤타이바,riasin kadamurobentaiba
édouard de villefort,에두아르 드 빌포르,eduareu deu bilporeu
oscar françois de jarjayes,오스칼 프랑소와 드 자르제,oseukal peurangsowa deu jareuje
joseph guichard,조제프 기샤르,jojepeu gisyareu
alexis ajinça,알렉시 아쟁사,alregsi ajaengsa
louisadolphe bertillon,루이아돌프 베르티용,ruiadolpeu bereutiyong
arnaud gidoin,아르노 지두앵,areuno jiduaeng
agnès bonfillon,아녜스 봉피용,anyeseu bongpiyong
ferdinand alquié,페르디낭 알키에,pereudinang alkie
agathon hennique,아가통 앙니크,agatong angnikeu
lucien capet,뤼시앵 카페,rwisiaeng kape
christophe cocard,크리스토프 코카르,keuriseutopeu kokareu
henri courtine,앙리 쿠르틴,angri kureutin
théodore ritter,테오도르 리테르,teodoreu ritereu
gaby casadesus,가비 카자드쥐,gabi kajadeujwi
gilles clément,질 클레망,jil keulremang
baron danglars,당글라르 남작,danggeulrareu namjag
marie brémont,마리 브레몽,mari beuremong
agnès buzyn,아녜스 뷔쟁,anyeseu bwijaeng
agnès bénassyquéré,아녜스 베나시케레,anyeseu benasikere
tony chapron,토니 샤프롱,toni syapeurong
stéphane picq,스테판 피크,seutepan pikeu
stéphane huchard,스테판 위샤르,seutepan wisyareu
jacques augarde,자크 오가르드,jakeu ogareudeu
kamini,카미니,kamini
agathe lecaron,아가트 르카롱,agateu reukarong
antoine préget,앙투안 프레제,angtuan peureje
véronique pierron,베로니크 피에롱,beronikeu pierong
maurice bardèche,모리스 바르데슈,moriseu bareudesyu
jeanlouis richard,장루이 리샤르,jangrui risyareu
agnès souret,아녜스 수레,anyeseu sure
agnès clancier,아녜스 클랑시에,anyeseu keulrangsie
sophie neveu,소피 느뵈,sopi neuboe
léon sée,레옹 세,reong se
lætitia bléger,레티시아 블레제,retisia beulreje
nicolas rabuel,니콜라 라뷔엘,nikolra rabwiel
jean rondeau,장 롱도,jang rongdo
coccinelle,꼬시넬,ggosinel
françoise madeleine d'orléans,프랑스의 프랑수아즈 마들렌,peurangseuyi peurangsuajeu madeulren
henry bordeaux,앙리 보르도,angri boreudo
barbara romagnan,바르바라 로마냥,bareubara romanyang
nicolas mignard,니콜라 미냐르,nikolra minyareu
jean lacouture,장 라쿠튀르,jang rakutwireu
jean leymarie,장 레마리,jang remari
tristan dagron,트리스탕 다그롱,teuriseutang dageurong
yves simon,이브 시몽,ibeu simong
aimé clariond,에메 클라리옹,eme keulrariong
