이,i
희은,hyieun
범진,beomjin
봉관,bonggwan
범일,beomil
법래,beobrae
병로,byeongro
병선,byeongseon
법린,beobrin
봉연,bongyeon
부선,buseon
병걸,byeonggeol
부겸,bugyeom
김비,gimbi
병진,byeongjin
봉두,bongdu
와꾸대장봉준,waggudaejangbongjun
별아,byeola
병익,byeongig
병찬,byeongcan
보민,bomin
사과,sagwa
지열,jiyeol
사율,sayul
김삼,gimsam
삼웅,samung
순례,sunrye
인배,inbae
진응,jineung
찬규,cangyu
세호,seho
일찬,ilcan
종상,jongsang
헌평,heonpyeong
채진,caejin
최항,coehang
승균,seunggyun
헌엽,heonyeob
카,ka
밀라,milra
형심,hyeongsim
부길,bugil
쿨,kul
크,keu
러쉬,reoswi
파,pa
라곤,ragon
해식,haesig
해청,haeceong
최훈,coehun
희암,hyiam
가열,gayeol
크루시픽스 크릭,keurusipigseu keurig
최헌,coeheon
현돌,hyeondol
환준,hwanjun
훈재,hunjae
흥종,heungjong
커피소년,keopisonyeon
평락,pyeongrag
향윤,hyangyun
헌길,heongil
철원,ceolweon
칼이쓰마,kalisseuma
최흘,coeheul
부택,butaeg
용지,yongji
혜순,hyesun
석화,seoghwa
정협,jeonghyeob
기항,gihang
남국,namgug
목일,mogil
명재,myeongjae
래혁,raehyeog
만호,manho
문흠,munheum
두홍,duhong
몽우,mongu
성삼,seongsam
득명,deugmyeong
하리,hari
고은광순,goeungwangsun
이니,ini
익서,igseo
유영,yuyeong
상곤,sanggon
재건,jaegeon
꿍,ggung
숙열,sugyeol
옥우,ogu
병열,byeongyeol
원선,weonseon
재량,jaeryang
순하,sunha
자효,jahyo
성걸,seonggeol
용목,yongmog
우택,utaeg
원관,weongwan
의도,yido
운택,untaeg
의화,yihwa
인교,ingyo
우서,useo
인과,ingwa
인서,inseo
운천,unceon
원민,weonmin
설훈,seolhun
선우경식,seonugyeongsig
금연,geumyeon
기조,gijo
서훈,seohun
선우영빈,seonuyeongbin
무용,muyong
신춘,sincun
외득,oedeug
수은,sueun
영완,yeongwan
성조,seongjo
성홍,seonghong
예순,yesun
수병,subyeong
순우,sunu
송현,songhyeon
승자,seungja
양락,yangrag
아진,ajin
호비,hobi
도봉,dobong
항준,hangjun
대정,daejeong
과리,gwari
현무,hyeonmu
균환,gyunhwan
갑윤,gabyun
종양,jongyang
노란구미,norangumi
국교,guggyo
제창,jecang
신연,sinyeon
요조,yojo
왕춘,wangcun
건도,geondo
덕상,deogsang
현란,hyeonran
덕한,deoghan
근민,geunmin
찬제,canje
호태,hotae
연이,yeoni
왕룡,wangryong
왕배,wangbae
삽,sab
자루,jaru
택섭,taegseob
형엽,hyeongyeob
요,yo
아리,ari
환승,hwanseung
희창,hyicang
태근,taegeun
일사,ilsa
존수,jonsu
인익,inig
채경,caegyeong
철길,ceolgil
일모,ilmo
종득,jongdeug
진후,jinhu
채봉,caebong
철연,ceolyeon
종명,jongmyeong
지찬,jican
장식,jangsig
태풍 볼라벤,taepung bolraben
조선왕조실록,joseonwangjosilrog
남북 관계,nambug gwangye
곡산군,gogsangun
김정숙군,gimjeongsuggun
연안군,yeonangun
신평군,sinpyeonggun
평양개성고속도로,pyeongyanggaeseonggosogdoro
평양과학기술대학,pyeongyanggwahaggisuldaehag
신흥군,sinheunggun
동명왕릉,dongmyeongwangreung
린산군,rinsangun
화성 정치범수용소,hwaseong jeongcibeomsuyongso
천리마 운동,ceonrima undong
과일군,gwailgun
삼천군,samceongun
갑산군,gabsangun
봉천군,bongceongun
명간군,myeonggangun
신원군,sinweongun
은천군,eunceongun
부전군,bujeongun
납북 일본인 문제,nabbug ilbonin munje
옹진반도 전투,ongjinbando jeontu
공화국의 영원한 주석,gonghwagugyi yeongweonhan juseog
중강군,jungganggun
승리자동차련합기업소,seungrijadongcaryeonhabgieobso
한국 요리,hangug yori
아리랑,arirang
조선민주주의인민공화국의 역사,joseonminjujuyiinmingonghwagugyi yeogsa
랑림군,rangrimgun
조선로동당 총비서,joseonrodongdang congbiseo
조선콤퓨터중심,joseonkompyuteojungsim
조선민주주의인민공화국 사회주의헌법,joseonminjujuyiinmingonghwagug sahoejuyiheonbeob
초산군,cosangun
동북아시아,dongbugasia
영광군,yeonggwanggun
증산군,jeungsangun
녕원군,nyeongweongun
류경정주영체육관,ryugyeongjeongjuyeongceyuggwan
조선중앙텔레비죤,joseonjungangtelrebijyon
련광정,ryeongwangjeong
북창 정치범수용소,bugcang jeongcibeomsuyongso
프렌드십 게임,peurendeusib geim
경의선,gyeongyiseon
조선민주주의인민공화국 축구 국가대표팀,joseonminjujuyiinmingonghwagug cuggu guggadaepyotim
조선민주주의인민공화국의 인구순 도시 목록,joseonminjujuyiinmingonghwagugyi ingusun dosi mogrog
주체사상탑,jucesasangtab
동창군,dongcanggun
리명수체육단,rimyeongsuceyugdan
우리민족끼리,uriminjogggiri
수동군,sudonggun
천마군,ceonmagun
황주군,hwangjugun
백두대간,baegdudaegan
소백수체육단,sobaegsuceyugdan
최고인민회의,coegoinminhoeyi
요덕군,yodeoggun
한반도 군사 분계선,hanbando gunsa bungyeseon
태백산맥,taebaegsanmaeg
일본 순시선 괴선박 격침 사건,ilbon sunsiseon goeseonbag gyeogcim sageon
아리랑 축제,arirang cugje
룡천군,ryongceongun
한반도 비무장 지대,hanbando bimujang jidae
조선중앙통신사,joseonjungangtongsinsa
곽산군,gwagsangun
박천군,bagceongun
염주군,yeomjugun
구장군,gujanggun
동림군,dongrimgun
배천군,baeceongun
대관군,daegwangun
룡림군,ryongrimgun
조선민주주의인민공화국,joseonminjujuyiinmingonghwagug
온성군,onseonggun
금천군,geumceongun
장연군,jangyeongun
부령군,buryeonggun
연사군,yeonsagun
은파군,eunpagun
조선민주주의인민공화국의 경제,joseonminjujuyiinmingonghwagugyi gyeongje
서해갑문,seohaegabmun
강령군,gangryeonggun
개천 정치범수용소,gaeceon jeongcibeomsuyongso
선군정치,seongunjeongci
조선민주주의인민공화국 야구 국가대표팀,joseonminjujuyiinmingonghwagug yagu guggadaepyotim
녕변 원자력 연구소,nyeongbyeon weonjaryeog yeonguso
조선 영화,joseon yeonghwa
단군릉,dangunreung
동평양대극장,dongpyeongyangdaegeugjang
평양 지하철도 천리마선,pyeongyang jihaceoldo ceonrimaseon
룡강군,ryongganggun
승호군,seunghogun
연탄군,yeontangun
토산군,tosangun
조선로동당 중앙군사위원회,joseonrodongdang junganggunsawiweonhoe
삭주군,sagjugun
강동군,gangdonggun
조선민주주의인민공화국의 국가,joseonminjujuyiinmingonghwagugyi gugga
평양 타임스,pyeongyang taimseu
고풍군,gopunggun
명천군,myeongceongun
성간군,seonggangun
신계군,singyegun
재령군,jaeryeonggun
위원군,wiweongun
한국의 역법,hangugyi yeogbeob
관남 지방,gwannam jibang
김정일 장군의 노래,gimjeongil janggunyi norae
경공업성체육단,gyeonggongeobseongceyugdan
평양 지하철도 혁신선,pyeongyang jihaceoldo hyeogsinseon
광명망,gwangmyeongmang
룡천 열차 폭발 사고,ryongceon yeolca pogbal sago
연산군,yeonsangun
경흥군,gyeongheunggun
조선인민군,joseoninmingun
삼수군,samsugun
철산군,ceolsangun
화평군,hwapyeonggun
벽성군,byeogseonggun
시중군,sijunggun
동신군,dongsingun
송원군,songweongun
고려항공,goryeohanggong
자강도,jagangdo
조선민주주의인민공화국의 선거,joseonminjujuyiinmingonghwagugyi seongeo
조선민주주의인민공화국의 로력영웅,joseonminjujuyiinmingonghwagugyi roryeogyeongung
창바이산맥,cangbaisanmaeg
운전군,unjeongun
조선민주주의인민공화국중화인민공화국 관계,joseonminjujuyiinmingonghwagugjunghwainmingonghwagug gwangye
향산군,hyangsangun
청단군,ceongdangun
백두산청년선,baegdusanceongnyeonseon
봉산군,bongsangun
태탄군,taetangun
천지,ceonji
장풍군,jangpunggun
태양절,taeyangjeol
장진호 전투,jangjinho jeontu
조중우의교,jojunguyigyo
고구려 고분군,goguryeo gobungun
대일 전승 기념일,daeil jeonseung ginyeomil
금수산태양궁전,geumsusantaeyanggungjeon
석왕사,seogwangsa
문덕군,mundeoggun
신양군,sinyanggun
회창군,hoecanggun
락원군,ragweongun
북창군,bugcanggun
양덕군,yangdeoggun
정평군,jeongpyeonggun
금야군,geumyagun
출신성분,culsinseongbun
윤이상관현악단,yunisanggwanhyeonagdan
창성군,cangseonggun
피현군,pihyeongun
선천군,seonceongun
태천군,taeceongun
벽동군,byeogdonggun
만수대의사당,mansudaeyisadang
로동신문,rodongsinmun
강성대국,gangseongdaegug
제네바 합의,jeneba habyi
서해 위성 발사장,seohae wiseong balsajang
러시아조선민주주의인민공화국 국경,reosiajoseonminjujuyiinmingonghwagug guggyeong
황해남도,hwanghaenamdo
원산농업대학,weonsannongeobdaehag
대흥군,daeheunggun
리원군,riweongun
맹산군,maengsangun
은산군,eunsangun
성천군,seongceongun
청남군,ceongnamgun
덕성군,deogseonggun
장강군,jangganggun
황금평,hwanggeumpyeong
홍원군,hongweongun
위화도,wihwado
전천군,jeonceongun
화대군,hwadaegun
동아시아,dongasia
북청군,bugceonggun
조선민주주의인민공화국의 인권,joseonminjujuyiinmingonghwagugyi ingweon
평원군,pyeongweongun
강원선,gangweonseon
고려호텔,goryeohotel
신도군,sindogun
해주비행장,haejubihaengjang
조선민주주의인민공화국의 공휴일,joseonminjujuyiinmingonghwagugyi gonghyuil
조선로동당,joseonrodongdang
조선사회민주당,joseonsahoeminjudang
조선민주주의인민공화국 철도성,joseonminjujuyiinmingonghwagug ceoldoseong
북부내륙선,bugbunaeryugseon
청년이천선,ceongnyeoniceonseon
국가보위성,guggabowiseong
조선민주주의인민공화국의 교육,joseonminjujuyiinmingonghwagugyi gyoyug
조선민주주의인민공화국의 통신,joseonminjujuyiinmingonghwagugyi tongsin
평강군,pyeongganggun
금강군,geumganggun
창도군,cangdogun
통천군,tongceongun
고산군,gosangun
고성군,goseonggun
보현사,bohyeonsa
올림픽 조선민주주의인민공화국 선수단,olrimpig joseonminjujuyiinmingonghwagug seonsudan
조선민주주의인민공화국 여자 축구 국가대표팀,joseonminjujuyiinmingonghwagug yeoja cuggu guggadaepyotim
할하부,halhabu
김일성 장군의 노래,gimilseong janggunyi norae
평양신문,pyeongyangsinmun
한자 문화권,hanja munhwagweon
동해북부선,donghaebugbuseon
남북통일,nambugtongil
아무르판,amureupan
안국사,angugsa
압록강체육단,abroggangceyugdan
운산군,unsangun
조선우주공간기술위원회,joseonujugonggangisulwiweonhoe
어랑비행장,eorangbihaengjang
선덕비행장,seondeogbihaengjang
평산군,pyeongsangun
북관대첩비,buggwandaeceobbi
고려성균관,goryeoseonggyungwan
조선민주주의인민공화국 국방위원회,joseonminjujuyiinmingonghwagug gugbangwiweonhoe
고난의 행군,gonanyi haenggun
조선인민군 항공 및 반항공군,joseoninmingun hanggong mic banhanggonggun
자성군,jaseonggun
류경호텔,ryugyeonghotel
요덕 정치범수용소,yodeog jeongcibeomsuyongso
한반도,hanbando
보통문,botongmun
대동문,daedongmun
국제친선전람관,gugjecinseonjeonramgwan
보천보전자악단,boceonbojeonjaagdan
양각도축구경기장,yanggagdocuggugyeonggijang
옥류관,ogryugwan
조선의 소리 방송,joseonyi sori bangsong
평양시체육단,pyeongyangsiceyugdan
황해,hwanghae
옹진군,ongjingun
평부선,pyeongbuseon
평화자동차,pyeonghwajadongca
돌아오지 않는 다리,dolaoji anhneun dari
인민대학습당,inmindaehagseubdang
모란봉,moranbong
청진 정치범수용소,ceongjin jeongcibeomsuyongso
무산군,musangun
삼지연비행장,samjiyeonbihaengjang
공민왕릉,gongminwangreung
조선중앙동물원,joseonjungangdongmulweon
기관차체육단,gigwancaceyugdan
김일성군사종합대학,gimilseonggunsajonghabdaehag
김일성종합대학,gimilseongjonghabdaehag
김책공업종합대학,gimcaeggongeobjonghabdaehag
평양의학대학,pyeongyangyihagdaehag
평양외국어대학,pyeongyangoegugeodaehag
의주군,yijugun
양각도국제호텔,yanggagdogugjehotel
창평 수용소 유혈 봉기,cangpyeong suyongso yuhyeol bonggi
읍,eub
강원도,gangweondo
김화군,gimhwagun
안변군,anbyeongun
천내군,ceonnaegun
세포군,sepogun
법동군,beobdonggun
남북정상회담,nambugjeongsanghoedam
판교군,pangyogun
아시안 하이웨이,asian haiwei
국기훈장,guggihunjang
통일의 메아리 방송,tongilyi meari bangsong
룡남산텔레비죤,ryongnamsantelrebijyon
만수대텔레비죤,mansudaetelrebijyon
조선민주주의인민공화국 대외경제성,joseonminjujuyiinmingonghwagug daeoegyeongjeseong
해방탑,haebangtab
대홍단군,daehongdangun
개마고원,gaemagoweon
함북선,hambugseon
장진군,jangjingun
평의선,pyeongyiseon
평남선,pyeongnamseon
회령 정치범수용소,hoeryeong jeongcibeomsuyongso
우시군,usigun
김정일의 죽음과 국장,gimjeongilyi jugeumgwa gugjang
신미도,sinmido
대성산혁명렬사릉,daeseongsanhyeogmyeongryeolsareung
청년호텔,ceongnyeonhotel
관북 지방,gwanbug jibang
천리마동상,ceonrimadongsang
평양 궤도전차,pyeongyang gwedojeonca
대한해협,daehanhaehyeob
천도교청우당,ceondogyoceongudang
조국통일민주주의전선,jogugtongilminjujuyijeonseon
양각도,yanggagdo
광복절,gwangbogjeol
조선민주주의인민공화국의 철도,joseonminjujuyiinmingonghwagugyi ceoldo
장충성당,jangcungseongdang
갈마비행장,galmabihaengjang
동조선만,dongjoseonman
서조선만,seojoseonman
온천군,onceongun
경성군,gyeongseonggun
경원군,gyeongweongun
고원군,goweongun
운흥군,unheunggun
송화군,songhwagun
만포선,manposeon
신천군,sinceongun
철원군,ceolweongun
회양군,hoeyanggun
룡성선,ryongseongseon
조선민주주의인민공화국 여자 아이스하키 국가대표팀,joseonminjujuyiinmingonghwagug yeoja aiseuhaki guggadaepyotim
남흥선,namheungseon
서해리선,seohaeriseon
조선민주주의인민공화국의 사형제,joseonminjujuyiinmingonghwagugyi sahyeongje
성불사,seongbulsa
관서 지방,gwanseo jibang
덕성선,deogseongseon
신계사,singyesa
룡연군,ryongyeongun
상원군,sangweongun
함주군,hamjugun
허천군,heoceongun
백암군,baegamgun
안악군,anaggun
중화군,junghwagun
조선민주주의인민공화국의 국보,joseonminjujuyiinmingonghwagugyi gugbo
꽃제비,ggocjebi
랑림산맥,rangrimsanmaeg
평양 순안 국제공항,pyeongyang sunan gugjegonghang
김일성광장,gimilseonggwangjang
승리거리,seungrigeori
의주 남문,yiju nammun
인민정권 창건일,inminjeonggweon canggeonil
조국통일범민족연합,jogugtongilbeomminjogyeonhab
조선민주주의인민공화국의 공훈배우,joseonminjujuyiinmingonghwagugyi gonghunbaeu
례성강철교,ryeseonggangceolgyo
쌍영총,ssangyeongcong
약수리 고분,yagsuri gobun
연백군,yeonbaeggun
인민경제대학,inmingyeongjedaehag
장진호,jangjinho
조국통일상,jogugtongilsang
조선민주주의인민공화국 사법성,joseonminjujuyiinmingonghwagug sabeobseong
조선인민군 총참모부 정찰총국,joseoninmingun congcammobu jeongcalconggug
조선민주주의인민공화국의 명절,joseonminjujuyiinmingonghwagugyi myeongjeol
조선녀성,joseonnyeoseong
조선민주주의인민공화국의 교통표지,joseonminjujuyiinmingonghwagugyi gyotongpyoji
안협군,anhyeobgun
웅기만,unggiman
전조선 제정당사회단체 대표자 연석회의,jeonjoseon jejeongdangsahoedance daepyoja yeonseoghoeyi
고려링크,goryeoringkeu
평화를 위한 평양 국제 체육 및 문화축전,pyeonghwareul wihan pyeongyang gugje ceyug mic munhwacugjeon
만수대창작사,mansudaecangjagsa
조중 국경,jojung guggyeong
동아시아 공동체,dongasia gongdongce
조선인민군 전략군,joseoninmingun jeonryaggun
청천강 전투,ceongceongang jeontu
금성 전투,geumseong jeontu
릉라도,reungrado
숙천군,sugceongun
평양 지하철도,pyeongyang jihaceoldo
기정동,gijeongdong
조선민주주의인민공화국의 국장,joseonminjujuyiinmingonghwagugyi gugjang
조선민주주의인민공화국 원,joseonminjujuyiinmingonghwagug weon
한국어의 남북 간 차이,hangugeoyi nambug gan cai
조선민주주의인민공화국 축구 협회,joseonminjujuyiinmingonghwagug cuggu hyeobhoe
청류교,ceongryugyo
기쁨조,gibbeumjo
만경대학생소년궁전,mangyeongdaehagsaengsonyeongungjeon
수안군,suangun
조선에스페란토협회,joseoneseuperantohyeobhoe
조선민주주의인민공화국 외무성,joseonminjujuyiinmingonghwagug oemuseong
심화조 사건,simhwajo sageon
두만강선,dumangangseon
강안선,ganganseon
백두산 밀영,baegdusan milyeong
길주군,giljugun
평라선,pyeongraseon
보천군,boceongun
어랑군,eoranggun
영생탑,yeongsaengtab
대동교,daedonggyo
자유독립훈장,jayudogribhunjang
삼지연,samjiyeon
조선로동당 창건일,joseonrodongdang canggeonil
군면리 대폐합,gunmyeonri daepyehab
조선우표박물관,joseonupyobagmulgwan
리명수,rimyeongsu
조선민주주의인민공화국의 음악가 목록,joseonminjujuyiinmingonghwagugyi eumagga mogrog
평양시간,pyeongyangsigan
조선대성은행,joseondaeseongeunhaeng
조선중앙방송위원회,joseonjungangbangsongwiweonhoe
대한민국의 군,daehanmingugyi gun
군공메달,gungongmedal
대동문영화관,daedongmunyeonghwagwan
판문점,panmunjeom
조선민주주의인민공화국의 인민예술가,joseonminjujuyiinmingonghwagugyi inminyesulga
중앙대학,jungangdaehag
조선인민군군악단,joseoninmingungunagdan
정백사원,jeongbaegsaweon
천리장성,ceonrijangseong
평양시의 교통,pyeongyangsiyi gyotong
철령,ceolryeong
조선민주주의인민공화국의 인민배우,joseonminjujuyiinmingonghwagugyi inminbaeu
토해선,tohaeseon
프룬제 아카데미아 출신 장교 쿠데타 모의 사건,peurunje akademia culsin janggyo kudeta moyi sageon
해방산체육단,haebangsanceyugdan
평양국제문화회관,pyeongyanggugjemunhwahoegwan
평양신의주고속도로,pyeongyangsinyijugosogdoro
황해선,hwanghaeseon
한국 천주교 주교회의,hangug ceonjugyo jugyohoeyi
혁명적 수령관,hyeogmyeongjeog suryeonggwan
평양국제영화회관,pyeongyanggugjeyeonghwahoegwan
조선로동당 통일전선부,joseonrodongdang tongiljeonseonbu
조선민주주의인민공화국 올림픽 위원회,joseonminjujuyiinmingonghwagug olrimpig wiweonhoe
김일성경기장,gimilseonggyeonggijang
헌릉,heonreung
량강도 폭발 사고,ryanggangdo pogbal sago
무수단리,musudanri
조선로동당 중앙위원회,joseonrodongdang jungangwiweonhoe
만경대,mangyeongdae
평양텔레비죤탑,pyeongyangtelrebijyontab
조선민주주의인민공화국 중앙은행,joseonminjujuyiinmingonghwagug jungangeunhaeng
조선민주주의인민공화국의 검열,joseonminjujuyiinmingonghwagugyi geomyeol
평안북도,pyeonganbugdo
황해북도,hwanghaebugdo
조선민주주의인민공화국의 대외 관계,joseonminjujuyiinmingonghwagugyi daeoe gwangye
조선민주주의인민공화국의 정치,joseonminjujuyiinmingonghwagugyi jeongci
운봉선,unbongseon
송도원선,songdoweonseon
시정선,sijeongseon
리원선,riweonseon
북한의 개인숭배,bughanyi gaeinsungbae
평양 국제영화축전,pyeongyang gugjeyeonghwacugjeon
조선민주주의인민공화국의 문화,joseonminjujuyiinmingonghwagugyi munhwa
동아시아 경기 대회,dongasia gyeonggi daehoe
평양빙상관,pyeongyangbingsanggwan
함경남도,hamgyeongnamdo
함경북도,hamgyeongbugdo
만수대대기념비,mansudaedaeginyeombi
조선민주주의인민공화국의 인터넷,joseonminjujuyiinmingonghwagugyi inteones
평양 무궤도전차,pyeongyang mugwedojeonca
평안남도,pyeongannamdo
조선혁명박물관,joseonhyeogmyeongbagmulgwan
조선민주주의인민공화국의 종교,joseonminjujuyiinmingonghwagugyi jonggyo
조선인민군 해군,joseoninmingun haegun
조선인민군 륙군,joseoninmingun ryuggun
량강도,ryanggangdo
무수단,musudan
원산금강산고속도로,weonsangeumgangsangosogdoro
개선청년공원,gaeseonceongnyeongongweon
황룡산성,hwangryongsanseong
은하수관현악단,eunhasugwanhyeonagdan
평양산원,pyeongyangsanweon
강남산맥,gangnamsanmaeg
조선민주주의인민공화국 교육위원회,joseonminjujuyiinmingonghwagug gyoyugwiweonhoe
북한의 국가 상징,bughanyi gugga sangjing
대동신용은행,daedongsinyongeunhaeng
조선민주주의인민공화국 국가계획위원회,joseonminjujuyiinmingonghwagug guggagyehoegwiweonhoe
조선민주주의인민공화국 국가과학기술위원회,joseonminjujuyiinmingonghwagug guggagwahaggisulwiweonhoe
조선민주주의인민공화국 국토환경보호성,joseonminjujuyiinmingonghwagug gugtohwangyeongbohoseong
조선민주주의인민공화국 도시경영 및 국토환경보호성,joseonminjujuyiinmingonghwagug dosigyeongyeong mic gugtohwangyeongbohoseong
조선민주주의인민공화국 보건성,joseonminjujuyiinmingonghwagug bogeonseong
조선민주주의인민공화국 헌법위원회,joseonminjujuyiinmingonghwagug heonbeobwiweonhoe
푸에블로함 피랍 사건,puebeulroham pirab sageon
남흥청년화학련합기업소,namheungceongnyeonhwahagryeonhabgieobso
조선민주주의인민공화국 과학원,joseonminjujuyiinmingonghwagug gwahagweon
조선민주주의인민공화국 륙해운성,joseonminjujuyiinmingonghwagug ryughaeunseong
조선민주주의인민공화국 체육성,joseonminjujuyiinmingonghwagug ceyugseong
인민봉사총국,inminbongsaconggug
지질탐사절,jijiltamsajeol
조선민주주의인민공화국 건설건재공업성,joseonminjujuyiinmingonghwagug geonseolgeonjaegongeobseong
조선민주주의인민공화국 국무위원회,joseonminjujuyiinmingonghwagug gugmuwiweonhoe
안주성,anjuseong
당창건기념탑,dangcanggeonginyeomtab
조국해방전쟁승리기념탑,jogughaebangjeonjaengseungriginyeomtab
청년영웅도로,ceongnyeonyeongungdoro
조선외국문도서출판사,joseonoegugmundoseoculpansa
조선민주주의인민공화국의 지리,joseonminjujuyiinmingonghwagugyi jiri
옥류교,ogryugyo
만수대,mansudae
김원균명칭 음악종합대학,gimweongyunmyeongcing eumagjonghabdaehag
릉라교,reungragyo
충성의 다리,cungseongyi dari
남동선,namdongseon
인도네시아조선민주주의인민공화국 관계,indonesiajoseonminjujuyiinmingonghwagug gwangye
압록강선,abroggangseon
황강댐,hwanggangdaem
정도선,jeongdoseon
부전호국립공원,bujeonhogugribgongweon
조선민주주의인민공화국의 섬 목록,joseonminjujuyiinmingonghwagugyi seom mogrog
강성네트망,gangseongneteumang
태풍 노을,taepung noeul
리순신장군훈장,risunsinjanggunhunjang
당창건사적관,dangcanggeonsajeoggwan
조선민주주의인민공화국 내각,joseonminjujuyiinmingonghwagug naegag
광복거리 아파트,gwangboggeori apateu
남북전,nambugjeon
조선민주주의인민공화국의 고속도로,joseonminjujuyiinmingonghwagugyi gosogdoro
우의탑,uyitab
조선그리스도교련맹,joseongeuriseudogyoryeonmaeng
주체사상,jucesasang
조선민주주의인민공화국 평화박물관,joseonminjujuyiinmingonghwagug pyeonghwabagmulgwan
평양학생소년궁전,pyeongyanghagsaengsonyeongungjeon
공화국영웅,gonghwagugyeongung
김일성훈장,gimilseonghunjang
신천박물관,sinceonbagmulgwan
김형권군,gimhyeonggweongun
풍서군,pungseogun
은률군,eunryulgun
허천선,heoceonseon
안주탄광선,anjutangwangseon
인도북한 관계,indobughan gwangye
말레이시아조선민주주의인민공화국 관계,malreisiajoseonminjujuyiinmingonghwagug gwangye
개천탄광선,gaeceontangwangseon
희천공업대학,hyiceongongeobdaehag
서흥군,seoheunggun
강남군,gangnamgun
대동군,daedonggun
양각교,yanggaggyo
청년팔원선,ceongnyeonpalweonseon
황주공군기지,hwangjugonggungiji
이란조선민주주의인민공화국 관계,iranjoseonminjujuyiinmingonghwagug gwangye
한국 군사 정전에 관한 협정,hangug gunsa jeongjeone gwanhan hyeobjeong
한강 해전,hangang haejeon
송림선,songrimseon
김형직군,gimhyeongjiggun
평양교예극장,pyeongyanggyoyegeugjang
사회주의애국청년동맹,sahoejuyiaegugceongnyeondongmaeng
이천군,iceongun
평양 개선문,pyeongyang gaeseonmun
서산호텔,seosanhotel
호위사령부,howisaryeongbu
과학기술전당,gwahaggisuljeondang
장백산맥 혼합림,jangbaegsanmaeg honhabrim
정준택경제대학,jeongjuntaeggyeongjedaehag
미래과학자거리,miraegwahagjageori
만주 혼합림,manju honhabrim
한반도 중부 낙엽수림,hanbando jungbu nagyeobsurim
미국조선민주주의인민공화국 관계,migugjoseonminjujuyiinmingonghwagug gwangye
관음사,gwaneumsa
평양성,pyeongyangseong
조선민주주의인민공화국의 정치범수용소,joseonminjujuyiinmingonghwagugyi jeongcibeomsuyongso
조선민주주의인민공화국 중앙재판소,joseonminjujuyiinmingonghwagug jungangjaepanso
조선직업총동맹,joseonjigeobcongdongmaeng
광법사,gwangbeobsa
보천선,boceonseon
자비령,jabiryeong
희천군,hyiceongun
희천발전소,hyiceonbaljeonso
인민상,inminsang
풍계리 핵 실험장,punggyeri haeg silheomjang
백마선,baegmaseon
금골선,geumgolseon
신흥선,sinheungseon
반성렬도,banseongryeoldo
강덕선,gangdeogseon
개천선,gaeceonseon
두리하나선교회,durihanaseongyohoe
의주비행장,yijubihaengjang
덕현선,deoghyeonseon
은률선,eunryulseon
배천선,baeceonseon
안학궁,anhaggung
인풍루,inpungru
주체연호,juceyeonho
북조선로동당,bugjoseonrodongdang
통군정,tonggunjeong
옹진반도,ongjinbando
박천 전투,bagceon jeontu
남북공동연락사무소 사무처,nambuggongdongyeonragsamuso samuceo
비단섬,bidanseom
괘궁정,gwaegungjeong
조선민주주의인민공화국의 화폐 개혁,joseonminjujuyiinmingonghwagugyi hwapye gaehyeog
평남기계종합공장,pyeongnamgigyejonghabgongjang
숭인전,sunginjeon
조선사회주의녀성동맹,joseonsahoejuyinyeoseongdongmaeng
조선농업근로자동맹,joseonnongeobgeunrojadongmaeng
미림비행장,mirimbihaengjang
칠골교회,cilgolgyohoe
조선민주주의인민공화국에 대한 제재,joseonminjujuyiinmingonghwaguge daehan jejae
부용당,buyongdang
일본조선민주주의인민공화국 관계,ilbonjoseonminjujuyiinmingonghwagug gwangye
우리식 인권,urisig ingweon
기계화군단,gigyehwagundan
러시아조선민주주의인민공화국 관계,reosiajoseonminjujuyiinmingonghwagug gwangye
룡남산체육단,ryongnamsanceyugdan
조선적십자회,joseonjeogsibjahoe
애국렬사릉,aegugryeolsareung
평양 시정위원회,pyeongyang sijeongwiweonhoe
조선민주주의인민공화국 경공업성,joseonminjujuyiinmingonghwagug gyeonggongeobseong
조선로동당 중앙위원회 정치국 상무위원회,joseonrodongdang jungangwiweonhoe jeongcigug sangmuwiweonhoe
조선민주주의인민공화국 문화성,joseonminjujuyiinmingonghwagug munhwaseong
모란시장,moransijang
덕원 수도원,deogweon sudoweon
김일성종합대학출판사,gimilseongjonghabdaehagculpansa
농업근로자,nongeobgeunroja
조선민주주의인민공화국 로동성,joseonminjujuyiinmingonghwagug rodongseong
소래교회,soraegyohoe
전사의 영예 훈장,jeonsayi yeongye hunjang
체육신문,ceyugsinmun
국제김일성상,gugjegimilseongsang
조선민주주의인민공화국 림업성,joseonminjujuyiinmingonghwagug rimeobseong
조선민주주의인민공화국의 부총리,joseonminjujuyiinmingonghwagugyi bucongri
장마당,jangmadang
붉은 군대 사령부의 원,bulgeun gundae saryeongbuyi weon
사이버 공격,saibeo gonggyeog
조선민주주의인민공화국의 보건,joseonminjujuyiinmingonghwagugyi bogeon
북창공군기지,bugcanggonggungiji
김일성가,gimilseongga
설마리 전투,seolmari jeontu
조선민주주의인민공화국의 선전,joseonminjujuyiinmingonghwagugyi seonjeon
조선정교위원회,joseonjeonggyowiweonhoe
조선민주주의인민공화국 무력 최고사령관,joseonminjujuyiinmingonghwagug muryeog coegosaryeonggwan
조선민주주의인민공화국의 성소수자 권리,joseonminjujuyiinmingonghwagugyi seongsosuja gweonri
멸악산맥,myeolagsanmaeg
초도,codo
