제임스,t͡ɕeimsɯ
치부토비치,t͡ɕʰibutʰobit͡ɕʰi
체르니쇼프,t͡ɕʰeɾɯnisjopʰɯ
부킨,pukʰin
베르틴스카야,peɾɯtʰinsɯkʰaja
피샬니코프,pʰisjallikʰopʰɯ
니쿨린,nikʰullin
스카르디노,sɯkʰaɾɯdino
벨로셰이킨,pellosjeikʰin
보리센코,poɾisenkʰo
가이다이,kaidai
크라피빈,kʰɯɾapʰibin
이즈마일로프,idʑɯmaillopʰɯ
바이르,paiɾɯ
바됴노프,padjonopʰɯ
셴데로비치,sjenteɾobit͡ɕʰi
코발렌코,kʰoballenkʰo
란코프,lankʰopʰɯ
칸첼스키스,kʰant͡ɕʰelsɯkʰisɯ
세마크,semakʰɯ
샤로노프,sjaɾonopʰɯ
주바레프,t͡ɕubaɾepʰɯ
스테파신,sɯtʰepʰasin
얀코브스키,jankʰobɯsɯkʰi
안드리얀,antɯɾijan
니콜라예프,nikʰollajepʰɯ
마추예프,mat͡ɕʰujepʰɯ
로스토츠키,losɯtʰot͡ɕʰɯkʰi
벨콥스키,pelkʰop̚s͈ɯkʰi
로고진,logodʑin
겐리히,kellihi
알츠슐러,alt͡ɕʰɯsjullʌ
크리칼료프,kʰɯɾikʰalljopʰɯ
키리옌코,kʰiɾijenkʰo
바시키로프,pasikʰiɾopʰɯ
키르산,kʰiɾɯsan
일륨지노프,illjumt͡ɕinopʰɯ
날리치,nallit͡ɕʰi
헤이피츠,heipʰit͡ɕʰɯ
카타난도프,kʰatʰanantopʰɯ
미신,misin
하리토노프,haɾitʰonopʰɯ
트룻네프,tʰɯɾunnepʰɯ
세디흐,sedihɯ
나밥킨,nabap̚kʰin
마마예프,mamajepʰɯ
흘로포닌,hɯllopʰonin
흐랴파,hɯɾjapʰa
자몰롯치코프,t͡ɕamollot̚t͡ɕʰikʰopʰɯ
가브릴로프,kabɯɾillopʰɯ
그리추크,kɯɾit͡ɕʰukʰɯ
알리셰르,allisjeɾɯ
우스마노프,usɯmanopʰɯ
카자코프,kʰadʑakʰopʰɯ
루츠코이,lut͡ɕʰɯkʰoi
리트비노프,litʰɯbinopʰɯ
비스트로프,pisɯtʰɯɾopʰɯ
무라토프,muɾatʰopʰɯ
메르쿠시킨,meɾɯkʰusikʰin
피추시킨,pʰit͡ɕʰusikʰin
흐리스텐코,hɯɾisɯtʰenkʰo
트레티야크,tʰɯɾetʰijakʰɯ
그라나트,kɯɾanatʰɯ
바기즈,pagidʑɯ
갈리울린,kalliullin
글루샤코프,kɯllusjakʰopʰɯ
세르듀코프,seɾɯdjukʰopʰɯ
뭇코,mut̚kʰo
마고메달리,magomedalli
데리파스카,teɾipʰasɯkʰa
미로노바,miɾonoba
부랍치코프,puɾap̚t͡ɕʰikʰopʰɯ
알리추크,allit͡ɕʰukʰɯ
솔로멘체프,solloment͡ɕʰepʰɯ
알하노프,alhanopʰɯ
브루멜,pɯɾumel
카르다쇼프,kʰaɾɯdasjopʰɯ
가자예프,kadʑajepʰɯ
리스티예프,lisɯtʰijepʰɯ
보르자콥스키,poɾɯdʑakʰop̚s͈ɯkʰi
코르네예프,kʰoɾɯnejepʰɯ
소뱌닌,sobjanin
라브로넨코,labɯɾonenkʰo
피에카,pʰiekʰa
브론프만,pɯɾonpʰɯman
바흐티야르,pahɯtʰijaɾɯ
아흐메도프,ahɯmedopʰɯ
스몰로프,sɯmollopʰɯ
케일리스보로크,kʰeillisɯboɾokʰɯ
박호닌,pakʰonin
폐트로비치,pʰjetʰɯɾobit͡ɕʰi
데미코프,temikʰopʰɯ
자보틴스키,t͡ɕabotʰinsɯkʰi
갈페린,kalpʰeɾin
보이초프,poit͡ɕʰopʰɯ
사모일로프,samoillopʰɯ
메드베드추크,medɯbedɯt͡ɕʰukʰɯ
아모소프,amosopʰɯ
굴랴예프,kulljajepʰɯ
비크마예프,pikʰɯmajepʰɯ
시베트,sibetʰɯ
보르솁스키,poɾɯsjep̚s͈ɯkʰi
부슈에프,pusjuepʰɯ
슬라바,sɯllaba
노비코프,nobikʰopʰɯ
아주베이,adʑubei
다리킨,taɾikʰin
리시친,lisit͡ɕʰin
테이무라스,tʰeimuɾasɯ
가바시빌리,kabasibilli
바탈로프,patʰallopʰɯ
바티르시나,patʰiɾɯsina
글라츠키흐,kɯllat͡ɕʰɯkʰihɯ
모스토보이,mosɯtʰoboi
무드리크,mudɯɾikʰɯ
차이콥스카야,t͡ɕʰaikʰop̚s͈ɯkʰaja
아흐리크,ahɯɾikʰɯ
츠베이바,t͡ɕʰɯbeiba
시바코프,sibakʰopʰɯ
메혼체프,mehont͡ɕʰepʰɯ
말렌첸코,mallent͡ɕʰenkʰo
보르트니코프,poɾɯtʰɯnikʰopʰɯ
듀코프,tjukʰopʰɯ
카프라노프,kʰapʰɯɾanopʰɯ
무라트,muɾatʰɯ
나시로프,nasiɾopʰɯ
시풀린,sipʰullin
흐루쇼프,hɯɾusjopʰɯ
베크맘베토프,pekʰɯmampetʰopʰɯ
코르니옌코,kʰoɾɯnijenkʰo
바투린,patʰuɾin
유르치힌,juɾɯt͡ɕʰihin
넴치노프,nemt͡ɕʰinopʰɯ
에레멩코,eɾemeŋkʰo
레오니도비치,leonidobit͡ɕʰi
그로모프,kɯɾomopʰɯ
루키야넨코,lukʰijanenkʰo
고보루힌,koboɾuhin
벨코,pelkʰo
카디예비치,kʰadijebit͡ɕʰi
뱌킨,pjakʰin
고르밧코,koɾɯbat̚kʰo
네욜로바,nejolloba
카자노프,kʰadʑanopʰɯ
스니트키나,sɯnitʰɯkʰina
바로예프,paɾojepʰɯ
마모노프,mamonopʰɯ
예고로프,jegoɾopʰɯ
티모페이,tʰimopʰei
모즈고프,modʑɯgopʰɯ
도브로볼스키,tobɯɾobolsɯkʰi
키르,kʰiɾɯ
불리초프,pullit͡ɕʰopʰɯ
보로둘리나,poɾodullina
솁첸코,sjep̚t͡ɕʰenkʰo
벨리카야,pellikʰaja
쿠라블료프,kʰuɾabɯlljopʰɯ
페이긴,pʰeigin
키짐,kʰidʑim
알레니체프,allenit͡ɕʰepʰɯ
킨체프,kʰint͡ɕʰepʰɯ
도모고로프,tomogoɾopʰɯ
보기예프,pogijepʰɯ
베글로프,pegɯllopʰɯ
가이다르베크,kaidaɾɯbekʰɯ
가이다르베코프,kaidaɾɯbekʰopʰɯ
루먀노바,lumjanoba
수크호루코브,sukʰɯhoɾukʰobɯ
아르칠,aɾɯt͡ɕʰil
고미아슈빌리,komiasjubilli
갈킨,kalkʰin
티셴코,tʰisjenkʰo
파달카,pʰadalkʰa
콜로브네프,kʰollobɯnepʰɯ
마무트,mamutʰɯ
하쿠로잔,hakʰuɾodʑan
누르갈리예프,nuɾɯgallijepʰɯ
파닌,pʰanin
리바노프,libanopʰɯ
잘리즈냐크,t͡ɕallidʑɯnjakʰɯ
키슬로프,kʰisɯllopʰɯ
스코브세바,sɯkʰobɯseba
베레고보이,peɾegoboi
카자초노크,kʰadʑat͡ɕʰonokʰɯ
리즈코프,lidʑɯkʰopʰɯ
민티메르,mintʰimeɾɯ
샤이미예프,sjaimijepʰɯ
코제예프,kʰodʑejepʰɯ
데주로프,tedʑuɾopʰɯ
넴초프,nemt͡ɕʰopʰɯ
세레브랴코프,seɾebɯɾjakʰopʰɯ
니코넨코,nikʰonenkʰo
트,tʰɯ
야쿠보비치,jakʰubopit͡ɕʰi
베네딕토프,penedik̚tʰopʰɯ
쿠르반,kʰuɾɯban
베르디예프,peɾɯdijepʰɯ
미로노프,miɾonopʰɯ
그라드,kɯɾadɯ
스키,sɯkʰi
바르수코프,paɾɯsukʰopʰɯ
가브릴,kabɯɾil
일리자로프,illidʑaɾopʰɯ
시누로프,sinuɾopʰɯ
마댜노프,madjanopʰɯ
로스코프,losɯkʰopʰɯ
일라리오노프,illaɾionopʰɯ
로드리게즈,lodɯɾigedʑɯ
추리나,t͡ɕʰuɾina
스메르틴,sɯmeɾɯtʰin
네모프,nemopʰɯ
드루비치,tɯɾubit͡ɕʰi
스몰니코프,sɯmollikʰopʰɯ
안겔리나,ankellina
바르가노바,paɾɯganoba
쿨리자노프,kʰullidʑanopʰɯ
레잔체프,ledʑant͡ɕʰepʰɯ
스몰랴니노프,sɯmolljaninopʰɯ
포로홉시코프,pʰoɾohop̚s͈ikʰopʰɯ
마르친케비치,maɾɯt͡ɕʰinkʰebit͡ɕʰi
시모노바,simonoba
우도비첸코,udobit͡ɕʰenkʰo
케사얀,kʰesajan
크류츠코프,kʰɯɾjut͡ɕʰɯkʰopʰɯ
옐리세예프,jellisejepʰɯ
일수르,ilsuɾɯ
멧신,met̚s͈in
게보르크,keboɾɯkʰɯ
바르타냔,paɾɯtʰanjan
우사초프,usat͡ɕʰopʰɯ
스코브레프,sɯkʰobɯɾepʰɯ
크라솝스키,kʰɯɾasop̚s͈ɯkʰi
주딜린,t͡ɕudillin
오메가,omega
사메도프,samedopʰɯ
세레브렌니코프,seɾebɯɾennikʰopʰɯ
코브존,kʰobɯdʑon
도브루신,tobɯɾusin
다추크,tat͡ɕʰukʰɯ
이바소프,ibasopʰɯ
듀민,tjumin
셀레즈뇨바,selledʑɯnjoba
바샤로프,pasjaɾopʰɯ
롤란,lollan
슬레파코프,sɯllepʰakʰopʰɯ
베로예프,peɾojepʰɯ
보로듀크,poɾodjukʰɯ
흘레스토프,hɯllesɯtʰopʰɯ
체칼로,t͡ɕʰekʰallo
카갈리츠키,kʰagallit͡ɕʰɯkʰi
부디나,pudina
네브조로프,nebɯdʑoɾopʰɯ
아란,aɾan
하쿠토라,hakʰutʰoɾa
알렌토바,allentʰoba
노스코프,nosɯkʰopʰɯ
포민,pʰomin
가리크,kaɾikʰɯ
수카초프,sukʰat͡ɕʰopʰɯ
오마리,omaɾi
테트라제,tʰetʰɯɾadʑe
고르노스타예바,koɾɯnosɯtʰajeba
트란코프,tʰɯɾankʰopʰɯ
코즐롭스키,kʰodʑɯllop̚s͈ɯkʰi
빌루히나,pilluhina
베레즈나야,peɾedʑɯnaja
밀로프,millopʰɯ
나기예프,nagijepʰɯ
체르니곱스카야,t͡ɕʰeɾɯnigop̚s͈ɯkʰaja
나찰로바,nat͡ɕʰalloba
쿠바소프,kʰubasopʰɯ
페도롭체프,pʰedoɾop̚t͡ɕʰepʰɯ
쿠디노프,kʰudinopʰɯ
볼샤코프,polsjakʰopʰɯ
사르핫,saɾɯhat̚
라쉬도바,laswidoba
샤츠카야,sjat͡ɕʰɯkʰaja
구벤코,kubenkʰo
페루모프,pʰeɾumopʰɯ
알리바소프,allibasopʰɯ
골럽,kollʌp̚
알파토프,alpʰatʰopʰɯ
멘시코바,mensikʰoba
사포노바,sapʰonoba
미할코바,mihalkʰoba
그베르드치텔리,kɯbeɾɯdɯt͡ɕʰitʰelli
알릴루예프,allillujepʰɯ
돌리나,tollina
군다레바,kuntaɾeba
알바츠,alpat͡ɕʰɯ
사보치킨,sabot͡ɕʰikʰin
코제브니코바,kʰodʑebɯnikʰoba
바구,pagu
디노바,tinoba
예프,jepʰɯ
비소츠카야,pisot͡ɕʰɯkʰaja
부차예프,put͡ɕʰajepʰɯ
지드코브,t͡ɕidɯkʰobɯ
누르지야,nuɾɯdʑija
바그마노바,pagɯmanoba
호도스,hodosɯ
스카나비,sɯkʰanabi
하를람포비치,haɾɯllampʰobit͡ɕʰi
가브릴로바,kabɯɾilloba
다치크,tat͡ɕʰikʰɯ
히립스카야,hiɾip̚s͈ɯkʰaja
알림잔,allimt͡ɕan
토흐타후노프,tʰohɯtʰahunopʰɯ
베네데예바,penedejeba
코빌리나,kʰobillina
안넨코,annenkʰo
그리샤예바,kɯɾisjajeba
포로시나,pʰoɾosina
즈베레바,t͡ɕɯbeɾeba
자카로프,t͡ɕakʰaɾopʰɯ
주디나,t͡ɕudina
세럅키나,seɾjap̚kʰina
아갈라로프,agallaɾopʰɯ
안튜페예프,antʰjupʰejepʰɯ
타이르,tʰaiɾɯ
크라스노셀스키,kʰɯɾasɯnoselsɯkʰi
아펙시모바,apʰek̚s͈imoba
아르부조바,aɾɯbudʑoba
샤토프,sjatʰopʰɯ
포셰파,pʰosjepʰa
무라시케비치,muɾasikʰebit͡ɕʰi
포르토프,pʰoɾɯtʰopʰɯ
아르도프,aɾɯdopʰɯ
아르도바,aɾɯdoba
두스무카메모프,tusɯmukʰamemopʰɯ
자갈라프,t͡ɕagallapʰɯ
압둘베코프,ap̚t͈ulpekʰopʰɯ
베데르니코프,pedeɾɯnikʰopʰɯ
아르자마소바,aɾɯdʑamasoba
알라노바,allanoba
아브라모바,abɯɾamoba
볼랴,pollja
사도브니치,sadobɯnit͡ɕʰi
쿠르기냔,kʰuɾɯginjan
샤라메트,sjaɾametʰɯ
레셴코,lesjenkʰo
리트비노바,litʰɯbinoba
라노보이,lanoboi
마르티노비치,maɾɯtʰinobit͡ɕʰi
바르카쇼프,paɾɯkʰasjopʰɯ
스베틀라코프,sɯbetʰɯllakʰopʰɯ
드보르체보이,tɯboɾɯt͡ɕʰeboi
카차노프,kʰat͡ɕʰanopʰɯ
랴이산,ljaisan
우탸셰바,utʰjasjeba
세로바,seɾoba
아구레예바,aguɾejeba
오르조니키제,oɾɯdʑonikʰidʑe
호티넨코,hotʰinenkʰo
샤포시니코프,sjapʰosinikʰopʰɯ
스미르니츠키,sɯmiɾɯnit͡ɕʰɯkʰi
그린덴코,kɯɾintenkʰo
나이닉,nainik̚
트리프노프,tʰɯɾipʰɯnopʰɯ
피온트콥스키,pʰiontʰɯkʰop̚s͈ɯkʰi
스타리긴,sɯtʰaɾigin
누르마고메도프,nuɾɯmagomedopʰɯ
아스타시,asɯtʰasi
소스노라,sosɯnoɾa
가리포바,kaɾipʰoba
아흐메도바,ahɯmedoba
비빌로프,pibillopʰɯ
프로클로바,pʰɯɾokʰɯlloba
미로슬라바,miɾosɯllaba
메딘스키,medinsɯkʰi
스니기르,sɯnigiɾɯ
슬라스틴,sɯllasɯtʰin
야글리크,jagɯllikʰɯ
아시마노프,asimanopʰɯ
키타예프,kʰitʰajepʰɯ
알료나,alljona
바부시키나,pabusikʰina
레드니코바,ledɯnikʰoba
로바,loba
쇼키나,sjokʰina
미수르킨,misuɾɯkʰin
밥키나,pap̚kʰina
마카레비치,makʰaɾebit͡ɕʰi
이그나트,igɯnatʰɯ
아카크코브,akʰakʰɯkʰobɯ
클리모바,kʰɯllimoba
샤밀,sjamil
타르피셰프,tʰaɾɯpʰisjepʰɯ
루킨,lukʰin
사무일,samuil
알료신,alljosin
알렉산드로바,allek̚s͈antɯɾoba
코반스키,kʰobansɯkʰi
가젠코,kadʑenkʰo
비치코바,pit͡ɕʰikʰoba
반쉬치코바,panswit͡ɕʰikʰoba
비알리치나,piallit͡ɕʰina
바레츠키,paɾet͡ɕʰɯkʰi
비네르,pineɾɯ
알리피렌코,allipʰiɾenkʰo
쿠드랴쇼프,kʰudɯɾjasjopʰɯ
라디모프,ladimopʰɯ
나바토프,nabatʰopʰɯ
구스코프,kusɯkʰopʰɯ
조보바,t͡ɕobopa
볼디코프,poltikʰopʰɯ
이오노프,ionopʰɯ
차도프,t͡ɕʰadopʰɯ
바트루트디노프,patʰɯɾutʰɯdinopʰɯ
드보르니코프,tɯboɾɯnikʰopʰɯ
비토르간,pitʰoɾɯgan
글루,kɯllu
다토,tatʰo
박타드제,pak̚tʰadɯdʑe
바친스키,pat͡ɕʰinsɯkʰi
골로바초프,kollobat͡ɕʰopʰɯ
델랴긴,telljagin
비시넵스키,pisinep̚s͈ɯkʰi
브리즈구노바,pɯɾidʑɯgunoba
조바,t͡ɕoba
바시로프,pasiɾopʰɯ
바쉬카토프,paswikʰatʰopʰɯ
봅크,pop̚kʰɯ
드로즈덴코,tɯɾodʑɯdenkʰo
부다르긴,pudaɾɯgin
벨로코네프,pellokʰonepʰɯ
보즈네센스카야,podʑɯnesensɯkʰaja
드미트리예프,tɯmitʰɯɾijepʰɯ
부린코,puɾinkʰo
이바노프나,ibanopʰɯna
부르미스트로바,puɾɯmisɯtʰɯɾoba
돌린스키,tollinsɯkʰi
베리야예,peɾijaje
도브로호토프,tobɯɾohotʰopʰɯ
고랴치키나,koɾjat͡ɕʰikʰina
비코프스키,pikʰopʰɯsɯkʰi
입스카야,ip̚s͈ɯkʰaja
비린,piɾin
발추나스,palt͡ɕʰunasɯ
드라페코,tɯɾapʰekʰo
베르시네바,peɾɯsineba
그레벤슈치코바,kɯɾebensjut͡ɕʰikʰoba
가가리나,kagaɾina
와카노호,wakʰanoho
에블리나,ebɯllina
블로던스,pɯllodʌnsɯ
두즈니코프,tudʑɯnikʰopʰɯ
블란테르,pɯllantʰeɾɯ
그리넵스키,kɯɾinep̚s͈ɯkʰi
나이예프스키,naijepʰɯsɯkʰi
그로무스키,kɯɾomusɯkʰi
가스파랸,kasɯpʰaɾjan
두나에프스카야,tunaepʰɯsɯkʰaja
라다,lada
브도빈,pɯdobin
볼로토바,pollotʰoba
구리예프,kuɾijepʰɯ
됴모치카,tjomot͡ɕʰikʰa
베르트코프,peɾɯtʰɯkʰopʰɯ
볼트네프,poltʰɯnepʰɯ
볼트네바,poltʰɯneba
아리스타르흐,aɾisɯtʰaɾɯhɯ
예카마소바,jekʰamasoba
본다르코,pontaɾɯkʰo
베르니크,peɾɯnikʰɯ
예피판체프,jepʰipʰant͡ɕʰepʰɯ
예프리캰,jepʰɯɾikʰjan
글린코코프,kɯllinkʰokʰopʰɯ
주코바,t͡ɕukʰoba
드비굽스카야,tɯbigup̚s͈ɯkʰaja
이시아노브,isianobɯ
글루셴코,kɯllusjenkʰo
카자노바,kʰadʑanoba
카타냔,kʰatʰanjan
조야,t͡ɕoja
카다노브스카야,kʰadanobɯsɯkʰaja
자이섹프,t͡ɕaisek̚pʰɯ
코레네프,kʰoɾenepʰɯ
예드가르트,jedɯgaɾɯtʰɯ
자파시니,t͡ɕapʰasini
오타리,otʰaɾi
크반트리슈빌리,kʰɯbantʰɯɾisjubilli
칼라쇼프,kʰallasjopʰɯ
잣세핀,t͡ɕat̚s͈epʰin
랍샤나,lap̚s͈jana
쿠르코바,kʰuɾɯkʰoba
쿠리쵸브,kʰuɾit͡ɕʰjobɯ
슈베르브,sjubeɾɯbɯ
코르체브니코프,kʰoɾɯt͡ɕʰebɯnikʰopʰɯ
키셀료프,kʰiselljopʰɯ
젤렌스키,t͡ɕellensɯkʰi
쿠테포바,kʰutʰepʰoba
캅코프,kʰap̚kʰopʰɯ
카라무르자,kʰaɾamuɾɯdʑa
카니디,kʰanidi
칸토로프,kʰantʰoɾopʰɯ
캄샤,kʰamsja
코스튜시킨,kʰosɯtʰjusikʰin
제믈랴니킨,t͡ɕemɯlljanikʰin
쿠하레신,kʰuhaɾesin
코스틴,kʰosɯtʰin
라브로바글린카,labɯɾobagɯllinkʰa
카라쇼프,kʰaɾasjopʰɯ
피에스트락,pʰiesɯtʰɯɾak̚
코샤코프,kʰosjakʰopʰɯ
크노레,kʰɯnoɾe
라디닌,ladinin
란스카야,lansɯkʰaja
키야제바,kʰijadʑeba
랴도바,ljadoba
마브리나,mabɯɾina
레프킨,lepʰɯkʰin
크리취만,kʰɯɾit͡ɕʰwiman
레브토바,lebɯtʰoba
모크,mokʰɯ
마제핀,madʑepʰin
레오니도프,leonidopʰɯ
마이다노프,maidanopʰɯ
이도우,idou
크류코프,kʰɯɾjukʰopʰɯ
일린,illin
메탈리디,metʰallidi
리솝스키,lisop̚s͈ɯkʰi
말리코바,mallikʰoba
리프니츠카야,lipʰɯnit͡ɕʰɯkʰaja
리카쵸프,likʰat͡ɕʰjopʰɯ
막사코바,mak̚s͈akʰoba
미줄리나,midʑullina
콜로콜니코프,kʰollokʰollikʰopʰɯ
리스보벳,lisɯbopet̚
리트비노비치,litʰɯbinobit͡ɕʰi
리디야,lidija
밀유지나,miɾjudʑina
밀로노프,millonopʰɯ
말레반나야,mallebannaja
아그니야,agɯnija
프세볼로트,pʰɯsebollotʰɯ
실롭스키,sillop̚s͈ɯkʰi
페레실트,pʰeɾesiltʰɯ
페고바,pʰegoba
미카일로바,mikʰailloba
미하일로브스카야,mihaillobɯsɯkʰaja
그리시나,kɯɾisina
미칼,mikʰal
미슈스틴,misjusɯtʰin
푸스토보이토바,pʰusɯtʰoboitʰoba
마르키나,maɾɯkʰina
라두긴,ladugin
페스코프,pʰesɯkʰopʰɯ
리오넬라,lionella
스트리제노바,sɯtʰɯɾidʑenoba
페트렌코,pʰetʰɯɾenkʰo
푸시키나,pʰusikʰina
페치니코바,pʰet͡ɕʰinikʰoba
페흐틴,pʰehɯtʰin
노소프,nosopʰɯ
플레트네프,pʰɯlletʰɯnepʰɯ
피로고프,pʰiɾogopʰɯ
마우,mau
레브로프,lebɯɾopʰɯ
피사렌코,pʰisaɾenkʰo
오보린,oboɾin
스트렐코바오볼디나,sɯtʰɯɾelkʰobaoboltina
플루체크,pʰɯllut͡ɕʰekʰɯ
마슈나야,masjunaja
오쿠넵스카야,okʰunep̚s͈ɯkʰaja
포베렌노바,pʰobeɾennoba
무로모프,muɾomopʰɯ
포고딘,pʰogodin
립틴,lip̚tʰin
뽀구진,p͈ogudʑin
메냐일로,menjaillo
플로트니코프,pʰɯllotʰɯnikʰopʰɯ
미시코바,misikʰoba
포드카민스카야,pʰodɯkʰaminsɯkʰaja
미얀크,mijankʰɯ
사이코,saikʰo
멜니,melli
겔라,kella
메스히예프,mesɯhijepʰɯ
루츠소바,lut͡ɕʰɯsoba
폴롭체프,pʰollop̚t͡ɕʰepʰɯ
포나센코프,pʰonasenkʰopʰɯ
로텐베르크,lotʰenpeɾɯkʰɯ
폴루닌,pʰollunin
예바,jeba
루도바,ludoba
포노마료프,pʰonomaɾjopʰɯ
파두체바,pʰadut͡ɕʰeba
리바코프,libakʰopʰɯ
파노프,pʰanopʰɯ
파리스키,pʰaɾisɯkʰi
럅코프,ljap̚kʰopʰɯ
파신,pʰasin
사벨리예프,sabellijepʰɯ
포체킨,pʰot͡ɕʰekʰin
테레시나,tʰeɾesina
스비리도바,sɯbiɾidoba
프리고진,pʰɯɾigodʑin
세묘노프,semjonopʰɯ
사갈로바,sagalloba
프리이어코브,pʰɯɾiiʌkʰobɯ
포미나,pʰomina
티호미로프,tʰihomiɾopʰɯ
티호미로바,tʰihomiɾoba
치슬로프,t͡ɕʰisɯllopʰɯ
세르게이바,seɾɯgeiba
소세도프,sosedopʰɯ
추이첸코,t͡ɕʰuit͡ɕʰenkʰo
마리야나,maɾijana
스피바크,sɯpʰibakʰɯ
토두아,tʰodua
프룸키나,pʰɯɾumkʰina
초니시빌리,t͡ɕʰonisibilli
추마,t͡ɕʰuma
토로코니코프,tʰoɾokʰonikʰopʰɯ
톨마,tʰolma
토크마코바,tʰokʰɯmakʰoba
라디,ladi
하비로프,habiɾopʰɯ
스타하노바,sɯtʰahanoba
하이룰리나,haiɾullina
샤쿠노프,sjakʰunopʰɯ
샬라예바,sjallajeba
토르신,tʰoɾɯsin
카라모프,kʰaɾamopʰɯ
스테브노프,sɯtʰebɯnopʰɯ
토필린,tʰopʰillin
시모노프,simonopʰɯ
토르쿠노프,tʰoɾɯkʰunopʰɯ
스턱킨,sɯtʰʌk̚kʰin
시모냔,simonjan
트로야노바,tʰɯɾojanoba
킬케비치,kʰilkʰebit͡ɕʰi
스쿨키나,sɯkʰulkʰina
마리안나,maɾianna
시바르츠만,sibaɾɯt͡ɕʰɯman
수포네프,supʰonepʰɯ
투마이키나,tʰumaikʰina
타이틴,tʰaitʰin
수투로바,sutʰuɾoba
수하노프,suhanopʰɯ
찰리코프,t͡ɕʰallikʰopʰɯ
우사토바,usatʰoba
울리야노바,ullijanoba
유스티노바,jusɯtʰinoba
타브헬리제,tʰabɯhellidʑe
타바,tʰaba
트삽닉,tʰɯsamnik̚
트리로,tʰɯɾilo
수호드레프,suhodɯɾepʰɯ
페도토프,pʰedotʰopʰɯ
체바제프스키,t͡ɕʰebadʑepʰɯsɯkʰi
페도르츠프,pʰedoɾɯt͡ɕʰɯpʰɯ
페드,pʰedɯ
커브,kʰʌbɯ
시포르트,sipʰoɾɯtʰɯ
타시코프,tʰasikʰopʰɯ
타라토르킨,tʰaɾatʰoɾɯkʰin
시피차,sipʰit͡ɕʰa
블라다스,pɯlladasɯ
라시츠카스,lasit͡ɕʰɯkʰasɯ
파테에바,pʰatʰeeba
슈비나,sjubina
슈크시나,sjukʰɯsina
필리포바,pʰillipʰoba
슈라노바,sjuɾanoba
윤그발트힐케비치,junkɯbaltʰɯhilkʰebit͡ɕʰi
차이나우프,t͡ɕʰainaupʰɯ
치폽스카야,t͡ɕʰipʰop̚s͈ɯkʰaja
코지레바,kʰodʑiɾeba
야쿠셰프,jakʰusjepʰɯ
야노브스카야,janobɯsɯkʰaja
오레시킨,oɾesikʰin
에테리,etʰeɾi
투트베리제,tʰutʰɯbeɾidʑe
고르데이,koɾɯdei
고르시코프,koɾɯsikʰopʰɯ
야첸코,jat͡ɕʰenkʰo
야술로비치,jasullobit͡ɕʰi
세버니,sebʌni
아르시노프,aɾɯsinopʰɯ
트레분스카야,tʰɯɾebunsɯkʰaja
자볼로트니,t͡ɕabollotʰɯni
체메조프,t͡ɕʰemedʑopʰɯ
치그빈테프,t͡ɕʰigɯbintʰepʰɯ
샤리포바,sjaɾipʰoba
사모일로바,samoilloba
노보셀체프,noboselt͡ɕʰepʰɯ
하비불로,habipullo
압두사마토프,ap̚t͈usamatʰopʰɯ
폴랴코바,pʰolljakʰoba
쉬골레프,swigollepʰɯ
포포바,pʰopʰoba
달레르,talleɾɯ
쿠자예프,kʰudʑajepʰɯ
카흐노비치,kʰahɯnobit͡ɕʰi
보스토크,posɯtʰokʰɯ
이바흐넨코,ibahɯnenkʰo
데멘티예프,tementʰijepʰɯ
츠코,t͡ɕʰɯkʰo
가진스키,kadʑinsɯkʰi
쿠즈민,kʰudʑɯmin
코마로프,kʰomaɾopʰɯ
리바노바,libanoba
로디긴,lodigin
랍테프,lap̚tʰepʰɯ
콜야다,kʰoɾjada
막시모바,mak̚s͈imoba
골로빈,kollobin
우쿨로바,ukʰulloba
팔랄레예바,pʰallallejeba
크리우치코바,kʰɯɾiut͡ɕʰikʰoba
바시야노프,pasijanopʰɯ
젤레즈냐크,t͡ɕelledʑɯnjakʰɯ
플린크,pʰɯllinkʰɯ
팔코프,pʰalkʰopʰɯ
마카르,makʰaɾɯ
자포로스키,t͡ɕapʰoɾosɯkʰi
포드가에브스키,pʰodɯgaebɯsɯkʰi
셰브린,sjebɯɾin
마문,mamun
카를로프,kʰaɾɯllopʰɯ
모길레베츠,mogillebet͡ɕʰɯ
리볼로블레바,libollobɯlleba
비치코프,pit͡ɕʰikʰopʰɯ
미란추크,miɾant͡ɕʰukʰɯ
프로코르,pʰɯɾokʰoɾɯ
샬리아핀,sjalliapʰin
올류닌,olljunin
콜랴세바,kʰolljaseba
악쇼노프,ak̚s͈jonopʰɯ
미흐란,mihɯɾan
하루튜냔,haɾutʰjunjan
포클론스카야,pʰokʰɯllonsɯkʰaja
코튜코프,kʰotʰjukʰopʰɯ
투렌코,tʰuɾenkʰo
라디욱,ladiuk̚
지오이아,t͡ɕioia
폽코프,pʰop̚kʰopʰɯ
파블렌스키,pʰabɯllensɯkʰi
보로다이,poɾodai
라일라,lailla
트레티코프,tʰɯɾetʰikʰopʰɯ
아브둘라시트,abɯdullasitʰɯ
슐만,sjulman
비탈리크,pitʰallikʰɯ
부테린,putʰeɾin
샤라포프,sjaɾapʰopʰɯ
루블료프,lubɯlljopʰɯ
호리냑,hoɾinjak̚
루카비친,lukʰabit͡ɕʰin
시소예바,sisojeba
보르시요바,poɾɯsijoba
푸쉴린,pʰuswillin
이스하코비치,isɯhakʰobit͡ɕʰi
