angela,aŋeːlaː
ostramondra,ostʁaːmontʁaː
beinerstadt,baiəneɐstat
henschleben,hənʃleːbən
großrudestedt,kʁosʁuːdestet
eckstedt,ekstet
kannawurf,kanaːvuɐf
alperstedt,alpeɐstet
siezbüttel,ziːt͡sbytel
hedwigenkoog,hetviːɡənkoːk
norddeich,noɐtdaix
elpersbüttel,elpeɐsbytel
epenwöhrden,epənvøːɐdən
westerdeichstrich,vesteɐdaikstʁix
theisseil,taisail
kirchendemenreuth,kiɐxəndeːmənʁoyt
deisenhausen,daiesənhauhsən
ingersleben,iŋeɐsleːbən
heyersdorf,haieɐsdoɐf
kößlarn,køslaɐn
edersleben,edeɐsleːbən
gädheim,ɡetaim
seelingstädt,zeːliŋstet
steigra,ʃtaikʁaː
rötgesbüttel,ʁøtɡesbytel
schaufling,ʃaufliŋk
holzbunge,holt͡sbuŋə
kaaks,kaːks
kalübbe,kaːlypbə
heiligenstedten,haieliçənstetən
dingsleben,diŋsleːbən
fürstenstein,fyɐstənstain
biederbach,biːdeɐbax
buchbrunn,buxpʁun
fleischwangen,flaiʃvaŋən
bergatreute,beɐɡatʁoytə
maroldsweisach,maːʀoldsvaiesax
kirchlauter,kiɐxlautɐ
leibertingen,laiebeɐtiŋən
preisklasse,pʁaisklasə
sigmaringendorf,zikmaːʀiŋəndoɐf
ebenweiler,ebənvailɐ
grünkraut,kʁyŋkʁaut
ohlsbach,oːlsbax
süderhastedt,zyːdeɐhastet
fiefbergen,fiːfbeɐɡən
oldenbüttel,oldənbytel
tetenhusen,teːtənhuːsən
poing,poiŋk
bühlertal,byːleɐtal
kolbingen,kolbiŋən
ebersbachmusbach,ebeɐsbaxmusbax
fronreute,fʁonʁoytə
nordrach,noɐtʁax
kröning,kʁøːniŋk
hardisleben,haɐdisleːbən
haßleben,hasleːbən
wundersleben,vundeɐsleːbən
sasbachwalden,zasbaxvaldən
bodnegg,botneɡk
bruchhausenvilsen,pʁuxhauhsənfilsən
pösing,pøːsiŋk
hoßkirch,hoskiɐx
krogaspe,kʁoːɡaspə
ottenbüttel,otənbytel
oldenhütten,oldənhytən
oberhain,obeɐhain
rippershausen,ʁipeɐshauhsən
burgpreppach,buɐɡpʁepax
schenefeld,ʃeːnefelt
willmering,vilmeːʀiŋk
obernheim,obeɐnhaim
buttenwiesen,butənviːsən
dammfleth,damflet
schutterwald,ʃuteɐvalt
guggenhausen,ɡukɡənhauhsən
unterwaldhausen,unteɐvaltauhsən
weisweil,vaisvail
murg,muɐk
vaale,faːlə
padenstedt,paːdənstet
viernau,fiːɐnauh
kissenbrück,kisənpʁyk
werningshausen,veɐniŋshauhsən
loherickelshof,loːheːʀiːkelshof
weitnau,vaitnauh
kenzingen,kənt͡siŋən
mötzingen,møːt͡siŋən
kleinmölsen,klainmølsən
kleinbrembach,klainpʁembax
riethgen,ʁiːtɡən
roklum,ʁoklum
mulsum,mulsum
sprötau,ʃpʁøːtauh
markvippach,maɐkfipax
unterschönau,unteɐʃøːnauh
göhrde,ɡøːɐdə
eisendorf,aiesəndoɐf
heroldstatt,heːʀoldstat
rauhenebrach,ʁauhheːnepʁax
wackersberg,vaːkeɐsbeɐk
hildrizhausen,hiltʁit͡shauhsən
lammershagen,lameɐshaːɡən
honigsee,hoːnikseə
jevenstedt,jeːfənstet
oepfershausen,oeːp͡feɐshauhsən
oberstadt,obeɐstat
metzels,meːt͡sels
störnstein,ʃtøɐnstain
grafling,kʁafliŋk
riedenberg,ʁiːdənbeɐk
mahlstetten,maːlstetən
vierethtrunstadt,fiːʀettʁunstat
königsheim,køːniçshaim
ritschenhausen,ʁiːt͡ʃənhauhsən
bechstedt,bekstet
oberkatz,obeɐkat͡s
utendorf,uːtəndoɐf
benshausen,bənshauhsən
boms,boms
chursdorf,xuɐsdoɐf
erbenhausen,eɐbənhauhsən
engelsberg,ənɡelsbeɐk
wonneberg,voneːbeɐk
dröbischau,tʁøːbiːʃauh
unterkatz,unteɐkat͡s
rockhausen,ʁokhauhsən
kaltenwestheim,kaltənvestaim
königseggwald,køːnikseɡkvalt
hüttisheim,hytishaim
osthausenwülfershausen,ostauhsənvylfeɐshauhsən
dobel,doːbel
reichmannsdorf,ʁaixmansdoɐf
lengfeld,lənkfelt
döschnitz,døʃnit͡s
reurieth,ʁoyhʀiːt
piesau,piːsauh
neugernsdorf,noyhɡeɐnsdoɐf
teichwitz,taixvit͡s
binswangen,binsvaŋən
forstinning,foɐstiniŋk
frittlingen,fʁitliŋən
fischingen,fiːʃiŋən
schlehdorf,ʃleːdoɐf
pennewitz,pənneːvit͡s
lanckengranitz,lankənkʁaːnit͡s
neufraunhofen,noyfʁaunhoːfən
jettingen,jetiŋən
oberpframmern,obeɐp͡fʁameɐn
nahetalwaldau,naːheːtalvaldauh
henfstädt,hənfstet
ergersheim,eɐɡeɐshaim
waltenhausen,valtənhauhsən
landensberg,landənsbeɐk
cursdorf,kuɐsdoɐf
grafenwiesen,kʁaːfənviːsən
weigenheim,vaieɡənhaim
unterwössen,unteɐvøsən
weenzen,veːnt͡sən
sülzfeld,zylt͡sfelt
springstille,ʃpʁiŋstilə
neuberend,noyhbeːʀənt
silberstedt,zilbeɐstet
dannewerk,daneːveɐk
böslebenwüllersleben,bøsleːbənvyleɐsleːbən
aschenhausen,aʃənhauhsən
dollerup,doleːʀup
loit,loit
saustrup,zaustʁup
malterdingen,malteɐdiŋən
böttingen,bøtiŋən
gerhardshofen,ɡeɐhaɐdshoːfən
treffelstein,tʁefelstain
riedhausen,ʁiːtauhsən
lederhose,leːdeɐhosə
harthpöllnitz,haɐtpølnit͡s
mönckebergstraße,mønkeːbeɐɡstʁasə
waltenhofen,valtənhoːfən
schwaara,ʃvaːʀaː
leutenberg,loyhtənbeɐk
sollerup,zoleːʀup
rabel,ʁaːbel
pruchten,pʁuxtən
hüsby,hysby
geltorf,ɡeltoɐf
bergenhusen,beɐɡənhuːsən
bollingstedt,boliŋstet
unterreichenbach,unteɐʁaiexənbax
wiggensbach,vikɡənsbax
tüttendorf,tytəndoɐf
wohlde,voːldə
stößen,ʃtøsən
schraplau,ʃʁaplauh
marklkofen,maɐklkoːfən
gehren,ɡeːʀən
treia,tʁaiaː
pastetten,pastetən
mamming,mamiŋk
jübek,jyːbek
stolk,ʃtolk
busdorf,busdoɐf
jachenau,jaːxeːnauh
postau,postauh
niederviehbach,niːdeɐfiːbax
wurmsham,vuɐmsham
blaustein,plaustain
finsing,finsiŋk
biederitz,biːdeːʀit͡s
sieverstedt,ziːfeɐstet
steinhöring,ʃtainhøːʀiŋk
moosinning,moːsiniŋk
karby,kaɐby
kropp,kʁop
brebel,pʁeːbel
dörpling,døɐpliŋk
ausacker,auhsakɐ
alkersleben,alkeɐsleːbən
schnarupthumby,ʃnaːʀuptumby
westensee,vestənseə
kenzküstrow,kənt͡skystʁov
böel,bøel
süderfahrenstedt,zyːdeɐfaːʀənstet
havetoft,haːfeːtoft
taarstedt,taːɐstet
postfeld,postfelt
prasdorf,pʁasdoɐf
lipprechterode,lipʁexteːʀodə
marisfeld,maːʀisfelt
liebenstein,liːbənstain
wurmlingen,vuɐmliŋən
berglern,beɐkleɐn
tastrup,tastʁup
idstedt,idstet
nützen,nyːt͡sən
glüsing,klyːsiŋk
böklund,bøklunt
wattenbek,vatənbek
pohnsdorf,poːnsdoɐf
weßling,vesliŋk
lindewitt,lindeːvit
schafflund,ʃaflunt
handewitt,handeːvit
lottorf,lotoɐf
eggebek,ekɡeːbek
neuching,noyhxiŋk
wahlstedt,vaːlstet
stoltebüll,ʃtolteːbyl
ottenhofen,otənhoːfən
trittau,tʁitauh
forstern,foɐsteɐn
porschearena,poɐʃeaːʀeːnaː
jungheinrich,juŋkhainʁix
kellenhusen,kelənhuːsən
egmating,ekmaːtiŋk
hemme,hemə
tarbek,taɐbek
dellstedt,delstet
vogtareuth,foktaːʀoyt
eddelak,etdeːlak
busenwurth,buːsənvuɐt
delve,delfə
großenaspe,kʁoseːnaspə
hennstedt,hənnstet
schonstett,ʃonstet
bargischow,baɐɡiːʃov
kosel,koːsel
lürschau,lyɐʃauh
haimhausen,haimhauhsən
moosthenning,moːstənniŋk
warin,vaːʀin
dingen,diŋən
neuendeich,noyəndaix
großenrade,kʁosənʁadə
süderdeich,zyːdeɐdaix
griesstätt,kʁiːstet
lahstedt,laːstet
beschendorf,beːʃəndoɐf
riepsdorf,ʁiːpsdoɐf
hohenthann,hoːhəntan
aßling,asliŋk
enkenbachalsenborn,ənkənbaːxalsənboɐn
hohenpolding,hoːhənpoldiŋk
eggstedt,ekstet
stockelsdorf,ʃtoːkelsdoɐf
ebhausen,efauhsən
kummerfeld,kumeɐfelt
sipplingen,zipliŋən
oberstadion,obeɐstaːdion
rechtenstein,ʁextənstain
simonswald,ziːmonsvalt
trockenbornwolfersdorf,tʁoːkənboɐnvolfeɐsdoɐf
maierhöfen,maieɐhøːfən
obersüßbach,obeɐsysbax
tröchtelborn,tʁøxtelboɐn
simmersfeld,zimeɐsfelt
oeversee,oeːfeɐseə
unterwellenborn,unteɐvelənboɐn
paitzdorf,pait͡sdoɐf
wiesenfeld,viːsənfelt
diesdorf,diːsdoɐf
wain,vain
rickenbach,ʁiːkənbax
berlinbohnsdorf,beɐlinboːnsdoɐf
berlinniederschönhausen,beɐliniːdeɐʃønhauhsən
yenidze,yeːnit͡sə
geschendorf,ɡeːʃəndoɐf
emleben,emleːbən
angelroda,aŋelʁoːdaː
ludwigsvorstadtisarvorstadt,lutviçsfoɐstatiːsaɐfoɐstat
weilersimmerberg,vaieleɐsimeɐbeɐk
bargenstedt,baɐɡənstet
averlak,afeɐlak
rehmflehdebargen,ʁeːmfleːdeːbaɐɡən
groven,kʁoːfən
dähre,deːʀə
harzungen,haɐt͡suŋən
ditfurt,ditfuɐt
rangendingen,ʁaŋəndiŋən
bergewöhrden,beɐɡeːvøːɐdən
mönkloh,møŋkloː
beetzendorf,beːt͡səndoɐf
mörsdorf,møɐsdoɐf
riethnordhausen,ʁiːtnoɐtauhsən
steinbachhallenberg,ʃtainbaxhalənbeɐk
negernbötel,neːɡeɐnbøːtel
lutzhorn,lut͡shoɐn
hasenmoor,haːsənmoːɐ
freiamt,fʁaiamt
sonneborn,zoneːboɐn
eschenbergen,eʃənbeɐɡən
gremersdorfbuchholz,kʁeːmeɐsdoɐfbuxholt͡s
dfvsupercup,dffsuːpeɐkup
hartenholm,haɐtənholm
stuvenborn,ʃtuːfənboɐn
schmalfeld,ʃmalfelt
gäufelden,ɡoyhfeldən
schönaich,ʃøːnaix
nufringen,nufʁiŋən
horschbach,hoɐʃbax
wietzendorf,viːt͡səndoɐf
fürstenzug,fyɐstənt͡suk
hergensweiler,heɐɡənsvailɐ
frestedt,fʁestet
wennbüttel,vənnbytel
kappelrodeck,kapelʁoːdek
tüttleben,tytleːbən
eitting,aitiŋk
seehausen,zeːhauhsən
hellschenheringsandunterschaar,helʃənheːʀiŋksandunteɐʃaːɐ
angererkopf,aŋeːʀeɐkop͡f
blaichach,plaiexax
karolinenkoog,kaːʀoːliːnənkoːk
wiesenfelden,viːsənfeldən
osterrade,osteɐʁadə
bufleben,bufleːbən
rietheimweilheim,ʁiːtaimvailhaim
fuhlendorf,fuːləndoɐf
struvenhütten,ʃtʁuːfənhytən
latendorf,laːtəndoɐf
grundhof,kʁuntof
riegsee,ʁiːkseə
georgenberg,ɡeoɐɡənbeɐk
burgtor,buɐktoɐ
bisingen,biːsiŋən
stadtmauer,ʃtatmauɐ
jesuitenkirche,jeːsuiːtənkiɐxə
ruhmeshalle,ʁuːmeshalə
neuendorfsachsenbande,noyəndoɐfsaksənbandə
wallgau,valɡauh
gudendorf,ɡuːdəndoɐf
lentföhrden,ləntføːɐdən
hangenweisheim,haŋənvaishaim
oering,oeːʀiŋk
hasenkrug,haːsənkʁuk
schwissel,ʃvisel
seekirch,zeːkiɐx
langenenslingen,laŋeːnənsliŋən
argenbühl,aɐɡənbyːl
mietingen,miːtiŋən
emlichheim,emlixhaim
nersingen,neɐsiŋən
grünenbach,kʁyːnənbax
teutschenthal,toyht͡ʃəntal
lumpzig,lumpt͡sik
bellheim,belhaim
wittingen,vitiŋən
niederotterbach,niːdeːʀoteɐbax
hochstettendhaun,hokstetəntaun
wimbach,vimbax
alsbachhähnlein,alsbaxheːnlain
molschleben,molʃleːbən
probsteierhagen,pʁobstaieɐhaːɡən
glasau,klaːsauh
walschleben,valʃleːbən
dreggers,tʁekɡeɐs
bodolz,boːdolt͡s
happurg,hapuɐk
gestratz,ɡestʁat͡s
maselheim,maːselhaim
heimenkirch,haiemənkiɐx
schemmerhofen,ʃemeɐhoːfən
kettenhausen,ketənhauhsən
dreisbach,tʁaisbax
bosenbach,boːsənbax
höchstberg,høkstbeɐk
etzbach,et͡sbax
bleckhausen,plekhauhsən
emmelbaum,emelbaum
demerath,deːmeʀat
obertaufkirchen,obeɐtaufkiɐxən
oberbergkirchen,obeɐbeɐkkiɐxən
rattenkirchen,ʁatənkiɐxən
niedertaufkirchen,niːdeɐtaufkiɐxən
dreisbrück,tʁaispʁyk
wahlbach,vaːlbax
friedenfels,fʁiːdənfels
eilscheid,ailʃait
eckelsheim,ekelshaim
deudesfeld,doyhdesfelt
weitersbach,vaieteɐsbax
dersekow,deɐseːkov
dargelin,daɐɡeːlin
kausen,kauhsən
weitersborn,vaieteɐsboɐn
ellweiler,elvailɐ
weidenhahn,vaiedənhaːn
hattgenstein,hatɡənstain
bereborn,beːʀeboɐn
köllnreisiek,kølnʁaiesiːk
jersbek,jeɐsbek
seethekholt,zeːtekholt
lütjensee,lytjənseə
lehe,leːə
borgwedel,boɐkveːdel
ellerdorf,eleɐdoɐf
schashagen,ʃashaːɡən
neukirchenbalbini,noyhkiɐxənbalbiːni
pleß,ples
erdesbach,eɐdesbax
dörrmoschel,døɐʁmoːʃel
wiesemscheid,viːsemʃait
reichertsheim,ʁaiexeɐtshaim
schkölen,ʃkøːlən
ransbachbaumbach,ʁansbaxbaumbax
heustreu,hoystʁoyh
willmars,vilmaɐs
kolitzheim,koːlit͡shaim
karlshausen,kaɐlshauhsən
barkelsby,baɐkelsby
ellingstedt,eliŋstet
schafstedt,ʃafstet
arkebek,aɐkeːbek
föhrdenbarl,føːɐdənbaɐl
brickeln,pʁiːkeln
holtsee,holtseə
bleckede,pleːkedə
raabesenbek,ʁaːbeːsənbek
schrum,ʃʁum
tensbüttelröst,tənsbytelʁøst
herbstadt,heɐbstat
hohenroth,hoːhənʁot
donnersdorf,doneɐsdoɐf
breitenau,pʁaieteːnauh
unsleben,unsleːbən
berlinmalchow,beɐlinmalxov
geldersheim,ɡeldeɐshaim
berlinfriedrichsfelde,beɐlinfʁiːtʁiksfeldə
berlinrahnsdorf,beɐlinʁaːnsdoɐf
hoppstädten,hopstetən
kiebitzreihe,kiːbit͡sʁaihə
herrensulzbach,heɐʁənsult͡sbax
wedendorfersee,veːdəndoɐfeɐseə
darscheid,daɐʃait
kradenbach,kʁaːdənbax
brücktal,pʁyktal
etschberg,et͡ʃbeɐk
berlinfriedrichshagen,beɐlinfʁiːtʁikshaːɡən
honerath,hoːneːʀat
hausweiler,hausvailɐ
neichen,naiexən
kreimbachkaulbach,kʁaimbaxkaulbax
brüel,pʁyel
eichstruth,aikstʁut
effelder,efeldɐ
vollenborn,folənboɐn
plaue,plauə
bodenrodewesthausen,boːdənʁoːdeːvestauhsən
mackenrode,maːkənʁodə
stadtilm,ʃtatilm
niederolm,niːdeːʀolm
hollstadt,holstat
strahlungen,ʃtʁaːluŋən
lutzingen,luːt͡siŋən
niederlauer,niːdeɐlauɐ
hohenöllen,hoːheːnølən
kottenborn,kotənboɐn
hörschhausen,høɐʃhauhsən
meckenbach,meːkənbax
burgbrohl,buɐɡpʁoːl
hundeshagen,hundeshaːɡən
uhlstädtkirchhasel,uːlstetkiɐxhaːsel
steinstücken,ʃtainstyːkən
beimerstetten,baiemeɐstetən
oberschwarzach,obeɐʃvaɐt͡sax
schwanfeld,ʃvanfelt
dittelsheimheßloch,ditelshaimheslox
asselfingen,aselfiŋən
berghülen,beɐkhyːlən
nusse,nusə
köhlen,køːlən
warza,vaɐt͡saː
sap,zap
pferdingsleben,p͡feɐdiŋsleːbən
remstädt,ʁemstet
rödelmaier,ʁøːdelmaiɐ
nottleben,notleːbən
villenbach,filənbax
kaperich,kaːpeːʀix
ehweiler,eːvailɐ
lonsheim,lonshaim
dennweilerfrohnbach,dənnvaieleɐfʁoːnbax
wahlenau,vaːleːnauh
wershofen,veɐshoːfən
hoisdorf,hoisdoɐf
ummendorf,uməndoɐf
eschfeld,eʃfelt
lülsfeld,lylsfelt
burglauer,buɐklauɐ
busenhausen,buːsənhauhsən
dorsel,doɐsel
wasenbach,vaːsənbax
krokau,kʁoːkauh
winnerath,vineːʀat
bongard,boŋaɐt
herschweilerpettersheim,heɐʃvaieleɐpeteɐshaim
badenhard,baːdənhaɐt
kempenich,kempeːnix
kottweilerschwanden,kotvaieleɐʃvandən
berlingerode,beɐliŋeːʀodə
domsühl,domsyːl
hendungen,hənduŋən
kallmerode,kalmeːʀodə
greußen,kʁoysən
crivitz,kʁiːfit͡s
oberdischingen,obeɐdiːʃiŋən
satrup,zatʁup
ganzlin,ɡant͡slin
ewighausen,evikhauhsən
ergeshausen,eɐɡeshauhsən
eckenroth,ekənʁot
gleiritsch,klaieʀit͡ʃ
erbesbüdesheim,eɐbesbyːdeshaim
niederbachheim,niːdeɐbaxhaim
einselthum,ainseltum
ensheim,ənshaim
untermarchtal,unteɐmaɐxtal
westerstetten,vesteɐstetən
schelklingen,ʃelkliŋən
rügge,ʁykɡə
perkam,peɐkam
struxdorf,ʃtʁuksdoɐf
munderkingen,mundeɐkiŋən
unterwachingen,unteɐvaːxiŋən
eßweiler,esvailɐ
ebertshausen,ebeɐtshauhsən
wölmersen,vølmeɐsən
elchweiler,elxvailɐ
thalwenden,talvəndən
uder,udɐ
weidenstetten,vaiedənstetən
elben,elbən
eppenrod,epənʁot
hoffeld,hofelt
großhansdorf,kʁoshansdoɐf
dreis,tʁais
göcklingen,ɡøkliŋən
windeby,vindeby
barkhagen,baɐkhaːɡən
stallwang,ʃtalvaŋk
dobbertin,dopbeɐtin
marnitz,maɐnit͡s
karrenzin,kaɐʁənt͡sin
föckelberg,føːkelbeɐk
dornholzhausen,doɐnholt͡shauhsən
höchstenbach,høkstənbax
breitscheidt,pʁaiet͡ʃait
eichenbach,aiexənbax
dörsdorf,døɐsdoɐf
quern,kveɐn
birkenhonigsessen,biɐkənhoːniksesən
koberngondorf,koːbeɐŋondoɐf
gösen,ɡøːsən
bundenbach,bundənbax
gierstädt,ɡiːɐstet
kleinbockedra,klainboːketʁaː
georgenthal,ɡeoɐɡəntal
wachsenburggemeinde,vaksənbuɐkɡeːmaində
hummelshain,humelshain
illerrieden,ileɐʁiːdən
tautenhain,tauhtənhain
biesdorf,biːsdoɐf
astert,asteɐt
frettenheim,fʁetənhaim
fürfeld,fyɐfelt
fürthen,fyɐtən
dettighofen,detikhoːfən
laichingen,laiexiŋən
tchibo,txiːboː
welkenbach,velkənbax
allenfeld,alənfelt
elbingen,elbiŋən
herbstmühle,heɐbstmyːlə
argenschwang,aɐɡənʃvaŋk
hinterreintalschrofen,hinteɐʁaintalʃʁoːfən
eriskirch,eʀiskiɐx
utzenhain,uːt͡sənhain
kalenbornscheuern,kaːlənboɐnʃoyeɐn
silbitz,zilbit͡s
wichmar,vixmaɐ
oberbodnitz,obeɐbotnit͡s
eineborn,aiəneːboɐn
seitenroda,zaietənʁoːdaː
bollberg,bolbeɐk
bannberscheid,banbeɐʃait
ebernhahn,ebeɐnhaːn
bollenbach,bolənbax
hergenroth,heɐɡənʁot
aschbach,aʃbax
contwig,kontvik
spantekow,ʃpanteːkov
giersleben,ɡiːɐsleːbən
wetterzeube,veteɐt͡soybə
schollene,ʃolənə
hergisdorf,heɐɡisdoɐf
pollenfeld,polənfelt
gammelsdorf,ɡamelsdoɐf
nemsdorfgöhrendorf,nemsdoɐfɡøːʀəndoɐf
bülstringen,bylstʁiŋən
hergersweiler,heɐɡeɐsvailɐ
fiersbach,fiːɐsbax
güby,ɡyby
stangheck,ʃtaŋkhek
süderbrarup,zyːdeɐpʁaːʀup
goltoft,ɡoltoft
scheggerott,ʃekɡeːʀot
eisighofen,aiesikhoːfən
görgeshausen,ɡøɐɡeshauhsən
marzhausen,maɐt͡shauhsən
arnshöfen,aɐnshøːfən
sehlde,zeːldə
bleyengenschmar,plaiənɡənʃmaɐ
stechowferchesar,ʃteːxovfeɐxeːsaɐ
klingenmünster,kliŋənmynstɐ
fuchshofen,fukshoːfən
kapsweyer,kapsvaiɐ
flemlingen,flemliŋən
marienrachdorf,maːʀiːnʁaxdoɐf
halbs,halbs
helferskirchen,helfeɐskiɐxən
bobeck,boːbek
dachwig,daxvik
kleineutersdorf,klaiənoyhteɐsdoɐf
emeringen,emeːʀiŋən
burgrieden,buɐkʁiːdən
rochau,ʁoːxauh
kamern,kaːmeɐn
harsleben,haɐsleːbən
biebrich,biːpʁix
lindig,lindik
lippersdorferdmannsdorf,lipeɐsdoɐfeɐtmansdoɐf
fluterschen,fluːteɐʃən
atzelgift,at͡selɡift
barwedel,baɐveːdel
mönkebude,møŋkeːbudə
kobrow,kopʁov
kritzow,kʁiːt͡sov
randowtal,ʁandovtal
unterbodnitz,unteɐbotnit͡s
olbersleben,olbeɐsleːbən
völpke,følpkə
gleina,klaiənaː
güntherslebenwechmar,ɡynteɐsleːbənvexmaɐ
krummhörn,kʁumhøɐn
bosbüll,bosbyl
heiligenroth,haieliçənʁot
breklum,pʁeklum
friedrichwilhelmlübkekoog,fʁiːtʁixvilhelmlypkeːkoːk
sprakebüll,ʃpʁaːkeːbyl
bayerfeldsteckweiler,baieɐfeldstekvailɐ
barbelroth,baɐbelʁot
hellenhahnschellenberg,helənhaːnʃelənbeɐk
grünebach,kʁyːneːbax
anrode,anʁodə
wasserlosen,vaseɐloːsən
oberstreu,obeɐstʁoyh
seega,zeːɡaː
klosterkumbd,klosteɐkumbt
argenthal,aɐɡəntal
brohl,pʁoːl
lykershausen,lykeɐshauhsən
heckhuscheid,hekhuːʃait
brachtendorf,pʁaxtəndoɐf
harschbach,haɐʃbax
fehlritzhausen,feːlʁit͡shauhsən
dürrholz,dyɐʁholt͡s
gödenroth,ɡøːdənʁot
struckum,ʃtʁuːkum
lengede,lənɡedə
halfing,halfiŋk
wolfersdorf,volfeɐsdoɐf
kötz,køt͡s
blankenstein,plaŋkənstain
trebra,tʁepʁaː
emmelsbüllhorsbüll,emelsbylhoɐsbyl
wartenbergrohrbach,vaɐtənbeɐkʁoːɐbax
frankweiler,fʁaŋkvailɐ
böchingen,bøːxiŋən
kliding,kliːdiŋk
brieden,pʁiːdən
rorodt,ʁoːʀot
volkesfeld,folkesfelt
berglicht,beɐklixt
liebenwalde,liːbənvaldə
fleringen,fleːʀiŋən
kestert,kesteɐt
hambuch,hambux
crawinkel,kʁaːviŋkel
friemar,fʁiːmaɐ
immerath,imeːʀat
haserich,haːseːʀix
grettstadt,kʁetstat
bayrhammer,baiʁhamɐ
ottfried,otfʁiːt
delay,deːlai
fierek,fiːʀek
klemens,kleːməns
astor,astoɐ
arland,aɐlant
gastell,ɡastel
ingwer,iŋkvɐ
nommensen,nomənsən
aleksandra,aleksantʁaː
bechtel,bextel
obermayr,obeɐmaiʁ
hauberrisser,hauhbeɐʁisɐ
katzenberger,kaːt͡sənbeɐɡɐ
silbereisen,zilbeːʀaiesən
marteria,maɐteːʀiaː
zdarsa,t͡sdaɐsaː
schuhbeck,ʃuːbek
bendzko,bəndt͡skoː
beppo,bepoː
hannesschläger,hanesxleɡɐ
rosin,ʁoːsin
männel,menel
savran,zafʁan
samulski,zaːmulskiː
ottheinrich,othainʁix
könnecke,kønekə
dyck,dyk
miatke,miatkə
parnass,paɐnas
yanar,yaːnaɐ
glööckler,kløː̈klɐ
lucae,luːkaə
spalatin,ʃpaːlatin
murner,muɐnɐ
jaanfrederik,jaːnfʁeːdeʀik
brunken,pʁuŋkən
bauermann,baueɐman
pete,petə
dwojak,tvoːjak
rudolfchristoph,ʁuːdolfxʁistof
gersdorff,ɡeɐsdoɐf
jimi,jiːmi
blue,pluə
sigbert,zikbeɐt
ganser,ɡansɐ
butzkamm,but͡skam
begemann,beːɡeman
mutzke,mut͡skə
tiedemann,tiedeːman
hansgerhard,hansɡeɐhaɐt
creutzfeldt,kʁoyt͡sfelt
gaub,ɡaup
rumold,ʁuːmolt
katina,kaːtiənaː
badendurlach,baːdənduɐlax
netto,netoː
zaschka,t͡saʃkaː
löb,løp
burkart,buɐkaɐt
cohnheim,koːnhaim
natja,natjaː
kentenich,kənteːnix
efim,efim
bogoljubow,boːɡoljuːbov
erol,eʀol
voscherau,foːʃeːʀauh
leymann,laiman
balde,baldə
mieczysław,miːkt͡sysłav
pemper,pempɐ
thode,todə
karljesco,kaɐljeskoː
nassaudietzoranien,nasauhdiːt͡soːʀaːniːn
grupe,kʁupə
romeo,ʁoːmeo
bolesław,boːlesłav
kominek,koːmiːnek
pfefferwildenbruch,p͡fefeɐvildənpʁux
keun,koyn
gonzalez,ɡont͡saːlet͡s
bussche,busxə
hegewald,heːɡevalt
ströbele,ʃtʁøːbelə
ringelmann,ʁiŋelman
kratzenstein,kʁaːt͡sənstain
wedemeier,veːdemaiɐ
pflipsen,p͡flipsən
ana,anaː
nova,noːfaː
flechsig,fleksik
auleb,auhlep
scherfke,ʃeɐfkə
pätau,petauh
leidenfrost,laiedənfʁost
schultzenaumburg,ʃult͡seːnaumbuɐk
ludolfhermann,luːdolfheɐman
hansemil,hanseːmil
kürsch,kyɐʃ
diebner,diːpnɐ
mixa,miksaː
massiv,masif
bassam,basam
tibi,tiebi
sachau,zaːxauh
carleduard,kaɐleːduaɐt
bismarck,bismaɐk
shlomo,shloːmo
dov,dof
goitein,ɡoiːtain
miete,miːtə
gosch,ɡoʃ
bölts,bølts
boese,boesə
collien,koliːn
ulmenfernandes,ulmənfeɐnandes
posadowskywehner,poːsaːdovskyveːnɐ
ahlwardt,aːlvaɐt
sedlmayr,zedlmaiʁ
gerbert,ɡeɐbeɐt
vijessna,fiːjesnaː
ferkic,feɐkik
clever,klefɐ
mussinghoff,musiŋkhof
rosenroth,ʁoːsənʁot
hülsmann,hylsman
bagge,bakɡə
petruo,petʁuoː
ziehen,t͡siːən
odo,odoː
niehoff,niːof
spanner,ʃpanɐ
piet,piːt
sielck,ziːlk
ramler,ʁamlɐ
wau,vauh
deva,deːfaː
premal,pʁeːmal
mußfeldt,musfelt
kahle,kaːlə
schalckgolodkowski,ʃalkɡoːlotkovskiː
pichtaxenfeld,pixtaksənfelt
haferkamp,haːfeɐkamp
oppelnbronikowski,opelnpʁoːniːkovskiː
jaekel,jaeːkel
winkens,viŋkəns
beust,boyst
holofernes,hoːlofeɐnes
oļegs,oļeɡs
znaroks,t͡snaːʀoks
hornhausen,hoɐnhauhsən
rennicke,ʁənnikə
ottoheinrich,otoːhainʁix
pfemfert,p͡femfeɐt
fretterpico,fʁeteɐpiːkoː
rosendorfer,ʁoːsəndoɐfɐ
wagnerpasquier,vakneɐpaskviɐ
welser,velsɐ
posilge,poːsilɡə
winrich,vinʁix
riemerschmid,ʁiːmeɐʃmit
kögl,køɡl
kraas,kʁaːs
roberts,ʁoːbeɐts
dlugosch,tluːɡoʃ
syberberg,sybeɐbeɐk
koeppen,koepən
söhnlein,zøːnlain
tammann,taman
schrobsdorff,ʃʁobsdoɐf
scheerer,ʃeːʁɐ
bülowbothkamp,byːlovbotkamp
hanswerner,hansveɐnɐ
eskens,eskəns
drechsel,tʁeksel
elverfeldt,elfeɐfelt
