hebe,ヘーペ
lovat,ロバト
vignoli,ヴィグノリ
carreira,カレイラ
adriel,アドリエル
geovani,ジオヴァンニ
cupertino,クパチーノ
henry,ヘンリー
fiuka,フィウカ
cazellato,カゼラート
abraham,アブラハム
weintraub,ワイントラウブ
sperling,スパーリング
kathellen,カテレン
guerrieri,ゲリエリ
barroca,バロッカ
parisot,パリソット
panta,パンタ
borelli,ボレッリ
hoefler,ホフラー
naressi,ナレッシ
rafa,ラファ
kalimann,カリマン
lauana,ラウアナ
catalá,カタルーニャ
hebert,エベルト
oksman,オクスマン
kalinka,カリンカ
schutel,シューテル
khury,クーリー
pec,ペック
baniwa,バニワ
chú,シュー
spadacio,スパダシオ
mikael,ミカエル
severo,セヴェロ
burkatt,ブルカット
colen,コーレン
bianchi,ビアンキ
pazuello,パズエロ
giulia,ジュリア
benite,ベニテ
gessica,ゲシカ
kayane,カヤネ
oinegue,オイネゲ
iano,イアーノ
paolo,パオロ
capixaba,カピサバ
colares,コラレス
collet,コレット
heloisa,ヘロイザ
kawan,カワン
derik,デリック
contar,コンタル
xand,シャンド
avião,アヴィアン
yasmin,ヤスミン
bachour,バクール
felicio,フェリシオ
sertório,ナリジーニョ
nabiyah,ナビヤ
be,ビー
aias,アイアス
barrozo,バローゾ
eurídice,ユリディス
thati,タティ
netto,ネット
campiolo,カンピオーロ
bala,バラ
stephany,ステファニー
pim,ピム
sater,サター
nyvi,ニヴィ
estephan,エステファン
barbara,バルバラ
timo,ティモ
tardeli,タルデッリ
waldomiro,ワルドミロ
vergueiro,ベルゲイロ
hariany,ハリアーニ
leovigildo,レオビヒルド
lucio,ルシオ
jessica,ジェシカ
senra,センラ
kenneth,ケネス
alpert,アルパート
esteves,エステヴェス
gianluca,ジャンルカ
petecof,ペテコフ
kennedy,ケネジ
prior,プライヤー
anlu,アンルー
thyane,サイアン
adrilles,アドリレス
alvaro,アルバロ
dascar,ダスカー
nestor,ネスター
chiesse,キエッセ
nego,ネゴ
taila,タイラ
deolane,デオレーン
yndiara,インジアーラ
asp,アスプ
simionato,シミオナート
arakaki,アラカキ
celeste,セレスチ
silvana,シウバナ
daiara,ダイアラ
tukano,ツカノ
wilton,ウィルトン
rebolo,レボロ
leque,レキ
bortoleto,ボルトレト
pethit,ペティット
samuele,サムエレ
vignato,ヴィニャート
bretas,ブルタス
sinovčić,シノブチッチ
rubiane,ルビアネ
mileide,ミレイド
mihaile,ミハイル
dynho,ディノ
rabelo,ラベロ
mckeidy,マッケイディ
lisita,リシタ
natali,ナタリ
pazete,パゼーテ
jaider,ジェイダー
esbell,エズベル
yara,ヤーラ
kono,コーノ
du,ドゥ
sarita,サリータ
veronice,ヴェロニェ
godói,ゴドイ
tadao,タダオ
nardoni,ナルドーニ
gi,ジ
virgínia,バージニア
held,ヘルド
lauren,ローレン
laurentino,ラウレンティーノ
bonorino,ボノリーノ
vanderlan,ヴァンダーラン
ednaldo,エドナルド
dragaud,ドラゴー
manaira,マナイラ
selvagem,セルバジェム
big,ビッグ
tereza,テレザ
getúlio,ジェトゥリオ
serafim,セラフィム
tabatha,タバサ
brechane,ブレカーネ
menin,メニン
lohan,ローハン
pederneiras,ペデネイラス
thiaguinho,チアギーニョ
pinna,ピンナ
jerônimo,ジェロニモ
gustavoegatotv,グスタヴォエガトテーブイ
côrtes,コルテス
senhorinho,セニョリーニョ
flores,フローレス
cintya,シンシア
jaciara,ジャシアラ
caperbat,カパーバット
gallete,ガレーテ
bel,ベル
kowarick,コワリック
ridauto,リダウト
danival,ダニヴァル
gilma,グリマ
jailton,ジャイルトン
darwin,ダーウィン
fabro,ファブロ
cortesão,コルテザン
soveral,ソヴェラル
bravo,ブラヴォー
luísa,ルイサ
célia,セリア
lawson,ローソン
larcher,ラーチャー
soledad,ソレダッド
liberato,リベラト
pessanha,ペサーニャ
defensor,デフェンソール
éderzito,エデルジト
spínola,スピノラ
junqueiro,ジュンケイロ
bernardino,ベルナルディノ
bratchikova,ブラチコワ
conchita,コンチータ
cintrón,シントロン
adelino,アデリーノ
palma,パルマ
ginestal,ジネスタル
portas,ポルタシュ
anabela,アナベラ
tamagnini,タマグニニ
torga,トルガ
lio,リオ
cá,カ
ni,ニ
mariza,マリーザ
povinho,ポヴィーニョ
ritta,リッタ
hanna,ハンナ
mamona,マモナ
lipke,リプケ
encarnação,エンカルナサン
caixinha,カイシーニャ
herman,ヘルマン
soraia,ソライア
albertina,アルベルティーナ
sergey,セルゲイ
yuran,ユラン
balsemão,バルセマン
bustorff,ダンタス
dinis,ディニス
mondim,モンジン
saleiro,サレイロ
tê,テ
anibal,アニバル
chalana,シャラーナ
júdice,ジュディス
virgílio,ヴィルジリオ
judilson,ジュディウソン
mamadu,ママドゥ
tuncará,トゥンカラ
eunice,ユーニス
muñoz,ムニョス
tropa,トローパ
roseira,ロッシーラ
seabra,シーブラ
batarda,バタルダ
madruga,マドルーガ
linda,リンダ
suza,スザ
minervino,ミネルヴィーノ
pietra,ピエトラ
kaúlza,カウルザ
adelaide,アデライデ
constâncio,コンスタンシオ
liza,ライザ
poças,ポッサス
noémia,ノエミア
bock,ボック
lena,レーナ
d'água,ダグア
murinello,ムリネロ
oom,オム
grilo,グリロ
azenha,アゼンハ
nené,ネネ
calvário,カルヴァーリオ
isidro,イシドロ
teotónio,テオトニオ
cleofas,クレオーファス
carloto,カルロト
cotta,コッタ
dolores,ドロレス
quim,キム
melancia,メランシア
rahul,ラフル
pandharipande,パンダハリパンデ
granjo,グランジョ
vergílio,ヴェルジリオ
canijo,カニージョ
lasso,ラソ
esmaël,イズマエル
branca,ブランカ
leonel,レオネル
montalvor,モンタルヴォル
edite,エディット
caçador,カサドール
ivens,アイヴェンス
marceneiro,マルセネイロ
smith,スミス
casquilha,カスキーリャ
camané,カマネ
menéres,メネレス
cernadas,セルナダス
tomané,トマネ
magdolna,プルグリ
purgly,マグドルナ
ianique,イアニケ
grácio,グラシオ
óscar,オスカル
leote,レオテ
malato,マラート
bentes,ベンテス
farinha,ファリーニャ
cavalinhos,カヴァリーニョス
ljubinko,リュビンコ
drulović,ドルロヴィッチ
ferro,フェール
jamila,ジャミラ
calisto,カリスト
relvas,レルヴァス
solnado,ソルナド
madalena,マダレーナ
mille,ミル
calado,カラード
cerejeira,セレジェイラ
ruben,ルーベン
retornados,レトルナードス
jacinto,ジャシント
nadir,ナーディル
irina,イリーナ
mantero,モンテロ
débora,デボラ
tojeiro,トジェイロ
soromenho,ソロメーニョ
infante,インファンテ
taveira,タヴェイラ
alhinho,アルヒーニョ
candeias,カンデイアス
brassard,ブラッサルド
cris,クリス
huerta,ウェルタ
elso,エルソ
rolando,ローランド
garcês,ガルセス
vilhena,シルバ
micaela,ミカエラ
kévin,ケヴィン
lucenzo,ルセンゾ
sarmento,サルメント
adans,アダン
morgado,モルガド
jorvan,ジョルバン
filomena,フィロメナ
cautela,コーテラ
lorène,ロレーヌ
bazolo,バゾロ
norton,ノルトン
peseiro,ペセイロ
espinha,エスピーニャ
otelo,オテロ
negreiros,ネグレイロス
pascoaes,パスコアエ
schipa,スキーパ
damas,ダマス
herédia,エレディア
homem,オメン
cristo,クリスト
navarro,ナバロ
ascensão,アセンサン
salazar,サラザール
louçã,ローサ
luxúria,ルクスリア
canibal,カニバル
altino,アルティーノ
victória,ビクトリア
andala,アンダラ
ágata,アガタ
zita,ジタ
salaviza,サラビサ
caeiro,カイエロ
cutileiro,クティレイロ
jerónimo,ジローニム
granger,グランガー
kapinha,カピーニャ
ortigoso,オルティゴソ
ducla,デュクラ
claude,クラウデ
hanse,アンセ
saboga,サボーガ
d'almeida,ダルメイダ
margarida,マルガリーダ
suzy,スージー
unas,ウナス
rosário,ロザリオ
sisley,シスレー
carolino,カロリーノ
basto,バスト
varão,ヴァラン
florian,フロリアン
vilela,ヴィレラ
alexis,アレクシス
amador,アマドール
floro,フローロ
abdu,アブドゥ
conté,コンテ
zahovič,ザホヴィッチ
dabó,ダボ
janio,ジャニオ
bikel,ビケル
salomé,サロメ
bastinhas,バスティーニャス
rochinha,ロシーニャ
lameiras,ラメイラス
raúl,ラウール
manor,マノル
solomon,ソロモン
buta,ブタ
arraiolos,アライオロス
xande,シャンデ
carraça,カラーサ
murta,ムルタ
ireneu,イレネウ
diana,ダイアナ
camacho,カマーチョ
quintana,キンタナ
posser,ポッサー
breyner,ブレイナー
shanna,シャナ
pelágio,ペラージオ
marinheiro,マリンヘイロ
mimicat,ミミカーチ
verdasca,ベルダスカ
centeno,センテノ
paredes,パレデス
dylan,ダイラン
reisinho,レイジーニョ
miramar,ミラマール
conan,コナン
osiris,オジリス
neemais,ニーミアス
bolas,ボラス
capelo,カペロ
frazão,フラザン
romain,ロマン
vanina,バニナ
guerillot,ゲリロ
baribo,バリボ
cravinho,クラヴィーニョ
kequyen,ケークェン
lam,ラム
gois,ゴイシュ
patricia,パトリシア
pepê,ペピ
rapazote,ハパゾティ
bolieiro,ボリエイロ
raffaele,ラファエレ
storti,ストルティ
anri,アンリ
egutidze,エグティゼ
appleton,アップルトン
lameira,ラメイラ
ganchas,ガンシャス
hector,ヘクター
ressurreição,レスレイソン
élisa,エリサ
buisel,ブイゼル
reymão,レイモン
carreiras,カレイラス
bondoso,ボンドーゾ
job,ジョブ
isaiah,アイザイア
campbell,キャンベル
penetra,ペネトラ
saavedra,サアベドラ
evelise,エベリゼ
albano,アルバノ
bertino,ベルティーノ
capeta,カペタ
matchoi,マチョイ
rowling,ローリング
machete,マチェーテ
iolanda,イオランダ
maro,マロ
chelsy,チェルシー
shantel,シャンテル
novonor,オデブレヒト
manicoré,マニコレ
crixás,クリシャース
gaúcha,ガウチャ
bagé,バゲ
novas,ノバス
pampas,パンパ
barradas,バラダス
dia,ディア
fico,フィコ
leblon,レブロン
sinop,シノプ
furacão,サイクロン
aperam,アペラム
south,サウス
america,アメリカ
cascavel,カスカーフェル
cnpj,ブラジルコッカホウジントウロクボ
maracanã,マラカナン
pão,ポン
açúcar,アスーカル
lenk,レンク
hülse,フーセ
cruzeiro,クルゼイロ
encantado,エンカンタド
pemon,ペモン
ijuí,イジュイー
gerais,ジェライスシュウ
torneio,トルネイロ
pedrosa,ペドローザ
premiere,プレミア
grossa,グロッサ
lindas,リンダス
embratur,ブラジルカンコウコウシャ
eládio,エラジオ
povo,ポーヴォ
braúnas,ブラウーナス
stammtisch,タルトゥリア
vereda,ヴェレダ
corpo,コルポ
olímpia,オリンピア
auriflama,アウリフラマ
lamego,ラメゴ
guaratinguetá,グアラティンゲタ
erechim,エレシン
desportiva,デスポルチーヴァ
atlética,アトレチカ
peruíbe,ペルイベ
schürig,シュリグ
sobradinho,ソブラジーニョ
caratinga,カラティンガ
coari,コアリ
mirassol,ミラソウ
guanabara,グアナバラシュウ
redonda,レドンダ
embu,エンブ
artes,アルテス
jacareí,ジャカレイー
democratas,ミンシュトウ
ivaiporã,イヴァイポラン
montes,モンテス
claros,クラロス
diadema,ディアデマ
talian,タリアンホウゲン
quente,ケンテ
canudos,カヌードス
saquarema,サクアレマ
morros,モーロス
rocinha,ホッシーニャ
ferrovia,セントロ
centroatlântica,アトランティカテツドウ
manga,マンガ
ibirité,イビリテ
álvares,アルバレス
divinópolis,ディビノポリス
eldorado,エルドラード
aquaria,アクアリア
republicanos,ブラジルキョウワトウ
itapecerica,イタペセリカ
ubá,ウバ
maré,マレ
capitólio,カピトリオ
dourada,ドウラーダ
pacaembu,パカエンブー
mundurucus,ムンドゥルクゾク
itaituba,イタイトゥバ
aracati,アラカティ
maracanãzinho,マラカナンジーニョ
abadia,アバジア
dourados,ドウラドス
boomerang,ブーメラン
porã,ポラン
claro,クラロ
platina,プラチーナ
paraíso,パライーゾ
itaquaquecetuba,イタクワクエゼツーバ
imperatriz,インペラトリス
guarapuava,グアラプアバ
pomerode,ポメロデ
parintins,パリンティンス
cosmópolis,コスモポリス
araçoiaba,アラソヤバ
miss,ミス
arandu,アランドゥ
negro,ネーグロ
mostardas,モスタルダス
mauá,マウアー
sertão,セルトン
placar,プラカール
navio,ナヴィオ
amparo,アンパロ
eisenbahn,アイゼンバーン
visconde,ヴィスコンデ
mairiporã,マイリポラン
engesa,エンゲーザ
bozano,ボザノ
iguatu,イグアトゥ
morumbi,モルンビー
tucuruí,トゥクルイ
jussiape,ジュシアペ
esperança,エスペランサ
gavião,ガヴィアン
matis,マティスゾク
andradas,アンドラダス
formação,アダマンティナ
adamantina,フォーメーション
manhuaçu,マニュアス
campeche,カンペチェ
paragominas,パラゴミナアス
colinas,コリナス
poá,ポアー
raulino,ラウリーノ
durival,ドゥリヴァル
rodeio,ホデイオ
alfenas,アルフェナス
linhares,リニャレス
colatina,コラティナ
brasiliense,ブラジリエンセ
caatinga,カーチンガ
adelmar,アデウマール
estadio,エスタジオ
scarpelli,スカルペーリ
itália,イタリア
mirangaba,ミランガーバ
sapucaia,サプカイア
exaltasamba,エザルタサンバ
barreiras,バレイラス
jijoca,ジジョーカ
jericoacoara,ジェリコアコアラ
garça,ガルサ
riachão,リアション
uberaba,ウベラーバ
passo,パッソ
sobrado,ソブラード
lábrea,ラブレア
armação,アルマサン
búzios,ブージオス
além,アレン
sumaré,スマレ
jaguarão,ジャグアラン
lucarelli,ルカレッリ
luzia,ルジア
borja,ボルジャ
iguatama,イグアタマ
cavati,カヴァティ
vacaria,バカリア
gramado,グラマド
walmir,バウミル
vaqueiro,ヴァケイロ
ferroban,フェロバン
goytacazes,ゴイタカゼス
itambé,イタンベ
ferronorte,フェロノルテ
ilhabela,イリャベラ
quilombo,キロンボ
campas,アシャニンカ
areado,アレアド
laranjeiras,ラランジェイラス
felixlândia,フェリクスランジア
guararema,グアラレマ
promissão,プロミッソン
telêmaco,テレマコ
borba,ボルバ
ajuricaba,アジュリカーバ
sabará,サバラ
esportiva,エスポルチーヴァ
teatro,テアトロ
spaulo,サンパウロ
jussara,ジュッサーラ
ituiutaba,イトゥイウタバ
gravataí,グラヴァタイー
altamira,アルタミラ
doresópolis,ドレソポリス
pouso,ポウゾ
nambiquaras,ナムビクワラゾク
passabém,パッサベーム
itaguaí,イタグアイ
tenentismo,テネンテカクメイ
itacambira,イタカンビラ
hortolândia,オルトランジャ
alta,アウタ
viamão,ヴィアモン
alvorada,アウヴォラーダ
negra,ネグラ
guanhães,グァニャンイス
arroio,アロイオ
flamarion,フラメリオン
jaíba,ジャイーバ
macaé,マカエ
três,トレス
corações,コラソンエス
friburgo,フリブルゴ
taguatinga,タグアチンガ
luziânia,ルジアニア
meriti,メリチ
americana,アメリカーナ
itapevi,イタペヴィ
campinho,カンピーニョ
jê,ゲゴゾク
venécia,ベネチア
hsbc,ジュネス
paty,パチ
alferes,アウフェレス
capim,カピン
guaçu,グァスー
tarumirim,タルミリム
maximiliano,マクシミリアーノ
ultrapar,ウルトラパール
guanás,チャネゾク
guaíba,グァイーバ
cachoeirinha,カショエイリーニャ
oeste,オエステ
pinhais,ピニャイス
américa,アメリカ
latina,ラティーナ
logística,ロジスティカ
eliel,エリエウ
andaraí,アンダライー
esteio,エステイオ
barras,バハス
guaraci,グアラシ
gestal,ジェスタル
itápolis,イタポリス
itaeté,イタエテー
laguna,ラグナ
abaetetuba,アバエテトゥバ
pontalina,ポンタリーナ
marabá,マラバ
botucatu,ボトゥカトゥ
tupã,トゥッパ
mombuca,モンブーカ
araguari,アラグアリ
cajari,カジャリ
carrero,カレーロ
world,ワールド
trinta,トリンタ
cairu,カイル
uiramutã,ウイラムタ
muriaé,ムリアエ
concórdia,コンコールジア
pardo,パルド
quaraí,クアライ
barretos,バレトス
abelardo,アベラルド
içá,イサ
juazeiro,ジュアゼイロ
biritiba,ブリチバ
butiá,ブチアー
fundo,フンド
gay,ゲイ
otoni,オトニ
o,オ
meio,メイオ
lapa,ラパ
salesópolis,サレソーポリス
mogeiro,モゲイロ
joaçaba,ジョアサバ
lavras,ラヴラス
taquaritinga,タクアリティンガ
eirunepé,エイルネペ
lages,ラジェス
batida,バチーダ
parnaíba,パルナイバ
ariquemes,アリケメス
rally,ラリー
sertões,セルトーエス
palhoça,パリョサ
jateí,ジャテイ
caibi,カイビ
urubici,ウルビシ
itabirito,イタビリート
andradina,アンドラジーナ
iguape,イグァーピ
tarauacá,タラウアカ
pindamonhangaba,ピンダモニャンガバ
nilópolis,ニローポリス
arealva,アレアウヴァ
rubineia,ルビネイラ
itatinga,イタチンガ
garanhuns,ガラニュンス
gravatá,グラヴァタ
farroupilha,ファホウピーリャ
rafard,ハファージ
acopiara,アコピアラ
valinhos,ヴァリーニョス
xavantes,シャバンテゾク
siderópolis,シデロポリス
urânia,ウラニア
nielsen,ニールセン
company,ホールディングス
carazinho,カラジニョ
itatiba,イタチーバ
itanhaém,イタニャエン
valparaíso,ヴァウパライーゾ
varginha,ヴァルジーニャ
manacapuru,マナカプル
várzea,ヴァールゼア
bonita,ボニータ
vinhedo,ヴィニェード
caraguatatuba,カラグァタトゥバ
aires,アイレス
samambaia,サマンバイア
arpoador,アルポアドール
irará,イララー
orlândia,オルランジア
palmar,パルマル
ausentes,オーセンテス
canário,カナーリオ
estrela,エストレーラ
piratininga,ピラチニンガ
tietê,ティエテ
patos,パスト
castanhal,カスタニャウ
tacacá,タカカ
garças,ガルサス
conselheiro,コンセリェイロ
lafaiete,ラファイエテ
rondonópolis,ロンドノーポリス
eixo,エイショ
monumental,モヌメンタル
echaporã,エシャポラ
ibitinga,イビチンガ
bolsa,ボウサ
família,ファミリア
lençóis,レンソイス
itariri,イタリリ
nhandeara,ニャンデアラ
estância,エスタンシア
avaré,アヴァレ
roca,ローカ
itacaré,イタカレ
patrocínio,パトロシーニオ
confins,コンフィンス
taquarivaí,タクァリヴァイ
almirante,アウミランテ
marechal,マレシャル
tijuca,チジューカ
indiaporã,インジアポラ
senador,セナドル
beltrão,ベウトラン
morungaba,モルンガバ
ourinhos,オウリニョス
itajubá,イタジュバ
guanambi,グァナンビ
salto,サルト
pirapora,ピラポーラ
araras,アララス
tupi,トゥピ
sarapuí,サラプイ
monlevade,モンレヴァージ
antão,アンタン
arapongas,アラポンガス
tarumã,タルマン
posse,ポッセ
itatiaia,イタチアイア
norte,ノルティ
goianápolis,ゴイアナポリス
oriente,オリエンチ
bela,ベラ
cajamar,カジャマル
miracatu,ミラカトゥ
apiaí,アピアイ
parnamirim,パルナミリン
icamiabas,イカミアバス
caravelas,カラベラス
itararé,イタラレ
poços,ポソス
chapecó,シャペコ
bertioga,ベルティオガ
tepui,テプイ
infraero,ブラジルクウコウインフラコウシャ
bom,ボン
supercopa,スーペルコパ
carajás,カラジャゾク
juquiá,ジュキア
juquitiba,ジュクイチバ
poloni,ポローニ
tocantinópolis,トカンチノポリス
magé,マジェー
lagoas,ラゴアス
taboão,タボアン
brazópolis,ブラソポリス
limeira,リメイラ
itaboraí,イタボライー
serrania,セラニア
pico,ピコ
severínia,セヴェリーニア
extremoz,エクストレモス
cáceres,カセレス
maricá,マリカー
itajaí,イタジャイ
umuarama,ウムアラマ
acaiaca,アカイアーカ
cataguases,カタグアゼス
maracaí,マラカイ
jacuípe,ジャクイーペ
iporanga,イポランガ
arapeí,アラペイ
maragogipe,マラゴジッペ
goianésia,ゴイアネージア
pedrinhas,ペドリーニャス
camaragibe,カマラジベ
mooca,モオカ
ubatuba,ウバツバ
pedrito,ペドリト
alegrete,アレグレテ
jaraguá,ジャラグア
cordeirópolis,コルデイロポリス
lagoa,ラゴア
caieiras,カイエイラス
vargem,ヴァルゲム
sinagoga,カハル
kahal,ズル
zur,イスラエル
israel,シナゴーグ
araruama,アラルアマ
cacoal,カコアウ
ratos,ラトス
afogados,アフォガドス
ingazeira,インガゼイラ
hidrolândia,イドロランジア
piraí,ピライ
ceilândia,セイランディア
mansidão,マンシドン
agudos,アグドス
marialva,パラナシュウ
mapinguari,マピンガリ
tiradentes,チラデンテス
itacoatiara,イタコアチアラ
pirassununga,ピラスヌンガ
crato,クラート
capivari,カピヴァーリ
rolândia,ホーランジア
ribamar,リバマル
xapuri,シャプリ
ariranha,アリラーニャ
caí,カイー
arujá,アルジャー
pesqueira,ペスケイラ
teixeiras,テイシェイラス
indaiatuba,インダイアツーバ
uruguaiana,ウルグアイアーナ
aracruz,アラクルーズ
celulose,セルロース
japeri,ジャペリ
vespasiano,ヴェスパシアーノ
araçatuba,アラサトゥバ
araguaína,アラグアイーナ
progresso,プログレッソ
timon,チモン
navegantes,ナヴェガンテス
humaitá,ウマイタ
aporá,アポラー
brotas,ブロタス
macaúbas,マカウバス
ostras,オストラス
paço,パーソ
lumiar,ルミアル
irecê,イレセー
guadalupe,リオデジャネイロ
ipiranga,イピランガ
caiapós,カイアポゾク
terenas,テレナゾク
maraã,マラアン
igarassu,イガラス
botocudos,クレナックゾク
cametá,カメタ
toméaçu,トメアスー
araguaia,アラグアイア
largo,ラルゴ
urupema,ウルペマ
brahma,ブラフマー
papel,パペル
jaguaruna,ジャグァルナ
botafogo,ボタフォゴ
aragoiânia,アラゴイアニア
aripuanã,アリプアナン
correntina,コヘンチナ
assu,アスー
goiana,ゴイアナ
constant,コンスタン
barcarena,バルカレナ
esplanada,エスプラナーダ
nobres,ノブレス
arapoti,アラポチ
jaguarari,ジャグアラリ
tenharins,テンハリム
veranópolis,ヴェラノポリス
coité,コイテ
confresa,コンフレサ
riachinho,リアチーニョ
comando,コマンド
vermelho,ヴェルメーリョ
parauapebas,パラウアペバス
arenápolis,アレナポリス
itaparica,イタパリカ
minaçu,ミナスー
calvo,カウヴォ
ibiquera,イビケラ
pato,パト
barreirinha,バヘイリーニャ
complexo,コンプレクソ
alemão,アレマン
doca,ドカ
igaraçu,イガラス
cambé,カンベー
belmonte,ベウモンチ
piranhas,ピラーニャス
bezerros,ベゼロス
mâncio,マンシオ
pintópolis,ピントポリス
juara,ジュアラ
naque,ナーケ
selvíria,セルヴィリア
araucária,アラウカーリア
era,エラ
paranavaí,パラナシュウ
neópolis,ネオポリス
prados,プラドス
guaratuba,グアラトゥバ
jandaia,ジャンダイア
oriximiná,オリシミナ
tempo,テンポ
espera,エスペラ
feliz,フェリース
matupá,マトゥパ
campanha,カンパーニャ
primavera,プリマヴェーラ
leste,レステ
itacarambi,イタカランビ
unaí,ウナイ
sorriso,ソヒーゾ
express,エクスプレス
gurupi,グルピ
itabaiana,イタバイアーナ
tourinho,トウリーニョ
joanésia,ジョアネージア
lagarto,ラガルト
frutal,フルタル
bacabal,バカバル
xingu,シング
ibiraçu,イビラク
janaúba,ジャナウバ
tailândia,タイランジア
ferros,フェロス
marau,マラウ
fronteiras,フロンテラス
dores,ドーレス
turvo,トゥルボ
capinópolis,カピノーポリス
sombrio,ソンブリーユ
itanhomi,イタンホミ
tapera,タベーラ
senhor,セニョール
erval,エルヴァル
seco,セコ
forquilhinha,フォルキリーニャ
formoso,フォルモーゾ
seberi,セベリ
brejo,ブレージョ
quixadá,キシャダ
açucena,アスセーナ
aquidauana,アキダウアーナ
pedra,ペドラ
soledade,ソレダーデ
bicas,ビカス
maués,マウエース
itapeva,イタペーヴァ
cajazeiras,カジャゼイラス
alpercata,アルペルカータ
paranaíba,パラナイバ
jacarezinho,ジャカレジーニョ
fé,フェ
candelária,カンデラーリア
redenção,レデンサン
balsas,バルサス
agulhas,アグーリャス
negras,ネーグラス
passaredo,パッサレド
linhas,リンハス
aéreas,アエレアス
macaíba,マカイバ
carangola,カランゴラ
atalaia,アタラヤ
horizonte,オリゾンテ
pacatuba,パカチュパ
tubarão,トゥバラン
pentecoste,ペンテコステ
rubiataba,フビアターバ
moto,モト
club,クルブ
potiraguá,ポチラグア
buri,ブリ
queluz,ケルス
brinco,ブリンコ
princesa,プリンセーザ
bebedouro,ベベドウロ
sento,セント
sé,セー
planaltino,プラナルティーノ
matsés,マツェゾク
marcionílio,マルシオニーリオ
aquiraz,アキラス
carauari,アラウアリ
línguas,タカナ
panotacanas,パノゴゾク
formatinho,ダイジェストサイズ
miranhas,ボラゾク
primeiro,プリメイロ
capital,キャピタル
calapalos,カラパロ
corubos,コルボゾク
olivença,オリベンサ
barreirinhas,バヘリーニャス
ocara,オカラ
maracanaú,マラカナウー
agir,アギール
uaiuais,ワイワイゾク
warner,ワーナー
channel,チャンネル
maracás,マラカース
ituberá,イトゥベラ
mercosul,メルコスル
umburanas,ウンブラナス
jornal,ジョルナル
grajaú,グラジャウー
pau,パウ
maranguape,マラングアペ
agência,アジェンシア
itarana,イタラーナ
guarany,グアラニー
riosão,サンパウロ
juruena,ジュルエナ
agreste,アグレステ
nickelodeon,ニコロデオン
veja,ヴェージャ
juína,ジュイナ
guiomard,ギオマルド
eucaliptos,エウカリプトス
companhia,カンパーニャ
antarctica,アンタークティカ
acreano,アクレアーノ
editora,エディトーラ
abril,アブリウ
amazónia,アマゾニア
murici,ムリシ
sertãozinho,セルタンジーニョ
tatuí,タトゥイ
bloco,ブロコ
carnavalesco,アフロ
planaltina,プラナルティナ
iramaia,イラマイア
itarantim,イタランチン
pelourinho,ペロウリーニョ
ibiúna,イビウーナ
juventude,ジュベントゥージ
cidadania,シャカイジンミントウ
irati,イラチ
touros,トウロス
camapuã,カマプアン
volkswagen,フォルクスワーゲン
caminhões,カミニョイス
ônibus,オニブス
eunápolis,エウナポリス
coruripe,コルリピ
palace,パラス
ipojuca,イポジュカ
itaiópolis,サンタカタリーナシュウ
nitazoxanida,ニタゾキサニド
capanema,カパネマ
letras,レトラス
capão,カポン
itapipoca,イタピポカ
periquito,ペリキート
choque,ショキ
ladário,ラダーリオ
jitaúna,ジタウナ
feminino,フェミニーノ
cordeiros,コルデイロス
anastácio,アナスタシオ
vail,ヴァイル
águia,アギア
recreativo,レクレアチーヴォ
social,ソシアル
bahiano,バイアーノ
tênis,テニス
cricket,クリケット
lacerdópolis,ラセルドポリス
brejões,ブレジョエス
restinga,レスティンガ
guapiara,グアピアーラ
alagoinhas,アトレチコ
pilões,ピロンエス
pilar,ピラル
coronelismo,コロネリズモ
videira,ヴィデイラ
gávea,ガヴェア
commercio,コンメルシオ
guaramirim,グァラミリン
majestoso,マジェストソ
correio,コレイオ
braziliense,ブラジリエンセ
cariri,カリリ
estreito,エストレイト
mercado,メルカード
modelo,モデーロシジョウ
piedade,ピエダージ
carpina,カルピーナ
nossa,ノッサ
senhora,セニョーラ
football,フットボール
and,アンド
athletic,アスレティック
hora,オラ
queimados,ケイマードス
mateiros,マテイロス
água,アーグァ
oeiras,オエイラス
potiguaras,ポティグアラゾク
globonews,グロボニュース
flórida,フロリダ
universitário,ウニヴェルシターリオ
pedrossian,ペドロシアン
jaconi,ジャコーニ
tabira,タビラ
avante,アバンテ
correios,ブラジルユウセイトウキョク
fast,ファスト
coariense,コアリエンセ
abadá,アバダ
guaíra,グアイラ
ulrico,ウルリコ
mursa,ムルサ
arraias,アライアス
podemos,ポデモス
tinto,チント
inhumense,イニュメンセ
olímpica,オリンピカ
uraí,ウライ
cambará,カンバラ
tarianas,タリアナゾク
ypiranga,イピランガ
zero,ゼロ
claras,クララス
paiçandu,パイサンドゥ
tombos,トンボス
recanto,レカント
emas,エマス
cornélio,コルネーリオ
procópio,プロコーピオ
astorga,アストルガ
porecatu,パラナシュウ
pirapemas,ピラペマス
apodi,アポジ
ourilândia,オウリランディア
xinguara,シングァラ
chá,マテ
mate,コシード
sol,ソル
bonsucesso,ボンスセッソ
cerejeiras,セレジェイラス
barata,バラタ
rodovia,ロドヴィア
canasvieiras,カナスヴィエイラス
grandes,グラン
sengés,センジェス
moleque,モレケ
dois,ドイス
vizinhos,ヴィジーニョス
cianorte,シアノルテ
chapadão,シャパドン
missões,ミソエンス
marumbi,マルンビ
gamboa,ガンボア
boiuna,ボイウナ
itaocara,イタオカーラ
bandeirante,タグアチンガ
vegetal,ヴェジタル
guará,グアラ
