lech,레흐,reheu
grunwald,그룬발트,geurunbalteu
olsztynek,올슈티네크,olsyutinekeu
zwierzyniec,즈비에지니에츠,jeubiejinieceu
krzyżtopór,크리지즈토푸르,keurijijeutopureu
suchedniów,수헤드니우프,suhedeuniupeu
kolegium,유럽,yureob
europejskie,대학교,daehaggyo
modlin,공항,gonghang
zagłębia,자그웽비아,jageuwengbia
łososina,워소시나,weososina
polskosłowacka,국경,guggyeong
polskoczeska,국경,guggyeong
orkiestra,바르샤바,bareusyaba
symfoniczna,국립,gugrib
filharmonii,필하모니,pilhamoni
narodowej,관현악단,gwanhyeonagdan
szczeciński,대학교,daehaggyo
lubelskie,루벨스키에,rubelseukie
kultura,폴란드의,polrandeuyi
prężynka,프렝진카,peurengjinka
domaszków,도마슈쿠프,domasyukupeu
medyka,메디카,medika
nałęczów,나웽추프,nawengcupeu
niepruszewo,니에프루셰보,niepeurusyebo
konina,코니나,konina
polskolitewska,국경,guggyeong
białowieża,비아워비에자,biaweobieja
listy,음악,eumag
przebojów,차트,cateu
lanckorona,란츠코로나,ranceukorona
tyniec,트니에츠,teunieceu
mały,마우으,maueu
przeźmierowo,프셰지미에로보,peusyejimierobo
lusowo,루소보,rusobo
polskobiałoruska,국경,guggyeong
pełkinie,페우키니에,peukinie
polskoukraińska,국경,guggyeong
żabka,자브카,jabeuka
wylatowo,블라토보,beulratobo
antoniówka,안토니우프카,antoniupeuka
kozłówka,코주프카,kojupeuka
baranowo,바라노보,baranobo
brodnia,브로드니아,beurodeunia
górna,구르나,gureuna
chojnata,호이나타,hoinata
chochołów,호호우프,hohoupeu
sułoszowa,수워쇼바,suweosyoba
emilcin,에밀친,emilcin
domasław,도마스와프,domaseuwapeu
grudza,그루자,geuruja
ogrodniczki,오그로드니치키,ogeurodeuniciki
bobrówka,보브루프카,bobeurupeuka
koninki,코닌키,koninki
kośmin,코시민,kosimin
małuszów,마우슈프,mausyupeu
potrzanowo,포트샤노보,poteusyanobo
teyon,테이온,teion
wikidot,위키닷,wikidas
sędziejowice,셍지에요비체,sengjieyobice
więckowice,비엥츠코비체,biengceukobice
turbacz,투르바츠,tureubaceu
wysocko,비소츠코,bisoceuko
żernica,제르니차,jereunica
zborowo,즈보로보,jeuborobo
świebodów,시비에보두프,sibiebodupeu
fundacja,노틸러스,notilreoseu
nautilus,재단,jaedan
strzeżenice,스트셰제니체,seuteusyejenice
wartogłowiec,바르토그워비에츠,bareutogeuweobieceu
ambasada,주,ju
hiszpanii,폴란드,polrandeu
polsce,대사관,daesagwan
lewiatan,레비아탄,rebiatan
partynice,파르트니체,pareuteunice
porębianka,포렝비안카,porengbianka
instytut,국제,gugje
spraw,관계,gwangye
międzynarodowych,연구원,yeonguweon
towarzystwo,화학,hwahag
chemiczne,협회,hyeobhoe
polskoszwedzka,국경,guggyeong
polskoduńska,국경,guggyeong
polskoniemiecka,국경,guggyeong
małopolskie,철도,ceoldo
grupa,군비,gunbi
zbrojeniowa,그룹,geurub
obrony,수호,suho
demokracji,위원회,wiweonhoe
teren,노비송치,nobisongci
skansenu,민속촌,minsogcon
huragan,폭풍,pogpung
alex,알렉스,alregseu
zabytki,소스노비에츠의,soseunobieceuyi
sosnowcu,기념물,ginyeommul
eunice,유니스,yuniseu
warsaw,바르샤바,bareusyaba
bielskobiala,비엘스코비아와,bielseukobiawa
europe,유럽,yureob
miejski,미에이스키,mieiseuki
usedom,우제돔,ujedom
island,섬,seom
