lionel,リオネル
inguscio,イングーショ
treccani,トレッカーニ
marramao,マラマオ
staiola,スタヨーラ
sarti,サルティ
allegrini,アレグリーニ
nannucci,ナンヌッチ
liviero,リヴィエロ
bonasone,ボナソーネ
battiferri,バッティフェリ
bonuglia,ボヌリア
calvesi,カルヴェージ
moavero,モアベロ
milanesi,ミラネージ
castaldi,カスタルディ
giovita,ジョヴィータ
garavaglia,ガラヴァリア
spalla,スパラ
ighli,イグリ
vannucchi,ヴァンヌッキ
zenatello,ゼナテッロ
arieti,アリエティ
bedoli,ベドリ
addobbati,アドバッティ
geloso,ジェロソ
fois,フォイス
olivadoti,オリヴァドーティ
santesso,サンテッソ
paramatti,パラマッティ
dudovich,ドゥドヴィック
vigiani,ヴィジャーニ
cocconi,コッコーニ
nadya,ナディア
ochner,オホナー
lipizer,リピツァー
lerda,レルダ
natalino,ナタリーノ
beggio,バッジオ
artipoli,アルティポリ
sulfaro,スルファーロ
vari,ヴァリ
fiorello,フィオーレロ
introvigne,イントロヴィーニャ
lotar,ヘドマン
virgili,ヴィルジーリ
wilson,ウィルソン
infascelli,インファセッリ
nerio,ネリオ
boem,ボエム
zoderer,ツォーデラー
samale,サマーレ
ascentis,アシェンティス
romani,ロマーニ
mannoia,マンノイア
campari,カンパーリ
tavoni,タヴォーニ
desideri,デジデーリ
migidio,ミジーディオ
bourifa,ブーリファ
valiani,ヴァリアーニ
fanucci,ファヌッチ
caroli,カーロリ
pinuccio,ピヌッチオ
ardia,アルディア
barazzutti,バラズッティ
ninni,ニンニ
bruschetta,ブルスケッタ
silverio,シルヴェリオ
zoratto,ゾラット
camplone,カンプローネ
fuscagni,フスカニ
scapino,スカピーノ
cardillo,カルディッロ
scarabello,スカラベッロ
dall'antonia,ダッラントニア
martiradonna,マルティラドンナ
ludovica,ルドヴィカ
jules,ユレス
manfredo,マンフレッド
tafuri,タフーリ
cantarutti,カンタルッティ
aligi,アリギ
sassu,サッス
néstor,ネストール
mezzanotte,メザノット
ginevra,ジネヴラ
agostoni,アゴストーニ
ronchini,ロンキーニ
golisano,ゴリザーノ
bortoluzzi,ボルトルッツィ
kolosimo,コロシモ
buratti,ブラッティ
fontanelli,フォンタネッリ
tartaglia,タルタリア
prà,プラ
tumi,トゥミ
nicolangelo,ニコランジェロ
trussardi,トラサルディ
pierini,ピエリーニ
tanino,タニノ
degrassi,デグラッシ
louis,ルイス
scarmolin,スカーモリン
vasile,ヴァジーレ
sgalambro,スガランブロ
goggia,ゴッジア
jimmy,ジミー
pierangelo,ピエランジェロ
garegnani,ガレニャーニ
origoni,オリゴーニ
cerrato,チェラート
belluschi,ベルスキ
coltellacci,コルテラッチ
regnoli,レニョーリ
dami,ダミ
spaggiari,スパジアリ
civirani,チヴィラーニ
scaccianoce,スカッチャノーチェ
cadelo,カデロ
burruni,ブルニ
scaduto,スカドゥート
ventzislav,ベンツィスラフ
rizzotto,リッツォット
campanis,キャンパニス
one,カルパーニ
carobbi,カロッビ
danieli,ダニエリ
faria,ファリア
rimoldi,リモルディ
adelaide,アデライデ
ametis,アメティス
sibaldi,シバルディ
bordoni,ボルドーニ
cottignola,コッティニョーラ
tarantola,タラントラ
carignani,カリニャーニ
tarchi,タルキ
pinizzotto,ピニツォット
silvani,シルヴァーニ
sorbelli,ソルベリ
creti,クレティ
pinto,ピント
saponangelo,サポナンジェロ
dominissini,ドミニッシーニ
tosca,トスカ
riccitelli,リッチテッリ
stoica,ストイカ
fabrice,ファブリス
pamela,パメラ
iannuzzi,イアンヌッツィ
bertolaso,ベルトラーゾ
laudec,ラウデック
secco,セッコ
rosato,ロサト
recalcati,レカルカティ
intini,インティニ
marengoni,マレンゴーニ
bernieri,ベルニエーリ
cimatori,チマトリ
crosetto,クロセット
magnone,マニョーヌ
pavanello,パヴァネッロ
latella,ラテラ
percassi,ペルカッシ
frassati,フラッサーティ
mantica,マンティコ
melotti,メロッティ
dell'aquila,デッラクィラ
fangareggi,ファンガレッジ
magnolfi,マグノルフィ
josh,ジョシュ
brancucci,ブランクッチ
gallea,ガッレア
aida,アイーダ
ferriani,フェッリアーニ
badaloni,バダローニ
mieli,ミエリ
zareschi,ザレスキ
soncin,ソンチン
minniti,ミンニティ
tanio,タニオ
boccia,ボッチャ
caruzzo,カルッソ
vannino,ヴァニーノ
piera,ピエラ
esposti,エスポスティ
brocherel,ブロチェレル
benjamin,ベンジャミン
jager,ヤーゲル
bellillo,ベルリッロ
carusi,カルージ
procaccini,プロカッチーニ
pozzebon,ポッツェボン
faà,ファ
grazzini,グラッツィーニ
kaine,ケイン
robertson,ロバートソン
parmeggiani,パルメッジャーニ
franchini,フランキーニ
kristian,クリスティアン
sbaragli,ズバラーリ
bramani,ブラマニー
müller,ミュラー
dolcetti,ドルチェッティ
barbagallo,バルバガッロ
marzolla,マルツォッラ
teresio,テレージオ
ferraroni,フェッラローニ
terisio,テリージョ
pignatti,ピニャッティ
fasana,ファサナ
desmond,デズモンド
n'ze,エンゼ
tebaldo,ティボルト
gore,ゴア
dogliotti,ドリオッティ
aminta,アミンタ
migliari,ミグリアリ
saccomani,サッコマーニ
agnello,アニェーロ
manzotti,マンツォッティ
majeroni,マイェローニ
rongione,ロンジョーネ
camera,カーメラ
preziosa,プレッツィオーザ
martellotta,マッテロッタ
amir,アミール
issaa,イッサ
callisto,カッリスト
loredano,ロレダノ
ugolini,ウゴリーニ
oleg,オレグ
caetani,カエターニ
anchise,アンキーゼ
cittadini,チッタディーニ
camélia,カメリア
liparoti,リパロティ
tommasini,トマシーニ
ninchi,ニンキ
crivelli,クリヴェッリ
wackermann,ワッケルマン
festuccia,フェストゥッチャ
rangoni,ランゴーニ
penni,ペンニ
vidussoni,ヴィドゥソーニ
recano,レカーノ
adele,アデレ
faccio,ファッチョ
adelio,アデーリオ
terraroli,テッラローリ
bruschi,ブルスチ
busà,ブザ
adelchi,アデルキ
ivancich,イヴァンチッチ
orquera,オルケーラ
ramella,ラメッラ
margadonna,マルガドンナ
canola,カノーラ
libretti,リブレッティ
aragozzini,アラゴッツィーニ
baracco,バラッコ
pipolo,ピポロ
cavallari,カヴァラーリ
ichino,イチノ
manoa,マノア
vosawai,ヴォサワイ
ierse,イルセ
micantoni,ミカントーニ
guidarini,グィダリーニ
pacione,パチョーネ
petrone,ペトローネ
mancassola,マンカッソーラ
agata,アガタ
flori,フローリ
guarducci,ガルデュッシ
laurent,ローラン
maccone,マッコーネ
romanelli,ロマネッリ
messeri,メッセーリ
sabiu,サビウ
pierro,ピエロ
carollo,カローロ
borsi,ボルシ
barravecchia,バラベッキア
zappelli,ザッペリ
ferrin,フェリン
carpo,カルポ
negrari,ネグラーリ
calza,カルツァ
saccà,サッカ
rauch,ラウク
purgatori,プルガトーリ
audetto,オーデット
cucciolini,クッチオーリ
marko,マルコ
stanojevic,スタノイェヴィッチ
dariya,ダリヤ
derkach,デルカシュ
roncato,ロンカート
turoldo,トゥロルド
ruspoli,ルスポリ
dallan,ダラン
manenti,マネンティ
salvetti,サルヴェッティ
corbelli,コルベッリ
tentoni,テントーニ
fabian,ファビアン
aisha,アイシャ
aladino,アラディーノ
masolino,マゾリーノ
liberatori,リベラトーレ
scanzi,スカンジ
tidona,ティドナ
romaldo,ロマルド
giurgola,ジョゴラ
alpagonovello,アルパゴノヴェッロ
calì,カリ
sassetti,サセッティ
edvige,エドヴィージェ
abbrescia,アッブレーシャ
giampietro,ジャンピエロ
cuttitta,クッティッタ
micheli,ミケーリ
biasini,ビアジーニ
elda,エルダ
luzio,ルーツィオ
barbini,バルビーニ
melillo,メリロ
cianca,シアンカ
melchiori,メルチオリ
baldoni,バリドニ
gallitti,ガッリッティ
kekko,ケッコ
fornarelli,フォルナレッリ
fortunati,フォーチュナティ
gradi,グラディ
pellicori,ペッリコーリ
pesci,ペシ
pertusi,ペルトゥシ
pansa,パンサ
medioli,メディオーリ
quarta,クアルタ
mattè,マテ
esmeralda,エスメラルダ
calabretta,カラブレッタ
paratici,パラティチ
sperlì,スペルリ
moneta,モネータ
mazzucato,マッツカート
rigotti,リゴッティ
sperduti,スペルドゥーティ
tiberi,ティベリ
negrin,ネグリン
fanfulla,ファンフッラ
casimirri,カシミッリ
marcorè,マルコレ
tersigni,テルシニ
olimpia,オリンピア
carlisi,カルリージ
orzan,オルッアン
matano,マタノ
anile,アニーレ
ortolano,オルトラーノ
bertallot,ベルタロット
pezzotta,ペッツォッタ
pala,パーラ
radius,ラディウス
sassanelli,サッサネッリ
scalzone,スカルツォーネ
panebianco,パーネビアンコ
scarchilli,スカルキッリ
luiso,ルイーゾ
tarchiani,タチアーニ
vanoli,ヴァノーリ
naldi,ナルディ
giachetti,ジャケッティ
fortunino,フォルトゥニーノ
matania,マタニア
latzo,ラッツォ
pinardi,ピナルディ
testasecca,テスタセッカ
grossi,グロッシ
musumeci,ムスメキ
smalto,スマルト
gilardi,ジラルディ
mazzariol,マッザリオル
mezzapesa,メザペーザ
angiolino,アンジョリーノ
gasparini,ガスパリーニ
kravos,クラヴォス
mannino,マンニーノ
aniello,アニエッロ
mangini,マンジーニ
maietta,マイエッタ
tagliaventi,タグリアヴェンティ
campori,カンポリ
anni,アンニ
zandron,ザンドロン
césar,セザール
arruda,アルーダ
parente,パレンテ
foglietta,フォリエッタ
dell'otto,デルオットー
regina,レジーナ
bufi,バフィ
dalton,ダルトン
tisci,テッィシ
sandri,サンドリ
antiniska,アンティニスカ
nemour,ネムール
richard,リチャード
benedict,ベネディクト
favella,ファヴェッラ
tilgher,ティルゲル
ross,ロス
cheever,チーバー
parretti,パレッティ
pallucchini,パルッキーニ
siviero,シビエロ
brovarone,ブロヴァローネ
generoso,ジェネローソ
noschese,ノスケーゼ
alina,アリナ
falsini,ファルシーニ
tiranti,ティランティ
guadagno,グアダーニョ
pea,ペア
murgita,ムルジータ
jacolino,ヤコリーノ
mannuzzu,マンヌッツ
romoli,ロモーリ
alvinio,アルヴィーノ
misciano,ミスキアーノ
amarro,アマッロ
fiamberti,フィアンベルティ
gorli,ゴルリ
salvioni,サルヴィオーニ
pernice,ペルニーチェ
palmisano,パルミサノ
simmonds,シモンズ
aguzzi,アグッツィ
steni,ステーニ
daffini,ダフィーニ
donini,ドニーニ
barberio,バルベリオ
stefanutti,ステファヌッティ
morroni,モロニ
palombi,パロンビ
salfa,サルファ
nasca,ナスカ
prestipino,プレスティピーノ
annio,アニオ
bignardi,ビナルディ
fontani,フォンターニ
colacevich,コラチェビッチ
caja,カーヤ
breviario,ブレヴィアリオ
lista,リスタ
bellieni,ベリーニ
nava,ナーヴァ
iuorio,ルオリオ
meli,メーリ
liskova,リスコヴァ
cogni,コグニ
zanatta,ザナッタ
huckstep,ハックステップ
perazzoli,ペラッツォーリ
sangiorgi,サンジョルジ
schneck,シュネック
casoni,カソーニ
bacciocchi,バッチョッキ
frugoni,フルゴーニ
baldacci,バルダッチ
rogoli,ロゴリ
christiane,クリスチャン
filangieri,フィランジェリ
cicchetti,チッケッティ
cifariello,チファリエッロ
aura,オーラ
bonini,ボニーニ
buonomo,ブオノーモ
borghesi,ボルゲージ
cini,チーニ
puggioni,プッジョーニ
moscatelli,モスカテーリ
turati,トゥラーティ
boccadoro,ボッカドーロ
chatrian,シャトリアン
auretta,アウレッタ
gay,ガイ
falconio,ファルコーニオ
vit,ヴィット
colombara,コロンバーラ
babette,バベッテ
mejo,メイヨ
cupisti,クピスティ
cavalcanti,カヴァルカンティ
iodice,イオディーチェ
montaldi,モンタルディ
gerardi,ジェラルディ
marsani,マルサーニ
danpa,ダンパ
franci,フランチ
donida,ドニーダ
d'antonio,ダントニオ
bandiera,バンドニエラ
cassini,カッシーニ
giraudo,ジラウド
gabardini,ガバルディーニ
dardano,ダルダーノ
muscio,ムーショ
marceglia,マルチェッラ
marasco,マラスコ
buzzolan,バズラン
cantarelli,カンタレッリ
capponi,カポーニ
maccanico,マッカニコ
marsina,マルシナ
linati,リナーティ
lorenzin,ロレンツィン
giustini,ジュスティーニ
cecchetto,チェチェット
mazzini,マッツィーニ
tonani,トナーニ
belen,ベレン
macchitella,マッキテッラ
bebo,ベボ
storti,ストルティ
dolci,ドルチ
ermelli,エルメリ
mazzarella,マッツァレッラ
foscarini,フォスカリーニ
vigna,ヴィーニャ
monni,モンニ
maioli,マイオーリ
pes,ペス
gioè,ジョエ
pierfederici,ピエルフェデリチ
mattone,マットーネ
piras,ピラス
garbolino,ガルボリーノ
iacopini,イアコピニ
ottoni,オットーニ
micillo,ミチッロ
salamano,サラマーノ
pinato,ピナート
salines,サリネス
debora,デボラ
magnaghi,マグナジー
serracchiani,セラッキアーニ
clelia,クレリア
tamberlani,タンバーラーニ
felberbaum,フェルバーバウム
teodorani,テオドラーニ
trionfi,トリオンフィ
bianca,ビアンカ
sanfilippo,サンフィリッポ
bindo,ビンド
taldo,タルド
clio,クリオ
zammatteo,ザマテオ
detto,デット
vidusso,ヴィドゥッソ
cochi,コーキ
ponzoni,ポンゾーニ
blasco,ブラスコ
giurato,ジュラート
d'ajeta,ダイエータ
barilli,バリッリ
gaipa,ガイパ
natoli,ナトリ
beguinot,ベギノット
dhia,ディーア
dradi,ドラディ
carmen,カルメン
scarpitta,スカルピッタ
perbellini,ペルベッリーニ
fortuna,フォルトゥーナ
brenno,ブレンノ
brizio,ブリツィオ
montinaro,モンティナーロ
cinieri,シニエリ
brigitta,ブリギッタ
brunella,ブルネラ
gautieri,ガウティエリ
casteiner,カステイネル
brancia,ブランチャ
cecco,チェッコ
bonanotte,ボナノッテ
márquez,マルケス
canfora,カンフォーラ
malgioglio,マルジョーリオ
dodi,ドディー
seghizzi,セギッツィ
moltisanti,モルティサンティ
brivonesi,ブリヴォネージ
dazzi,ダッツィ
tallone,タローネ
bulgarini,ブルガリーニ
dolores,ドロレス
chiodi,チオーディ
dadamaino,ダダマイーノ
breschi,ブレスキ
mazzotta,マツォッタ
equini,エクィーニ
edo,エド
dane,デイン
diliegro,ディリエグロ
piperno,ピッペルノ
nevola,ネヴォラ
raccuglia,ラックリア
albinati,アルビナティ
praticò,プラティコ
job,ヨブ
caianiello,カイアニエッロ
carri,カッリ
checco,ケッコ
calisti,カリスティ
stoppacciaro,ストップパッチャロ
zalone,ザローネ
brunori,ブルノーリ
sas,サス
dominik,ドミニク
fischnaller,フィッシュナラー
edy,エディ
campagnoli,カンパニョーリ
giorgini,ジョルジーニ
bungaro,ブンガロ
winspeare,ウィンスピア
peressutti,ペレスチッティ
menozzi,メノッツィ
mungo,ムンゴ
tattoli,タットリ
vignaroli,ヴィニャローリ
careddu,カレッドゥ
roselli,ロゼッリ
scagnetti,スカニェッティ
manfroi,マンフローイ
maggioni,マギオーニ
saraceni,サラセニ
corona,コロナ
cotta,コッタ
pizzocchi,ピッツォッキ
cioccio,チョッチョ
zamarion,ザマリオン
dory,ドリー
cei,セイ
castori,カストーリ
vaime,ヴァイメ
mioni,ミオーニ
enza,エンツァ
sampò,サンポ
ghiaurov,ギャウロフ
ferronao,フェッロナオ
saccomanni,サッコマンニ
brown,ブラウン
lucci,ルッキ
entics,エンティックス
schiavo,スキアーヴォ
lomanto,ロマント
arca,アルカ
mussida,ムッシーダ
aldi,アルディ
cerusico,セルシコ
fanny,ファニー
marchiò,マルキーオ
gambaro,ガンバロ
provenzale,プロベンツァーレ
faso,ファソ
fatima,ファチマ
trotta,トロッタ
fiorucci,フィオルッチ
guerzoni,グエルツォーニ
robutti,ロブッティ
eolo,エオロ
capritti,カプリッティ
sciarappa,シャラッパ
tarascio,タラシオ
chieffi,シフィ
scandurra,スカンドゥッラ
prosperi,プロスペリ
carrozzini,カロッツィーニ
eliodoro,エリオドロ
erica,エリカ
mou,モウ
isoardi,イゾアルディ
vincenti,ヴィンチェンティ
cola,コーラ
erasmo,エラズモ
recami,レカーミ
sportelli,スポルテッリ
vazzoler,ヴァッツォレール
gregoraci,グレゴラチ
franz,フランツ
nargi,ナルギ
venanti,ヴェナンティ
fredo,フレド
ermenegildo,エルメネジルド
colpi,フェデリコ
ernestino,エルネスティーノ
michelazzo,ミケラッツォ
emanuel,エマヌエル
rieder,リーダー
falaschi,ファラスキ
pacotto,パコット
merisi,メリージ
frigeri,フリジェッリ
cirilli,チリッリ
pesaresi,ペザレージ
tontodonati,トントドナティ
morlacchi,モルラッキ
inverni,インヴェルニ
jacomoni,ジャコモニ
zardi,ザルディ
fedez,フェデス
fadini,ファディーニ
sciorilli,ショリルリ
lorusso,ロルッソ
zambianchi,ザンビアンキ
trojani,トロジャニ
morganti,モルガンティ
frattari,フラッタリー
giorgelli,ジョルジェッリ
farinon,ファリノン
pallotta,パッロッタ
geri,ジェリ
parrino,パッリーノ
arnò,アルノ
palmieri,パルミエーリ
fernanda,フェルナンダ
pozzoli,ポッツォーリ
polverelli,ポルヴェレーリ
tossio,トッショ
pastura,パストゥーラ
eugenia,エウジェニア
emita,エミータ
frigato,フリガート
savio,サヴィオ
emmerich,エメリッヒ
tarabocchia,タラボッキア
vignanelli,ヴィニャネッリ
masini,マシーニ
fernandi,フェルナンディ
cometti,コメッティ
navarini,ナヴァリーニ
emy,エミー
gangchen,ガンチェン
tulku,トゥルク
rinpoche,リンポチェ
gara,ガーラ
galatea,ガラテア
ranzi,ランツィ
gegia,ジェージャ
pintore,ピントレ
gea,ジェア
evi,エヴィ
maltagliati,マルタリアーティ
zampaglione,ザンパグリオン
nigro,ニグロ
bonaccorti,ボナコールティ
tasso,タッソ
gelain,ゲライン
arcalli,アルカッリ
altieri,アルティエリ
scelzo,スケルツォ
bagutti,バグッティ
bixio,ビクシオ
fiorentini,フィオレンティーニ
sarnelli,サルネッリ
georgia,ジョージア
luzi,ルチ
cerulli,チェルッリ
gramillano,グラミラーノ
caforio,カフォーリオ
sancrotti,サンクロッティ
calabrese,カラブレーゼ
giovannini,ジョバンニーニ
cianchetti,チャンチェッティ
barovero,バロヴェーロ
arras,アラス
rusconi,ルスコーニ
corticelli,コルティチェッリ
ghino,ジノ
svidercoschi,スヴィダコスッチ
gnoli,ニョリ
giacobini,ジャコビニ
becattini,ベカッティーニ
donatelli,ドナテッリ
mannella,マンネッラ
santercole,サンテルコーレ
gozzi,ゴッティ
quilici,クイリチ
remondina,レモンディーナ
macellari,マチェッラーリ
gratta,グラッタ
giampieretti,ジャンピエレッティ
faldini,ファルディーニ
gazzoni,ガッツォーニ
frascara,フラスカーラ
genna,ジェンナ
maiolini,マイオリーニ
abete,アベーテ
chiaramello,キャラメッロ
vaghi,ヴァギ
mattera,マッテラ
suardo,スアルド
barigozzi,バリゴッツィ
basili,バシリ
stevan,ステヴァン
bongianni,ボンギアンニ
perriera,ペッリエーラ
giambattista,ジャンバッティスタ
bo,ボー
saccarola,サッカロラ
frondini,フロンディーニ
galdiolo,ガルディオーロ
trasselli,トラッセリ
careccia,カレッチャ
salghetti,サルゲッティ
drioli,ドリリ
loconsole,ロコンソレ
pettine,ペッティネ
peverelli,ペヴェレッリ
scifoni,シフォーニ
saracco,サラッコ
gianfelice,ジャンフェリーチェ
imparato,インパラート
ceragioli,セラジョッリ
porpora,ポルポラ
palatucci,パラトゥッチ
marchioro,マルキオーロ
zarfati,ザルファーティ
forattini,フォラッティーニ
mannajuolo,マンナジュオロ
pinori,ピノリ
testori,テストーリ
vavassori,ヴァヴァッソリ
kienerk,キーネルク
visentin,ヴィセンティン
ginex,ジーネックス
scienza,シエンツァ
monaldi,モナルディ
lupano,ルパノ
pannone,パノーン
burinato,ブリナート
giselda,ジゼルダ
castrini,カストリーニ
orlandini,オルランディーニ
piromalli,ピロマーリ
arcopinto,アルコピント
soleri,サッカ
pappalettera,パッパレッテラ
marchesi,マルケージ
scopelliti,スコペッリーティ
grassadonia,グラッサドニア
querio,クエリオ
isabel,イザベル
russinova,ルッシノーヴァ
tavarelli,タヴァレッリ
morozzi,モロッツィ
perinetti,ペリネッティ
elettra,エレットラ
gorietti,ゴリエッティ
lamacchi,ラマッキ
boschetti,ボスケッティ
gabetti,ガベッティ
lanciani,ランチアーニ
sordo,ソルド
petriccione,ペトリッチオーネ
insolera,インソラ
zan,ザン
gentilini,ジェンティリーニ
bacchi,バッキ
tomassi,ミケーリ
cotroneo,コトロネーオ
samorini,サモリーニ
terraneo,テッラーネオ
melosi,メロージ
taccola,タッコラ
stirano,スティラーノ
terzoli,テルツォーリ
brogi,ブロージ
iaconi,イアコーニ
morte,モルテ
giò,ジオ
rapattoni,ラパトーニ
giusi,ジウージ
raspani,ラスパニ
dandolo,ダンドロ
ivana,イヴァナ
pulga,プルガ
forges,フォルジェス
davanzati,ダヴァンツァーティ
marescotti,マレスコッティ
gaude,ゴード
antinori,アンティノーリ
goran,ゴラン
volarević,ヴォラレヴィッチ
donnini,ドンニーニ
migneco,ミニェコ
minoletti,ミノレッティ
minervini,ミネルヴィーニ
nuciari,ヌチャーリ
balella,バレッラ
pediconi,ペジコニ
boulanger,ブーランジェ
mascia,マシーア
galvani,ガルバーニ
scarano,スカーアーノ
guerino,グエリーノ
amari,アマーリ
guendalina,グエンダリーナ
salimei,サリメイ
giannina,ジャンニーナ
fenomeno,フェノメーノ
modio,モディオ
calvarese,カルバレーゼ
mcshane,マクシェイン
antonicelli,アントニチェッリ
capalbo,カパルボ
borchi,ボルキ
gianugo,ジャンウーゴ
polesello,ポレゼッロ
gianvito,ジャンヴィト
misuraca,ミズラーカ
zerilli,ゼリッリ
sammarchi,サンマルキ
jonis,ジョニス
bascir,バシル
joy,ジョイ
saltarelli,サルタレッリ
gilda,ジルダ
camuncoli,カムンコリ
gildo,ジルド
jula,ユーラ
katyna,カティーナ
mascetti,マセッティ
kiara,キアラ
tomaselli,トマゼッリ
giannettini,ジャンネティーニ
unterrichter,ウンテリクテル
lauri,ラウリ
latilla,ラティーヤ
fiorini,フィオリーニ
dato,ダト
leontini,レオンティーニ
ketty,ケティ
nicheli,ニケーリ
baccaloni,バッカローニ
desiato,デジアート
lallo,ラッロ
quazza,クアッツァ
penno,ペンノ
toffolo,トッフォロ
spadea,スパデア
fiocco,フィオッコ
fioravanzo,フィオラヴァンツォ
boldrini,ボルドリーニ
archera,ハクスリー
ugolotti,ウゴロッティ
hedy,ヘディ
krissane,クリサン
lenghi,レンジー
giuggioli,ジュッジョリ
scratuglia,スクラトゥリア
liù,リュー
lodovico,ルドヴィコ
inghilleri,インギッレリ
marinoni,マリノーニ
henrietta,ヘンリエッタ
martinez,マルティネス
lopez,ロペス
forcieri,フォルチエーリ
giallini,ジャリーニ
cannata,キャナータ
marongiu,マロンジュ
barsotti,バルソッティ
iaia,イアイア
bonechi,ボネキ
marsilio,マルシリオ
luttazzi,ルッタツィ
latini,ラティーニ
gussalli,グッサッリ
laverone,ラヴェローネ
guerini,グエリーニ
d'anna,ダンナ
gioielli,ジョイエッリ
marzocca,マルゾッカ
marcati,マルカーティ
nozza,ノッツァ
menichini,メニキーニ
piani,ピアニ
richelmy,リチェルミ
innocenzo,インノチェンツォ
vivarelli,ヴィヴァレッリ
ippazio,イッパツィオ
marulla,マルーラ
montesanto,モンテサント
montini,モンティーニ
scattorin,スカトーリン
marmiroli,マルミローリ
fani,ファニ
mastelloni,マステッローニ
reguzzoni,レッグツォーニ
bernabei,ベルナベイ
sanna,サンナ
donina,ドニーナ
leonida,レオニーダ
barboni,バルボーニ
rosino,ロジーノ
puccioni,プッチョーニ
maraschi,マラスキ
bertossio,ベルトシオ
nicolais,ニコライス
tutino,トゥティーノ
vichi,ヴィッチ
formenton,フォルメントン
liana,リアーナ
trouche,トゥルッシェ
maresa,マレーザ
leonello,レオニール
casucci,カッスーチ
paniconi,パニコニ
zaffaroni,ザッファローニ
pezzi,ペッツィ
campedelli,カンペデッリ
licinia,リチニア
lianella,リアネーラ
carell,カレル
ciampa,チョンパー
reverberi,リベルベリ
gentili,ジェンティーリ
lili,リリ
cerasoli,チェラゾーリ
lombroso,ロンブローゾ
fanfoni,ファンフォリ
fiamenghi,フィアメンギ
broccolino,ブロッコリーノ
porfito,ポルフィート
sansonetti,サンソネッチ
rotili,ロティリ
miniero,ミニエロ
ponzo,ポンゾ
pancalli,パンカリ
ursino,ウルシーノ
vietti,ビティッティ
squarzina,スクアルジナ
vandone,ヴァンドーネ
socrate,ソクラテ
fida,フィーダ
zerbinati,ツェルビナーティ
sconcerti,スコンチェルティ
salmi,サルミ
beccati,ペカチ
ungari,ウンガーリ
volonghi,ヴォロンギ
acerbo,アチェルボ
valdemarin,ヴァルデマリン
maneri,マネリ
paiato,パイアート
michi,ミチ
nazionale,ナツィオナーレ
mascino,マスキーノ
maurilio,マウリーリオ
leto,レト
makkox,マッコックス
corvaglia,コルバグリア
tavazzani,タヴァッツァーニ
d'ancora,グッチ
zafred,ザフレード
dovì,ドヴィ
marianella,マリアネッラ
bargilli,バルギリ
bonanni,ボナンニ
gammarota,ガンマロタ
quarantelli,クアランテッリ
gaucci,ガウッチ
ambrosis,アンブロージス
fugatti,フガッティ
lotti,ロッティ
lastrico,ラストリコ
traversi,トラヴェルシ
mandracchia,マンドラッキア
caironi,カイロニ
galimberti,ガリンベルティ
millenotti,ミレノッティ
mary,マリー
cleo,クレオ
tarlarini,タルラリーニ
falorni,ファロルニ
dassù,ダッス
merluzzo,メルルッツォ
ubaldi,ウバルディ
cannito,カンニート
masé,マゼー
ferrati,フェッラーティ
fiondella,フィオンデラ
ricceri,リッチェリ
d'olivo,ディリボ
biani,ビアーニ
scaparro,スカパロ
cicogna,チコーニャ
teucci,テウッチ
quaresimin,クアレシミン
silver,シルヴェル
castillo,カスティーヨ
mandò,マンドー
colaci,コラーチ
besesti,ベセスティ
bizzarri,ビッツァッリ
albiero,アルビエロ
balich,バリッチ
bonzano,ボンザーノ
cerofolini,チェロフォリーニ
drago,ドラーゴ
mayer,マイエール
balzarotti,バルザロッティ
betta,ベッタ
canciani,カンチアーニ
atrax,マルコ
morgue,コルベルリ
castoldi,カストルディ
ceroli,チェロリ
bonos,ボノス
lauricella,ラウリチェラ
cocci,コッチ
dentici,デンティチ
erpichini,エルピキーニ
fainello,ファイネッロ
remigi,レミージ
majowiecki,マジョヴィエツキ
dominioni,ドミニオニ
donatone,ドナトーネ
saluzzi,サルッツィ
myrta,ミルタ
fassone,ファッソーネ
nanda,ナンダ
miti,ミティ
frera,フレーラ
pignatelli,ピナテッリ
minaccioni,ミナッチョーニ
frammartino,フランマルティーノ
cescon,チェスコン
tarantino,タランティーノ
iaquone,アイクオーネ
pupillo,プピロ
gonnella,ゴッネッラ
gazzolo,ガツォーロ
tovaglia,トヴァリア
busiri,ブシーリ
vici,ヴィチ
narciso,ナルチソ
parigi,パリージ
fegiz,フェジズ
rossati,ロサティ
azzini,アジャーニ
balasso,バラッソ
branciamore,ブランチアモア
gesualdi,ゲスアルディ
maganza,マガンツァ
buonvino,ブォンヴィーノ
nerina,ネリーナ
cananzi,カナンツィ
bianucci,ビアヌッチ
briguglia,ブリグリア
focaccia,フォカッチャ
zanotti,ザノッティ
naldini,ナルディーニ
nicolas,ニコラス
giunni,ジュンニ
farulli,ファルッリ
troiano,トロイアーノ
denza,デンツァ
foglio,フォーリオ
filippone,フィリッポーネ
valori,バロリ
venitucci,ヴェニトゥッチ
meriggi,メリッギ
mimma,ミンマ
gozlino,ゴスリーノ
palmara,パルマラ
gauna,ガウナ
tardioli,タルディオーリ
torpedine,トルペディン
mimo,ミーモ
guaglianone,グアッリャノーネ
mimosa,ミモザ
campironi,キャンピローニ
cestiè,チェスティエ
rattalino,ラッタリーノ
kessisoglu,ケシソグル
ulivieri,ウリヴィエリ
portaluppi,ポルタルッピ
slongo,スロンゴ
consales,コンサレス
mandelli,マンデッリ
meduri,メドゥーリ
mencacci,メンカッチ
poloni,ポローニ
miria,ミリアム
servolo,セルボロ
migone,ミゴーネ
