제임스,ジェームズ
경기도시흥교육지원청,ケイキドウハジメキョウキョウイクシエンチョウ
경기도안산교육지원청,ケイキドウヤスサンキョウイクシエンチョウ
세검정,アライケンテイシ
강남중학교,コウナンチュウガッコウ
덕소중학교,トクヌマチュウガッコウ
매탄중학교,ウメナダチュウガッコウ
도로교통법,ドウロコウツウホウ
민사집행법,ミンジシッコウホウ
호매실고등학교,コウウメジツコウトウガッコウ
신풍초등학교,シンユタカショトウガッコウ
김세연,キムヨフチ
건원릉,ケンモトリョウ
평택시외버스터미널,ヒラサワシガイバスターミナル
포두면,ウラアタマメン
온양한올고등학교,ユタカヒハノルコウトウガッコウ
송곡여자고등학교,マツヤジョシコウトウガッコウ
화성동탄우체국,ハナジョウユウビンキョク
한국주택금융공사,カンコクジュウタクキンユウコウシャ
한국중부발전,カンコクチュウブハツデン
한국지구과학회,カンコクチキュウカガッカイ
한국지방행정연구원,カンコクチホウギョウセイケンキュウイン
한국직업방송,カンコクショクギョウホウソウ
한국직업능력연구원,カンコクショクギョウノウリョクケンキュウイン
한국청년단체협의회,カンコクセイネンダンタイキョウギカイ
한국청소년연맹,カンコクセイショウネンレンメイ
한국청소년활동진흥원,カンコクセイショウネンカツドウシンキョウイン
한국특허정보원,カンコクトッキョジョウホウイン
항공캠퍼스,コウクウキャンパス
부산국제금융센터,プサンコクサイキンユウセンター
국민당,コクミントウ
미스틱스토리,ミスティックストーリー
신흥중학교,シンキョウチュウガッコウ
예봉중학교,イェボンチュウガッコウ
풍생중학교,ユタカナマチュウガッコウ
한수중학교,カンスイチュウガッコウ
가좌고등학교,ケイサコウトウガッコウ
경기예술고등학교,ケイキゲイジュツコウトウガッコウ
판교면,イタバシメン
판부면,イタトミメン
곤지암,コンイケイワ
달성고등학교,イタルジョウコウトウガッコウ
대건고등학교,ダイケンコウトウガッコウ
경상북도의회,ケイショウホクドウギカイ
대구공업고등학교,タイキュウコウギョウコウコウ
필암서원,フデイワショイン
하나증권,ハナキンユウトウシ
하남고등학교,カナンコウトウガッコウ
하남시청시외버스정류장,カナンシガイバステイリュウジョウ
하남경영고등학교,カナンケイエイコウトウガッコウ
하단동,カタンホラ
조종면,トモムネメン
하북면,シモホクメン
하빈면,カワハマメン
하서면,シモニシメン
경제인문사회연구회,ケイザイジンブンシャカイケンキュウカイ
대구여자고등학교,タイキュウジョシコウトウガッコウ
대구중학교,タイキュウチュウガッコウ
서울대길초등학교,ソウルダイキチショトウガッコウ
현동,アラワホラ
현북면,ケンホクメン
혜광고등학교,メグミコウコウトウガッコウ
혜성여자고등학교,メグミキヨシジョシコウトウガッコウ
대전과학기술대학교,オオタカガクギジュツダイガッコウ
혜화여자고등학교,メグミハナジョシコウトウガッコウ
호구포로,ココウウラロ
호국로,ゴコクロ
퇴계동,シサケイホラ
태안여객,タイヤスリョカク
망포동,アミウラホラ
태종로,フトシムネロ
태평동,タイヘイホラ
태화상운,ヤスカズショウウン
헌법재판소법,ケンポウサイバンショホウ
창원소방서,アキラゲンショウボウショ
예비고사,ダイガクニュウガクヨビコウサ
부산도시공사,プサントシコウシャ
안양예술고등학교,アンヨウゲイジュツコウトウガッコウ
양명고등학교,ヨウメイコウトウガッコウ
영북고등학교,エイキタコウトウガッコウ
영생고등학교,エイセイコウトウガッコウ
영신여자고등학교,エイシンジョシコウトウガッコウ
원곡고등학교,モトタニコウトウガッコウ
의왕고등학교,ギオウコウトウガッコウ
의정부공업고등학교,ギセイフコウギョウコウトウガッコウ
이천고등학교,トギガワコウトウガッコウ
인덕원고등학교,ニントクインコウトウガッコウ
지평고등학교,トギヒラコウトウガッコウ
진접고등학교,ジンジョプコウトウガッコウ
태원고등학교,タイエンコウトウガッコウ
태장고등학교,タイショウコウトウガッコウ
가원중학교,カエンチュウガッコウ
가정고등학교,ヨトマコウトウガッコウ
홍산면,オオトリヤマヅラ
홍익회,ヒロエキカイ
홍익항공,ヒロエキコウクウ
화계사,ハナケイテラ
화양면,カヨウメン
화원고등학교,ハナゾノコウトウガッコウ
화원중학교,ハナゾノチュウガッコウ
화정면,ハナイメン
화진포,ハナツノウラ
화촌면,カムラメン
화홍고등학교,ハナニジコウトウガッコウ
황룡면,キリュウメン
한국건강관리협회,カンコクケンコウカンリキョウカイ
한국건설관리공사,カンコクケンセツカンリコウシャ
한국건설기술연구원,カンコクケンセツギジュツケンキュウイン
한국건설기술인협회,カンコクケンセツギジュツキョウカイ
한국고용정보원,カンコクコヨウジョウホウイン
한국고전번역원,カンコクコテンホンヤクイン
한국과학창의재단,カンコクカガクソウイザイダン
한국광해광업공단,カンコクコウブツシゲンコウシャ
한국광해관리공단,カンコクコウガイカンリコウダン
한국구화학교,カンコクグチバナシガッコウ
한국기계전기전자시험연구원,カンコクキカイデンキデンシシケンケンキュウイン
한국기독교교회협의회,カンコクキリストキョウキョウカイキョウギカイ
행신고등학교,ユキノブコウトウガッコウ
향동,サトホラ
현강정보고등학교,ソウルコンベンションコウトウガッコウ
현남면,ケンナンメン
현내면,ケンナイメン
포항고등학교,ホコウコウトウガッコウ
포항여자전자고등학교,ホコウジョシデンシコウトウガッコウ
포항제철공업고등학교,ホコウセイテツコウギョウコウトウガッコウ
포항중학교,ホコウチュウガッコウ
한국해양마이스터고등학교,カンコクカイヨウマイスターコウトウガッコウ
남주중학교,ミナミシュウチュウガッコウ
늘푸른초등학교,ヌルプルンショトウガッコウ
다대고등학교,タダイコウトウガッコウ
평내동,ツボウチホラ
평안동,ツボヤスホラ
평촌고등학교,ツボムラコウトウガッコウ
평택고등학교,ヒラサワコウトウガッコウ
평택고속버스터미널,ヒラサワコウソクバスターミナル
경안고등학교,キョウヤスシコウトウガッコウ
과천중앙고등학교,ハテカワチュウオウコウトウガッコウ
광문고등학교,ヒカリブンコウコウ
광주중앙고등학교,コウシュウチュウオウコウトウガッコウ
군서고등학교,キミニシコウトウガッコウ
동우여자고등학교,アズマタスクジョシコウトウガッコウ
문산고등학교,ムンサンコウトウガッコウ
합동군사대학교,ゴウドウグンジダイガッコウ
합동통신,ゴウドウツウシン
합포고등학교,ガツポコウトウガッコウ
합포동,ガツポホラ
해룡면,ウミリュウメン
해미면,ウミビメン
수표교,ミズシルベキョウ
남성고등학교,ナンセイコウトウガッコウ
순릉,ジュンリョウ
남성여자고등학교,ナンセイジョシコウトウガッコウ
남원용성고등학교,ナンバラリュウジョウコウトウガッコウ
도심초등학교,トウフカシショトウガッコウ
국립정신건강센터,コクリツセイシンケンコウセンター
대원여자고등학교,オオモトジョシコウトウガッコウ
광주서석초등학교,コウシュウミズセキショトウガッコウ
구드래,クドゥレ
경성고등학교,ケイジョウコウトウガッコウ
광영고등학교,コウエイコウトウガッコウ
효령면,コウレイメン
국립해양조사원,ダイカンミンコクコクリツカイヨウチョウサイン
숭실중학교,タカシジツチュウガッコウ
숭의과학기술고등학교,タカシギカガクギジュツコウトウガッコウ
숭의여자고등학교,タカシギジョシコウトウガッコウ
숭의여자중학교,タカシギジョシチュウガッコウ
쉐마기독학교,シェマキリストガッコウ
신광여자고등학교,ノブミツジョシコウトウガッコウ
신광초등학교,ノブミツショトウガッコウ
신남고등학교,シンミナミコウトウガッコウ
신도고등학교,シントコウトウガッコウ
신도림고등학교,シンドウリンコウトウガッコウ
신동신중정보산업고등학교,シントウシンナカジョウホウサンギョウコウトウガッコウ
동성고등학교,ヒガシボシコウトウガッコウ
동성중학교,ヒガシボシチュウガッコウ
국립외교원,コクリツガイコウイン
동신중학교,アズマシンチュウガッコウ
국립이천호국원,コクリツトギガワゴコクイン
동아여자고등학교,トウアジョシコウトウガッコウ
동암재활학교,ヒガシイワセキエイガッコウ
동작고등학교,ドウスズメコウトウガッコウ
국세공무원교육원,コクゼイコウムインキョウイクイン
동해중학교,トウカイチュウガッコウ
하성면,カジョウメン
하의면,ニコロモメン
하이원리조트,ハイワンリゾート
하이텔,ハイテル
하장면,シモナガメン
학동,ツルホラ
학산로,ツルヤマジ
학성고등학교,ツルシロコウトウガッコウ
학성동,ツルシロホラ
화도면,カドウメン
화산면,ハナヤマメン
화순고등학교,ワジュンコウトウガッコウ
부개고등학교,トミヒラキコウトウガッコウ
부천상록학교,トミカワジョウリョクガッコウ
서울보광초등학교,ソウルフコウショトウガッコウ
강원생명과학고등학교,エバラセイメイカガクコウトウガッコウ
송곡고등학교,マツヤコウトウガッコウ
향일암,ムコウアン
송원여자고등학교,マツハジメジョシコウトウガッコウ
효릉,コウリョウ
후포면,アツウラメン
후평동,コウツボホラ
흥국사,コウコクジ
성남중학교,ジョウナンチュウガッコウ
성동글로벌경영고등학교,ジョウトウグローバルケイエイコウトウガッコウ
성신여자고등학교,マコトシンニョココウトウガッコウ
성주여자고등학교,ホシシュウジョシコウトウガッコウ
성지송학중학교,セイチマツツルチュウガッコウ
성지중고등학교,ナルココロザシチュウコウトウガッコウ
흥남동,コウナンホラ
흥덕면,キョウトクメン
흥도동,キョウドウホラ
흥안대로,キョウヤスオオジ
흥업면,コウギョウメン
한가람고등학교,ハンガラムコウトウガッコウ
한강공원,カンコウコウエン
광주지방철도특별사법경찰대,コウシュウチホウテツドウトクベツシホウケイサツタイ
대광여자고등학교,オオミツジョシコウトウガッコウ
대구초등학교,タイキュウショトウガッコウ
대원고등학교,オオモトコウトウガッコウ
대전동산고등학교,オオタトウザンコウトウガッコウ
대구광역시교육청,タイキュウコウイキシキョウイクチョウ
대전상원초등학교,オオタジョウインショトウガッコウ
한광여자고등학교,カンヒカリジョシコウトウガッコウ
한국가스안전공사,カンコクガスアンゼンコウシャ
한국갤럽,カンコクギャラップ
광성중학교,ヒカリボシチュウガッコウ
광신방송예술고등학교,ヒカリシンジョウホウサンギョウコウトウガッコウ
광양제철고등학교,コウヨウセイテツコウトウガッコウ
광영여자고등학교,コウエイジョシコウトウガッコウ
광운중학교,ヒカリウンチュウガッコウ
현대중학교,ゲンダイチュウガッコウ
혜원여자고등학교,メグミエンジョシコウトウガッコウ
호남신학대학교,コナンシンガクダイガッコウ
호수돈여자고등학교,コウコトブキアツシジョシコウトウガッコウ
홍성고등학교,ヒロシジョウコウトウガッコウ
대구화동초등학교,タイキュウハナヒガシショトウガッコウ
울산광역시강남교육지원청,ウルサンコウイキシコウナンキョウイクシエンチョウ
울산광역시강북교육지원청,ウルサンコウイキシコウホクキョウイクシエンチョウ
공릉중학교,アナリョウチュウガッコウ
공주중학교,オオヤケシュウチュウガッコウ
광남중학교,ヒロナンチュウガッコウ
경신정보과학고등학교,キョンシンジョウホウカガクコウトウガッコウ
경원고등학교,ケイモトコウトウガッコウ
경인중학교,キョウヒトシチュウガッコウ
돈화문,アツシカモン
한진고등학교,カンコクジュエリーコウトウガッコウ
해강고등학교,ウミコウコウトウガッコウ
해운대여자고등학교,カイウンダイジョシコウトウガッコウ
임남면,ニンナンメン
광신고속,ミツノブコウソク
광우고속,ヒカリタスクコウソク
인천광역시의료원,ニガワコウイキシイリョウイン
인천광역시의회,ニガワコウイキシギカイ
인천구치소,ニガワコウチショ
인천지방검찰청,ニガワチホウケンサツチョウ
한국노동연구원,カンコクロウドウケンキュウイン
한국농어촌공사,カンコクノウギョソンコウシャ
한국농촌경제연구원,カンコクノウソンケイザイケンキュウイン
대동고등학교,プサンダイトウコウコウ
대동세무고등학교,ダイトウゼイムコウトウガッコウ
대륜중학교,ダイリンチュウガッコウ
대구대명초등학교,タイキュウダイメイショトウガッコウ
대구대산초등학교,タイキュウオオヤマショトウガッコウ
대구대성초등학교,タイキュウタイセイショトウガッコウ
대성여자고등학교,タイセイジョシコウトウガッコウ
광주석산고등학교,コウシュウイシヤマコウトウガッコウ
광주가정법원,コウシュウカテイホウイン
광주고등검찰청,コウシュウコウトウケンサツチョウ
광주광역시의회,コウシュウコウイキシギカイ
김해대동중학교,キムウミダイトウチュウガッコウ
의림지,ギリンチ
부산지방철도특별사법경찰대,プサンチホウテツドウトクベツシホウケイサツタイ
용산공업고등학교,タツヤマコウギョウコウトウガッコウ
용산중학교,タツヤマチュウガッコウ
운호중학교,クモミズウミチュウマナブコウ
부천우체국,トミカワユウビンキョク
울산대학교병원,ウルサンダイガッコウビョウイン
갈마중학교,カズラバチュウガッコウ
한국국제통상마이스터고등학교,カンコクコクサイツウショウマイスターコウトウガッコウ
강동초등학교,コウトウショトウガッコウ
효제초등학교,コウテイショトウガッコウ
경춘로,キョウハルジ
경충산업도로,キョウタダシオオジ
계림로,ニワトリリンロ
고덕로,コウトクロ
고산자로,コヤマゴロ
공항대로,クウコウオオジ
익산지방국토관리청,マスヤマチホウコクドカンリチョウ
관음사,カンノンジ
정림사지,テイハヤシジシ
대청중학교,ダイアオチュウガッコウ
덕성여자고등학교,トクナリジョシコウトウガッコウ
국립국악중학교,クニラクガッコウ
군산남중학교,グンサンナンチュウガッコウ
군산여자고등학교,グンヤマメココウトウガッコウ
자운대,ジクモダイ
송호대학교,マツコダイガッコウ
백석고등학교,シライシコウトウガッコウ
김대중대교,キムデジュンオオハシ
김대중컨벤션센터,キムデジュンコンベンションセンター
아영중학교,オモネエイチュウガッコウ
아주중학교,アシュウチュウガッコウ
동해해양조사사무소,トウカイカイヨウチョウサジムショ
안덕중학교,アントクチュウガッコウ
안말초등학교,アンマルショトウガッコウ
전주우체국,ゼンシュウユウビンキョク
정부경남지방합동청사,セイフケイミナミチホウゴウドウチョウシャ
정부청사관리본부,セイフチョウシャカンリホンブ
단원로,マユミエンロ
신서고등학교,シンニシコウトウガッコウ
신서중학교,シンニシチュウガッコウ
동대문우체국,ヒガシダイモンユウビンキョク
수서중학교,ミズニシナカガッコウ
수성중학교,コトブキジョウチュウガッコウ
서울수송초등학교,ソウルコトブキマツショトウガッコウ
대구의료원,タイキュウイリョウイン
대구수창초등학교,タイキュウコトブキアキラショトウガッコウ
경기과학기술대학교,ケイキカガクギジュツダイガッコウ
경북예술고등학교,ケイキタゲイジュツコウトウガッコウ
경강교,キョウコウキョウ
가평교,カヘイキョウ
한국한성화교중고등학교,カンコクカンジョウカキョウチュウコウトウガッコウ
한밭고등학교,ハンバッコウトウガッコウ
한밭중학교,ハンバッチュウガッコウ
제천지방철도특별사법경찰대,サカエシュウチホウテツドウトクベツシホウケイサツタイ
은평메디텍고등학교,オンヒラメディテクコウトウガッコウ
이리고등학교,ウラサトコウトウガッコウ
이리여자고등학교,ウラサトジョシコウトウガッコウ
대전여자고등학교,オオタジョシコウトウガッコウ
울산광역시의회,ウルサンコウイキシギカイ
감포로,アマウラロ
울산광역시청,ウルサンコウイキシチョウ
황지정보산업고등학교,キチジョウホウサンギョウコウトウガッコウ
효돈중학교,コウアツシチュウガッコウ
개포로,ヒラクウラロ
망월묘지공원,モチヅキボチコウエン
봉영여자중학교,オオトリヒサシジョシチュウガッコウ
서울목동초등학교,ソウルキホラショトウガッコウ
여수고등학교,レイスイコウトウガッコウ
연수여자고등학교,エンジュジョシコウトウガッコウ
창원지방검찰청,アキラゲンチホウケンサツチョウ
드림로,ドリムロ
청주지방검찰청,キヨスチホウケンサツチョウ
명덕로,メイトクロ
봉은중학교,タテマツオンチュウガッコウ
부광고등학교,トミコウコウトウガッコウ
부산공업고등학교,プサンコウギョウコウトウガッコウ
부산국제영화고등학교,プサンコクサイエイガコウトウガッコウ
부산내성중학교,カマサンサイジョウチュウガッコウ
충렬대로,チュウレツオオジ
충장대로,チュウソウダイロ
퇴계로,シサケイロ
문무왕릉,ブンブオウリョウ
등명중학교,ノボリアキラチュウガッコウ
국제평화지원단,コクサイヘイワシエンダン
마산무학여자고등학교,マヤママイヅルジョシコウトウガッコウ
마포고등학교,アサウラコウトウガッコウ
명지고등학교,メイチコウトウガッコウ
목동고등학교,キホラコウトウガッコウ
반포대로,バンウラオオジ
방화대로,ハタハナアズマジ
보문로,ヒロシモンロ
충청북도의회,タダキヨホクドウギカイ
회천동,ヒノキイズミホラ
장안면,ナガヤスメン
화전동,ハナタホラ
육군군수사령부,リクグングンジュシレイブ
동백대교,フユカシワオオハシ
반포고등학교,バンウラコウトウガッコウ
전의향교,チョンヨシサトコウ
광적면,ヒロセキメン
도농동,トウミノリホラ
금남면,ニシキナンメン
가능동,ケイリョウホラ
부산가정법원,プサンカテイホウイン
국채보상로,コクサイホウショウロ
금남로,ニシキミナミロ
전라남도경찰청,ゼンミナミチホウケイサツチョウ
광장중학교,ヒロツヨシチュウガッコウ
광주송원초등학교,コウシュウマツゲンショトウガッコウ
광주진흥고등학교,コウシュウマキョウコウトウガッコウ
남북출입사무소,ナンボクシュツニュウジムショ
마산여자고등학교,マヤマジョシコウトウガッコウ
대구복명초등학교,タイキュウフクメイショトウガッコウ
부산고등검찰청,プサンコウトウケンサツチョウ
부산광역시의회,プサンコウイキシギカイ
옥련여자고등학교,タマハチスジョシコウトウガッコウ
옥정중학교,タマイチュウガッコウ
와룡중학교,ガリュウチュウガッコウ
부산지방법원,カマサンチホウホウイン
용강중학교,タツエチュウガッコウ
도봉로,ミチホウロ
중부지방산림청,チュウブチホウサンリンチョウ
돈화문로,アツシカモンロ
중앙보훈병원,チュウオウホウクンビョウイン
동대구로,ヒガシタイキュウロ
동양고속,トウヨウコウソク
계성중학교,ケイヒジリチュウガッコウ
계성초등학교,ケイヒジリショトウガッコウ
마등령,ウマトウミネ
원각사,エンサトルテラ
부산고등법원,プサンコウトウホウイン
부산광역시청,プサンコウイキシチョウ
월촌중학교,ゲッソンチュウガッコウ
이곡중학교,ナシタニチュウガッコウ
인천서면초등학교,ニガワニシメンショトウガッコウ
서울용산우체국,ソウルタツヤマユウビンキョク
서울중랑우체국,ソウルチュウナミユウビンキョク
서울중앙우체국,ソウルチュウオウユウビンキョク
인천해양과학고등학교,ニガワカイヨウカガクコウトウガッコウ
서울중앙지방법원,ソウルチュウオウチホウホウイン
서울지방고용노동청,ソウルチホウロウドウチョウ
서울지방국토관리청,ソウルチホウコクドカンリチョウ
서울지방노동위원회,ソウルチホウロウドウイインカイ
서울지방병무청,ソウルチホウヘイムチョウ
부산여자고등학교,プサンジョシコウトウガッコウ
인천미래생활고등학교,ニガワミライセイカツコウトウガッコウ
대구가정법원,タイキュウカテイホウイン
북원여자고등학교,キタハラジョシコウトウガッコウ
대구광역시교육연구정보원,タイキュウコウイキシキョウイクケンキュウジョウホウイン
대구광역시남부교육지원청,タイキュウコウイキシナンブキョウイクシエンチョウ
대구광역시달성교육지원청,タイキュウコウイキシタチジョウキョウイクシエンチョウ
대구광역시서부교육지원청,タイキュウコウイキシセイブキョウイクシエンチョウ
대구광역시의회,タイキュウコウイキシギカイ
귀인동,タカヒトホラ
호계동,コケイホラ
범계동,ポムゲホラ
평동,ツボホラ
권선동,ススムゼンホラ
진명여자고등학교,ススムアキラジョシコウトウガッコウ
인헌고등학교,ヒトシケンコウトウガッコウ
대구파티마병원,タイキュウパティマビョウイン
대전가정법원,オオタカテイホウイン
대전고등검찰청,オオタコウトウケンサツチョウ
대전광역시동부교육지원청,オオタコウイキシトウブキョウイクシエンチョウ
대전광역시서부교육지원청,オオタコウイキシセイブキョウイクシエンチョウ
대전광역시의회,オオタコウイキシギカイ
대전광역시청,オオタコウイキシチョウ
염광중학교,シオコウチュウガッコウ
영남중학교,ミネナンチュウガッコウ
영등포고등학교,エイノボルウラコウトウガッコウ
영등포중학교,エイノボルウラチュウガッコウ
영산고등학교,レイザンコウトウガッコウ
법무연수원,ホウムケンシュウイン
보탑사,ホウトウテラ
영화초등학교,エイカショトウガッコウ
예문여자고등학교,アキラブンジョシコウトウガッコウ
인천능허대초등학교,ニガワリョウウロダイショトウガッコウ
인천담방초등학교,ニガワダムバンショウガッコウ
서울동부지방검찰청,ソウルトウブチホウケンサツチョウ
서울마포소방서,ソウルアサウラショウボウショ
인천부흥고등학교,ニガワトミキョウコウトウガッコウ
인천산곡고등학교,ニガワサンヤコウトウガッコウ
인천산곡초등학교,ニガワサンヤショトウガッコウ
인천석정초등학교,ニガワイシイショトウガッコウ
인천석천초등학교,ニガワイシズミショトウガッコウ
울산대공원,ウルサンタイコウエン
셧다운제,シャットダウンセイド
목포덕인중학교,キウライサオジンチュウガッコウ
무릉중학교,タケリョウチュウガッコウ
문성고등학교,フミナリコウトウガッコウ
강화교동대교,タカシキリオオハシ
거금대교,キョキンオオハシ
기장중학교,キチョウチュウガッコウ
부림동,トミリンホラ
평촌동,ツボムラホラ
수진동,コトブキススムホラ
주엽동,チュウハホラ
백석동,シライシホラ
성사동,ホシイサゴホラ
원신동,モトシンドウ
박달동,ハクタチホラ
관양동,カンムリヨウホラ
대구광역시경찰청,タイキュウコウイキシケイサツチョウ
사직로,シャショクロ
하남소방서,カナンショウボウショ
산성대로,ヤマシロオオジ
한국보훈복지의료공단,カンコクホウクンフクシイリョウコウダン
한국소비자원,カンコクショウヒシャイン
서령버스,ミズヤスシバス
서부간선도로,セイブカンセンドウロ
서빙고로,ニシコオリコロ
서소문로,ニシオモンロ
한빛탑,ハンビットウ
서울가정법원,ソウルカテイホウイン
서울강동우체국,ソウルコウトウユウビンキョク
서울강서우체국,ソウルエニシユウビンキョク
서울관악우체국,ソウルカンムリダケユウビンキョク
서울광진우체국,クァンナルヒロツユウビンキョク
인천경원초등학교,ニガワケイゲンショトウガッコウ
서울금천우체국,ソウルエリガワユウビンキョク
서울남부구치소,ソウルナンブコウチショ
인천남고등학교,ニガワミナミコウトウガッコウ
용문버스터미널,リュウモンバスターミナル
용남고등학교,リュウミナミコウトウガッコウ
공주생명과학고등학교,オオヤケシュウセイメイカガクコウトウガッコウ
강경고등학교,コウケイコウトウガッコウ
대구광역시청,タイキュウコウイキシチョウ
대구동부소방서,タイキュウトウブショウボウショ
탄현면,スミケンメン
송암동,マツイワホラ
대현동,タイケンホラ
영남면,カゲナンメン
개금동,ヒラキキンホラ
죽령,タケミネ
서울지방철도특별사법경찰대,ソウルチホウテツドウトクベツシホウケイサツタイ
서울특별시강서양천교육지원청,ソウルトクベツシエニシヒガワキョウイクシエンチョウ
서울특별시남부교육지원청,ソウルトクベツシナンブキョウイクシエンチョウ
장안대학교,ナガヤスダイガッコウ
장원중학교,ジャンウォンチュウガッコウ
장충중학교,ススムチュウチュウガッコウ
서해지방해양경찰청,ニシウミチホウカイヨウケイサツチョウ
전남여자상업고등학교,ゼンミナミジョシショウギョウコウトウガッコウ
서울상암초등학교,ソウルアゲイワショトウガッコウ
서울서강초등학교,ソウルニシコウショトウガッコウ
서울서교초등학교,ソウルニシハシショトウガッコウ
서울서빙고초등학교,ソウルニシコオリコショトウガッコウ
서울선린초등학교,ソウルゼンリンショトウガッコウ
서울성산초등학교,ソウルシロヤマショトウガッコウ
서울성원초등학교,ソウルキヨシモトショトウガッコウ
서울수서초등학교,ソウルスイニシショトウガッコウ
서울신용산초등학교,ソウルシンタツヤマショトウガッコウ
서울신정초등학교,ソウルシンチンショトウガッコウ
서울안평초등학교,ソウルヤスツボショトウガッコウ
서울양명초등학교,ソウルメイヒショトウガッコウ
서울양목초등학교,ソウルヒキショトウガッコウ
인천연화초등학교,ニガワレンハナショトウガッコウ
인천옥련초등학교,ニガワタマハチスショトウガッコウ
인천외국어고등학교,ニガワガイコクゴコウトウガッコウ
인천중앙초등학교,ニガワチュウオウショトウガッコウ
서울은평우체국,ソウルオンヒラユウビンキョク
숭덕고등학교,ソウトクコウトウガッコウ
신한대학교,シンカンダイガッコウ
강림면,コウリンメン
방림동,ヨシリンホラ
손양면,タツミヨウメン
연지동,ハスイケホラ
전주고등학교,ゼンシュウコウトウガッコウ
성남대로,ジョウナンオオジ
성남우체국,ジョウナンユウビンキョク
국립전통예술고등학교,ツトウミツルゲイジュツコウトウガッコウ
서울동부구치소,ソウルトウブコウチショ
세종학당재단,ヨソウガクドウ
센트럴시티,セントラルシティーターミナル
제주국제대학교,サイシュウコクサイダイガッコウ
서울관악초등학교,ソウルカンムリダケショトウガッコウ
서울광장초등학교,ソウルコウソウショトウガッコウ
서울금양초등학교,ソウルニシキヒショトウガッコウ
서울대청초등학교,ソウルダイチョウショトウガッコウ
서울망원초등학교,ソウルボウエンショトウガッコウ
서울목운초등학교,ソウルキクモショトウガッコウ
서울보건대학,ソウルホケンダイガク
공익법무관,コウエキホウムカン
과역면,カエキメン
신방동,シンヨシホラ
종암로,ショウイワロ
중앙로,チュウオウロ
월배로,ツキセロ
율곡로,クリヤロ
의정부버스터미널,ギセイフバスターミナル
롯데건설,ロッテケンセツ
관문동,カンモンホラ
관음동,カンノンホラ
광덕면,ヒロノリメン
비아동,ヒカラスホラ
비인면,ヒサシジンメン
광정동,ヒカリテイホラ
사북면,フミホクメン
능주면,アヤシュウメン
구서동,ヒサミズホラ
우암동,ウシイワホラ
구암동,カメイワホラ
만덕동,マントクホラ
평화로,ヘイワロ
한강대로,カンコウオオジ
호남로,コナンロ
창원중앙여자고등학교,アキラゲンチュウオウジョシコウトウガッコウ
농성동,ノウジョウホラ
교련,キョウネ
농심켈로그,ノウシンケロッグ
신창동,シンアキラホラ
우동,タスクホラ
신포동,シンウラホラ
마산만,マヤマワン
영재학교,エイサイガッコウ
영종동,エイタカシホラ
건강보험심사평가원,ケンコウホケンシンサヒョウカイン
도곡면,ドウタニメン
쇼타임엔터테인먼트,ショータイムエンターテインメント
영천경마공원,エイカワケイバジョウ
진선여자중학교,マゼンニョコナカガッコウ
진영고등학교,ススムナガコウトウガッコウ
진주여자고등학교,ススムシュウジョシコウトウガッコウ
차의과학대학교,クルマイカガクダイガッコウ
창문여자고등학교,マサフミジョシコウコウ
창신고등학교,マサノブコウトウガッコウ
산격동,ヤマカクホラ
쌍봉동,ソウオオトリホラ
산성동,ヤマシロホラ
울산광역시교육청,ウルサンコウイキシキョウイクチョウ
대한조선공사,タイカンゾウセンコウシャ
강진면,ゴウツメン
대한탁구협회,タイカンタッキュウキョウカイ
청담중학교,セイタンチュウガッコウ
청원고등학교,アオエンコウトウガッコウ
청주농업고등학교,キヨスノウギョウコウトウガッコウ
양산휴게소,ヤナサンサービスエリア
춘천기계공업고등학교,ハルカワキカイコウギョウコウトウガッコウ
대한전선,タイカンデンセン
경기도교육감,ケイキドウキョウイクチョウ
태안화력발전소,タイヤスカリョクハツデンショ
영북면,エイホクメン
전라북도지사,ゼンラホクドウチジ
대한스쿼시연맹,タイカンスカッシュレンメイ
한국장로회신학교,カンコクチョウロウカイシンガッコウ
대기고등학교,ダイキコウトウガッコウ
석우중학교,イシスミチュウガッコウ
수원여자대학교,ミズハラジョシダイガッコウ
경인여자대학교,ケイジンジョシダイガッコウ
진선여자고등학교,ジンソンジョシコウトウガッコウ
충주여자고등학교,タダシュウジョシコウトウガッコウ
복자여자고등학교,フクシャジョシコウトウガッコウ
대한사격연맹,タイカンシャゲキレンメイ
대한산악연맹,タイカンサンガクレンメイ
혜릉,メグミリョウ
연희동,レンキホラ
송내동,マツナイホラ
대한씨름협회,タイカンシルムキョウカイ
송도해수욕장,マツシマカイスイヨクジョウ
대구외곽순환고속도로,タイキュウガイカクジュンカンコウソクドウロ
충북반도체고등학교,チュウキタハンドウタイコウトウガッコウ
여수대교,ネコシマオオハシ
대전지방국토관리청,オオタチホウコクドカンリチョウ
서라벌고등학교,ジョラキコウトウガッコウ
대전지방법원,オオタチホウサイバンショ
대전지방보훈청,オオタチホウホウクンチョウ
서문여자고등학교,ミズブンジョシコウトウガッコウ
서울강동초등학교,ソウルコウトウショトウガッコウ
서울개포초등학교,ソウルヒラキウラジョシコウトウガッコウ
서울고명초등학교,ソウルコミョンショトウガッコウ
서울공덕초등학교,ソウルアナトクショトウガッコウ
서울공업고등학교,ソウルコウギョウコウトウガッコウ
양재대로,リョウサイオオジ
주례중학교,シュウアヤチュウガッコウ
수성아트피아,コトブキジョウアートピア
수원구치소,ミズハラコウチショ
중마고등학교,チュウマコウトウガッコウ
