マツモトユキヒロ,松本行弘,matsumotoyukihiro
ワダミサキセン,和田岬线,wadamisakisen
キンテツオオサカセン,大阪线,kintetsuoosakasen
テルテルボウズ,晴天娃娃,teruterubouzu
オメシシレッシャ,皇家列车,omeshishiressha
ニッポウホンセン,日丰本线,nippouhonsen
ヒガシアジアキョウドウタイ,东亚共同体,higashiajiakyoudoutai
ハマカゼ,滨风号列车,hamakaze
ハルナサン,榛名山,harunasan
トウキュウトウヨコセン,东横线,toukyuutouyokosen
トウキュウイケガミセン,池上线,toukyuuikegamisen
メイテツナゴヤホンセン,名古屋本线,meitetsunagoyahonsen
ヒダカシンコウキョク,日高振兴局,hidakashinkoukyoku
ニッポンデンシ,日本电子,nippondenshi
シントミマチ,新富町,shintomimachi
ヒノカゲマチ,日之影町,hinokagemachi
タカナベマチ,高锅町,takanabemachi
ヒロガワマチ,广川町,hirogawamachi
エンギ,延喜,engi
テンピョウカンタカラ,天平感宝,tenpyoukantakara
カミヒサシ,神龟,kamihisashi
トエイチカテツシンジュクセン,新宿线,toeichikatetsushinjukusen
トウホクラクテンゴールデンイーグルス,东北乐天金鹫,touhokurakutengōrudenīgurusu
マサキマチ,松前町,masakimachi
リシリレブンサロベツコクリツコウエン,利尻礼文佐吕别国立公园,rishirirebunsarobetsukokuritsukouen
ニシバラマチ,西原町,nishibaramachi
ホウブンシャ,芳文社,houbunsha
ショウワシンザン,昭和新山,shouwashinzan
ホウシ,法师,houshi
フジキュウハイランド,富士急乐园,fujikyuuhairando
ハガグン,芳贺郡,hagagun
ヒロシヒトシ,弘仁,hiroshihitoshi
カンゴケイクモ,神护景云,kangokeikumo
レイカメ,灵龟,reikame
ジンコトブキ,仁寿,jinkotobuki
ヨウロウ,养老,yourou
ヨシミサチ,嘉祥,yoshimisachi
テンチョウ,天长,tenchou
テンピョウカンゴ,天平神护,tenpyoukango
テンピョウショウタカラ,天平胜宝,tenpyoushoutakara
ノベレキ,延历,nobereki
シメマチ,志免町,shimemachi
ミヤコマチ,京都町,miyakomachi
ヨシノヶサトマチ,吉野里町,yoshinoヶsatomachi
コウホクマチ,江北町,kouhokumachi
ゲンカイマチ,玄海町,genkaimachi
カンダマチ,苅田町,kandamachi
シマジリグン,岛尻郡,shimajirigun
アイコム,艾可慕,aikomu
シライシマチ,白石町,shiraishimachi
タラマチ,太良町,taramachi
ナガオカキョウ,长冈京,nagaokakyou
ムサシノセン,武藏野线,musashinosen
イケダヤジケン,池田屋事件,ikedayajiken
フジハコネイズコクリツコウエン,富士箱根伊豆国立公园,fujihakoneizukokuritsukouen
ハンシンホンセン,阪神本线,hanshinhonsen
ツバキモトチエイン,椿本链条,tsubakimotochiein
アシガラシモグン,足柄下郡,ashigarashimogun
ヨシミホ,嘉保,yoshimiho
エイトオル,永享,eitooru
ノウリンスイサンショウ,农林水产省,nourinsuisanshou
オソレヤマ,恐山,osoreyama
トウキョウトコウツウキョク,东京都交通局,toukyoutokoutsuukyoku
ナリタリコン,成田离婚,naritarikon
キムライヘエシャシンショウ,木村伊兵卫赏,kimuraiheeshashinshou
コンゴウザンテラ,金峰山寺,kongouzantera
ショウニッポンシュギ,小日本主义,shounipponshugi
ノベヒサ,延久,nobehisa
オガサワラシチョウ,小笠原支厅,ogasawarashichou
ナガオサ,永长,nagaosa
モトナガ,元永,motonaga
テンヒトシ,天仁,tenhitoshi
サンヨウホンセン,山阳本线,sanyouhonsen
カトリックセキグチキョウカイ,东京圣玛利亚主教座堂,katorikkusekiguchikyoukai
トオルロク,享禄,tooruroku
オオゾラマチ,大空町,oozoramachi
モンベツグン,纹别郡,monbetsugun
ジンムテンノウソクイキゲン,皇纪,jinmutennousokuikigen
アシカガガッコウ,足利学校,ashikagagakkou
エンヒヤタケミタケ,园比屋武御岳,enhiyatakemitake
モンブカガクショウ,文部科学省,monbukagakushou
ハンキュウコウベホンセン,神户本线,hankyuukoubehonsen
ウチュウカガクケンキュウジョ,宇宙科学研究所,uchuukagakukenkyuujo
サマニマチ,样似町,samanimachi
ヨコハママリンタワー,横滨海洋塔,yokohamamarintawā
エキスポランド,万博乐园,ekisuporando
トウゴウジンジャ,东乡神社,tougoujinja
ニッポンアカデミーショウカントクショウ,日本电影学院奖最佳导演奖,nipponakademīshoukantokushou
ミスニッポン,日本小姐,misunippon
ナンカイドウ,南海道,nankaidou
ユウラクチョウ,有乐町,yuurakuchou
サンヨウドウ,山阳道,sanyoudou
テンノウジドウブツエン,天王寺动物园,tennoujidoubutsuen
カドカワショテン,角川书店,kadokawashoten
タダミセン,只见线,tadamisen
オホーツクソウゴウシンコウキョク,鄂霍次克综合振兴局,ohōtsukusougoushinkoukyoku
ニホンデンシンデンワ,日本电信电话,nihondenshindenwa
チョウコヨミ,长历,choukoyomi
チョウロク,长禄,chouroku
ナガウケタマワ,永承,nagauketamawa
エイタダシ,永正,eitadashi
チョウキュウ,长久,choukyuu
ウケタマワホ,承保,uketamawaho
リュウキュウミンゾク,琉球族,ryuukyuuminzoku
ブンヤス,文安,bunyasu
フミマサ,文正,fumimasa
イトダマチ,糸田町,itodamachi
タツゴウマチ,龙乡町,tatsugoumachi
ミフネマチ,御船町,mifunemachi
ミナミオオスミマチ,南大隅町,minamioosumimachi
サガミセン,相模线,sagamisen
ラウスマチ,罗臼町,rausumachi
シベチャマチ,标茶町,shibechamachi
ムシプロダクション,虫制作,mushipurodakushon
コウラクエン,后乐园,kourakuen
シュトケンシントシテツドウツクバエクスプレス,筑波快线,shutokenshintoshitetsudoutsukubaekusupuresu
クロベダム,黑部水坝,kurobedamu
キタアキタグン,北秋田郡,kitaakitagun
シンニョエン,真如苑,shinnyoen
オートポリス,汽车城赛道,ōtoporisu
ヒビヤコウエン,日比谷公园,hibiyakouen
ハカタギオンヤマカサ,博多祇园山笠,hakatagionyamakasa
ウケタマワトク,承德,uketamawatoku
エイレキ,永历,eireki
ヨシミウケタマワ,嘉承,yoshimiuketamawa
テンヒサシ,天永,tenhisashi
チョウヒロシ,长宽,chouhiroshi
ホノベ,保延,honobe
カンジン,宽仁,kanjin
タテヒサ,建久,tatehisa
コヨミヒトシ,历仁,koyomihitoshi
タテタケシ,建武,tatetakeshi
カンカズ,康和,kankazu
エイタモツ,永保,eitamotsu
マンエン,万延,manen
ニダイラ,仁平,nidaira
ヒサヤス,久安,hisayasu
エイヨロズ,永万,eiyorozu
テンメイ,天明,tenmei
タテヒサシ,建永,tatehisashi
ブンレキ,文历,bunreki
マンス,万寿,mansu
ミタケサン,御岳山,mitakesan
ツクバサン,筑波山,tsukubasan
サダカンジシン,贞观地震,sadakanjishin
ケンチョウジ,建长寺,kenchouji
ファーストリテイリング,迅销,fāsutoriteiringu
タマドウブツコウエン,多摩动物公园,tamadoubutsukouen
ヤマザキジョウリュウショ,山崎蒸溜所,yamazakijouryuusho
アキヨシダイ,秋吉台,akiyoshidai
アタゴグリーンヒルズ,爱宕绿丘,atagogurīnhiruzu
フクソウリ,副总理,fukusouri
アークヒルズ,方舟之丘,ākuhiruzu
ウケタマワヤス,承安,uketamawayasu
ブンチュウ,文中,bunchuu
サダヒサシ,贞永,sadahisashi
テンヨウ,天养,tenyou
ナガワ,长和,nagawa
クマモトハン,熊本藩,kumamotohan
タテタモツ,建保,tatetamotsu
モトコヨミ,元历,motokoyomi
キュウジュ,久寿,kyuuju
リソナホールディングス,里索那控股,risonahōrudingusu
モトヒサ,元久,motohisa
ケンレキ,建历,kenreki
トウホクマチ,东北町,touhokumachi
ケンチョウ,建长,kenchou
ジンチ,仁治,jinchi
ノベオカインターチェンジ,延冈交流道,nobeokaintāchenji
サエキインターチェンジ,佐伯交流道,saekiintāchenji
キタウラインターチェンジ,北浦交流道,kitauraintāchenji
ツクミインターチェンジ,津久见交流道,tsukumiintāchenji
キンテツナンバセン,难波线,kintetsunanbasen
キンテツカシハラセン,橿原线,kintetsukashiharasen
ミナミカントウ,南关东,minamikantou
キンテツテンリセン,天理线,kintetsutenrisen
キンテツタワラモトセン,田原本线,kintetsutawaramotosen
ナギナタジュツ,薙刀术,naginatajutsu
テンリュウテラ,天龙寺,tenryuutera
ユシマセイドウ,汤岛圣堂,yushimaseidou
オンジョウジ,园城寺,onjouji
リッシャクジ,立石寺,risshakuji
ミンシュク,民宿,minshuku
スガモ,巢鸭,sugamo
ニッポンジンロン,日本人论,nipponjinron
キョウイクママ,教育妈妈,kyouikumama
チホウジチホウ,地方自治法,chihoujichihou
ハマトンベツマチ,滨顿别町,hamatonbetsumachi
カミシホロマチ,上士幌町,kamishihoromachi
シントクマチ,新得町,shintokumachi
シンヒダカマチ,新日高町,shinhidakamachi
エサシマチ,枝幸町,esashimachi
ヤマゴエグン,山越郡,yamagoegun
トヨコロマチ,丰顷町,toyokoromachi
オトフケマチ,音更町,otofukemachi
ビフカマチ,美深町,bifukamachi
シホロマチ,士幌町,shihoromachi
メムロマチ,芽室町,memuromachi
マクベツマチ,幕别町,makubetsumachi
ヒロオマチ,广尾町,hiroomachi
ニコン,尼康,nikon
ナカトンベツマチ,中顿别町,nakatonbetsumachi
ホンベツマチ,本别町,honbetsumachi
トヨトミマチ,丰富町,toyotomimachi
ケンブチマチ,剑渊町,kenbuchimachi
セキミズキンゾク,关水金属,sekimizukinzoku
トクガワシ,德川氏,tokugawashi
ヨシミロク,嘉禄,yoshimiroku
タカラレキ,宝历,takarareki
ゲンヒトシ,元仁,genhitoshi
ホアン,保安,hoan
テンプク,天福,tenpuku
ブンジ,文治,bunji
モトヒロ,元弘,motohiro
ネギシセン,根岸线,negishisen
フドキ,风土记,fudoki
ヒガシクニミヤナイカク,东久迩宫内阁,higashikunimiyanaikaku
サトシモチデラ,总持寺,satoshimochidera
マエガシラ,前头,maegashira
コムスビ,小结,komusubi
テクモ,特库摩,tekumo
ニッポンケンチクシ,日本建筑,nipponkenchikushi
ヤマザキマザック,山崎马扎克,yamazakimazakku
ケンダマ,剑玉,kendama
カワイガッキセイサクショ,河合乐器制作所,kawaigakkiseisakusho
ナガサキコッキジケン,长崎国旗事件,nagasakikokkijiken
モリビル,森大厦,moribiru
ダイガクニュウシセンターシケン,大学入试中心试验,daigakunyuushisentāshiken
ノジマダンソウ,野岛断层,nojimadansou
モリソンゴウジケン,马礼逊号事件,morisongoujiken
イエオサム,家宰,ieosamu
バンダイナムコエンターテインメント,万代南梦宫娱乐,bandainamukoentāteinmento
ニチベイシュウコウツウショウジョウヤク,美日修好通商条约,nichibeishuukoutsuushoujouyaku
セイブドーム,西武巨蛋,seibudōmu
ツルミセン,鹤见线,tsurumisen
チウケタマワ,治承,chiuketamawa
カンセイ,宽政,kansei
ミタケヤマ,御岳山,mitakeyama
ヤタデラ,矢田寺,yatadera
コイシカワコウラクエン,小石川后乐园,koishikawakourakuen
コクドチョウ,国土厅,kokudochou
ヨコカワデンキ,横河电机,yokokawadenki
カガミモチ,镜饼,kagamimochi
マゴメヤド,马笼宿,magomeyado
ナガシマスパーランド,长岛温泉乐园,nagashimasupārando
クモトリヤマ,云取山,kumotoriyama
ショウコクジ,相国寺,shoukokuji
オヤコドンブリ,亲子丼,oyakodonburi
ケイヒントウホクセン,京滨东北线,keihintouhokusen
ヨコハマアリーナ,横滨体育馆,yokohamaarīna
エイゲンジ,永源寺,eigenji
エイヘイジ,永平寺,eiheiji
エイヘイジマチ,永平寺町,eiheijimachi
フクダタケオナイカク,福田赳夫内阁,fukudatakeonaikaku
ニッポンゲンシリョクケンキュウカイハツキコウ,日本原子能研究开发机构,nippongenshiryokukenkyuukaihatsukikou
ジユウミンシュトウソウサイセンキョ,自由民主党总裁选举,jiyuuminshutousousaisenkyo
ヨコハマゴム,横滨橡胶,yokohamagomu
カミザ,上座,kamiza
アシシュコウジン,足手荒神,ashishukoujin
コジマプロダクション,小岛工作室,kojimapurodakushon
アサヒインリョウ,朝日饮料,asahiinryou
タテヒトシ,建仁,tatehitoshi
ウケタマワヒサ,承久,uketamawahisa
クゲ,公家,kuge
トウキョウメトロヒビヤセン,日比谷线,toukyoumetorohibiyasen
ルネサスエレクトロニクス,瑞萨电子,runesasuerekutoronikusu
カワゴエセン,川越线,kawagoesen
コトヒラマチ,琴平町,kotohiramachi
カスミガセキ,霞关,kasumigaseki
ドウジョウジ,道成寺,doujouji
エバラグン,荏原郡,ebaragun
レブンマチ,礼文町,rebunmachi
ケンニンジ,建仁寺,kenninji
ジンメイヨウカンジ,人名用汉字,jinmeiyoukanji
セイブセイブエンセン,西武园线,seibuseibuensen
コウイキレンゴウ,广域联合,kouikirengou
ニシセトジドウシャドウ,西濑户自动车道,nishisetojidoushadou
キョウバシ,京桥,kyoubashi
カイグンダイガッコウ,海军大学校,kaigundaigakkou
コスモセキユ,科斯莫石油公司,kosumosekiyu
スミトモジュウキカイコウギョウ,住友重机械工业,sumitomojuukikaikougyou
トウカイドウ,东海道,toukaidou
フジワラミヤコ,藤原京,fujiwaramiyako
キンタイキョウ,锦带桥,kintaikyou
ヒロシマデンテツ,广岛电铁,hiroshimadentetsu
カンモンキョウ,关门桥,kanmonkyou
エツゼンマチ,越前町,etsuzenmachi
トキナー,图丽,tokinā
キンキュウジシンソクホウ,紧急地震速报,kinkyuujishinsokuhou
オオナルトキョウ,大鸣门桥,oonarutokyou
ノムラホールディングス,野村控股,nomurahōrudingusu
セガサミーホールディングス,世嘉飒美控股,segasamīhōrudingusu
ゾウシガヤレイエン,杂司谷灵园,zoushigayareien
トウキョウカイジョウホールディングス,东京海上控股,toukyoukaijouhōrudingusu
トウキョウガス,东京瓦斯,toukyougasu
スミトモデンキコウギョウ,住友电气工业,sumitomodenkikougyou
ブルーインパルス,蓝色冲击波飞行表演队,burūinparusu
ニッポンミンシュセイネンドウメイ,日本民主青年同盟,nipponminshuseinendoumei
コウブンシャ,光文社,koubunsha
ヒロタジンジャ,广田神社,hirotajinja
ニッポンアカデミーショウシュエンジョユウショウ,日本电影学院奖最佳女主角奖,nipponakademīshoushuenjoyuushou
トウキョウコクサイマラソン,东京国际马拉松,toukyoukokusaimarason
ロクロクビ,辘轳首,rokurokubi
ニッポンアカデミーショウアニメーションサクヒンショウ,日本电影学院奖最佳动画片奖,nipponakademīshouanimēshonsakuhinshou
サンケイシンブン,产经新闻,sankeishinbun
ブンゴスイドウ,丰后水道,bungosuidou
ケイザイサンギョウショウ,经济产业省,keizaisangyoushou
ナガタチョウ,永田町,nagatachou
ケイヒンコウギョウチタイ,京滨工业地带,keihinkougyouchitai
テラコヤ,寺子屋,terakoya
アイラカルデラ,姶良火山臼,airakarudera
カンサイホンセン,关西本线,kansaihonsen
ホンインボウ,本因坊战,honinbou
ナギソマチ,南木曾町,nagisomachi
キリンビール,麒麟啤酒,kirinbīru
スカイレールサービスヒロシマタンキョリコウツウセノセン,广岛短距离交通濑野线,sukairērusābisuhiroshimatankyorikoutsuusenosen
ケイシチョウ,警视厅,keishichou
ダイヒ,大妃,daihi
コサカマチ,小坂町,kosakamachi
カイシャク,介错,kaishaku
フジヌマダム,藤沼大坝,fujinumadamu
フジフイルムビジネスイノベーション,富士胶片商业创新,fujifuirumubijinesuinobēshon
セカイジュウドウセンシュケンタイカイ,世界柔道锦标赛,sekaijuudousenshukentaikai
シンジョウマチ,新庄町,shinjoumachi
カモジンジャ,贺茂神社,kamojinja
タマチ,田町,tamachi
キーエンス,基恩士,kīensu
フクオカコクサイマラソン,福冈国际马拉松,fukuokakokusaimarason
オニカイカルデラ,鬼界破火山口,onikaikarudera
ソウヘイ,僧兵,souhei
トウキョウコクサイジョシマラソン,东京国际女子马拉松,toukyoukokusaijoshimarason
ナカジマヒコウキ,中岛飞机,nakajimahikouki
アオキシワタルテラ,青岸渡寺,aokishiwatarutera
トヨタジドウショッキ,丰田自动织机,toyotajidoushokki
ショウネンガホウシャ,少年画报社,shounengahousha
スタジオヒバリ,云雀工作室,sutajiohibari
カドカワエイガ,角川映画,kadokawaeiga
ブンカコウロウシャ,文化功劳者,bunkakourousha
ゼンニホンフィギュアスケートセンシュケン,全日本花式溜冰锦标赛,zennihonfigyuasukētosenshuken
カンパク,关白,kanpaku
テンピョウ,天平,tenpyou
オキナワプレート,冲绳板块,okinawapurēto
ホクチョウ,北朝,hokuchou
イカタハツデンショ,伊方核能发电厂,ikatahatsudensho
キョウトタワー,京都塔,kyoutotawā
オオサカフサキシュウチョウシャ,大阪府咲洲厅舍,oosakafusakishuuchousha
カロウ,家老,karou
ニッポンユウセン,日本邮船,nipponyuusen
ニッポンアカデミーショウシュエンダンユウショウ,日本电影学院奖最佳男主角奖,nipponakademīshoushuendanyuushou
ハンワジドウシャドウ,阪和自动车道,hanwajidoushadou
カブシキガイシャ,株式会社,kabushikigaisha
トコロマチ,常吕町,tokoromachi
キョウマチカ,京町家,kyoumachika
ショウエン,庄园,shouen
ナカツハン,中津藩,nakatsuhan
ソウヤトンネル,宗谷海峡通道,souyatonneru
ヨナグニウマ,与那国马,yonaguniuma
トウキョウディズニーシー,东京迪士尼海洋,toukyoudizunīshī
キョウトゴショ,京都御所,kyoutogosho
エキデンキョウソウ,驿传竞走,ekidenkyousou
ゲンダイカナヅカイ,现代假名遣,gendaikanadzukai
グンジサンギイン,军事参议院,gunjisangiin
オンキヨーホームエンターテイメント,安桥,onkiyōhōmuentāteimento
フジドリームエアラインズ,富士梦幻航空,fujidorīmuearainzu
カイセイマチ,开成町,kaiseimachi
アシガラカミグン,足柄上郡,ashigarakamigun
ダマアキラゼン,默照禅,damaakirazen
ホクリクホンセン,北陆本线,hokurikuhonsen
キリシマヤマ,雾岛山,kirishimayama
ワラビモチ,蕨饼,warabimochi
マクセル,麦克赛尔,makuseru
ヤザキソウギョウ,矢崎总业,yazakisougyou
ニチアカガクコウギョウ,日亚化学工业,nichiakagakukougyou
ヨウロウリツリョウ,养老律令,yourouritsuryou
チヂミケイエン,缩景园,chidjimikeien
フタバシャ,双叶社,futabasha
タカトリマチ,高取町,takatorimachi
シラハママチ,白滨町,shirahamamachi
サカエマチ,荣町,sakaemachi
オオサカタワー,大阪塔,oosakatawā
フゲン,普贤核能发电厂,fugen
クニタイジ,国泰寺,kunitaiji
ジョウミョウジ,净妙寺,joumyouji
マルハン,丸韩,maruhan
ジョウチジ,净智寺,jouchiji
ヘイケンジ,平间寺,heikenji
オオサカモノレール,大阪单轨电车,oosakamonorēru
キッコーマン,龟甲万,kikkōman
トウブテツドウ,东武铁道,toubutetsudou
サイホウジ,西芳寺,saihouji
クオンジ,久远寺,kuonji
コクサイコウリュウキキン,国际交流基金,kokusaikouryuukikin
マナヅルマチ,真鹤町,manadzurumachi
マツダマチ,松田町,matsudamachi
コウザグン,高座郡,kouzagun
ヨシダマチ,吉田町,yoshidamachi
タコマチ,多古町,takomachi
オオサカトリヒキショ,大阪证券交易所,oosakatorihikisho
ニッポンエイガデータベース,日本电影数据库,nipponeigadētabēsu
タイレンジンジャ,大连神社,tairenjinja
オンセングン,温泉郡,onsengun
ゲンカイゲンシリョクハツデンショ,玄海核能发电厂,genkaigenshiryokuhatsudensho
ヤリガタケ,枪岳,yarigatake
アイコウグン,爱甲郡,aikougun
ニンナジ,仁和寺,ninnaji
シモツガグン,下都贺郡,shimotsugagun
ケイヒンキュウコウデンテツ,京滨急行电铁,keihinkyuukoudentetsu
ナリタシンカンセン,成田新干线,naritashinkansen
ソウムショウ,总务省,soumushou
サンインドウ,山阴道,sanindou
タツノコプロ,龙之子制作,tatsunokopuro
フクオカアジアブンカショウ,福冈亚洲文化奖,fukuokaajiabunkashou
ケイオウセン,京王线,keiousen
タマチイキ,多摩地域,tamachiiki
ザイムショウ,财务省,zaimushou
カクレキリシタン,隐匿基督徒,kakurekirishitan
キンキニホンテツドウ,近畿日本铁道,kinkinihontetsudou
ゴコクジンジャ,护国神社,gokokujinja
キリンカップサッカー,麒麟杯,kirinkappusakkā
ゴコクジ,护国寺,gokokuji
ミソギ,禊,misogi
カイロソフト,开罗游戏,kairosofuto
セキワケ,关胁,sekiwake
コクサイマンガショウ,国际漫画奖,kokusaimangashou
ケイハンホンセン,京阪本线,keihanhonsen
ショウナンシンジュクライン,湘南新宿线,shounanshinjukurain
テレビアイチ,爱知电视台,terebiaichi
トウキョウヤクルトスワローズ,东京养乐多燕子,toukyouyakurutosuwarōzu
ウケタマワタイラ,承平,uketamawataira
ゲンロク,元禄,genroku
エイノベ,永延,einobe
ブンカメ,文龟,bunkame
ナガホ,长保,nagaho
セイコヨミ,正历,seikoyomi
コウシツテンパン,皇室典范,koushitsutenpan
テレビオオサカ,大阪电视台,terebioosaka
アキラヤスシ,昌泰,akirayasushi
イケガミホンモンジ,池上本门寺,ikegamihonmonji
トドウフケンドウ,日本都道府县道,todoufukendou
タタラオオハシ,多多罗大桥,tataraoohashi
セキスイハウス,积水房屋,sekisuihausu
ムラサキシキブブンガクショウ,紫式部文学奖,murasakishikibubungakushou
スーパードライホール,超爽大厅,sūpādoraihōru
トキワカイソクセン,常磐快速线,tokiwakaisokusen
デンエンチョウフ,田园调布,denenchoufu
ババヤマデイリグチ,马场山出入口,babayamadeiriguchi
ホリコシコウトウガッコウ,堀越高等学校,horikoshikoutougakkou
アサクサバシ,浅草桥,asakusabashi
テンノベ,天延,tennobe
エイヒトシ,永仁,eihitoshi
テンロク,天禄,tenroku
アンセイ,安政,ansei
エンチョウ,延长,enchou
ヒロチョウ,弘长,hirochou
セッショウセキ,杀生石,sesshouseki
ニッポンシャ,日本汽车工业,nipponsha
トウレアローズ,东丽箭,tourearōzu
アークシステムワークス,亚克系统,ākushisutemuwākusu
ハダカマツリ,裸祭,hadakamatsuri
チョウジュジ,长寿寺,choujuji
ハリマナダ,播磨滩,harimanada
アタゴヤマ,爱宕山,atagoyama
テンケイ,天庆,tenkei
モトトク,元德,mototoku
タカラオサム,宝治,takaraosamu
キングレコード,国王唱片,kingurekōdo
ケイチョウ,庆长,keichou
セイヨシミ,正嘉,seiyoshimi
テントク,天德,tentoku
コクリツテンモンダイ,国立天文台,kokuritsutenmondai
サガハン,佐贺藩,sagahan
シンデンヅクリ,寝殿造,shindendzukuri
カンイヤッココクオウシルシ,汉委奴国王印,kaniyakkokokuoushirushi
ホテルオークラ,大仓饭店,hoteruōkura
サイトインターチェンジ,西都交流道,saitointāchenji
コクブインターチェンジ,国分交流道,kokubuintāchenji
タカナベインターチェンジ,高锅交流道,takanabeintāchenji
パナソニックパンサーズ,松下黑豹,panasonikkupansāzu
ハクサン,白山,hakusan
イチハラツルマイインターチェンジ,市原鹤舞交流道,ichiharatsurumaiintāchenji
ツノインターチェンジ,都农交流道,tsunointāchenji
チュウソンジ,中尊寺,chuusonji
ジトウ,地头,jitou
アイチコウソクコウツウトウブキュウリョウセン,东部丘陵线,aichikousokukoutsuutoubukyuuryousen
タカオサン,高尾山,takaosan
モンジュ,文殊,monju
クニガミグン,国头郡,kunigamigun
オウザ,王座战,ouza
ゲントウシャ,幻冬舍,gentousha
ハクホウドウ,博报堂,hakuhoudou
テレビサイタマ,埼玉电视台,terebisaitama
ニッコウセン,日光线,nikkousen
ノベケイ,延庆,nobekei
エイカン,永观,eikan
ヨシミレキ,嘉历,yoshimireki
カンタモツ,康保,kantamotsu
チョウイサオ,长德,chouisao
ブンセイ,文政,bunsei
ネゴロジ,根来寺,negoroji
ローソン,罗森,rōson
ハヤブサマチ,隼町,hayabusamachi
ホクリクジドウシャドウ,北陆自动车道,hokurikujidoushadou
マイニチシュッパンブンカショウ,每日出版文化奖,mainichishuppanbunkashou
ウエケシンブン,上毛新闻,uekeshinbun
ミツオカジドウシャ,光冈汽车,mitsuokajidousha
ホンヤタイショウ,本屋大赏,honyataishou
ナンタイサン,男体山,nantaisan
セイブサヤマセン,狭山线,seibusayamasen
ニホンセイコウ,日本精工,nihonseikou
ナゴヤコクサイジョシマラソン,名古屋女子马拉松,nagoyakokusaijoshimarason
テヅカショウ,手冢奖,tedzukashou
ヤスカワデンキ,安川电机,yasukawadenki
オダワラセイバツ,小田原之战,odawaraseibatsu
カッパキョウ,合羽桥,kappakyou
パイオニアレッドウィングス,红翼先锋,paioniareddowingusu
イブキヤマ,伊吹山,ibukiyama
ソニーフィナンシャルグループ,索尼金融控股,sonīfinansharugurūpu
ニシウミミチ,西海道,nishiumimichi
ヨコスカセン,横须贺线,yokosukasen
オオテマチ,大手町,ootemachi
トウキョウメトロフクトシンセン,副都心线,toukyoumetorofukutoshinsen
ケイオウデンテツ,京王电铁,keioudentetsu
コウベモスク,神户清真寺,koubemosuku
ヒガシヤマミチ,东山道,higashiyamamichi
トウキュウ,东急,toukyuu
キカンカヘンデンシャ,轨距可变列车,kikankahendensha
オクタダミダム,奥只见水库,okutadamidamu
コクスイシュギ,国粹主义,kokusuishugi
イワナミショテン,岩波书店,iwanamishoten
マイニチホウソウ,每日放送,mainichihousou
ハカタポートタワー,博多港塔,hakatapōtotawā
カミカゼ,神风,kamikaze
ハクサンコクリツコウエン,白山国立公园,hakusankokuritsukouen
スミトモキンゾクコウギョウ,住友金属工业,sumitomokinzokukougyou
ヨコハマコクサイジョシマラソン,横滨国际女子马拉松,yokohamakokusaijoshimarason
バスケットボールダンシニッポンダイヒョウ,日本国家男子篮球队,basukettobōrudanshinippondaihyou
ニコライドウ,东京复活主教座堂,nikoraidou
ブシ,武士,bushi
ネヅ,根津,nedzu
ジンメンジュ,人面树,jinmenju
ガッケンホールディングス,学研控股,gakkenhōrudingusu
フネユウレイ,船幽灵,funeyuurei
アスカキヨシゴハラレイ,飞鸟净御原令,asukakiyoshigohararei
ケイハンケイシンセン,京津线,keihankeishinsen
トクナガコウサテン,德永临时出入口,tokunagakousaten
マイニチエイガコンクール,每日电影奖,mainichieigakonkūru
エナサン,惠那山,enasan
ヨコハマシエイチカテツ,横滨市营地铁,yokohamashieichikatetsu
コッカイギジドウ,国会议事堂,kokkaigijidou
アイベックスエアラインズ,伊别克斯航空,aibekkusuearainzu
ホッカイドウマラソン,北海道马拉松,hokkaidoumarason
エンベツマチ,远别町,enbetsumachi
タカラトミー,多美,takaratomī
テヅカオサムブンカショウ,手冢治虫文化奖,tedzukaosamubunkashou
コッカコウアンイインカイイインチョウ,国家公安委员会委员长,kokkakouaniinkaiiinchou
コクラミナミインターチェンジ,小仓南交流道,kokuraminamiintāchenji
シンモジインターチェンジ,新门司交流道,shinmojiintāchenji
カワバタヤスナリブンガクショウ,川端康成文学奖,kawabatayasunaribungakushou
プラチナゲームズ,白金工作室,purachinagēmuzu
モジコウインターチェンジ,门司港交流道,mojikouintāchenji
コーエーテクモホールディングス,光荣特库摩,kōētekumohōrudingusu
コガインターチェンジ,古贺交流道,kogaintāchenji
ソウムダイジン,总务大臣,soumudaijin
ホウエイジシン,宝永地震,houeijishin
イシカリシンコウキョク,石狩振兴局,ishikarishinkoukyoku
ニホンツウウン,日本通运,nihontsuuun
ノベヤマウチュウデンパカンソクショ,野边山宇宙电波观测所,nobeyamauchuudenpakansokusho
ニッポンガ,胶彩画,nipponga
トウキョウアニメアワード,东京动画奖,toukyouanimeawādo
ヒラドオオハシ,平户大桥,hiradooohashi
エンショウジ,圆照寺,enshouji
アヅマヤマ,吾妻山,adzumayama
オオバン,大判,ooban
カドマツ,门松,kadomatsu
コナキジイ,子泣爷爷,konakijii
セイユウアワード,声优奖,seiyuuawādo
ジャパンディスプレイ,日本显示器,japandisupurei
カンサイキイン,关西棋院,kansaikiin
コクドチリイン,国土地理院,kokudochiriin
ハヤママチ,叶山町,hayamamachi
キセイ,棋圣战,kisei
エンギシキ,延喜式,engishiki
サムカワマチ,寒川町,samukawamachi
エニックス,艾尼克斯,enikkusu
トウノショウマチ,东庄町,tounoshoumachi
クシモトマチ,串本町,kushimotomachi
マンヨウセン,万叶线,manyousen
ツバメ,燕号列车,tsubame
ナカイマチ,中井町,nakaimachi
