stefano,스테파노,seutepano
gimondi,지몬디,jimondi
sonny,소니,soni
colbrelli,콜브렐리,kolbeurelri
bargnani,바르냐니,bareunyani
littizzetto,리티체토,riticeto
silvia,실비아,silbia
orazio,오라치오,oracio
fagone,파고네,pagone
currenti,커런티,keoreonti
trettel,트레텔,teuretel
sereni,세레니,sereni
nicolazzi,니콜라치,nikolraci
falconi,팔코니,palkoni
renga,렝가,rengga
maccari,마카리,makari
ambrosio,암브로시오,ambeurosio
vespa,베스파,beseupa
fitto,피토,pito
bagarella,바가렐라,bagarelra
pisacane,피사카네,pisakane
mainardi,마이나르디,mainareudi
antonutti,안토누티,antonuti
bulleri,불레리,bulreri
pasinetti,파시네티,pasineti
capezzone,카페초네,kapecone
valenti,발렌티,balrenti
federzoni,페데르초니,pedereuconi
pittella,피텔라,pitelra
trentin,트렌틴,teurentin
pomilio,포밀리오,pomilrio
piovene,피오베네,piobene
trost,트로스트,teuroseuteu
angiolillo,안졸릴로,anjolrilro
pavanelli,파바넬리,pabanelri
morvillo,모르빌로,moreubilro
terlizzi,테를리치,tereulrici
agazio,아가치오,agacio
loiero,로이에로,roiero
profaci,프로파치,peuropaci
cappa,카파,kapa
benigno,베니뇨,beninyo
zaccagnini,차카니니,cakanini
fico,피코,piko
colombari,콜롬바리,kolrombari
severgnini,세베르니니,sebereunini
fenoglio,페놀리오,penolrio
doriana,도리아나,doriana
leondeff,레온데프,reondepeu
christine,크리스틴,keuriseutin
mayn,메이,mei
scardamaglia,스카르다말리아,seukareudamalria
emmer,엠메르,emmereu
lukas,루카스,rukaseu
hofer,호퍼,hopeo
prospero,프로스페로,peuroseupero
ferdinando,페르디난도,pereudinando
bettina,베티나,betina
galvagni,갈바니,galbani
casarin,카사린,kasarin
storti,스토르티,seutoreuti
bellissimo,프란체스코,peuranceseuko
penna,페나,pena
nostini,노스티니,noseutini
lojodice,로요디체,royodice
ambrogio,암브로죠,ambeurojyo
meggiorini,메조리니,mejorini
pascali,파스칼리,paseukalri
zannier,찬니에르,canniereu
ciarrocca,차로카,caroka
duilio,둘리오,dulrio
fabri,파브리,pabeuri
fibra,피브라,pibeura
liverani,리베라니,riberani
gugerotti,구제로티,gujeroti
tofano,토파노,topano
marconato,마르코나토,mareukonato
praz,프라츠,peuraceu
pazzaglia,파찰리아,pacalria
mastella,마스텔라,maseutelra
zagrebelsky,차그레벨스키,cageurebelseuki
peppino,주세페,jusepe
impastato,임파스타토,impaseutato
bruscantini,브루스칸티니,beuruseukantini
binetti,비네티,bineti
sylos,실로스,silroseu
labini,라비니,rabini
gonella,고넬라,gonelra
hugo,우고,ugo
sconochini,스코노치니,seukonocini
parmitano,파르미타노,pareumitano
tacchini,타키니,takini
edi,에디,edi
angelillo,안젤릴로,anjelrilro
tinti,틴티,tinti
benevelli,베네벨리,benebelri
molinari,몰리나리,molrinari
dargen,다르젠,dareujen
bellodi,벨로디,belrodi
arnaboldi,아르나볼디,areunaboldi
silvano,실바노,silbano
bartolini,바르톨리니,bareutolrini
paparesta,파파레스타,papareseuta
arbore,아르보레,areubore
hoara,호아라,hoara
borselli,보셀리,boselri
maccio,마초,maco
capatonda,카파톤다,kapatonda
rauti,라우티,rauti
ronnie,로니,roni
quintarelli,퀸타렐리,kwintarelri
prampolini,프람폴리니,peurampolrini
sughi,수기,sugi
armenteros,아르멘테로스,areumenteroseu
carpino,카르피노,kareupino
profumo,프로푸모,peuropumo
bassanini,바사니니,basanini
viviani,비비아니,bibiani
basaglia,바살리아,basalria
d'alatri,다알라트리,daalrateuri
cottafavi,코타파비,kotapabi
mazzacurati,마자쿠라티,majakurati
calamandrei,칼라만드레이,kalramandeurei
molaioli,몰라이올리,molraiolri
fusati,푸사티,pusati
depero,데페로,depero
paolella,파올렐라,paolrelra
cerami,체라미,cerami
augias,아우자스,aujaseu
tonino,토니노,tonino
valerii,발레리,balreri
serse,세르세,sereuse
cosmi,코스미,koseumi
occhipinti,오치핀티,ocipinti
novellino,노벨리노,nobelrino
corinna,코린나,korinna
boccacini,보카치니,bokacini
ulcigrai,울치그라이,ulcigeurai
ilario,일라리오,ilrario
castagner,카스타녜르,kaseutanyereu
éva,에바,eba
henger,엔제르,enjereu
piccoli,피콜리,pikolri
celletti,첼레티,celreti
benvolio,벤볼리오,benbolrio
baglio,발리오,balrio
martín,마르틴,mareutin
castrogiovanni,카스트로조반니,kaseuteurojobanni
ravagnan,라바냔,rabanyan
škamperle,슈캄페를레,syukampereulre
calandra,칼란드라,kalrandeura
sanzogno,산초뇨,sanconyo
flick,플리크,peulrikeu
sighel,시겔,sigel
grilli,그릴리,geurilri
apuzzo,아푸초,apuco
abetti,아베티,abeti
marciano,마르치아노,mareuciano
petrella,페트렐라,peteurelra
guazzoni,과초니,gwaconi
capecchi,카페키,kapeki
max,맥스,maegseu
pescatori,페스카토리,peseukatori
recalcati,레칼카티,rekalkati
paciotti,파치오티,pacioti
cangiullo,칸줄로,kanjulro
spang,스팽,seupaeng
gualtieri,괄티에리,gwaltieri
feltri,펠트리,pelteuri
borghezio,보르게치오,boreugecio
d'alò,달로,dalro
giangiacomo,장이아코모,jangiakomo
feltrinelli,펠트리넬리,pelteurinelri
pinola,피놀라,pinolra
balzano,발차노,balcano
rotella,로텔라,rotelra
giustino,주스티노,juseutino
durano,두라노,durano
corvia,코르비아,koreubia
brezzi,브레치,beureci
minieri,미니에리,minieri
gerhard,게르하르트,gereuhareuteu
plankensteiner,플랑켄슈타이너,peulrangkensyutaineo
koll,콜,kol
cinquanta,친콴타,cinkwanta
pilotto,필로토,pilroto
novarese,노바레세,nobarese
riotta,리오타,riota
sentieri,센티에리,sentieri
becciu,베추,becu
vanni,반니,banni
cimolai,치몰라이,cimolrai
archetti,아르케티,areuketi
d'urso,두르소,dureuso
carbone,카르보네,kareubone
bosetti,보세티,boseti
lonzi,론치,ronci
accame,아카메,akame
lelli,렐리,relri
gerardo,제라르도,jerareudo
dottori,도토리,dotori
aliprandi,알리프란디,alripeurandi
osella,오세야,oseya
borzoni,보즈리,bojeuri
píriz,피리스,piriseu
giglioli,질리올리,jilriolri
desideri,데스데리데,deseuderide
nigro,니그로,nigeuro
cossutta,코수타,kosuta
montarsolo,몬타르솔로,montareusolro
tebaldo,티볼트,tibolteu
nedo,네도,nedo
fiano,피아노,piano
sgarbi,스가르비,seugareubi
pappi,파피,papi
corsicato,코르시카토,koreusikato
morazzoni,모라초니,moraconi
ingroia,인그로이아,ingeuroia
catalano,카탈라노,katalrano
mikelangelo,미켈란젤로,mikelranjelro
loconte,로콩테,rokongte
piersanti,피에르산티,piereusanti
alan,앨런,aelreon
marangoni,마랑고니,maranggoni
caprara,카프라라,kapeurara
emmanuel,엠마누엘,emmanuel
cascione,카시오네,kasione
odorizzi,오도리치,odorici
rômulo,호물루,homulru
souza,소우자,souja
orestes,오레스테스,oreseuteseu
caldeira,칼데라,kaldera
burrai,부라이,burai
picone,피코네,pikone
livia,리비아,ribia
giampalmo,잠팔모,jampalmo
peretti,페레티,pereti
soavi,소아비,soabi
chiantoni,키안토니,kiantoni
frazzi,프라치,peuraci
venturi,벤투리,benturi
gava,가바,gaba
vittorino,비토리노,bitorino
gerti,제르티,jereuti
drassl,드라슬,deuraseul
colaninno,콜라닌노,kolraninno
simoni,시모니,simoni
borasio,보라시오,borasio
baldanello,발다넬로,baldanelro
alojz,알로이스,alroiseu
rebula,레불라,rebulra
brunetta,브루네타,beuruneta
nobile,빌레,bilre
guelfi,구엘피,guelpi
buffardi,부파르디,bupareudi
yuri,유리,yuri
confortola,콘포르톨라,konporeutolra
brizzi,브리찌,beurijji
carnino,카르니노,kareunino
geppi,제피,jepi
cucciari,쿠차리,kucari
cingolani,싱골라니,singgolrani
vergano,베르가노,bereugano
napoleoni,나폴리오니,napolrioni
cappato,카파토,kapato
serafini,세라피니,serapini
labriola,라브리올라,rabeuriolra
mustacchio,무스타키오,museutakio
tazio,타치오,tacio
secchiaroli,세키아롤리,sekiarolri
nuto,누토,nuto
revelli,레벨리,rebelri
spallino,스팔리노,seupalrino
formentini,포르멘티니,poreumentini
marcuzzi,마르쿠치,mareukuci
vagnozzi,바뇨치,banyoci
brusca,브루스카,beuruseuka
berel,베를,bereul
lazar,라자르,rajareu
palmas,팔마스,palmaseu
alfio,알피오,alpio
quarteroni,콰르테로니,kwareuteroni
ciotti,초티,coti
gaudioso,가우디오소,gaudioso
villalta,빌랄타,bilralta
scurto,스쿠르토,seukureuto
zenatello,체나텔로,cenatelro
ricciarelli,리차렐리,ricarelri
battiferri,바티페리,batiperi
schicchi,스키키,seukiki
černigoj,체르니고이,cereunigoi
casolla,카솔라,kasolra
lotar,헤드만,hedeuman
michaela,미카엘라,mikaelra
biancofiore,비안코피오레,biankopiore
mannoia,만노이아,mannoia
paride,파리데,paride
tumburus,툼부루스,tumburuseu
belpoliti,벨폴리티,belpolriti
spataro,스파타로,seupataro
neffa,네파,nepa
scalia,스칼리아,seukalria
dorfles,도르플레스,doreupeulreseu
zoratto,초라토,corato
vita,비타,bita
santapaola,산타파올라,santapaolra
ignacio,디오스,dioseu
scocco,스코코,seukoko
calimani,칼리마니,kalrimani
musumeci,무수메치,musumeci
siro,시로,siro
marcellini,마르첼리니,mareucelrini
rabagliati,라발리아티,rabalriati
urso,우르소,ureuso
lista,리스타,riseuta
faria,신부,sinbu
carraretto,카라레토,karareto
belicchi,벨리키,belriki
barbagallo,바바갈로,babagalro
zanotti,자노티,janoti
ephrikian,에프리키안,epeurikian
litteri,리테리,riteri
tarantola,타란톨라,tarantolra
borgonzoni,보르곤초니,boreugonconi
mimun,미문,mimun
bertolaso,베르톨라소,bereutolraso
malinconico,말린코니코,malrinkoniko
ermano,에르마노,ereumano
latella,레이텔라,reitelra
fasano,파사노,pasano
masullo,마술로,masulro
marra,마라,mara
alvinio,알비니오,albinio
misciano,미시아노,misiano
alberti,알베르티,albereuti
ciancimino,찬치미노,cancimino
minniti,민니티,minniti
bocchino,보키노,bokino
bellillo,벨릴로,belrilro
lepanto,레판토,repanto
amerigo,아메리코,ameriko
fontani,폰타니,pontani
setti,세티,seti
marazza,마라차,maraca
canna,칸나,kanna
ginevra,지네브라,jinebeura
bompiani,봄피아니,bompiani
gaggia,가자,gaja
facchinetti,파키네티,pakineti
costanzo,코스탄조,koseutanjo
jože,요제,yoje
pirjevec,피리에베츠,piriebeceu
cutrera,쿠트레라,kuteurera
d'aniello,다니엘로,danielro
viero,비에로,biero
baracchini,바라키니,barakini
acutis,아쿠티스,akutiseu
crosariol,크로사리올,keurosariol
libretti,아나리브레티,anaribeureti
calza,칼자,kalja
molesini,몰레시니,molresini
brambilla,브람빌라,beurambilra
purgatori,푸르가토리,pureugatori
cagli,칼리,kalri
tumiati,투미아티,tumiati
scanzi,스칸치,seukanci
saccaggi,사카지,sakaji
riolo,리올로,riolro
acidini,아치디니,acidini
pizzinato,피치나토,picinato
sallusti,살루스티,salruseuti
ioriatti,이오리아티,ioriati
melillo,멜릴로,melrilro
vocalelli,보칼렐리,bokalrelri
abbagnato,아바냐토,abanyato
cairo,카이로,kairo
bertuzzi,베르투치,bereutuci
alfonsina,알폰시나,alponsina
pieri,피에리,pieri
d'aguanno,다관노,dagwanno
luana,루아나,ruana
piovani,피오바니,piobani
ruiz,루이스,ruiseu
esmeralda,에스메랄다,eseumeralda
erminio,에르미니오,ereuminio
sipari,시파리,sipari
pasquini,파스퀴니,paseukwini
pezzana,페차나,pecana
biondi,비온디,biondi
matano,마타노,matano
marietta,마리에타,marieta
bonaiuti,보나이우티,bonaiuti
simonini,시모니니,simonini
tessitore,테시토레,tesitore
sorino,소리노,sorino
testasecca,테스타세카,teseutaseka
bertasio,베르타시오,bereutasio
miserocchi,미세로키,miseroki
bonfrisco,본프리스코,bonpeuriseuko
vianini,비아니니,bianini
praticò,프라티코,peuratiko
annagrazia,안나그라치아,annageuracia
bizzelli,비첼리,bicelri
brasola,브라솔라,beurasolra
ferrarotti,페라로티,peraroti
villabruna,빌라브루나,bilrabeuruna
roiter,로이테르,roitereu
arsenio,아르세니오,areusenio
frugoni,푸르고니,pureugoni
carteri,카르테리,kareuteri
galileo,갈릴레오,galrilreo
chini,키니,kini
casu,카수,kasu
basilico,바실리코,basilriko
camilla,카밀라,kamilra
ripamonti,리파몬티,ripamonti
mirabelli,미라벨리,mirabelri
romoli,로밀리,romilri
morroni,모로니,moroni
checco,케코,keko
zalone,찰로네,calrone
gilberto,길베르토,gilbereuto
veneziani,베네치아니,beneciani
vivaldi,비발디,bibaldi
volpato,볼파토,bolpato
bolzoni,볼조니,boljoni
anti,안티,anti
cavadi,카바디,kabadi
arnaudi,아르나우디,areunaudi
becatti,베카티,bekati
cinico,치니코,ciniko
angelini,안젤리니,anjelrini
christiane,크리스티안,keuriseutian
filangieri,필리건에리,pilrigeoneri
dall'orto,달오르토,daloreuto
dell'aringa,델라린가,delraringa
cifariello,치파리엘로,ciparielro
aurora,아우로라,aurora
ruffino,루피노,rupino
mussio,무시오,musio
zanella,자넬라,janelra
palombelli,팔롬벨리,palrombelri
lorenzin,로렌친,rorencin
maccanico,마카니코,makaniko
cupellini,쿠펠리니,kupelrini
ermelli,에르멜리,ereumelri
casillo,카실로,kasilro
bignardi,비냐르디,binyareudi
gioè,조에,joe
starace,스타라체,seutarace
sainati,사이나티,sainati
mazzini,마치니,macini
buzzolan,부조란,bujoran
cantarelli,칸타렐리,kantarelri
antoniozzi,안토니오치,antonioci
ballantini,발란티니,balrantini
bandiera,반데라,bandera
moneta,모네타,moneta
rinaldi,리날디,rinaldi
pasqualin,파스콸린,paseukwalrin
convertini,콘베르티니,konbereutini
pelanda,펠란다,pelranda
zuliani,출리아니,culriani
parenzo,파렌초,parenco
merlin,메를린,mereulrin
rebora,레보라,rebora
sbordone,스보르도네,seuboreudone
devenuto,데베누토,debenuto
iacopini,이아코피니,iakopini
colapesce,콜라페셰,kolrapesye
verdelli,베르델리,bereudelri
rondoni,론도니,rondoni
pitzorno,피초르노,picoreuno
santori,산토리,santori
cloe,클로에,keulroe
elmo,엘모,elmo
bice,비체,bice
michelozzi,미켈로치,mikelroci
bindo,빈도,bindo
dea,데아,dea
garbaccio,가르바초,gareubaco
debora,데보라,debora
serracchiani,세라키아니,serakiani
valori,발로리,balrori
racca,라카,raka
cosetta,코세타,koseta
cosima,코시마,kosima
coppola,코폴라,kopolra
brigitta,브리지타,beurijita
scivittaro,시비타로,sibitaro
caracciolo,카라치올로,karaciolro
dimartino,디마르티노,dimareutino
campanella,캄파넬라,kampanelra
cesara,체사라,cesara
buonamici,부오나미치,buonamici
dalmazio,달마치오,dalmacio
masini,마시니,masini
ziglio,칠리오,cilrio
dria,드리아,deuria
dora,도라,dora
divino,디비노,dibino
otelma,오텔마,otelma
crispolti,크리스폴티,keuriseupolti
dušan,두샨,dusyan
jelinčič,옐린치치,yelrincici
mellano,멜라노,melrano
deaglio,데알리오,dealrio
cirielli,치리엘리,cirielri
gasbarra,가스바라,gaseubara
flora,플로라,peulrora
carabella,카라벨라,karabelra
cacciatori,카치아토리,kaciatori
magenes,마제네스,majeneseu
mutti,무티,muti
tamantini,타만티니,tamantini
ravezzani,라베차니,rabecani
chillemi,킬레미,kilremi
egidio,에지디오,ejidio
sterpa,스테르파,seutereupa
salvalajo,살발라요,salbalrayo
cicchitto,치키토,cikito
viarisio,비아리시오,biarisio
vettori,베토리,betori
saccomanni,사코만니,sakomanni
rondolino,론돌리노,rondolrino
belsito,벨시토,belsito
pedron,페드론,pedeuron
elenoire,엘레노이레,elrenoire
casalegno,카살레뇨,kasalrenyo
elido,엘리도,elrido
fazi,파치,paci
monteleone,몬텔레오네,montelreone
fatima,파티마,patima
giavazzi,자바치,jabaci
capitani,카피타니,kapitani
nargi,나르기,nareugi
panicucci,파니쿠치,panikuci
sciarelli,시아렐리,siarelri
isoardi,이소아르디,isoareudi
gardini,가르디니,gareudini
erasmo,에라스모,eraseumo
recami,레카미,rekami
terabust,테라부스트,terabuseuteu
elémire,엘레미레,elremire
zolla,촐라,colra
giammanco,잠만코,jammanko
galbiati,갈리아티,galriati
dentamaro,덴타마로,dentamaro
evacuo,에바쿠오,ebakuo
quagliariello,콸리아리엘로,kwalriarielro
esterino,에스테리노,eseuterino
montino,몬티노,montino
coop,코프,kopeu
gea,제아,jea
candio,칸디오,kandio
danieli,다니엘리,danielri
cassiani,카시아니,kasiani
nunziante,눈치안테,nunciante
geno,제노,jeno
pampaloni,팜팔로니,pampalroni
pintore,핀토레,pintore
bianco,비앙코,biangko
georgia,조지아,jojia
luzi,루지,ruji
germana,제르마나,jereumana
pasquero,파스케로,paseukero
ghemon,게몬,gemon
beltram,벨트람,belteuram
fiorentino,피오렌티노,piorentino
sullo,술로,sulro
bellavia,벨라비아,belrabia
vigorelli,비고렐리,bigorelri
pastorino,파스토리노,paseutorino
gianguido,잔귀도,jangwido
lupano,루파노,rupano
iacono,라코노,rakono
buonanno,부오난노,buonanno
coci,코치,koci
tavarelli,타바렐리,tabarelri
paragone,파라고네,paragone
sportelli,스포르텔리,seuporeutelri
monaldi,모날디,monaldi
urru,우루,uru
gancia,간차,ganca
franz,프란츠,peuranceu
cioccio,시오치오,siocio
sedati,세다티,sedati
prosperi,프로스페리,peuroseuperi
gattomonticone,가토몬티코네,gatomontikone
squinzi,스퀸치,seukwinci
seveso,세베소,sebeso
cuperlo,쿠페를로,kupereulro
calanchini,칼란키니,kalrankini
mughini,무기니,mugini
botteri,보테리,boteri
boneschi,보네스키,boneseuki
donnini,돈니니,donnini
bedeschi,베데스키,bedeseuki
pierozzi,피에로치,pieroci
pignatone,피냐토네,pinyatone
porelli,포렐리,porelri
gianvito,잔비토,janbito
misuraca,미수라카,misuraka
romita,로미타,romita
basili,바실리,basilri
sammarchi,삼마르키,sammareuki
giammetti,잠메티,jammeti
scopelliti,스코펠리티,seukopelriti
bianconi,비안코니,biankoni
averardi,아베라르디,aberareudi
pittelli,피텔리,pitelri
togni,토니,toni
bartolozzi,바르톨로치,bareutolroci
pagliarini,팔리아리니,palriarini
lavagetto,라바제토,rabajeto
cambiano,캄비아노,kambiano
d'anzi,단치,danci
conso,콘소,konso
petriccione,페트리치오네,peteuricione
letizia,레티치아,reticia
veronese,베로네세,beronese
galloni,갈로니,galroni
migneco,미그네코,migeuneko
falcomatà,팔코마타,palkomata
delrio,델리오,delrio
gioele,조엘레,joelre
dix,딕스,digseu
gianetiempo,자네티엠포,janetiempo
zazzaroni,차차로니,cacaroni
bongianni,봉기니니,bongginini
cotroneo,코트로네오,koteuroneo
scalfarotto,스칼파로토,seukalparoto
trasselli,트라첼리,teuracelri
giarrizzo,자리초,jarico
graviano,그라비아노,geurabiano
cavellini,카벨리니,kabelrini
vaccaro,바카로,bakaro
visocchi,비소키,bisoki
cosmacini,코스마치니,koseumacini
pistollato,피스톨라토,piseutolrato
lupis,루피스,rupiseu
matteoni,마테오니,mateoni
gherarducci,게라르두치,gerareuduci
caprino,카프리노,kapeurino
guazzaloca,과찰로카,gwacalroka
rezza,레차,reca
pieraccini,피에라치니,pieracini
piperno,피페르노,pipereuno
forattini,포라티니,poratini
mininni,미닌니,mininni
corbellini,코르벨리니,koreubelrini
jun,준,jun
ichikawa,이치카와,icikawa
juan,후안,huan
fabi,파비,pabi
travaglini,트라발리니,teurabalrini
testori,테스토리,teseutori
vernia,베르니아,bereunia
baccaloni,바칼로니,bakalroni
martinucci,마르티누치,mareutinuci
aldisio,알디시오,aldisio
kevin,케빈,kebin
liorni,리오르니,rioreuni
guerini,궤리니,gwerini
guillermo,기예르모,giyereumo
mariotto,마리오토,marioto
scattorin,스카토린,seukatorin
gasparotto,가스파로토,gaseuparoto
sposini,스포시니,seuposini
efrikian,에프리키안,epeurikian
esposto,에스포스토,eseuposeuto
vignolo,비뇰로,binyolro
chimenti,키멘티,kimenti
igino,이지노,ijino
coffari,코파리,kopari
boldrini,볼드리니,boldeurini
messedaglia,메세달리아,mesedalria
marinoni,마리노니,marinoni
ravetto,라베토,rabeto
pariani,파리아니,pariani
spada,스패다,seupaeda
ceriscioli,체리시올리,cerisiolri
vannini,반니니,bannini
tamburini,탐부리니,tamburini
lazzarin,라차린,racarin
lucini,루시니,rusini
tinagli,티날리,tinalri
cattani,카타니,katani
joyce,조이스,joiseu
maglie,말리에,malrie
telese,텔레세,telrese
amatucci,아마투치,amatuci
rubinacci,루비나치,rubinaci
caramel,카라멜,karamel
savignano,사비냐노,sabinyano
zanda,찬다,canda
jottini,요티니,yotini
zoppelli,초펠리,copelri
castellina,카스텔리나,kaseutelrina
paiato,파이아토,paiato
corvaglia,바글리아,bageulria
pulvirenti,풀비렌티,pulbirenti
sconcerti,스콘체르티,seukoncereuti
martorana,마르토라나,mareutorana
gallino,갈리노,galrino
bonfatti,본파티,bonpati
cannito,카니토,kanito
mecacci,메카치,mekaci
marianella,마리아넬라,marianelra
bargilli,바르길리,bareugilri
staderini,스타데리니,seutaderini
volonghi,볼롱기,bolronggi
d'aragona,다라고나,daragona
crozza,크로차,keuroca
belpietro,벨피에트로,belpieteuro
spadafora,스파다포라,seupadapora
tagliaferri,탈리아페리,talriaperi
busdachin,부스다킨,buseudakin
massimiano,마시미아노,masimiano
bucchi,부키,buki
camaiti,카마이티,kamaiti
bertoldi,베르톨디,bereutoldi
fedriga,페드리가,pedeuriga
myrta,미르타,mireuta
merlino,메를리노,mereulrino
lastrico,라스트리코,raseuteuriko
pistocchi,피스토키,piseutoki
nadia,나디아,nadia
toffa,토파,topa
scudiero,스쿠디에로,seukudiero
ossini,오시니,osini
napoleone,나폴레오네,napolreone
martinuzzi,마르티누치,mareutinuci
casciari,카시아리,kasiari
natalino,나탈리노,natalrino
otto,오토,oto
bitonci,비톤치,bitonci
dondero,돈데로,dondero
caputi,카푸티,kaputi
aggradi,아그라디,ageuradi
feliciani,펠리차니,pelricani
gramellini,그라멜리니,geuramelrini
turci,투르치,tureuci
ghedini,게디니,gedini
tovaglia,토발리아,tobalria
giletti,질레티,jilreti
quattrini,콰트리니,kwateurini
bargiggia,바르지자,bareujija
bigongiari,비곤자리,bigonjari
pignatelli,피냐텔리,pinyatelri
pilotti,필로티,pilroti
miti,미티,miti
cananzi,카난지,kananji
celata,첼라타,celrata
cognetti,코녜티,konyeti
branciamore,브란시아모레,beuransiamore
d'antoni,단토니,dantoni
nilo,닐로,nilro
fassio,파시오,pasio
campilli,캄필리,kampilri
miela,미엘라,mielra
reina,레이나,reina
altissimo,알티시모,altisimo
locasciulli,로카슐리,rokasyulri
marchesani,마르케사니,mareukesani
pirazzini,피라치니,piracini
candurro,칸두로,kanduro
mafai,마파이,mapai
petrini,페트리니,peteurini
oriella,오리엘라,orielra
dorella,도렐라,dorelra
pressacco,프레사코,peuresako
ruffilli,루필리,rupilri
ortensio,오르텐시오,oreutensio
zecchino,체키노,cekino
tramezzani,트라메차니,teuramecani
maggioni,마조니,majoni
taggi,타지,taji
ziliani,칠리아니,cilriani
rutigliano,루틸리아노,rutilriano
pina,피나,pina
picierno,피치에르노,piciereuno
savarese,사바레세,sabarese
pellegrino,펠레그리노,pelregeurino
serra,세라,sera
roby,로비,robi
tremelloni,트레멜로니,teuremelroni
bizzarri,비자리,bijari
valduga,발두가,balduga
scianca,시앙카,siangka
rispo,리스포,riseupo
sabelli,사벨리,sabelri
leonelli,레오넬리,reonelri
peppe,페페,pepe
zarbo,차르보,careubo
nikol',니콜,nikol
gosvijani,고스비아니,goseubiani
pallottini,팔로티니,palrotini
salomone,살로모네,salromone
sonego,소네고,sonego
polizzy,폴리치,polrici
carbonelli,카르보넬리,kareubonelri
capponi,카포니,kaponi
selvaggia,셀바자,selbaja
autieri,아우티에리,autieri
serafino,세라피노,serapino
murri,무리,muri
aiello,아이엘로,aielro
piercamillo,피에르카밀로,piereukamilro
davigo,다비고,dabigo
bruzzone,브루초네,beurucone
folli,폴리,polri
bisacco,비사코,bisako
nazzaro,나차로,nacaro
paleari,팔레아리,palreari
ramona,라모나,ramona
badescu,버데스쿠,beodeseuku
casati,카사티,kasati
pierattini,피에라티니,pieratini
staino,스타이노,seutaino
mozzato,모차토,mocato
terracini,테라치니,teracini
tupini,투피니,tupini
steno,스테노,seuteno
bisti,비스티,biseuti
giacinti,자친티,jacinti
sabino,사비노,sabino
frontali,프론탈리,peurontalri
toffanin,토파닌,topanin
teo,테오,teo
mammucari,맘무카리,mammukari
teocoli,테오콜리,teokolri
zanone,차노네,canone
lauricella,라우리첼라,rauricelra
onida,오니다,onida
missiroli,미시롤리,misirolri
thayaht,타이아트,taiateu
timperi,팀페리,timperi
zecchin,체킨,cekin
marchini,마르키니,mareukini
tiziana,티치아나,ticiana
panella,파넬라,panelra
piscicelli,피시첼리,pisicelri
valitutti,발리투티,balrituti
borioni,보리오니,borioni
annicchiarico,안니키아리코,annikiariko
d'andrea,안드레아,andeurea
samanta,사만타,samanta
piccinetti,피치네티,picineti
biasotti,비아소티,biasoti
gozi,고치,goci
desario,데사리오,desario
ragno,라그노,rageuno
accolla,아콜라,akolra
topazia,토파치아,topacia
alliata,알리아타,alriata
wladimiro,블라디미로,beulradimiro
calarese,칼라레세,kalrarese
mastropirro,마스트로피로,maseuteuropiro
giovine,조비네,jobine
romani,로마니,romani
ubaldo,우발도,ubaldo
ragona,라고나,ragona
chiodaroli,키오다롤리,kiodarolri
harry,해리,haeri
riccobene,리코베네,rikobene
riento,리엔토,riento
oleg,올레크,olrekeu
marshev,마르셰프,mareusyepeu
balistrieri,발리스트리에리,balriseuteurieri
merola,메롤라,merolra
accorinti,아코린티,akorinti
rustioni,루스티오니,ruseutioni
trunfio,트런피오,teureonpio
contarello,콘타렐로,kontarelro
regazzo,레가초,regaco
frederic,프레데릭,peurederig
blondett,블론데트,beulrondeteu
fialdini,피알디니,pialdini
gerbo,제르보,jereubo
stanfa,스탄파,seutanpa
bertocci,베르토치,bereutoci
excella,엑셀라,egselra
gionne,기온네,gionne
joey,조이,joi
lamotta,러모타,reomota
ungari,웅가리,unggari
grevi,그레비,geurebi
vascellari,바셸라리,basyelrari
malagò,말라고,malrago
alborghetti,알보르게티,alboreugeti
edun,에둔,edun
marsiglia,마르실리아,mareusilria
caccialanza,카찰란차,kacalranca
causin,카우신,kausin
tremolada,트레몰라다,teuremolrada
argeo,아르제오,areujeo
apollo,아폴로,apolro
granforte,그란포르테,geuranporeute
malusà,말루사,malrusa
bocalon,보칼론,bokalron
paladini,팔라디니,palradini
premiani,프레미아니,peuremiani
tonioli,토니올리,toniolri
mariángela,마리앙헬라,marianghelra
bonanni,보나니,bonani
ciccotti,치코티,cikoti
busellato,부셀라토,buselrato
russell,러셀,reosel
bufalino,버팔리노,beopalrino
pettinari,페티나리,petinari
salvai,살바이,salbai
modesti,모데스티,modeseuti
benini,베니니,benini
cirinnà,치린나,cirinna
miroslav,미로슬라우,miroseulrau
košuta,코슈타,kosyuta
zanini,자니니,janini
laurent,로랑,rorang
gelmetti,젤메티,jelmeti
todd,토드,todeu
incantalupo,인칸탈루포,inkantalrupo
sciolla,시올라,siolra
campagnano,캄파냐노,kampanyano
nardella,나르델라,nareudelra
cella,아셀라,aselra
toninelli,토니넬리,toninelri
cucci,퀴치,kwici
ganzarolli,간차롤리,gancarolri
cutolo,쿠톨로,kutolro
cacace,카카체,kakace
richetti,리케티,riketi
mancinelli,만치넬리,mancinelri
orfini,오르피니,oreupini
bonafè,보나페,bonape
pescosta,페스코스타,peseukoseuta
fraccaro,프라카로,peurakaro
carrozza,카로차,karoca
sergas,세르가스,sereugaseu
manetti,마네티,maneti
calenda,칼렌다,kalrenda
cominelli,코미넬리,kominelri
pioggia,피오자,pioja
acquaroli,아콰롤리,akwarolri
armellino,아르멜리노,areumelrino
