andrzej,アンジェイ
pieszyce,ピエシツェ
murcki,ムルキ
radziwiłłowie,ラジヴィウカ
gostyń,ゴスティン
znicz,ズニチュ
tuszyn,トゥシン
lwówek,ルヴヴェック
śląski,シロンスキ
beskidy,ベスキディサンミャク
stoczek,ストシェク
łukowski,ウコフスキ
kamienna,カミェンナ
pyrzyce,ピージツェ
air,エア
brzeski,ブジェスキ
myszyniec,ミシニエツ
pińczów,ピンツフ
opatów,オパトゥフ
nowa,ノヴァ
warka,ヴァルカ
strzegom,シュツェゴム
polkowice,ポルコヴィツェ
płońsk,プウォニスク
złocieniec,ズウォチェニェツ
złote,ズウォティ
tarasy,タラスィ
kargowa,カルゴヴァ
oxford,オクスフォード
tower,タワー
ząbkowice,ゾンプコヴィツェ
ząbki,ゾンブキ
stok,ストク
złotów,ズウォトゥフ
krzyżowa,クルジゾワ
kłodzko,クウォツコ
międzychód,ミェンジフト
polsat,ポルサット
jedwabne,イェドヴァブネ
euroregion,ユーロリージョン
silesia,ユーロリージョン
krosnowice,レンゲルスドルフ
pleszew,プレシェフ
kędzierzyńskokozielski,コジレグン
będzin,ベンジン
staniszów,スタニシュフ
ładzin,ワジン
stryków,ストリクフ
banie,バニェ
gęsiówka,ゲンシュフカカンゴク
lubań,ルバニ
gołuchów,グウフフ
jarszewko,ヤルシェフコ
bogatynia,ボガティニャ
przygodzice,プジィゴジツェ
amica,アミカ
wronki,ウロンキ
warsaw,ワルシャワ
łęki,ウェンキ
małe,マウェ
mszczonów,ムシチョヌフ
chojnów,ホイヌフ
gromada,グロマダ
odry,オードリー
cieszeniewo,チェシェニエヴォ
niedzica,ニェジツァ
osie,オシェ
sulików,スリクフ
cieszyński,シレジア
żoliborz,ジョリボルシェ
pogezania,ポゲサニア
radzymin,ラジミン
tomaszowski,マゾヴィエツキグン
darłowo,リューゲンヴァルデ
roś,ロシコ
karpacz,カルパチュ
brańsk,ブリヤンスク
frombork,フロンボルク
wodzisław,ヴォジスワフ
rzeplin,ジェプリン
pomerania,ポメラニア
kiwity,キビティ
fürstengrube,フュルステングルーベ
mysłakowice,ミスワコヴィツェ
gubin,グーベン
uniejów,ウニェユフ
lusówko,ルソーヴォ
lesko,レスコ
sękowa,センコヴァ
jastarnia,ヤスタルニア
trzcińskozdrój,シェーンフリース
resko,レスコ
bisztynek,ビスティーネック
dziwna,ジヴナワン
włoszczowa,ヴウォシュチョヴァ
riese,リースケイカク
łęknica,ウェンクニツァ
balice,バリツェ
biłgoraj,ビウゴライ
jordanów,ヨルダヌフ
soldau,ゾルダウキョウセイシュウヨウショ
sępólno,センプルノ
krajeńskie,クライェンスキエ
morąg,モロンク
serock,セロク
anwil,アンウェル
oleśnica,オレシニッツァ
siedlce,シェドルツェ
cichociemni,チホチェムニ
łask,ワスク
nidzica,ニジツァ
kożuchów,コジュホフ
trzciel,ティルシュティーゲル
myślenice,ミシレニツェ
mogilno,モギルノ
wrzeszcz,ブジェシュチ
limanowa,リマノヴァ
aleksandrów,アレクサンドルフ
kujawski,クヤフスキ
szczodre,ジビレノルト
wieruszów,ヴィェルシュフ
łęczyca,レンツィカ
wielka,ビエルカ
racza,ラチャ
trzebiatów,トレプトウ
lipno,リプノ
miechów,ミエフフ
żnin,ジュニン
śnieżka,スニェシュカサン
ryn,リン
suchowola,スホヴォラ
zaniemyśl,ザニエミシル
rypin,リピン
kwidzyn,クフィジン
międzyzdroje,ミエンジズドロイェ
kaszuby,カシュバイ
policja,ポーランドケイサツ
niwica,ニビツァ
ćmielów,チミェルフ
radymno,ラジムノ
ropczyce,ロプツィツェ
wysokie,ヴィソキェ
mazowieckie,マゾヴィエツキェ
grajewo,グライェヴォ
łagów,ワグフ
bolimów,ボリモウ
żary,ルブシュケン
zawiercie,ザヴィエルチェ
czersk,チェルスク
ozorków,オゾルクフ
instytut,アダム
adama,ミツキェヴィチ
mickiewicza,インスティテュート
giecz,ギエチ
łańcut,ワンツト
łeba,ウェバ
brody,ブロディ
łodwigowo,ウォドヴィゴヴォ
michniów,ミフニュフ
krzemieniec,クレメネック
trawniki,トラヴニキ
łobżenica,ウォブジェニツァ
puck,プツィッヒ
łubnice,ウブニツェ
rail,レール
baltica,バルティカ
workcamp,ワークキャンプ
koźle,コーゼル
wińsko,ビンスコ
szczyrk,シチィルク
pomezania,ポメサニア
garwolin,ガルボリン
beskid,ベスキト
biernatka,ビエルナトカ
kolno,コルノ
krasnystaw,クラスニスタフ
prostki,プロストキ
kamień,グロース
wojnowo,ヴォイノヴォ
istebna,イステブナ
bolesławiec,ボレスワヴィエツ
kozy,コジ
sól,スル
pabianice,パビアニツェ
stettiner,シュテッティナー
oderwerke,オーデルヴェルケ
sieniawa,シーニャワ
iwkowa,イフコバ
myślibórz,ミュシュリーブーシュ
stęszew,ステンシェフ
osieczna,オシェチュナ
oborniki,オボルニキ
słupca,スルプツァ
ogrodzieniec,オグロジェニェツ
kozłowo,コズウォボ
golczewo,ゴルツェヴォ
łąka,ウォンカ
prudnicka,プルドニツカ
płośnica,プウォシニツァ
kartuzy,カルトゥジ
choszczno,ホシュチュノ
rajcza,ライチャ
międzyrzecz,ミエンジジェチュ
kępno,ケンプノ
biały,ビャウィ
dunajec,ドゥナイェツ
pomorski,ポモルスキ
pieńsk,ピェンスク
krasiejów,クラシェロー
pstrążna,プストロンジュナ
człuchów,チュウフフ
wolbórz,ボルブシュ
ostrzeszów,オスチェシュフ
kielcza,キェルチャ
sławno,スワヴノ
skarżyskokamienna,スカルジスコカミェンナ
złotoryja,ズウォトリヤ
mazowsze,マソヴィア
białogard,ビャウォガルト
świdnik,シフィドニク
nowe,ノヴェ
świecie,シュヴェツ
godkowo,ゴトコボ
goleszów,ゴレシュフ
szprotawa,シュポロタヴァ
świdnica,シフィドニツァ
świdwin,シフィドビン
święciechowa,シフィエンチェホバ
dorohusk,ドロフスク
barciany,バルチャニ
ślęża,シュレンジャサン
śmigiel,シミギェル
świebodzice,シュフィエボジツェ
świebodzin,シフィエボジン
mińsk,ミンスク
jaćwież,スドヴィア
kruszwica,クルシュビツァ
kliszów,クリシュフ
karpniki,カルプニキ
ziemia,ズィーミア
lubuska,ルブシュカ
świętoszów,シフィエントシュフ
chlewiska,フレヴィスカ
mielnik,ミエルニク
akademia,ザモシチ
zamojska,アカデミー
chojnice,ホイニチェ
asseco,アセコ
gryfice,グリフィツェ
sucha,スハ
beskidzka,ベスキツカ
piaseczno,ピアセチュノ
ciechanów,チェハヌフ
otwock,オトヴォツク
babimost,バビモスト
zbąszyń,ズボンシン
zbąszynek,ズボンシネク
cartoon,カートゥーン
network,ネットワーク
barlinek,バルリネク
lubaczów,ルバチュフ
barczewo,バルチェボ
baranów,バラヌフ
łubniany,ウブニャニ
trzebieszewo,チェビェシェヴォ
wołomin,ヴォウォミン
sieradz,シェラツ
burmistrz,シュリョウ
miasto,ミアスト
lubawskie,ルバフスキエ
pisarzowice,シュライバースドルフ
odolanów,オドラヌフ
zduny,ズドゥニ
zduńska,ズドゥニスカ
bogacica,ボガチツァ
uniechów,ウニエフフ
mazury,マズルィ
sokółka,ソクウカ
węgorzewo,ヴェンゴジェヴォ
szklarska,シュクラルスカ
poręba,ポレンバ
bartoszyce,バーテンシュタイン
podlasie,ポドラシェ
sejny,セイヌィ
krosno,クロスノ
gryfino,グリフィノ
włodawa,ヴウォダヴァ
knyszyn,クニシン
lidzbark,リズバルク
warmiński,ヴァルミンスキ
stalowa,スタロヴァ
rudna,ルドナ
krasnosielc,クラスノシェルツ
horodło,ホロドウォ
trzcianka,チチャンカ
wałcz,バウチェ
kujawy,クヤヴィ
smocza,スモチャ
strzyżów,ストシジュフ
drezdenko,ドレズデンコ
władysławowo,ヴワディスワヴォヴォ
przasnysz,プシャスヌィシュ
krynica,クリュィニツァ
morska,モルスカ
kościerzyna,コシュチェジナ
gostynin,ゴスティニン
mława,ムワヴァ
atlas,アトラス
bohoniki,ボホニキ
przeworsk,プジェヴォルスク
krapkowice,クラピッツ
dęblin,デンブリン
mierzanowo,ミェジャノヴォ
kruszyniany,クルシニャーニ
maków,マクフ
reda,レダ
kołbacz,コウバチ
swobnica,スフォブニツァ
gronowo,グロノボ
elbląskie,エルブロンスキエ
mazowiecka,マゾヴィエツカ
potulice,ポトゥリチェ
nisko,ニスコ
krotoszyn,クロトシン
borowy,ボロウィ
smreczyński,スムレチニスキ
staw,スタフ
newag,ネヴァグ
piecki,ピエツキ
rychliki,リフリキ
czaplinek,チャプリネク
grodków,グロトクフ
jasło,ヤスウォ
szczecinek,シュチェチネク
pieniężno,ピエニエンジノ
wiślica,ヴィスリツァ
chełmża,ヘウムジャ
bielsk,ビエルスク
markusy,マルクシ
koźmin,コジミン
popielno,ポピェルノ
olkusz,オルクシュ
konarzewo,クニープホフ
jonkowo,ヨンコボ
wolsztyn,ヴォルシュティン
polandrock,プレジィスタネク
mokra,モルカ
centrum,ホテル
sieczychy,シェチヒ
białoczerwone,ビアノチェルバーノ
iskry,イスクリ
białochowo,ビャウォホヴォ
dębica,デンビツァ
drohiczyn,ドロヒチン
gołdap,ゴウダプ
kwitajny,クフィタイニ
pisz,ピシュ
bielany,ビエラニー
bielawa,ランゲンビーラウ
białołęka,ビャウォウェンカ
nieszawa,ニエスザワ
lipowina,リポヴィナ
kozłów,コズウフ
biskupi,ビスクピ
ulanów,ウラヌフ
wilamowice,ヴィラモヴィツェ
bierawa,ビエラヴァ
biskupia,ビスクピア
gorlice,ゴルリツェ
lubliniec,ルブリニェツ
olecko,オレツコ
muszynianka,ムシニアンカ
muszyna,ムシナ
kramsk,クラムスク
milejewo,ミレイェボ
rydułtowy,リドゥウトビ
pszczyna,プシュチナ
ciechocinek,チェホチネク
przysucha,プシスハ
józefów,ユゼフフ
binarowa,ビナロヴァ
kamieniec,カミェニエツ
ząbkowicki,ゾンプコヴィツキ
bierutów,ビエルートゥフ
brodnica,ブロドニツァ
kowary,コヴァルィ
grybów,グリブフ
kiełczygłów,キエウチグウフ
redłowo,レドウォボ
sulmierzyce,スルミエジツェ
walewice,ヴァレヴィツェ
klecina,クレチナ
sołtys,シュルトハイス
baborówko,バボロフコ
głogówek,グウォグベク
szczytno,シュチトノ
cedynia,ツェディニャ
chojna,ホイナ
głuszyca,ヴェステギアースドルフ
reszel,レシェル
poniatowa,ポニャトーヴァ
olesno,オレスノ
rudy,ルディ
sanniki,サンニキ
siemkowice,シェムコビツェ
namysłów,ナミスウフ
milicz,ミリチュ
bojanowo,ボヤノヴォ
rogoźno,ロゴジノ
górowo,ゴローボ
iławeckie,イワウェツキ
susz,スシュ
głubczyce,グブツィツェ
sulęcin,スレンチン
ludomy,ルドミ
skoczów,スコチュフ
strzelin,シュチュシェリン
dynów,ドィヌフ
lubawa,ルババ
wieleń,ビェレニ
polanów,ポラヌフ
sieraków,シェラクフ
prabuty,リーゼンブルク
paczków,パチクフ
pokój,ポクイ
burkatów,ブルカトゥフ
końskie,コンスキエ
bolków,ボルクフ
sośnicowice,ソシニツォビツェ
trzebieszowice,クンツェンドルフ
kalinowo,カリノボ
koleje,コレジェ
szczuczyn,シチュチン
odra,オードラ
trzebnica,チュシェブニツァ
pruszcz,プルシュチ
karlino,カルリノ
prochowice,プロホビツェ
maszewo,マシェヴォ
motor,モトル
domek,ドメク
wyrzysk,ヴィジスク
wyszków,ビシュクフ
czerwieńsk,チェルビエンスク
nowogard,ノヴォガルト
miłki,ミウキ
czernica,チェルニツァ
pobierowo,ポビエロヴォ
dzierżoniów,ジェルジョニュフ
ostrowiec,オストロヴィエツ
świętokrzyski,スヴィエトクルシスキ
brzeszcze,ブジェシュチェ
torpedownia,ヘクセングルント
orzysz,オジシュ
płoskinia,プウォスキニア
mirosławiec,ミロスワビエツ
kisielice,キシエリツェ
kozienice,コジェニツェ
pełczyce,ペウチツェ
niepołomice,ニェポウォミツェ
mieszkowice,ミェシュコヴィツェ
pasłęk,パスウェンク
jaronty,ヤロンティ
sorkwity,ソルクフィティ
prusy,プロイセン
jawor,ヤヴォル
pracze,プラチェ
odrzańskie,オドジャニスキェ
długosiodło,ドルゴシドロ
gniewkowo,グニェフコヴォ
kobylin,コビリン
owiesno,オヴィエスノ
oberek,オベレク
tolkmicko,トルケミット
motoarena,モトアリーナ
perzów,ペジュフ
sas,サス
noski,ノスキ
otyń,クレニツァ
oława,オワヴァ
dziwnów,ジブヌフ
stary,スタリ
koprzywnica,コプシヴニツァ
kock,コツク
więcbork,ビエンツボルク
janów,ジャヌフ
libiąż,リビョンシュ
granica,ポーランド
polskorosyjska,ロシアコッキョウ
turek,トゥレク
debrzno,デブジノ
bystrzyca,ビストシツァ
kłodzka,クウォツカ
skaryszew,スカリスチェフ
nowosądeckie,ソンチケン
lubomino,ルボミノ
stama,スタマ
srebrna,スレブルナ
autostrada,アウトストラーダ
szydłowiec,シドゥオビエツ
izbicko,イズビッコ
chorzele,ホジェレ
ciechanowiec,チェハノビエツ
jurata,ユラタ
gorce,ゴルツェレンポウ
sztynort,シュティノルト
skwierzyna,スクフィエジナ
sobótka,ソブトカ
małomice,マウォミツェ
radków,ラトクフ
kuźnica,クジニツァ
sierpc,シェルプツ
stadion,スタディオン
oporowska,オポロフスカ
brok,ブロク
witkowo,ビトコボ
różan,ロザン
karpacki,ユーロリージョン
szamocin,シャモチン
czarny,チャルニ
pod,ポド
rysami,ルィサミコ
kotwica,コトフィッツァ
polonii,ワルシャワ
modlin,モドリン
wołów,ヴォウフ
malinka,ヴィスワマリンカジャンプダイ
alstom,アルストム
konstal,コンスタル
sokołów,ソコウフ
działdowo,ジャウダヴァ
haczów,ハチュフ
dobrzyń,ドブジン
wisłą,ヴィスウォン
bychawa,ビハヴァ
kietrz,カトシェール
marki,マルキ
enter,エンター
pyrzowice,ピジョヴィツェ
stawiguda,スタビグダ
nowogrodziec,ノヴォグロジェツ
polregio,チイキコウツウ
szczawnica,シュチャヴニツァ
toszek,トセク
olsztynek,オルシュティネク
prószków,プルシュクフ
stawiszyn,スタビシン
pro,エウロパ
europa,ヴィアドリナ
viadrina,ユーロリージョン
mokotów,モコトフ
glacensis,グラセンシス
jeziorany,イェジオラニ
trzemeszno,チェメシュノ
ustroń,ウストロン
łuknajno,ウクナイノコ
niemodlin,ニェモドリン
wilczęta,ヴィルジェンタ
rybno,ルィブノ
praga,プラガ
postomino,ポストミノ
koniecpol,コニェツポル
dobczyce,ドプチツェ
kazimierza,カジミエジャ
służba,スルジュバ
bezpieczeństwa,ベスピチェインスファ
otmuchów,オトムフフ
czorsztyn,チョルシュティン
czerniejewo,チェルニェイェヴォ
kwilcz,クフィルチ
powidz,ポビツ
lubawka,リバウ
drzewica,ドジェヴィツァ
strzelno,ストシェルノ
przemków,プリムケナウ
małopolski,ツアー
wyścig,オブ
młynary,ムウィナリ
nowosądecki,ソンチュグン
lubiszyn,ルビシン
lelkowo,レルコヴォ
wydminy,ビドミニ
jerzmanowa,イェジュマノヴァ
krajna,クライナ
janowice,ヤノヴィツェ
wielkie,ヴィエルキェ
działoszyn,ジャウォシン
warcino,バルチノ
drobin,ドロビン
jastrzębski,ヤストシェンスキ
jazz,ジャズ
forum,フォーラム
mielno,ミエルノ
huta,フータ
gopło,ゴプウォコ
fabryczna,ファブリチナ
krzyki,クシキ
słońsk,スウォンスク
lotyń,ロティン
czarne,ツァルネ
wiśnicz,ヴィシニチ
lutynia,ルティニア
korczyn,コルツィン
sępopol,セムポポル
psie,プシェ
pole,ポレ
trzebiechów,トシェビェフフ
ludźmierz,ルジミェシュ
obra,オブラ
redzikowo,レジコボ
golina,ゴリナ
ochota,オホタ
orange,ポーランド
wprost,フプロスト
jagniątków,ヤグニョントクフ
krzyż,クシシュ
swornegacie,スボルネガチェ
stężyca,ステンジツカ
kruklanki,クルクランキ
paniówki,パニュフキ
flota,フロタ
blachownia,ブラホヴニャ
reality,リアリティ
pump,ポンプ
studios,スタジオ
dobre,ドブレ
nowogród,ノヴォグルート
bobrzański,ボブジャンスキ
targówek,タルグヴェク
orneta,オルネタ
murów,ムルフ
rembertów,レンベルトゥフ
gazeta,ガゼータ
komprachcice,コンプラフチツェ
koszęcin,コシェツィン
łomianki,ウォミアンキ
inowłódz,イノヴウツ
rudnik,ルドニク
sanem,サネム
zwoleń,ズヴォリン
ulikowo,ウリコヴォ
siechnice,シェフニツェ
małujowice,マウヨヴィチェ
polpharma,ポルファーマ
polskie,ポーランド
radio,ラジオ
łosice,ウォシツェ
wierzchowo,ヴィェシュホヴォ
wrocławskie,ヴロツワフスキェ
koperniki,コペルニキ
niepokalanów,ニエポカラヌフシュウドウイン
nałęczów,ナウェンチュフ
krobielowice,クロビェロヴィツェ
sztutowo,シュトゥトヴォ
tarczyn,タルチュィン
budowlani,ブドフラニ
tuchów,トゥフフ
zawichost,ザヴィホスト
skała,スカワ
ursynów,ウルシノフ
pomarańczowa,オレンジ
alternatywa,オルタナティブウンドウ
oksywie,オクスィヴィェ
wojczyce,ヴォイチツェ
łemkowszczyzna,レムコ
krakowski,クラクフ
szybki,ファスト
tramwaj,トラム
kolej,ワルシャワ
warszawskowiedeńska,ウィーンテツドウ
gryf,グリフ
skierbieszów,スキェルビェシュフ
kolporter,アレーナ
krzeszów,クレシュフ
polskosłowacka,スロバキアコッキョウ
polskoczeska,ポーランドコッキョウ
impel,インペル
tyszowce,ティショフツェ
pilawa,ピラヴァ
korybut,コルィーブト
tyrawa,ティラヴァ
wołoska,ヴォウォスカ
metalmania,メタルマニア
wiadomości,ホウドウ
tłuszcz,トウシュチ
rzeczenica,ジェチェニツァ
zabór,ザボール
rogalin,ロガリン
widzewa,ヴィジェヴァ
zagórz,ザグシュ
starowa,スタロワ
oksza,オクシャ
nur,ヌル
łojewo,ウォイェボ
pobóg,ポブク
pławnica,プワヴニツァ
concordia,コンコルディア
oporów,オポルフ
miłów,ミウフ
radwanice,ラドヴァニツェ
łodzia,ウォジャ
wigry,ヴィグリ
korwin,コルヴィン
jelita,イェリタ
koczała,コツァワ
filmweb,フィルムウェブ
orawa,オラヴァチホウ
garbów,ガルブフ
gościejewice,グシュヴィッツ
demblin,デンブリン
resovia,レソヴィア
szczepanów,シュチェパヌフ
bińcze,ビンチェ
orońsko,オロンスコ
skytaxi,スカイタクシー
inoujście,イノウイシツェ
sokole,ソコレサン
czerwień,チェルヴィン
dzietrzychowice,ジェトゥシホヴィツェ
potępa,ポテンパ
puchar,エクストラクラサ
ekstraklasy,カップ
skalmierzyce,スカルミエジツェ
piaśnica,ピアシニツァ
podporucznik,ポトポルーチク
prądy,プロンディ
czarnca,チャルンツァ
potok,ポトク
górny,ゴールニー
tessen,テッセン
szczakowianka,シュチャコヴィアンカ
magnuszew,マグヌシェフ
liga,リガ
koszykówki,コシコフキ
lipnica,リプニツァ
dunowo,ドゥノヴォ
mokrzeszów,モクシェシュフ
wizna,ヴィズナ
wierzbica,ヴィエジュビツァ
strzyżno,ストシジノ
dołhobyczów,ドウホビチュフ
drzonków,ジェローナグラ
stare,スタレ
siołkowice,ショウコヴィツェ
waliszów,ヴァリシュフ
mogielnica,モギエルニカ
korczak,コルツァックモンショウ
rymanów,リマヌフ
bug,ブグ
białowieża,ビャウォヴィエジャ
parczew,パルチェフ
buczkowice,ブツコヴィツェ
winna,ヴィンナ
tułowice,トゥウォヴィツェ
lusowo,ダイポーランドケンルソーヴォ
sky,スカイ
leśnica,レシュニツァ
krościenko,クロシュチェンコ
okrzejska,オクジェスカ
dwikozy,ドヴィコジ
krasiczyn,クラシチン
raciechowice,ラチェホビツェ
falenty,ファレンティ
piwnice,ピヴニツェ
bielsko,ビェルスコ
plan,バルツェロヴィチ
balcerowicza,プラン
leliwa,レリヴァ
bożepole,ボジェポレ
ławice,ワヴィツェ
biesal,ビエサル
skarbimierz,スカルビミェシュ
widzieńsko,ヴィジェンスコ
pisanka,プィーサンカ
ślepowron,シレポヴロン
bałtyk,バウティク
podgórze,ポドグジェ
lubicz,ルビチ
muszynka,ムシンカ
grabowo,グラボヴォ
kuryłówka,クルィウフカ
balin,バリン
konstantynów,コンスタンティヌフ
święta,シュフィェンタ
myców,ミツフ
krasne,クラスネ
waga,ヴァガモンショウ
małkinia,マウキニア
bogacko,ボガツコ
palmiry,パルミリー
tuszów,トゥシュフ
narodowy,ナロドヴィ
kampinos,カンピノス
borek,ボレク
janowiec,ヤノヴィエツ
radoszyce,ラドシツェ
głogowiec,グウォゴヴィエツ
hala,ハラ
orbita,オルビータ
jaśliska,ヤシリスカ
gronówko,グロヌヴコ
rożnów,ロジュヌフ
barwinek,バルビネク
chichy,ヒヒ
otok,オトク
żuławy,ヴィストゥラ
wiślane,デルタ
kedyw,ケディフ
guty,グティ
góraszka,グラシュカ
open'er,オープナー
dębniki,デンブニキ
lednicki,レドニツキ
pierzchowice,ピェシュホヴィツェ
szklarnia,シュクラルニア
trefl,トレフル
kruszewnia,クルシェヴニャ
rejowiec,レヨヴィェツ
falenica,ファレニツァ
czyżyny,チジニ
popowo,ポポヴォ
tomyśl,トミシル
bara,バラ
barany,バラニ
barkowo,バルコヴォ
barninek,バルニネク
zwanowice,ズヴァノヴィツェ
samson,サムソンアキラ
abrahamowicz,アブラハモヴィッチ
baszków,バシュクフ
batorowo,バトロヴォ
wenecja,ヴェネツヤ
chojniczanka,ホイニツァンカ
strachocina,ストラホチナ
arrinera,アッリネーラ
przewóz,プシェヴス
białków,ビャウクフ
błonie,ブウォニェ
błotnica,ブオツニツァ
boruta,ボルタ
borzęcino,ボジェンチノ
biskupice,ビスクピツェ
budzieszowce,ブジェショフツェ
blizne,ブリズネ
rugby,ルグビー
strachomin,ストラホミン
sala,サラ
kongresowa,コングレソヴァ
szachy,チェス
cuiavia,ツィアヴィア
chochołów,ホホウフ
bogacka,ボガツカ
brombergost,ヒガシブロンベルクシュウヨウショ
wyszecino,ヴィシェチノ
czajcze,ツァイチェ
werblinia,ヴェルブリニャ
debrza,デル
denhoff,デンホフ
popowice,ポポヴィツェ
trzebiatkowa,トシェビャトコバ
czerkiesy,チェルキエシ
działyń,ヂャウィニ
gaboń,ガボン
droglowice,ドログロヴィツェ
gapinin,ガピニン
gapionka,ガピオンカ
drzewice,ドジェビツェ
dębinka,デンビンカ
drzonowo,ドジョノボ
wałeckie,バウェツキエ
gdów,グドゥフ
drzonów,ドジョヌフ
dubno,ドゥブノ
henryków,ヘンリクフ
dłużek,ドルツィヒ
inka,インカ
gwarek,グワレク
echo,エコー
dnia,ドヌィア
głodowo,グウォドヴォ
jodłowa,ヨドウォバ
jeżyce,イェジツェ
jaczew,ヤチェヴ
kuzawa,クザヴァ
potoka,ポトカ
kije,キイェ
janki,ヤンキ
jankowice,ヤンコヴィッツェ
okopy,オコプィ
kamionek,カミオネク
klonowo,クロノボ
janówek,ヤヌベク
jastrzębie,ヤストシェンビェ
jasionka,ヤションカ
karpin,カルピン
hruszowice,フルショヴィツェ
dom,ドム
sierot,シェロ
krzysztoforzyce,クシュシュトフォジュチェ
malhowice,マルホヴィチェ
mamerki,マメルキ
kręcko,クレンツコ
mnich,ムニフサン
limża,リムブゼー
mokronos,モクロノス
koziczyn,コジチン
kurzna,クジナ
lipnik,リプニク
morasko,モラスコ
lipina,リピナ
marymont,マリモント
mozów,モズフ
małoszyce,マウォシツェ
krasice,クラシツェ
dolna,ドルナ
mańki,マンキ
renesans,ルブリン
lubień,ルビエン
migi,ミギ
narew,ナレフ
millward,ミルウォード
brown,ブラウン
odporyszów,オトポルィシュフ
nieciecza,ニエチェツァ
oględów,オグルドウ
makowiska,マコビスカ
ninino,ニニノ
nieradowice,ニエラドヴィツェ
okęcie,オケンチェ
olszanowo,オルシャノボ
czarnowo,ツァルノボ
dobra,ドブラ
podlesie,ポドレシュエ
podmurowaniec,ポドムロバニエツ
patrzyków,パトシクワ
podładzin,ポドワジン
podzamcze,ポザムチェ
perna,ペルナ
polmot,ポルモット
holding,ホールディングカブシキガイシャ
ostrowik,オストロヴィク
ogólnopolska,ポーランド
olimpiada,ユース
młodzieży,オリンピック
pęgów,ペングフ
przekop,プシェコプ
wisły,ヴィスウィ
przegorzały,プシェゴジャウィ
racot,ラツォット
sandrecki,ザンドレッツキーカ
rozwadów,ロズヴァドゥフ
rucewko,ルチェフコ
rucewo,ルチェヴォ
mały,マウィ
wielki,フィェルキ
radomierzyce,ラドミェジツェ
radolin,ラドリン
setniki,セトニキ
galeria,ガレリア
sfera,スフェラ
przysieka,プシシェカ
sianno,シャンノ
przyłęk,プシュウェンク
siedlec,シェドルツェ
zgrupowanie,ラドスロウ
siekowo,シェコヴォ
psary,プサリ
chata,ハータ
sowin,ソヴィン
spała,スピア
ryńsk,リンスク
górnika,ゴルニカ
skokówka,スコクフカ
stara,スタラー
kopernia,コーペルニャ
stanisławów,ヴィルマンスドルフ
rębiechowo,レンビエホボ
sadków,サトクフ
szymany,シマニ
trzy,トジ
korony,コロヌィ
tabaszowa,タバショバ
tarczek,タルチェク
tursk,トゥルスク
wiejkowo,ビエイコボ
justowska,ユストフスカ
węgrzce,ヴェングシュツェ
wiewiórka,ヴィエヴュルカ
wolbromek,ボルブロメク
wrocanka,ブロツァンカ
użranki,ウジュランキ
victoria,ヴィクトリア
koronowo,コロノヴォ
zabrodzie,ザブロジェ
wilkszyn,ビルクシン
winiary,ヴィニャルィ
zabłędza,ザブウェンザ
zacharzyce,ザハジツェ
wirów,ヴィルフ
wręczyca,ブレンチツァ
zbiersk,ズビエルスク
wrzosowo,ヴジョソヴォ
zawiszów,ザヴィシュフ
witoszów,ヴィトショフ
wasylów,ヴァシルフ
łopuszna,ウォプシュナ
wydrzynów,ビドジヌフ
zegrze,ジェグジェ
pomorskie,ポモルスキエ
zdęgówko,ズデングフコ
łukowice,ウコヴィツェ
brzeskie,ブジェスキェ
wysoka,ヴィソカ
łącko,ワンツコ
niedabyl,ニエダビル
łężce,ウェンシュツェ
projekt,プロジェクト
bieńkowice,ビェニコヴィツェ
święciny,シフィエンチニ
anin,アニン
akson,アクソン
studio,スタジオ
bytovia,ビトビア
bytów,ビトゥフ
chodaków,ホダクフ
białoławki,ビャウォワフキコ
żerniki,ジェルニキ
dudowe,ドゥドヴェ
stawki,スタフキミズウミグン
gaj,ガイ
cuprum,クプルム
fca,ステランティス
poland,ポーランド
polskoradziecka,ソビエトレンポウコッキョウ
pradziad,ユーロリージョン
szeszupa,シェシュパ
huby,フビ
suche,スヘ
gądów,ゴンドゥフ
głuszyna,グーシナ
główna,グウフナ
herody,ヘロディ
rotunda,ロトゥンダサン
rury,ルリ
samionka,サミオンカ
rybi,ルィビ
różanka,ルジャンカ
seksty,セクスティコ
wikimedia,ウィキメディア
rędzin,レンジン
strachowice,ストラホヴィツェ
siwe,シヴェ
gąsienicowa,ゴンシェニツォワケイコク
szczepin,シュチェピン
pawłowicka,パヴウォヴィツカ
tuchlin,トゥフリンコ
tarnogaj,タルノガイ
wierzbnik,ビエズブニク
wierzynek,ヴィェジネク
tyrkło,ティルクウォコ
warnołty,ヴァルノウティコ
toporowy,トポロヴィ
wyżni,ヴィジュニコ
widawa,ヴィダヴァ
wojszyce,ヴォイシツェ
zarudzie,ザルジェ
łęg,ウェンク
świniary,シュヴィニャリ
złotniki,ズウォトニキ
łagisza,ワギサ
chorąży,ホロンジィ
polona,ポロナ
kiermasz,キルメス
filharmonia,ワルシャワ
narodowa,フィルハーモニー
gajowice,ガヨヴィツェ
fonografika,フォノグラフィカ
iwiny,イヴィヌィ
klębów,クレンブフ
kozanów,コザヌフ
wielkopolskie,ヴィエルコポルスキ
kościelniki,コシチェルニキ
księże,クシェンジェ
kuźniki,クジニキ
marszowice,マルショヴィツェ
lipa,リパ
piotrowska,ピョトロフスカ
lubomir,ルボミールサン
maślice,マシリツェ
mogiła,モギワ
muchobór,ムホブル
