陈定,チンサダ
西贝,ニシカイ
冠翔,カンムリショウ
亚军,アグン
克庆,カツケイ
惠花,メグミハナ
光祈,ヒカリイノ
虹嘉,ニジヨシミ
茵晖,シトネアキラ
孟兰,タケシラン
敬华,ケイハナ
建良,ジェンリャン
甘,アマ
逸超,イッチョウ
锡金,スズキン
华江,ハナコウ
家铁,イエテツ
书弟,ショオトウト
裕子,ユウコ
再温,サイアツシ
相,アイ
光耀,コウヨウ
华金,ハナキン
东君,ヒガシクン
大勋,デフン
秀熟,シュウジュク
江永,コウヒサシ
之臻,ジージェン
冬旭,フユアサヒ
承经,ウケタマワケイ
靖轩,ヤスシノキ
光源,コウゲン
玉侬,タマワシ
若然,ワカシカ
东岳,アズマダケ
沛然,ハイゼン
世雄,ヨユウ
震坤,シンヒツジサル
军花,グンハナ
行文,コウブン
力夫,リキオ
洛宁,ラクヤスシ
树浩,キヒロシ
荣基,サカエモト
跃峰,オドミネ
津铭,ツメイ
智天,サトシテン
正书,セイショ
训正,クンタダシ
兴龙,キョウリュウ
卫凤,マモルオオトリ
立鹤,タツツル
贯汝,ヌキナンジ
哲明,テツアキ
仁坤,ジンヒツジサル
光子,コウシ
宏昊,ヒロシヒロシ
乌品,カラスヒン
福成,フクナリ
静远,シズトオ
成森,ナリモリ
在明,ザイアキラ
笑天,エミテン
文波,ブンハ
梦雪,ユメユキ
会珍,カイチン
立毅,タツアツシ
玉亭,タマテイ
葛仁,カズラヒトシ
伟英,ウェイイン
文政,ブンセイ
雨博,アメハク
健男,タケオ
华嵩,ハナタカシ
兆哲,チョウアキラ
紫良,ムラサキリョウ
越然,コシシカ
志豪,ココロザシゴウ
东亮,アズマアキラ
峰毅,ミネアツシ
慧玲,トシレイ
元俊,ゲンシュン
兴栋,キョウトウ
皓然,コウゼン
健斌,ケンアキラ
先光,シアン
声教,コエキョウ
成鹏,ナルオオトリ
爱香,アイカ
进林,ススムリン
少博,ショウハク
天歌,テンカ
海石,ウミセキ
铸豪,イゴウ
寿,コトブキ
振黄,フキ
江勇,コウイサム
胜兰,カツラン
民强,ミンキョウ
炜晴,チン
雁升,カリノボル
荣彬,ロンビン
卓廷,チュクテン
红军,ベニグン
嘉轩,ジャシュアン
照坤,アキラヒツジサル
魏洲,ギシュウ
飞鸿,ヒオオトリ
梦惠,ユメメグミ
俊荣,タム
建关,ケンセキ
常洲,ツネシュウ
威龙,イリュウ
星强,ホシツヨシ
先平,センタイラ
发彬,ハツアキラ
启恒,ケイツネ
俊霞,シュンカスミ
松炎,マツエン
丽琴,ウララキン
颢麟,ルン
文达,ブンタチ
泰隆,ヤスタカ
小南,コミナミ
宏杰,ヒロシスグル
家玉,イエダマ
小江,オエ
连康,レンヤスシ
桂芝,カツラシバ
彩艳,アヤツヤ
志轩,ココロザシノキ
颖旋,ラウ
大年,オオトシ
亚冰,アコオリ
清志,キヨコ
冷西,ヒヤニシ
丢草,ディウツァオ
男栿,ワン
中生,チュウセイ
智强,サトシキョウ
盈盈,フォン
江舟,エフネ
继宁,ツギヤスシ
睿珺,ルイジュン
登华,ノボリハナ
北辰,ホクシン
言顺,ゲンジュン
紫东,ムラサキヒガシ
万龙,マンリュウ
仁东,ジンヒガシ
宣仪,ニ
学杰,ガクスグル
文广,フミヒロ
海钧,ウミヒトシ
小调,ショウチョウ
建发,ケンハツ
承秀,ウケタマワシュウ
启勋,レオン
麻,アサ
敬宜,セイムベ
亚苏,アソ
冠军,カンムリグン
定胜,サダカツ
伊君,イキミ
敬良,タカシリョウ
丁硕,チョウセキ
星旭,ホシアサヒ
泽君,サワクン
杰翔,スグルショウ
亚伟,アエラ
梓森,アズサモリ
晓冬,アカツキフユ
敬园,ケイエン
高礼,コウアヤ
素清,モトキヨシ
天初,テンハツ
冰洁,コオリキヨシ
丛乐,クサムララク
忠义,チュウギ
同军,ドウグン
振芳,フカオル
学新,ガクシン
紫霞,ムラサキカスミ
双喜,ソウキ
怀新,フトコロシン
乐豪,ラクゴウ
滨士,ハマシ
建俊,タテシュン
凤英,オオトリスグル
鹤年,ツルミノル
虎生,トラセイ
真安,シンヤス
国成,クニシゲル
俊辰,シュンタツ
漪丽,イウララ
金权,キンケン
甘英,アマエイ
馨迪,カオルススム
鹏程,ホウテイ
孔军,アナグン
候,ホウ
梧桐,アオギリ
介寿,カイコトブキ
尚卿,ナオキョウ
松力,マツツトム
承东,ウケタマワヒガシ
海超,ウミチョウ
学斌,マナブアキラ
美群,ビグン
香云,コウウン
爱军,アイグン
宗年,ソウミノル
邸,ヤシキ
和顺,カズジュン
建龙,タテリュウ
工柳,コウヤナギ
东阳,トウヨウ
双,ソウ
楚然,スワエシカ
景山,カゲヤマ
仲奇,ナカキ
晓容,アカツキヨウ
正宁,セイヤスシ
宠光,チョウコウ
恩德,オントク
恩美,オンビ
朝华,アサハナ
云生,クモセイ
桂永,カツラヒサシ
亭宇,ティンユ
思思,モトノリコ
寄洲,ヤドリキシュウ
泽荣,サワサカエ
柚鑫,アン
运华,ウンハナ
文星,ブンボシ
清和,チェン
铭媛,メイヒメ
银宝,ギンポ
有为,ユウイ
伟东,エラヒガシ
帅军,ソチグン
少峰,ショウミネ
宜斌,ムベアキラ
立章,タツアキラ
新先,シンサキ
先锋,センポウ
希泽,マレサワ
述洲,ジュツシュウ
年,トシ
惠彬,メグミアキラ
社洲,シャシュウ
兆庆,チョウケイ
铭根,レイ
铁牛,テツウシ
心澄,ココロキヨシ
美灵,イ
龙龙,リュウリュウ
贵田,キダ
燕,ツバメ
戌标,イヌシルベ
宝莲,タカラレン
滨榕,ハマヨウ
嘉嘉,ヨシミヨシミ
光中,ヒカリチュウ
永纲,エイツナ
麒麟,キリン
文渊,ブンエン
木生,キセイ
建辉,タテアキラ
桂波,カツラナミ
康阳,カンヨウ
龄月,ヨワイツキ
树基,キモト
雨儿,アメジ
建业,ケンギョウ
东波,ヒガシハ
境泽,サカイザワ
虹伊,ニジイ
克潜,カツセン
继扬,ツギアゲ
静宜,セイムベ
蹇,アシナエ
先佛,センホトケ
佳媛,ケイヒメ
嘉骏,ヨシミシュン
敬德,ケイトク
卿风,キョウフウ
佐成,サシゲル
惠玉,メグミダマ
之蕃,コレシゲル
嘉雯,ウォン
徳馨,トクカオル
永世,エイセイ
周政,シュウマサシ
家君,カクン
淑媛,ヨシヒメ
进庆,ススムケイ
升南,ノボリミナミ
联兵,レンヘイ
颖南,イーナン
永航,エイワタル
赞锦,サンニシキ
振洪,フヒロシ
秀华,ヒデカ
子齐,コヒトシ
善文,ヨシフミ
家骏,イエシュン
泽锋,サワホコサキ
牧野,マキノ
新鸣,シンナ
守仁,マモリヒトシ
荣秀,サカエシュウ
小鹰,コタカ
生秀,ナマシュウ
索,サク
佳辉,ケイテル
丽君,チカラグン
德泉,トクイズミ
发庆,ハツケイ
智远,サトシトオ
斑马,ムラバ
建章,タテアキラ
宗智,ソウサトシ
景春,ジンチュン
中良,ナカリョウ
永军,エイグン
泽康,サワヤスシ
舜寿,シュンコトブキ
定轩,テイノキ
法曾,ホウソウ
兆才,チョウサイ
昆声,コンゴエ
云鹤,クモツル
月仙,ツキセン
丽军,ウララグン
海明,ウミアキラ
立白,タツシロ
盈光,ミツルコウ
浩文,ヒロフミ
嘉文,ヨシフミ
茜靖,アカネヤスシ
传源,デンハジメ
元安,モトヤス
学盛,ガクサカリ
正生,セイセイ
太阳,タイヨウ
浩源,ヒロシゲン
殊贤,コトケン
富清,トミキヨ
学强,ガクキョウ
最雄,サイユウ
政泽,セイサワ
海宽,ウミヒロシ
思琪,スーチー
懿龄,イリン
曙松,アケボノマツ
德英,トクエイ
翟,タ
象俊,クゾウシュン
帅帅,ソチソチ
先荣,サカエ
雪琴,ユキキン
丽娜,リー
荣新,サカエシン
连安,レンヤス
新巍,シンタカシ
兆南,チョウミナミ
德超,トクチョウ
建桥,ケンキョウ
寿祥,コトブキサチ
文芝,ブンシバ
美霞,ヨシカスミ
征鉴,セイカン
金呈,キムテイ
兰花,ランハナ
在伟,ザイエラ
浩洁,ヒロシキヨシ
笑言,エミゲン
德彰,トクアキラ
世通,ヨドオリ
世旭,ヨアサヒ
林枫,ハヤシカエデ
永辉,エイアキラ
云秀,クモシュウ
立强,タツキョウ
皓晖,アキラアキラ
德甫,トクハジメ
癸尊,ミズノトミコト
泽武,サワタケシ
莉莉,ガオ
力军,チカラグン
志南,ココロザシミナミ
法,ホウ
子英,コエイ
继先,ツギサキ
介生,カイセイ
广发,ヒロハツ
玉钢,タマコウ
盖隆,フタタカシ
双泉,ソウイズミ
经先,ケイサキ
泽华,サワハナ
彦博,ア
卫锋,マモルホコサキ
可寅,カトラ
金钢,キンコウ
剑虹,ケンニジ
淑月,ヨシツキ
年松,トシマツ
梦雯,ユメブン
青野,ブンキヨシ
业鹏,ゴウオオトリ
明亮,アキラアキラ
留军,トメグン
志鹏,ココロザシオオトリ
家业,カギョウ
立言,リツゲン
雨昂,アメノボル
润东,ジュンヒガシ
炎午,ホノオウマ
治安,チアン
浩然,コウゼン
松涛,ショウトウ
贤金,ケンキン
载然,ノシカ
惠祥,メグミサチ
洪军,ヒロシグン
晓鸣,アカツキナ
德淦,トクアカ
小英,ショウエイ
美东,ミトウ
淑平,ヨシタイラ
靖哲,ヤスシアキラ
广东,カントン
世光,ヨコウ
丹云,タンクモ
依铭,ヨメイ
杭,クイ
小童,コワッパ
美成,ビセイ
春晖,ハルアキラ
家豪,イエゴウ
铭康,メイヤスシ
明君,メイクン
政岩,セイイワ
进先,ススムサキ
南孙,ミナミマゴ
正昌,セイアキラ
发宝,ハツタカラ
晓流,アカツキリュウ
伯刚,ハクツヨシ
健恒,ケンツネ
仁进,ヒトシススム
学义,ガクヨシ
燕铭,ツバメメイ
宝顺,タカラジュン
子昂,コノボル
载想,ノソウ
玉林,タマリン
云程,クモホド
昭玉,アキラダマ
恒梃,ツネテコ
远鹏,トオホウ
元顺,モトジュン
斌芳,アキラヨシ
雅洁,マサキヨシ
锦锦,ニシキニシキ
帅,ソチ
迎春,ゲイシュン
定宪,サダノリ
庆荣,ケイサカエ
兰萱,ランカヤ
冠群,カンムリグン
明尧,アキラタカシ
岸树,キシイツキ
雨萱,アメカヤ
清清,セイセイ
兆峰,チョウミネ
爱洪,アイヒロシ
知恩,チオン
海哲,ウミアキラ
力力,チカラリョク
鸿逸,オオトリイッ
兆仪,チョウギ
中华,チュウカ
泽彬,サワアキラ
复生,フクセイ
老,ロウ
志诚,ココロザシマコト
兆京,チョウキョウ
若浩,ワカヒロシ
靖冬,ヤスシフユ
福义,フクヨシ
业辉,ゴウテル
绮,アヤギヌ
太郎,タロウ
干利,ミキリ
崇哲,タカシアキラ
妙玲,ミョウレイ
博超,ハクチョウ
阿逸,オモネイッ
荣强,サカエキョウ
旭光,キョッコウ
可可,カカ
祝,シュク
文松,ブンマツ
秋成,アキナリ
梦石,ユメセキ
恒逸,ツネイッ
天源,テンゲン
文聪,ブンサト
成华,ナルハナ
雪萌,ユキモエ
雪春,ユキハル
书祥,ショサチ
田农,タノウ
学文,マナブブン
子翔,コショウ
梓天,アズサタカシ
修全,オサムゼン
家庆,イエヨシ
忠英,タダヒデ
晓丹,アカツキニ
文馨,ブンカオル
淳风,ジュンフウ
守珍,マモリチン
时钧,トキヒトシ
李豪,リツヨシ
芋汐,イモシオ
全,チョン
楚轩,スワエノキ
锦潮,ニシキシオ
林强,ハヤシツヨシ
安齐,アンヒトシ
性清,セイキヨシ
菊仙,キクセン
纪周,キノアマネ
白林,ハクリン
文喜,ブンキ
明瑞,アキラミズ
嘉隆,ヨシタカ
占斌,ウラナイアキラ
子腾,コアガ
博雅,ハクガ
瑞东,ミズヒガシ
兴华,キョウハナ
守洵,マモリマコト
哲伦,アキラリン
伟金,エラキン
保平,ホタイラ
世运,ヨウン
瑞泽,ミズサワ
春林,ハルリン
博东,ヒロシヒガシ
天竹,テンジク
天瑞,テンミズ
承泽,ウケタマワサワ
亦康,マタヤスシ
本东,ホンヒガシ
北雅,キタミヤビ
余宏,ヨヒロシ
小敏,ショウサトシ
瑞明,ミズアキラ
锡明,スズアキラ
伟荣,エラサカエ
辰中,タツチュウ
敬辰,ケイタツ
小峰,コミネ
卓然,タクゼン
佳林,ヨハヤシ
天圣,テンキヨシ
北轩,キタノキ
常鸿,ツネオオトリ
文彬,ブンアキラ
土力,ドリョク
宏哲,ヒロシアキラ
昊天,ヒロシテン
柏清,カシワキヨシ
世奇,ヨキ
祥榕,サチヨウ
逸典,イッテン
祖彝,ソツネ
苏圆,ソマドカ
子西,コニシ
金阳,キムヨウ
慧芳,トシヨシ
关军,セキグン
解,カイ
晓青,アカツキアオ
柏扬,カシワヨウ
骆,ラク
知鹭,チリョ
紫翼,ムラサキツバサ
元博,モトヒロ
际根,サイネ
君酱,キミチャン
仁安,ジンヤス
小甫,ショウハジメ
玉明,タマアキラ
勤建,ツトムケン
嘉悦,カエツ
国良,クニリョウ
锡良,スズリョウ
济生,スミセイ
坤生,ヒツジサルセイ
韵秋,インアキ
汝旭,ナンジアサヒ
万鹏,ヨロズホウ
浩嵩,ュウヒロシカサ
谷云,タニウン
益英,エキエイ
梦琦,ーラチャン
建鹏,タテホウ
皇,スメラギ
甫伟,ハジメエラ
湛博,ジンハク
繁雄,シゲオ
志文,シブン
权,ケン
海善,ウミゼン
佶豆,タダシマメ
明晟,アキラアキラ
子扬,コアゲ
力立,チカラリツ
俊豪,シュンゴウ
浩哲,ヒロシアキラ
伟健,エラケン
统帅,トウスイ
学中,マナブナカ
兆年,チョウネン
金昊,キムヒロシ
业明,ゴウアキラ
佳明,ヨシアキ
邦桥,クニキョウ
浩伟,ヒロシエラ
嘉伟,ヨシミエラ
文铠,ブンヨロイ
浩东,ヒロシヒガシ
泽豪,サワツヨシ
哲安,アキラヤス
天凤,テンオオトリ
天凝,テンコゴ
艳艳,ツヤツヤ
中,ナカ
辰光,タツコウ
勇夫,イサオ
春雷,シュンライ
化雨,カアメ
大伦,ダイリン
孜林,ツトムリン
苏豪,ソツヨシ
韵嘉,インヨシミ
砚畅,スズリトオル
楚典,スワエテン
智文,トモフミ
靖原,ヤスシハラ
韵笙,インショウ
梦儿,チャン
品逸,シナイッ
元泰,ゲンヤスシ
修,オサム
秋霞,アキカスミ
文佳,ブンケイ
传兴,ツトウキョウ
东旭,アズマアサヒ
念祖,ネンソ
重恒,ジュウツネ
佑嘉,タスクヨシミ
笑林,エミリン
雅瞳,マサヒトミ
子捷,コトシ
振满,フミツル
佳言,ケイゲン
皓哲,アキラアキラ
季康,キヤスシ
天悦,テンエツ
立诚,タツマコト
至豪,ジーハオ
健铭,ケンメイ
玉玲,タマレイ
庆明,ヨシアキ
矢,ヤ
博慧,ヒロシトシ
海潮,ハイチャオ
鹤龄,ツルヨワイ
润南,ラン
浩员,ヒロシイン
国勇,クニイサム
子敬,コケイ
友义,トモヨシ
文贞,ブンサダ
松璞,ソン
亚明,アアキラ
凤池,オオトリイケ
大志,タイシ
秋云,アキクモ
先庚,センカノエ
甫轩,ハジメノキ
长皓,チョウアキラ
墨阳,ボクヨウ
吉贤,ヨシケン
正建,セイケン
舜博,シュンハク
子萌,コモエ
志钧,ココロザシヒトシ
成志,ナルココロザシ
伊伦,イリン
心飏,シンヤン
月之,ツキノ
东燕,ヒガシツバメ
中华人民共和国行政区划代码,チュウゴクギョウセイクカクコード
上海社会科学院,シャンハイシャカイカガクイン
小红书主页,ショウベニショユーザーシキベツシ
中国浦东干部学院,チュウゴクホトウカンブガクイン
中国图书分类码,チュウゴクトショカントショブンルイホウ
中国国家图书馆标识符,チュウゴクコッカトショカンシキベツシ
上海大世界,ダイセカイゴラクセンター
上海黄金交易所,シャンハイキントリヒキショ
中国历代人物传记资料库编号,チュウゴクレキダイジンブツデンキデータベースシキベツシ
笔划数,カクスウ
兴圣教寺塔,キョウセイキョウテラトウ
中国名人录编号,チュウゴクメイジンロクバンゴウ
香港中文名称规范数据库识别码,ホンコンチュウゴクゴメイキハンデータベースシキベツシ
豆瓣影人编号,マメベンエイガジンブツシキベツシ
上海图书馆人物标识符,シャンハイトショカンジンブツシキベツシ
中国临床试验注册中心标识符,チュウゴクリンショウシケンレジストリシキベツシ
阿拉善沙漠,アルシャーサバク
北大法宝引证码,ホクダイホウタカラインショウコード
国家法律法规数据库编号,コッカホウリツホウキデータベースバンゴウ
古田会议,フルタカイギ
国家原子能机构,チュウゴクコッカゲンシノウキコウ
中国科学院上海天文台,シャンハイテンモンダイ
浠水县,キスイケン
亚细亚大楼,キュウマクベインビル
中国通商银行大楼,キュウチュウゴクツウショウギンコウビル
机场特警组,クウコウホアンユニット
华人基督教史人物辞典标识符,カジンキリストキョウシジンブツジテンシキベツシ
彝语东部方言,トウブホウゲン
西侯度遗址,ニシホウワタル
钱塘江大桥,ゼンドモエ
圣神修院,キヨシカミオサムイン
登封观星台,トウフウカンボシダイ
青太客运专线,アオフトシリョカクセンヨウセン
历山大厦,レキヤマビル
中华人民共和国司法体制,チュウカジンミンキョウワコクシホウタイセイ
中国大陆的性服务业,チュウカジンミンキョウワコクニオケルバイシュン
甘肃天马足球俱乐部,カンセイテンマ
北京市文物保护单位,ペキンシブンブツホゴタンイ
北疆,ジュンガリア
楼观台,ロウカンダイ
福建鲟,フッケンスタージョンズ
振华重工,シャンハイフハナジュウコウ
王老吉凉茶,オウロウキチ
大唐发电,ダイトウコクサイハツデン
贺兰山,ガランサンミャク
宋王台,ソウオウダイ
酒泉卫星发射中心,サケイズミエイセイハッシャセンター
青山发电厂,アオヤマカリョクハツデンショ
新城电台,ホンコンシンジョウラジオ
古宁头之役,コヤスシアタマセンエキ
中共中央港澳工作办公室,チュウキョウチュウオウホンコンマカオコウサクベンオオヤケシツ
鲤鱼门,コイギョモン
中国未识别民族,ヒニンテイミンゾク
武陵山脉,タケリョウサンミャク
台湾海峡飞弹危机,タイワンユウジ
中朝关系,チュウチョウカンケイ
鸭脷洲,カモリシュウ
中原福塔,ナカハラフクトウ
香港邮政总局,ホンコンユウセイソウキョク
中车株洲电力机车有限公司,チュウシャカブシュウデンリョクキシャユウゲンコウシ
茶果岭,チャハテミネ
中国华能集团有限公司,チュウゴクハナノウシュウダン
中条山战役,ナカハラカイセン
圣母神乐院,トラピストシュウドウイン
马湾海峡,ウマワンカイキョウ
周公庙遗址,シュウコウビョウノコシ
怀圣寺,フトコロキヨシテラ
赤门,アカモンカイキョウ
政府新闻处,セイフシンブンショ
中韩关系,チュウカンカンケイ
广州日报,コウシュウニッポウ
中国电影,チュウゴクエイガ
洪都航空,ミナミアキラヒキセイゾウコウシ
中国重汽,シノトラック
华表奖,ハナヒョウショウ
南丫发电厂,ラマトウハツデンショ
紫金山天文台,ムラサキカナヤマテンモンダイ
峨嵋山暗色岩,ガビサントラップ
元朗,モトロウ
苍山,アオイヤマ
金上京会宁府遗址,キムジョウキョウカイヤスシフノコシ
厂窖惨案,ショウアナグラギャクサツジケン
中国银联股份有限公司,チュウゴクギンレン
中国铁路武汉局集团有限公司,チュウゴクテツロブカンキョクシュウダンコウシ
中国电视剧飞天奖,チュウゴクデンシゲキヒテンススム
交银金融大厦,コウツウギンコウビル
兖州煤业,エンシュウススギョウ
中日关系,ニチチュウカンケイ
亚洲电视有限公司,アシュウデンシ
苏州摩天轮公园,ソシュウマテンワ
上海环球金融中心,シャンハイタマキダマキンユウチュウシン
小湾坝,コワンダム
中国中信集团有限公司,チュウゴクチュウシン
国家烟草专卖局,チュウゴクタバコ
中国电力投资集团公司,チュウゴクデンリョクトウシシュウダンコウシ
青衣南桥,アオコロモオオハシ
中蒙边界,チュウコウムコッキョウ
广州市市长,コウシュウシチョウ
英华女学校,エイカジョガッコウ
华中,カチュウ
广华医院,ヒロハナイイン
中海集运,ナカウミコンテナ
鄄城县,ケングスクケン
西昌卫星发射中心,ニシアキラエイセイハッシャセンター
中信证券,チュウシンショウケン
台湾伊斯兰教,タイワンニオケルイスラムキョウ
加舒尔布鲁木诸峰,ガッシャーブルムホウ
漆咸道,チャタムロード
青岛电视塔,チンタオテレビトウ
雀儿山,スズメコヤマ
义县组,ギケンソウ
藏王墓,レキダイオウリョウ
北辰实业,ホクシンジツギョウ
万国公报,バンコクコウホウ
天津之眼,テンシンノメ
华普,シャンハイハナヒロシキシャ
深圳舞王俱乐部火灾,シンセンマイオウクラブカサイ
国家司法考试,ゼンコクシホウシケン
香港交易及结算所有限公司,ホンコントリヒキショ
新农村建设,シンノウソンケンセツ
样板戏,カクメイモハンゲキ
北京奥神,ペキンオリンピアンズ
库拉冈日峰,クーラカンリ
中国美术,チュウゴクビジュツ
南少林,フッケンショウリンジ
中国科学院云南天文台,ウンナンテンモンダイ
中国兵器装备集团有限公司,チュウゴクナンポウコウギョウシュウダン
巴天族,ハセイヨウ
中俄关系,チュウロカンケイ
明登号战舰,ミンデン
郑州摩天轮,テイシュウマテンワ
塔尔巴哈台山,タルバガタイサンミャク
颜庙,カオビョウ
红崖村,タクツェル
政府山,セイジヤマ
北京大学生电影节,ペキンダイガクセイエイガサイ
托林寺,タクハヤシジ
高昌,コウアキラ
黟县,イケン
绒布寺,ロンブクテラ
李家峡水库,リカカイダム
保安局,ホアンキョク
鲁迅文学奖,ロジンブンガクススム
风火山隧道,カゼカザントンネル
北京植物园,ペキンショクブツエン
全港羽毛球锦标赛,ホンコンバドミントンセンシュケン
中英关系,チュウエイカンケイ
邮政局,マカオユウセイキョク
中国海洋石油有限公司,クヌーク
中国海洋石油集团有限公司,チュウゴクカイヨウセキユソウコウシ
华大基因,ペキンモトイングミケンキュウジョ
虎门,トラモン
新民主同盟,シンミンシュドウメイ
伊尔克什坦,イルケシタム
乌兹别克族,ウズベク
华泰汽车,ハナヤスシキシャ
国家宗教事务局,コッカシュウキョウジムキョク
大报国慈仁寺,ホウコクテラ
平武报恩寺,ホウオンジ
宝带桥,タカラタイキョウ
公安机关,コウアンケイサツ
丹江口大坝,タンエグチダム
南浦大桥,ミナミウラオオハシ
香港联合交易所,ホンコンショウケントリヒキショ
周口店北京人遗址,シュウグチテン
马哈兰格,マハランガー
喜玛尔,ヒマール
郭亮村,カクアキラトンネル
长江跨江高压电线,ナガエオウダンソウデンセン
北京东岳庙,ペキンアズマダケビョウ
徐兰客运专线,ジョランリョカクセンヨウセン
北京国安足球俱乐部,ペキンクニヤスアシダマクラブ
中蒙关系,チュウコウムカンケイ
上海东方明珠新媒体,トウホウアキラタマシンバイタイマタブンユウゲンコウシ
狮子洋隧道,シシヒロシトンネル
红旗渠,ベニハタミゾ
中华人民共和国国土资源部,チュウカジンミンキョウワコクコクドシゲンブ
鸡公山,ニワトリオオヤケヤマ
中国石油,チュウゴクセキユテンネンキ
北庭故城遗址,ビシュバリク
天河体育中心,テンカワタイイクチュウシンタイイクジョウ
武汉世界贸易大厦,ブカンセカイボウエキセンター
澳门新葡京酒店,グランドリスボア
广东道,ヒロトウドウ
宝莲禅寺,タカラレンゼンテラ
华南,カナン
苏州话,ソシュウ
荔枝角,レイシカク
前线,ゼンセン
中华人民共和国国务委员,コクムイイン
克木族,コムゾク
中华人民共和国农业部,チュウカジンミンキョウワコクノウギョウブ
中国中央电视台军事,チュウゴクチュウオウデンシダイグンジ
农业频道,ノウギョウチャンネル
香港大会堂,ホンコンタイカイドウ
北海舰队,ホッカイカンタイ
白云山,ハクウンザン
江苏希望之星队,コウソホープスターズ
盘山,バンヤマ
毛乌素沙漠,ムウスサバク
报恩寺塔,ホオジトウ
无锡体育中心体育馆,ムスズタイイクチュウシン
宜昌长江公路大桥,ムベアキラナガエコウロオオハシ
日坛,ニチダン
狮子山隧道,シシサントンネル
澳门特别行政区政府,マカオトクベツギョウセイクセイフ
西津桥,ニシヅキョウ
广深铁路股份有限公司,ヒロブカテツロカブシキガイシャ
大炮台,サンパウロホウダイ
中朝边界,チュウチョウコッキョウ
完达山,カンタツヤマ
亚丁,イナギアヒノト
定军山,ジョウグンヤマ
香港热带气旋警告信号,タイフウケイホウシグナル
甑皮岩遗址,コシキガワイワイセキ
北京中山公园,ナカヤマコウエン
昌河飞机工业集团有限责任公司,アキラカワヒキコウギョウコウシ
政府飞行服务队,セイフヒコウフクムタイ
延边长白山职业足球队,ノベアタリチョウビャッコアシダマクラブ
怒山,イカヤマヤマミャク
澳门博彩业,マカオニオケルトバク
香港科学园,ホンコンサイエンスパーク
昌河汽车,アキラカワスズキ
西单,ニシタン
梅县话,ウメケンハナシ
中国中铁股份有限公司,チュウゴクチュウテツ
朝天门长江大桥,アサテンモンチョウコウオオハシ
朝阳公园,アサヒコウエン
朝阳门,アサヒモン
香蕉糕,バナナロール
大盘鸡,オオザラニワトリ
东区海底隧道,ヒガシクカイテイトンネル
德天瀑布,トクテンバクフ
屯溪绿茶,チンマユチャ
南京中国近代史遗址博物馆,タイヘイテンゴクテンノウフアト
噶大克,ガルトク
琼果杰寺,チューコルギェルテラ
西藏和平解放纪念碑,ニシクラワヘイカイホウキノネンヒ
金风科技,キンプウカギ
中国美术学院,チュウゴクビジュツガクイン
北京宏登足球俱乐部,ペキンヒロシトウアシダマクラブ
中越关系,ナカゴエカンケイ
北京孔庙,ペキンアナビョウ
重庆市奥林匹克体育中心,ターチンオリンピックスポーツセンター
英利国际金融中心,ヒデトシコクサイキンユウチュウシン
锦江饭店,キンコウハンテン
古洞,コドウ
和平纪念碑,ワヘイキネンヒ
街道,カイドウ
鞍山钢铁集团公司,アンザンコウテツシュウダン
神龙空天飞机,シェンロン
广汽吉奥,セッコウキチオクキシャ
念青唐古拉峰,ニェンチェンタンラサン
深圳特区报业大厦,シンセントックプレスタワー
郑州日产,テイシュウニッサンキシャ
中国核工业集团有限公司,チュウゴクカクコウギョウシュウダン
乌鞘岭特长隧道,カラスサヤミネトンネル
东风汽车公司,コチキシャ
大连裕景中心,タイレンヒロシケイチュウシン
芷江侗族自治县,シコウトンゾクジチケン
赤𫚭角,アカリョウカク
飞天航天服,ヒテン
智化寺,サトシカテラ
秦岭终南山公路隧道,ハタミネオワリナンザントンネル
中山桥,アララギシュウチュウザンキョウ
午门,ウマモン
中国船舶重工集团公司,チュウゴクセンパクジュウコウシュウダン
神华能源,カミハナノウゲン
中国船舶集团有限公司,チュウゴクセンパクシュウダン
立体快巴,トランジットコウカバス
中国石油天然气集团有限公司,チュウゴクセキユテンネンキシュウダン
中通客车,ナカトキャクシャ
中国国家铁路集团有限公司,チュウゴクコッカテツロシュウダン
中国电信,チュウゴクデンシングループ
中国国家女子冰球代表队,アイスホッケージョシチュウカジンミンキョウワコクダイヒョウ
周原,シュウゲン
苏州园林,ソシュウコテンエンリン
大秦寺塔,タイシンテラ
资江,シエ
香港会议展览中心,ホンコンカイギテンランチュウシン
章子峰,チャンツェ
明星电影公司,ミョウジョウカゲヘンコウシ
拙政园,ツタナセイエン
壶口瀑布,ツボグチバクフ
重庆环球金融中心,ターチンタマキダマキンユウチュウシン
澳门高尔夫球公开赛,マカオオープン
同方股份有限公司,セイカドウカタ
卓木拉日峰,チョモラリ
重庆世界贸易中心,ターチンセカイボウエキセンター
宁蒗彝族自治县,ヤスシロウイゾクジチケン
郑州商城遗址,テイシュウショウジョウイセキ
卓比奥斯职业自由车队,チャンピオンシステム
金盾工程,キムタテ
土木工程拓展署,ドボクコウテイツブセテンショ
大别山,タイベツサンミャク
国家电网有限公司,コッカデンモウ
广州双塔,コウシュウツインタワー
太庙,フトシビョウ
工业间谍,サンギョウスパイ
紫竹院街道,シチクインカイドウ
卡瓦格博,カワカボホウ
互联网管理论坛,インターネットガバナンスフォーラム
丹棱县,ニロウケン
中国可再生能源,チュウゴクニオケルサイセイカノウエネルギー
振荡波,フクシンドウ
香港动植物公园,ホンコンドウショクブツコウエン
财政司司长,タカラセイジツカサチョウ
