глюкоза,グリュコーザ,glyukoza
телеуты,テレウトホウゲン,teleuty
кальтовка,カルトフカ,kaltovka
ушковский,ウシュコフスキカザン,ushkovskiy
руслайн,ラスライン,ruslayn
высшая,スプリーム,vysshaya
кузнецовка,クズネツォフカ,kuznecovka
хрустальный,クリスタル,hrustalnyy
горнозаводск,ゴルノザヴォーツク,gornozavodsk
рыбачий,ルィバチー,rybachiy
останкино,オスタンキノキュウデン,ostankino
мисс,ミス,miss
кумух,クムフ,kumuh
танаис,タナイス,tanais
рязановка,リャザーノフカ,ryazanovka
досааф,ソビエトレンポウリクカイクウグンシガンシエンキョウカイ,dosaaf
наумовка,ナウモフカ,naumovka
книга,クニーガショウ,kniga
демидовка,デミドフカ,demidovka
шариповка,シャリポフカ,sharipovka
онкамоярви,オンカモコ,onkamoyarvi
дарьяльское,ダリエル,daryalskoe
ущелье,ゴルジュ,ushchele
бросно,ブロスノミズウミ,brosno
букер,ブッカーショウ,buker
энем,エネム,enem
труд,トルード,trud
фанагория,ファナゴリア,fanagoriya
эльтон,エルトンコ,elton
рособоронэкспорт,ロソボロネクスポルト,rosoboroneksport
кепа,ケパ,kepa
жупановский,ズーパノフサン,zhupanovskiy
пэкульней,ペクリニェイサンミャク,pekulney
иловля,イロヴリャ,ilovlya
мфти,モスクワブツリコウカダイガク,mfti
старины,スタリニ,stariny
хор,ホールマチ,hor
мобильные,モバイル,mobilnye
телесистемы,テレシステムス,telesistemy
хоровод,ホロヴォート,horovod
волго,ヴォルゴコ,volgo
ключи,クリュチ,klyuchi
смоленская,スモレンスク,smolenskaya
крепость,クレムリン,krepost
эгвекинот,エグヴェキノト,egvekinot
медаль,プーシキン,medal
пушкина,メダル,pushkina
увек,ウケク,uvek
евразия,ユーラシア,evraziya
узон,ウゾン,uzon
калевала,ウフトゥア,kalevala
пятёрочка,ピャトロチカ,pyatyorochka
добровольск,ドブロヴォルスク,dobrovolsk
техснабэкспорт,テクスナブエクスポルト,tehsnabeksport
югра,ユグラ,yugra
видяево,ヴィジャーエヴォ,vidyaevo
гвардия,シンエイタイ,gvardiya
донецкий,ドネツ,doneckiy
кряж,リッジ,kryazh
время,ヴレミヤ,vremya
новостей,ノーボスチ,novostey
толстые,トルストイカ,tolstye
корватунтури,コルヴァトゥントゥリ,korvatunturi
климово,クリーモフ,klimovo
лексозеро,レクソゼロ,leksozero
белоостров,ベロオストロフ,beloostrov
чуя,チュヤ,chuya
уфаарена,ウファアリーナ,ufaarena
сунтар,スンタル,suntar
спбгасу,サンクトペテルブルクコクリツドボクコウガクダイガク,spbgasu
канатная,ノヴゴロド,kanatnaya
дорога,ロープウェイ,doroga
хонуу,ホヌウ,honuu
кукрыниксы,ククルイニクスイ,kukryniksy
бриньковская,ブリンコフスカヤ,brinkovskaya
факел,ファケル,fakel
трудовое,トゥルドヴォエ,trudovoe
динамо,ディナモ,dinamo
сетумаа,セトゥマー,setumaa
копейка,コペイカギンカ,kopeyka
рублёвка,ルブリオフカ,rublyovka
оборона,オボローナ,oborona
золотая,ゴールデン,zolotaya
маска,マスクショウ,maska
яя,ヤヤ,yaya
краснодарский,クラスノダール,krasnodarskiy
печерск,ペチョルスク,pechersk
монрепо,モンレポスコウエン,monrepo
выгозеро,ヴィゴゼロコ,vygozero
современник,ソヴレメンニクゲキジョウ,sovremennik
лесное,レスノイェ,lesnoe
маяковское,マヤコフスコエ,mayakovskoe
сарское,サルスコエ,sarskoe
городище,ゴロディシュチェ,gorodishche
тубалары,トゥバホウゲン,tubalary
тазовский,タゾフスキーノウソンキョジュウクイキ,tazovskiy
кашан,カシャン,kashan
дельта,ヴォルガ,delta
волги,デルタ,volgi
арктический,アークティックミサキ,arkticheskiy
таля,メモリアル,talya
аэробратск,アエロブラーツク,aerobratsk
дербеты,ドルベト,derbety
мотобол,モーターボール,motobol
форос,フォロス,foros
танама,タナマ,tanama
тушино,トゥシノ,tushino
горелый,ゴレーリー,gorelyy
курья,クーリャ,kurya
совхозное,リッペン,sovhoznoe
пригоркино,プリゴルキノ,prigorkino
матвеевокурганский,マトヴェーヴォ,matveevokurganskiy
восток,ヴォストークダイタイ,vostok
бибигон,ビビゴン,bibigon
монорельс,モノレールセン,monorels
приамурский,プリアムールスカヤ,priamurskiy
рощино,ライヴォラ,roshchino
экитыки,エキトィキコ,ekityki
гознак,ゴズナク,goznak
няндомский,ニャンドムスキー,nyandomskiy
шушенское,シュシェンスコエ,shushenskoe
нёнокса,ネノクサ,nyonoksa
умбозеро,ウムボゼロコ,umbozero
бошняково,ボシュニャコヴォ,boshnyakovo
сибелиус,シベリウス,sibelius
россотрудничество,ロシアレンポウコウリュウチョウ,rossotrudnichestvo
ростсельмаш,ロッセリマシュ,rostselmash
витино,ヴィティノ,vitino
кречевицы,クレチェヴィツィヒコウジョウ,krechevicy
марьяновка,マリヤノフカ,maryanovka
цуканово,ツカノヴォ,cukanovo
балтийсколадожский,バルト,baltiyskoladozhskiy
уступ,クリント,ustup
устьишимский,ウスト,ustishimskiy
марш,ディセンター,marsh
несогласных,マーチ,nesoglasnyh
ижевское,イジェフスク,izhevskoe
пангоды,パンゴディ,pangody
ртрпланета,エルテールコクサイホウソウ,rtrplaneta
сахаровский,サハロフ,saharovskiy
центр,センター,centr
качуг,カチュグ,kachug
брянка,ブリャーンカ,bryanka
известковый,イズヴェストコヴイ,izvestkovyy
устькамчатск,ニジネカムチャック,ustkamchatsk
мечел,メチェル,mechel
пеликан,ペリカン,pelikan
новоогарёво,ノボオガリョヴォコウテイ,novoogaryovo
молочное,モロクノエ,molochnoe
тоцкое,トツコエ,tockoe
тарханы,タルハーヌイ,tarhany
пустозерск,プストジョルスク,pustozersk
монино,モニノ,monino
бобровые,バブロヴイェガンショウ,bobrovye
москалёнки,モスカレンキ,moskalyonki
одон,ドクリツサクセンニンムシダン,odon
мосгортранс,モスゴルトランス,mosgortrans
уруша,ウルシャ,urusha
базальт,バザルト,bazalt
мостовской,モストフスコイ,mostovskoy
динамоак,ディナモ,dinamoak
харакс,カラクス,haraks
тулмозеро,トゥルモゼロコ,tulmozero
сунжа,オルジョニキゼフスカヤ,sunzha
реболы,レポラ,reboly
мегафон,メガフォン,megafon
морское,モルスコエ,morskoe
таборинский,タボリンスキー,taborinskiy
чехово,チェホヴォ,chehovo
андрюшкино,アンドリュシュキノ,andryushkino
взгляд,ヴズグリャド,vzglyad
теплоозёрск,チョープロゼルスク,teploozyorsk
гематоген,ヘマトゲン,gematogen
машук,マシュークサン,mashuk
моргауши,モルガウシ,morgaushi
итера,イテラ,itera
кумандинцы,クマンドゥホウゲン,kumandincy
коломенский,コロムナ,kolomenskiy
ербогачён,エルボガチェン,erbogachyon
хиславичи,ヒスラヴィチ,hislavichi
московские,シュウカンモスコフスキー,moskovskie
новости,ノーボスチ,novosti
радонеж,ラドネジ,radonezh
зеленчукская,ゼレンチュクスカヤ,zelenchukskaya
васильсурск,ヴァシリスルスク,vasilsursk
фонарь,フォナールミサキ,fonar
лигово,リゴヴォ,ligovo
ошель,アシュル,oshel
лютнист,リュートヲヒクワカモノ,lyutnist
тузлинская,トゥーズラ,tuzlinskaya
коса,スピット,kosa
центросоюз,ツエントロサユーズ,centrosoyuz
цкад,モスクワチュウオウカンジョウドウロ,ckad
старочеркасская,スタロチェルカッスカヤ,starocherkasskaya
чёрная,チョールナヤ,chyornaya
речка,レチカ,rechka
роснано,ロスナノ,rosnano
кинотавр,キノタヴル,kinotavr
чукотавиа,チュコタヴィア,chukotavia
локоть,ロコト,lokot
александрия,アレクサンドリア,aleksandriya
шан,シャニサン,shan
браво,ブラヴォー,bravo
ледовый,アイス,ledovyy
александросвирский,ヒジリアレクサンドル,aleksandrosvirskiy
нестерова,メダル,nesterova
суворова,メダル,suvorova
ханская,ハンスカヤヒコウジョウ,hanskaya
электросила,エレクトロシア,elektrosila
акша,アクシャ,aksha
ливадийская,リヴァディースカヤサン,livadiyskaya
песково,ペスコヴォ,peskovo
курейка,クレイカ,kureyka
лиинахамари,リイナハマリ,liinahamari
смольное,スモルノイェ,smolnoe
мама,ママ,mama
заварной,カスタード,zavarnoy
тарт,タルト,tart
лены,デルタ,leny
амгуэма,アムグエマ,amguema
ведомости,ヴェドモスチ,vedomosti
зырянка,ズイリャンカ,zyryanka
ораниенбаум,オラニエンバウム,oranienbaum
тальцы,タリツィ,talcy
барда,バルダ,barda
магарамкент,マガラムケント,magaramkent
култук,クルトゥク,kultuk
фишт,フィシュトサン,fisht
талпаки,タルパキ,talpaki
гвардейское,フバルディスケ,gvardeyskoe
ташанта,タシャンタ,tashanta
алакуртти,アラクルティ,alakurtti
петропавловсккамчатское,ペトロパブロフスク,petropavlovskkamchatskoe
авиапредприятие,カムチャツキーコウクウ,aviapredpriyatie
курмыш,クルミシュ,kurmysh
ленком,レンコムゲキジョウ,lenkom
подпоручик,ポトポルーチク,podporuchik
покровка,ポクロフカ,pokrovka
каккарово,カッカロヴォ,kakkarovo
мирэа,モスクワコウカダイガク,mirea
орель,オレル,orel
ясенево,ヤセネヴォ,yasenevo
старооскольский,スタールイ,starooskolskiy
севастьяново,カウコラ,sevastyanovo
ката,カタ,kata
тыльжа,ティルジェ,tylzha
батагай,バタガイ,batagay
дорогомилово,ドロゴミロヴォ,dorogomilovo
мамонтовая,マモントヴァヤ,mamontovaya
воуноу,メガトンヲメガワットニケイカク,vounou
гольяново,ゴリヤノヴォ,golyanovo
лахта,ラフタ,lahta
песня,ピェースニャ,pesnya
года,ゴーダ,goda
мизур,ミズル,mizur
лезгистан,レズギスタン,lezgistan
биляр,ビリャル,bilyar
московская,モスコフスカヤ,moskovskaya
старые,スタールィエ,starye
атаги,アタギ,atagi
путинка,プーチンカ,putinka
ранхигс,ロシアダイトウリョウフフゾクロシアコクミンケイザイコウキョウギョウセイアカデミー,ranhigs
атомэнергомаш,アトムエネルゴマシ,atomenergomash
ностальгия,ノスタルジヤ,nostalgiya
арбаж,アルバス,arbazh
базелевс,バゼレフス,bazelevs
ивао,シロタエサン,ivao
багерово,バゲロヴォ,bagerovo
песочный,ペソーチニー,pesochnyy
цнииточмаш,デジニトクマッシ,cniitochmash
черепаново,チェレパノヴォ,cherepanovo
вечерняя,ヴェチェルニャヤ,vechernyaya
красной,クラスノイ,krasnoy
молодёжи,モロジューズィ,molodyozhi
палас,パレス,palas
сувар,スアル,suvar
удельная,ウデリナヤ,udelnaya
черёмушки,チェリョームシキ,cheryomushki
колка,コルカヒョウガ,kolka
балаганск,バラガンスク,balagansk
академия,アカデミヤ,akademiya
футбола,フィトボラ,futbola
имени,イメニ,imeni
юрия,ウリヤ,yuriya
коноплёва,コノプレヴァ,konoplyova
пожва,ポジュヴァ,pozhva
архыз,アルヒズ,arhyz
плесецкий,プレセツキー,pleseckiy
бада,バダ,bada
ижма,イジュマ,izhma
давша,ダヴシャ,davsha
гнёздово,グニェズドヴォイセキ,gnyozdovo
выстрел,ヴィーストレルシカンキョウイクカテイ,vystrel
российскоабхазская,アブハジア,rossiyskoabhazskaya
середниково,セレドニコヴォ,serednikovo
ледяной,アイスキューブ,ledyanoy
куб,カーリングセンター,kub
проточное,オウムホラコ,protochnoe
свирьлаг,スヴィラーグ,svirlag
мурманский,ムルマンスク,murmanskiy
кача,カチャ,kacha
бештау,ベシタウ,beshtau
лимонка,リモンカ,limonka
пассаж,パサージュ,passazh
челябинский,チェリャビンスク,chelyabinskiy
новатор,ノヴァトールセッケイキョク,novator
талашкино,タラシュキノ,talashkino
анадырский,アナディルスキー,anadyrskiy
лиман,リマン,liman
арсенал,アーセナルスタジアム,arsenal
фазотронниир,ファゾトロン,fazotronniir
солнечное,ソルネチノエ,solnechnoe
ксудач,ツダック,ksudach
ванкарем,ヴァンカレム,vankarem
астраханские,アストラハン,astrahanskie
татары,タタールゾク,tatary
маджар,マジャール,madzhar
шуйские,シュイスキーカ,shuyskie
кресты,クレスティカンゴク,kresty
хийтола,ヒートラ,hiytola
металлургкузбасс,ノボクズネツク,metallurgkuzbass
первомайское,ペルヴォマイスコエ,pervomayskoe
нырза,ニルザ,nyrza
кесова,ケソヴァ,kesova
шимск,シムスク,shimsk
хельсинкская,ヘルシンキ,helsinkskaya
группа,グループ,gruppa
ропша,ロプシャ,ropsha
скнятино,スクニャティノ,sknyatino
мавиал,マビアルマガダンコウクウ,mavial
казахстанскороссийская,カザフスタン,kazahstanskorossiyskaya
джубга,ジューブガ,dzhubga
узкое,ウズコイェ,uzkoe
челканцы,クーホウゲン,chelkancy
галёнки,ガレンキ,galyonki
пено,ペノミズウミ,peno
эксмо,エクスモー,eksmo
госфильмофонд,ゴスフィルムフォンド,gosfilmofond
карский,カラ,karskiy
кратер,クレーター,krater
салми,サルミ,salmi
кура,クーラシケンジョウ,kura
александровское,アレクサンドロフスコエ,aleksandrovskoe
балкария,バルカリア,balkariya
кользат,コールザートミサキ,kolzat
фаберже,ファベルジェ,faberzhe
грузинскороссийская,ジョージア,gruzinskorossiyskaya
молога,モローガ,mologa
автодор,アヴトドル,avtodor
российскоукраинская,ロシア,rossiyskoukrainskaya
бурханизм,ブルハンキョウ,burhanizm
мильна,シンチダケ,milna
ореанда,オレアンダ,oreanda
сандармох,サンダルモフ,sandarmoh
кара,カラ,kara
новофёдоровка,サキヒコウジョウ,novofyodorovka
российсконорвежская,ノルウェー,rossiyskonorvezhskaya
пироговский,ピロゴフスキー,pirogovskiy
депутатский,デプタツキー,deputatskiy
радио,ラジオ,radio
юность,ユネスチ,yunost
ходутка,ホドゥトカサン,hodutka
хунзах,フンザフ,hunzah
шушары,サンクトペテルブルク,shushary
сайлюгем,サイリュゲムサンミャク,saylyugem
чирип,チリップヤマ,chirip
цезарь,ツェーザリ,cezar
куников,クニコフ,kunikov
боков,イジャヴィア,bokov
бесовец,ベソヴェツ,besovec
фалёнки,ファリョーンキ,falyonki
воскресенское,ヴォスクレセンスコエ,voskresenskoe
маган,マガン,magan
свеча,スヴェーチャ,svecha
сычёво,シチョヴォ,sychyovo
талакан,タラカン,talakan
ивашка,イヴァシュカ,ivashka
яковлево,ヤコヴレヴォ,yakovlevo
аибга,アイブガ,aibga
маручак,マルチャック,maruchak
клетская,クレツカジャ,kletskaya
коболдо,コボルド,koboldo
чернь,チェルニ,chern
ленинское,レーニンスコエ,leninskoe
российского,テレビジョン,rossiyskogo
телевидения,アカデミー,televideniya
абазинка,アバズィンカ,abazinka
марково,マルコヴォ,markovo
малино,マリノ,malino
мамакан,ママカン,mamakan
ёонай,イオニコ,yoonay
аверинская,アヴェリンスカヤ,averinskaya
авароандийские,アヴァル,avaroandiyskie
языки,アンディックゴハ,yazyki
алгоритм,アルゴリトム,algoritm
новоозёрное,ノヴォオゼールネ,novoozyornoe
кацивели,カツィヴェリ,kaciveli
барнаульский,バルナウル,barnaulskiy
афиша,アフィシャ,afisha
арасланово,アルスラン,araslanovo
ачипсе,アチプセヨウサイ,achipse
басандайка,バサンダイカ,basandayka
барсуки,バルスキ,barsuki
аракс,アラクス,araks
башинформ,バシンフォルム,bashinform
ардонь,アルドン,ardon
бахчиванджи,バフチヴァンジー,bahchivandzhi
аржаники,アルジャニキ,arzhaniki
амазар,アマザル,amazar
армхи,アルムヒ,armhi
ангстрем,オングストローム,angstrem
безымянная,ベズィミャンカ,bezymyannaya
анапка,アナプカワン,anapka
бессолово,ベッソロヴォ,bessolovo
анино,アニノ,anino
ассиновская,アシノフスカヤ,assinovskaya
анисовка,アニソフカ,anisovka
белое,ベロイェ,beloe
море,モレ,more
атоммаш,アトムマッシュ,atommash
благовещенская,クラリ,blagoveshchenskaya
улица,ツェトキン,ulica
белые,ベーリー,belye
столбы,ストルビー,stolby
барановский,バラノフスキー,baranovskiy
коты,コトィ,koty
ближняя,クンツェヴォ,blizhnyaya
дача,ダーチャ,dacha
бутынь,ブティン,butyn
буюклы,ブユクリ,buyukly
бухта,ヴフタ,buhta
кирпичного,キルリチノゴ,kirpichnogo
завода,ザボーダ,zavoda
великан,ヴェリカンミサキ,velikan
большое,ボリショエ,bolshoe
бычье,ビチエ,byche
важа,ヴァジャ,vazha
вагриус,バグリウス,vagrius
брёхово,ブリョホヴォ,bryohovo
верный,ヴェールヌイヨウサイ,vernyy
василевка,ヴァシリウカ,vasilevka
борисовичи,ボリソヴィッチ,borisovichi
буньково,ブニコヴォ,bunkovo
бурдуково,ブルドゥコヴォ,burdukovo
буркихан,ブルキハン,burkihan
воздвиженка,ヴォズドヴィデンカ,vozdvizhenka
верхопенье,ヴェルホペニエ,verhopene
волово,ヴォロヴォ,volovo
вахрушев,ヴァフルシェフ,vahrushev
вести,ラジオ,vesti
фм,ヴェスチ,fm
ельцовка,エリツォフカ,elcovka
горбатовка,ゴルバトフカ,gorbatovka
восточное,ヴォストーチヌイ,vostochnoe
гидрометцентр,ロシアスイブンキショウセンター,gidrometcentr
гикало,ギカロ,gikalo
вижай,ヴィジャイ,vizhay
викимедиа,ウィキメディア,vikimedia
ру,ロシア,ru
главкино,グラフキノ,glavkino
врангель,ウランゲル,vrangel
вологодские,ヴォラゴスキー,vologodskie
зори,ゾーリエ,zori
глотовка,グロトフカ,glotovka
владимировка,ウラジミロフカ,vladimirovka
гойты,ゴイトゥイ,goyty
выдрино,ヴィドリノ,vydrino
гастелло,ガステロ,gastello
вороново,ヴォロノヴォ,voronovo
двинцы,ドヴィンツィ,dvincy
городня,ゴロドニャ,gorodnya
дачное,ダチュノエ,dachnoe
горное,クイビシェフ,gornoe
грозненский,グロズヌイ,groznenskiy
дебют,デビューショウ,debyut
дубина,ドゥビナ,dubina
дмитровское,ドミトロフ,dmitrovskoe
шоссе,ショセ,shosse
дубосеково,ドゥボセコヴォ,dubosekovo
демихово,デミホヴォ,demihovo
грузино,グルジノ,gruzino
гряды,グリャディ,gryady
гудок,グドク,gudok
дубовое,ドゥボボエ,dubovoe
горэлектротранс,ゴルエレクトロトランス,gorelektrotrans
давыдовка,ダヴィドフカ,davydovka
дунай,ドゥナイ,dunay
дикси,ディクシー,diksi
дальзавод,ダルザヴォートゾウセンショ,dalzavod
дюна,デューナ,dyuna
донузлав,ドヌズラフコ,donuzlav
джида,ジダ,dzhida
дагестанская,ダゲスタン,dagestanskaya
елин,イェリン,elin
дарасун,ダラスン,darasun
жонкиер,ジョンキェルミサキ,zhonkier
елизаветинская,エリザヴェチンスカヤ,elizavetinskaya
елохово,エロホヴォ,elohovo
екарта,エカルタ,ekarta
граммофон,グラモフォンショウ,grammofon
жукотин,ジュケタウ,zhukotin
ермаковское,エルマコフスコエ,ermakovskoe
икса,イクサ,iksa
еремеево,イェレミエヴォ,eremeevo
ильич,イリッチ,ilich
ильичёво,イリイチョヴォ,ilichyovo
ильмовая,イリモヴァヤ,ilmovaya
падь,パヂイセキ,pad
ефимовка,イェフィモフカ,efimovka
илирней,イリルネイ,ilirney
ивановский,イヴァノヴォ,ivanovskiy
ивановское,イヴァノフスコエ,ivanovskoe
иноковка,イノコフカ,inokovka
земляне,ゼムリャーネ,zemlyane
зенькино,ゼニキノ,zenkino
игрим,イグリム,igrim
ижевский,イジェフスク,izhevskiy
калачи,カラチ,kalachi
итака,イタカ,itaka
кема,ケマ,kema
калистово,カリストヴォ,kalistovo
кемеровский,ケメロヴォ,kemerovskiy
каракокша,カラコクシャ,karakoksha
кепервеем,ケペルヴェエム,keperveem
кальтовский,カルトフスキー,kaltovskiy
сельсовет,セルソヴィエト,selsovet
калчуга,カルチュガ,kalchuga
кама,カマ,kama
киевка,キエフカ,kievka
коббаш,コッバシュ,kobbash
каретный,カレトヌイ,karetnyy
ряд,リャドドオリ,ryad
киевское,キエフスコエ,kievskoe
коби,コビ,kobi
карусель,カルセル,karusel
кипчак,キプチャク,kipchak
кириллоновоезерский,キリル,kirillonovoezerskiy
казачинское,カザチンスコエ,kazachinskoe
козинка,コジンカ,kozinka
кирьясало,キルヤサロ,kiryasalo
кауп,カウプ,kaup
коккорево,コッコレヴォ,kokkorevo
киша,キシャ,kisha
шиша,シーシャ,shisha
кленка,クレンカ,klenka
комсомольский,コムソモルスキー,komsomolskiy
коршуниха,コルシュニハ,korshuniha
кондинское,コンジンスコエ,kondinskoe
горка,ゴールカ,gorka
косая,コサヤ,kosaya
кроншлот,クロンシュロット,kronshlot
куженкино,クジェンキノ,kuzhenkino
кузнецовская,クズネツォフスカヤ,kuznecovskaya
крупец,クルペツ,krupec
константиново,コンスタンチノボ,konstantinovo
коолень,コーレニコ,koolen
коно,コノ,kono
костромское,コストロムスコエ,kostromskoe
куйбышевнефтеоргсинтез,クイビシェフネフテオルグシンテス,kuybyshevnefteorgsintez
копша,コプシャ,kopsha
крюково,クリュコヴォ,kryukovo
крым,クルィム,krym
корелы,コレラゾク,korely
красноярский,クラスノヤルスク,krasnoyarskiy
кувакино,クワキノ,kuvakino
коштуги,コストゥギ,koshtugi
курский,クルスク,kurskiy
кунакбаево,クナクバエヴォ,kunakbaevo
квадрат,クワドラート,kvadrat
кривандино,クリヴァンジノ,krivandino
кучи,クチ,kuchi
кушалино,クシャリーノ,kushalino
кырен,キレン,kyren
лента,レンタ,lenta
лойга,ロイガ,loyga
лойка,ロイカ,loyka
леонидово,レオニードヴォ,leonidovo
лагутьевский,ラグティエフスキー,lagutevskiy
людинка,リュジンカ,lyudinka
лопатина,ロパチンサン,lopatina
лазурит,ソロモノフセッケイキョク,lazurit
лопуховка,ロプホフカ,lopuhovka
ламское,ランスコエ,lamskoe
луаштанги,ルアシュタンギ,luashtangi
лудина,ルジナ,ludina
лужайка,ルージャイカ,luzhayka
марьино,マリーノ,marino
малое,マロエ,maloe
краснохолмское,クラスノホルムスコエ,krasnoholmskoe
меридианы,パシフィック,meridiany
тихого,メリディアン,tihogo
метроэлектротранс,メトロエレクトロトランス,metroelektrotrans
матросово,マトロソヴォ,matrosovo
дудергоф,ドゥデルゴフ,dudergof
мещёрский,メシェルスキー,meshchyorskiy
мраковский,ムラコフスキー,mrakovskiy
мальта,マリタ,malta
музыкальная,ムズィカーリナヤ,muzykalnaya
мираж,ミラージュ,mirazh
манка,マンカ,manka
чуванское,チュバンスコエ,chuvanskoe
маньково,マンコヴォ,mankovo
муравский,ムラフスキー,muravskiy
шлях,シュリャフ,shlyah
марфино,マルフィノ,marfino
голдобина,ゴルドビナミサキ,goldobina
комсомолка,コムソモルカ,komsomolka
михайловское,ミハイロフスコエ,mihaylovskoe
мельничное,メリニチノエ,melnichnoe
мгмсу,モスクワコクリツイカシカダイガク,mgmsu
мухоршибирь,ムホルシビリ,muhorshibir
москонцерт,モスコンツェルト,moskoncert
миллениум,ブリッジ,millenium
нелькан,ネルカン,nelkan
мыканино,ミカニノ,mykanino
нелемное,ネレムノエ,nelemnoe
никаноровка,ニカノロフカ,nikanorovka
непоседы,ネポセディ,neposedy
непрядва,ネプリャドワ,nepryadva
нерчинский,ナーチンスキー,nerchinskiy
завод,ザボッド,zavod
новое,ノーヴォエ,novoe
найхин,ナイヒン,nayhin
николина,ニコリナ,nikolina
нефтяник,ネフチャニク,neftyanik
намы,ナミ,namy
нарзан,ナルザン,narzan
нариман,ナリマン,nariman
диск,ディスク,disk
новоиерусалимская,ノヴォイエルサリムスカヤ,novoierusalimskaya
новоильиновка,ノヴォイリノフカ,novoilinovka
и,イ,i
жизнь,ジズニ,zhizn
наукан,ナウカン,naukan
нонстоп,ノンストップ,nonstop
продакшн,プロダクション,prodakshn
нижнеозерное,ニジニオジョールノイ,nizhneozernoe
нур,ヌル,nur
ныш,ニシュ,nysh
флот,ヨットクラブ,flot
някшингда,ニャクシングダコ,nyakshingda
новороссийский,ノヴォロシースク,novorossiyskiy
новиково,ノビコヴォ,novikovo
нижняя,ニジニャヤ,nizhnyaya
пойма,ポイマ,poyma
обозерская,オボゼルスカヤ,obozerskaya
озеро,オゼロ,ozero
озинки,オジンキ,ozinki
охотный,オホートヌイ,ohotnyy
оренбургская,オレンブルク,orenburgskaya
парадиз,パラジ,paradiz
окей,オーケー,okey
орлово,オルロヴォ,orlovo
орловский,オリョール,orlovskiy
парфеньево,パルフェニエフ,parfenevo
павелец,パヴェレツ,pavelec
пермский,ペルミ,permskiy
перменд,ペルメンド,permend
тарногский,タルノグスキー,tarnogskiy
поросозеро,ポロゼロ,porosozero
паданы,パダニー,padany
паша,パシャ,pasha
ягляярви,アグラヤルヴィ,yaglyayarvi
чара,チャラ,chara
толваярви,トルヴァヤルヴィ,tolvayarvi
пашково,パシュカヴァ,pashkovo
ренессанс,ルネッサンス,renessans
пензадизельмаш,ペンザディーゼルマッシュ,penzadizelmash
остафьево,オスタフィエヴォ,ostafevo
ольгино,オルギノ,olgino
пензенский,ペンザ,penzenskiy
пензенское,ペンゼンスコエ,penzenskoe
песковатский,ペスコヴァツキー,peskovatskiy
песковская,ペスコフスカヤ,peskovskaya
оловянная,オロビャンナヤ,olovyannaya
олькино,オルキノ,olkino
остоженка,オストジェンカドオリ,ostozhenka
пепйоки,ペピョキ,pepyoki
петерштадт,ペテルシュタット,petershtadt
омский,オムスク,omskiy
первомайский,ペルヴォマイスキー,pervomayskiy
открытая,オープン,otkrytaya
отортен,オトルテン,otorten
отрада,オトラダ,otrada
пильтун,ピリトゥン,piltun
пионерская,ピオネールスカヤ,pionerskaya
петровское,ペトロフスコエ,petrovskoe
перевальное,ペレヴァルネ,perevalnoe
панки,パンキ,panki
петряевка,ペトリャエフカ,petryaevka
панькино,パンキノ,pankino
папоротка,パポロトカ,paporotka
пешково,ペスコヴォ,peshkovo
подчугасная,ポドチュガスナヤ,podchugasnaya
попово,ポポヴォ,popovo
преображение,プレオブラジェーニエ,preobrazhenie
решетиха,レシェティカ,reshetiha
пожарское,パジャルスコエ,pozharskoe
порошино,ポロシノ,poroshino
покровское,ポクロフスコエ,pokrovskoe
полибино,ポリービノ,polibino
побединское,ポベジンスコエ,pobedinskoe
прочноокопская,プロチノオコプスカヤ,prochnookopskaya
полыгалка,ポリガルカ,polygalka
пугачёво,プガーチョヴォ,pugachyovo
потёмкины,ポチョムキンカ,potyomkiny
пугачёвская,プガチョフスカヤ,pugachyovskaya
пукалусъярви,プカルスコ,pukalusyarvi
юрьевка,ユーリエフカ,yurevka
росниирос,ロシアシャカイネットワークケンキュウジョ,rosniiros
росбалт,ロスバルト,rosbalt
рюмино,リューミノ,ryumino
российскоюжноосетинская,ミナミオセチア,rossiyskoyuzhnoosetinskaya
работки,ラボートキ,rabotki
сарай,サライ,saray
саратовский,サラトフ,saratovskiy
рфяцвниитф,ロシアレンポウカクセンター,rfyacvniitf
саратовгорэлектротранс,サラトフゴルエレクトロトランス,saratovgorelektrotrans
рубцово,ルブツォヴォ,rubcovo
сарпа,サルパコ,sarpa
румянцево,ルミャンツェヴォ,rumyancevo
энерджи,エナジー,enerdzhi
русская,ルースカヤ,russkaya
садоваякаретная,サドヴァヤ,sadovayakaretnaya
садоваякудринская,サドヴァヤ,sadovayakudrinskaya
садоваясамотёчная,サドヴァヤ,sadovayasamotyochnaya
садоваячерногрязская,サドヴァヤ,sadovayachernogryazskaya
русь,ルスブタイ,rus
раздольное,ラズドリノエ,razdolnoe
рыбрека,ルィブレカ,rybreka
сакмара,サクマーラ,sakmara
райконкоски,ライコンコスキ,raykonkoski
чиннай,チンナイマチ,chinnay
севкабель,セブカベル,sevkabel
сибирцево,シビルツィヴォ,sibircevo
семенкинский,セミョンキンスキー,semenkinskiy
самарская,サマーラ,samarskaya
лука,ルカコクリツコウエン,luka
самарский,サマーラ,samarskiy
селихин,セリヒノ,selihin
селихино,セリヒノ,selihino
самашки,サマシュキ,samashki
самокат,サモカートシャ,samokat
синегорск,シネゴルスク,sinegorsk
синегорье,シネゴリエ,sinegore
сенной,センノイ,sennoy
сосновка,ソスノフカコウエン,sosnovka
