김일,金日
조각장,雕刻匠
조계종,曹溪宗
조리읍,条理邑
조선대학교병원,朝鲜大学附设医院
지구레코드,地球唱片
지금동,芝锦洞
영화여자정보고등학교,永化观光经营高等学校
영회원,永怀园
예당저수지,礼唐贮水池
예래동,猊来洞
예릉,朝鲜睿陵
예산고등학교,礼山高等学校
예산예화여자고등학교,礼山女子高等学校
원천동,远川洞
인천논현고등학교,仁川论岘高等学校
인천대공원,仁川大公园
문곡고등학교,仁川税务高等学校
인천안남중학교,仁川安南中学校
인천여자공업고등학교,仁川美容艺术高等学校
진동면,津东面
진량읍,珍良邑
진산면,珍山面
진서면,津西面
진안동,陈雁洞
문막고등학교,文幕高等学校
문백면,文白面
아산면,雅山面
악기장,乐器匠
악양면,岳阳面
안곡고등학교,安谷高等学校
안남고등학교,安南高等学校
새마을금고,韩国社区信用合作社联合社
서귀포산업과학고등학교,西归浦产业科学高等学校
시종면,始终面
시천면,矢川面
시흥고등학교,始兴高等学校
식사동,食寺洞
삼송동,纸杻洞
신장고등학교,新长高等学校
신장동,新场洞
신찬벽온방,新纂辟瘟方
신창면,新昌面
온양읍,温阳邑
은행동,银杏洞
은현면,隐县面
수현사,水铉祠
숙지고등학교,熟知高中
순창객사,淳昌客舍
한광고등학교,汉光高等学校
면천면,沔川面
명덕여자고등학교,明德女子高等学校
명륜동,明伦洞
철원읍,铁原邑
청계동,清溪洞
청계서원,淸溪书院
청도읍,清道邑
다시다,大喜大
동인시화,东人诗话
동인천고등학교,东仁川高等学校
동인천동,东仁川洞
양평고등학교,杨平高中
서남동,瑞南洞
서대전고등학교,西大田高中
서도소리,西道索里
서울국제고등학교,首尔国际高等学校
서울국제뉴미디어페스티벌,首尔国际新媒体电影节
서울남부지방검찰청,首尔南部地方检察厅
서울남부지방법원,首尔南部地方法院
양평읍,杨平邑
흥업면,兴业面
흥해읍,兴海邑
희릉,朝鲜禧陵
주간동아,东亚周刊
주산면,珠山面
주엽고등학교,注叶高等学校
안중읍,安仲邑
암태면,岩泰面
압구정고등학교,狎鸥亭高等学校
압해읍,押海邑
앙성면,仰城面
한국광해광업공단,韩国矿物资源公社
한국구화학교,韩国口话学校
한국노동연구원,韩国劳动硏究院
안동시장,安东市长
안산강서고등학교,安山江西高等学校
안산고등학교,安山高等学校
안산호원초등학교,安山虎院初等学校
안양고등학교,安养高等学校
흥덕고등학교,兴德高等学校
흥륜사지,兴轮寺
흥도동,元兴洞
철마면,铁马面
명신여학교,明新女学校
창녕읍,昌宁邑
창덕여자고등학교,昌德女子高校
창릉동,昌陵洞
창선면,昌善面
창원기계공업고등학교,昌原机械工业高等学校
창원대암고등학교,昌原大岩高等学校
송하동,松下洞
송학면,松鹤面
송해면,松海面
이평면,梨坪面
전략물자관리원,战略物资管理院
전민동,田民洞
한양공업고등학교,汉阳工业高等学校
청도전자고등학교,清道电子高等学校
청라동,靑罗洞
청리면,青里面
청명고등학교,淸明高等学校
양서면,杨西面
양양읍,襄阳邑
양영중학교,养英中学校
양정고등학교,养正高等学校
양정동,养正洞
양주동,南坊洞
양천고성지,阳川古城遗址
양평경찰서,杨平警察署
한국석유관리원,韩国石油管理院
문의면,文义面
천안고등학교,天安髙等学校
천안북중학교,天安北中学校
천안쌍용고등학교,天安双龙高等学校
천천고등학교,泉川高等学校
실상사,实相寺
천현동,泉岘洞
한국가스안전공사,韩国燃气安全公社
한국갤럽,盖洛普韩国研究公司
죽변면,竹边面
죽산면,竹山面
중경고등학교,中京高等学校
중동면,中东面
중리동,中里洞
중방동,中方洞
한국여성단체연합,韩国女性团体联合
한국여성정책연구원,韩国女性政策硏究院
한국예술고등학교,韩国艺术高等学校
펀드코드,韩国预托决济院
한국우진학교,韩国又进学校
한국원자력안전기술원,韩国核安全技术院
창원문성고등학교,文星高中
창원문성대학교,昌原文星大学校
수곡동,秀谷洞
수락고등학교,水落高等学校
수로왕릉,首露王陵
수륜면,修伦面
수리동,修理洞
수리고등학교,秀理高中
수봉도서관,寿凤图书馆
명호고등학교,鸣湖高等学校
모라동,毛罗洞
모충동,慕忠洞
목릉,穆陵
목운중학교,木云中学校
목원동,湖南洞
목천읍,木川邑
음봉면,阴峰面
의당면,仪堂面
의령읍,宜宁邑
효자동,孝子洞
국립정신건강센터,国立精神健康中心
조안면,鸟安面
조운동,朝云洞
조천읍,朝天邑
양감면,杨甘面
향남읍,乡南邑
향남고등학교,鄕南高等学校
현남면,县南面
현내면,县内面
현대청운중학교,现代淸云中学校
현도면,贤都面
조치원읍,鸟致院邑
종근당그룹,钟根堂
덕곡서원,宜宁德谷书院
경안고등학교,安东庆安高中
경원고등학교,庆元高等学校
도은선생집,陶隐先生集
해운대관광고등학교,海云台观光高等学校
수송동,秀松洞
정곡면,正谷面
정남면,正南面
정릉,贞陵
초지동,元时洞
추자면,楸子面
추풍령면,秋风岭面
축산면,丑山面
춘천고등학교,春川高等学校
청산면,青山面
청송읍,青松邑
남한산성면,南汉山城面
중부일보,中部日报
중산고등학교,中山高中
중앙고등학교,中央高等学校
국가공무원인재개발원,国家公务员人材开发院
태성고등학교,泰成高等学校
망포동,网浦洞
태장마루도서관,台章图书馆
태평동,太平洞
칠금금릉동,漆琴金陵洞
한국지역난방공사,韩国地域暖房公社
한국직업능력연구원,韩国职业能力开发院
한국철도기술연구원,韩国铁道技术研究院
한국청소년정책연구원,韩国靑少年政策硏究院
한국특허정보원,韩国特许情报院
상갈동,上葛洞
상교동,上桥洞
이서고등학교,伊西高等学校
진천읍,镇川邑
진해고등학교,镇海高等学校
진해중학교,镇海中学校
짜파게티,炸酱泡面
율곡면,栗谷面
은산면,恩山面
한솔동,扞率洞
행운동,幸运洞
서울경제,首尔经济报
서울고등검찰청,首尔高等检察厅
서울고등법원,首尔高等法院
서울고속,首尔高速
서울관광고등학교,首尔观光高等学校
전의면,全义面
전주근영중학교,全州槿暎中学校
전주솔내고등학교,全州率内高中
전주여자고등학교,全州女子高中
울릉고등학교,郁陵高等学校
파주읍,坡州邑
파평면,坡平面
판교동,板桥洞
판교면,板桥面
판암동,板岩洞
한국한의학연구원,韩国东方医学研究所
한국해양과학기술원,韩国海洋科学技术院
한국화장품,韩国化妆品
한국화학올림피아드,韩国化学奥林匹克竞赛
한남대로,汉南大道
한라일보,汉拏日报
한림고등학교,翰林高等学校
한국무역보험공사,韩国贸易保险公社
한국문화관광연구원,韩国文化观光硏究院
인천금융고등학교,仁川金融高等学校
한국방송통신전파진흥원,韩国放送通信电波振兴院
한국법제연구원,韩国法制硏究院
한림읍,翰林邑
한반도면,韩半岛面
한반도평화교섭본부,韩半岛和平交涉本部
한산면,闲山面
한성여자고등학교,汉城女子高等学校
한국자산관리공사,韩国资产管理公社
한국잡월드,韩国工作世界
한국중부발전,韩国中部发电
정의여자고등학교,正义女子高中
정화여자고등학교,贞和女子高等学校
제물포고등학교,济物浦高等学校
제이든가든수목원,翡翠花园
울릉읍,郁陵邑
울산동천고등학교,蔚山东川高等学校
울산생활과학고등학교,蔚山生活科学高中
울산여자고등학교,蔚山女子高等学校
임천향교,林川鄕校
충장동,忠壮洞
충주예성여자고등학교,忠州蘂城女高等
충청지방통계청,忠淸地方统计厅
친선고속,亲善高速
토성면,土城面
통영고등학교,统营高等学校
통진읍,通津邑
퇴계동,退溪洞
평동,古索洞
권선동,劝善洞
신봉동,新凤洞
진명여자고등학교,进明女子高等学校
충남중학교,忠南中学校
충청남도경찰청,忠清南道地方警察厅
충북여자고등학교,忠北女子高等学校
호계동,虎溪洞
율천동,栗田洞
화산면,华山面
화서동,华西洞
화성소방서,华城消防署
화성산업,和成产业
화순읍,和顺邑
화양읍,华阳邑
홍재전서,弘斋全书
화계사,华溪寺
화곡고등학교,禾谷高等学校
해안면,亥安面
세종마을,世宗村
보정동,宝亭洞
안양동,安养洞
기배동,旗培洞
우정읍,雨汀邑
장안면,长安面
화전동,花田洞
철도특별사법경찰대,铁道特别司法警察队
대광여자고등학교,大光女子高中
광화문우체국,光华门邮局
대전동산고등학교,大田东山高等学校
대구광역시교육청,大邱教育厅
퇴계원읍,退溪院邑
광성고등학교,光成高等学校
합천고등학교,陜川高等学校
해남읍,海南邑
해룡면,海龙面
해미면,海美面
해신동,海新洞
해안동,解颜洞
중앙대학교사범대학부속고등학교,中央大学教师范大学附属高等学校
중앙대학교병원,中央大学医院
무예제보번역속집,武艺诸谱飜译续集
대구관문초등학교,大邱关门初等学校
금호고등학교,锦湖高等学校
은진향교,恩津鄕校
의릉,懿陵
의림지,义林池
회덕동,邑内洞
회암사,杨州桧岩寺址
횡성읍,横城邑
효곡동,孝谷洞
횡천면,横川面
효령면,孝令面
효릉,朝鲜孝陵
호서고등학교,湖西高等学校
청암면,靑岩面
청운면,青云面
청일면,晴日面
한림면,翰林面
광적면,广积面
화도읍,和道邑
진접읍,榛接邑
초월읍,草月邑
도척면,都尺面
퇴촌면,退村面
부강면,芙江面
의정부동,议政府洞
신곡동,新谷洞
녹양동,绿杨洞
가능동,佳陵洞
화원읍,花园邑
회천동,桧泉洞
현북면,县北面
혜광고등학교,惠光高中
혜화여자고등학교,惠化女子高等学校
호국군,大韩民国护国军
장흥향교,长兴鄕校
대전정림중학교,大田正林中学校
춘천여자고등학교,春川女子高等学校
춘천지방법원,春川地方法院
춘천지방검찰청,春川地方检察厅
서울학동초등학교,首尔鹤洞初等学校
서울화곡초등학교,禾谷初等学校
서인천고등학교,西仁川高等学校
서창고등학교,西仓高等学校
석관고등학교,石串高等学校
석정여자고등학교,石井女子高等学校
선유고등학교,仙游高中
부여향교,扶余鄕校
육군군수사령부,大韩民国陆军军需司令部
반포고등학교,盘浦高等学校
전의향교,全义鄕校
서울신용산초등학교,首尔新龙山初等学校
서울청담초등학교,首尔淸潭初等学校
서울체육고등학교,首尔体育高等学校
서울초원학교,首尔草原学校
별망성지,别望城遗址
경기평택항만공사,京畿平泽港湾公社
시민의숲,良才市民森林
화성동탄우체국,华城邮便局
문무왕릉,文武大王陵
명지고등학교,明知高等学校
석성향교,石城鄕校
모계고등학교,慕溪高等学校
목동고등학교,木洞高等学校
청주고등학교,清州高等学校
국립국악중학교,国乐学校
청천동,清川洞
청풍면,清风面
청호동,青湖洞
초량동,草梁洞
초산동,楚山洞
서부산공업고등학교,西釜山工业高等学校
부석고등학교,浮石高中
부평여자고등학교,富平女子高等学校
천안향교,天安鄕校
수진동,寿进洞
문원동,莫溪洞
주엽동,注叶洞
대화동,大化洞
백석동,白石洞
고봉동,高烽洞
성사동,星沙洞
원신동,元兴洞
관양동,冠阳洞
광장중학교,首尔广壮中学校
광주진흥고등학교,光州真兴高等学校
번역명의집,飜译名义集
용남고등학교,龙南高等学校
키움증권,培育证券
탄방동,炭坊洞
탄현동,炭岘洞
탑대성동,塔大成洞
탕정면,汤井面
태릉고등학교,泰陵高中
평내동,坪内洞
평리동,坪里洞
평촌경영고등학교,坪村经营高中
평촌동,坪村洞
돈화문,敦化门
동래야류,东莱野游
화정동,花井洞
화정면,华井面
황간면,黄涧面
황등면,黄登面
호원고등학교,虎院高等学校
호원동,虎院洞
호저면,好楮面
호평동,好坪洞
홍동면,洪东面
홍성읍,洪城邑
풍남동,豊南洞
풍문고등학교,豊文高等学校
풍산동,枫山洞
풍생고등학교,豊生高等学校
풍천면,丰川面
포항고등학교,浦项高等学校
포항동성고등학교,浦项东星高等学校
하양읍,河阳邑
하점면,河岾面
김해가야고등학교,金海伽倻高等学校
국립외교원,韩国国立外交院
함열읍,咸悦邑
함흥평야,咸兴平野
합덕읍,合德邑
김대중대교,金大中大桥
김대중컨벤션센터,金大中会议中心
보광중학교,普光中学校
보성여자중학교,保圣女子中学校
직산향교,稷山鄕校
해동고등학교,海东高等学校
해운대여자고등학교,海云台女子高中
포항예술고등학교,浦项艺术高等学校
포항중학교,浦项中学校
서울신북초등학교,首尔新北初等学校
남도해양열차,南道海洋列车
경복비즈니스고등학교,庆福商业高等学校
현충사,显忠祠
부산비행장,东釜山基地
보문고등학교,普文高等学校
인천중학교,仁川中学校
인천논현중학교,仁川论岘中学校
목상고등학교,木商高等学校
신간상명산법,新刊详明算法
경찰박물관,大韩民国警察博物馆
무릉중학교,武陵中学校
염광고등학교,盐光高等学校
영등포고등학교,永登浦高等学校
예원학교,艺园学校
평해읍,平海邑
평화남산동,平和南山洞
평화동,平和洞
포곡읍,蒲谷邑
포남동,浦南洞
포승읍,浦升邑
퀸비즈,具瑟伊
대원사,大圆寺
봉은중학교,奉恩中学校
세현고등학교,世贤高等学校
세화여자고등학교,世和女子高等学校
소선여자중학교,小仙女子中学校
남목고등학교,南牧高等学校
수표교,水标桥
청라달튼외국인학교,青罗道尔顿外国人学校
울산박물관,蔚山博物馆
국군수도병원,国军首都医院
대진고등학교,大辰高中
정림사지,定林寺址
국군화생방방호사령부,大韩民国国军化生放防护司令部
대구대청초등학교,大邱大靑初等学校
대치중학교,大峙中学校
국립국제교육원,国立国际教育院
국립나주박물관,罗州国立博物馆
약수동,药水洞
다산동,茶山洞
변산반도,边山半岛国立公园
김해공군기지,金海空军基地
부산강서고등학교,釜山江西高等学校
부산동성고등학교,釜山东成高中
부산동여자고등학교,釜山东女子高等学校
부산마케팅고등학교,釜山营销高等学校
필암서원,笔岩书院
하나증권,韩亚金融投资
하단동,下端洞
하동읍,河东邑
양산부산대학교병원,梁山釜山大学校病院
양산여자고등학교,梁山女子高等学校
언북중학교,彦北中学校
언주중학교,彦州中学校
전국고속버스운송사업조합,全国高速客车运输事业组合
경기전,庆基殿
계미동경소진첩,癸未同庚小真帖
대전도시공사,大田都市公社
춘천기계공업고등학교,春川机械工业高等学校
여수대교,猫岛大桥
여주우체국,骊州邮局
연기향교,燕岐鄕校
연산향교,连山鄕校
대동세무고등학교,大东税务高等学校
고양체육관,高阳体育馆
대전대성여자고등학교,大田大圣女子高等学校
남주중학교,南洲中学校
대관령터널,大关岭隧道
도암중학교,道岩中学校
과천문원중학교,果川文原中学校
대전지방법원,大田地方法院
서문여자고등학교,瑞文女子高等学校
고인쇄박물관,清州古印刷博物馆
대원국제중학교,大元国际中学校
영휘원,永徽园
송강정,松江亭
김해분성여자고등학교,盆城女子高等学校
성암서원,圣岩书院
경기도양평교육지원청,京畿道杨平教育支援厅
성광여자고등학교,圣光女子高等学校
태원고등학교,泰园高等学校
태장고등학교,台章高等学校
한민고등학교,韩民高等学校
김세연,金世渊
정종섭,郑宗燮
강원감영,江原监营
합동통신,合同新闻社
반월고등학교,华城半月高中
소하동,所下洞
강동동,江东洞
현덕면,玄德面
괘법동,挂法洞
괴정동,槐亭洞
농성동,农城洞
교동,校洞
우동,佑洞
신태인읍,新泰仁邑
신포동,新浦洞
전라남도경찰청,全罗南道地方警察厅
성신고등학교,星信高等学校
성신여자고등학교,诚信女子高等学校
성저초등학교,城低初等学校
한산향교,韩山鄕校
창원토월고등학교,昌原吐月高等学校
천안공업고등학교,天安工业高等学校
안산문화예술의전당,安山文化艺术殿堂
청량고등학교,清凉高等学校
신갈고등학교,新葛高中
안성두원공업고등학교,斗源工业高等学校
안양예술고등학교,安养市艺术高等学校
운중고등학교,云中高等学校
의정부공업고등학교,议政府工业高等学校
중흥고등학교,中兴高等学校
진위고등학교,振威高等学校
한빛맹학교,韩光盲学校
고양예술고등학교,高阳艺术高等学校
진산향교,珍山鄕校
남북출입사무소,南北出入事务所
참성단,堑星坛
마산여자고등학교,马山女高
용강중학교,首尔龙江中学校
운암중학교,云岩中学校
운천초등학교,云泉初等学校
울산예술고등학교,蔚山艺术高等学校
학익고등학교,鹤翼高等学校
한강중학교,汉江中学校
경기국제통상고등학교,京畿国际通商高等学校
경기예술고등학교,京畿艺术高等学校
과천중앙고등학교,果川中央高等学校
광명고등학교,光明高等学校
광명북고등학교,光明北高等学校
군서고등학교,君西高等学校
경상북도청도교육지원청,庆尚北道清道教育支援厅
신서고등학교,新西高等学校
회묘,怀墓
매탄중학교,梅滩中学校
상현중학교,上岘中学校
세종중학교,世宗中学校
안덕중학교,安德中学校
광성중학교,光成中学校
홍산향교,鸿山鄕校
대구의료원,大邱医疗院
숭실중학교,崇实中学校
신광여자고등학교,信光女子高等学校
신광초등학교,信光初等学校
신남중학교,新南中学校
비인향교,庇仁鄕校
서대문우체국,西大门邮局
서울가정법원,首尔家事法院
대구인지초등학교,大邱仁智初等学校
구례읍,求礼邑
부산광역시교육청,釜山教育厅
유엔기념공원,联合国纪念公墓
솔안터널,率安隧道
신사중학교,新沙中学校
대구공업고등학교,大邱工业高等学校
대구관광고등학교,大邱观光高等学校
경제인문사회연구회,经济人文社会硏究院
마석고등학교,磨石高中
보라고등학교,甫罗高等学校
부천고등학교,富川高等学校
성복고등학교,星福高等学校
천자총통,天字铳筒
대구교도소,大邱矫导所
대구동부소방서,大邱东部消防署
대구미술관,大邱美术馆
대구광역시경찰청,大邱广域市地方警察厅
부산광역시청,釜山广域市厅
월촌중학교,月村中学校
서울지방고용노동청,首尔地方劳动厅
서천향교,舒川鄕校
중문중학교,中文中学校
중화고등학교,中和高等学校
진교고등학교,辰桥高等学校
송림사,松林寺
호명면,虎鸣面
백곡면,柏谷面
대한제분,大韩制粉
탄현면,炭县面
대항면,代项面
영남일보,岭南日报
개금동,开琴洞
유안초등학교,柳岸初等学校
간석동,间石洞
정왕동,正往洞
감곡면,甘谷面
감만동,戡蛮洞
홍성고등학교,洪城高等学校
효돈중학교,孝敦中学校
효문고등학교,孝门高中
휘문중학교,徽文中学国中部
학진초등학교,鹤镇初等学校
연수동,延寿洞
강령탈춤,康翎假面舞
손양면,巽阳面
현풍읍,玄风邑
포항제철고등학교,浦项制铁高等学校
포항제철중학교,浦项制铁中学校
표선중학교,表善中学校
정부청사관리본부,政府厅舍管理本部
세교동,芝制洞
이곡동,梨谷洞
치평동,治平洞
김삿갓면,金斗笠面
가경동,佳景洞
태안화력발전소,泰安火力发电厂
영북면,永北面
전라북도지사,全罗北道知事
덕산도립공원,德山道立公园
송지면,松旨面
영서동,荣西洞
정선아리랑유람열차,旌善阿里郎列车
여의도샛강생태공원,汝矣岛赛江生态公园
감전동,甘田洞
전주고등학교,全州高等学校
전주상업정보고등학교,全州商业情报高等学校
전주신흥고등학교,全州新兴高等学校
국립전통예술고등학교,国立传统艺术高中
세종특별자치시청,世宗特别自治市厅
곽재우생가,郭再祐生家
롯데건설,乐天建设
관문동,关门洞
인천연송고등학교,仁川延松高等学校
인천외국어고등학교,仁川外国语高等学校
인천진산과학고등학교,仁川镇山科学高等学校
오프로드,金南亨
성정동,星井洞
성화개신죽림동,圣化开新竹林洞
성환읍,成欢邑
과천문원초등학교,文原初等学校
과학기술정책연구원,科学技术政策硏究院
익산지방국토관리청,益山地方国土管理厅
광안동,广安洞
광양읍,光阳邑
녹산동,菉山洞
광주은행,光州银行
광주일보,光州日报
서울동부지방검찰청,首尔东部地方检察厅
서울동부지방법원,首尔东部地方法院
서울세관,首尔本部海关
부산광역시립미술관,釜山市立美术馆
인천광역시립박물관,仁川市立博物馆
인천구치소,仁川看守所
인천지방검찰청,仁川地方检察厅
영종동,永宗洞
건강보험심사평가원,健康保险审查与评估服务
도계읍,道溪邑
벅스,错误
범서읍,凡西邑
범어동,泛渔洞
정우면,净雨面
구암서원,龟岩书院
배재고등학교,培材高等学校
전자신문,电子新闻
수동면,水洞面
범천동,凡川洞
제주방어사령부,济州防御司令部
도산동,道山洞
수민동,寿民洞
정서진,正西津
광주서석초등학교,光州瑞南初级学校
서울지방병무청,首尔地方兵务厅
작전고등학교,鹊田高等学校
서울특별시강서양천교육지원청,首尔市江西阳川教育支援厅
장안대학교,长安大学校
서해지방해양경찰청,西海地方海洋警察厅
송파도서관,松坡图书馆
수완동,水莞洞
이인면,利仁面
가야동,伽倻洞
경남선,庆南线
갈매동,葛梅洞
좌동,佐洞
좌천동,佐川洞
주례동,周礼洞
주안동,朱安洞
계남면,桂南面
중동,中洞
지산동,池山洞
지원동,池元洞
연지동,莲池洞
연풍면,延豊面
방촌동,芳村洞
송내동,纸杏洞
규암면,合井里
문막읍,文幕邑
생연동,生渊洞
천천면,天川面
장기동,场基洞
장기면,长鬐面
유림동,柳防洞
대명동,大明洞
원평동,元坪洞
군내면,郡内面
아시아나국제단편영화제,韩亚国际短片电影节
대사동,大寺洞
가덕면,加德面
칠산서부동,田下洞
셀트리온,赛特瑞恩
가조면,加祚面
상하면,上下面
대청동,大清洞
무전동,雾田洞
봉화읍,奉化邑
대가야읍,大伽倻邑
부광약품,富光药品
고부면,古阜面
대구단편영화제,大邱短篇电影节
국우동,国优洞
원북면,远北面
명장동,鸣藏洞
청풍대교,清风大桥
사벌면,沙伐国面
사북면,史北面
구서동,久瑞洞
울산광역시교육청,蔚山教育厅
계양동,桂阳洞
수정동,水晶洞
고산동,莲湖洞
구평동,旧平洞
내당동,内唐洞
대동,大洞
대연동,大渊洞
이원면,伊院面
예천읍,醴泉邑
화개면,花开面
화남면,华南面
조성면,鸟城面
하안동,下安洞
학익동,鹤翼洞
회원동,桧原洞
효문동,孝门洞
칠곡경북대학교병원,漆谷庆北大学医院
용호동,龙湖洞
우장산동,雨装山洞
월산동,月山洞
주월동,珠月洞
동송읍,东松邑
진천동,辰泉洞
천곡동,泉谷洞
평택우체국,平泽邮政局
충청북도경찰청,忠清北道地方警察厅
웅남동,熊南洞
당리동,堂里洞
아남전자,亚南电子
개정면,开井面
영선동,瀛仙洞
고성읍,固城邑
평화생명관광열차,和平列车
남부면,南部面
월곶판교선,月串板桥线
군포동,军浦洞
월명동,月明洞
월배차량사업소,月背车辆事业所
무실동,茂实洞
범물동,凡勿洞
별량면,别良面
봉래동,蓬莱洞
봉방동,凤方洞
봉산동,丹溪洞
김화읍,金化邑
봉선동,凤仙洞
부개동,富开洞
금사회동동,回东洞
서울과학종합대학원,首尔科学综合大学院大学校
구암동,鸠岩洞
만덕동,万德洞
만촌동,晩村洞
망미동,望美洞
제주영화제,济州电影节
부산광역시립박물관,釜山博物馆
경기도립과천도서관,京畿道立果川图书馆
동광동,东光洞
동백동,东栢洞
동산동,铜山洞
동춘동,东春洞
태전동,太田洞
덕천동,德川洞
송현동,松岘洞
제민일보,济民日报
영월읍,宁越邑
거제동,巨堤洞
운니동,云泥洞
황금동,黄金洞
율량사천동,栗阳斜川洞
미양중학교,弥阳初中
봉림중학교,凤林中学校
사파중학교,沙巴中学校
두산동,斗山洞
서부동,西部洞
청룡동,青龙洞
한국지질자원연구원,韩国地质资源研究院
금남동,锦南洞
금남정맥,锦南正脉
은행선화동,银杏宣化洞
작전동,鹊田洞
장림동,长林洞
전포동,田浦洞
춘천중학교,春川中学校
강구중학교,江口中学校
광희중학교,光熙中学校
글로벌사이버대학교,全球网路大学放送演艺学系
금지동초등학교,金池东初等学校
금호중앙중학교,金湖中央中学校
덕수중학교,德寿中学校
월피동,月陂洞
상무동,尙武洞
매곡동,梅谷洞
광흥중학교,广兴中学校
구례여자중학교,求礼女子中学校
구례중학교,求礼中学校
부성동,富城洞
부원동,府院洞
북신동,北新洞
북평동,北坪洞
불당동,佛堂洞
소사본동,素砂本洞
숭의동,崇义洞
시전동,枾田洞
신가동,新佳洞
화곡중학교,禾谷中学校
양지면,阳智面
성곡동,鹊洞
한화,韩华
성당동,圣堂洞
한국만화영상진흥원,韩国漫画映像振兴院
한국보건사회연구원,韩国保健社会硏究院
신기면,新基面
신동면,新东面
신동읍,新东邑
근남면,近南面
금강송면,召光里
청량읍,靑良邑
국가문화유산포털,国家文化遗产门户
운정동,云井洞
운천신봉동,云泉新凤洞
산격동,山格洞
곡란중학교,高兰中学校
명인제약,明仁制药
종로도서관,钟路图书馆
중앙보훈병원,中央报勋医院
논산원목다리,论山
태원엔터테인먼트,泰元娱乐
온천동,温泉洞
용당동,龙塘洞
용유동,龙游洞
양동,良洞
양동면,杨东面
선산군,善山郡
양보면,良甫面
문현금융단지,门岘金融团地
학군사관,学军军官
모현읍,慕贤邑
황전면,黄田面
효성동,晓星洞
동읍,东邑
옥곡면,玉谷面
옥천읍,沃川邑
적량면,赤良面
대웅제약,大熊制药
광도면,光道面
서울교동초등학교,首尔校洞初等学校
선인중학교,仙人中学校
성내중학교,城内中学校
노고산동,老姑山洞
수교훈장,修交勋章
서울국제실험영화페스티벌,首尔国际实验电影节
금정동,衿井洞
청학동,青鹤洞
미력면,弥力面
미생,未生
무등산국립공원,无等山国立公园
대저동,大渚洞
대전광역시교육청,大田教育厅
상인동,上仁洞
대전일보,大田日报
아주경제,亚洲经济
대정읍,大静邑
상촌면,上村面
신수중학교,新水中学校
양화중학교,杨花中学校
영파여자중학교,英坡女子中学校
배화여자중학교,培花女子中学校
보인중학교,辅仁中学校
서울창신초등학교,首尔昌信初等学校
도사동,道沙洞
보수동,宝水洞
안락동,安乐洞
연산동,莲山洞
오정동,梧亭洞
활천동,活川洞
해난구조대,大韩民国海军海难救助队
장단면,长湍面
안산동,安山洞
철산동,铁山洞
문현동,门岘洞
첨단동,尖端洞
안심동,安心洞
서대신동,西大新洞
서동,书洞
동탄인덕원선,仁德院水原复线电铁
신흥버스,新兴巴士
초림초등학교,草林初等学校
귀인초등학교,贵仁初等学校
석촌호수공원,石村湖水公园
풍무중학교,豊舞中学校
문태중학교,文泰中学校
대전대흥초등학교,大田大兴初等学校
웅촌면,熊村面
용산가족공원,龙山公园
북면,柏屯里
북후면,北后面
풍각면,豊角面
동덕여자중학교,首尔同德女子中学校
별망중학교,别望中学校
이리북중학교,里里北中学校
익산어양중학교,益山于阳中学校
전주기전중학교,全州纪全中学校
신북면,新北面
부산중학교,釜山中学校
빛가람동,光伽蓝洞
한국국방연구원,韩国国防研究院
산업연구원,产业硏究院
신북읍,新北邑
양촌읍,阳村邑
오창대읍,梧仓邑
우도면,牛岛面
해강중학교,海江中学校
서울송파초등학교,松波初等学校
영종도서관,永宗图书馆
계남중학교,桂南中学校
나포중학교,罗浦中学校
도봉도서관,道峰图书馆
순천남산초등학교,顺天南山初等学校
순천여자중학교,顺天女子中学校
신목중학교,新木中学校
서창동,西仓洞
송양고등학교,松壤高等学校
서천읍,舒川邑
민락동,民乐洞
기술보증기금,技术保证基金
재송동,栽松洞
한밭수목원,大田市韩巴树木园
기흥동,器兴洞
석남동,石南洞
긴급조치,紧急措置
대저중학교,大渚中学校
마산무학여자중학교,马山舞鹤女中
화순중학교,和顺中学校
서울용마초등학교,首尔龙马初等学校
순천향대학교천안병원,顺天乡大学附设天安医院
신광여자중학교,信光女中
죽왕면,竹旺面
중앙재난안전대책본부,中央灾难安全对策本部
진상면,津上面
중동중학교,中东中学校
포항이동중학교,浦项梨洞中学校
휴천동,休川洞
흑산면,黑山面
표선면,表善面
희망가요,希望歌谣
남정면,南亭面
남천면,南川面
남해읍,南海邑
내면,内面
내수읍,内秀邑
황금촬영상,黄金摄影奖
휴천면,休川面
원남면,远南面
유치면,有治面
하남면,下南面
한국경제연구원,韩国经济研究院
한국교통연구원,韩国交通研究院
모가면,暮加面
물금읍,勿禁邑
청룡노포동,老圃洞
한반도평화교섭본부장,韩半岛和平交涉本部长
충담사,忠谈襌师
명현중학교,明现中学校
발산중학교,钵山中学校
백신중학교,白新中学校
부명중학교,富明中学校
부평서여자중학교,富平西女子中学校
부평여자중학교,富开女中
애월읍,涯月邑
기계면,杞溪面
초전면,草田面
초정약수,椒井泉水
공성면,功城面
익선동,益善洞
인하대병원,仁荷大学医科大学附属医院
주덕읍,周德邑
정원여자중학교,贞媛女子中学校
중화중학교,中和中学校
신창중학교,新昌中学校
도곡중학교,道谷中学校
보라중학교,甫罗中学校
문수중학교,文殊中学校
동두천여자중학교,东豆川女子中学校
태성중학교,泰成中学校
서원중학교,书院中学校
항공정책실,航空政策室
주민등록증,住民登录证
너구리,小浣熊泡面
강경미내다리,江景
