热比娅,레비야,rebiya
蓝田县,란톈현,rantyenhyeon
清水河县,칭수이허현,cingsuiheohyeon
卓尼县,줘니현,jweonihyeon
和林格尔县,허린거얼현,heoringeoeolhyeon
忻城县,신청현,sinceonghyeon
象州县,샹저우현,syangjeouhyeon
中国人民银行,중국인민은행,jungguginmineunhaeng
武川县,우촨현,ucwanhyeon
天峻县,톈쥔현,tyenjwinhyeon
乌兰县,우란현,uranhyeon
开鲁县,카이루현,kairuhyeon
哈巴河县,하바허현,habaheohyeon
当涂县,당투현,dangtuhyeon
桓台县,환타이현,hwantaihyeon
奶酒,아르히,areuhi
临洮县,린타오현,rintaohyeon
道县,다오현,daohyeon
美姑县,메이구현,meiguhyeon
达日县,다르현,dareuhyeon
稻城县,다오청현,daoceonghyeon
古田县,구톈현,gutyenhyeon
田林县,톈린현,tyenrinhyeon
平南县,핑난현,pingnanhyeon
桐庐县,퉁루현,tungruhyeon
西安碑林,비림,birim
武城县,우청현,uceonghyeon
洛南县,뤄난현,rweonanhyeon
大余县,다위현,dawihyeon
大英县,다잉현,dainghyeon
大竹县,다주현,dajuhyeon
大邑县,다이현,daihyeon
德安县,더안현,deoanhyeon
肥西县,페이시현,peisihyeon
金堂县,진탕현,jintanghyeon
蒲江县,푸장현,pujanghyeon
平远县,핑위안현,pingwianhyeon
海丰县,하이펑현,haipeonghyeon
永新县,융신현,yungsinhyeon
东辽县,둥랴오현,dungryaohyeon
岚皋县,란가오현,rangaohyeon
陆河县,루허현,ruheohyeon
龙川县,룽촨현,rungcwanhyeon
蕉岭县,자오링현,jaoringhyeon
玉田县,위톈현,wityenhyeon
兴安县,싱안현,singanhyeon
农安县,눙안현,nunganhyeon
灵山县,링산현,ringsanhyeon
鹿寨县,루자이현,rujaihyeon
上思县,상쓰현,sangsseuhyeon
大姚县,다야오현,dayaohyeon
道孚县,다오푸현,daopuhyeon
大田县,다톈현,datyenhyeon
古县,구현,guhyeon
郓城县,윈청현,winceonghyeon
深水埗,삼서이보,samseoibo
德保县,더바오현,deobaohyeon
德昌县,더창현,deocanghyeon
德化县,더화현,deohwahyeon
乌什县,우스현,useuhyeon
策勒县,처러현,ceoreohyeon
精河县,징허현,jingheohyeon
柯坪县,커핑현,keopinghyeon
墨玉县,모위현,mowihyeon
民丰县,민펑현,minpeonghyeon
上高县,상가오현,sanggaohyeon
铅山县,옌산현,yensanhyeon
通城县,퉁청현,tungceonghyeon
乐安县,러안현,reoanhyeon
吉水县,지수이현,jisuihyeon
华容县,화룽현,hwarunghyeon
寻乌县,쉰우현,swinuhyeon
宁都县,닝두현,ningduhyeon
万年县,완녠현,wannyenhyeon
岳阳县,웨양현,weyanghyeon
宜丰县,이펑현,ipeonghyeon
鄱阳县,포양현,poyanghyeon
永兴县,융싱현,yungsinghyeon
宜黄县,이황현,ihwanghyeon
磴口县,덩커우현,deongkeouhyeon
伊宁县,이닝현,ininghyeon
香港海洋公园,홍콩해양공원,hongkonghaeyanggongweon
兴国县,싱궈현,singgweohyeon
阳新县,양신현,yangsinhyeon
通山县,퉁산현,tungsanhyeon
靖安县,징안현,jinganhyeon
南丰县,난펑현,nanpeonghyeon
信丰县,신펑현,sinpeonghyeon
德格县,더거현,deogeohyeon
拉孜县,라쯔현,rajjeuhyeon
吉隆县,지룽현,jirunghyeon
海晏县,하이옌현,haiyenhyeon
全南县,취안난현,cwiannanhyeon
横峰县,헝펑현,heongpeonghyeon
囊谦县,낭첸현,nangcenhyeon
万安县,완안현,wananhyeon
吉安县,지안현,jianhyeon
瑞芯微电子,록칩,rogcib
保良局,보량국,boryanggug
玛多县,마둬현,madweohyeon
婺源县,우위안현,uwianhyeon
广昌县,광창현,gwangcanghyeon
久治县,주즈현,jujeuhyeon
湟源县,황위안현,hwangwianhyeon
永丰县,융펑현,yungpeonghyeon
居延汉简,거연한간,geoyeonhangan
上林县,상린현,sangrinhyeon
于田县,케리야현,keriyahyeon
攸县,유현,yuhyeon
垫江县,뎬장현,dyenjanghyeon
全国重点文物保护单位,전국중점문물보호단위,jeongugjungjeommunmulbohodanwi
饶平县,라오핑현,raopinghyeon
连城县,롄청현,ryenceonghyeon
和硕特,코슈트부,kosyuteubu
明水县,밍수이현,mingsuihyeon
外文出版社,외문출판사,oemunculpansa
屏南县,핑난현,pingnanhyeon
罗源县,뤄위안현,rweowianhyeon
顺昌县,순창현,suncanghyeon
甲子,갑자,gabja
肥东县,페이둥현,peidunghyeon
梁山县,량산현,ryangsanhyeon
首都博物馆,수도박물관,sudobagmulgwan
平潭县,핑탄현,pingtanhyeon
大埔,다푸,dapu
屯门,튄문,twinmun
琉璃厂,류리창,ryuricang
小皇帝综合症,소황제,sohwangje
德庆县,더칭현,deocinghyeon
德清县,더칭현,deocinghyeon
米兰遗址,미란,miran
嘉峪关,가욕관,gayoggwan
定结县,딩제현,dingjehyeon
江泽民派系,상하이방,sanghaibang
小雁塔,소안탑,soantab
白毫银针,백호은침,baeghoeuncim
荃湾线,췬완선,cwinwanseon
邓小平南巡,남순강화,namsunganghwa
柳河县,류허현,ryuheohyeon
龙江县,룽장현,rungjanghyeon
定南县,딩난현,dingnanhyeon
定远县,딩위안현,dingwianhyeon
阜南县,푸난현,punanhyeon
余干县,위간현,wiganhyeon
南岭,난링산맥,nanringsanmaeg
马王堆汉墓,마왕퇴,mawangtoe
曾侯乙墓,증후을묘,jeunghueulmyo
岳阳楼,악양루,agyangru
嘉鱼县,자위현,jawihyeon
濉溪县,쑤이시현,ssuisihyeon
淅川县,시촨현,sicwanhyeon
干安县,첸안현,cenanhyeon
通化县,퉁화현,tunghwahyeon
沛县,페이현,peihyeon
抚松县,푸쑹현,pussunghyeon
通榆县,퉁위현,tungwihyeon
梨树县,리수현,risuhyeon
永吉县,융지현,yungjihyeon
东光县,둥광현,dunggwanghyeon
于都县,위두현,widuhyeon
中印边境实际控制线,실질통제선,siljiltongjeseon
武义县,우이현,uihyeon
青田县,칭톈현,cingtyenhyeon
嘉善县,자산현,jasanhyeon
乐亭县,라오팅현,raotinghyeon
唐县,탕현,tanghyeon
阜城县,푸청현,puceonghyeon
盐山县,옌산현,yensanhyeon
曲周县,취저우현,cwijeouhyeon
高阳县,가오양현,gaoyanghyeon
邯郸县,한단현,handanhyeon
滦平县,롼핑현,rwanpinghyeon
清河县,칭허현,cingheohyeon
滦南县,롼난현,rwannanhyeon
中国平安,핑안보험,pinganboheom
江陵县,장링현,jangringhyeon
高邑县,가오이현,gaoihyeon
平山县,핑산현,pingsanhyeon
行唐县,싱탕현,singtanghyeon
卢龙县,루룽현,rurunghyeon
文安县,원안현,weonanhyeon
隆尧县,룽야오현,rungyaohyeon
鸡泽县,지쩌현,jijjeohyeon
怀安县,화이안현,hwaianhyeon
邢台县,싱타이현,singtaihyeon
雄县,슝현,syunghyeon
武邑县,우이현,uihyeon
广宗县,광쭝현,gwangjjunghyeon
东源县,둥위안현,dungwianhyeon
东至县,둥즈현,dungjeuhyeon
永清县,융칭현,yungcinghyeon
灵寿县,링수현,ringsuhyeon
绥中县,쑤이중현,ssuijunghyeon
香河县,샹허현,syangheohyeon
巨鹿县,쥐루현,jwiruhyeon
迁西县,첸시현,censihyeon
蔚县,위현,wihyeon
端午节,단오,dano
定兴县,딩싱현,dingsinghyeon
内丘县,네이추현,neicuhyeon
隆化县,룽화현,runghwahyeon
乐业县,러예현,reoyehyeon
金溪县,진시현,jinsihyeon
分宜县,펀이현,peonihyeon
奉节县,펑제현,peongjehyeon
宣化县,쉬안화현,swianhwahyeon
井陉县,징싱현,jingsinghyeon
云岭,윈링산맥,winringsanmaeg
新民主主义,신민주주의,sinminjujuyi
柳条边,유조변,yujobyeon
武强县,우창현,ucanghyeon
临漳县,린장현,rinjanghyeon
康保县,캉바오현,kangbaohyeon
固安县,구안현,guanhyeon
魏县,웨이현,weihyeon
中国人民解放军南部战区海军,남해함대,namhaehamdae
故城县,구청현,guceonghyeon
涉县,서현,seohyeon
新河县,신허현,sinheohyeon
青县,칭현,cinghyeon
陆川县,루촨현,rucwanhyeon
都昌县,두창현,ducanghyeon
巫山县,우산현,usanhyeon
加查县,자차현,jacahyeon
尖扎县,젠자현,jenjahyeon
平乡县,핑샹현,pingsyanghyeon
广平县,광핑현,gwangpinghyeon
邱县,추현,cuhyeon
垣曲县,위안취현,wiancwihyeon
万荣县,완룽현,wanrunghyeon
馆陶县,관타오현,gwantaohyeon
阜平县,푸핑현,pupinghyeon
右玉县,유위현,yuwihyeon
祁县,치현,cihyeon
平定县,핑딩현,pingdinghyeon
昔阳县,시양현,siyanghyeon
阳原县,양위안현,yangwianhyeon
广灵县,광링현,gwangringhyeon
怀远县,화이위안현,hwaiwianhyeon
营山县,잉산현,ingsanhyeon
合浦县,허푸현,heopuhyeon
多伦县,둬룬현,dweorunhyeon
白马寺,백마사,baegmasa
都兰县,두란현,duranhyeon
洛扎县,뤄자현,rweojahyeon
琼结县,충제현,cungjehyeon
萨迦县,싸자현,ssajahyeon
红原县,훙위안현,hungwianhyeon
革吉县,거지현,geojihyeon
比亚迪,비야디,biyadi
天镇县,톈전현,tyenjeonhyeon
黎城县,리청현,riceonghyeon
壶关县,후관현,hugwanhyeon
武乡县,우샹현,usyanghyeon
海兴县,하이싱현,haisinghyeon
和顺县,허순현,heosunhyeon
芮城县,루이청현,ruiceonghyeon
涞源县,라이위안현,raiwianhyeon
沁县,친현,cinhyeon
神池县,선츠현,seonceuhyeon
灵石县,링스현,ringseuhyeon
怀来县,화이라이현,hwairaihyeon
得荣县,더룽현,deorunghyeon
劳动教养,노동교양,nodonggyoyang
德钦县,더친현,deocinhyeon
邺城遗址,업,eob
朗县,랑현,ranghyeon
阳曲县,양취현,yangcwihyeon
新干县,신간현,singanhyeon
桑日县,쌍르현,ssangreuhyeon
谢通门县,셰퉁먼현,syetungmeonhyeon
利辛县,리신현,risinhyeon
迭部县,뎨부현,dyebuhyeon
沁源县,친위안현,cinwianhyeon
陵川县,링촨현,ringcwanhyeon
偏关县,팡관현,panggwanhyeon
新绛县,신장현,sinjanghyeon
平陆县,핑루현,pingruhyeon
绛县,장현,janghyeon
寿阳县,서우양현,seouyanghyeon
临猗县,린이현,rinihyeon
应县,잉현,inghyeon
悬空寺,현공사,hyeongongsa
尼勒克县,니러커현,nireokeohyeon
吉木乃县,지무나이현,jimunaihyeon
巩留县,궁류현,gungryuhyeon
青冈县,칭강현,cingganghyeon
隰县,시현,sihyeon
宁武县,닝우현,ninguhyeon
河曲县,허취현,heocwihyeon
盂县,위현,wihyeon
铁岭县,톄링현,tyeringhyeon
上犹县,상유현,sangyuhyeon
长江中下游平原,양자평원,yangjapyeongweon
阿力麻里,알말리크,almalrikeu
兴县,싱현,singhyeon
文水县,원수이현,weonsuihyeon
蒲县,푸현,puhyeon
汾西县,펀시현,peonsihyeon
平顺县,핑순현,pingsunhyeon
定襄县,딩샹현,dingsyanghyeon
襄汾县,샹펀현,syangpeonhyeon
石楼县,스러우현,seureouhyeon
柳林县,류린현,ryurinhyeon
交口县,자오커우현,jaokeouhyeon
望奎县,왕쿠이현,wangkuihyeon
乡宁县,샹닝현,syangninghyeon
长城航空,만리장성항공,manrijangseonghanggong
岚县,란현,ranhyeon
嘉荫县,자인현,jainhyeon
贡嘎县,궁가현,gunggahyeon
颍上县,잉상현,ingsanghyeon
中国俄罗斯族,어뤄쓰족,eorweosseujog
武宁县,우닝현,uninghyeon
将乐县,장러현,jangreohyeon
新和县,신허현,sinheohyeon
特克斯县,터커쓰현,teokeosseuhyeon
北京饭店,북경반점,buggyeongbanjeom
商都县,상두현,sangduhyeon
巫溪县,우시현,usihyeon
绥棱县,쑤이링현,ssuiringhyeon
贺兰县,허란현,heoranhyeon
藤县,텅현,teonghyeon
方山县,팡산현,pangsanhyeon
洪洞县,훙둥현,hungdunghyeon
庆安县,칭안현,cinganhyeon
灌云县,관윈현,gwanwinhyeon
射阳县,서양현,seoyanghyeon
岭南,영남,yeongnam
仙居县,셴쥐현,syenjwihyeon
中国中心主义,중화사상,junghwasasang
睢宁县,쑤이닝현,ssuininghyeon
灌南县,관난현,gwannanhyeon
清徐县,칭쉬현,cingswihyeon
中央文化革命小组,중앙문화혁명소조,jungangmunhwahyeogmyeongsojo
克东县,커둥현,keodunghyeon
夏商周断代工程,하상주단대공정,hasangjudandaegongjeong
开化县,카이화현,kaihwahyeon
全椒县,취안자오현,cwianjaohyeon
广饶县,광라오현,gwangraohyeon
新天地,신티엔디,sintiendi
永宁县,융닝현,yungninghyeon
深泽县,선쩌현,seonjjeohyeon
惠安县,후이안현,huianhyeon
湘潭县,샹탄현,syangtanhyeon
惠东县,후이둥현,huidunghyeon
徐闻县,쉬원현,swiweonhyeon
遂溪县,쑤이시현,ssuisihyeon
绥宁县,쑤이닝현,ssuininghyeon
松阳县,쑹양현,ssungyanghyeon
休宁县,슈닝현,syuninghyeon
金湖县,진후현,jinhuhyeon
豫园,예원,yeweon
龟兹,쿠차,kuca
居庸关,거용관,geoyonggwan
中国民用航空局,중국민용항공총국,junggugminyonghanggongconggug
尼雅遗址,니야,niya
永泰县,융타이현,yungtaihyeon
南澳县,난아오현,nanaohyeon
泰宁县,타이닝현,taininghyeon
石台县,스타이현,seutaihyeon
平和县,핑허현,pingheohyeon
泗县,쓰현,sseuhyeon
燕山,옌산산맥,yensansanmaeg
闽清县,민칭현,mincinghyeon
翁源县,웡위안현,weongwianhyeon
沽源县,구위안현,guwianhyeon
东海县,둥하이현,dunghaihyeon
建湖县,젠후현,jenhuhyeon
玉门关,옥문관,ogmungwan
宁津县,닝진현,ningjinhyeon
来安县,라이안현,raianhyeon
南陵县,난링현,nanringhyeon
夏津县,샤진현,syajinhyeon
高青县,가오칭현,gaocinghyeon
歙县,서현,seohyeon
霍山县,훠산현,hweosanhyeon
娄烦县,뤄판현,rweopanhyeon
无极县,우지현,ujihyeon
义县,이현,ihyeon
宁阳县,닝양현,ningyanghyeon
含山县,한산현,hansanhyeon
无棣县,우디현,udihyeon
会昌县,후이창현,huicanghyeon
依安县,이안현,ianhyeon
泰和县,타이허현,taiheohyeon
光泽县,광쩌현,gwangjjeohyeon
万载县,완짜이현,wanjjaihyeon
克山县,커산현,keosanhyeon
故宫博物院,고궁박물원,gogungbagmulweon
平原县,핑위안현,pingwianhyeon
青阳县,칭양현,cingyanghyeon
华安县,화안현,hwaanhyeon
旌德县,징더현,jingdeohyeon
郎溪县,랑시현,rangsihyeon
费县,페이현,peihyeon
蠡县,리현,rihyeon
临西县,린시현,rinsihyeon
曲沃县,취워현,cwiweohyeon
抚顺县,푸순현,pusunhyeon
交城县,자오청현,jaoceonghyeon
滕王阁,등왕각,deungwanggag
南港岛线,남공도선,namgongdoseon
南水北调工程,남수북조,namsubugjo
微山县,웨이산현,weisanhyeon
莒县,쥐현,jwihyeon
金乡县,진샹현,jinsyanghyeon
黑山县,헤이산현,heisanhyeon
庆元县,칭위안현,cingwianhyeon
宁化县,닝화현,ninghwahyeon
尤溪县,유시현,yusihyeon
辽阳县,랴오양현,ryaoyanghyeon
丰顺县,펑순현,peongsunhyeon
西丰县,시펑현,sipeonghyeon
临朐县,린추현,rincuhyeon
绩溪县,지시현,jisihyeon
巨野县,쥐예현,jwiyehyeon
齐河县,치허현,ciheohyeon
单县,산현,sanhyeon
汶上县,원상현,weonsanghyeon
泰来县,타이라이현,tairaihyeon
集贤县,지셴현,jisyenhyeon
绥滨县,쑤이빈현,ssuibinhyeon
冠县,관현,gwanhyeon
蒙阴县,멍인현,meonginhyeon
高唐县,가오탕현,gaotanghyeon
嘉祥县,자샹현,jasyanghyeon
东平县,둥핑현,dungpinghyeon
东明县,둥밍현,dungminghyeon
东阿县,둥어현,dungeohyeon
平邑县,핑이현,pingihyeon
建平县,젠핑현,jenpinghyeon
逊克县,쉰커현,swinkeohyeon
元氏县,위안스현,wianseuhyeon
建昌县,젠창현,jencanghyeon
林甸县,린뎬현,rindyenhyeon
桦南县,화난현,hwananhyeon
临沭县,린수현,rinsuhyeon
鱼台县,위타이현,witaihyeon
杞县,치현,cihyeon
通许县,퉁쉬현,tungswihyeon
兰考县,란카오현,rankaohyeon
嵊泗县,성쓰현,seongsseuhyeon
闻喜县,원시현,weonsihyeon
西安城墙,시안성벽,sianseongbyeog
沂水县,이수이현,isuihyeon
郯城县,탄청현,tanceonghyeon
沂源县,이위안현,iwianhyeon
清流县,칭류현,cingryuhyeon
利津县,리진현,rijinhyeon
庐江县,루장현,rujanghyeon
固镇县,구전현,gujeonhyeon
涡阳县,궈양현,gweoyanghyeon
林口县,린커우현,rinkeouhyeon
象山县,샹산현,syangsanhyeon
夏邑县,샤이현,syaihyeon
嵩县,쑹현,ssunghyeon
宁海县,닝하이현,ninghaihyeon
海盐县,하이옌현,haiyenhyeon
金山软件,킹소프트,kingsopeuteu
内黄县,네이황현,neihwanghyeon
修武县,슈우현,syuuhyeon
延津县,옌진현,yenjinhyeon
洛宁县,뤄닝현,rweoninghyeon
天猫,티몰,timol
封丘县,펑추현,peongcuhyeon
伊川县,이촨현,icwanhyeon
商城县,상청현,sangceonghyeon
台前县,타이첸현,taicenhyeon
新县,신현,sinhyeon
浮梁县,푸량현,puryanghyeon
莲花县,롄화현,ryenhwahyeon
彭泽县,펑쩌현,peongjjeohyeon
宿松县,쑤쑹현,ssussunghyeon
修水县,슈수이현,syusuihyeon
太湖县,타이후현,taihuhyeon
石城县,스청현,seuceonghyeon
怀宁县,화이닝현,hwaininghyeon
汝阳县,루양현,ruyanghyeon
民权县,민취안현,mincwianhyeon
新安县,신안현,sinanhyeon
宜阳县,이양현,iyanghyeon
郏县,자현,jahyeon
云和县,윈허현,winheohyeon
缙云县,진윈현,jinwinhyeon
天台县,톈타이현,tyentaihyeon
浦江县,푸장현,pujanghyeon
遂昌县,쑤이창현,ssuicanghyeon
磐安县,판안현,pananhyeon
祁门县,치먼현,cimeonhyeon
港铁公司,항철공사,hangceolgongsa
鄢陵县,옌링현,yenringhyeon
光山县,광산현,gwangsanhyeon
鹿邑县,루이현,ruihyeon
范县,판현,panhyeon
襄城县,샹청현,syangceonghyeon
南召县,난자오현,nanjaohyeon
沈丘县,선추현,seoncuhyeon
获嘉县,훠자현,hweojahyeon
内乡县,네이샹현,neisyanghyeon
商河县,상허현,sangheohyeon
叶县,예현,yehyeon
金寨县,진자이현,jinjaihyeon
灵璧县,링비현,ringbihyeon
武陟县,우즈현,ujeuhyeon
社旗县,서치현,seocihyeon
临颍县,린잉현,rininghyeon
渑池县,몐츠현,myenceuhyeon
房县,팡현,panghyeon
公安县,궁안현,gunganhyeon
息县,시현,sihyeon
睢县,쑤이현,ssuihyeon
平阴县,핑인현,pinginhyeon
红安县,훙안현,hunganhyeon
浚县,쉰현,swinhyeon
罗山县,뤄산현,rweosanhyeon
商水县,상수이현,sangsuihyeon
潢川县,황촨현,hwangcwanhyeon
黎川县,리촨현,ricwanhyeon
自治县,자치현,jacihyeon
奉新县,펑신현,peongsinhyeon
玉山县,위산현,wisanhyeon
峡江县,샤장현,syajanghyeon
遂川县,쑤이촨현,ssuicwanhyeon
呼玛县,후마현,humahyeon
依波路足球队,해봉,haebong
原阳县,위안양현,wianyanghyeon
平舆县,핑위현,pingwihyeon
西华县,시화현,sihwahyeon
温县,원현,weonhyeon
金杯汽车,진베이,jinbei
岳西县,웨시현,wesihyeon
铜鼓县,퉁구현,tungguhyeon
湖口县,후커우현,hukeouhyeon
芦溪县,루시현,rusihyeon
旅游警示,여행경보,yeohaenggyeongbo
栾川县,롼촨현,rwancwanhyeon
舞阳县,우양현,uyanghyeon
扶沟县,푸거우현,pugeouhyeon
卢氏县,루스현,ruseuhyeon
新蔡县,신차이현,sincaihyeon
遂平县,쑤이핑현,ssuipinghyeon
宁陵县,닝링현,ningringhyeon
唐河县,탕허현,tangheohyeon
上蔡县,상차이현,sangcaihyeon
鲁山县,루산현,rusanhyeon
西平县,시핑현,sipinghyeon
远安县,위안안현,wiananhyeon
沂南县,이난현,inanhyeon
黄梅县,황메이현,hwangmeihyeon
邵阳县,사오양현,saoyanghyeon
永春县,융춘현,yungcunhyeon
贵州茅台,귀주모태주구분유한공사,gwijumotaejugubunyuhangongsa
新宁县,신닝현,sinninghyeon
英山县,잉산현,ingsanhyeon
谷城县,구청현,guceonghyeon
仙游县,셴유현,syenyuhyeon
衡山县,헝산현,heongsanhyeon
云梦县,윈멍현,winmeonghyeon
鹤峰县,허펑현,heopeonghyeon
浦城县,푸청현,puceonghyeon
衡南县,헝난현,heongnanhyeon
上杭县,상항현,sanghanghyeon
松溪县,쑹시현,ssungsihyeon
武平县,우핑현,upinghyeon
衡东县,헝둥현,heongdunghyeon
南靖县,난징현,nanjinghyeon
灵光塔,영광탑,yeonggwangtab
合江县,허장현,heojanghyeon
花垣县,화위안현,hwawianhyeon
双牌县,솽파이현,swangpaihyeon
南县,난현,nanhyeon
湘阴县,샹인현,syanginhyeon
沅陵县,위안링현,wianringhyeon
友谊关,우의관,uyigwan
新田县,신톈현,sintyenhyeon
青川县,칭촨현,cingcwanhyeon
富顺县,푸순현,pusunhyeon
双峰县,솽펑현,swangpeonghyeon
辰溪县,천시현,ceonsihyeon
东安县,둥안현,dunganhyeon
会同县,후이퉁현,huitunghyeon
井研县,징옌현,jingyenhyeon
临澧县,린리현,rinrihyeon
桂阳县,구이양현,guiyanghyeon
临武县,린우현,rinuhyeon
溆浦县,쉬푸현,swipuhyeon
鲁甸县,루뎬현,rudyenhyeon
同德县,퉁더현,tungdeohyeon
兴海县,싱하이현,singhaihyeon
弄堂,룽탕,rungtang
碧螺春,벽라춘,byeogracun
宣恩县,쉬안언현,swianeonhyeon
南漳县,난장현,nanjanghyeon
团风县,퇀펑현,twanpeonghyeon
罗田县,뤄톈현,rweotyenhyeon
永登县,융덩현,yungdeonghyeon
中山陵,중산릉,jungsanreung
祁东县,치둥현,cidunghyeon
蕲春县,치춘현,cicunhyeon
孝昌县,샤오창현,syaocanghyeon
嘉禾县,자허현,jaheohyeon
桃源县,타오위안현,taowianhyeon
桑植县,쌍즈현,ssangjeuhyeon
叙永县,쉬융현,swiyunghyeon
新化县,신화현,sinhwahyeon
永顺县,융순현,yungsunhyeon
桂东县,구이둥현,guidunghyeon
怀集县,화이지현,hwaijihyeon
石门县,스먼현,seumeonhyeon
阳西县,양시현,yangsihyeon
汉寿县,한서우현,hanseouhyeon
松潘县,쑹판현,ssungpanhyeon
新龙县,신룽현,sinrunghyeon
临夏县,린샤현,rinsyahyeon
扶风县,푸펑현,pupeonghyeon
甘孜县,간쯔현,ganjjeuhyeon
山丹县,산단현,sandanhyeon
兴文县,싱원현,singweonhyeon
大秦景教流行中国碑,대진경교유행중국비,daejingyeonggyoyuhaengjunggugbi
中央音乐学院,중앙음악학원,jungangeumaghagweon
桃江县,타오장현,taojanghyeon
汝城县,루청현,ruceonghyeon
威远县,웨이위안현,weiwianhyeon
剑阁县,젠거현,jengeohyeon
贵德县,구이더현,guideohyeon
旺苍县,왕창현,wangcanghyeon
澧县,리현,rihyeon
犍为县,첸웨이현,cenweihyeon
蓝山县,란산현,ransanhyeon
平武县,핑우현,pinguhyeon
仁寿县,런서우현,reonseouhyeon
兴教寺,흥교사,heunggyosa
修文县,슈원현,syuweonhyeon
富民县,푸민현,puminhyeon
古丈县,구장현,gujanghyeon
蓬溪县,펑시현,peongsihyeon
茶马古道,차마고도,camagodo
盐亭县,옌팅현,yentinghyeon
息烽县,시펑현,sipeonghyeon
渠县,취현,cwihyeon
榆中县,위중현,wijunghyeon
宜良县,이량현,iryanghyeon
皋兰县,가오란현,gaoranhyeon
开阳县,카이양현,kaiyanghyeon
元谋县,위안머우현,wianmeouhyeon
春秋航空,춘추항공,cuncuhanggong
太和县,타이허현,taiheohyeon
铁门关,철문관,ceolmungwan
世界之窗,세계지창,segyejicang
上山下乡运动,하방운동,habangundong
萧县,샤오현,syaohyeon
蒙城县,멍청현,meongceonghyeon
莒南县,쥐난현,jwinanhyeon
恒生银行,항셍은행,hangsengeunhaeng
兴业县,싱예현,singyehyeon
古蔺县,구린현,gurinhyeon
凌云县,링윈현,ringwinhyeon
华南板块,양쯔판,yangjjeupan
盐边县,옌볜현,yenbyenhyeon
金龙联合汽车,킹롱,kingrong
上汽大通,맥서스,maegseoseu
武宣县,우쉬안현,uswianhyeon
揭西县,제시현,jesihyeon
容县,룽현,runghyeon
荣县,룽현,runghyeon
泸县,루현,ruhyeon
永福县,융푸현,yungpuhyeon
田东县,톈둥현,tyendunghyeon
武氏祠,무씨사,mussisa
光明日报,광명일보,gwangmyeongilbo
吴县,우셴,usyen
中华门,중화문,junghwamun
春运,춘윈,cunwin
林西县,린시현,rinsihyeon
化德县,화더현,hwadeohyeon
勐海县,멍하이현,meonghaihyeon
勐腊县,멍라현,meongrahyeon
浦北县,푸베이현,pubeihyeon
融安县,룽안현,runganhyeon
灌阳县,관양현,gwanyanghyeon
临城县,린청현,rinceonghyeon
海思半导体,하이실리콘,haisilrikon
孙吴县,쑨우현,ssunuhyeon
红旗轿车,훙치,hungci
灵川县,링촨현,ringcwanhyeon
全州县,취안저우현,cwianjeouhyeon
兴安盟,싱안맹,singanmaeng
市政署大楼,민정총서대루,minjeongcongseodaeru
艾马克,아이막,aimag
红烧肉,훙사오러우,hungsaoreou
观致汽车,쿠오로스,kuoroseu
拉巴池,라그바호,rageubaho
金钟,감중,gamjung
地安门,지안문,jianmun
腌菜,파오차이,paocai
北京人民广播电台,베이징인민방송,beijinginminbangsong
天朝,천조,ceonjo
明报,명보,myeongbo
清西陵,청서릉,ceongseoreung
中朝鸭绿江界河公路大桥,신압록강대교,sinabroggangdaegyo
图们国境大桥,도문국경대교,domunguggyeongdaegyo
图们江大桥,두만강대교,dumangangdaegyo
长惠国际大桥,장혜국제대교,janghyegugjedaegyo
倡棋杯,창기배,canggibae
东夏,대진국,daejingug
幅巾,복건,boggeon
中国运载火箭技术研究院,중국발사체기술연구원,junggugbalsacegisulyeonguweon
豆瓣,더우반,deouban
阿含,중일,jungil
桐山杯中日冠军对抗赛,아함동산배,ahamdongsanbae
中国工程物理研究院,중국공정물리연구원,jungguggongjeongmulriyeonguweon
中国空间技术研究院,중국우주기술연구원,junggugujugisulyeonguweon
上环,성완,seongwan
麻辣酱,마라,mara
油麻地,야우마데이,yaumadei
赤尾屿,다이쇼섬,daisyoseom
中华老字号,중화노자호,junghwanojaho
飞濑,도비세,dobise
黄尾屿,구바섬,gubaseom
国家预防腐败局,국가예방부패국,guggayebangbupaegug
屯马线,튄마선,twinmaseon
镐京,호경,hogyeong
大慈恩寺,대자은사,daejaeunsa
欢乐干线,환락간선,hwanragganseon
燕下都,하도,hado
建国忠灵庙,건국충영묘,geongugcungyeongmyo
全国围棋个人赛,전국위기개인전,jeongugwigigaeinjeon
传祺,트럼치,teureomci
贵州足球俱乐部,구이저우,guijeou
喀喇沁部,카라친부,karacinbu
青岛足球俱乐部,칭다오,cingdao
香港医学博物馆,홍콩의학박물관,hongkongyihagbagmulgwan
城巴,시티버스,sitibeoseu
黄海客车,황해버스,hwanghaebeoseu
昂船洲,스톤커터스섬,seutonkeoteoseuseom
福州船政局,복주선정국,bogjuseonjeonggug
胡庆余堂,호경여당,hogyeongyeodang
孔府,공부,gongbu
江海关大楼,강해관,ganghaegwan
盛大网络,샨다,syanda
佐丹奴,지오다노,jiodano
湖南卫视,후난위성텔레비전,hunanwiseongtelrebijeon
华清池,화청지,hwaceongji
世界大观,세계대관,segyedaegwan
沧浪亭,창랑정,cangrangjeong
西南棋王赛,서남왕배,seonamwangbae
广安门,광안문,gwanganmun
光棍节,광군제,gwanggunje
理光杯,이광배,igwangbae
小肥羊,샤오훼이양,syaohweiyang
