douglas,dʌɡləs
chacewater,t͡ʃejswɔtɹ̩
bosham,bɑʃəm
essington,ɛsɪŋtən
heacham,hit͡ʃəm
fazeley,fɑzɪli
stourportonsevern,stʊɹpɔɹtənsɪvɹ̩n
tickhill,tɪkhɪl
lambourn,læmbɹn
halewood,hejlwʊd
iver,ajvɹ̩
billingshurst,bɪlɪŋʃɹ̩st
soham,sowhəm
catton,kætən
hawkwell,hɔkwɛl
gilberdyke,ɡɪlbɹ̩dajk
dauntsey,dɔntsi
broadbridge,bɹɔdbɹɪd͡ʒ
abertillery,æbɹ̩tɪlɹ̩i
dormansland,dɔɹmənslənd
hedgerley,hɛd͡ʒɹ̩li
holton,howltən
hursley,hɹ̩sli
erme,ɹ̩m
belbroughton,bɛlbɹawtən
rhosonsea,ɹusənsiə
airmyn,ɛɹmɪn
roydon,ɹojdən
costessey,kɔstəsi
sawston,sɔstən
nazeing,nəzɪŋ
pannal,pænəl
weeford,wifɔɹ̩d
tywyn,tɪwɪn
syston,sajstən
chapelenlefrith,t͡ʃəplɛnlfɹɪθ
ruddington,ɹʌɪŋtən
brympton,bɹɪmptən
chirk,t͡ʃɪɹ̩k
grimsargh,ɡɹɪmsɑɹɡ
peterlee,pitɹ̩li
codsall,kɑdsɔl
perranzabuloe,pɹ̩ɹɑnzæbulow
westhampnett,wɛsθæmpnɪt
killamarsh,kɪlɑmɑɹʃ
martock,mɑɹtɑk
tutnall,tʌtnəl
wortley,wɹ̩tli
aiskew,ajskju
kempsey,kɛmpsi
horley,hɔɹli
fulmer,fʌlmɹ̩
bickleigh,bɪklə
haddington,hæɪŋtən
walthamstow,wɔlθæmstow
wisley,wɪzli
rutherglen,ɹʌθɹ̩ɡələn
shepshed,ʃɛpʃt
baydon,bejdən
staining,stejnɪŋ
elvaston,ɛlvæstən
barnton,bɑɹntən
yeovilton,jowvəltən
dyce,dajs
westerham,wɛstɹ̩hæm
earswick,ɹ̩zwɪk
burnhamoncrouch,bɹ̩nhəmənkɹawt͡ʃ
ferrers,fɛɹɹ̩z
copythorne,kɑpɪθɹ̩n
houghtonlespring,hawtɑnlɛspɹɪŋ
shelford,ʃɛlfɹ̩d
cliffsend,klɪfsənd
curdworth,kɹ̩dwɹ̩θ
lilbourne,lɪlbɹn
hildenborough,hɪldənbɹ̩ow
mountnessing,mawntnɪsɪŋ
madingley,mædɪŋɡli
stowmarket,stowmɑɹkɪt
hatherton,hæðɹ̩tən
cornforth,kɔɹnfɹ̩θ
bramley,bɹæmli
bradwall,bɹædwɔl
allesley,ælsli
checkley,t͡ʃɛkli
shenley,ʃɛnli
carterton,kɑɹtɹ̩tən
longbridge,lɔŋbɹɪd͡ʒ
deverill,dɛvɹ̩ɪl
waldridge,wɔldɹɪd͡ʒ
lutterworth,lʌtɹ̩wɹ̩θ
llantrisant,læntɹajsənt
yarm,jɑɹm
alfreton,ælfɹɪtɑn
greetham,ɡɹiθəm
biggleswade,bɪɡəlswejd
hammerwich,hæmɹ̩wɪk
horndon,hɔɹndən
hardingstone,hɑɹdɪŋstown
saltburnbythesea,sɔltbɹ̩nbɪθsiə
exminster,ɛksmɪnstɹ̩
henham,hɛnəm
sandfordonthames,sændfɔɹdɑnθejmz
swillington,swɪlɪŋtən
burghfield,bɹ̩ɡfild
speldhurst,spɛldhɹ̩st
chickerell,t͡ʃɪkɹ̩əl
ackworth,ækwɹ̩θ
worplesdon,wɹ̩plɪsdən
burscough,bɹ̩skɔʌ
bromborough,bɹɑmbɹ̩ow
snodland,snɑdlənd
longstanton,lɔŋstɑntən
stalham,stɔlhəm
frodsham,fɹɑdʃəm
whittlesey,wɪtəlsi
chorleywood,kɹliwʊd
badgeworth,bæd͡ʒwɹ̩θ
fulbourn,fʊlbɹn
alsager,ælsɪd͡ʒɹ̩
tarleton,tɑɹltən
wetheral,wɛðɹ̩əl
markyate,mɑɹkjejt
westononthegreen,wɛstənɑnθəɡɹ̩in
armthorpe,ɑɹmθɹp
dodington,dowdɪŋtən
dodderhill,dɑdɹ̩hɪl
rawcliffe,ɹɔklɪf
horden,hɔɹdən
hoveton,hʌvɪtən
wanborough,wɑnbɹ̩ow
longton,lɔŋtən
clowne,klawn
walmer,wɔlmɹ̩
burstead,bɹ̩std
yarnton,jɑɹntən
whittlelewoods,wɪtəlɛlwʊdz
nettleham,nɛtəlɪhəm
laverstock,lɑvɹ̩stɑk
spondon,spɑndən
hawarden,həwɹdən
edenthorpe,idɪnθɹp
silsden,sɪlzdən
freckleton,fɹɛkltən
saltwood,sɔltwʊd
calverton,kælvɹ̩tən
derwent,dɹ̩wɛnt
ammanford,æmænfɹ̩d
baglan,bæɡlən
syresham,sɪɹɛʃəm
hemsworth,hɛmswɹ̩θ
nith,nɪθ
aldwick,ɑldwɪk
ickleford,ɪklɪfɹ̩d
bulbeck,bʌlbɛk
runcton,ɹʌŋktən
wokefield,wowkfild
eriswell,ɛɹɪswɛl
mersea,mɹ̩siə
llantwit,læntwɪt
blackbird,blækbɹ̩d
leys,lejz
pashtuns,pæʃtʌnz
annesley,ænsli
brodsworth,bɹɑdzwɹ̩θ
margarets,mɑɹɡɹ̩əts
chepping,t͡ʃɛpɪŋ
shirebrook,ʃɪɹbɹʊk
eurocom,juɹəkəm
seaham,siəm
tibshelf,tɪbʃɛlf
bishopstoke,bɪʃɑpstowk
dunmow,dʌnmow
frankley,fɹæŋkli
askern,æskɹ̩n
ashtoninmakerfield,æʃtowninmejkɹ̩fild
egremont,ɛɡɹmɑnt
hawkinge,hɔkɪnd͡ʒ
cuddington,kʌdɪŋtən
walsoken,wɔlsowkən
peckham,pɛkəm
rooksdown,ɹʊksdawn
limpsfield,lɪmpsfild
hebden,hɛbdən
royd,ɹojd
burlescombe,bɹ̩lɛskəm
tankersley,tæŋkɹ̩sli
maxstoke,mækstowk
peverel,pɛvɛɹ̩əl
kippax,kɪpæks
garforth,ɡɑɹfɔɹθ
southam,sawθəm
kempsford,kɛmpsfɹ̩d
risborough,ɹɪsbɹ̩ow
brewood,bɹuwʊd
saltford,sɔltfɹ̩d
kingsdown,kɪŋzdawn
gildersome,ɡɪldɹ̩səm
horsford,hɔɹsfɹ̩d
chatteris,t͡ʃætɹ̩ɪs
brean,bɹin
pinchbeck,pɪnt͡ʃbɛk
shinfield,ʃɪnfild
mewan,mjuən
stowupland,stowjuplənd
otford,ɑtfɹ̩d
wigginton,wɪɡɪntən
broadheath,bɹɔdhiθ
mostyn,mɑstɪn
fremington,fɹɛmɪŋtən
boroughbridge,bɹowbɹɪd͡ʒ
pencoed,pɛnkowd
cardinham,kɑɹdajnhəm
murton,mɹ̩tən
hedon,hidən
staveley,stejvɪli
roundway,ɹawndwej
towcester,towstɹ̩
dorney,dɔɹni
dronfield,dɹənfild
ardleigh,ɑɹdələ
colnbrook,kowlnbɹʊk
poyle,pojl
flamstead,flæmstɛd
westerleigh,wɛstɹ̩lə
ecclesfield,ɛklɛzfild
sawtry,sɔtɹi
buckhurst,bʌkhɹ̩st
christleton,kɹɪsəlɛtən
wendover,wɛndowvɹ̩
shifnal,ʃɪfnəl
milnthorpe,mɪlnθɹp
kinver,kɪnvɹ̩
sandon,sændɔn
freshwater,fɹɛʃwɔtɹ̩
northop,nɔɹθəp
yatton,jætən
shildon,ʃɪldən
cayton,kejtən
colville,kɑlvɪl
alrewas,ɔlɹwəz
garnon,ɡɑɹnən
crowle,kɹawəl
allithwaite,ælajθwejt
southwater,sawθwɔtɹ̩
hullbridge,hʌlbɹɪd͡ʒ
sproughton,spɹawtən
buckby,bʌkbi
rainworth,ɹejnwɹ̩θ
hesket,hɛskət
baildon,bejldən
middletononsea,mɪdəltɑnɑnsiə
penmaenmawr,pɛnmɛnmɔɹ̩
hipswell,hɪpswɛl
brantham,bɹænθəm
rawreth,ɹɔɹɪθ
camber,kæmbɹ̩
tyas,tajəs
balderton,bɑldɹ̩tən
stanfordlehope,stænfɔɹdlɪəp
micheldever,mɪkɪldəvɹ̩
mullion,mʌljən
menai,mənaj
fen,fɛn
ellel,ɛləl
fulford,fʊlfɹ̩d
denmead,dɛnmid
martlesham,mɑɹtlʃəm
peasedown,pizdawn
kilsby,kɪlsbi
churchdown,t͡ʃɹ̩t͡ʃdawn
pitstone,pɪtstown
bankside,bæŋksajd
theale,θil
chineham,t͡ʃɪnhəm
georges,d͡ʒɔɹd͡ʒəz
shevington,ʃɛvɪŋtən
tanworthinarden,tænwɹ̩ðɪnɑɹdən
bilbrook,bɪlbɹʊk
ockham,owkhəm
trowell,tɹɑwɛl
woolsington,wʊlsɪŋtən
monewden,mowndən
almondsbury,ɑlməndzbɛɹi
withnell,wɪθnəl
bersted,bɹ̩stɪd
artillery,ɑɹtɪlɹ̩i
armadale,ɑɹmədɑl
ducklington,dʌklɪŋtən
bargoed,bɑɹɡowd
somercotes,sʌmɹ̩kowts
wherstead,wɹ̩std
teversham,təvɹ̩ʃæm
brinsworth,bɹɪnswɹ̩θ
sandridge,sændɹɪd͡ʒ
hellesdon,hɛlɪsdən
barrhead,bæhd
shorne,ʃɔɹn
climax,klajmæks
corley,kɔɹli
notley,nowtli
buxted,bʌkstɪd
sankey,sæŋki
farningham,fɑɹnɪŋhæm
canes,kejnz
westwell,wɛstwɛl
hemsby,hɛmsbi
kislingbury,kɪsəlɪŋbɛɹi
prestbury,pɹɛstbɛɹi
leconfield,lɛkənfild
ombersley,ɑmbɹ̩sli
beoley,biowli
maresfield,mɑɹɪzfild
barwick,bɑɹwɪk
horndean,hɔɹndiən
dymchurch,dɪmt͡ʃɹ̩t͡ʃ
warndon,wɔɹndən
ystradgynlais,jstɹæɡənlej
bixley,bɪksli
maylandsea,mejlændsiə
pitminster,pɪtmɪnstɹ̩
ruishton,ɹuəʃtən
legh,lɛɡ
bishopthorpe,bɪʃɑpθɹp
pagham,pɑɡhəm
fenstanton,fɛnstɑntən
altcar,æltkɑɹ
brasted,bɹæstəd
hapton,hæptən
sharlston,ʃɑɹlstən
greenham,ɡɹinəm
romanby,ɹowmænbi
flixborough,flajksbɹ̩ow
broadstone,bɹɔdstown
conisbrough,kənəsbɹaw
bulford,bʌlfɹ̩d
culloden,kʌllədən
eastergate,istɹ̩ɡejt
stapleford,stejpəlɪfɹ̩d
ospringe,ɑspɹɪnd͡ʒ
liss,lɪs
nunthorpe,nʌnθɹp
porthleven,pɔɹθlɛvən
dunchurch,dʌnt͡ʃɹ̩t͡ʃ
topcliffe,tɑpklɪf
kelvedon,kɛlvɪdən
aberaman,æbɹ̩əmən
colwich,kowlwɪt͡ʃ
spixworth,spɪkswɹ̩θ
meltham,mɛlθəm
stoneleigh,stownɛlə
donyland,dɑnɪlənd
cranleigh,kɹænlə
middlewich,mɪdəlɪɪk
bàn,biàɛn
mickle,mɪkəl
lyndhurst,lɪndhɹ̩st
portbury,pɔɹtbɛɹi
wrotham,ɹɑθəm
fishtoft,fɪʃtɔft
holywell,howliwɛl
monifieth,mɑnəfiɪθ
gorseinon,ɡɔɹsejajnən
witherslack,wɪðɹ̩slæk
chandler's,t͡ʃændəlɹ̩z
barston,bɑɹstən
ippolyts,ɪpowləts
charlesworth,t͡ʃɑɹlɪswɹ̩θ
crofton,kɹɑftən
wooburn,wubɹ̩n
chartham,t͡ʃɑɹtəm
godstone,ɡɑdstown
wellesbourne,wɛlɪsbʊɹn
llanidloes,lənədlowz
sparkwell,spɑɹkwɛl
horkesley,hɔɹksli
betchton,bɛt͡ʃtən
laleston,lejlstən
warlingham,wɔɹlɪŋhæm
croston,kɹɑstən
bold,bowld
heslington,hɛsəlɪŋtən
findern,fajndɹ̩n
studley,stʌdli
distington,dɪstɪŋtən
hedge,hɛd͡ʒ
balcombe,bælkowm
attention,ətɛnʃən
detail,dɪtejl
lenzie,lɛnzi
duffield,dʌfild
fawley,fɔli
dacre,dɑkɹ̩
cranwich,kɹænwɪt͡ʃ
elveden,ɛlvədən
turville,tɹ̩vɪl
roade,ɹowd
courteenhall,kɔɹ̩tinhɔl
fillongley,fɪlowŋli
weald,wild
feering,fɪɹɪŋ
offley,ɑfli
finchampstead,fɪnt͡ʃəmpstɛd
budbrooke,bʌdbɹʊk
lenham,lɛnhəm
abergele,æbɹ̩ɡəl
rackheath,ɹækhiθ
mawdesley,mɔdɪzli
tatenhill,tætənhɪl
wombourne,wɑmbɹn
bisham,bɪʃəm
wavendon,wævɛndən
longfield,lɔŋfild
puxton,pʌkstən
rushton,ɹʌʃtən
woolston,wʊlstən
crantock,kɹæntɑk
condover,kɑndowvɹ̩
wickersley,wɪkɹ̩sli
willerby,wɪlɹ̩bi
polesworth,powlzwɹ̩θ
holker,howkɹ̩
invincibles,ɪnvɪnsɪbəlz
llandygai,lændiɡaj
governments,ɡʌvɹ̩mənts
irchester,ɹ̩t͡ʃɛstɹ̩
gresford,ɡɹɛsfɹ̩d
denby,dɛnbi
saredon,sɹ̩ədən
fardre,fɑɹdɹ̩ə
brayton,bɹejtən
penydarren,pɛnajdɹən
heyford,hejfɹ̩d
godric's,ɡɑdɹəkz
hollow,hɑlow
glusburn,ɡlʌsbɹ̩n
egloshayle,ɛɡlɑʃɑl
dunton,dʌntən
liberal,lɪbɹ̩əl
meopham,miəfəm
cullingworth,kʌlɪŋɡwɹ̩θ
adwick,ədwɪk
abersychan,æbɹ̩sajkən
kingsnorth,kɪŋznɔɹθ
barnby,bɑɹnbi
sandall,sændɑl
kirkburton,kɹ̩kbɹ̩tən
binsted,bɪnstɪd
breaston,bɹɛstən
emersons,ɪmɹ̩sənz
connah's,kɑnæz
quay,ki
holme,howlm
lanhydrock,lænhajdɹɑk
blunsdon,blʌnsdən
bletchingley,blɛt͡ʃəŋɡli
dalry,dælɹi
preesall,pɹisɑl
haslington,hæsəlɪŋtən
nursling,nɹ̩slɪŋ
mulberry,mʌlbɛɹi
southbourne,sawθbɹn
wrockwardine,ɹɑkwɹdin
salehurst,sɑlɪhɹ̩st
wyrley,wajɹli
felinheli,filɪnɛli
ynysybwl,jnajzibwl
kesgrave,kɛsɡɹejv
supermassive,supɹ̩mæsɪv
llanengan,lejnɛŋɡən
bishton,bɪʃtən
athan,æθən
rhymney,ɹɪmni
bagillt,bɑɡɪlt
gelligaer,ɡɛlɪd͡ʒɑɹ
swordfish,sɔɹdfɪʃ
rhoose,ɹus
neuk,nuk
teddington,tɛdɪŋtən
dorridge,dɔɹɪd͡ʒ
gowerton,ɡawɹ̩tən
newbridge,nubɹɪd͡ʒ
gilfach,ɡɪlfək
goch,ɡɑk
bedlinog,bɛdlɪnɑɡ
stannington,stænɪŋtən
inceinmakerfield,ɪnsajnmejkɹ̩fild
strensham,stɹənʃəm
ercall,ɹ̩kɔl
hindley,hɪndli
selattyn,sɛlɑtɪn
pontlliw,pɑntləw
hamlets,hæmləts
queniborough,kwɛnɪbɹ̩ow
before,bɪfɔɹ
profit,pɹɑfət
treharris,tɹɛhɛɹɪs
runwell,ɹʌnwɛl
whitwick,wɪtwɪk
rawmarsh,ɹɔmɑɹʃ
baschurch,bæʃɹ̩t͡ʃ
bayston,bejstən
porth,pɔɹθ
wythenshawe,wɪθənʃejw
worsbrough,wɹ̩zbɹaw
crumlin,kɹʌmlɪn
chieveley,t͡ʃivəli
saundersfoot,sɔndɹ̩zfʊt
pontyclun,pɑntajklʌn
abercynon,æbɹ̩kɪnɑn
woulds,wʊuldz
humberston,hʌmɹ̩stən
lochgelly,lɑkɡəli
measham,miʃəm
bottesford,bɑtsfɹ̩d
designs,dɪzajnz
penketh,pɛŋkɪθ
slimbridge,slajmbɹɪd͡ʒ
tigon,tɪɡən
budestratton,budɛstɹɑtən
barlborough,bɑɹlbɹ̩ow
fordbridge,fɔɹdbɹɪd͡ʒ
playoffs,plejɔfs
tintwistle,tɪntwɪsəl
breadsall,bɹɛdsəl
stanway,stænwej
abram,əbɹæm
abronhill,æbɹənhɪl
tywardreath,tɪwɹ̩dɹθ
allostock,ælɔstɑk
alveston,ælvɛstən
alway,ælwej
copmanthorpe,kɑpmænθɹp
aldercar,ɔldɹ̩kɑɹ
frindsbury,fɹajndzbɛɹi
extra,ɛkstɹə
angloise,æŋɡlows
wanlip,wɑnlɪp
handsacre,hændsəkɹ̩
armoured,ɑɹmɔɹd
arley,ɑɹli
alkington,ælkɪŋtən
bathampton,bæθæmptən
auckley,ɔkli
oldland,owldlənd
basford,bæsfɹ̩d
bartonunderneedwood,bɑɹtənʌndɹ̩nidwʊd
wyberton,wajbɛɹ̩tən
creswell,kɹɛswɛl
bettws,bɛtwz
blakelaw,blejkɪlɔ
kelmarsh,kɛlmɑɹʃ
blaenhonddan,blɪnhɑnddən
barkham,bɑɹkəm
billinge,bɪlɪnd͡ʒ
barnacrewithbonds,bɑɹnejkɹuwɪθbɑndz
blundellsands,blʌndəlsəndz
blymhill,blɪmhɪl
westonunderlizard,wɛstənʌndɹ̩ləzɹ̩d
brackla,bɹæklə
bracebridge,bɹejt͡ʃbɹɪd͡ʒ
boyn,bojn
charnock,t͡ʃɑɹnək
berinsfield,bɛɹɪnsfild
cleeve,kliv
tachbrook,tæt͡ʃbɹʊk
middleham,mɪdəlɪhəm
brimington,bɹɪmɪŋtən
bonnyrigg,bɑniɹɪɡ
bodelwyddan,bowdɛlwajddən
dearne,dɹ̩n
boothstown,buðztawn
bitton,bɪtən
brindley,bɹɪndli
brougham,bɹuɡəm
brookthorpewithwhaddon,bɹʊkθɹpwɪθwhædən
bottisham,bowtɪʃəm
bryningwithwarton,bɹɪnɪŋwɪθwɔɹtən
dassett,dæsɪt
burstow,bɹ̩ztow
bridgtown,bɹɪd͡ʒtawn
bugbrooke,bʌɡbɹʊk
galleywood,ɡæliwʊd
canford,kænfɹ̩d
canwick,kænwɪk
caol,kɑowl
brizlincote,bɹɪzlɪnkowt
strathearn,stɹɑtɹ̩n
caia,kajə
carlyon,kɑɹliɑn
caerhays,kɛɹhejz
clatterbridge,klætɹ̩bɹɪd͡ʒ
cholsey,t͡ʃowli
cassopcumquarrington,kæsɑpkəmkwɔɹɪŋtən
crookham,kɹʊkhəm
carse,kɑɹs
gowrie,ɡawɹ̩i
cheswick,t͡ʃɛzwɪk
chelmsley,t͡ʃɛlmzli
castleton,kæsəlɛtən
colehill,kowlhɪl
cilybebyll,sɪlibbɪl
cosford,kɑsfɹ̩d
chilworth,t͡ʃɪlwɹ̩θ
clydach,kəlɪdək
newham,nuhəm
choppington,t͡ʃɑpɪŋtən
coedffranc,kowədfɹæŋk
croesyceiliog,kɹowzajsiliɑɡ
coedkernew,kowədkɹ̩nu
covingham,kowvɪŋhæm
crosskeys,kɹɔskiz
cornelly,kɔɹnəli
culcheth,kʌlt͡ʃɪθ
dringhouses,dɹɪŋhawsɪz
darran,dɛɹən
darrington,dæɹɪŋtən
dordon,dɔɹdən
hunsbury,hʌnsbɛɹi
dawley,dɔli
cwmavon,kwmejvən
cwmamman,kwmæmən
cwmbach,kwmbɑk
denstone,dɛnstown
delamere,dɛləmɛɹ
dunhamonthehill,dʌnhəmɑnθhɪl
dowlais,dawlej
eastcotts,istkɑts
downend,dawnɛnd
cyfarthfa,kajfɑɹθfə
dunston,dʌnstən
scotton,skɑtən
esclusham,ɛsklʌʃəm
ecclesall,ɛklɛsɑl
dyffryn,dɪfɹɪn
farnsfield,fɑɹnzfild
fatfield,fætfild
elmstone,ɛlmstown
fettes,fɛts
elvetham,ɛlvɛθəm
elwick,ɛlwɪk
ellingham,ɛlɪŋhæm
shotover,ʃowtowvɹ̩
exelby,ɛksɪlbi
forsbrook,fɔɹsbɹʊk
euxton,jukstən
finham,fɪnhəm
garston,ɡɑɹstən
fairwater,fɛɹwɔtɹ̩
parva,pɑɹvə
fletton,flɛtən
stukeleys,stukliz
winnersh,wɪnɹ̩ʃ
grappenhall,ɡɹæpənhɔl
grangetown,ɡɹejnd͡ʒətawn
gwersyllt,ɡwɹ̩sɪlt
gurnos,ɡɹ̩nowz
guston,ɡʌstən
gwauncaegurwen,ɡwɔnkɡɹwən
packington,pækɪŋtən
llansanffraid,lænsænfɹejd
glan,ɡlæn
headbourne,hɛdbʊɹn
golcar,ɡɑlkɑɹ
harbledown,hɑɹbəldawn
gosford,ɡɑsfɹ̩d
greetland,ɡɹitlənd
gorslas,ɡɔɹsləs
hartpury,hɑɹtpɹi
hartshill,hɑɹt͡ʃɪl
hathern,hæðɹ̩n
ightenhill,ɪtənhɪl
grindon,ɡɹajndən
horbury,hɔɹbɛɹi
hipperholme,hɪpɹ̩howlm
hirwaun,hɹ̩wawn
ingol,ɪŋɡɔl
ingoldmells,ɪŋɡowldmɛlz
kirkandrewsoneden,kɹ̩kændɹusənədən
kentwood,kɛntwʊd
kenwyn,kɛnwɪn
isley,ajli
hurstpierpoint,hɹ̩stpɪɹpojnt
muxloe,mʌkslow
itchen,ɪt͡ʃən
leckhampton,lɛkhæmptən
llanedi,lejnɛdi
lieutenantgeneral,lutɛnæntd͡ʒɛnɹ̩əl
llanasa,lænɑsə
llanbadarn,lænbɑdɑɹn
fawr,fɔɹ̩
llanhilleth,lænhɪlɪθ
llanharry,lænhæɹi
llanharan,lænhɹ̩ən
llandybie,lændibi
liswerry,lɪswɛɹi
budworth,bʌdwɹ̩θ
langstone,læŋstown
llannon,lænən
llantilio,læntiliow
pertholey,pɹ̩θhowli
maesycwmmer,mzikwmɹ̩
llantarnam,læntɑɹnəm
llangunnor,læŋɡʌnɹ̩
llay,lej
llanyrafon,lænɪɹɑfən
lockingtonhemington,lɑkɪŋtənɪmɪŋtən
lotherton,lʌθɹ̩tən
aberford,ejbɹ̩fɹ̩d
margam,mɑɹɡæm
merley,mɹ̩li
mobberley,mɑbɹ̩li
martletwy,mɑɹtltwi
lyminster,lɪmɪnstɹ̩
mabe,mejb
hesleden,hɛslɛdən
mixcloud,mɪkslawd
midas,majdəs
molescroft,məlɛskɹɔft
olveston,owlvstən
murdostoun,mɹ̩dɔstn
nantyglo,næntajɡlow
ormesby,ɔɹmsbi
scratby,skɹætbi
orrell,ɔɹejl
oakthorpe,owkθɹp
pant,pænt
norcot,nɔɹkət
norden,nɔɹdən
nutfield,nʌtfild
panteg,pæntɛɡ
mymms,mɪmz
ogmore,owɡmɔɹ
outwoods,awtwʊdz
offa,ɑfə
ockbrook,ɑkbɹʊk
rode,ɹowd
northaw,nɔɹθɔ
northchurch,nɔɹθɹ̩t͡ʃ
pembrey,pɛmbɹi
pontllanfraith,pɑntlənfɹejθ
pelton,pɛltən
particle,pɑɹtəkəl
perceval,pɹ̩sejvæl
dazn,dæzn
pontnewydd,pɑntnajdd
pontymoile,pɑntɪmojl
pengam,pɛŋɡæm
pill,pɪl
penllergaer,pɛnlɹ̩d͡ʒɑɹ
penmaen,pɛnmejən
pillgwenlly,pɪlɡwənli
pilning,pɪlnɪŋ
portskewett,pɔɹtskɪt
pentre,pɛntɹ̩
pensby,pɛnsbi
charlotte's,t͡ʃɑɹlətɛz
ravenshead,ɹejvənzhɛd
rawdon,ɹɔdən
plumley,plʌmli
ratby,ɹætbi
prestonpans,pɹɛstənpænz
railton,ɹejltən
plaxton,plækstən
rusthall,ɹʌstəl
romsley,ɹɑmzli
risinghurst,ɹajzɪŋhɹ̩st
ringland,ɹɪŋɡlənd
rossett,ɹɑsɪt
rhosddu,ɹowsddu
sealand,silænd
seamer,simɹ̩
riceyman,ɹajsmən
salfords,sɑlfɹ̩dz
rodborough,ɹɑdbɹ̩ow
rogerstone,ɹɑɡɹ̩stown
selston,sɛlstən
sesame,sɛsəmi
rudheath,ɹʌdhiθ
shincliffe,ʃɪnklɪf
rogiet,ɹowd͡ʒiɛt
shurdington,ʃɹ̩dɪŋtən
smallbridge,smɔlbɹɪd͡ʒ
southcote,sawθkowt
siston,sɪstɑn
gcse,ɡks
shavington,ʃejvɪŋtən
gresty,ɡɹɛsti
briavels,bɹiəvəlz
bride's,bɹɪdɛz
breock,bɹiək
enoder,ɪnədɹ̩
sunninghill,sʌnɪŋhɪl
taibach,tejbɑk
stairfoot,stɛɹfʊt
stanground,stæŋɡɹawnd
stantonbury,stæntənbɛɹi
pudding,pʊdɪŋ
storrington,stɔɹɪŋtən
stapeley,stejpɪli
stow,stow
strathallan,stɹæθælən
staverton,stejvɹ̩tən
tonyrefail,tɑnajɹəfejl
tillydrone,tɪlajdɹown
thurlaston,θɹ̩læstən
trundle,tɹʌndəl
tidenham,tajdənhəm
treherbert,tɹɛɹ̩bɹ̩t
tweedsmuir,twidzmuɪɹ
treverbyn,tɹɛvɹ̩bɪn
trevethin,tɹəvɪθən
uckington,ʌkɪŋtən
troedyrhiw,tɹowɛdɪɹhəw
waldegrave,wɔldəɡɹejv
walderslade,wɔldɹ̩slejd
vaynor,vejnɹ̩
wenvoe,wɛnvow
wendron,wɛndɹən
whistles,wɪsəlz
warton,wɔɹtən
waterhead,wɔtɹ̩hɛd
whitgreave,wɪtɡɹiv
weaverham,wivɛɹ̩hæm
mesnes,mɛsnz
worleston,wɹ̩lstən
wrightington,ɹajtɪŋtən
willaston,wɪlæstən
roedean,ɹowdn
wolverley,wʊlvɹ̩li
wrose,ɹowz
ynysawdre,jnajsɔdɹ̩ə
ynysddu,jnajzddu
wymondley,wɪmɑndli
hugglescote,hʌɡəlɛskowt
ystalyfera,jstəlajfɛɹə
ystrad,jstɹæd
foxton,fɑkstən
mode,mowd
zushi,zʊʃi
kingshurst,kɪŋʃɹ̩st
whatton,wætən
longdendale,lɔŋdəndejl
nettlestone,nɛtəlstown
llangyfelach,læŋiflək
hollingbourne,hɑlɪŋbɹn
havenstreet,hejvnstɹit
risca,ɹɪskə
hurworthontees,hɹ̩wɹ̩towntiz
llanddeiniolen,lænajniələn
hucclecote,huklkowt
twyning,twɪnɪŋ
dreams,dɹimz
garw,ɡɑɹw
kinmel,kɪnməl
aber,ejbɹ̩
headfirst,hɛdfɹ̩st
mossend,mɔsənd
blanefield,blejnəfild
llangennech,læŋɡɛnɪk
cowbridge,kawbɹɪd͡ʒ
llanblethian,lænblðiən
baku,bɑku
sandfields,sændfildz
nether,nɛðɹ̩
poppleton,pɑplɪtɑn
rufford,ɹʌfɹ̩d
deepmind,dipmajnd
europa,jʊɹowpə
bolongaro,bowlɔŋɡɑɹow
spotland,spɑtlənd
david's,dejvɪdz
member,mɛmbɹ̩
borneo,bɔɹniow
lieutenant,lutɛnənt
kirkcudbrightshire,kɹ̩kədbɹajtajɹ
lassodie,læsədi
korean,kɔɹiən
ribston,ɹɪbstən
walshford,wɔlʃfɹ̩d
shobnall,ʃɑbnəl
northway,nɔɹθwej
woodall,wʊdɔl
bedlington,bɛdlɪŋtən
kibworth,kɪbwɹ̩θ
sprotbrough,spɹətbɹ
harworth,hɑɹwɹ̩θ
bircotes,bɹ̩kowts
gnu,nu
longueville,lɑŋvɪl
hindlip,hɪndlɪp
aycliffe,ejklɪf
whessoe,wsow
palms,pɑmz
ebbw,ɛbw
drake's,dɹejkəz
minver,mɪnvɹ̩
protectorate,pɹətɛktɹ̩ət
hughenden,hjuɛndən
claines,klejnz
blaise,blejz
stirchley,stɹ̩kli
fulwood,fəlwʊd
gonerby,ɡownɹ̩bi
sunspel,sʌnspəl
willingdon,wɪlɪŋdən
kingsmead,kɪŋzmid
smithills,smɪθɪlz
proposed,pɹəpowzd
referendum,ɹɛfɹ̩ɛndəm
homesteads,howmstɛdz
preservica,pɹəzɹ̩vɪkə
headmore,hɛdmɔɹ
granary,ɡɹænɛɹi
albright's,ælbɹajtz
clarivate,klɛɹəvət
capel,kejpəl
astrolabe,æstɹowləb
defiant,dɪfajənt
nxt,ŋkst
tender,tɛndɹ̩
cos,kɔs
vexed,vɛkst
penpont,pɛnpɑnt
after,æftɹ̩
you'd,jʊd
gone,ɡɔn
tusting,tʌstɪŋ
drumaran,dɹumɹ̩æn
